Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
665¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":72,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Program
704¿Identifier¿¿1170¿length¿¿¿{"start":{"line":7,"column":35},"end":{"line":7,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Identifier
705¿VariableDeclarator¿¿1170¿_copy¿¿¿{"start":{"line":7,"column":10},"end":{"line":7,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿VariableDeclarator
706¿CallExpression¿¿1170¿¿¿¿{"start":{"line":7,"column":18},"end":{"line":7,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿CallExpression
707¿MemberExpression¿¿1170¿¿¿¿{"start":{"line":7,"column":18},"end":{"line":7,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿MemberExpression
708¿Identifier¿¿1170¿Buffer¿¿¿{"start":{"line":7,"column":18},"end":{"line":7,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Identifier
709¿Identifier¿¿1170¿alloc¿¿¿{"start":{"line":7,"column":25},"end":{"line":7,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Identifier
710¿Identifier¿¿1170¿v76¿¿¿¿¿Identifier
711¿VariableDeclarator¿¿1170¿v77¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿VariableDeclarator
712¿CallExpression¿¿1170¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿CallExpression
713¿MemberExpression¿¿1170¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿MemberExpression
714¿Identifier¿¿1170¿val¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Identifier
715¿Identifier¿¿1170¿copy¿¿¿{"start":{"line":8,"column":8},"end":{"line":8,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Identifier
716¿Identifier¿¿1170¿_copy¿¿¿{"start":{"line":8,"column":13},"end":{"line":8,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Identifier
717¿ExpressionStatement¿¿1170¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿ExpressionStatement
718¿Identifier¿¿1170¿v77¿¿¿¿¿Identifier
719¿ReturnStatement¿¿1170¿¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿ReturnStatement
720¿Identifier¿¿1170¿_copy¿¿¿{"start":{"line":9,"column":11},"end":{"line":9,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Identifier
721¿BlockStatement¿¿1170¿¿¿¿{"start":{"line":6,"column":29},"end":{"line":10,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿BlockStatement
722¿VariableDeclarator¿¿1170¿v78¿¿¿{"start":{"line":10,"column":13},"end":{"line":10,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿VariableDeclarator
723¿BinaryExpression¿instanceof¿1170¿¿¿¿{"start":{"line":10,"column":13},"end":{"line":10,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿BinaryExpression
724¿Identifier¿¿1170¿val¿¿¿{"start":{"line":10,"column":13},"end":{"line":10,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Identifier
725¿Identifier¿¿1170¿Date¿¿¿{"start":{"line":10,"column":28},"end":{"line":10,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Identifier
726¿IfStatement¿¿1170¿¿¿¿{"start":{"line":10,"column":9},"end":{"line":16,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿IfStatement
727¿Identifier¿¿1170¿v78¿¿¿¿¿Identifier
728¿VariableDeclarator¿¿1170¿v79¿¿¿{"start":{"line":11,"column":20},"end":{"line":11,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿VariableDeclarator
729¿CallExpression¿¿1170¿¿¿¿{"start":{"line":11,"column":20},"end":{"line":11,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿CallExpression
730¿MemberExpression¿¿1170¿¿¿¿{"start":{"line":11,"column":20},"end":{"line":11,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿MemberExpression
731¿Identifier¿¿1170¿val¿¿¿{"start":{"line":11,"column":20},"end":{"line":11,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Identifier
732¿Identifier¿¿1170¿getTime¿¿¿{"start":{"line":11,"column":24},"end":{"line":11,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Identifier
733¿VariableDeclarator¿¿1170¿v80¿¿¿{"start":{"line":11,"column":11},"end":{"line":11,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿VariableDeclarator
734¿NewExpression¿¿1170¿¿¿¿{"start":{"line":11,"column":11},"end":{"line":11,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿NewExpression
735¿Identifier¿¿1170¿Date¿¿¿{"start":{"line":11,"column":15},"end":{"line":11,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Identifier
736¿Identifier¿¿1170¿v79¿¿¿¿¿Identifier
737¿ReturnStatement¿¿1170¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿ReturnStatement
738¿Identifier¿¿1170¿v80¿¿¿¿¿Identifier
739¿BlockStatement¿¿1170¿¿¿¿{"start":{"line":10,"column":34},"end":{"line":12,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿BlockStatement
740¿VariableDeclarator¿¿1170¿v81¿¿¿{"start":{"line":12,"column":13},"end":{"line":12,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿VariableDeclarator
741¿BinaryExpression¿instanceof¿1170¿¿¿¿{"start":{"line":12,"column":13},"end":{"line":12,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿BinaryExpression
742¿Identifier¿¿1170¿val¿¿¿{"start":{"line":12,"column":13},"end":{"line":12,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Identifier
743¿Identifier¿¿1170¿RegExp¿¿¿{"start":{"line":12,"column":28},"end":{"line":12,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Identifier
744¿IfStatement¿¿1170¿¿¿¿{"start":{"line":12,"column":9},"end":{"line":16,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿IfStatement
745¿Identifier¿¿1170¿v81¿¿¿¿¿Identifier
746¿VariableDeclarator¿¿1170¿v82¿¿¿{"start":{"line":13,"column":11},"end":{"line":13,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿VariableDeclarator
747¿NewExpression¿¿1170¿¿¿¿{"start":{"line":13,"column":11},"end":{"line":13,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿NewExpression
748¿Identifier¿¿1170¿RegExp¿¿¿{"start":{"line":13,"column":15},"end":{"line":13,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Identifier
749¿Identifier¿¿1170¿val¿¿¿{"start":{"line":13,"column":22},"end":{"line":13,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Identifier
750¿ReturnStatement¿¿1170¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿ReturnStatement
751¿Identifier¿¿1170¿v82¿¿¿¿¿Identifier
752¿BlockStatement¿¿1170¿¿¿¿{"start":{"line":12,"column":36},"end":{"line":14,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿BlockStatement
753¿VariableDeclarator¿¿1170¿v83¿¿¿{"start":{"line":15,"column":10},"end":{"line":15,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿VariableDeclarator
754¿NewExpression¿¿1170¿¿¿¿{"start":{"line":15,"column":10},"end":{"line":15,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿NewExpression
755¿Identifier¿¿1170¿Error¿¿¿{"start":{"line":15,"column":14},"end":{"line":15,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Identifier
756¿Literal¿string¿1170¿¿'Unexpected Value Type'¿¿{"start":{"line":15,"column":20},"end":{"line":15,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Literal
757¿ThrowStatement¿¿1170¿¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿ThrowStatement
758¿Identifier¿¿1170¿v83¿¿¿¿¿Identifier
759¿BlockStatement¿¿1170¿¿¿¿{"start":{"line":14,"column":9},"end":{"line":16,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿BlockStatement
760¿BlockStatement¿¿1170¿¿¿¿¿¿BlockStatement
761¿BlockStatement¿¿1170¿¿¿¿¿¿BlockStatement
762¿BlockStatement¿¿1170¿¿¿¿{"start":{"line":5,"column":33},"end":{"line":17,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿BlockStatement
763¿VariableDeclarator¿exported¿1166¿override¿¿¿{"start":{"line":19,"column":0},"end":{"line":70,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿VariableDeclarator
764¿FunctionExpression¿¿1166¿anon¿¿¿{"start":{"line":19,"column":0},"end":{"line":70,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿FunctionExpression
765¿RestElement¿¿0¿¿¿¿{"start":{"line":19,"column":18},"end":{"line":19,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿RestElement
766¿Identifier¿¿0¿rawArgs¿¿¿{"start":{"line":19,"column":21},"end":{"line":19,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Identifier
767¿VariableDeclarator¿¿1175¿v84¿¿¿{"start":{"line":20,"column":6},"end":{"line":20,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿VariableDeclarator
768¿MemberExpression¿¿1175¿¿¿¿{"start":{"line":20,"column":6},"end":{"line":20,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿MemberExpression
769¿Identifier¿¿1175¿rawArgs¿¿¿{"start":{"line":20,"column":6},"end":{"line":20,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Identifier
770¿Identifier¿¿1175¿length¿¿¿{"start":{"line":20,"column":14},"end":{"line":20,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Identifier
771¿VariableDeclarator¿¿1175¿v85¿¿¿{"start":{"line":20,"column":6},"end":{"line":20,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿VariableDeclarator
772¿BinaryExpression¿<¿1175¿¿¿¿{"start":{"line":20,"column":6},"end":{"line":20,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿BinaryExpression
773¿Identifier¿¿1175¿v84¿¿¿¿¿Identifier
774¿Literal¿number¿1175¿¿1¿¿{"start":{"line":20,"column":23},"end":{"line":20,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Literal
775¿VariableDeclarator¿¿1175¿v86¿¿¿{"start":{"line":20,"column":35},"end":{"line":20,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿VariableDeclarator
776¿MemberExpression¿computed¿1175¿¿¿¿{"start":{"line":20,"column":35},"end":{"line":20,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿MemberExpression
777¿Identifier¿¿1175¿rawArgs¿¿¿{"start":{"line":20,"column":35},"end":{"line":20,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Identifier
778¿Literal¿number¿1175¿¿0¿¿{"start":{"line":20,"column":43},"end":{"line":20,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Literal
779¿VariableDeclarator¿¿1175¿v87¿¿¿{"start":{"line":20,"column":28},"end":{"line":20,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿VariableDeclarator
780¿UnaryExpression¿typeof¿1175¿¿¿¿{"start":{"line":20,"column":28},"end":{"line":20,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿UnaryExpression
781¿Identifier¿¿1175¿v86¿¿¿¿¿Identifier
782¿VariableDeclarator¿¿1175¿v88¿¿¿{"start":{"line":20,"column":28},"end":{"line":20,"column":58},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿VariableDeclarator
783¿BinaryExpression¿!==¿1175¿¿¿¿{"start":{"line":20,"column":28},"end":{"line":20,"column":58},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿BinaryExpression
784¿Identifier¿¿1175¿v87¿¿¿¿¿Identifier
785¿Literal¿string¿1175¿¿'object'¿¿{"start":{"line":20,"column":50},"end":{"line":20,"column":58},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Literal
786¿VariableDeclarator¿¿1175¿v89¿¿¿{"start":{"line":20,"column":6},"end":{"line":20,"column":58},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿VariableDeclarator
787¿LogicalExpression¿||¿1175¿¿¿¿{"start":{"line":20,"column":6},"end":{"line":20,"column":58},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿LogicalExpression
788¿Identifier¿¿1175¿v85¿¿¿¿¿Identifier
789¿Identifier¿¿1175¿v88¿¿¿¿¿Identifier
790¿IfStatement¿¿1175¿¿¿¿{"start":{"line":20,"column":2},"end":{"line":20,"column":73},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿IfStatement
791¿Identifier¿¿1175¿v89¿¿¿¿¿Identifier
792¿ReturnStatement¿¿1175¿¿¿¿{"start":{"line":20,"column":60},"end":{"line":20,"column":73},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿ReturnStatement
793¿Literal¿boolean¿1175¿¿false¿¿{"start":{"line":20,"column":67},"end":{"line":20,"column":72},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Literal
794¿BlockStatement¿¿1175¿¿¿¿¿¿BlockStatement
795¿VariableDeclarator¿¿1175¿v90¿¿¿{"start":{"line":21,"column":6},"end":{"line":21,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿VariableDeclarator
796¿MemberExpression¿¿1175¿¿¿¿{"start":{"line":21,"column":6},"end":{"line":21,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿MemberExpression
797¿Identifier¿¿1175¿rawArgs¿¿¿{"start":{"line":21,"column":6},"end":{"line":21,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Identifier
798¿Identifier¿¿1175¿length¿¿¿{"start":{"line":21,"column":14},"end":{"line":21,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Identifier
799¿VariableDeclarator¿¿1175¿v91¿¿¿{"start":{"line":21,"column":6},"end":{"line":21,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿VariableDeclarator
800¿BinaryExpression¿<¿1175¿¿¿¿{"start":{"line":21,"column":6},"end":{"line":21,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿BinaryExpression
801¿Identifier¿¿1175¿v90¿¿¿¿¿Identifier
802¿Literal¿number¿1175¿¿2¿¿{"start":{"line":21,"column":23},"end":{"line":21,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Literal
803¿IfStatement¿¿1175¿¿¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿IfStatement
804¿Identifier¿¿1175¿v91¿¿¿¿¿Identifier
805¿VariableDeclarator¿¿1175¿v92¿¿¿{"start":{"line":21,"column":33},"end":{"line":21,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿VariableDeclarator
806¿MemberExpression¿computed¿1175¿¿¿¿{"start":{"line":21,"column":33},"end":{"line":21,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿MemberExpression
807¿Identifier¿¿1175¿rawArgs¿¿¿{"start":{"line":21,"column":33},"end":{"line":21,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Identifier
808¿Literal¿number¿1175¿¿0¿¿{"start":{"line":21,"column":41},"end":{"line":21,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Literal
809¿ReturnStatement¿¿1175¿¿¿¿{"start":{"line":21,"column":26},"end":{"line":21,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿ReturnStatement
810¿Identifier¿¿1175¿v92¿¿¿¿¿Identifier
811¿BlockStatement¿¿1175¿¿¿¿¿¿BlockStatement
812¿VariableDeclarator¿¿1175¿target¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿VariableDeclarator
