Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1047¿Program¿¿-1¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":160,"column":2},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Program
1096¿AssignmentExpression¿=¿1804¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":13,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿AssignmentExpression
1097¿MemberExpression¿¿1804¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿MemberExpression
1098¿Identifier¿¿1804¿macfromip¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Identifier
1099¿Identifier¿¿1804¿isEmpty¿¿¿{"start":{"line":11,"column":10},"end":{"line":11,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Identifier
1100¿Identifier¿¿1804¿v116¿¿¿¿¿Identifier
1101¿VariableDeclarator¿exported¿1804¿v121¿¿¿{"start":{"line":15,"column":0},"end":{"line":25,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿VariableDeclarator
1102¿FunctionExpression¿¿1804¿anon¿¿¿{"start":{"line":15,"column":21},"end":{"line":25,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿FunctionExpression
1103¿Identifier¿¿0¿value¿¿¿{"start":{"line":15,"column":30},"end":{"line":15,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Identifier
1104¿VariableDeclarator¿¿1808¿v117¿¿¿{"start":{"line":16,"column":5},"end":{"line":16,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿VariableDeclarator
1105¿CallExpression¿¿1808¿¿¿¿{"start":{"line":16,"column":5},"end":{"line":16,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿CallExpression
1106¿MemberExpression¿¿1808¿¿¿¿{"start":{"line":16,"column":5},"end":{"line":16,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿MemberExpression
1107¿Identifier¿¿1808¿macfromip¿¿¿{"start":{"line":16,"column":5},"end":{"line":16,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Identifier
1108¿Identifier¿¿1808¿isEmpty¿¿¿{"start":{"line":16,"column":15},"end":{"line":16,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Identifier
1109¿Identifier¿¿1808¿value¿¿¿{"start":{"line":16,"column":23},"end":{"line":16,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Identifier
1110¿IfStatement¿¿1808¿¿¿¿{"start":{"line":16,"column":2},"end":{"line":18,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿IfStatement
1111¿Identifier¿¿1808¿v117¿¿¿¿¿Identifier
1112¿VariableDeclarator¿¿1808¿v118¿¿¿{"start":{"line":17,"column":10},"end":{"line":17,"column":48},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿VariableDeclarator
1113¿NewExpression¿¿1808¿¿¿¿{"start":{"line":17,"column":10},"end":{"line":17,"column":48},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿NewExpression
1114¿Identifier¿¿1808¿Error¿¿¿{"start":{"line":17,"column":14},"end":{"line":17,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Identifier
1115¿Literal¿string¿1808¿¿'Expected a not null value'¿¿{"start":{"line":17,"column":20},"end":{"line":17,"column":47},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Literal
1116¿ThrowStatement¿¿1808¿¿¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":49},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿ThrowStatement
1117¿Identifier¿¿1808¿v118¿¿¿¿¿Identifier
1118¿BlockStatement¿¿1808¿¿¿¿{"start":{"line":16,"column":30},"end":{"line":18,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿BlockStatement
1119¿VariableDeclarator¿¿1808¿v119¿¿¿{"start":{"line":20,"column":6},"end":{"line":20,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿VariableDeclarator
1120¿UnaryExpression¿typeof¿1808¿¿¿¿{"start":{"line":20,"column":6},"end":{"line":20,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿UnaryExpression
1121¿Identifier¿¿1808¿value¿¿¿{"start":{"line":20,"column":13},"end":{"line":20,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Identifier
1122¿VariableDeclarator¿¿1808¿v120¿¿¿{"start":{"line":20,"column":6},"end":{"line":20,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿VariableDeclarator
1123¿BinaryExpression¿===¿1808¿¿¿¿{"start":{"line":20,"column":6},"end":{"line":20,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿BinaryExpression
1124¿Identifier¿¿1808¿v119¿¿¿¿¿Identifier
1125¿Literal¿string¿1808¿¿'string'¿¿{"start":{"line":20,"column":23},"end":{"line":20,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Literal
1126¿IfStatement¿¿1808¿¿¿¿{"start":{"line":20,"column":2},"end":{"line":22,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿IfStatement
1127¿Identifier¿¿1808¿v120¿¿¿¿¿Identifier
1128¿ReturnStatement¿¿1808¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿ReturnStatement
1129¿Literal¿boolean¿1808¿¿true¿¿{"start":{"line":21,"column":11},"end":{"line":21,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Literal
1130¿BlockStatement¿¿1808¿¿¿¿{"start":{"line":20,"column":33},"end":{"line":22,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿BlockStatement
1131¿ReturnStatement¿¿1808¿¿¿¿{"start":{"line":24,"column":2},"end":{"line":24,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿ReturnStatement
1132¿Literal¿boolean¿1808¿¿false¿¿{"start":{"line":24,"column":9},"end":{"line":24,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Literal
1133¿BlockStatement¿¿1808¿¿¿¿{"start":{"line":15,"column":36},"end":{"line":25,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿BlockStatement
1134¿ExpressionStatement¿¿1804¿¿¿¿{"start":{"line":15,"column":0},"end":{"line":25,"column":2},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿ExpressionStatement
1135¿AssignmentExpression¿=¿1804¿¿¿¿{"start":{"line":15,"column":0},"end":{"line":25,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿AssignmentExpression
1136¿MemberExpression¿¿1804¿¿¿¿{"start":{"line":15,"column":0},"end":{"line":15,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿MemberExpression
1137¿Identifier¿¿1804¿macfromip¿¿¿{"start":{"line":15,"column":0},"end":{"line":15,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Identifier
1138¿Identifier¿¿1804¿isString¿¿¿{"start":{"line":15,"column":10},"end":{"line":15,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Identifier
1139¿Identifier¿¿1804¿v121¿¿¿¿¿Identifier
1140¿VariableDeclarator¿exported¿1804¿v127¿¿¿{"start":{"line":27,"column":0},"end":{"line":37,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿VariableDeclarator
1141¿FunctionExpression¿¿1804¿anon¿¿¿{"start":{"line":27,"column":24},"end":{"line":37,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿FunctionExpression
1142¿Identifier¿¿0¿ipaddress¿¿¿{"start":{"line":27,"column":33},"end":{"line":27,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Identifier
1143¿VariableDeclarator¿¿1812¿v122¿¿¿{"start":{"line":28,"column":6},"end":{"line":28,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿VariableDeclarator
1144¿CallExpression¿¿1812¿¿¿¿{"start":{"line":28,"column":6},"end":{"line":28,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿CallExpression
1145¿MemberExpression¿¿1812¿¿¿¿{"start":{"line":28,"column":6},"end":{"line":28,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿MemberExpression
1146¿Identifier¿¿1812¿macfromip¿¿¿{"start":{"line":28,"column":6},"end":{"line":28,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Identifier
1147¿Identifier¿¿1812¿isString¿¿¿{"start":{"line":28,"column":16},"end":{"line":28,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Identifier
1148¿Identifier¿¿1812¿ipaddress¿¿¿{"start":{"line":28,"column":25},"end":{"line":28,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Identifier
1149¿VariableDeclarator¿¿1812¿v123¿¿¿{"start":{"line":28,"column":5},"end":{"line":28,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿VariableDeclarator
1150¿UnaryExpression¿!¿1812¿¿¿¿{"start":{"line":28,"column":5},"end":{"line":28,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿UnaryExpression
1151¿Identifier¿¿1812¿v122¿¿¿¿¿Identifier
1152¿IfStatement¿¿1812¿¿¿¿{"start":{"line":28,"column":2},"end":{"line":30,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿IfStatement
1153¿Identifier¿¿1812¿v123¿¿¿¿¿Identifier
1154¿VariableDeclarator¿¿1812¿v124¿¿¿{"start":{"line":29,"column":10},"end":{"line":29,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿VariableDeclarator
1155¿NewExpression¿¿1812¿¿¿¿{"start":{"line":29,"column":10},"end":{"line":29,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿NewExpression
1156¿Identifier¿¿1812¿Error¿¿¿{"start":{"line":29,"column":14},"end":{"line":29,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Identifier
1157¿Literal¿string¿1812¿¿'Expected a string'¿¿{"start":{"line":29,"column":20},"end":{"line":29,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Literal
1158¿ThrowStatement¿¿1812¿¿¿¿{"start":{"line":29,"column":4},"end":{"line":29,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿ThrowStatement
1159¿Identifier¿¿1812¿v124¿¿¿¿¿Identifier
1160¿BlockStatement¿¿1812¿¿¿¿{"start":{"line":28,"column":36},"end":{"line":30,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿BlockStatement
1161¿VariableDeclarator¿¿1812¿v125¿¿¿{"start":{"line":33,"column":174},"end":{"line":33,"column":190},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿VariableDeclarator
1162¿CallExpression¿¿1812¿¿¿¿{"start":{"line":33,"column":174},"end":{"line":33,"column":190},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿CallExpression
1163¿MemberExpression¿¿1812¿¿¿¿{"start":{"line":33,"column":174},"end":{"line":33,"column":188},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿MemberExpression
1164¿Identifier¿¿1812¿ipaddress¿¿¿{"start":{"line":33,"column":174},"end":{"line":33,"column":183},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Identifier
1165¿Identifier¿¿1812¿trim¿¿¿{"start":{"line":33,"column":184},"end":{"line":33,"column":188},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Identifier
1166¿VariableDeclarator¿¿1812¿v126¿¿¿{"start":{"line":33,"column":6},"end":{"line":33,"column":191},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿VariableDeclarator
1167¿CallExpression¿¿1812¿¿¿¿{"start":{"line":33,"column":6},"end":{"line":33,"column":191},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿CallExpression
1168¿MemberExpression¿¿1812¿¿¿¿{"start":{"line":33,"column":6},"end":{"line":33,"column":173},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿MemberExpression
1169¿Literal¿object¿1812¿¿/^(25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)\.(25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)\.(25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)\.(25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)$/¿¿{"start":{"line":33,"column":6},"end":{"line":33,"column":168},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Literal
1170¿Identifier¿¿1812¿test¿¿¿{"start":{"line":33,"column":169},"end":{"line":33,"column":173},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Identifier
1171¿Identifier¿¿1812¿v125¿¿¿¿¿Identifier
1172¿IfStatement¿¿1812¿¿¿¿{"start":{"line":33,"column":2},"end":{"line":35,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿IfStatement
1173¿Identifier¿¿1812¿v126¿¿¿¿¿Identifier
1174¿ReturnStatement¿¿1812¿¿¿¿{"start":{"line":34,"column":4},"end":{"line":34,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿ReturnStatement
1175¿Literal¿boolean¿1812¿¿true¿¿{"start":{"line":34,"column":12},"end":{"line":34,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Literal
1176¿BlockStatement¿¿1812¿¿¿¿{"start":{"line":33,"column":192},"end":{"line":35,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿BlockStatement
1177¿ReturnStatement¿¿1812¿¿¿¿{"start":{"line":36,"column":2},"end":{"line":36,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿ReturnStatement
1178¿Literal¿boolean¿1812¿¿false¿¿{"start":{"line":36,"column":10},"end":{"line":36,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿Literal
1179¿BlockStatement¿¿1812¿¿¿¿{"start":{"line":27,"column":43},"end":{"line":37,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿BlockStatement
1180¿ExpressionStatement¿¿1804¿¿¿¿{"start":{"line":27,"column":0},"end":{"line":37,"column":2},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿ExpressionStatement
1181¿AssignmentExpression¿=¿1804¿¿¿¿{"start":{"line":27,"column":0},"end":{"line":37,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿AssignmentExpression
1182¿MemberExpression¿¿1804¿¿¿¿{"start":{"line":27,"column":0},"end":{"line":27,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/macfromip_1.1.1/src/macfromip.js"}¿¿MemberExpression
