Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2004¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":362,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Program
2018¿FunctionExpression¿¿3513¿anon¿¿¿{"start":{"line":10,"column":0},"end":{"line":17,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿FunctionExpression
2019¿Identifier¿¿0¿sourceFile¿¿¿{"start":{"line":10,"column":27},"end":{"line":10,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Identifier
2020¿Identifier¿¿0¿encoding¿¿¿{"start":{"line":10,"column":39},"end":{"line":10,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Identifier
2021¿Identifier¿¿0¿propertiesAppender¿¿¿{"start":{"line":10,"column":49},"end":{"line":10,"column":67},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Identifier
2022¿VariableDeclarator¿¿3515¿v210¿¿¿{"start":{"line":11,"column":20},"end":{"line":11,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿VariableDeclarator
2023¿UnaryExpression¿typeof¿3515¿¿¿¿{"start":{"line":11,"column":20},"end":{"line":11,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿UnaryExpression
2024¿Identifier¿¿3515¿encoding¿¿¿{"start":{"line":11,"column":27},"end":{"line":11,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Identifier
2025¿VariableDeclarator¿¿3515¿v211¿¿¿{"start":{"line":11,"column":20},"end":{"line":11,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿VariableDeclarator
2026¿BinaryExpression¿===¿3515¿¿¿¿{"start":{"line":11,"column":20},"end":{"line":11,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿BinaryExpression
2027¿Identifier¿¿3515¿v210¿¿¿¿¿Identifier
2028¿Literal¿string¿3515¿¿'string'¿¿{"start":{"line":11,"column":40},"end":{"line":11,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Literal
2029¿VariableDeclarator¿¿3515¿v212¿¿¿{"start":{"line":11,"column":20},"end":{"line":11,"column":60},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿VariableDeclarator
2030¿LogicalExpression¿&&¿3515¿¿¿¿{"start":{"line":11,"column":20},"end":{"line":11,"column":60},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿LogicalExpression
2031¿Identifier¿¿3515¿v211¿¿¿¿¿Identifier
2032¿Identifier¿¿3515¿encoding¿¿¿{"start":{"line":11,"column":52},"end":{"line":11,"column":60},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Identifier
2033¿ExpressionStatement¿¿3515¿¿¿¿{"start":{"line":11,"column":3},"end":{"line":11,"column":72},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿ExpressionStatement
2034¿AssignmentExpression¿=¿3515¿¿¿¿{"start":{"line":11,"column":3},"end":{"line":11,"column":71},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿AssignmentExpression
2035¿MemberExpression¿¿3515¿¿¿¿{"start":{"line":11,"column":3},"end":{"line":11,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿MemberExpression
2036¿ThisExpression¿¿3515¿¿¿¿{"start":{"line":11,"column":3},"end":{"line":11,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿ThisExpression
2037¿Identifier¿¿3515¿_encoding¿¿¿{"start":{"line":11,"column":8},"end":{"line":11,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Identifier
2038¿LogicalExpression¿||¿3515¿¿¿¿{"start":{"line":11,"column":20},"end":{"line":11,"column":71},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿LogicalExpression
2039¿Identifier¿¿3515¿v212¿¿¿¿¿Identifier
2040¿Literal¿string¿3515¿¿'utf-8'¿¿{"start":{"line":11,"column":64},"end":{"line":11,"column":71},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Literal
2041¿VariableDeclarator¿¿3515¿v213¿¿¿{"start":{"line":12,"column":22},"end":{"line":12,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿VariableDeclarator
2042¿ObjectExpression¿¿3515¿¿¿¿¿¿ObjectExpression
2043¿ExpressionStatement¿¿3515¿¿¿¿{"start":{"line":12,"column":3},"end":{"line":12,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿ExpressionStatement
2044¿AssignmentExpression¿=¿3515¿¿¿¿{"start":{"line":12,"column":3},"end":{"line":12,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿AssignmentExpression
2045¿MemberExpression¿¿3515¿¿¿¿{"start":{"line":12,"column":3},"end":{"line":12,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿MemberExpression
2046¿ThisExpression¿¿3515¿¿¿¿{"start":{"line":12,"column":3},"end":{"line":12,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿ThisExpression
2047¿Identifier¿¿3515¿_properties¿¿¿{"start":{"line":12,"column":8},"end":{"line":12,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Identifier
2048¿Identifier¿¿3515¿v213¿¿¿¿¿Identifier
2049¿VariableDeclarator¿¿3515¿v214¿¿¿{"start":{"line":13,"column":30},"end":{"line":13,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿VariableDeclarator
2050¿ObjectExpression¿¿3515¿¿¿¿¿¿ObjectExpression
2051¿ExpressionStatement¿¿3515¿¿¿¿{"start":{"line":13,"column":3},"end":{"line":13,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿ExpressionStatement
2052¿AssignmentExpression¿=¿3515¿¿¿¿{"start":{"line":13,"column":3},"end":{"line":13,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿AssignmentExpression
2053¿MemberExpression¿¿3515¿¿¿¿{"start":{"line":13,"column":3},"end":{"line":13,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿MemberExpression
2054¿ThisExpression¿¿3515¿¿¿¿{"start":{"line":13,"column":3},"end":{"line":13,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿ThisExpression
2055¿Identifier¿¿3515¿_propertiesExpanded¿¿¿{"start":{"line":13,"column":8},"end":{"line":13,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Identifier
2056¿Identifier¿¿3515¿v214¿¿¿¿¿Identifier
2057¿VariableDeclarator¿¿3515¿v215¿¿¿{"start":{"line":15,"column":39},"end":{"line":15,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿VariableDeclarator
2058¿ObjectExpression¿¿3515¿¿¿¿{"start":{"line":15,"column":39},"end":{"line":15,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿ObjectExpression
2059¿VariableDeclarator¿¿3515¿v216¿¿¿{"start":{"line":15,"column":17},"end":{"line":15,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿VariableDeclarator
2060¿LogicalExpression¿||¿3515¿¿¿¿{"start":{"line":15,"column":17},"end":{"line":15,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿LogicalExpression
2061¿Identifier¿¿3515¿propertiesAppender¿¿¿{"start":{"line":15,"column":17},"end":{"line":15,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Identifier
2062¿Identifier¿¿3515¿v215¿¿¿¿¿Identifier
2063¿VariableDeclarator¿¿3515¿v217¿¿¿{"start":{"line":15,"column":3},"end":{"line":15,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿VariableDeclarator
2064¿CallExpression¿¿3515¿¿¿¿{"start":{"line":15,"column":3},"end":{"line":15,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿CallExpression
2065¿MemberExpression¿¿3515¿¿¿¿{"start":{"line":15,"column":3},"end":{"line":15,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿MemberExpression
2066¿ThisExpression¿¿3515¿¿¿¿{"start":{"line":15,"column":3},"end":{"line":15,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿ThisExpression
2067¿Identifier¿¿3515¿appender¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Identifier
2068¿Identifier¿¿3515¿v216¿¿¿¿¿Identifier
2069¿ExpressionStatement¿¿3515¿¿¿¿{"start":{"line":15,"column":3},"end":{"line":15,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿ExpressionStatement
2070¿Identifier¿¿3515¿v217¿¿¿¿¿Identifier
2071¿VariableDeclarator¿¿3515¿v218¿¿¿{"start":{"line":16,"column":3},"end":{"line":16,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿VariableDeclarator
2072¿CallExpression¿¿3515¿¿¿¿{"start":{"line":16,"column":3},"end":{"line":16,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿CallExpression
2073¿MemberExpression¿¿3515¿¿¿¿{"start":{"line":16,"column":3},"end":{"line":16,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿MemberExpression
2074¿ThisExpression¿¿3515¿¿¿¿{"start":{"line":16,"column":3},"end":{"line":16,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿ThisExpression
2075¿Identifier¿¿3515¿append¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Identifier
2076¿Identifier¿¿3515¿sourceFile¿¿¿{"start":{"line":16,"column":15},"end":{"line":16,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Identifier
2077¿Identifier¿¿3515¿encoding¿¿¿{"start":{"line":16,"column":27},"end":{"line":16,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Identifier
2078¿ExpressionStatement¿¿3515¿¿¿¿{"start":{"line":16,"column":3},"end":{"line":16,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿ExpressionStatement
2079¿Identifier¿¿3515¿v218¿¿¿¿¿Identifier
2080¿BlockStatement¿¿3515¿¿¿¿{"start":{"line":10,"column":69},"end":{"line":17,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿BlockStatement
2081¿VariableDeclarator¿¿3513¿v219¿¿¿{"start":{"line":23,"column":0},"end":{"line":23,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿VariableDeclarator
2082¿MemberExpression¿¿3513¿¿¿¿{"start":{"line":23,"column":0},"end":{"line":23,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿MemberExpression
2083¿Identifier¿¿3513¿PropertiesReader¿¿¿{"start":{"line":23,"column":0},"end":{"line":23,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Identifier
2084¿Identifier¿¿3513¿prototype¿¿¿{"start":{"line":23,"column":17},"end":{"line":23,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Identifier
2085¿ExpressionStatement¿¿3513¿¿¿¿{"start":{"line":23,"column":0},"end":{"line":23,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿ExpressionStatement
2086¿AssignmentExpression¿=¿3513¿¿¿¿{"start":{"line":23,"column":0},"end":{"line":23,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿AssignmentExpression
2087¿MemberExpression¿¿3513¿¿¿¿{"start":{"line":23,"column":0},"end":{"line":23,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿MemberExpression
2088¿Identifier¿¿3513¿v219¿¿¿¿¿Identifier
2089¿Identifier¿¿3513¿_section¿¿¿{"start":{"line":23,"column":27},"end":{"line":23,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Identifier
2090¿Literal¿string¿3513¿¿''¿¿{"start":{"line":23,"column":38},"end":{"line":23,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Literal
2091¿VariableDeclarator¿¿3513¿v220¿¿¿{"start":{"line":31,"column":22},"end":{"line":31,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿VariableDeclarator
2092¿MemberExpression¿¿3513¿¿¿¿{"start":{"line":31,"column":22},"end":{"line":31,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿MemberExpression
2093¿Identifier¿¿3513¿PropertiesReader¿¿¿{"start":{"line":31,"column":22},"end":{"line":31,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Identifier
2094¿Identifier¿¿3513¿prototype¿¿¿{"start":{"line":31,"column":39},"end":{"line":31,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Identifier
2095¿VariableDeclarator¿¿3513¿v224¿¿¿{"start":{"line":34,"column":7},"end":{"line":36,"column":4},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿VariableDeclarator
2096¿FunctionExpression¿¿3513¿anon¿¿¿{"start":{"line":34,"column":7},"end":{"line":36,"column":4},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿FunctionExpression
2097¿VariableDeclarator¿¿3517¿v221¿¿¿{"start":{"line":35,"column":25},"end":{"line":35,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿VariableDeclarator
2098¿MemberExpression¿¿3517¿¿¿¿{"start":{"line":35,"column":25},"end":{"line":35,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿MemberExpression
2099¿ThisExpression¿¿3517¿¿¿¿{"start":{"line":35,"column":25},"end":{"line":35,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿ThisExpression
2100¿Identifier¿¿3517¿_properties¿¿¿{"start":{"line":35,"column":30},"end":{"line":35,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Identifier
2101¿VariableDeclarator¿¿3517¿v222¿¿¿{"start":{"line":35,"column":13},"end":{"line":35,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿VariableDeclarator
2102¿CallExpression¿¿3517¿¿¿¿{"start":{"line":35,"column":13},"end":{"line":35,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿CallExpression
2103¿MemberExpression¿¿3517¿¿¿¿{"start":{"line":35,"column":13},"end":{"line":35,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿MemberExpression
2104¿Identifier¿¿3517¿Object¿¿¿{"start":{"line":35,"column":13},"end":{"line":35,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Identifier
2105¿Identifier¿¿3517¿keys¿¿¿{"start":{"line":35,"column":20},"end":{"line":35,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Identifier
2106¿Identifier¿¿3517¿v221¿¿¿¿¿Identifier
2107¿VariableDeclarator¿¿3517¿v223¿¿¿{"start":{"line":35,"column":13},"end":{"line":35,"column":49},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿VariableDeclarator
2108¿MemberExpression¿¿3517¿¿¿¿{"start":{"line":35,"column":13},"end":{"line":35,"column":49},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿MemberExpression
2109¿Identifier¿¿3517¿v222¿¿¿¿¿Identifier
2110¿Identifier¿¿3517¿length¿¿¿{"start":{"line":35,"column":43},"end":{"line":35,"column":49},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Identifier
2111¿ReturnStatement¿¿3517¿¿¿¿{"start":{"line":35,"column":6},"end":{"line":35,"column":50},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿ReturnStatement
2112¿Identifier¿¿3517¿v223¿¿¿¿¿Identifier
2113¿BlockStatement¿¿3517¿¿¿¿{"start":{"line":34,"column":10},"end":{"line":36,"column":4},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿BlockStatement
2114¿VariableDeclarator¿¿3513¿v225¿¿¿{"start":{"line":31,"column":60},"end":{"line":37,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿VariableDeclarator
2115¿ObjectExpression¿¿3513¿¿¿¿{"start":{"line":31,"column":60},"end":{"line":37,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿ObjectExpression
2116¿Property¿¿3513¿¿¿¿{"start":{"line":32,"column":3},"end":{"line":32,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Property
2117¿Identifier¿¿3513¿configurable¿¿¿{"start":{"line":32,"column":3},"end":{"line":32,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Identifier
2118¿Literal¿boolean¿3513¿¿false¿¿{"start":{"line":32,"column":17},"end":{"line":32,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Literal
2119¿Property¿¿3513¿¿¿¿{"start":{"line":33,"column":3},"end":{"line":33,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Property
2120¿Identifier¿¿3513¿enumerable¿¿¿{"start":{"line":33,"column":3},"end":{"line":33,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Identifier
2121¿Literal¿boolean¿3513¿¿false¿¿{"start":{"line":33,"column":15},"end":{"line":33,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Literal
2122¿Property¿¿3513¿¿¿¿{"start":{"line":34,"column":3},"end":{"line":36,"column":4},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Property
2123¿Identifier¿¿3513¿get¿¿¿{"start":{"line":34,"column":3},"end":{"line":34,"column":6},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Identifier
2124¿Identifier¿¿3513¿v224¿¿¿¿¿Identifier
2125¿VariableDeclarator¿¿3513¿v226¿¿¿{"start":{"line":31,"column":0},"end":{"line":37,"column":2},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿VariableDeclarator
2126¿CallExpression¿¿3513¿¿¿¿{"start":{"line":31,"column":0},"end":{"line":37,"column":2},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿CallExpression
2127¿MemberExpression¿¿3513¿¿¿¿{"start":{"line":31,"column":0},"end":{"line":31,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿MemberExpression
2128¿Identifier¿¿3513¿Object¿¿¿{"start":{"line":31,"column":0},"end":{"line":31,"column":6},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Identifier
2129¿Identifier¿¿3513¿defineProperty¿¿¿{"start":{"line":31,"column":7},"end":{"line":31,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Identifier
2130¿Identifier¿¿3513¿v220¿¿¿¿¿Identifier
2131¿Literal¿string¿3513¿¿'length'¿¿{"start":{"line":31,"column":50},"end":{"line":31,"column":58},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Literal
2132¿Identifier¿¿3513¿v225¿¿¿¿¿Identifier
2133¿ExpressionStatement¿¿3513¿¿¿¿{"start":{"line":31,"column":0},"end":{"line":37,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿ExpressionStatement
2134¿Identifier¿¿3513¿v226¿¿¿¿¿Identifier
2135¿VariableDeclarator¿¿3513¿v227¿¿¿{"start":{"line":53,"column":0},"end":{"line":53,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿VariableDeclarator
2136¿MemberExpression¿¿3513¿¿¿¿{"start":{"line":53,"column":0},"end":{"line":53,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿MemberExpression
2137¿Identifier¿¿3513¿PropertiesReader¿¿¿{"start":{"line":53,"column":0},"end":{"line":53,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Identifier
2138¿Identifier¿¿3513¿prototype¿¿¿{"start":{"line":53,"column":17},"end":{"line":53,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Identifier
2139¿VariableDeclarator¿¿3513¿v233¿¿¿{"start":{"line":53,"column":0},"end":{"line":62,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿VariableDeclarator
