Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1742¿Program¿¿-1¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":334,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Program
1777¿Identifier¿¿3084¿require¿¿¿{"start":{"line":14,"column":21},"end":{"line":14,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Identifier
1778¿Literal¿string¿3084¿¿'./_controls'¿¿{"start":{"line":14,"column":29},"end":{"line":14,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Literal
1779¿VariableDeclarator¿¿3084¿playlistModule¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿VariableDeclarator
1780¿CallExpression¿¿3084¿¿¿¿{"start":{"line":15,"column":22},"end":{"line":15,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿CallExpression
1781¿Identifier¿¿3084¿require¿¿¿{"start":{"line":15,"column":22},"end":{"line":15,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Identifier
1782¿Literal¿string¿3084¿¿'./_playlist'¿¿{"start":{"line":15,"column":30},"end":{"line":15,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Literal
1783¿VariableDeclarator¿¿3084¿audioModule¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿VariableDeclarator
1784¿CallExpression¿¿3084¿¿¿¿{"start":{"line":16,"column":21},"end":{"line":16,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿CallExpression
1785¿Identifier¿¿3084¿require¿¿¿{"start":{"line":16,"column":21},"end":{"line":16,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Identifier
1786¿Literal¿string¿3084¿¿'./_audio'¿¿{"start":{"line":16,"column":29},"end":{"line":16,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Literal
1787¿VariableDeclarator¿¿3084¿videoModule¿¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿VariableDeclarator
1788¿CallExpression¿¿3084¿¿¿¿{"start":{"line":17,"column":21},"end":{"line":17,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿CallExpression
1789¿Identifier¿¿3084¿require¿¿¿{"start":{"line":17,"column":21},"end":{"line":17,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Identifier
1790¿Literal¿string¿3084¿¿'./_video'¿¿{"start":{"line":17,"column":29},"end":{"line":17,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Literal
1791¿VariableDeclarator¿¿3084¿subtitleModule¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿VariableDeclarator
1792¿CallExpression¿¿3084¿¿¿¿{"start":{"line":18,"column":21},"end":{"line":18,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿CallExpression
1793¿Identifier¿¿3084¿require¿¿¿{"start":{"line":18,"column":21},"end":{"line":18,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Identifier
1794¿Literal¿string¿3084¿¿'./_subtitle'¿¿{"start":{"line":18,"column":29},"end":{"line":18,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Literal
1795¿VariableDeclarator¿¿3084¿socket¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿VariableDeclarator
1796¿CallExpression¿¿3084¿¿¿¿{"start":{"line":20,"column":13},"end":{"line":20,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿CallExpression
1797¿Identifier¿¿3084¿require¿¿¿{"start":{"line":20,"column":13},"end":{"line":20,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Identifier
1798¿Literal¿string¿3084¿¿'../ipcInterface'¿¿{"start":{"line":20,"column":21},"end":{"line":20,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Literal
1799¿VariableDeclarator¿exported¿3084¿mpv¿¿¿{"start":{"line":23,"column":0},"end":{"line":305,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿VariableDeclarator
1800¿FunctionExpression¿¿3084¿anon¿¿¿{"start":{"line":23,"column":0},"end":{"line":305,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿FunctionExpression
1801¿Identifier¿¿0¿options¿¿¿{"start":{"line":23,"column":13},"end":{"line":23,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Identifier
1802¿Identifier¿¿0¿mpv_args¿¿¿{"start":{"line":23,"column":22},"end":{"line":23,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Identifier
1803¿VariableDeclarator¿¿3086¿v178¿¿¿{"start":{"line":26,"column":1},"end":{"line":26,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿VariableDeclarator
1804¿CallExpression¿¿3086¿¿¿¿{"start":{"line":26,"column":1},"end":{"line":26,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿CallExpression
1805¿MemberExpression¿¿3086¿¿¿¿{"start":{"line":26,"column":1},"end":{"line":26,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿MemberExpression
1806¿Identifier¿¿3086¿eventEmitter¿¿¿{"start":{"line":26,"column":1},"end":{"line":26,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Identifier
1807¿Identifier¿¿3086¿call¿¿¿{"start":{"line":26,"column":14},"end":{"line":26,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Identifier
1808¿ThisExpression¿¿3086¿¿¿¿{"start":{"line":26,"column":19},"end":{"line":26,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿ThisExpression
1809¿ExpressionStatement¿¿3086¿¿¿¿{"start":{"line":26,"column":1},"end":{"line":26,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿ExpressionStatement
1810¿Identifier¿¿3086¿v178¿¿¿¿¿Identifier
1811¿VariableDeclarator¿¿3086¿ipcCommand¿¿¿{"start":{"line":30,"column":5},"end":{"line":30,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿VariableDeclarator
1812¿Literal¿string¿3086¿¿''¿¿{"start":{"line":30,"column":18},"end":{"line":30,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Literal
1813¿VariableDeclarator¿¿3086¿v179¿¿¿{"start":{"line":33,"column":4},"end":{"line":33,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿VariableDeclarator
1814¿MemberExpression¿¿3086¿¿¿¿{"start":{"line":33,"column":4},"end":{"line":33,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿MemberExpression
1815¿Identifier¿¿3086¿options¿¿¿{"start":{"line":33,"column":4},"end":{"line":33,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Identifier
1816¿Identifier¿¿3086¿ipc_command¿¿¿{"start":{"line":33,"column":12},"end":{"line":33,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Identifier
1817¿IfStatement¿¿3086¿¿¿¿{"start":{"line":33,"column":1},"end":{"line":82,"column":2},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿IfStatement
1818¿Identifier¿¿3086¿v179¿¿¿¿¿Identifier
1819¿VariableDeclarator¿¿3086¿v180¿¿¿{"start":{"line":34,"column":7},"end":{"line":34,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿VariableDeclarator
1820¿MemberExpression¿¿3086¿¿¿¿{"start":{"line":34,"column":7},"end":{"line":34,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿MemberExpression
1821¿Identifier¿¿3086¿options¿¿¿{"start":{"line":34,"column":7},"end":{"line":34,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Identifier
1822¿Identifier¿¿3086¿ipc_command¿¿¿{"start":{"line":34,"column":15},"end":{"line":34,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Identifier
1823¿VariableDeclarator¿¿3086¿v181¿¿¿{"start":{"line":34,"column":7},"end":{"line":34,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿VariableDeclarator
1824¿BinaryExpression¿==¿3086¿¿¿¿{"start":{"line":34,"column":7},"end":{"line":34,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿BinaryExpression
1825¿Identifier¿¿3086¿v180¿¿¿¿¿Identifier
1826¿Literal¿string¿3086¿¿'--input-ipc-server'¿¿{"start":{"line":34,"column":30},"end":{"line":34,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Literal
1827¿VariableDeclarator¿¿3086¿v182¿¿¿{"start":{"line":34,"column":54},"end":{"line":34,"column":73},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿VariableDeclarator
1828¿MemberExpression¿¿3086¿¿¿¿{"start":{"line":34,"column":54},"end":{"line":34,"column":73},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿MemberExpression
1829¿Identifier¿¿3086¿options¿¿¿{"start":{"line":34,"column":54},"end":{"line":34,"column":61},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Identifier
1830¿Identifier¿¿3086¿ipc_command¿¿¿{"start":{"line":34,"column":62},"end":{"line":34,"column":73},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Identifier
1831¿VariableDeclarator¿¿3086¿v183¿¿¿{"start":{"line":34,"column":54},"end":{"line":34,"column":98},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿VariableDeclarator
1832¿BinaryExpression¿==¿3086¿¿¿¿{"start":{"line":34,"column":54},"end":{"line":34,"column":98},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿BinaryExpression
1833¿Identifier¿¿3086¿v182¿¿¿¿¿Identifier
1834¿Literal¿string¿3086¿¿'--input-unix-socket'¿¿{"start":{"line":34,"column":77},"end":{"line":34,"column":98},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Literal
1835¿VariableDeclarator¿¿3086¿v184¿¿¿{"start":{"line":34,"column":7},"end":{"line":34,"column":98},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿VariableDeclarator
1836¿LogicalExpression¿||¿3086¿¿¿¿{"start":{"line":34,"column":7},"end":{"line":34,"column":98},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿LogicalExpression
1837¿Identifier¿¿3086¿v181¿¿¿¿¿Identifier
1838¿Identifier¿¿3086¿v183¿¿¿¿¿Identifier
1839¿VariableDeclarator¿¿3086¿v185¿¿¿{"start":{"line":34,"column":5},"end":{"line":34,"column":99},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿VariableDeclarator
1840¿UnaryExpression¿!¿3086¿¿¿¿{"start":{"line":34,"column":5},"end":{"line":34,"column":99},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿UnaryExpression
1841¿Identifier¿¿3086¿v184¿¿¿¿¿Identifier
1842¿IfStatement¿¿3086¿¿¿¿{"start":{"line":34,"column":2},"end":{"line":36,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿IfStatement
1843¿Identifier¿¿3086¿v185¿¿¿¿¿Identifier
1844¿VariableDeclarator¿¿3086¿v186¿¿¿{"start":{"line":35,"column":3},"end":{"line":35,"column":96},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿VariableDeclarator
1845¿CallExpression¿¿3086¿¿¿¿{"start":{"line":35,"column":3},"end":{"line":35,"column":96},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿CallExpression
1846¿MemberExpression¿¿3086¿¿¿¿{"start":{"line":35,"column":3},"end":{"line":35,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿MemberExpression
1847¿Identifier¿¿3086¿console¿¿¿{"start":{"line":35,"column":3},"end":{"line":35,"column":10},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Identifier
1848¿Identifier¿¿3086¿log¿¿¿{"start":{"line":35,"column":11},"end":{"line":35,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Identifier
1849¿Literal¿string¿3086¿¿'Warning: ipcCommand was neither '--input-unix-socket' nor '--input-ipc-server''¿¿{"start":{"line":35,"column":15},"end":{"line":35,"column":95},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Literal
1850¿ExpressionStatement¿¿3086¿¿¿¿{"start":{"line":35,"column":3},"end":{"line":35,"column":97},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿ExpressionStatement
1851¿Identifier¿¿3086¿v186¿¿¿¿¿Identifier
1852¿BlockStatement¿¿3086¿¿¿¿{"start":{"line":34,"column":100},"end":{"line":36,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿BlockStatement
1853¿ExpressionStatement¿¿3086¿¿¿¿{"start":{"line":37,"column":2},"end":{"line":37,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿ExpressionStatement
1854¿AssignmentExpression¿=¿3086¿¿¿¿{"start":{"line":37,"column":2},"end":{"line":37,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿AssignmentExpression
1855¿Identifier¿¿3086¿ipcCommand¿¿¿{"start":{"line":37,"column":2},"end":{"line":37,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Identifier
1856¿MemberExpression¿¿3086¿¿¿¿{"start":{"line":37,"column":15},"end":{"line":37,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿MemberExpression
1857¿Identifier¿¿3086¿options¿¿¿{"start":{"line":37,"column":15},"end":{"line":37,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Identifier
1858¿Identifier¿¿3086¿ipc_command¿¿¿{"start":{"line":37,"column":23},"end":{"line":37,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Identifier
1859¿BlockStatement¿¿3086¿¿¿¿{"start":{"line":33,"column":24},"end":{"line":38,"column":2},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿BlockStatement
1860¿VariableDeclarator¿¿3086¿v187¿¿¿{"start":{"line":45,"column":21},"end":{"line":45,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿VariableDeclarator
1861¿MemberExpression¿¿3086¿¿¿¿{"start":{"line":45,"column":21},"end":{"line":45,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿MemberExpression
1862¿Identifier¿¿3086¿options¿¿¿{"start":{"line":45,"column":21},"end":{"line":45,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Identifier
1863¿Identifier¿¿3086¿binary¿¿¿{"start":{"line":45,"column":29},"end":{"line":45,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Identifier
1864¿VariableDeclarator¿¿3086¿v188¿¿¿{"start":{"line":45,"column":38},"end":{"line":45,"column":52},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿VariableDeclarator
1865¿MemberExpression¿¿3086¿¿¿¿{"start":{"line":45,"column":38},"end":{"line":45,"column":52},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿MemberExpression
1866¿Identifier¿¿3086¿options¿¿¿{"start":{"line":45,"column":38},"end":{"line":45,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Identifier
1867¿Identifier¿¿3086¿binary¿¿¿{"start":{"line":45,"column":46},"end":{"line":45,"column":52},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Identifier
1868¿VariableDeclarator¿¿3086¿v189¿¿¿{"start":{"line":45,"column":38},"end":{"line":45,"column":67},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿VariableDeclarator
1869¿BinaryExpression¿+¿3086¿¿¿¿{"start":{"line":45,"column":38},"end":{"line":45,"column":67},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿BinaryExpression
1870¿Identifier¿¿3086¿v188¿¿¿¿¿Identifier
1871¿Literal¿string¿3086¿¿' --version'¿¿{"start":{"line":45,"column":55},"end":{"line":45,"column":67},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Literal
1872¿VariableDeclarator¿¿3086¿v190¿¿¿{"start":{"line":45,"column":21},"end":{"line":45,"column":85},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿VariableDeclarator
1873¿IfStatement¿¿3086¿¿¿¿{"start":{"line":45,"column":21},"end":{"line":45,"column":85},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿IfStatement
1874¿Identifier¿¿3086¿v187¿¿¿¿¿Identifier
1875¿ExpressionStatement¿¿3086¿¿¿¿{"start":{"line":45,"column":21},"end":{"line":45,"column":85},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿ExpressionStatement
