Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
754¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":120,"column":2},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Program
774¿MemberExpression¿¿1296¿¿¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":61},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿MemberExpression
775¿Identifier¿¿1296¿exports¿¿¿{"start":{"line":6,"column":36},"end":{"line":6,"column":43},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
776¿Identifier¿¿1296¿Param¿¿¿{"start":{"line":6,"column":44},"end":{"line":6,"column":49},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
777¿Identifier¿¿1296¿undefined¿¿¿{"start":{"line":6,"column":52},"end":{"line":6,"column":61},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
778¿ExpressionStatement¿¿1296¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":61},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿ExpressionStatement
779¿AssignmentExpression¿=¿1296¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":61},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿AssignmentExpression
780¿MemberExpression¿¿1296¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":61},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿MemberExpression
781¿Identifier¿¿1296¿exports¿¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":26},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
782¿Identifier¿¿1296¿Schema¿¿¿{"start":{"line":6,"column":27},"end":{"line":6,"column":33},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
783¿MemberExpression¿¿1296¿¿¿¿{"start":{"line":6,"column":36},"end":{"line":6,"column":49},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿MemberExpression
784¿Identifier¿¿1296¿exports¿¿¿{"start":{"line":6,"column":36},"end":{"line":6,"column":43},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
785¿Identifier¿¿1296¿Param¿¿¿{"start":{"line":6,"column":44},"end":{"line":6,"column":49},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
786¿ExpressionStatement¿¿1296¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":62},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿ExpressionStatement
787¿AssignmentExpression¿=¿1296¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":61},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿AssignmentExpression
788¿MemberExpression¿¿1296¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":16},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿MemberExpression
789¿Identifier¿¿1296¿exports¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":7},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
790¿Identifier¿¿1296¿handlers¿¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":16},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
791¿MemberExpression¿¿1296¿¿¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":33},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿MemberExpression
792¿Identifier¿¿1296¿exports¿¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":26},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
793¿Identifier¿¿1296¿Schema¿¿¿{"start":{"line":6,"column":27},"end":{"line":6,"column":33},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
794¿ExpressionStatement¿¿1296¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":26},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿ExpressionStatement
795¿AssignmentExpression¿=¿1296¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿AssignmentExpression
796¿MemberExpression¿¿1296¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":15},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿MemberExpression
797¿Identifier¿¿1296¿exports¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":7},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
798¿Identifier¿¿1296¿handler¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":15},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
799¿Identifier¿¿1296¿handler¿¿¿{"start":{"line":7,"column":18},"end":{"line":7,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
800¿ExpressionStatement¿¿1296¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿ExpressionStatement
801¿AssignmentExpression¿=¿1296¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":29},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿AssignmentExpression
802¿MemberExpression¿¿1296¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":17},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿MemberExpression
803¿Identifier¿¿1296¿exports¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":7},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
804¿Identifier¿¿1296¿formatter¿¿¿{"start":{"line":8,"column":8},"end":{"line":8,"column":17},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
805¿Identifier¿¿1296¿formatter¿¿¿{"start":{"line":8,"column":20},"end":{"line":8,"column":29},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
806¿ExpressionStatement¿¿1296¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":9,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿ExpressionStatement
807¿AssignmentExpression¿=¿1296¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":9,"column":29},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿AssignmentExpression
808¿MemberExpression¿¿1296¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":9,"column":17},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿MemberExpression
809¿Identifier¿¿1296¿exports¿¿¿{"start":{"line":9,"column":0},"end":{"line":9,"column":7},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
810¿Identifier¿¿1296¿validator¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":17},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
811¿Identifier¿¿1296¿validator¿¿¿{"start":{"line":9,"column":20},"end":{"line":9,"column":29},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
812¿ExpressionStatement¿¿1296¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":32},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿ExpressionStatement
813¿AssignmentExpression¿=¿1296¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":31},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿AssignmentExpression
814¿MemberExpression¿¿1296¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":18},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿MemberExpression
815¿Identifier¿¿1296¿exports¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":7},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
816¿Identifier¿¿1296¿middleware¿¿¿{"start":{"line":10,"column":8},"end":{"line":10,"column":18},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
817¿Identifier¿¿1296¿middleware¿¿¿{"start":{"line":10,"column":21},"end":{"line":10,"column":31},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
818¿ExpressionStatement¿¿1296¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":36},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿ExpressionStatement
819¿AssignmentExpression¿=¿1296¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":35},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿AssignmentExpression
820¿MemberExpression¿¿1296¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":20},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿MemberExpression
821¿Identifier¿¿1296¿exports¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":7},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
822¿Identifier¿¿1296¿errorHandler¿¿¿{"start":{"line":11,"column":8},"end":{"line":11,"column":20},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
823¿Identifier¿¿1296¿errorHandler¿¿¿{"start":{"line":11,"column":23},"end":{"line":11,"column":35},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
824¿VariableDeclarator¿¿1296¿_lodash¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":31},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿VariableDeclarator
825¿CallExpression¿¿1296¿¿¿¿{"start":{"line":13,"column":14},"end":{"line":13,"column":31},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿CallExpression
826¿Identifier¿¿1296¿require¿¿¿{"start":{"line":13,"column":14},"end":{"line":13,"column":21},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
827¿Literal¿string¿1296¿¿'lodash'¿¿{"start":{"line":13,"column":22},"end":{"line":13,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Literal
828¿VariableDeclarator¿¿1296¿_lodash2¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":46},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿VariableDeclarator
829¿CallExpression¿¿1296¿¿¿¿{"start":{"line":15,"column":15},"end":{"line":15,"column":46},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿CallExpression
830¿Identifier¿¿1296¿_interopRequireDefault¿¿¿{"start":{"line":15,"column":15},"end":{"line":15,"column":37},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
831¿Identifier¿¿1296¿_lodash¿¿¿{"start":{"line":15,"column":38},"end":{"line":15,"column":45},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
832¿VariableDeclarator¿¿1296¿_richParam¿¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":38},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿VariableDeclarator
833¿CallExpression¿¿1296¿¿¿¿{"start":{"line":17,"column":17},"end":{"line":17,"column":38},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿CallExpression
834¿Identifier¿¿1296¿require¿¿¿{"start":{"line":17,"column":17},"end":{"line":17,"column":24},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
835¿Literal¿string¿1296¿¿'rich-param'¿¿{"start":{"line":17,"column":25},"end":{"line":17,"column":37},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Literal
836¿VariableDeclarator¿¿1296¿_richParam2¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":52},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿VariableDeclarator
837¿CallExpression¿¿1296¿¿¿¿{"start":{"line":19,"column":18},"end":{"line":19,"column":52},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿CallExpression
838¿Identifier¿¿1296¿_interopRequireDefault¿¿¿{"start":{"line":19,"column":18},"end":{"line":19,"column":40},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
839¿Identifier¿¿1296¿_richParam¿¿¿{"start":{"line":19,"column":41},"end":{"line":19,"column":51},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
840¿VariableDeclarator¿¿1296¿_bodymenSchema¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":48},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿VariableDeclarator
841¿CallExpression¿¿1296¿¿¿¿{"start":{"line":21,"column":21},"end":{"line":21,"column":48},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿CallExpression
842¿Identifier¿¿1296¿require¿¿¿{"start":{"line":21,"column":21},"end":{"line":21,"column":28},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
843¿Literal¿string¿1296¿¿'./bodymen-schema'¿¿{"start":{"line":21,"column":29},"end":{"line":21,"column":47},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Literal
844¿VariableDeclarator¿¿1296¿_bodymenSchema2¿¿¿{"start":{"line":23,"column":4},"end":{"line":23,"column":60},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿VariableDeclarator
845¿CallExpression¿¿1296¿¿¿¿{"start":{"line":23,"column":22},"end":{"line":23,"column":60},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿CallExpression
846¿Identifier¿¿1296¿_interopRequireDefault¿¿¿{"start":{"line":23,"column":22},"end":{"line":23,"column":44},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
847¿Identifier¿¿1296¿_bodymenSchema¿¿¿{"start":{"line":23,"column":45},"end":{"line":23,"column":59},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
848¿VariableDeclarator¿¿1296¿_interopRequireDefault¿¿¿{"start":{"line":25,"column":0},"end":{"line":25,"column":95},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿VariableDeclarator
849¿FunctionExpression¿¿1296¿anon¿¿¿{"start":{"line":25,"column":0},"end":{"line":25,"column":95},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿FunctionExpression
850¿Identifier¿¿0¿obj¿¿¿{"start":{"line":25,"column":32},"end":{"line":25,"column":35},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
851¿VariableDeclarator¿¿1298¿v60¿¿¿{"start":{"line":25,"column":53},"end":{"line":25,"column":67},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿VariableDeclarator
852¿MemberExpression¿¿1298¿¿¿¿{"start":{"line":25,"column":53},"end":{"line":25,"column":67},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿MemberExpression
853¿Identifier¿¿1298¿obj¿¿¿{"start":{"line":25,"column":53},"end":{"line":25,"column":56},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
854¿Identifier¿¿1298¿__esModule¿¿¿{"start":{"line":25,"column":57},"end":{"line":25,"column":67},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
855¿VariableDeclarator¿¿1298¿v61¿¿¿{"start":{"line":25,"column":46},"end":{"line":25,"column":67},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿VariableDeclarator
856¿LogicalExpression¿&&¿1298¿¿¿¿{"start":{"line":25,"column":46},"end":{"line":25,"column":67},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿LogicalExpression
857¿Identifier¿¿1298¿obj¿¿¿{"start":{"line":25,"column":46},"end":{"line":25,"column":49},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
858¿Identifier¿¿1298¿v60¿¿¿¿¿Identifier
859¿VariableDeclarator¿¿1298¿v62¿¿¿{"start":{"line":25,"column":76},"end":{"line":25,"column":92},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿VariableDeclarator
860¿ObjectExpression¿¿1298¿¿¿¿{"start":{"line":25,"column":76},"end":{"line":25,"column":92},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿ObjectExpression
861¿Property¿¿1298¿¿¿¿{"start":{"line":25,"column":78},"end":{"line":25,"column":90},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Property
862¿Identifier¿¿1298¿default¿¿¿{"start":{"line":25,"column":78},"end":{"line":25,"column":85},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
863¿Identifier¿¿1298¿obj¿¿¿{"start":{"line":25,"column":87},"end":{"line":25,"column":90},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
864¿VariableDeclarator¿¿1298¿v63¿¿¿{"start":{"line":25,"column":46},"end":{"line":25,"column":92},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿VariableDeclarator
865¿IfStatement¿¿1298¿¿¿¿{"start":{"line":25,"column":46},"end":{"line":25,"column":92},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿IfStatement
866¿Identifier¿¿1298¿v61¿¿¿¿¿Identifier
867¿ExpressionStatement¿¿1298¿¿¿¿{"start":{"line":25,"column":46},"end":{"line":25,"column":92},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿ExpressionStatement
868¿AssignmentExpression¿=¿1298¿¿¿¿{"start":{"line":25,"column":46},"end":{"line":25,"column":92},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿AssignmentExpression
869¿Identifier¿¿1298¿v63¿¿¿¿¿Identifier
870¿Identifier¿¿1298¿obj¿¿¿{"start":{"line":25,"column":70},"end":{"line":25,"column":73},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿Identifier
871¿BlockStatement¿¿1298¿¿¿¿¿¿BlockStatement
872¿ExpressionStatement¿¿1298¿¿¿¿{"start":{"line":25,"column":46},"end":{"line":25,"column":92},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿ExpressionStatement
873¿AssignmentExpression¿=¿1298¿¿¿¿{"start":{"line":25,"column":46},"end":{"line":25,"column":92},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿AssignmentExpression
874¿Identifier¿¿1298¿v63¿¿¿¿¿Identifier
875¿Identifier¿¿1298¿v62¿¿¿¿¿Identifier
876¿BlockStatement¿¿1298¿¿¿¿¿¿BlockStatement
877¿ReturnStatement¿¿1298¿¿¿¿{"start":{"line":25,"column":39},"end":{"line":25,"column":93},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-vhxc-fhm5-qcp9/src/index.js"}¿¿ReturnStatement
878¿Identifier¿¿1298¿v63¿¿¿¿¿Identifier
