Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
857¿Program¿¿-1¿¿¿¿{"start":{"line":16,"column":0},"end":{"line":159,"column":2},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Program
870¿BinaryExpression¿===¿1524¿¿¿¿{"start":{"line":17,"column":6},"end":{"line":17,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿BinaryExpression
871¿Identifier¿¿1524¿v101¿¿¿¿¿Identifier
872¿Literal¿string¿1524¿¿'string'¿¿{"start":{"line":17,"column":22},"end":{"line":17,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Literal
873¿IfStatement¿¿1524¿¿¿¿{"start":{"line":17,"column":2},"end":{"line":19,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿IfStatement
874¿Identifier¿¿1524¿v102¿¿¿¿¿Identifier
875¿ExpressionStatement¿¿1524¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿ExpressionStatement
876¿AssignmentExpression¿=¿1524¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿AssignmentExpression
877¿Identifier¿¿1524¿path¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":8},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Identifier
878¿CallExpression¿¿1524¿¿¿¿{"start":{"line":18,"column":11},"end":{"line":18,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿CallExpression
879¿MemberExpression¿¿1524¿¿¿¿{"start":{"line":18,"column":11},"end":{"line":18,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿MemberExpression
880¿Identifier¿¿1524¿path¿¿¿{"start":{"line":18,"column":11},"end":{"line":18,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Identifier
881¿Identifier¿¿1524¿split¿¿¿{"start":{"line":18,"column":16},"end":{"line":18,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Identifier
882¿Literal¿string¿1524¿¿'.'¿¿{"start":{"line":18,"column":22},"end":{"line":18,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Literal
883¿BlockStatement¿¿1524¿¿¿¿{"start":{"line":17,"column":32},"end":{"line":19,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿BlockStatement
884¿VariableDeclarator¿¿1524¿v103¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿VariableDeclarator
885¿BinaryExpression¿instanceof¿1524¿¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿BinaryExpression
886¿Identifier¿¿1524¿path¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Identifier
887¿Identifier¿¿1524¿Array¿¿¿{"start":{"line":21,"column":24},"end":{"line":21,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Identifier
888¿VariableDeclarator¿¿1524¿v104¿¿¿{"start":{"line":21,"column":6},"end":{"line":21,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿VariableDeclarator
889¿UnaryExpression¿!¿1524¿¿¿¿{"start":{"line":21,"column":6},"end":{"line":21,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿UnaryExpression
890¿Identifier¿¿1524¿v103¿¿¿¿¿Identifier
891¿VariableDeclarator¿¿1524¿v105¿¿¿{"start":{"line":21,"column":34},"end":{"line":21,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿VariableDeclarator
892¿MemberExpression¿¿1524¿¿¿¿{"start":{"line":21,"column":34},"end":{"line":21,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿MemberExpression
893¿Identifier¿¿1524¿path¿¿¿{"start":{"line":21,"column":34},"end":{"line":21,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Identifier
894¿Identifier¿¿1524¿length¿¿¿{"start":{"line":21,"column":39},"end":{"line":21,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Identifier
895¿VariableDeclarator¿¿1524¿v106¿¿¿{"start":{"line":21,"column":34},"end":{"line":21,"column":51},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿VariableDeclarator
896¿BinaryExpression¿===¿1524¿¿¿¿{"start":{"line":21,"column":34},"end":{"line":21,"column":51},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿BinaryExpression
897¿Identifier¿¿1524¿v105¿¿¿¿¿Identifier
898¿Literal¿number¿1524¿¿0¿¿{"start":{"line":21,"column":50},"end":{"line":21,"column":51},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Literal
899¿VariableDeclarator¿¿1524¿v107¿¿¿{"start":{"line":21,"column":6},"end":{"line":21,"column":51},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿VariableDeclarator
900¿LogicalExpression¿||¿1524¿¿¿¿{"start":{"line":21,"column":6},"end":{"line":21,"column":51},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿LogicalExpression
901¿Identifier¿¿1524¿v104¿¿¿¿¿Identifier
902¿Identifier¿¿1524¿v106¿¿¿¿¿Identifier
903¿IfStatement¿¿1524¿¿¿¿{"start":{"line":21,"column":2},"end":{"line":23,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿IfStatement
904¿Identifier¿¿1524¿v107¿¿¿¿¿Identifier
905¿ReturnStatement¿¿1524¿¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿ReturnStatement
906¿Literal¿boolean¿1524¿¿false¿¿{"start":{"line":22,"column":11},"end":{"line":22,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Literal
907¿BlockStatement¿¿1524¿¿¿¿{"start":{"line":21,"column":53},"end":{"line":23,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿BlockStatement
908¿ExpressionStatement¿¿1524¿¿¿¿{"start":{"line":25,"column":2},"end":{"line":25,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿ExpressionStatement
909¿AssignmentExpression¿=¿1524¿¿¿¿{"start":{"line":25,"column":2},"end":{"line":25,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿AssignmentExpression
910¿Identifier¿¿1524¿path¿¿¿{"start":{"line":25,"column":2},"end":{"line":25,"column":6},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Identifier
911¿CallExpression¿¿1524¿¿¿¿{"start":{"line":25,"column":9},"end":{"line":25,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿CallExpression
912¿MemberExpression¿¿1524¿¿¿¿{"start":{"line":25,"column":9},"end":{"line":25,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿MemberExpression
913¿Identifier¿¿1524¿path¿¿¿{"start":{"line":25,"column":9},"end":{"line":25,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Identifier
914¿Identifier¿¿1524¿slice¿¿¿{"start":{"line":25,"column":14},"end":{"line":25,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Identifier
915¿VariableDeclarator¿¿1524¿key¿¿¿{"start":{"line":27,"column":6},"end":{"line":27,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿VariableDeclarator
916¿CallExpression¿¿1524¿¿¿¿{"start":{"line":27,"column":12},"end":{"line":27,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿CallExpression
917¿MemberExpression¿¿1524¿¿¿¿{"start":{"line":27,"column":12},"end":{"line":27,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿MemberExpression
918¿Identifier¿¿1524¿path¿¿¿{"start":{"line":27,"column":12},"end":{"line":27,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Identifier
919¿Identifier¿¿1524¿shift¿¿¿{"start":{"line":27,"column":17},"end":{"line":27,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Identifier
920¿VariableDeclarator¿¿1524¿v108¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿VariableDeclarator
921¿UnaryExpression¿typeof¿1524¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿UnaryExpression
922¿Identifier¿¿1524¿object¿¿¿{"start":{"line":29,"column":13},"end":{"line":29,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Identifier
923¿VariableDeclarator¿¿1524¿v109¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿VariableDeclarator
924¿BinaryExpression¿!==¿1524¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿BinaryExpression
925¿Identifier¿¿1524¿v108¿¿¿¿¿Identifier
926¿Literal¿string¿1524¿¿'object'¿¿{"start":{"line":29,"column":24},"end":{"line":29,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Literal
927¿VariableDeclarator¿¿1524¿v110¿¿¿{"start":{"line":29,"column":36},"end":{"line":29,"column":51},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿VariableDeclarator
928¿BinaryExpression¿===¿1524¿¿¿¿{"start":{"line":29,"column":36},"end":{"line":29,"column":51},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿BinaryExpression
929¿Identifier¿¿1524¿object¿¿¿{"start":{"line":29,"column":36},"end":{"line":29,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Identifier
930¿Literal¿object¿1524¿¿null¿¿{"start":{"line":29,"column":47},"end":{"line":29,"column":51},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Literal
931¿VariableDeclarator¿¿1524¿v111¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":51},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿VariableDeclarator
932¿LogicalExpression¿||¿1524¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":51},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿LogicalExpression
933¿Identifier¿¿1524¿v109¿¿¿¿¿Identifier
934¿Identifier¿¿1524¿v110¿¿¿¿¿Identifier
935¿IfStatement¿¿1524¿¿¿¿{"start":{"line":29,"column":2},"end":{"line":31,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿IfStatement
936¿Identifier¿¿1524¿v111¿¿¿¿¿Identifier
937¿ReturnStatement¿¿1524¿¿¿¿{"start":{"line":30,"column":4},"end":{"line":30,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿ReturnStatement
938¿Literal¿boolean¿1524¿¿false¿¿{"start":{"line":30,"column":11},"end":{"line":30,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Literal
939¿BlockStatement¿¿1524¿¿¿¿{"start":{"line":29,"column":53},"end":{"line":31,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿BlockStatement
940¿VariableDeclarator¿¿1524¿v112¿¿¿{"start":{"line":33,"column":6},"end":{"line":33,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿VariableDeclarator
941¿MemberExpression¿¿1524¿¿¿¿{"start":{"line":33,"column":6},"end":{"line":33,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿MemberExpression
942¿Identifier¿¿1524¿path¿¿¿{"start":{"line":33,"column":6},"end":{"line":33,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Identifier
943¿Identifier¿¿1524¿length¿¿¿{"start":{"line":33,"column":11},"end":{"line":33,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Identifier
944¿VariableDeclarator¿¿1524¿v113¿¿¿{"start":{"line":33,"column":6},"end":{"line":33,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿VariableDeclarator
945¿BinaryExpression¿===¿1524¿¿¿¿{"start":{"line":33,"column":6},"end":{"line":33,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿BinaryExpression
946¿Identifier¿¿1524¿v112¿¿¿¿¿Identifier
947¿Literal¿number¿1524¿¿0¿¿{"start":{"line":33,"column":22},"end":{"line":33,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Literal
948¿IfStatement¿¿1524¿¿¿¿{"start":{"line":33,"column":2},"end":{"line":37,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿IfStatement
949¿Identifier¿¿1524¿v113¿¿¿¿¿Identifier
950¿VariableDeclarator¿¿1524¿v114¿¿¿{"start":{"line":34,"column":11},"end":{"line":34,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿VariableDeclarator
951¿MemberExpression¿¿1524¿¿¿¿{"start":{"line":34,"column":11},"end":{"line":34,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿MemberExpression
952¿Identifier¿¿1524¿Object¿¿¿{"start":{"line":34,"column":11},"end":{"line":34,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Identifier
953¿Identifier¿¿1524¿hasOwnProperty¿¿¿{"start":{"line":34,"column":18},"end":{"line":34,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Identifier
954¿VariableDeclarator¿¿1524¿v115¿¿¿{"start":{"line":34,"column":47},"end":{"line":34,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿VariableDeclarator
955¿ArrayExpression¿¿1524¿¿¿¿{"start":{"line":34,"column":47},"end":{"line":34,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿ArrayExpression
956¿Identifier¿¿1524¿key¿¿¿{"start":{"line":34,"column":48},"end":{"line":34,"column":51},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Identifier
957¿VariableDeclarator¿¿1524¿v116¿¿¿{"start":{"line":34,"column":11},"end":{"line":34,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿VariableDeclarator
958¿CallExpression¿¿1524¿¿¿¿{"start":{"line":34,"column":11},"end":{"line":34,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿CallExpression
959¿MemberExpression¿¿1524¿¿¿¿{"start":{"line":34,"column":11},"end":{"line":34,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿MemberExpression
960¿Identifier¿¿1524¿v114¿¿¿¿¿Identifier
961¿Identifier¿¿1524¿apply¿¿¿{"start":{"line":34,"column":33},"end":{"line":34,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Identifier
962¿Identifier¿¿1524¿object¿¿¿{"start":{"line":34,"column":39},"end":{"line":34,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Identifier
963¿Identifier¿¿1524¿v115¿¿¿¿¿Identifier
964¿ReturnStatement¿¿1524¿¿¿¿{"start":{"line":34,"column":4},"end":{"line":34,"column":54},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿ReturnStatement
965¿Identifier¿¿1524¿v116¿¿¿¿¿Identifier
966¿BlockStatement¿¿1524¿¿¿¿{"start":{"line":33,"column":25},"end":{"line":35,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿BlockStatement
967¿VariableDeclarator¿¿1524¿v117¿¿¿{"start":{"line":36,"column":18},"end":{"line":36,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿VariableDeclarator
968¿MemberExpression¿computed¿1524¿¿¿¿{"start":{"line":36,"column":18},"end":{"line":36,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿MemberExpression
969¿Identifier¿¿1524¿object¿¿¿{"start":{"line":36,"column":18},"end":{"line":36,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Identifier
970¿Identifier¿¿1524¿key¿¿¿{"start":{"line":36,"column":25},"end":{"line":36,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Identifier
971¿VariableDeclarator¿¿1524¿v118¿¿¿{"start":{"line":36,"column":11},"end":{"line":36,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿VariableDeclarator
972¿CallExpression¿¿1524¿¿¿¿{"start":{"line":36,"column":11},"end":{"line":36,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿CallExpression
973¿Identifier¿¿1524¿exists¿¿¿{"start":{"line":36,"column":11},"end":{"line":36,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Identifier
974¿Identifier¿¿1524¿v117¿¿¿¿¿Identifier
975¿Identifier¿¿1524¿path¿¿¿{"start":{"line":36,"column":31},"end":{"line":36,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Identifier
976¿ReturnStatement¿¿1524¿¿¿¿{"start":{"line":36,"column":4},"end":{"line":36,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿ReturnStatement
977¿Identifier¿¿1524¿v118¿¿¿¿¿Identifier
978¿BlockStatement¿¿1524¿¿¿¿{"start":{"line":35,"column":9},"end":{"line":37,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿BlockStatement
979¿BlockStatement¿¿1524¿¿¿¿{"start":{"line":16,"column":67},"end":{"line":38,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿BlockStatement
980¿ExpressionStatement¿¿1522¿¿¿¿{"start":{"line":16,"column":13},"end":{"line":38,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿ExpressionStatement
981¿AssignmentExpression¿=¿1522¿¿¿¿{"start":{"line":16,"column":13},"end":{"line":38,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿AssignmentExpression
982¿MemberExpression¿¿1522¿¿¿¿{"start":{"line":16,"column":13},"end":{"line":16,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿MemberExpression
983¿Identifier¿¿1522¿v100¿¿¿¿¿Identifier
984¿Identifier¿¿1522¿exists¿¿¿{"start":{"line":16,"column":28},"end":{"line":16,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Identifier
985¿Identifier¿¿1522¿exists¿¿¿¿¿Identifier
986¿VariableDeclarator¿¿1522¿exists¿¿¿{"start":{"line":16,"column":4},"end":{"line":38,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿VariableDeclarator
987¿MemberExpression¿¿1522¿¿¿¿{"start":{"line":16,"column":13},"end":{"line":16,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿MemberExpression
988¿Identifier¿¿1522¿v100¿¿¿¿¿Identifier
989¿Identifier¿¿1522¿exists¿¿¿{"start":{"line":16,"column":28},"end":{"line":16,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Identifier
990¿VariableDeclarator¿¿1522¿v119¿¿¿{"start":{"line":50,"column":10},"end":{"line":50,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿VariableDeclarator
991¿MemberExpression¿¿1522¿¿¿¿{"start":{"line":50,"column":10},"end":{"line":50,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿MemberExpression
992¿Identifier¿¿1522¿module¿¿¿{"start":{"line":50,"column":10},"end":{"line":50,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Identifier
993¿Identifier¿¿1522¿exports¿¿¿{"start":{"line":50,"column":17},"end":{"line":50,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Identifier
994¿VariableDeclarator¿exported¿1522¿get¿¿¿{"start":{"line":50,"column":10},"end":{"line":74,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿VariableDeclarator
995¿FunctionExpression¿¿1522¿anon¿¿¿{"start":{"line":50,"column":31},"end":{"line":74,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿FunctionExpression
996¿Identifier¿¿0¿object¿¿¿{"start":{"line":50,"column":44},"end":{"line":50,"column":50},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Identifier
997¿Identifier¿¿0¿path¿¿¿{"start":{"line":50,"column":52},"end":{"line":50,"column":56},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Identifier
998¿VariableDeclarator¿¿1530¿v120¿¿¿{"start":{"line":51,"column":6},"end":{"line":51,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿VariableDeclarator
999¿UnaryExpression¿typeof¿1530¿¿¿¿{"start":{"line":51,"column":6},"end":{"line":51,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿UnaryExpression
1000¿Identifier¿¿1530¿path¿¿¿{"start":{"line":51,"column":13},"end":{"line":51,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿Identifier
1001¿VariableDeclarator¿¿1530¿v121¿¿¿{"start":{"line":51,"column":6},"end":{"line":51,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/dotty_0.0.1/src/index.js"}¿¿VariableDeclarator
