Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
3088¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":166,"column":2},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Program
3104¿MemberExpression¿¿4446¿¿¿¿{"start":{"line":16,"column":13},"end":{"line":16,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿MemberExpression
3105¿Identifier¿¿4446¿Utils¿¿¿{"start":{"line":16,"column":13},"end":{"line":16,"column":18},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3106¿Identifier¿¿4446¿decode¿¿¿{"start":{"line":16,"column":19},"end":{"line":16,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3107¿VariableDeclarator¿¿4446¿defaults¿¿¿{"start":{"line":7,"column":4},"end":{"line":17,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿VariableDeclarator
3108¿ObjectExpression¿¿4446¿¿¿¿¿¿ObjectExpression
3109¿ExpressionStatement¿¿4446¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":17,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿ExpressionStatement
3110¿AssignmentExpression¿=¿4446¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":17,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿AssignmentExpression
3111¿MemberExpression¿¿4446¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":17,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿MemberExpression
3112¿Identifier¿¿4446¿defaults¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":12},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3113¿Identifier¿¿4446¿delimiter¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":13},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3114¿Literal¿string¿4446¿¿'&'¿¿{"start":{"line":8,"column":15},"end":{"line":8,"column":18},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Literal
3115¿ExpressionStatement¿¿4446¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":17,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿ExpressionStatement
3116¿AssignmentExpression¿=¿4446¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":17,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿AssignmentExpression
3117¿MemberExpression¿¿4446¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":17,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿MemberExpression
3118¿Identifier¿¿4446¿defaults¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":12},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3119¿Identifier¿¿4446¿depth¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":9},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3120¿Literal¿number¿4446¿¿5¿¿{"start":{"line":9,"column":11},"end":{"line":9,"column":12},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Literal
3121¿ExpressionStatement¿¿4446¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":17,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿ExpressionStatement
3122¿AssignmentExpression¿=¿4446¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":17,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿AssignmentExpression
3123¿MemberExpression¿¿4446¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":17,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿MemberExpression
3124¿Identifier¿¿4446¿defaults¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":12},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3125¿Identifier¿¿4446¿arrayLimit¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":14},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3126¿Literal¿number¿4446¿¿20¿¿{"start":{"line":10,"column":16},"end":{"line":10,"column":18},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Literal
3127¿ExpressionStatement¿¿4446¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":17,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿ExpressionStatement
3128¿AssignmentExpression¿=¿4446¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":17,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿AssignmentExpression
3129¿MemberExpression¿¿4446¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":17,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿MemberExpression
3130¿Identifier¿¿4446¿defaults¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":12},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3131¿Identifier¿¿4446¿parameterLimit¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":18},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3132¿Literal¿number¿4446¿¿1000¿¿{"start":{"line":11,"column":20},"end":{"line":11,"column":24},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Literal
3133¿ExpressionStatement¿¿4446¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":17,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿ExpressionStatement
3134¿AssignmentExpression¿=¿4446¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":17,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿AssignmentExpression
3135¿MemberExpression¿¿4446¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":17,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿MemberExpression
3136¿Identifier¿¿4446¿defaults¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":12},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3137¿Identifier¿¿4446¿strictNullHandling¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":22},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3138¿Literal¿boolean¿4446¿¿false¿¿{"start":{"line":12,"column":24},"end":{"line":12,"column":29},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Literal
3139¿ExpressionStatement¿¿4446¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":17,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿ExpressionStatement
3140¿AssignmentExpression¿=¿4446¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":17,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿AssignmentExpression
3141¿MemberExpression¿¿4446¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":17,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿MemberExpression
3142¿Identifier¿¿4446¿defaults¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":12},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3143¿Identifier¿¿4446¿plainObjects¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":16},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3144¿Literal¿boolean¿4446¿¿false¿¿{"start":{"line":13,"column":18},"end":{"line":13,"column":23},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Literal
3145¿ExpressionStatement¿¿4446¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":17,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿ExpressionStatement
3146¿AssignmentExpression¿=¿4446¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":17,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿AssignmentExpression
3147¿MemberExpression¿¿4446¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":17,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿MemberExpression
3148¿Identifier¿¿4446¿defaults¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":12},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3149¿Identifier¿¿4446¿allowPrototypes¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":19},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3150¿Literal¿boolean¿4446¿¿false¿¿{"start":{"line":14,"column":21},"end":{"line":14,"column":26},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Literal
3151¿ExpressionStatement¿¿4446¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":17,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿ExpressionStatement
3152¿AssignmentExpression¿=¿4446¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":17,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿AssignmentExpression
3153¿MemberExpression¿¿4446¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":17,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿MemberExpression
3154¿Identifier¿¿4446¿defaults¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":12},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3155¿Identifier¿¿4446¿allowDots¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":13},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3156¿Literal¿boolean¿4446¿¿false¿¿{"start":{"line":15,"column":15},"end":{"line":15,"column":20},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Literal
3157¿ExpressionStatement¿¿4446¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":17,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿ExpressionStatement
3158¿AssignmentExpression¿=¿4446¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":17,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿AssignmentExpression
3159¿MemberExpression¿¿4446¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":17,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿MemberExpression
3160¿Identifier¿¿4446¿defaults¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":12},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3161¿Identifier¿¿4446¿decoder¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":11},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3162¿Identifier¿¿4446¿v360¿¿¿¿¿Identifier
3163¿VariableDeclarator¿¿4446¿parseValues¿¿¿{"start":{"line":19,"column":4},"end":{"line":43,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿VariableDeclarator
3164¿FunctionExpression¿¿4446¿parseValues¿¿¿{"start":{"line":19,"column":18},"end":{"line":43,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿FunctionExpression
3165¿Identifier¿¿0¿str¿¿¿{"start":{"line":19,"column":39},"end":{"line":19,"column":42},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3166¿Identifier¿¿0¿options¿¿¿{"start":{"line":19,"column":44},"end":{"line":19,"column":51},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3167¿VariableDeclarator¿¿4448¿obj¿¿¿{"start":{"line":20,"column":8},"end":{"line":20,"column":16},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿VariableDeclarator
3168¿ObjectExpression¿¿4448¿¿¿¿¿¿ObjectExpression
3169¿VariableDeclarator¿¿4448¿v361¿¿¿{"start":{"line":21,"column":26},"end":{"line":21,"column":43},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿VariableDeclarator
3170¿MemberExpression¿¿4448¿¿¿¿{"start":{"line":21,"column":26},"end":{"line":21,"column":43},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿MemberExpression
3171¿Identifier¿¿4448¿options¿¿¿{"start":{"line":21,"column":26},"end":{"line":21,"column":33},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3172¿Identifier¿¿4448¿delimiter¿¿¿{"start":{"line":21,"column":34},"end":{"line":21,"column":43},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3173¿VariableDeclarator¿¿4448¿v362¿¿¿{"start":{"line":21,"column":45},"end":{"line":21,"column":67},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿VariableDeclarator
3174¿MemberExpression¿¿4448¿¿¿¿{"start":{"line":21,"column":45},"end":{"line":21,"column":67},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿MemberExpression
3175¿Identifier¿¿4448¿options¿¿¿{"start":{"line":21,"column":45},"end":{"line":21,"column":52},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3176¿Identifier¿¿4448¿parameterLimit¿¿¿{"start":{"line":21,"column":53},"end":{"line":21,"column":67},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3177¿VariableDeclarator¿¿4448¿v363¿¿¿{"start":{"line":21,"column":45},"end":{"line":21,"column":80},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿VariableDeclarator
3178¿BinaryExpression¿===¿4448¿¿¿¿{"start":{"line":21,"column":45},"end":{"line":21,"column":80},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿BinaryExpression
3179¿Identifier¿¿4448¿v362¿¿¿¿¿Identifier
3180¿Identifier¿¿4448¿Infinity¿¿¿{"start":{"line":21,"column":72},"end":{"line":21,"column":80},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3181¿VariableDeclarator¿¿4448¿v364¿¿¿{"start":{"line":21,"column":95},"end":{"line":21,"column":117},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿VariableDeclarator
3182¿MemberExpression¿¿4448¿¿¿¿{"start":{"line":21,"column":95},"end":{"line":21,"column":117},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿MemberExpression
3183¿Identifier¿¿4448¿options¿¿¿{"start":{"line":21,"column":95},"end":{"line":21,"column":102},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3184¿Identifier¿¿4448¿parameterLimit¿¿¿{"start":{"line":21,"column":103},"end":{"line":21,"column":117},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3185¿VariableDeclarator¿¿4448¿v365¿¿¿{"start":{"line":21,"column":45},"end":{"line":21,"column":117},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿VariableDeclarator
3186¿IfStatement¿¿4448¿¿¿¿{"start":{"line":21,"column":45},"end":{"line":21,"column":117},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿IfStatement
3187¿Identifier¿¿4448¿v363¿¿¿¿¿Identifier
3188¿ExpressionStatement¿¿4448¿¿¿¿{"start":{"line":21,"column":45},"end":{"line":21,"column":117},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿ExpressionStatement
3189¿AssignmentExpression¿=¿4448¿¿¿¿{"start":{"line":21,"column":45},"end":{"line":21,"column":117},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿AssignmentExpression
3190¿Identifier¿¿4448¿v365¿¿¿¿¿Identifier
3191¿Identifier¿¿4448¿undefined¿¿¿{"start":{"line":21,"column":83},"end":{"line":21,"column":92},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3192¿BlockStatement¿¿4448¿¿¿¿¿¿BlockStatement
3193¿ExpressionStatement¿¿4448¿¿¿¿{"start":{"line":21,"column":45},"end":{"line":21,"column":117},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿ExpressionStatement
3194¿AssignmentExpression¿=¿4448¿¿¿¿{"start":{"line":21,"column":45},"end":{"line":21,"column":117},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿AssignmentExpression
3195¿Identifier¿¿4448¿v365¿¿¿¿¿Identifier
3196¿Identifier¿¿4448¿v364¿¿¿¿¿Identifier
3197¿BlockStatement¿¿4448¿¿¿¿¿¿BlockStatement
3198¿VariableDeclarator¿¿4448¿parts¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":118},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿VariableDeclarator
3199¿CallExpression¿¿4448¿¿¿¿{"start":{"line":21,"column":16},"end":{"line":21,"column":118},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿CallExpression
3200¿MemberExpression¿¿4448¿¿¿¿{"start":{"line":21,"column":16},"end":{"line":21,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿MemberExpression
3201¿Identifier¿¿4448¿str¿¿¿{"start":{"line":21,"column":16},"end":{"line":21,"column":19},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3202¿Identifier¿¿4448¿split¿¿¿{"start":{"line":21,"column":20},"end":{"line":21,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3203¿Identifier¿¿4448¿v361¿¿¿¿¿Identifier
3204¿Identifier¿¿4448¿v365¿¿¿¿¿Identifier
3205¿VariableDeclarator¿¿4448¿i¿¿¿{"start":{"line":23,"column":13},"end":{"line":23,"column":18},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿VariableDeclarator
3206¿Literal¿number¿4448¿¿0¿¿{"start":{"line":23,"column":17},"end":{"line":23,"column":18},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Literal
3207¿VariableDeclarator¿¿4448¿v366¿¿¿{"start":{"line":23,"column":24},"end":{"line":23,"column":36},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿VariableDeclarator
3208¿MemberExpression¿¿4448¿¿¿¿{"start":{"line":23,"column":24},"end":{"line":23,"column":36},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿MemberExpression
3209¿Identifier¿¿4448¿parts¿¿¿{"start":{"line":23,"column":24},"end":{"line":23,"column":29},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3210¿Identifier¿¿4448¿length¿¿¿{"start":{"line":23,"column":30},"end":{"line":23,"column":36},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3211¿VariableDeclarator¿¿4448¿v367¿¿¿{"start":{"line":23,"column":20},"end":{"line":23,"column":36},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿VariableDeclarator
3212¿BinaryExpression¿<¿4448¿¿¿¿{"start":{"line":23,"column":20},"end":{"line":23,"column":36},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿BinaryExpression
3213¿Identifier¿¿4448¿i¿¿¿{"start":{"line":23,"column":20},"end":{"line":23,"column":21},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3214¿Identifier¿¿4448¿v366¿¿¿¿¿Identifier
3215¿WhileStatement¿¿4448¿¿¿¿{"start":{"line":23,"column":4},"end":{"line":40,"column":5},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿WhileStatement
3216¿Identifier¿¿4448¿v367¿¿¿¿¿Identifier
3217¿VariableDeclarator¿¿4448¿part¿¿¿{"start":{"line":24,"column":12},"end":{"line":24,"column":27},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿VariableDeclarator
3218¿MemberExpression¿computed¿4448¿¿¿¿{"start":{"line":24,"column":19},"end":{"line":24,"column":27},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿MemberExpression
3219¿Identifier¿¿4448¿parts¿¿¿{"start":{"line":24,"column":19},"end":{"line":24,"column":24},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3220¿Identifier¿¿4448¿i¿¿¿{"start":{"line":24,"column":25},"end":{"line":24,"column":26},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3221¿VariableDeclarator¿¿4448¿pos¿¿¿{"start":{"line":25,"column":12},"end":{"line":25,"column":88},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿VariableDeclarator
3222¿VariableDeclarator¿¿4448¿v369¿¿¿{"start":{"line":25,"column":18},"end":{"line":25,"column":36},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿VariableDeclarator
3223¿CallExpression¿¿4448¿¿¿¿{"start":{"line":25,"column":18},"end":{"line":25,"column":36},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿CallExpression
3224¿MemberExpression¿¿4448¿¿¿¿{"start":{"line":25,"column":18},"end":{"line":25,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿MemberExpression
3225¿Identifier¿¿4448¿part¿¿¿{"start":{"line":25,"column":18},"end":{"line":25,"column":22},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3226¿Identifier¿¿4448¿indexOf¿¿¿{"start":{"line":25,"column":23},"end":{"line":25,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Identifier
3227¿Literal¿string¿4448¿¿']='¿¿{"start":{"line":25,"column":31},"end":{"line":25,"column":35},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Literal
3228¿VariableDeclarator¿¿4448¿v370¿¿¿{"start":{"line":25,"column":41},"end":{"line":25,"column":43},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿VariableDeclarator
3229¿UnaryExpression¿-¿4448¿¿¿¿{"start":{"line":25,"column":41},"end":{"line":25,"column":43},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿UnaryExpression
3230¿Literal¿number¿4448¿¿1¿¿{"start":{"line":25,"column":42},"end":{"line":25,"column":43},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿Literal
3231¿VariableDeclarator¿¿4448¿v371¿¿¿{"start":{"line":25,"column":18},"end":{"line":25,"column":43},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿VariableDeclarator
3232¿BinaryExpression¿===¿4448¿¿¿¿{"start":{"line":25,"column":18},"end":{"line":25,"column":43},"fname":"/datasets/vulcan-dataset/CWE-471/1469/src/parse.js"}¿¿BinaryExpression
3233¿Identifier¿¿4448¿v369¿¿¿¿¿Identifier
3234¿Identifier¿¿4448¿v370¿¿¿¿¿Identifier
