Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
913¿Program¿¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":149,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Program
927¿CallExpression¿¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":36},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿CallExpression
928¿Identifier¿¿require¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
929¿Literal¿string¿¿'mz/child_process'¿¿{"start":{"line":4,"column":17},"end":{"line":4,"column":35},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Literal
930¿VariableDeclarator¿¿parseLinux¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":42},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
931¿CallExpression¿¿¿¿¿{"start":{"line":6,"column":17},"end":{"line":6,"column":42},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿CallExpression
932¿Identifier¿¿require¿¿¿{"start":{"line":6,"column":17},"end":{"line":6,"column":24},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
933¿Literal¿string¿¿'./parser/linux'¿¿{"start":{"line":6,"column":25},"end":{"line":6,"column":41},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Literal
934¿VariableDeclarator¿¿parseWin32¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":42},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
935¿CallExpression¿¿¿¿¿{"start":{"line":7,"column":17},"end":{"line":7,"column":42},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿CallExpression
936¿Identifier¿¿require¿¿¿{"start":{"line":7,"column":17},"end":{"line":7,"column":24},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
937¿Literal¿string¿¿'./parser/win32'¿¿{"start":{"line":7,"column":25},"end":{"line":7,"column":41},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Literal
938¿VariableDeclarator¿¿parseRow¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":34},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
939¿CallExpression¿¿¿¿¿{"start":{"line":8,"column":15},"end":{"line":8,"column":34},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿CallExpression
940¿Identifier¿¿require¿¿¿{"start":{"line":8,"column":15},"end":{"line":8,"column":22},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
941¿Literal¿string¿¿'./parser'¿¿{"start":{"line":8,"column":23},"end":{"line":8,"column":33},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Literal
942¿VariableDeclarator¿¿servers¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":26},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
943¿CallExpression¿¿¿¿¿{"start":{"line":10,"column":14},"end":{"line":10,"column":26},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿CallExpression
944¿Identifier¿¿getServers¿¿¿{"start":{"line":10,"column":14},"end":{"line":10,"column":24},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
945¿VariableDeclarator¿¿lock¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":13},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
946¿ObjectExpression¿¿¿¿¿¿¿ObjectExpression
947¿VariableDeclarator¿exported¿findLocalDevices¿¿¿¿¿VariableDeclarator
948¿FunctionExpression¿¿anon¿¿¿{"start":{"line":16,"column":17},"end":{"line":25,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿FunctionExpression
949¿Identifier¿¿address¿¿¿{"start":{"line":16,"column":44},"end":{"line":16,"column":51},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
950¿VariableDeclarator¿¿key¿¿¿{"start":{"line":17,"column":6},"end":{"line":17,"column":27},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
951¿CallExpression¿¿¿¿¿{"start":{"line":17,"column":12},"end":{"line":17,"column":27},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿CallExpression
952¿Identifier¿¿String¿¿¿{"start":{"line":17,"column":12},"end":{"line":17,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
953¿Identifier¿¿address¿¿¿{"start":{"line":17,"column":19},"end":{"line":17,"column":26},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
954¿VariableDeclarator¿¿v84¿¿¿¿¿VariableDeclarator
955¿MemberExpression¿computed¿¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":13},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
956¿Identifier¿¿lock¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":8},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
957¿Identifier¿¿key¿¿¿{"start":{"line":19,"column":9},"end":{"line":19,"column":12},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
958¿VariableDeclarator¿¿v85¿¿¿¿¿VariableDeclarator
959¿CallExpression¿¿¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":27},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿CallExpression
960¿Identifier¿¿pingServer¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
961¿Identifier¿¿address¿¿¿{"start":{"line":21,"column":19},"end":{"line":21,"column":26},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
962¿VariableDeclarator¿¿v86¿¿¿¿¿VariableDeclarator
963¿CallExpression¿¿¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":40},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿CallExpression
964¿MemberExpression¿¿¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":32},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
965¿Identifier¿¿v85¿¿¿¿¿Identifier
966¿Identifier¿¿then¿¿¿{"start":{"line":21,"column":28},"end":{"line":21,"column":32},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
967¿Identifier¿¿arpOne¿¿¿{"start":{"line":21,"column":33},"end":{"line":21,"column":39},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
968¿VariableDeclarator¿¿v87¿¿¿¿¿VariableDeclarator
969¿CallExpression¿¿¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿CallExpression
970¿Identifier¿¿pingServers¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":19},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
971¿VariableDeclarator¿¿v88¿¿¿¿¿VariableDeclarator
972¿CallExpression¿¿¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":34},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿CallExpression
973¿MemberExpression¿¿¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":26},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
974¿Identifier¿¿v87¿¿¿¿¿Identifier
975¿Identifier¿¿then¿¿¿{"start":{"line":22,"column":22},"end":{"line":22,"column":26},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
976¿Identifier¿¿arpAll¿¿¿{"start":{"line":22,"column":27},"end":{"line":22,"column":33},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
977¿VariableDeclarator¿¿v89¿¿¿¿¿VariableDeclarator
978¿IfStatement¿¿¿¿¿{"start":{"line":20,"column":5},"end":{"line":22,"column":34},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿IfStatement
979¿Identifier¿¿address¿¿¿{"start":{"line":20,"column":5},"end":{"line":20,"column":12},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
980¿ExpressionStatement¿¿¿¿¿{"start":{"line":20,"column":5},"end":{"line":22,"column":34},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿ExpressionStatement
981¿AssignmentExpression¿=¿¿¿¿{"start":{"line":20,"column":5},"end":{"line":22,"column":34},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿AssignmentExpression
982¿Identifier¿¿v89¿¿¿¿¿Identifier
983¿Identifier¿¿v86¿¿¿¿¿Identifier
984¿BlockStatement¿¿¿¿¿¿¿BlockStatement
985¿ExpressionStatement¿¿¿¿¿{"start":{"line":20,"column":5},"end":{"line":22,"column":34},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿ExpressionStatement
986¿AssignmentExpression¿=¿¿¿¿{"start":{"line":20,"column":5},"end":{"line":22,"column":34},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿AssignmentExpression
987¿Identifier¿¿v89¿¿¿¿¿Identifier
988¿Identifier¿¿v88¿¿¿¿¿Identifier
989¿BlockStatement¿¿¿¿¿¿¿BlockStatement
990¿VariableDeclarator¿¿v90¿¿¿¿¿VariableDeclarator
991¿CallExpression¿¿¿¿¿{"start":{"line":23,"column":11},"end":{"line":23,"column":22},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿CallExpression
992¿Identifier¿¿unlock¿¿¿{"start":{"line":23,"column":11},"end":{"line":23,"column":17},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
993¿Identifier¿¿key¿¿¿{"start":{"line":23,"column":18},"end":{"line":23,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
994¿VariableDeclarator¿¿v91¿¿¿¿¿VariableDeclarator
995¿CallExpression¿¿¿¿¿{"start":{"line":20,"column":4},"end":{"line":23,"column":23},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿CallExpression
996¿MemberExpression¿¿¿¿¿{"start":{"line":20,"column":4},"end":{"line":23,"column":10},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
997¿Identifier¿¿v89¿¿¿¿¿Identifier
998¿Identifier¿¿then¿¿¿{"start":{"line":23,"column":6},"end":{"line":23,"column":10},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
999¿Identifier¿¿v90¿¿¿¿¿Identifier
1000¿ExpressionStatement¿¿¿¿¿{"start":{"line":18,"column":2},"end":{"line":23,"column":23},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿ExpressionStatement
1001¿AssignmentExpression¿=¿¿¿¿{"start":{"line":18,"column":2},"end":{"line":23,"column":23},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿AssignmentExpression
1002¿MemberExpression¿computed¿¿¿¿{"start":{"line":18,"column":2},"end":{"line":18,"column":11},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
1003¿Identifier¿¿lock¿¿¿{"start":{"line":18,"column":2},"end":{"line":18,"column":6},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1004¿Identifier¿¿key¿¿¿{"start":{"line":18,"column":7},"end":{"line":18,"column":10},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1005¿LogicalExpression¿||¿¿¿¿{"start":{"line":19,"column":4},"end":{"line":23,"column":23},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿LogicalExpression
1006¿Identifier¿¿v84¿¿¿¿¿Identifier
1007¿Identifier¿¿v91¿¿¿¿¿Identifier
1008¿VariableDeclarator¿¿v92¿¿¿¿¿VariableDeclarator
1009¿MemberExpression¿computed¿¿¿¿{"start":{"line":24,"column":9},"end":{"line":24,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
1010¿Identifier¿¿lock¿¿¿{"start":{"line":24,"column":9},"end":{"line":24,"column":13},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1011¿Identifier¿¿key¿¿¿{"start":{"line":24,"column":14},"end":{"line":24,"column":17},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1012¿ReturnStatement¿¿¿¿¿{"start":{"line":24,"column":2},"end":{"line":24,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿ReturnStatement
1013¿Identifier¿¿v92¿¿¿¿¿Identifier
1014¿BlockStatement¿¿¿¿¿{"start":{"line":16,"column":53},"end":{"line":25,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿BlockStatement
1015¿ExpressionStatement¿¿¿¿¿{"start":{"line":16,"column":0},"end":{"line":25,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿ExpressionStatement
1016¿AssignmentExpression¿=¿¿¿¿{"start":{"line":16,"column":0},"end":{"line":25,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿AssignmentExpression
1017¿MemberExpression¿¿¿¿¿{"start":{"line":16,"column":0},"end":{"line":16,"column":14},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
1018¿Identifier¿¿module¿¿¿{"start":{"line":16,"column":0},"end":{"line":16,"column":6},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1019¿Identifier¿¿exports¿¿¿{"start":{"line":16,"column":7},"end":{"line":16,"column":14},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1020¿Identifier¿¿findLocalDevices¿¿¿¿¿Identifier
1021¿VariableDeclarator¿¿getServers¿¿¿¿¿VariableDeclarator
1022¿FunctionExpression¿¿anon¿¿¿{"start":{"line":30,"column":0},"end":{"line":48,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿FunctionExpression
1023¿VariableDeclarator¿¿interfaces¿¿¿{"start":{"line":31,"column":6},"end":{"line":31,"column":41},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
1024¿CallExpression¿¿¿¿¿{"start":{"line":31,"column":19},"end":{"line":31,"column":41},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿CallExpression
1025¿MemberExpression¿¿¿¿¿{"start":{"line":31,"column":19},"end":{"line":31,"column":39},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
1026¿Identifier¿¿os¿¿¿{"start":{"line":31,"column":19},"end":{"line":31,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1027¿Identifier¿¿networkInterfaces¿¿¿{"start":{"line":31,"column":22},"end":{"line":31,"column":39},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1028¿VariableDeclarator¿¿result¿¿¿{"start":{"line":32,"column":6},"end":{"line":32,"column":17},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
1029¿ArrayExpression¿¿¿¿¿{"start":{"line":32,"column":15},"end":{"line":32,"column":17},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿ArrayExpression
1030¿VariableDeclarator¿¿key¿¿¿{"start":{"line":34,"column":11},"end":{"line":34,"column":14},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
1031¿ForInStatement¿¿¿¿¿{"start":{"line":34,"column":2},"end":{"line":45,"column":3},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿ForInStatement
1032¿Identifier¿¿key¿¿¿{"start":{"line":34,"column":11},"end":{"line":34,"column":14},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1033¿Identifier¿¿interfaces¿¿¿{"start":{"line":34,"column":18},"end":{"line":34,"column":28},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1034¿VariableDeclarator¿¿addresses¿¿¿{"start":{"line":35,"column":8},"end":{"line":35,"column":35},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
1035¿MemberExpression¿computed¿¿¿¿{"start":{"line":35,"column":20},"end":{"line":35,"column":35},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
1036¿Identifier¿¿interfaces¿¿¿{"start":{"line":35,"column":20},"end":{"line":35,"column":30},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1037¿Identifier¿¿key¿¿¿{"start":{"line":35,"column":31},"end":{"line":35,"column":34},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1038¿VariableDeclarator¿¿i¿¿¿{"start":{"line":36,"column":13},"end":{"line":36,"column":33},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
1039¿MemberExpression¿¿¿¿¿{"start":{"line":36,"column":17},"end":{"line":36,"column":33},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
1040¿Identifier¿¿addresses¿¿¿{"start":{"line":36,"column":17},"end":{"line":36,"column":26},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1041¿Identifier¿¿length¿¿¿{"start":{"line":36,"column":27},"end":{"line":36,"column":33},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1042¿VariableDeclarator¿¿v93¿¿¿¿¿VariableDeclarator
1043¿UpdateExpression¿¿¿¿¿{"start":{"line":36,"column":35},"end":{"line":36,"column":38},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿UpdateExpression
1044¿Identifier¿¿i¿¿¿{"start":{"line":36,"column":35},"end":{"line":36,"column":36},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1045¿WhileStatement¿¿¿¿¿{"start":{"line":36,"column":4},"end":{"line":44,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿WhileStatement
1046¿Identifier¿¿v93¿¿¿¿¿Identifier
1047¿VariableDeclarator¿¿address¿¿¿{"start":{"line":37,"column":10},"end":{"line":37,"column":32},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
1048¿MemberExpression¿computed¿¿¿¿{"start":{"line":37,"column":20},"end":{"line":37,"column":32},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
1049¿Identifier¿¿addresses¿¿¿{"start":{"line":37,"column":20},"end":{"line":37,"column":29},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1050¿Identifier¿¿i¿¿¿{"start":{"line":37,"column":30},"end":{"line":37,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1051¿VariableDeclarator¿¿v94¿¿¿¿¿VariableDeclarator
1052¿MemberExpression¿¿¿¿¿{"start":{"line":38,"column":10},"end":{"line":38,"column":24},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
1053¿Identifier¿¿address¿¿¿{"start":{"line":38,"column":10},"end":{"line":38,"column":17},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1054¿Identifier¿¿family¿¿¿{"start":{"line":38,"column":18},"end":{"line":38,"column":24},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1055¿VariableDeclarator¿¿v95¿¿¿¿¿VariableDeclarator
1056¿BinaryExpression¿===¿¿¿¿{"start":{"line":38,"column":10},"end":{"line":38,"column":35},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿BinaryExpression
1057¿Identifier¿¿v94¿¿¿¿¿Identifier
1058¿Literal¿string¿¿'IPv4'¿¿{"start":{"line":38,"column":29},"end":{"line":38,"column":35},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Literal
1059¿VariableDeclarator¿¿v96¿¿¿¿¿VariableDeclarator
1060¿MemberExpression¿¿¿¿¿{"start":{"line":38,"column":40},"end":{"line":38,"column":56},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
1061¿Identifier¿¿address¿¿¿{"start":{"line":38,"column":40},"end":{"line":38,"column":47},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1062¿Identifier¿¿internal¿¿¿{"start":{"line":38,"column":48},"end":{"line":38,"column":56},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1063¿VariableDeclarator¿¿v97¿¿¿¿¿VariableDeclarator
1064¿UnaryExpression¿!¿¿¿¿{"start":{"line":38,"column":39},"end":{"line":38,"column":56},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿UnaryExpression
1065¿Identifier¿¿v96¿¿¿¿¿Identifier
1066¿VariableDeclarator¿¿v98¿¿¿¿¿VariableDeclarator
1067¿LogicalExpression¿&&¿¿¿¿{"start":{"line":38,"column":10},"end":{"line":38,"column":56},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿LogicalExpression
1068¿Identifier¿¿v95¿¿¿¿¿Identifier
1069¿Identifier¿¿v97¿¿¿¿¿Identifier
1070¿IfStatement¿¿¿¿¿{"start":{"line":38,"column":6},"end":{"line":43,"column":7},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿IfStatement
1071¿Identifier¿¿v98¿¿¿¿¿Identifier
1072¿VariableDeclarator¿¿v99¿¿¿¿¿VariableDeclarator
1073¿MemberExpression¿¿¿¿¿{"start":{"line":39,"column":31},"end":{"line":39,"column":46},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
1074¿Identifier¿¿address¿¿¿{"start":{"line":39,"column":31},"end":{"line":39,"column":38},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
