Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2610¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":247,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿Program
2639¿Identifier¿¿4637¿NamedNode¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿Identifier
2640¿Identifier¿¿4637¿v346¿¿¿¿¿Identifier
2641¿VariableDeclarator¿¿4637¿v347¿¿¿{"start":{"line":9,"column":0},"end":{"line":9,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿VariableDeclarator
2642¿MemberExpression¿¿4637¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":9,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿MemberExpression
2643¿Identifier¿¿4637¿rdf¿¿¿{"start":{"line":9,"column":0},"end":{"line":9,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿Identifier
2644¿Identifier¿¿4637¿NamedNode¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿Identifier
2645¿VariableDeclarator¿¿4637¿v348¿¿¿{"start":{"line":9,"column":0},"end":{"line":9,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿VariableDeclarator
2646¿MemberExpression¿¿4637¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":9,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿MemberExpression
2647¿Identifier¿¿4637¿v347¿¿¿¿¿Identifier
2648¿Identifier¿¿4637¿prototype¿¿¿{"start":{"line":9,"column":14},"end":{"line":9,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿Identifier
2649¿VariableDeclarator¿¿4637¿v366¿¿¿{"start":{"line":9,"column":0},"end":{"line":25,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿VariableDeclarator
2650¿FunctionExpression¿¿4637¿anon¿¿¿{"start":{"line":9,"column":33},"end":{"line":25,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿FunctionExpression
2651¿Identifier¿¿0¿other¿¿¿{"start":{"line":9,"column":43},"end":{"line":9,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿Identifier
2652¿VariableDeclarator¿¿4641¿v349¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿VariableDeclarator
2653¿UnaryExpression¿typeof¿4641¿¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿UnaryExpression
2654¿Identifier¿¿4641¿other¿¿¿{"start":{"line":10,"column":13},"end":{"line":10,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿Identifier
2655¿VariableDeclarator¿¿4641¿v350¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿VariableDeclarator
2656¿BinaryExpression¿===¿4641¿¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿BinaryExpression
2657¿Identifier¿¿4641¿v349¿¿¿¿¿Identifier
2658¿Literal¿string¿4641¿¿'string'¿¿{"start":{"line":10,"column":23},"end":{"line":10,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿Literal
2659¿IfStatement¿¿4641¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":12,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿IfStatement
2660¿Identifier¿¿4641¿v350¿¿¿¿¿Identifier
2661¿VariableDeclarator¿¿4641¿v351¿¿¿{"start":{"line":11,"column":11},"end":{"line":11,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿VariableDeclarator
2662¿MemberExpression¿¿4641¿¿¿¿{"start":{"line":11,"column":11},"end":{"line":11,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿MemberExpression
2663¿ThisExpression¿¿4641¿¿¿¿{"start":{"line":11,"column":11},"end":{"line":11,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿ThisExpression
2664¿Identifier¿¿4641¿nominalValue¿¿¿{"start":{"line":11,"column":16},"end":{"line":11,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿Identifier
2665¿VariableDeclarator¿¿4641¿v352¿¿¿{"start":{"line":11,"column":11},"end":{"line":11,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿VariableDeclarator
2666¿BinaryExpression¿===¿4641¿¿¿¿{"start":{"line":11,"column":11},"end":{"line":11,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿BinaryExpression
2667¿Identifier¿¿4641¿v351¿¿¿¿¿Identifier
2668¿Identifier¿¿4641¿other¿¿¿{"start":{"line":11,"column":33},"end":{"line":11,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿Identifier
2669¿ReturnStatement¿¿4641¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿ReturnStatement
2670¿Identifier¿¿4641¿v352¿¿¿¿¿Identifier
2671¿BlockStatement¿¿4641¿¿¿¿{"start":{"line":10,"column":33},"end":{"line":12,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿BlockStatement
2672¿VariableDeclarator¿¿4641¿v353¿¿¿{"start":{"line":14,"column":6},"end":{"line":14,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿VariableDeclarator
2673¿UnaryExpression¿typeof¿4641¿¿¿¿{"start":{"line":14,"column":6},"end":{"line":14,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿UnaryExpression
2674¿Identifier¿¿4641¿other¿¿¿{"start":{"line":14,"column":13},"end":{"line":14,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿Identifier
2675¿VariableDeclarator¿¿4641¿v354¿¿¿{"start":{"line":14,"column":6},"end":{"line":14,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿VariableDeclarator
2676¿BinaryExpression¿===¿4641¿¿¿¿{"start":{"line":14,"column":6},"end":{"line":14,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿BinaryExpression
2677¿Identifier¿¿4641¿v353¿¿¿¿¿Identifier
2678¿Literal¿string¿4641¿¿'object'¿¿{"start":{"line":14,"column":23},"end":{"line":14,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿Literal
2679¿IfStatement¿¿4641¿¿¿¿{"start":{"line":14,"column":2},"end":{"line":22,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿IfStatement
2680¿Identifier¿¿4641¿v354¿¿¿¿¿Identifier
2681¿VariableDeclarator¿¿4641¿v355¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿VariableDeclarator
2682¿MemberExpression¿¿4641¿¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿MemberExpression
2683¿Identifier¿¿4641¿other¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿Identifier
2684¿Identifier¿¿4641¿constructor¿¿¿{"start":{"line":15,"column":14},"end":{"line":15,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿Identifier
2685¿VariableDeclarator¿¿4641¿v356¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿VariableDeclarator
2686¿MemberExpression¿¿4641¿¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿MemberExpression
2687¿Identifier¿¿4641¿v355¿¿¿¿¿Identifier
2688¿Identifier¿¿4641¿name¿¿¿{"start":{"line":15,"column":26},"end":{"line":15,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿Identifier
2689¿VariableDeclarator¿¿4641¿v357¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿VariableDeclarator
2690¿BinaryExpression¿===¿4641¿¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿BinaryExpression
2691¿Identifier¿¿4641¿v356¿¿¿¿¿Identifier
2692¿Literal¿string¿4641¿¿'RegExp'¿¿{"start":{"line":15,"column":35},"end":{"line":15,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿Literal
2693¿IfStatement¿¿4641¿¿¿¿{"start":{"line":15,"column":4},"end":{"line":17,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿IfStatement
2694¿Identifier¿¿4641¿v357¿¿¿¿¿Identifier
2695¿VariableDeclarator¿¿4641¿v358¿¿¿{"start":{"line":16,"column":24},"end":{"line":16,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿VariableDeclarator
2696¿MemberExpression¿¿4641¿¿¿¿{"start":{"line":16,"column":24},"end":{"line":16,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿MemberExpression
2697¿ThisExpression¿¿4641¿¿¿¿{"start":{"line":16,"column":24},"end":{"line":16,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿ThisExpression
2698¿Identifier¿¿4641¿nominalValue¿¿¿{"start":{"line":16,"column":29},"end":{"line":16,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿Identifier
2699¿VariableDeclarator¿¿4641¿v359¿¿¿{"start":{"line":16,"column":13},"end":{"line":16,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿VariableDeclarator
2700¿CallExpression¿¿4641¿¿¿¿{"start":{"line":16,"column":13},"end":{"line":16,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿CallExpression
2701¿MemberExpression¿¿4641¿¿¿¿{"start":{"line":16,"column":13},"end":{"line":16,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿MemberExpression
2702¿Identifier¿¿4641¿other¿¿¿{"start":{"line":16,"column":13},"end":{"line":16,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿Identifier
2703¿Identifier¿¿4641¿test¿¿¿{"start":{"line":16,"column":19},"end":{"line":16,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿Identifier
2704¿Identifier¿¿4641¿v358¿¿¿¿¿Identifier
2705¿ReturnStatement¿¿4641¿¿¿¿{"start":{"line":16,"column":6},"end":{"line":16,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿ReturnStatement
2706¿Identifier¿¿4641¿v359¿¿¿¿¿Identifier
2707¿BlockStatement¿¿4641¿¿¿¿{"start":{"line":15,"column":45},"end":{"line":17,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿BlockStatement
2708¿VariableDeclarator¿¿4641¿v360¿¿¿{"start":{"line":19,"column":8},"end":{"line":19,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿VariableDeclarator
2709¿MemberExpression¿¿4641¿¿¿¿{"start":{"line":19,"column":8},"end":{"line":19,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿MemberExpression
2710¿Identifier¿¿4641¿other¿¿¿{"start":{"line":19,"column":8},"end":{"line":19,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿Identifier
2711¿Identifier¿¿4641¿interfaceName¿¿¿{"start":{"line":19,"column":14},"end":{"line":19,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿Identifier
2712¿VariableDeclarator¿¿4641¿v361¿¿¿{"start":{"line":19,"column":32},"end":{"line":19,"column":50},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿VariableDeclarator
2713¿MemberExpression¿¿4641¿¿¿¿{"start":{"line":19,"column":32},"end":{"line":19,"column":50},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿MemberExpression
2714¿ThisExpression¿¿4641¿¿¿¿{"start":{"line":19,"column":32},"end":{"line":19,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿ThisExpression
2715¿Identifier¿¿4641¿interfaceName¿¿¿{"start":{"line":19,"column":37},"end":{"line":19,"column":50},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿Identifier
2716¿VariableDeclarator¿¿4641¿v362¿¿¿{"start":{"line":19,"column":8},"end":{"line":19,"column":50},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿VariableDeclarator
2717¿BinaryExpression¿===¿4641¿¿¿¿{"start":{"line":19,"column":8},"end":{"line":19,"column":50},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿BinaryExpression
2718¿Identifier¿¿4641¿v360¿¿¿¿¿Identifier
2719¿Identifier¿¿4641¿v361¿¿¿¿¿Identifier
2720¿IfStatement¿¿4641¿¿¿¿{"start":{"line":19,"column":4},"end":{"line":21,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿IfStatement
2721¿Identifier¿¿4641¿v362¿¿¿¿¿Identifier
2722¿VariableDeclarator¿¿4641¿v363¿¿¿{"start":{"line":20,"column":13},"end":{"line":20,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿VariableDeclarator
2723¿MemberExpression¿¿4641¿¿¿¿{"start":{"line":20,"column":13},"end":{"line":20,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿MemberExpression
2724¿ThisExpression¿¿4641¿¿¿¿{"start":{"line":20,"column":13},"end":{"line":20,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿ThisExpression
2725¿Identifier¿¿4641¿nominalValue¿¿¿{"start":{"line":20,"column":18},"end":{"line":20,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿Identifier
2726¿VariableDeclarator¿¿4641¿v364¿¿¿{"start":{"line":20,"column":35},"end":{"line":20,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿VariableDeclarator
2727¿MemberExpression¿¿4641¿¿¿¿{"start":{"line":20,"column":35},"end":{"line":20,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿MemberExpression
2728¿Identifier¿¿4641¿other¿¿¿{"start":{"line":20,"column":35},"end":{"line":20,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿Identifier
2729¿Identifier¿¿4641¿nominalValue¿¿¿{"start":{"line":20,"column":41},"end":{"line":20,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿Identifier
2730¿VariableDeclarator¿¿4641¿v365¿¿¿{"start":{"line":20,"column":13},"end":{"line":20,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿VariableDeclarator
2731¿BinaryExpression¿===¿4641¿¿¿¿{"start":{"line":20,"column":13},"end":{"line":20,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿BinaryExpression
2732¿Identifier¿¿4641¿v363¿¿¿¿¿Identifier
2733¿Identifier¿¿4641¿v364¿¿¿¿¿Identifier
2734¿ReturnStatement¿¿4641¿¿¿¿{"start":{"line":20,"column":6},"end":{"line":20,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿ReturnStatement
2735¿Identifier¿¿4641¿v365¿¿¿¿¿Identifier
2736¿BlockStatement¿¿4641¿¿¿¿{"start":{"line":19,"column":52},"end":{"line":21,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿BlockStatement
2737¿BlockStatement¿¿4641¿¿¿¿{"start":{"line":14,"column":33},"end":{"line":22,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿BlockStatement
2738¿ReturnStatement¿¿4641¿¿¿¿{"start":{"line":24,"column":2},"end":{"line":24,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿ReturnStatement
2739¿Literal¿boolean¿4641¿¿false¿¿{"start":{"line":24,"column":9},"end":{"line":24,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿Literal
2740¿BlockStatement¿¿4641¿¿¿¿{"start":{"line":9,"column":50},"end":{"line":25,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿BlockStatement
2741¿ExpressionStatement¿¿4637¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":25,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿ExpressionStatement
2742¿AssignmentExpression¿=¿4637¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":25,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿AssignmentExpression
2743¿MemberExpression¿¿4637¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":9,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿MemberExpression
2744¿Identifier¿¿4637¿v348¿¿¿¿¿Identifier
2745¿Identifier¿¿4637¿equals¿¿¿{"start":{"line":9,"column":24},"end":{"line":9,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿Identifier
2746¿Identifier¿¿4637¿v366¿¿¿¿¿Identifier
2747¿VariableDeclarator¿¿4637¿v367¿¿¿{"start":{"line":27,"column":0},"end":{"line":27,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/rdf-graph-array_0.3.0/src/index.js"}¿¿VariableDeclarator
