Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1074¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":268,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Program
1091¿Identifier¿¿1861¿i¿¿¿{"start":{"line":3,"column":92},"end":{"line":3,"column":93},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1092¿Identifier¿¿1861¿v97¿¿¿¿¿Identifier
1093¿WhileStatement¿¿1861¿¿¿¿{"start":{"line":3,"column":76},"end":{"line":3,"column":347},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿WhileStatement
1094¿Identifier¿¿1861¿v98¿¿¿¿¿Identifier
1095¿VariableDeclarator¿¿1861¿descriptor¿¿¿{"start":{"line":3,"column":121},"end":{"line":3,"column":142},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿VariableDeclarator
1096¿MemberExpression¿computed¿1861¿¿¿¿{"start":{"line":3,"column":134},"end":{"line":3,"column":142},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿MemberExpression
1097¿Identifier¿¿1861¿props¿¿¿{"start":{"line":3,"column":134},"end":{"line":3,"column":139},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1098¿Identifier¿¿1861¿i¿¿¿{"start":{"line":3,"column":140},"end":{"line":3,"column":141},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1099¿VariableDeclarator¿¿1861¿v100¿¿¿{"start":{"line":3,"column":168},"end":{"line":3,"column":189},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿VariableDeclarator
1100¿MemberExpression¿¿1861¿¿¿¿{"start":{"line":3,"column":168},"end":{"line":3,"column":189},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿MemberExpression
1101¿Identifier¿¿1861¿descriptor¿¿¿{"start":{"line":3,"column":168},"end":{"line":3,"column":178},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1102¿Identifier¿¿1861¿enumerable¿¿¿{"start":{"line":3,"column":179},"end":{"line":3,"column":189},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1103¿ExpressionStatement¿¿1861¿¿¿¿{"start":{"line":3,"column":144},"end":{"line":3,"column":199},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿ExpressionStatement
1104¿AssignmentExpression¿=¿1861¿¿¿¿{"start":{"line":3,"column":144},"end":{"line":3,"column":198},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿AssignmentExpression
1105¿MemberExpression¿¿1861¿¿¿¿{"start":{"line":3,"column":144},"end":{"line":3,"column":165},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿MemberExpression
1106¿Identifier¿¿1861¿descriptor¿¿¿{"start":{"line":3,"column":144},"end":{"line":3,"column":154},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1107¿Identifier¿¿1861¿enumerable¿¿¿{"start":{"line":3,"column":155},"end":{"line":3,"column":165},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1108¿LogicalExpression¿||¿1861¿¿¿¿{"start":{"line":3,"column":168},"end":{"line":3,"column":198},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿LogicalExpression
1109¿Identifier¿¿1861¿v100¿¿¿¿¿Identifier
1110¿Literal¿boolean¿1861¿¿false¿¿{"start":{"line":3,"column":193},"end":{"line":3,"column":198},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Literal
1111¿ExpressionStatement¿¿1861¿¿¿¿{"start":{"line":3,"column":200},"end":{"line":3,"column":231},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿ExpressionStatement
1112¿AssignmentExpression¿=¿1861¿¿¿¿{"start":{"line":3,"column":200},"end":{"line":3,"column":230},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿AssignmentExpression
1113¿MemberExpression¿¿1861¿¿¿¿{"start":{"line":3,"column":200},"end":{"line":3,"column":223},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿MemberExpression
1114¿Identifier¿¿1861¿descriptor¿¿¿{"start":{"line":3,"column":200},"end":{"line":3,"column":210},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1115¿Identifier¿¿1861¿configurable¿¿¿{"start":{"line":3,"column":211},"end":{"line":3,"column":223},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1116¿Literal¿boolean¿1861¿¿true¿¿{"start":{"line":3,"column":226},"end":{"line":3,"column":230},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Literal
1117¿VariableDeclarator¿¿1861¿v101¿¿¿{"start":{"line":3,"column":236},"end":{"line":3,"column":257},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿VariableDeclarator
1118¿BinaryExpression¿in¿1861¿¿¿¿{"start":{"line":3,"column":236},"end":{"line":3,"column":257},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿BinaryExpression
1119¿Literal¿string¿1861¿¿'value'¿¿{"start":{"line":3,"column":236},"end":{"line":3,"column":243},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Literal
1120¿Identifier¿¿1861¿descriptor¿¿¿{"start":{"line":3,"column":247},"end":{"line":3,"column":257},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1121¿IfStatement¿¿1861¿¿¿¿{"start":{"line":3,"column":232},"end":{"line":3,"column":286},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿IfStatement
1122¿Identifier¿¿1861¿v101¿¿¿¿¿Identifier
1123¿ExpressionStatement¿¿1861¿¿¿¿{"start":{"line":3,"column":259},"end":{"line":3,"column":286},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿ExpressionStatement
1124¿AssignmentExpression¿=¿1861¿¿¿¿{"start":{"line":3,"column":259},"end":{"line":3,"column":285},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿AssignmentExpression
1125¿MemberExpression¿¿1861¿¿¿¿{"start":{"line":3,"column":259},"end":{"line":3,"column":278},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿MemberExpression
1126¿Identifier¿¿1861¿descriptor¿¿¿{"start":{"line":3,"column":259},"end":{"line":3,"column":269},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1127¿Identifier¿¿1861¿writable¿¿¿{"start":{"line":3,"column":270},"end":{"line":3,"column":278},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1128¿Literal¿boolean¿1861¿¿true¿¿{"start":{"line":3,"column":281},"end":{"line":3,"column":285},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Literal
1129¿BlockStatement¿¿1861¿¿¿¿¿¿BlockStatement
1130¿VariableDeclarator¿¿1861¿v102¿¿¿{"start":{"line":3,"column":317},"end":{"line":3,"column":331},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿VariableDeclarator
1131¿MemberExpression¿¿1861¿¿¿¿{"start":{"line":3,"column":317},"end":{"line":3,"column":331},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿MemberExpression
1132¿Identifier¿¿1861¿descriptor¿¿¿{"start":{"line":3,"column":317},"end":{"line":3,"column":327},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1133¿Identifier¿¿1861¿key¿¿¿{"start":{"line":3,"column":328},"end":{"line":3,"column":331},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1134¿VariableDeclarator¿¿1861¿v103¿¿¿{"start":{"line":3,"column":287},"end":{"line":3,"column":344},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿VariableDeclarator
1135¿CallExpression¿¿1861¿¿¿¿{"start":{"line":3,"column":287},"end":{"line":3,"column":344},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿CallExpression
1136¿MemberExpression¿¿1861¿¿¿¿{"start":{"line":3,"column":287},"end":{"line":3,"column":308},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿MemberExpression
1137¿Identifier¿¿1861¿Object¿¿¿{"start":{"line":3,"column":287},"end":{"line":3,"column":293},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1138¿Identifier¿¿1861¿defineProperty¿¿¿{"start":{"line":3,"column":294},"end":{"line":3,"column":308},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1139¿Identifier¿¿1861¿target¿¿¿{"start":{"line":3,"column":309},"end":{"line":3,"column":315},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1140¿Identifier¿¿1861¿v102¿¿¿¿¿Identifier
1141¿Identifier¿¿1861¿descriptor¿¿¿{"start":{"line":3,"column":333},"end":{"line":3,"column":343},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1142¿ExpressionStatement¿¿1861¿¿¿¿{"start":{"line":3,"column":287},"end":{"line":3,"column":345},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿ExpressionStatement
1143¿Identifier¿¿1861¿v103¿¿¿¿¿Identifier
1144¿VariableDeclarator¿¿1861¿v99¿¿¿{"start":{"line":3,"column":110},"end":{"line":3,"column":113},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿VariableDeclarator
1145¿UpdateExpression¿¿1861¿¿¿¿{"start":{"line":3,"column":110},"end":{"line":3,"column":113},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿UpdateExpression
1146¿Identifier¿¿1861¿i¿¿¿{"start":{"line":3,"column":110},"end":{"line":3,"column":111},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1147¿ExpressionStatement¿¿1861¿¿¿¿{"start":{"line":3,"column":76},"end":{"line":3,"column":347},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿ExpressionStatement
1148¿AssignmentExpression¿=¿1861¿¿¿¿{"start":{"line":3,"column":76},"end":{"line":3,"column":347},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿AssignmentExpression
1149¿Identifier¿¿1861¿v98¿¿¿{"start":{"line":3,"column":76},"end":{"line":3,"column":347},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1150¿BinaryExpression¿<¿1861¿¿¿¿{"start":{"line":3,"column":92},"end":{"line":3,"column":108},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿BinaryExpression
1151¿Identifier¿¿1861¿i¿¿¿{"start":{"line":3,"column":92},"end":{"line":3,"column":93},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1152¿Identifier¿¿1861¿v97¿¿¿¿¿Identifier
1153¿BlockStatement¿¿1861¿¿¿¿¿¿BlockStatement
1154¿BlockStatement¿¿1861¿¿¿¿{"start":{"line":3,"column":74},"end":{"line":3,"column":349},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿BlockStatement
1155¿VariableDeclarator¿¿1859¿v107¿¿¿{"start":{"line":3,"column":357},"end":{"line":3,"column":558},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿VariableDeclarator
1156¿FunctionExpression¿¿1859¿anon¿¿¿{"start":{"line":3,"column":357},"end":{"line":3,"column":558},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿FunctionExpression
1157¿Identifier¿¿0¿Constructor¿¿¿{"start":{"line":3,"column":367},"end":{"line":3,"column":378},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1158¿Identifier¿¿0¿protoProps¿¿¿{"start":{"line":3,"column":380},"end":{"line":3,"column":390},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1159¿Identifier¿¿0¿staticProps¿¿¿{"start":{"line":3,"column":392},"end":{"line":3,"column":403},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1160¿IfStatement¿¿1865¿¿¿¿{"start":{"line":3,"column":407},"end":{"line":3,"column":475},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿IfStatement
1161¿Identifier¿¿1865¿protoProps¿¿¿{"start":{"line":3,"column":411},"end":{"line":3,"column":421},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1162¿VariableDeclarator¿¿1865¿v104¿¿¿{"start":{"line":3,"column":440},"end":{"line":3,"column":461},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿VariableDeclarator
1163¿MemberExpression¿¿1865¿¿¿¿{"start":{"line":3,"column":440},"end":{"line":3,"column":461},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿MemberExpression
1164¿Identifier¿¿1865¿Constructor¿¿¿{"start":{"line":3,"column":440},"end":{"line":3,"column":451},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1165¿Identifier¿¿1865¿prototype¿¿¿{"start":{"line":3,"column":452},"end":{"line":3,"column":461},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1166¿VariableDeclarator¿¿1865¿v105¿¿¿{"start":{"line":3,"column":423},"end":{"line":3,"column":474},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿VariableDeclarator
1167¿CallExpression¿¿1865¿¿¿¿{"start":{"line":3,"column":423},"end":{"line":3,"column":474},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿CallExpression
1168¿Identifier¿¿1865¿defineProperties¿¿¿{"start":{"line":3,"column":423},"end":{"line":3,"column":439},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1169¿Identifier¿¿1865¿v104¿¿¿¿¿Identifier
1170¿Identifier¿¿1865¿protoProps¿¿¿{"start":{"line":3,"column":463},"end":{"line":3,"column":473},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1171¿ExpressionStatement¿¿1865¿¿¿¿{"start":{"line":3,"column":423},"end":{"line":3,"column":475},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿ExpressionStatement
1172¿Identifier¿¿1865¿v105¿¿¿¿¿Identifier
1173¿BlockStatement¿¿1865¿¿¿¿¿¿BlockStatement
1174¿IfStatement¿¿1865¿¿¿¿{"start":{"line":3,"column":476},"end":{"line":3,"column":536},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿IfStatement
1175¿Identifier¿¿1865¿staticProps¿¿¿{"start":{"line":3,"column":480},"end":{"line":3,"column":491},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1176¿VariableDeclarator¿¿1865¿v106¿¿¿{"start":{"line":3,"column":493},"end":{"line":3,"column":535},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿VariableDeclarator
1177¿CallExpression¿¿1865¿¿¿¿{"start":{"line":3,"column":493},"end":{"line":3,"column":535},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿CallExpression
1178¿Identifier¿¿1865¿defineProperties¿¿¿{"start":{"line":3,"column":493},"end":{"line":3,"column":509},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1179¿Identifier¿¿1865¿Constructor¿¿¿{"start":{"line":3,"column":510},"end":{"line":3,"column":521},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1180¿Identifier¿¿1865¿staticProps¿¿¿{"start":{"line":3,"column":523},"end":{"line":3,"column":534},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1181¿ExpressionStatement¿¿1865¿¿¿¿{"start":{"line":3,"column":493},"end":{"line":3,"column":536},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿ExpressionStatement
1182¿Identifier¿¿1865¿v106¿¿¿¿¿Identifier
1183¿BlockStatement¿¿1865¿¿¿¿¿¿BlockStatement
1184¿ReturnStatement¿¿1865¿¿¿¿{"start":{"line":3,"column":537},"end":{"line":3,"column":556},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿ReturnStatement
1185¿Identifier¿¿1865¿Constructor¿¿¿{"start":{"line":3,"column":544},"end":{"line":3,"column":555},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1186¿BlockStatement¿¿1865¿¿¿¿{"start":{"line":3,"column":405},"end":{"line":3,"column":558},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿BlockStatement
1187¿ReturnStatement¿¿1859¿¿¿¿{"start":{"line":3,"column":350},"end":{"line":3,"column":559},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿ReturnStatement
1188¿Identifier¿¿1859¿v107¿¿¿¿¿Identifier
1189¿BlockStatement¿¿1859¿¿¿¿{"start":{"line":3,"column":31},"end":{"line":3,"column":561},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿BlockStatement
1190¿VariableDeclarator¿¿1857¿_createClass¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":563},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿VariableDeclarator
1191¿CallExpression¿¿1857¿¿¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":563},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿CallExpression
1192¿Identifier¿¿1857¿v108¿¿¿¿¿Identifier
1193¿VariableDeclarator¿¿1857¿_classCallCheck¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":153},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿VariableDeclarator
1194¿FunctionExpression¿¿1857¿anon¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":153},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿FunctionExpression
1195¿Identifier¿¿0¿instance¿¿¿{"start":{"line":5,"column":25},"end":{"line":5,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1196¿Identifier¿¿0¿Constructor¿¿¿{"start":{"line":5,"column":35},"end":{"line":5,"column":46},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1197¿VariableDeclarator¿¿1869¿v109¿¿¿{"start":{"line":5,"column":56},"end":{"line":5,"column":87},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿VariableDeclarator
1198¿BinaryExpression¿instanceof¿1869¿¿¿¿{"start":{"line":5,"column":56},"end":{"line":5,"column":87},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿BinaryExpression
1199¿Identifier¿¿1869¿instance¿¿¿{"start":{"line":5,"column":56},"end":{"line":5,"column":64},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1200¿Identifier¿¿1869¿Constructor¿¿¿{"start":{"line":5,"column":76},"end":{"line":5,"column":87},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1201¿VariableDeclarator¿¿1869¿v110¿¿¿{"start":{"line":5,"column":54},"end":{"line":5,"column":88},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿VariableDeclarator
1202¿UnaryExpression¿!¿1869¿¿¿¿{"start":{"line":5,"column":54},"end":{"line":5,"column":88},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿UnaryExpression
1203¿Identifier¿¿1869¿v109¿¿¿¿¿Identifier
1204¿IfStatement¿¿1869¿¿¿¿{"start":{"line":5,"column":50},"end":{"line":5,"column":151},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿IfStatement
1205¿Identifier¿¿1869¿v110¿¿¿¿¿Identifier
1206¿VariableDeclarator¿¿1869¿v111¿¿¿{"start":{"line":5,"column":98},"end":{"line":5,"column":148},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿VariableDeclarator
1207¿NewExpression¿¿1869¿¿¿¿{"start":{"line":5,"column":98},"end":{"line":5,"column":148},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿NewExpression
1208¿Identifier¿¿1869¿TypeError¿¿¿{"start":{"line":5,"column":102},"end":{"line":5,"column":111},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
1209¿Literal¿string¿1869¿¿'Cannot call a class as a function'¿¿{"start":{"line":5,"column":112},"end":{"line":5,"column":147},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Literal
1210¿ThrowStatement¿¿1869¿¿¿¿{"start":{"line":5,"column":92},"end":{"line":5,"column":149},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿ThrowStatement
1211¿Identifier¿¿1869¿v111¿¿¿¿¿Identifier
1212¿BlockStatement¿¿1869¿¿¿¿{"start":{"line":5,"column":90},"end":{"line":5,"column":151},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿BlockStatement
1213¿BlockStatement¿¿1869¿¿¿¿{"start":{"line":5,"column":48},"end":{"line":5,"column":153},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿BlockStatement
1214¿VariableDeclarator¿¿1857¿fs¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿VariableDeclarator
1215¿CallExpression¿¿1857¿¿¿¿{"start":{"line":7,"column":9},"end":{"line":7,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿CallExpression
1216¿Identifier¿¿1857¿require¿¿¿{"start":{"line":7,"column":9},"end":{"line":7,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/gry_5.0.8/src/index.js"}¿¿Identifier
