Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
865¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":108,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Program
876¿Identifier¿¿1452¿require¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Identifier
877¿Literal¿string¿1452¿¿'split'¿¿{"start":{"line":3,"column":20},"end":{"line":3,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Literal
878¿VariableDeclarator¿¿1452¿resolve_promise_1¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":52},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿VariableDeclarator
879¿CallExpression¿¿1452¿¿¿¿{"start":{"line":4,"column":24},"end":{"line":4,"column":52},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿CallExpression
880¿Identifier¿¿1452¿require¿¿¿{"start":{"line":4,"column":24},"end":{"line":4,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Identifier
881¿Literal¿string¿1452¿¿'./resolve-promise'¿¿{"start":{"line":4,"column":32},"end":{"line":4,"column":51},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Literal
882¿VariableDeclarator¿¿1452¿caller_1¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿VariableDeclarator
883¿CallExpression¿¿1452¿¿¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿CallExpression
884¿Identifier¿¿1452¿require¿¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Identifier
885¿Literal¿string¿1452¿¿'./caller'¿¿{"start":{"line":5,"column":23},"end":{"line":5,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Literal
886¿VariableDeclarator¿¿1452¿PromiseWithEvents_1¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":56},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿VariableDeclarator
887¿CallExpression¿¿1452¿¿¿¿{"start":{"line":6,"column":26},"end":{"line":6,"column":56},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿CallExpression
888¿Identifier¿¿1452¿require¿¿¿{"start":{"line":6,"column":26},"end":{"line":6,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Identifier
889¿Literal¿string¿1452¿¿'./PromiseWithEvents'¿¿{"start":{"line":6,"column":34},"end":{"line":6,"column":55},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Literal
890¿VariableDeclarator¿¿1452¿getArgs¿¿¿{"start":{"line":7,"column":0},"end":{"line":11,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿VariableDeclarator
891¿FunctionExpression¿¿1452¿anon¿¿¿{"start":{"line":7,"column":0},"end":{"line":11,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿FunctionExpression
892¿Identifier¿¿0¿argsOrOptions¿¿¿{"start":{"line":7,"column":17},"end":{"line":7,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Identifier
893¿VariableDeclarator¿¿1454¿v64¿¿¿{"start":{"line":8,"column":8},"end":{"line":8,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿VariableDeclarator
894¿BinaryExpression¿instanceof¿1454¿¿¿¿{"start":{"line":8,"column":8},"end":{"line":8,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿BinaryExpression
895¿Identifier¿¿1454¿argsOrOptions¿¿¿{"start":{"line":8,"column":8},"end":{"line":8,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Identifier
896¿Identifier¿¿1454¿Array¿¿¿{"start":{"line":8,"column":33},"end":{"line":8,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Identifier
897¿IfStatement¿¿1454¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":10,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿IfStatement
898¿Identifier¿¿1454¿v64¿¿¿¿¿Identifier
899¿ReturnStatement¿¿1454¿¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿ReturnStatement
900¿Identifier¿¿1454¿argsOrOptions¿¿¿{"start":{"line":9,"column":15},"end":{"line":9,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Identifier
901¿BlockStatement¿¿1454¿¿¿¿{"start":{"line":8,"column":40},"end":{"line":10,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿BlockStatement
902¿BlockStatement¿¿1454¿¿¿¿{"start":{"line":7,"column":32},"end":{"line":11,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿BlockStatement
903¿VariableDeclarator¿¿1452¿getOptions¿¿¿{"start":{"line":12,"column":0},"end":{"line":19,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿VariableDeclarator
904¿FunctionExpression¿¿1452¿anon¿¿¿{"start":{"line":12,"column":0},"end":{"line":19,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿FunctionExpression
905¿Identifier¿¿0¿argsOrOptions¿¿¿{"start":{"line":12,"column":20},"end":{"line":12,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Identifier
906¿Identifier¿¿0¿options¿¿¿{"start":{"line":12,"column":35},"end":{"line":12,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Identifier
907¿VariableDeclarator¿¿1457¿v65¿¿¿{"start":{"line":13,"column":8},"end":{"line":13,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿VariableDeclarator
908¿BinaryExpression¿instanceof¿1457¿¿¿¿{"start":{"line":13,"column":8},"end":{"line":13,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿BinaryExpression
909¿Identifier¿¿1457¿argsOrOptions¿¿¿{"start":{"line":13,"column":8},"end":{"line":13,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Identifier
910¿Identifier¿¿1457¿Array¿¿¿{"start":{"line":13,"column":33},"end":{"line":13,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Identifier
911¿IfStatement¿¿1457¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":18,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿IfStatement
912¿Identifier¿¿1457¿v65¿¿¿¿¿Identifier
913¿ReturnStatement¿¿1457¿¿¿¿{"start":{"line":14,"column":8},"end":{"line":14,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿ReturnStatement
914¿Identifier¿¿1457¿options¿¿¿{"start":{"line":14,"column":15},"end":{"line":14,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Identifier
915¿BlockStatement¿¿1457¿¿¿¿{"start":{"line":13,"column":40},"end":{"line":15,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿BlockStatement
916¿ReturnStatement¿¿1457¿¿¿¿{"start":{"line":17,"column":8},"end":{"line":17,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿ReturnStatement
917¿Identifier¿¿1457¿argsOrOptions¿¿¿{"start":{"line":17,"column":15},"end":{"line":17,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Identifier
918¿BlockStatement¿¿1457¿¿¿¿{"start":{"line":16,"column":9},"end":{"line":18,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿BlockStatement
919¿BlockStatement¿¿1457¿¿¿¿{"start":{"line":12,"column":44},"end":{"line":19,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿BlockStatement
920¿VariableDeclarator¿¿1452¿readStreamAsLines¿¿¿{"start":{"line":20,"column":0},"end":{"line":35,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿VariableDeclarator
921¿FunctionExpression¿¿1452¿anon¿¿¿{"start":{"line":20,"column":0},"end":{"line":35,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿FunctionExpression
922¿Identifier¿¿0¿stream¿¿¿{"start":{"line":20,"column":27},"end":{"line":20,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Identifier
923¿Identifier¿¿0¿event¿¿¿{"start":{"line":20,"column":35},"end":{"line":20,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Identifier
924¿Identifier¿¿0¿eventEmitter¿¿¿{"start":{"line":20,"column":42},"end":{"line":20,"column":54},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Identifier
925¿VariableDeclarator¿¿1460¿lastLineEmpty¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿VariableDeclarator
926¿Literal¿boolean¿1460¿¿false¿¿{"start":{"line":21,"column":24},"end":{"line":21,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Literal
927¿VariableDeclarator¿¿1460¿v66¿¿¿{"start":{"line":22,"column":16},"end":{"line":22,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿VariableDeclarator
928¿CallExpression¿¿1460¿¿¿¿{"start":{"line":22,"column":16},"end":{"line":22,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿CallExpression
929¿Identifier¿¿1460¿split¿¿¿{"start":{"line":22,"column":16},"end":{"line":22,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Identifier
930¿VariableDeclarator¿¿1460¿v67¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿VariableDeclarator
931¿CallExpression¿¿1460¿¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿CallExpression
932¿MemberExpression¿¿1460¿¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿MemberExpression
933¿Identifier¿¿1460¿stream¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":10},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Identifier
934¿Identifier¿¿1460¿pipe¿¿¿{"start":{"line":22,"column":11},"end":{"line":22,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Identifier
935¿Identifier¿¿1460¿v66¿¿¿¿¿Identifier
936¿VariableDeclarator¿¿1460¿v72¿¿¿{"start":{"line":22,"column":36},"end":{"line":34,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿VariableDeclarator
937¿FunctionExpression¿¿1460¿anon¿¿¿{"start":{"line":22,"column":36},"end":{"line":34,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿FunctionExpression
938¿Identifier¿¿0¿line¿¿¿{"start":{"line":22,"column":46},"end":{"line":22,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Identifier
939¿VariableDeclarator¿¿1462¿v68¿¿¿{"start":{"line":23,"column":12},"end":{"line":23,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿VariableDeclarator
940¿BinaryExpression¿===¿1462¿¿¿¿{"start":{"line":23,"column":12},"end":{"line":23,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿BinaryExpression
941¿Identifier¿¿1462¿line¿¿¿{"start":{"line":23,"column":12},"end":{"line":23,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Identifier
942¿Literal¿string¿1462¿¿''¿¿{"start":{"line":23,"column":21},"end":{"line":23,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Literal
943¿IfStatement¿¿1462¿¿¿¿{"start":{"line":23,"column":8},"end":{"line":33,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿IfStatement
944¿Identifier¿¿1462¿v68¿¿¿¿¿Identifier
945¿IfStatement¿¿1462¿¿¿¿{"start":{"line":24,"column":12},"end":{"line":25,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿IfStatement
946¿Identifier¿¿1462¿lastLineEmpty¿¿¿{"start":{"line":24,"column":16},"end":{"line":24,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Identifier
947¿VariableDeclarator¿¿1462¿v69¿¿¿{"start":{"line":25,"column":16},"end":{"line":25,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿VariableDeclarator
948¿CallExpression¿¿1462¿¿¿¿{"start":{"line":25,"column":16},"end":{"line":25,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿CallExpression
949¿MemberExpression¿¿1462¿¿¿¿{"start":{"line":25,"column":16},"end":{"line":25,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿MemberExpression
950¿Identifier¿¿1462¿eventEmitter¿¿¿{"start":{"line":25,"column":16},"end":{"line":25,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Identifier
951¿Identifier¿¿1462¿emit¿¿¿{"start":{"line":25,"column":29},"end":{"line":25,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Identifier
952¿Identifier¿¿1462¿event¿¿¿{"start":{"line":25,"column":34},"end":{"line":25,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Identifier
953¿Literal¿string¿1462¿¿''¿¿{"start":{"line":25,"column":41},"end":{"line":25,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Literal
954¿ExpressionStatement¿¿1462¿¿¿¿{"start":{"line":25,"column":16},"end":{"line":25,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿ExpressionStatement
955¿Identifier¿¿1462¿v69¿¿¿¿¿Identifier
956¿BlockStatement¿¿1462¿¿¿¿¿¿BlockStatement
957¿ExpressionStatement¿¿1462¿¿¿¿{"start":{"line":26,"column":12},"end":{"line":26,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿ExpressionStatement
958¿AssignmentExpression¿=¿1462¿¿¿¿{"start":{"line":26,"column":12},"end":{"line":26,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿AssignmentExpression
959¿Identifier¿¿1462¿lastLineEmpty¿¿¿{"start":{"line":26,"column":12},"end":{"line":26,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Identifier
960¿Literal¿boolean¿1462¿¿true¿¿{"start":{"line":26,"column":28},"end":{"line":26,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Literal
961¿BlockStatement¿¿1462¿¿¿¿{"start":{"line":23,"column":25},"end":{"line":27,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿BlockStatement
962¿IfStatement¿¿1462¿¿¿¿{"start":{"line":29,"column":12},"end":{"line":30,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿IfStatement
963¿Identifier¿¿1462¿lastLineEmpty¿¿¿{"start":{"line":29,"column":16},"end":{"line":29,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Identifier
964¿VariableDeclarator¿¿1462¿v70¿¿¿{"start":{"line":30,"column":16},"end":{"line":30,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿VariableDeclarator
965¿CallExpression¿¿1462¿¿¿¿{"start":{"line":30,"column":16},"end":{"line":30,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿CallExpression
966¿MemberExpression¿¿1462¿¿¿¿{"start":{"line":30,"column":16},"end":{"line":30,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿MemberExpression
967¿Identifier¿¿1462¿eventEmitter¿¿¿{"start":{"line":30,"column":16},"end":{"line":30,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Identifier
968¿Identifier¿¿1462¿emit¿¿¿{"start":{"line":30,"column":29},"end":{"line":30,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Identifier
969¿Identifier¿¿1462¿event¿¿¿{"start":{"line":30,"column":34},"end":{"line":30,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Identifier
970¿Literal¿string¿1462¿¿''¿¿{"start":{"line":30,"column":41},"end":{"line":30,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Literal
971¿ExpressionStatement¿¿1462¿¿¿¿{"start":{"line":30,"column":16},"end":{"line":30,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿ExpressionStatement
972¿Identifier¿¿1462¿v70¿¿¿¿¿Identifier
973¿BlockStatement¿¿1462¿¿¿¿¿¿BlockStatement
974¿ExpressionStatement¿¿1462¿¿¿¿{"start":{"line":31,"column":12},"end":{"line":31,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿ExpressionStatement
975¿AssignmentExpression¿=¿1462¿¿¿¿{"start":{"line":31,"column":12},"end":{"line":31,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿AssignmentExpression
976¿Identifier¿¿1462¿lastLineEmpty¿¿¿{"start":{"line":31,"column":12},"end":{"line":31,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Identifier
977¿Literal¿boolean¿1462¿¿false¿¿{"start":{"line":31,"column":28},"end":{"line":31,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Literal
978¿VariableDeclarator¿¿1462¿v71¿¿¿{"start":{"line":32,"column":12},"end":{"line":32,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿VariableDeclarator
979¿CallExpression¿¿1462¿¿¿¿{"start":{"line":32,"column":12},"end":{"line":32,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿CallExpression
980¿MemberExpression¿¿1462¿¿¿¿{"start":{"line":32,"column":12},"end":{"line":32,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿MemberExpression
981¿Identifier¿¿1462¿eventEmitter¿¿¿{"start":{"line":32,"column":12},"end":{"line":32,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Identifier
982¿Identifier¿¿1462¿emit¿¿¿{"start":{"line":32,"column":25},"end":{"line":32,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Identifier
983¿Identifier¿¿1462¿event¿¿¿{"start":{"line":32,"column":30},"end":{"line":32,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Identifier
984¿Identifier¿¿1462¿line¿¿¿{"start":{"line":32,"column":37},"end":{"line":32,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Identifier
985¿ExpressionStatement¿¿1462¿¿¿¿{"start":{"line":32,"column":12},"end":{"line":32,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿ExpressionStatement
986¿Identifier¿¿1462¿v71¿¿¿¿¿Identifier
987¿BlockStatement¿¿1462¿¿¿¿{"start":{"line":28,"column":13},"end":{"line":33,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿BlockStatement
988¿BlockStatement¿¿1462¿¿¿¿{"start":{"line":22,"column":52},"end":{"line":34,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿BlockStatement
989¿VariableDeclarator¿¿1460¿v73¿¿¿{"start":{"line":22,"column":4},"end":{"line":34,"column":6},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿VariableDeclarator
990¿CallExpression¿¿1460¿¿¿¿{"start":{"line":22,"column":4},"end":{"line":34,"column":6},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿CallExpression
991¿MemberExpression¿¿1460¿¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿MemberExpression
992¿Identifier¿¿1460¿v67¿¿¿¿¿Identifier
993¿Identifier¿¿1460¿on¿¿¿{"start":{"line":22,"column":25},"end":{"line":22,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/ts-process-promises_1.0.2/src/process-promises.js"}¿¿Identifier
