Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1147¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":177,"column":34},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Program
1158¿Identifier¿¿1991¿require¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":18},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Identifier
1159¿Literal¿string¿1991¿¿'path'¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":25},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Literal
1160¿VariableDeclarator¿¿1991¿async¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":28},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿VariableDeclarator
1161¿CallExpression¿¿1991¿¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":28},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿CallExpression
1162¿Identifier¿¿1991¿require¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":19},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Identifier
1163¿Literal¿string¿1991¿¿'async'¿¿{"start":{"line":3,"column":20},"end":{"line":3,"column":27},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Literal
1164¿VariableDeclarator¿¿1991¿mkdirp¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":30},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿VariableDeclarator
1165¿CallExpression¿¿1991¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":30},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿CallExpression
1166¿Identifier¿¿1991¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Identifier
1167¿Literal¿string¿1991¿¿'mkdirp'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":29},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Literal
1168¿VariableDeclarator¿¿1991¿sizeOf¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":34},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿VariableDeclarator
1169¿CallExpression¿¿1991¿¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":34},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿CallExpression
1170¿Identifier¿¿1991¿require¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":20},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Identifier
1171¿Literal¿string¿1991¿¿'image-size'¿¿{"start":{"line":5,"column":21},"end":{"line":5,"column":33},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Literal
1172¿VariableDeclarator¿¿1991¿v108¿¿¿{"start":{"line":8,"column":22},"end":{"line":8,"column":40},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿VariableDeclarator
1173¿ArrayExpression¿¿1991¿¿¿¿{"start":{"line":8,"column":22},"end":{"line":8,"column":40},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿ArrayExpression
1174¿Literal¿string¿1991¿¿'ios'¿¿{"start":{"line":8,"column":23},"end":{"line":8,"column":28},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Literal
1175¿Literal¿string¿1991¿¿'android'¿¿{"start":{"line":8,"column":30},"end":{"line":8,"column":39},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Literal
1176¿VariableDeclarator¿¿1991¿defaults¿¿¿{"start":{"line":7,"column":4},"end":{"line":14,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿VariableDeclarator
1177¿ObjectExpression¿¿1991¿¿¿¿¿¿ObjectExpression
1178¿ExpressionStatement¿¿1991¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":14,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿ExpressionStatement
1179¿AssignmentExpression¿=¿1991¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":14,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿AssignmentExpression
1180¿MemberExpression¿¿1991¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":14,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿MemberExpression
1181¿Identifier¿¿1991¿defaults¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":12},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Identifier
1182¿Identifier¿¿1991¿PLATFORMS_TO_BUILD¿¿¿{"start":{"line":8,"column":2},"end":{"line":8,"column":20},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Identifier
1183¿Identifier¿¿1991¿v108¿¿¿¿¿Identifier
1184¿ExpressionStatement¿¿1991¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":14,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿ExpressionStatement
1185¿AssignmentExpression¿=¿1991¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":14,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿AssignmentExpression
1186¿MemberExpression¿¿1991¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":14,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿MemberExpression
1187¿Identifier¿¿1991¿defaults¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":12},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Identifier
1188¿Identifier¿¿1991¿ORIGINAL_ICON_FILE_NAME¿¿¿{"start":{"line":9,"column":2},"end":{"line":9,"column":25},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Identifier
1189¿Literal¿string¿1991¿¿'appicon_1024.png'¿¿{"start":{"line":9,"column":27},"end":{"line":9,"column":45},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Literal
1190¿ExpressionStatement¿¿1991¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":14,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿ExpressionStatement
1191¿AssignmentExpression¿=¿1991¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":14,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿AssignmentExpression
1192¿MemberExpression¿¿1991¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":14,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿MemberExpression
1193¿Identifier¿¿1991¿defaults¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":12},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Identifier
1194¿Identifier¿¿1991¿IOS_FILE_NAME_PREFIX¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":22},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Identifier
1195¿Literal¿string¿1991¿¿'Icon'¿¿{"start":{"line":10,"column":24},"end":{"line":10,"column":30},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Literal
1196¿ExpressionStatement¿¿1991¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":14,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿ExpressionStatement
1197¿AssignmentExpression¿=¿1991¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":14,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿AssignmentExpression
1198¿MemberExpression¿¿1991¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":14,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿MemberExpression
1199¿Identifier¿¿1991¿defaults¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":12},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Identifier
1200¿Identifier¿¿1991¿IOS_OUTPUT_FOLDER¿¿¿{"start":{"line":11,"column":2},"end":{"line":11,"column":19},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Identifier
1201¿Literal¿string¿1991¿¿'.'¿¿{"start":{"line":11,"column":21},"end":{"line":11,"column":24},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Literal
1202¿ExpressionStatement¿¿1991¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":14,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿ExpressionStatement
1203¿AssignmentExpression¿=¿1991¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":14,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿AssignmentExpression
1204¿MemberExpression¿¿1991¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":14,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿MemberExpression
1205¿Identifier¿¿1991¿defaults¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":12},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Identifier
1206¿Identifier¿¿1991¿ANDROID_OUTPUT_FOLDER¿¿¿{"start":{"line":12,"column":2},"end":{"line":12,"column":23},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Identifier
1207¿Literal¿string¿1991¿¿'.'¿¿{"start":{"line":12,"column":25},"end":{"line":12,"column":28},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Literal
1208¿ExpressionStatement¿¿1991¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":14,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿ExpressionStatement
1209¿AssignmentExpression¿=¿1991¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":14,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿AssignmentExpression
1210¿MemberExpression¿¿1991¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":14,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿MemberExpression
1211¿Identifier¿¿1991¿defaults¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":12},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Identifier
1212¿Identifier¿¿1991¿ANDROID_BASE_SIZE¿¿¿{"start":{"line":13,"column":2},"end":{"line":13,"column":19},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Identifier
1213¿Literal¿number¿1991¿¿48¿¿{"start":{"line":13,"column":21},"end":{"line":13,"column":23},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Literal
1214¿VariableDeclarator¿¿1991¿getSize¿¿¿{"start":{"line":17,"column":0},"end":{"line":19,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿VariableDeclarator
1215¿FunctionExpression¿¿1991¿anon¿¿¿{"start":{"line":17,"column":0},"end":{"line":19,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿FunctionExpression
1216¿Identifier¿¿0¿str¿¿¿{"start":{"line":17,"column":17},"end":{"line":17,"column":20},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Identifier
1217¿VariableDeclarator¿¿1993¿v109¿¿¿{"start":{"line":18,"column":9},"end":{"line":18,"column":23},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿VariableDeclarator
1218¿CallExpression¿¿1993¿¿¿¿{"start":{"line":18,"column":9},"end":{"line":18,"column":23},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿CallExpression
1219¿MemberExpression¿¿1993¿¿¿¿{"start":{"line":18,"column":9},"end":{"line":18,"column":18},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿MemberExpression
1220¿Identifier¿¿1993¿str¿¿¿{"start":{"line":18,"column":9},"end":{"line":18,"column":12},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Identifier
1221¿Identifier¿¿1993¿split¿¿¿{"start":{"line":18,"column":13},"end":{"line":18,"column":18},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Identifier
1222¿Literal¿string¿1993¿¿'x'¿¿{"start":{"line":18,"column":19},"end":{"line":18,"column":22},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Literal
1223¿VariableDeclarator¿¿1993¿v110¿¿¿{"start":{"line":18,"column":9},"end":{"line":18,"column":26},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿VariableDeclarator
1224¿MemberExpression¿computed¿1993¿¿¿¿{"start":{"line":18,"column":9},"end":{"line":18,"column":26},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿MemberExpression
1225¿Identifier¿¿1993¿v109¿¿¿¿¿Identifier
1226¿Literal¿number¿1993¿¿0¿¿{"start":{"line":18,"column":24},"end":{"line":18,"column":25},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Literal
1227¿VariableDeclarator¿¿1993¿v111¿¿¿{"start":{"line":18,"column":9},"end":{"line":18,"column":33},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿VariableDeclarator
1228¿CallExpression¿¿1993¿¿¿¿{"start":{"line":18,"column":9},"end":{"line":18,"column":33},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿CallExpression
1229¿MemberExpression¿¿1993¿¿¿¿{"start":{"line":18,"column":9},"end":{"line":18,"column":31},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿MemberExpression
1230¿Identifier¿¿1993¿v110¿¿¿¿¿Identifier
1231¿Identifier¿¿1993¿trim¿¿¿{"start":{"line":18,"column":27},"end":{"line":18,"column":31},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Identifier
1232¿ReturnStatement¿¿1993¿¿¿¿{"start":{"line":18,"column":2},"end":{"line":18,"column":34},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿ReturnStatement
1233¿Identifier¿¿1993¿v111¿¿¿¿¿Identifier
1234¿BlockStatement¿¿1993¿¿¿¿{"start":{"line":17,"column":22},"end":{"line":19,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿BlockStatement
1235¿VariableDeclarator¿¿1991¿getSizeFromRatio¿¿¿{"start":{"line":30,"column":0},"end":{"line":33,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿VariableDeclarator
1236¿FunctionExpression¿¿1991¿anon¿¿¿{"start":{"line":30,"column":0},"end":{"line":33,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿FunctionExpression
1237¿Identifier¿¿0¿options¿¿¿{"start":{"line":30,"column":26},"end":{"line":30,"column":33},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Identifier
1238¿VariableDeclarator¿¿1995¿v112¿¿¿{"start":{"line":31,"column":19},"end":{"line":31,"column":32},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿VariableDeclarator
1239¿MemberExpression¿¿1995¿¿¿¿{"start":{"line":31,"column":19},"end":{"line":31,"column":32},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿MemberExpression
1240¿Identifier¿¿1995¿options¿¿¿{"start":{"line":31,"column":19},"end":{"line":31,"column":26},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Identifier
1241¿Identifier¿¿1995¿ratio¿¿¿{"start":{"line":31,"column":27},"end":{"line":31,"column":32},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Identifier
1242¿VariableDeclarator¿¿1995¿ratio¿¿¿{"start":{"line":31,"column":6},"end":{"line":31,"column":33},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿VariableDeclarator
1243¿CallExpression¿¿1995¿¿¿¿{"start":{"line":31,"column":14},"end":{"line":31,"column":33},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿CallExpression
1244¿Identifier¿¿1995¿eval¿¿¿{"start":{"line":31,"column":14},"end":{"line":31,"column":18},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Identifier
1245¿Identifier¿¿1995¿v112¿¿¿¿¿Identifier
1246¿VariableDeclarator¿¿1995¿v113¿¿¿{"start":{"line":32,"column":20},"end":{"line":32,"column":32},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿VariableDeclarator
1247¿MemberExpression¿¿1995¿¿¿¿{"start":{"line":32,"column":20},"end":{"line":32,"column":32},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿MemberExpression
1248¿Identifier¿¿1995¿options¿¿¿{"start":{"line":32,"column":20},"end":{"line":32,"column":27},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Identifier
1249¿Identifier¿¿1995¿size¿¿¿{"start":{"line":32,"column":28},"end":{"line":32,"column":32},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Identifier
1250¿VariableDeclarator¿¿1995¿v114¿¿¿{"start":{"line":32,"column":20},"end":{"line":32,"column":40},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿VariableDeclarator
1251¿BinaryExpression¿*¿1995¿¿¿¿{"start":{"line":32,"column":20},"end":{"line":32,"column":40},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿BinaryExpression
1252¿Identifier¿¿1995¿v113¿¿¿¿¿Identifier
1253¿Identifier¿¿1995¿ratio¿¿¿{"start":{"line":32,"column":35},"end":{"line":32,"column":40},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Identifier
1254¿VariableDeclarator¿¿1995¿v115¿¿¿{"start":{"line":32,"column":9},"end":{"line":32,"column":41},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿VariableDeclarator
1255¿CallExpression¿¿1995¿¿¿¿{"start":{"line":32,"column":9},"end":{"line":32,"column":41},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿CallExpression
1256¿MemberExpression¿¿1995¿¿¿¿{"start":{"line":32,"column":9},"end":{"line":32,"column":19},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿MemberExpression
1257¿Identifier¿¿1995¿Math¿¿¿{"start":{"line":32,"column":9},"end":{"line":32,"column":13},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Identifier
1258¿Identifier¿¿1995¿floor¿¿¿{"start":{"line":32,"column":14},"end":{"line":32,"column":19},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Identifier
1259¿Identifier¿¿1995¿v114¿¿¿¿¿Identifier
1260¿ReturnStatement¿¿1995¿¿¿¿{"start":{"line":32,"column":2},"end":{"line":32,"column":42},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿ReturnStatement
1261¿Identifier¿¿1995¿v115¿¿¿¿¿Identifier
1262¿BlockStatement¿¿1995¿¿¿¿{"start":{"line":30,"column":35},"end":{"line":33,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿BlockStatement
1263¿VariableDeclarator¿¿1991¿executeResize¿¿¿{"start":{"line":35,"column":0},"end":{"line":50,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿VariableDeclarator
1264¿FunctionExpression¿¿1991¿anon¿¿¿{"start":{"line":35,"column":0},"end":{"line":50,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿FunctionExpression
1265¿Identifier¿¿0¿options¿¿¿{"start":{"line":35,"column":23},"end":{"line":35,"column":30},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Identifier
1266¿Identifier¿¿0¿callback¿¿¿{"start":{"line":35,"column":32},"end":{"line":35,"column":40},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Identifier
1267¿VariableDeclarator¿¿1997¿v116¿¿¿{"start":{"line":36,"column":19},"end":{"line":36,"column":31},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿VariableDeclarator
1268¿MemberExpression¿¿1997¿¿¿¿{"start":{"line":36,"column":19},"end":{"line":36,"column":31},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿MemberExpression
1269¿Identifier¿¿1997¿options¿¿¿{"start":{"line":36,"column":19},"end":{"line":36,"column":26},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Identifier
1270¿Identifier¿¿1997¿size¿¿¿{"start":{"line":36,"column":27},"end":{"line":36,"column":31},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Identifier
1271¿VariableDeclarator¿¿1997¿v117¿¿¿{"start":{"line":36,"column":19},"end":{"line":36,"column":37},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿VariableDeclarator
1272¿BinaryExpression¿+¿1997¿¿¿¿{"start":{"line":36,"column":19},"end":{"line":36,"column":37},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿BinaryExpression
1273¿Identifier¿¿1997¿v116¿¿¿¿¿Identifier
1274¿Literal¿string¿1997¿¿'x'¿¿{"start":{"line":36,"column":34},"end":{"line":36,"column":37},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Literal
1275¿VariableDeclarator¿¿1997¿v118¿¿¿{"start":{"line":36,"column":40},"end":{"line":36,"column":52},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿VariableDeclarator
1276¿MemberExpression¿¿1997¿¿¿¿{"start":{"line":36,"column":40},"end":{"line":36,"column":52},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿MemberExpression
1277¿Identifier¿¿1997¿options¿¿¿{"start":{"line":36,"column":40},"end":{"line":36,"column":47},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Identifier
1278¿Identifier¿¿1997¿size¿¿¿{"start":{"line":36,"column":48},"end":{"line":36,"column":52},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Identifier
1279¿VariableDeclarator¿¿1997¿dimensions¿¿¿{"start":{"line":36,"column":6},"end":{"line":36,"column":52},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿VariableDeclarator
1280¿BinaryExpression¿+¿1997¿¿¿¿{"start":{"line":36,"column":19},"end":{"line":36,"column":52},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿BinaryExpression
1281¿Identifier¿¿1997¿v117¿¿¿¿¿Identifier
1282¿Identifier¿¿1997¿v118¿¿¿¿¿Identifier
1283¿VariableDeclarator¿¿1997¿v119¿¿¿{"start":{"line":37,"column":30},"end":{"line":37,"column":47},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿VariableDeclarator
1284¿MemberExpression¿¿1997¿¿¿¿{"start":{"line":37,"column":30},"end":{"line":37,"column":47},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿MemberExpression
1285¿Identifier¿¿1997¿options¿¿¿{"start":{"line":37,"column":30},"end":{"line":37,"column":37},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Identifier
1286¿Identifier¿¿1997¿inputFile¿¿¿{"start":{"line":37,"column":38},"end":{"line":37,"column":47},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Identifier
1287¿VariableDeclarator¿¿1997¿v120¿¿¿{"start":{"line":37,"column":16},"end":{"line":37,"column":47},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿VariableDeclarator
1288¿BinaryExpression¿+¿1997¿¿¿¿{"start":{"line":37,"column":16},"end":{"line":37,"column":47},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿BinaryExpression
1289¿Literal¿string¿1997¿¿'convert ''¿¿{"start":{"line":37,"column":16},"end":{"line":37,"column":27},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿Literal
1290¿Identifier¿¿1997¿v119¿¿¿¿¿Identifier
1291¿VariableDeclarator¿¿1997¿v121¿¿¿{"start":{"line":37,"column":16},"end":{"line":37,"column":65},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿VariableDeclarator
1292¿BinaryExpression¿+¿1997¿¿¿¿{"start":{"line":37,"column":16},"end":{"line":37,"column":65},"fname":"/datasets/vulcan-dataset/CWE-94/317/src/resize.js"}¿¿BinaryExpression
1293¿Identifier¿¿1997¿v120¿¿¿¿¿Identifier
