Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2986¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":780,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Program
3006¿CallExpression¿¿5337¿¿¿¿{"start":{"line":7,"column":9},"end":{"line":7,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿CallExpression
3007¿Identifier¿¿5337¿require¿¿¿{"start":{"line":7,"column":9},"end":{"line":7,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
3008¿Literal¿string¿5337¿¿'fs'¿¿{"start":{"line":7,"column":17},"end":{"line":7,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Literal
3009¿VariableDeclarator¿¿5337¿querystring¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿VariableDeclarator
3010¿CallExpression¿¿5337¿¿¿¿{"start":{"line":8,"column":16},"end":{"line":8,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿CallExpression
3011¿Identifier¿¿5337¿require¿¿¿{"start":{"line":8,"column":16},"end":{"line":8,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
3012¿Literal¿string¿5337¿¿'querystring'¿¿{"start":{"line":8,"column":24},"end":{"line":8,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Literal
3013¿VariableDeclarator¿¿5337¿v339¿¿¿{"start":{"line":9,"column":21},"end":{"line":9,"column":45},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿VariableDeclarator
3014¿TemplateLiteral¿¿5337¿¿¿¿{"start":{"line":9,"column":21},"end":{"line":9,"column":45},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿TemplateLiteral
3015¿Identifier¿¿5337¿__dirname¿¿¿{"start":{"line":9,"column":24},"end":{"line":9,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
3016¿VariableDeclarator¿¿5337¿Config¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":46},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿VariableDeclarator
3017¿CallExpression¿¿5337¿¿¿¿{"start":{"line":9,"column":13},"end":{"line":9,"column":46},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿CallExpression
3018¿Identifier¿¿5337¿require¿¿¿{"start":{"line":9,"column":13},"end":{"line":9,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
3019¿Identifier¿¿5337¿v339¿¿¿¿¿Identifier
3020¿VariableDeclarator¿¿5337¿Server¿¿¿{"start":{"line":37,"column":0},"end":{"line":326,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿VariableDeclarator
3021¿FunctionExpression¿¿5337¿Server¿¿¿{"start":{"line":44,"column":15},"end":{"line":46,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿FunctionExpression
3022¿Identifier¿¿0¿userConfig¿¿¿{"start":{"line":44,"column":16},"end":{"line":44,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
3023¿ExpressionStatement¿¿5339¿¿¿¿{"start":{"line":45,"column":6},"end":{"line":45,"column":46},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿ExpressionStatement
3024¿AssignmentExpression¿=¿5339¿¿¿¿{"start":{"line":45,"column":6},"end":{"line":45,"column":45},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿AssignmentExpression
3025¿MemberExpression¿¿5339¿¿¿¿{"start":{"line":45,"column":6},"end":{"line":45,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿MemberExpression
3026¿ThisExpression¿¿5339¿¿¿¿{"start":{"line":45,"column":6},"end":{"line":45,"column":10},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿ThisExpression
3027¿Identifier¿¿5339¿config¿¿¿{"start":{"line":45,"column":11},"end":{"line":45,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
3028¿NewExpression¿¿5339¿¿¿¿{"start":{"line":45,"column":18},"end":{"line":45,"column":45},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿NewExpression
3029¿MemberExpression¿¿5339¿¿¿¿{"start":{"line":45,"column":22},"end":{"line":45,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿MemberExpression
3030¿ThisExpression¿¿5339¿¿¿¿{"start":{"line":45,"column":22},"end":{"line":45,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿ThisExpression
3031¿Identifier¿¿5339¿Config¿¿¿{"start":{"line":45,"column":27},"end":{"line":45,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
3032¿Identifier¿¿5339¿userConfig¿¿¿{"start":{"line":45,"column":34},"end":{"line":45,"column":44},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
3033¿BlockStatement¿¿5339¿¿¿¿{"start":{"line":44,"column":27},"end":{"line":46,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿BlockStatement
3034¿VariableDeclarator¿¿5337¿deploy¿¿¿{"start":{"line":37,"column":0},"end":{"line":326,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿VariableDeclarator
3035¿FunctionExpression¿¿5337¿deploy¿¿¿{"start":{"line":91,"column":14},"end":{"line":93,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿FunctionExpression
3036¿ReturnStatement¿¿5341¿¿¿¿{"start":{"line":92,"column":6},"end":{"line":92,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿ReturnStatement
3037¿Identifier¿¿5341¿deploy¿¿¿{"start":{"line":92,"column":13},"end":{"line":92,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
3038¿BlockStatement¿¿5341¿¿¿¿{"start":{"line":91,"column":16},"end":{"line":93,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿BlockStatement
3039¿ExpressionStatement¿¿5337¿¿¿¿{"start":{"line":37,"column":0},"end":{"line":326,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿ExpressionStatement
3040¿AssignmentExpression¿=¿5337¿¿¿¿{"start":{"line":37,"column":0},"end":{"line":326,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿AssignmentExpression
3041¿MemberExpression¿¿5337¿¿¿¿{"start":{"line":37,"column":0},"end":{"line":326,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿MemberExpression
3042¿Identifier¿¿5337¿Server¿¿¿{"start":{"line":37,"column":6},"end":{"line":37,"column":12},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
3043¿Identifier¿¿5337¿deploy¿¿¿{"start":{"line":91,"column":8},"end":{"line":91,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
3044¿Identifier¿¿5337¿deploy¿¿¿{"start":{"line":91,"column":8},"end":{"line":91,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
3045¿VariableDeclarator¿¿5337¿onRawRequest¿¿¿{"start":{"line":37,"column":0},"end":{"line":326,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿VariableDeclarator
3046¿FunctionExpression¿¿5337¿onRawRequest¿¿¿{"start":{"line":143,"column":16},"end":{"line":145,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿FunctionExpression
3047¿Identifier¿¿0¿request¿¿¿{"start":{"line":143,"column":17},"end":{"line":143,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
3048¿Identifier¿¿0¿response¿¿¿{"start":{"line":143,"column":25},"end":{"line":143,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
3049¿Identifier¿¿0¿serve¿¿¿{"start":{"line":143,"column":34},"end":{"line":143,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
3050¿BlockStatement¿¿5343¿¿¿¿{"start":{"line":143,"column":40},"end":{"line":145,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿BlockStatement
3051¿ExpressionStatement¿¿5337¿¿¿¿{"start":{"line":37,"column":0},"end":{"line":326,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿ExpressionStatement
3052¿AssignmentExpression¿=¿5337¿¿¿¿{"start":{"line":37,"column":0},"end":{"line":326,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿AssignmentExpression
3053¿MemberExpression¿¿5337¿¿¿¿{"start":{"line":37,"column":0},"end":{"line":326,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿MemberExpression
3054¿Identifier¿¿5337¿Server¿¿¿{"start":{"line":37,"column":6},"end":{"line":37,"column":12},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
3055¿Identifier¿¿5337¿onRawRequest¿¿¿{"start":{"line":143,"column":4},"end":{"line":143,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
3056¿Identifier¿¿5337¿onRawRequest¿¿¿{"start":{"line":143,"column":4},"end":{"line":143,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
3057¿VariableDeclarator¿¿5337¿onRequest¿¿¿{"start":{"line":37,"column":0},"end":{"line":326,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿VariableDeclarator
3058¿FunctionExpression¿¿5337¿onRequest¿¿¿{"start":{"line":209,"column":13},"end":{"line":211,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿FunctionExpression
3059¿Identifier¿¿0¿request¿¿¿{"start":{"line":209,"column":14},"end":{"line":209,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
3060¿Identifier¿¿0¿response¿¿¿{"start":{"line":209,"column":22},"end":{"line":209,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
3061¿Identifier¿¿0¿serve¿¿¿{"start":{"line":209,"column":31},"end":{"line":209,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
3062¿BlockStatement¿¿5345¿¿¿¿{"start":{"line":209,"column":37},"end":{"line":211,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿BlockStatement
3063¿ExpressionStatement¿¿5337¿¿¿¿{"start":{"line":37,"column":0},"end":{"line":326,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿ExpressionStatement
3064¿AssignmentExpression¿=¿5337¿¿¿¿{"start":{"line":37,"column":0},"end":{"line":326,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿AssignmentExpression
3065¿MemberExpression¿¿5337¿¿¿¿{"start":{"line":37,"column":0},"end":{"line":326,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿MemberExpression
3066¿Identifier¿¿5337¿Server¿¿¿{"start":{"line":37,"column":6},"end":{"line":37,"column":12},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
3067¿Identifier¿¿5337¿onRequest¿¿¿{"start":{"line":209,"column":4},"end":{"line":209,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
3068¿Identifier¿¿5337¿onRequest¿¿¿{"start":{"line":209,"column":4},"end":{"line":209,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
3069¿VariableDeclarator¿¿5337¿beforeServe¿¿¿{"start":{"line":37,"column":0},"end":{"line":326,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿VariableDeclarator
3070¿FunctionExpression¿¿5337¿beforeServe¿¿¿{"start":{"line":269,"column":15},"end":{"line":271,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿FunctionExpression
3071¿Identifier¿¿0¿request¿¿¿{"start":{"line":269,"column":16},"end":{"line":269,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
3072¿Identifier¿¿0¿response¿¿¿{"start":{"line":269,"column":24},"end":{"line":269,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
3073¿Identifier¿¿0¿body¿¿¿{"start":{"line":269,"column":33},"end":{"line":269,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
3074¿Identifier¿¿0¿encoding¿¿¿{"start":{"line":269,"column":38},"end":{"line":269,"column":46},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
3075¿Identifier¿¿0¿serve¿¿¿{"start":{"line":269,"column":47},"end":{"line":269,"column":52},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
3076¿BlockStatement¿¿5347¿¿¿¿{"start":{"line":269,"column":53},"end":{"line":271,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿BlockStatement
3077¿ExpressionStatement¿¿5337¿¿¿¿{"start":{"line":37,"column":0},"end":{"line":326,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿ExpressionStatement
3078¿AssignmentExpression¿=¿5337¿¿¿¿{"start":{"line":37,"column":0},"end":{"line":326,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿AssignmentExpression
3079¿MemberExpression¿¿5337¿¿¿¿{"start":{"line":37,"column":0},"end":{"line":326,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿MemberExpression
3080¿Identifier¿¿5337¿Server¿¿¿{"start":{"line":37,"column":6},"end":{"line":37,"column":12},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
3081¿Identifier¿¿5337¿beforeServe¿¿¿{"start":{"line":269,"column":4},"end":{"line":269,"column":15},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
3082¿Identifier¿¿5337¿beforeServe¿¿¿{"start":{"line":269,"column":4},"end":{"line":269,"column":15},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
3083¿VariableDeclarator¿¿5337¿afterServe¿¿¿{"start":{"line":37,"column":0},"end":{"line":326,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿VariableDeclarator
3084¿FunctionExpression¿¿5337¿afterServe¿¿¿{"start":{"line":307,"column":14},"end":{"line":309,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿FunctionExpression
3085¿Identifier¿¿0¿request¿¿¿{"start":{"line":307,"column":15},"end":{"line":307,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
3086¿BlockStatement¿¿5349¿¿¿¿{"start":{"line":307,"column":23},"end":{"line":309,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿BlockStatement
3087¿ExpressionStatement¿¿5337¿¿¿¿{"start":{"line":37,"column":0},"end":{"line":326,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿ExpressionStatement
3088¿AssignmentExpression¿=¿5337¿¿¿¿{"start":{"line":37,"column":0},"end":{"line":326,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿AssignmentExpression
3089¿MemberExpression¿¿5337¿¿¿¿{"start":{"line":37,"column":0},"end":{"line":326,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿MemberExpression
3090¿Identifier¿¿5337¿Server¿¿¿{"start":{"line":37,"column":6},"end":{"line":37,"column":12},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
3091¿Identifier¿¿5337¿afterServe¿¿¿{"start":{"line":307,"column":4},"end":{"line":307,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
3092¿Identifier¿¿5337¿afterServe¿¿¿{"start":{"line":307,"column":4},"end":{"line":307,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
3093¿VariableDeclarator¿¿5337¿serve¿¿¿{"start":{"line":37,"column":0},"end":{"line":326,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿VariableDeclarator
3094¿FunctionExpression¿¿5337¿serve¿¿¿{"start":{"line":311,"column":13},"end":{"line":313,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿FunctionExpression
3095¿ReturnStatement¿¿5351¿¿¿¿{"start":{"line":312,"column":6},"end":{"line":312,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿ReturnStatement
3096¿Identifier¿¿5351¿serve¿¿¿{"start":{"line":312,"column":13},"end":{"line":312,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
3097¿BlockStatement¿¿5351¿¿¿¿{"start":{"line":311,"column":15},"end":{"line":313,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿BlockStatement
3098¿ExpressionStatement¿¿5337¿¿¿¿{"start":{"line":37,"column":0},"end":{"line":326,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿ExpressionStatement
3099¿AssignmentExpression¿=¿5337¿¿¿¿{"start":{"line":37,"column":0},"end":{"line":326,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿AssignmentExpression
3100¿MemberExpression¿¿5337¿¿¿¿{"start":{"line":37,"column":0},"end":{"line":326,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿MemberExpression
3101¿Identifier¿¿5337¿Server¿¿¿{"start":{"line":37,"column":6},"end":{"line":37,"column":12},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
3102¿Identifier¿¿5337¿serve¿¿¿{"start":{"line":311,"column":8},"end":{"line":311,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
3103¿Identifier¿¿5337¿serve¿¿¿{"start":{"line":311,"column":8},"end":{"line":311,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
3104¿VariableDeclarator¿¿5337¿serveFile¿¿¿{"start":{"line":37,"column":0},"end":{"line":326,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿VariableDeclarator
3105¿FunctionExpression¿¿5337¿serveFile¿¿¿{"start":{"line":315,"column":17},"end":{"line":317,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿FunctionExpression
3106¿ReturnStatement¿¿5353¿¿¿¿{"start":{"line":316,"column":6},"end":{"line":316,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿ReturnStatement
3107¿Identifier¿¿5353¿serveFile¿¿¿{"start":{"line":316,"column":13},"end":{"line":316,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
3108¿BlockStatement¿¿5353¿¿¿¿{"start":{"line":315,"column":19},"end":{"line":317,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿BlockStatement
3109¿ExpressionStatement¿¿5337¿¿¿¿{"start":{"line":37,"column":0},"end":{"line":326,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿ExpressionStatement
3110¿AssignmentExpression¿=¿5337¿¿¿¿{"start":{"line":37,"column":0},"end":{"line":326,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿AssignmentExpression
3111¿MemberExpression¿¿5337¿¿¿¿{"start":{"line":37,"column":0},"end":{"line":326,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿MemberExpression
3112¿Identifier¿¿5337¿Server¿¿¿{"start":{"line":37,"column":6},"end":{"line":37,"column":12},"fname":"/datasets/secbench-dataset/CWE-22/node-http-server_8.1.2/src/Server.js"}¿¿Identifier
