Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
942¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":134,"column":237},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Program
953¿Identifier¿¿1634¿Object¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":6},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
954¿Identifier¿¿1634¿defineProperty¿¿¿{"start":{"line":3,"column":7},"end":{"line":3,"column":21},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
955¿Identifier¿¿1634¿exports¿¿¿{"start":{"line":3,"column":22},"end":{"line":3,"column":29},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
956¿Literal¿string¿1634¿¿'__esModule'¿¿{"start":{"line":3,"column":31},"end":{"line":3,"column":43},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Literal
957¿Identifier¿¿1634¿v83¿¿¿¿¿Identifier
958¿ExpressionStatement¿¿1634¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿ExpressionStatement
959¿Identifier¿¿1634¿v84¿¿¿¿¿Identifier
960¿ExpressionStatement¿¿1634¿¿¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":61},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿ExpressionStatement
961¿AssignmentExpression¿=¿1634¿¿¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":61},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿AssignmentExpression
962¿MemberExpression¿¿1634¿¿¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":61},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿MemberExpression
963¿Identifier¿¿1634¿exports¿¿¿{"start":{"line":6,"column":36},"end":{"line":6,"column":43},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
964¿Identifier¿¿1634¿Param¿¿¿{"start":{"line":6,"column":44},"end":{"line":6,"column":49},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
965¿Identifier¿¿1634¿undefined¿¿¿{"start":{"line":6,"column":52},"end":{"line":6,"column":61},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
966¿ExpressionStatement¿¿1634¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":61},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿ExpressionStatement
967¿AssignmentExpression¿=¿1634¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":61},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿AssignmentExpression
968¿MemberExpression¿¿1634¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":61},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿MemberExpression
969¿Identifier¿¿1634¿exports¿¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":26},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
970¿Identifier¿¿1634¿Schema¿¿¿{"start":{"line":6,"column":27},"end":{"line":6,"column":33},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
971¿MemberExpression¿¿1634¿¿¿¿{"start":{"line":6,"column":36},"end":{"line":6,"column":49},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿MemberExpression
972¿Identifier¿¿1634¿exports¿¿¿{"start":{"line":6,"column":36},"end":{"line":6,"column":43},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
973¿Identifier¿¿1634¿Param¿¿¿{"start":{"line":6,"column":44},"end":{"line":6,"column":49},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
974¿ExpressionStatement¿¿1634¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":62},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿ExpressionStatement
975¿AssignmentExpression¿=¿1634¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":61},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿AssignmentExpression
976¿MemberExpression¿¿1634¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":16},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿MemberExpression
977¿Identifier¿¿1634¿exports¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":7},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
978¿Identifier¿¿1634¿handlers¿¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":16},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
979¿MemberExpression¿¿1634¿¿¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":33},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿MemberExpression
980¿Identifier¿¿1634¿exports¿¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":26},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
981¿Identifier¿¿1634¿Schema¿¿¿{"start":{"line":6,"column":27},"end":{"line":6,"column":33},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
982¿ExpressionStatement¿¿1634¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":26},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿ExpressionStatement
983¿AssignmentExpression¿=¿1634¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿AssignmentExpression
984¿MemberExpression¿¿1634¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":15},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿MemberExpression
985¿Identifier¿¿1634¿exports¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":7},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
986¿Identifier¿¿1634¿handler¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":15},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
987¿Identifier¿¿1634¿handler¿¿¿{"start":{"line":7,"column":18},"end":{"line":7,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
988¿ExpressionStatement¿¿1634¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":24},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿ExpressionStatement
989¿AssignmentExpression¿=¿1634¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":23},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿AssignmentExpression
990¿MemberExpression¿¿1634¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":14},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿MemberExpression
991¿Identifier¿¿1634¿exports¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":7},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
992¿Identifier¿¿1634¿parser¿¿¿{"start":{"line":8,"column":8},"end":{"line":8,"column":14},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
993¿Identifier¿¿1634¿parser¿¿¿{"start":{"line":8,"column":17},"end":{"line":8,"column":23},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
994¿ExpressionStatement¿¿1634¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":9,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿ExpressionStatement
995¿AssignmentExpression¿=¿1634¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":9,"column":29},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿AssignmentExpression
996¿MemberExpression¿¿1634¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":9,"column":17},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿MemberExpression
997¿Identifier¿¿1634¿exports¿¿¿{"start":{"line":9,"column":0},"end":{"line":9,"column":7},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
998¿Identifier¿¿1634¿formatter¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":17},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
999¿Identifier¿¿1634¿formatter¿¿¿{"start":{"line":9,"column":20},"end":{"line":9,"column":29},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
1000¿ExpressionStatement¿¿1634¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿ExpressionStatement
1001¿AssignmentExpression¿=¿1634¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":29},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿AssignmentExpression
1002¿MemberExpression¿¿1634¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":17},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿MemberExpression
1003¿Identifier¿¿1634¿exports¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":7},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
1004¿Identifier¿¿1634¿validator¿¿¿{"start":{"line":10,"column":8},"end":{"line":10,"column":17},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
1005¿Identifier¿¿1634¿validator¿¿¿{"start":{"line":10,"column":20},"end":{"line":10,"column":29},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
1006¿ExpressionStatement¿¿1634¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":32},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿ExpressionStatement
1007¿AssignmentExpression¿=¿1634¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":31},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿AssignmentExpression
1008¿MemberExpression¿¿1634¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":18},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿MemberExpression
1009¿Identifier¿¿1634¿exports¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":7},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
1010¿Identifier¿¿1634¿middleware¿¿¿{"start":{"line":11,"column":8},"end":{"line":11,"column":18},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
1011¿Identifier¿¿1634¿middleware¿¿¿{"start":{"line":11,"column":21},"end":{"line":11,"column":31},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
1012¿ExpressionStatement¿¿1634¿¿¿¿{"start":{"line":12,"column":0},"end":{"line":12,"column":36},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿ExpressionStatement
1013¿AssignmentExpression¿=¿1634¿¿¿¿{"start":{"line":12,"column":0},"end":{"line":12,"column":35},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿AssignmentExpression
1014¿MemberExpression¿¿1634¿¿¿¿{"start":{"line":12,"column":0},"end":{"line":12,"column":20},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿MemberExpression
1015¿Identifier¿¿1634¿exports¿¿¿{"start":{"line":12,"column":0},"end":{"line":12,"column":7},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
1016¿Identifier¿¿1634¿errorHandler¿¿¿{"start":{"line":12,"column":8},"end":{"line":12,"column":20},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
1017¿Identifier¿¿1634¿errorHandler¿¿¿{"start":{"line":12,"column":23},"end":{"line":12,"column":35},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
1018¿VariableDeclarator¿¿1634¿_lodash¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":31},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿VariableDeclarator
1019¿CallExpression¿¿1634¿¿¿¿{"start":{"line":14,"column":14},"end":{"line":14,"column":31},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿CallExpression
1020¿Identifier¿¿1634¿require¿¿¿{"start":{"line":14,"column":14},"end":{"line":14,"column":21},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
1021¿Literal¿string¿1634¿¿'lodash'¿¿{"start":{"line":14,"column":22},"end":{"line":14,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Literal
1022¿VariableDeclarator¿¿1634¿_lodash2¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":46},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿VariableDeclarator
1023¿CallExpression¿¿1634¿¿¿¿{"start":{"line":16,"column":15},"end":{"line":16,"column":46},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿CallExpression
1024¿Identifier¿¿1634¿_interopRequireDefault¿¿¿{"start":{"line":16,"column":15},"end":{"line":16,"column":37},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
1025¿Identifier¿¿1634¿_lodash¿¿¿{"start":{"line":16,"column":38},"end":{"line":16,"column":45},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
1026¿VariableDeclarator¿¿1634¿_querymenParam¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":48},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿VariableDeclarator
1027¿CallExpression¿¿1634¿¿¿¿{"start":{"line":18,"column":21},"end":{"line":18,"column":48},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿CallExpression
1028¿Identifier¿¿1634¿require¿¿¿{"start":{"line":18,"column":21},"end":{"line":18,"column":28},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
1029¿Literal¿string¿1634¿¿'./querymen-param'¿¿{"start":{"line":18,"column":29},"end":{"line":18,"column":47},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Literal
1030¿VariableDeclarator¿¿1634¿_querymenParam2¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":60},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿VariableDeclarator
1031¿CallExpression¿¿1634¿¿¿¿{"start":{"line":20,"column":22},"end":{"line":20,"column":60},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿CallExpression
1032¿Identifier¿¿1634¿_interopRequireDefault¿¿¿{"start":{"line":20,"column":22},"end":{"line":20,"column":44},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
1033¿Identifier¿¿1634¿_querymenParam¿¿¿{"start":{"line":20,"column":45},"end":{"line":20,"column":59},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
1034¿VariableDeclarator¿¿1634¿_querymenSchema¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":50},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿VariableDeclarator
1035¿CallExpression¿¿1634¿¿¿¿{"start":{"line":22,"column":22},"end":{"line":22,"column":50},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿CallExpression
1036¿Identifier¿¿1634¿require¿¿¿{"start":{"line":22,"column":22},"end":{"line":22,"column":29},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
1037¿Literal¿string¿1634¿¿'./querymen-schema'¿¿{"start":{"line":22,"column":30},"end":{"line":22,"column":49},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Literal
1038¿VariableDeclarator¿¿1634¿_querymenSchema2¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":62},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿VariableDeclarator
1039¿CallExpression¿¿1634¿¿¿¿{"start":{"line":24,"column":23},"end":{"line":24,"column":62},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿CallExpression
1040¿Identifier¿¿1634¿_interopRequireDefault¿¿¿{"start":{"line":24,"column":23},"end":{"line":24,"column":45},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
1041¿Identifier¿¿1634¿_querymenSchema¿¿¿{"start":{"line":24,"column":46},"end":{"line":24,"column":61},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
1042¿VariableDeclarator¿¿1634¿_interopRequireDefault¿¿¿{"start":{"line":26,"column":0},"end":{"line":26,"column":95},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿VariableDeclarator
1043¿FunctionExpression¿¿1634¿anon¿¿¿{"start":{"line":26,"column":0},"end":{"line":26,"column":95},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿FunctionExpression
1044¿Identifier¿¿0¿obj¿¿¿{"start":{"line":26,"column":32},"end":{"line":26,"column":35},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
1045¿VariableDeclarator¿¿1636¿v85¿¿¿{"start":{"line":26,"column":53},"end":{"line":26,"column":67},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿VariableDeclarator
1046¿MemberExpression¿¿1636¿¿¿¿{"start":{"line":26,"column":53},"end":{"line":26,"column":67},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿MemberExpression
1047¿Identifier¿¿1636¿obj¿¿¿{"start":{"line":26,"column":53},"end":{"line":26,"column":56},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
1048¿Identifier¿¿1636¿__esModule¿¿¿{"start":{"line":26,"column":57},"end":{"line":26,"column":67},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
1049¿VariableDeclarator¿¿1636¿v86¿¿¿{"start":{"line":26,"column":46},"end":{"line":26,"column":67},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿VariableDeclarator
1050¿LogicalExpression¿&&¿1636¿¿¿¿{"start":{"line":26,"column":46},"end":{"line":26,"column":67},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿LogicalExpression
1051¿Identifier¿¿1636¿obj¿¿¿{"start":{"line":26,"column":46},"end":{"line":26,"column":49},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
1052¿Identifier¿¿1636¿v85¿¿¿¿¿Identifier
1053¿VariableDeclarator¿¿1636¿v87¿¿¿{"start":{"line":26,"column":76},"end":{"line":26,"column":92},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿VariableDeclarator
1054¿ObjectExpression¿¿1636¿¿¿¿{"start":{"line":26,"column":76},"end":{"line":26,"column":92},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿ObjectExpression
1055¿Property¿¿1636¿¿¿¿{"start":{"line":26,"column":78},"end":{"line":26,"column":90},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Property
1056¿Identifier¿¿1636¿default¿¿¿{"start":{"line":26,"column":78},"end":{"line":26,"column":85},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
1057¿Identifier¿¿1636¿obj¿¿¿{"start":{"line":26,"column":87},"end":{"line":26,"column":90},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
1058¿VariableDeclarator¿¿1636¿v88¿¿¿{"start":{"line":26,"column":46},"end":{"line":26,"column":92},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿VariableDeclarator
1059¿IfStatement¿¿1636¿¿¿¿{"start":{"line":26,"column":46},"end":{"line":26,"column":92},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿IfStatement
1060¿Identifier¿¿1636¿v86¿¿¿¿¿Identifier
1061¿ExpressionStatement¿¿1636¿¿¿¿{"start":{"line":26,"column":46},"end":{"line":26,"column":92},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿ExpressionStatement
1062¿AssignmentExpression¿=¿1636¿¿¿¿{"start":{"line":26,"column":46},"end":{"line":26,"column":92},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿AssignmentExpression
1063¿Identifier¿¿1636¿v88¿¿¿¿¿Identifier
