Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
485¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":77,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Program
537¿IfStatement¿¿853¿¿¿¿{"start":{"line":19,"column":46},"end":{"line":19,"column":92},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿IfStatement
538¿Identifier¿¿853¿v42¿¿¿¿¿Identifier
539¿ExpressionStatement¿¿853¿¿¿¿{"start":{"line":19,"column":46},"end":{"line":19,"column":92},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿ExpressionStatement
540¿AssignmentExpression¿=¿853¿¿¿¿{"start":{"line":19,"column":46},"end":{"line":19,"column":92},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿AssignmentExpression
541¿Identifier¿¿853¿v44¿¿¿¿¿Identifier
542¿Identifier¿¿853¿obj¿¿¿{"start":{"line":19,"column":70},"end":{"line":19,"column":73},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Identifier
543¿BlockStatement¿¿853¿¿¿¿¿¿BlockStatement
544¿ExpressionStatement¿¿853¿¿¿¿{"start":{"line":19,"column":46},"end":{"line":19,"column":92},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿ExpressionStatement
545¿AssignmentExpression¿=¿853¿¿¿¿{"start":{"line":19,"column":46},"end":{"line":19,"column":92},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿AssignmentExpression
546¿Identifier¿¿853¿v44¿¿¿¿¿Identifier
547¿Identifier¿¿853¿v43¿¿¿¿¿Identifier
548¿BlockStatement¿¿853¿¿¿¿¿¿BlockStatement
549¿ReturnStatement¿¿853¿¿¿¿{"start":{"line":19,"column":39},"end":{"line":19,"column":93},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿ReturnStatement
550¿Identifier¿¿853¿v44¿¿¿¿¿Identifier
551¿BlockStatement¿¿853¿¿¿¿{"start":{"line":19,"column":37},"end":{"line":19,"column":95},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿BlockStatement
552¿VariableDeclarator¿¿851¿v45¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿VariableDeclarator
553¿MemberExpression¿¿851¿¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿MemberExpression
554¿Identifier¿¿851¿process¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":11},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Identifier
555¿Identifier¿¿851¿argv¿¿¿{"start":{"line":22,"column":12},"end":{"line":22,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Identifier
556¿VariableDeclarator¿¿851¿v46¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿VariableDeclarator
557¿MemberExpression¿¿851¿¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿MemberExpression
558¿Identifier¿¿851¿v45¿¿¿¿¿Identifier
559¿Identifier¿¿851¿length¿¿¿{"start":{"line":22,"column":17},"end":{"line":22,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Identifier
560¿VariableDeclarator¿¿851¿v47¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿VariableDeclarator
561¿BinaryExpression¿<¿851¿¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿BinaryExpression
562¿Identifier¿¿851¿v46¿¿¿¿¿Identifier
563¿Literal¿number¿851¿¿3¿¿{"start":{"line":22,"column":26},"end":{"line":22,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Literal
564¿IfStatement¿¿851¿¿¿¿{"start":{"line":22,"column":0},"end":{"line":26,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿IfStatement
565¿Identifier¿¿851¿v47¿¿¿¿¿Identifier
566¿VariableDeclarator¿¿851¿v48¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":73},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿VariableDeclarator
567¿CallExpression¿¿851¿¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":73},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿CallExpression
568¿MemberExpression¿¿851¿¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":15},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿MemberExpression
569¿Identifier¿¿851¿console¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":11},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Identifier
570¿Identifier¿¿851¿log¿¿¿{"start":{"line":24,"column":12},"end":{"line":24,"column":15},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Identifier
571¿Literal¿string¿851¿¿'\nUsage: \n\t$ node gamebutler.js path/to/index.html\n'¿¿{"start":{"line":24,"column":16},"end":{"line":24,"column":72},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Literal
572¿ExpressionStatement¿¿851¿¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":74},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿ExpressionStatement
573¿Identifier¿¿851¿v48¿¿¿¿¿Identifier
574¿VariableDeclarator¿¿851¿v49¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿VariableDeclarator
575¿CallExpression¿¿851¿¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿CallExpression
576¿MemberExpression¿¿851¿¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿MemberExpression
577¿Identifier¿¿851¿process¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":11},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Identifier
578¿Identifier¿¿851¿exit¿¿¿{"start":{"line":25,"column":12},"end":{"line":25,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Identifier
579¿ExpressionStatement¿¿851¿¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿ExpressionStatement
580¿Identifier¿¿851¿v49¿¿¿¿¿Identifier
581¿BlockStatement¿¿851¿¿¿¿{"start":{"line":22,"column":29},"end":{"line":26,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿BlockStatement
582¿VariableDeclarator¿¿851¿v50¿¿¿{"start":{"line":29,"column":12},"end":{"line":29,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿VariableDeclarator
583¿MemberExpression¿¿851¿¿¿¿{"start":{"line":29,"column":12},"end":{"line":29,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿MemberExpression
584¿Identifier¿¿851¿_path2¿¿¿{"start":{"line":29,"column":12},"end":{"line":29,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Identifier
585¿Identifier¿¿851¿default¿¿¿{"start":{"line":29,"column":19},"end":{"line":29,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Identifier
586¿VariableDeclarator¿¿851¿v51¿¿¿{"start":{"line":29,"column":35},"end":{"line":29,"column":47},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿VariableDeclarator
587¿MemberExpression¿¿851¿¿¿¿{"start":{"line":29,"column":35},"end":{"line":29,"column":47},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿MemberExpression
588¿Identifier¿¿851¿process¿¿¿{"start":{"line":29,"column":35},"end":{"line":29,"column":42},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Identifier
589¿Identifier¿¿851¿argv¿¿¿{"start":{"line":29,"column":43},"end":{"line":29,"column":47},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Identifier
590¿VariableDeclarator¿¿851¿v52¿¿¿{"start":{"line":29,"column":35},"end":{"line":29,"column":50},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿VariableDeclarator
591¿MemberExpression¿computed¿851¿¿¿¿{"start":{"line":29,"column":35},"end":{"line":29,"column":50},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿MemberExpression
592¿Identifier¿¿851¿v51¿¿¿¿¿Identifier
593¿Literal¿number¿851¿¿2¿¿{"start":{"line":29,"column":48},"end":{"line":29,"column":49},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Literal
594¿VariableDeclarator¿¿851¿ENTRY¿¿¿{"start":{"line":29,"column":4},"end":{"line":29,"column":51},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿VariableDeclarator
595¿CallExpression¿¿851¿¿¿¿{"start":{"line":29,"column":12},"end":{"line":29,"column":51},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿CallExpression
596¿MemberExpression¿¿851¿¿¿¿{"start":{"line":29,"column":12},"end":{"line":29,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿MemberExpression
597¿Identifier¿¿851¿v50¿¿¿¿¿Identifier
598¿Identifier¿¿851¿resolve¿¿¿{"start":{"line":29,"column":27},"end":{"line":29,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Identifier
599¿Identifier¿¿851¿v52¿¿¿¿¿Identifier
600¿VariableDeclarator¿¿851¿v53¿¿¿{"start":{"line":30,"column":11},"end":{"line":30,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿VariableDeclarator
601¿MemberExpression¿¿851¿¿¿¿{"start":{"line":30,"column":11},"end":{"line":30,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿MemberExpression
602¿Identifier¿¿851¿_path2¿¿¿{"start":{"line":30,"column":11},"end":{"line":30,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Identifier
603¿Identifier¿¿851¿default¿¿¿{"start":{"line":30,"column":18},"end":{"line":30,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Identifier
604¿VariableDeclarator¿¿851¿BASE¿¿¿{"start":{"line":30,"column":4},"end":{"line":30,"column":40},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿VariableDeclarator
605¿CallExpression¿¿851¿¿¿¿{"start":{"line":30,"column":11},"end":{"line":30,"column":40},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿CallExpression
606¿MemberExpression¿¿851¿¿¿¿{"start":{"line":30,"column":11},"end":{"line":30,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿MemberExpression
607¿Identifier¿¿851¿v53¿¿¿¿¿Identifier
608¿Identifier¿¿851¿dirname¿¿¿{"start":{"line":30,"column":26},"end":{"line":30,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Identifier
609¿Identifier¿¿851¿ENTRY¿¿¿{"start":{"line":30,"column":34},"end":{"line":30,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Identifier
610¿VariableDeclarator¿¿851¿PORT¿¿¿{"start":{"line":31,"column":4},"end":{"line":31,"column":15},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿VariableDeclarator
611¿Literal¿number¿851¿¿8080¿¿{"start":{"line":31,"column":11},"end":{"line":31,"column":15},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Literal
612¿VariableDeclarator¿¿851¿v54¿¿¿{"start":{"line":34,"column":13},"end":{"line":34,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿VariableDeclarator
613¿MemberExpression¿¿851¿¿¿¿{"start":{"line":34,"column":13},"end":{"line":34,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿MemberExpression
614¿Identifier¿¿851¿_http2¿¿¿{"start":{"line":34,"column":13},"end":{"line":34,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Identifier
615¿Identifier¿¿851¿default¿¿¿{"start":{"line":34,"column":20},"end":{"line":34,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Identifier
616¿VariableDeclarator¿¿851¿v77¿¿¿{"start":{"line":34,"column":41},"end":{"line":75,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿VariableDeclarator
617¿FunctionExpression¿¿851¿anon¿¿¿{"start":{"line":34,"column":41},"end":{"line":75,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿FunctionExpression
618¿Identifier¿¿0¿request¿¿¿{"start":{"line":34,"column":51},"end":{"line":34,"column":58},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Identifier
619¿Identifier¿¿0¿response¿¿¿{"start":{"line":34,"column":60},"end":{"line":34,"column":68},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿Identifier
620¿VariableDeclarator¿¿857¿v55¿¿¿{"start":{"line":35,"column":14},"end":{"line":35,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿VariableDeclarator
621¿MemberExpression¿¿857¿¿¿¿{"start":{"line":35,"column":14},"end":{"line":35,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/gamebutler_1.0.4/src/gamebutler.js"}¿¿MemberExpression
