Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
561¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":78,"column":2},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Program
579¿Literal¿string¿1002¿¿'fs'¿¿{"start":{"line":5,"column":19},"end":{"line":5,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Literal
580¿VariableDeclarator¿exported¿1002¿v153¿¿¿{"start":{"line":9,"column":8},"end":{"line":77,"column":2},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿VariableDeclarator
581¿FunctionExpression¿¿1002¿anon¿¿¿{"start":{"line":9,"column":8},"end":{"line":77,"column":2},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿FunctionExpression
582¿Identifier¿¿0¿opts¿¿¿{"start":{"line":9,"column":9},"end":{"line":9,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Identifier
583¿VariableDeclarator¿¿1004¿defaults¿¿¿{"start":{"line":11,"column":8},"end":{"line":14,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿VariableDeclarator
584¿ObjectExpression¿¿1004¿¿¿¿¿¿ObjectExpression
585¿ExpressionStatement¿¿1004¿¿¿¿{"start":{"line":11,"column":8},"end":{"line":14,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿ExpressionStatement
586¿AssignmentExpression¿=¿1004¿¿¿¿{"start":{"line":11,"column":8},"end":{"line":14,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿AssignmentExpression
587¿MemberExpression¿¿1004¿¿¿¿{"start":{"line":11,"column":8},"end":{"line":14,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿MemberExpression
588¿Identifier¿¿1004¿defaults¿¿¿{"start":{"line":11,"column":8},"end":{"line":11,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Identifier
589¿Identifier¿¿1004¿sqlclPath¿¿¿{"start":{"line":12,"column":3},"end":{"line":12,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Identifier
590¿Literal¿string¿1004¿¿'sql'¿¿{"start":{"line":12,"column":14},"end":{"line":12,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Literal
591¿ExpressionStatement¿¿1004¿¿¿¿{"start":{"line":11,"column":8},"end":{"line":14,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿ExpressionStatement
592¿AssignmentExpression¿=¿1004¿¿¿¿{"start":{"line":11,"column":8},"end":{"line":14,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿AssignmentExpression
593¿MemberExpression¿¿1004¿¿¿¿{"start":{"line":11,"column":8},"end":{"line":14,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿MemberExpression
594¿Identifier¿¿1004¿defaults¿¿¿{"start":{"line":11,"column":8},"end":{"line":11,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Identifier
595¿Identifier¿¿1004¿destination¿¿¿{"start":{"line":13,"column":3},"end":{"line":13,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Identifier
596¿Literal¿string¿1004¿¿'application'¿¿{"start":{"line":13,"column":16},"end":{"line":13,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Literal
597¿ExpressionStatement¿¿1004¿¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿ExpressionStatement
598¿AssignmentExpression¿=¿1004¿¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿AssignmentExpression
599¿Identifier¿¿1004¿opts¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":6},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Identifier
600¿CallExpression¿¿1004¿¿¿¿{"start":{"line":15,"column":9},"end":{"line":15,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿CallExpression
601¿MemberExpression¿¿1004¿¿¿¿{"start":{"line":15,"column":9},"end":{"line":15,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿MemberExpression
602¿Identifier¿¿1004¿Object¿¿¿{"start":{"line":15,"column":9},"end":{"line":15,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Identifier
603¿Identifier¿¿1004¿assign¿¿¿{"start":{"line":15,"column":16},"end":{"line":15,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Identifier
604¿Identifier¿¿1004¿defaults¿¿¿{"start":{"line":15,"column":23},"end":{"line":15,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Identifier
605¿Identifier¿¿1004¿opts¿¿¿{"start":{"line":15,"column":33},"end":{"line":15,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Identifier
606¿VariableDeclarator¿¿1004¿v79¿¿¿{"start":{"line":18,"column":13},"end":{"line":18,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿VariableDeclarator
607¿MemberExpression¿¿1004¿¿¿¿{"start":{"line":18,"column":13},"end":{"line":18,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿MemberExpression
608¿Identifier¿¿1004¿opts¿¿¿{"start":{"line":18,"column":13},"end":{"line":18,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Identifier
609¿Identifier¿¿1004¿connectString¿¿¿{"start":{"line":18,"column":18},"end":{"line":18,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Identifier
610¿VariableDeclarator¿¿1004¿v80¿¿¿{"start":{"line":18,"column":6},"end":{"line":18,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿VariableDeclarator
611¿UnaryExpression¿typeof¿1004¿¿¿¿{"start":{"line":18,"column":6},"end":{"line":18,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿UnaryExpression
612¿Identifier¿¿1004¿v79¿¿¿¿¿Identifier
613¿VariableDeclarator¿¿1004¿v81¿¿¿{"start":{"line":18,"column":6},"end":{"line":18,"column":47},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿VariableDeclarator
614¿BinaryExpression¿===¿1004¿¿¿¿{"start":{"line":18,"column":6},"end":{"line":18,"column":47},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿BinaryExpression
615¿Identifier¿¿1004¿v80¿¿¿¿¿Identifier
616¿Literal¿string¿1004¿¿'undefined'¿¿{"start":{"line":18,"column":36},"end":{"line":18,"column":47},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Literal
617¿IfStatement¿¿1004¿¿¿¿{"start":{"line":18,"column":2},"end":{"line":20,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿IfStatement
618¿Identifier¿¿1004¿v81¿¿¿¿¿Identifier
619¿VariableDeclarator¿¿1004¿v82¿¿¿{"start":{"line":19,"column":9},"end":{"line":19,"column":52},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿VariableDeclarator
620¿NewExpression¿¿1004¿¿¿¿{"start":{"line":19,"column":9},"end":{"line":19,"column":52},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿NewExpression
621¿Identifier¿¿1004¿TypeError¿¿¿{"start":{"line":19,"column":13},"end":{"line":19,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Identifier
622¿Literal¿string¿1004¿¿'connectString is required.'¿¿{"start":{"line":19,"column":23},"end":{"line":19,"column":51},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Literal
623¿ThrowStatement¿¿1004¿¿¿¿{"start":{"line":19,"column":3},"end":{"line":19,"column":53},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿ThrowStatement
624¿Identifier¿¿1004¿v82¿¿¿¿¿Identifier
625¿BlockStatement¿¿1004¿¿¿¿{"start":{"line":18,"column":49},"end":{"line":20,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿BlockStatement
626¿VariableDeclarator¿¿1004¿v83¿¿¿{"start":{"line":22,"column":13},"end":{"line":22,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿VariableDeclarator
627¿MemberExpression¿¿1004¿¿¿¿{"start":{"line":22,"column":13},"end":{"line":22,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿MemberExpression
628¿Identifier¿¿1004¿opts¿¿¿{"start":{"line":22,"column":13},"end":{"line":22,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Identifier
629¿Identifier¿¿1004¿directory¿¿¿{"start":{"line":22,"column":18},"end":{"line":22,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Identifier
630¿VariableDeclarator¿¿1004¿v84¿¿¿{"start":{"line":22,"column":6},"end":{"line":22,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿VariableDeclarator
631¿UnaryExpression¿typeof¿1004¿¿¿¿{"start":{"line":22,"column":6},"end":{"line":22,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿UnaryExpression
632¿Identifier¿¿1004¿v83¿¿¿¿¿Identifier
633¿VariableDeclarator¿¿1004¿v85¿¿¿{"start":{"line":22,"column":6},"end":{"line":22,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿VariableDeclarator
634¿BinaryExpression¿===¿1004¿¿¿¿{"start":{"line":22,"column":6},"end":{"line":22,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿BinaryExpression
635¿Identifier¿¿1004¿v84¿¿¿¿¿Identifier
636¿Literal¿string¿1004¿¿'undefined'¿¿{"start":{"line":22,"column":32},"end":{"line":22,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Literal
637¿IfStatement¿¿1004¿¿¿¿{"start":{"line":22,"column":2},"end":{"line":24,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿IfStatement
638¿Identifier¿¿1004¿v85¿¿¿¿¿Identifier
639¿VariableDeclarator¿¿1004¿v86¿¿¿{"start":{"line":23,"column":9},"end":{"line":23,"column":59},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿VariableDeclarator
640¿NewExpression¿¿1004¿¿¿¿{"start":{"line":23,"column":9},"end":{"line":23,"column":59},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿NewExpression
641¿Identifier¿¿1004¿TypeError¿¿¿{"start":{"line":23,"column":13},"end":{"line":23,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Identifier
642¿Literal¿string¿1004¿¿'directory is a required argument.'¿¿{"start":{"line":23,"column":23},"end":{"line":23,"column":58},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Literal
643¿ThrowStatement¿¿1004¿¿¿¿{"start":{"line":23,"column":3},"end":{"line":23,"column":60},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿ThrowStatement
644¿Identifier¿¿1004¿v86¿¿¿¿¿Identifier
645¿BlockStatement¿¿1004¿¿¿¿{"start":{"line":22,"column":45},"end":{"line":24,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿BlockStatement
646¿VariableDeclarator¿¿1004¿v87¿¿¿{"start":{"line":26,"column":13},"end":{"line":26,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿VariableDeclarator
647¿MemberExpression¿¿1004¿¿¿¿{"start":{"line":26,"column":13},"end":{"line":26,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿MemberExpression
648¿Identifier¿¿1004¿opts¿¿¿{"start":{"line":26,"column":13},"end":{"line":26,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Identifier
649¿Identifier¿¿1004¿appID¿¿¿{"start":{"line":26,"column":18},"end":{"line":26,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Identifier
650¿VariableDeclarator¿¿1004¿v88¿¿¿{"start":{"line":26,"column":6},"end":{"line":26,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿VariableDeclarator
651¿UnaryExpression¿typeof¿1004¿¿¿¿{"start":{"line":26,"column":6},"end":{"line":26,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿UnaryExpression
652¿Identifier¿¿1004¿v87¿¿¿¿¿Identifier
653¿VariableDeclarator¿¿1004¿v89¿¿¿{"start":{"line":26,"column":6},"end":{"line":26,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿VariableDeclarator
654¿BinaryExpression¿===¿1004¿¿¿¿{"start":{"line":26,"column":6},"end":{"line":26,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿BinaryExpression
655¿Identifier¿¿1004¿v88¿¿¿¿¿Identifier
656¿Literal¿string¿1004¿¿'undefined'¿¿{"start":{"line":26,"column":28},"end":{"line":26,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Literal
657¿IfStatement¿¿1004¿¿¿¿{"start":{"line":26,"column":2},"end":{"line":28,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿IfStatement
658¿Identifier¿¿1004¿v89¿¿¿¿¿Identifier
659¿VariableDeclarator¿¿1004¿v90¿¿¿{"start":{"line":27,"column":9},"end":{"line":27,"column":55},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿VariableDeclarator
660¿NewExpression¿¿1004¿¿¿¿{"start":{"line":27,"column":9},"end":{"line":27,"column":55},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿NewExpression
661¿Identifier¿¿1004¿TypeError¿¿¿{"start":{"line":27,"column":13},"end":{"line":27,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Identifier
662¿Literal¿string¿1004¿¿'appID is a required argument.'¿¿{"start":{"line":27,"column":23},"end":{"line":27,"column":54},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Literal
663¿ThrowStatement¿¿1004¿¿¿¿{"start":{"line":27,"column":3},"end":{"line":27,"column":56},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿ThrowStatement
664¿Identifier¿¿1004¿v90¿¿¿¿¿Identifier
665¿BlockStatement¿¿1004¿¿¿¿{"start":{"line":26,"column":41},"end":{"line":28,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿BlockStatement
666¿VariableDeclarator¿¿1004¿v91¿¿¿{"start":{"line":30,"column":6},"end":{"line":30,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿VariableDeclarator
667¿MemberExpression¿¿1004¿¿¿¿{"start":{"line":30,"column":6},"end":{"line":30,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿MemberExpression
668¿Identifier¿¿1004¿opts¿¿¿{"start":{"line":30,"column":6},"end":{"line":30,"column":10},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Identifier
669¿Identifier¿¿1004¿destination¿¿¿{"start":{"line":30,"column":11},"end":{"line":30,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Identifier
670¿VariableDeclarator¿¿1004¿v92¿¿¿{"start":{"line":30,"column":6},"end":{"line":30,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿VariableDeclarator
671¿CallExpression¿¿1004¿¿¿¿{"start":{"line":30,"column":6},"end":{"line":30,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿CallExpression
672¿MemberExpression¿¿1004¿¿¿¿{"start":{"line":30,"column":6},"end":{"line":30,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿MemberExpression
673¿Identifier¿¿1004¿v91¿¿¿¿¿Identifier
674¿Identifier¿¿1004¿toLowerCase¿¿¿{"start":{"line":30,"column":23},"end":{"line":30,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Identifier
675¿VariableDeclarator¿¿1004¿v93¿¿¿{"start":{"line":30,"column":6},"end":{"line":30,"column":49},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿VariableDeclarator
676¿BinaryExpression¿===¿1004¿¿¿¿{"start":{"line":30,"column":6},"end":{"line":30,"column":49},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿BinaryExpression
677¿Identifier¿¿1004¿v92¿¿¿¿¿Identifier
678¿Literal¿string¿1004¿¿'plugin'¿¿{"start":{"line":30,"column":41},"end":{"line":30,"column":49},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Literal
679¿VariableDeclarator¿¿1004¿v94¿¿¿{"start":{"line":30,"column":60},"end":{"line":30,"column":75},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿VariableDeclarator
680¿MemberExpression¿¿1004¿¿¿¿{"start":{"line":30,"column":60},"end":{"line":30,"column":75},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿MemberExpression
681¿Identifier¿¿1004¿opts¿¿¿{"start":{"line":30,"column":60},"end":{"line":30,"column":64},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Identifier
682¿Identifier¿¿1004¿pluginName¿¿¿{"start":{"line":30,"column":65},"end":{"line":30,"column":75},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Identifier
683¿VariableDeclarator¿¿1004¿v95¿¿¿{"start":{"line":30,"column":53},"end":{"line":30,"column":75},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿VariableDeclarator
684¿UnaryExpression¿typeof¿1004¿¿¿¿{"start":{"line":30,"column":53},"end":{"line":30,"column":75},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿UnaryExpression
685¿Identifier¿¿1004¿v94¿¿¿¿¿Identifier
686¿VariableDeclarator¿¿1004¿v96¿¿¿{"start":{"line":30,"column":53},"end":{"line":30,"column":91},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿VariableDeclarator
687¿BinaryExpression¿===¿1004¿¿¿¿{"start":{"line":30,"column":53},"end":{"line":30,"column":91},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿BinaryExpression
688¿Identifier¿¿1004¿v95¿¿¿¿¿Identifier
689¿Literal¿string¿1004¿¿'undefined'¿¿{"start":{"line":30,"column":80},"end":{"line":30,"column":91},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Literal
690¿VariableDeclarator¿¿1004¿v97¿¿¿{"start":{"line":30,"column":6},"end":{"line":30,"column":91},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿VariableDeclarator
691¿LogicalExpression¿&&¿1004¿¿¿¿{"start":{"line":30,"column":6},"end":{"line":30,"column":91},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿LogicalExpression
692¿Identifier¿¿1004¿v93¿¿¿¿¿Identifier
693¿Identifier¿¿1004¿v96¿¿¿¿¿Identifier
694¿IfStatement¿¿1004¿¿¿¿{"start":{"line":30,"column":2},"end":{"line":32,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿IfStatement
695¿Identifier¿¿1004¿v97¿¿¿¿¿Identifier
696¿VariableDeclarator¿¿1004¿v98¿¿¿{"start":{"line":31,"column":9},"end":{"line":31,"column":56},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿VariableDeclarator
697¿NewExpression¿¿1004¿¿¿¿{"start":{"line":31,"column":9},"end":{"line":31,"column":56},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿NewExpression
698¿Identifier¿¿1004¿Error¿¿¿{"start":{"line":31,"column":13},"end":{"line":31,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/apex-publish-static-files_2.0.0/src/index.js"}¿¿Identifier
