Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1014¿Program¿¿-1¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":166,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Program
1075¿Literal¿string¿1734¿¿'host'¿¿{"start":{"line":17,"column":10},"end":{"line":17,"column":16},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Literal
1076¿Identifier¿¿1734¿v89¿¿¿¿¿Identifier
1077¿ExpressionStatement¿¿1734¿¿¿¿{"start":{"line":17,"column":2},"end":{"line":17,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿ExpressionStatement
1078¿Identifier¿¿1734¿v90¿¿¿¿¿Identifier
1079¿VariableDeclarator¿¿1734¿v91¿¿¿{"start":{"line":18,"column":18},"end":{"line":18,"column":38},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿VariableDeclarator
1080¿MemberExpression¿¿1734¿¿¿¿{"start":{"line":18,"column":18},"end":{"line":18,"column":38},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿MemberExpression
1081¿Identifier¿¿1734¿controlEndpoint¿¿¿{"start":{"line":18,"column":18},"end":{"line":18,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Identifier
1082¿Identifier¿¿1734¿port¿¿¿{"start":{"line":18,"column":34},"end":{"line":18,"column":38},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Identifier
1083¿VariableDeclarator¿¿1734¿v92¿¿¿{"start":{"line":18,"column":2},"end":{"line":18,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿VariableDeclarator
1084¿CallExpression¿¿1734¿¿¿¿{"start":{"line":18,"column":2},"end":{"line":18,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿CallExpression
1085¿MemberExpression¿¿1734¿¿¿¿{"start":{"line":18,"column":2},"end":{"line":18,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿MemberExpression
1086¿Identifier¿¿1734¿app¿¿¿{"start":{"line":18,"column":2},"end":{"line":18,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Identifier
1087¿Identifier¿¿1734¿set¿¿¿{"start":{"line":18,"column":6},"end":{"line":18,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Identifier
1088¿Literal¿string¿1734¿¿'port'¿¿{"start":{"line":18,"column":10},"end":{"line":18,"column":16},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Literal
1089¿Identifier¿¿1734¿v91¿¿¿¿¿Identifier
1090¿ExpressionStatement¿¿1734¿¿¿¿{"start":{"line":18,"column":2},"end":{"line":18,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿ExpressionStatement
1091¿Identifier¿¿1734¿v92¿¿¿¿¿Identifier
1092¿VariableDeclarator¿¿1734¿v93¿¿¿{"start":{"line":21,"column":23},"end":{"line":21,"column":46},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿VariableDeclarator
1093¿MemberExpression¿¿1734¿¿¿¿{"start":{"line":21,"column":23},"end":{"line":21,"column":46},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿MemberExpression
1094¿Identifier¿¿1734¿listenEndpoint¿¿¿{"start":{"line":21,"column":23},"end":{"line":21,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Identifier
1095¿Identifier¿¿1734¿hostname¿¿¿{"start":{"line":21,"column":38},"end":{"line":21,"column":46},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Identifier
1096¿VariableDeclarator¿¿1734¿v94¿¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":47},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿VariableDeclarator
1097¿CallExpression¿¿1734¿¿¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":47},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿CallExpression
1098¿MemberExpression¿¿1734¿¿¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿MemberExpression
1099¿Identifier¿¿1734¿app¿¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Identifier
1100¿Identifier¿¿1734¿set¿¿¿{"start":{"line":21,"column":6},"end":{"line":21,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Identifier
1101¿Literal¿string¿1734¿¿'nginxHost'¿¿{"start":{"line":21,"column":10},"end":{"line":21,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Literal
1102¿Identifier¿¿1734¿v93¿¿¿¿¿Identifier
1103¿ExpressionStatement¿¿1734¿¿¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":48},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿ExpressionStatement
1104¿Identifier¿¿1734¿v94¿¿¿¿¿Identifier
1105¿VariableDeclarator¿¿1734¿v95¿¿¿{"start":{"line":22,"column":23},"end":{"line":22,"column":42},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿VariableDeclarator
1106¿MemberExpression¿¿1734¿¿¿¿{"start":{"line":22,"column":23},"end":{"line":22,"column":42},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿MemberExpression
1107¿Identifier¿¿1734¿listenEndpoint¿¿¿{"start":{"line":22,"column":23},"end":{"line":22,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Identifier
1108¿Identifier¿¿1734¿port¿¿¿{"start":{"line":22,"column":38},"end":{"line":22,"column":42},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Identifier
1109¿VariableDeclarator¿¿1734¿v96¿¿¿{"start":{"line":22,"column":2},"end":{"line":22,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿VariableDeclarator
1110¿CallExpression¿¿1734¿¿¿¿{"start":{"line":22,"column":2},"end":{"line":22,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿CallExpression
1111¿MemberExpression¿¿1734¿¿¿¿{"start":{"line":22,"column":2},"end":{"line":22,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿MemberExpression
1112¿Identifier¿¿1734¿app¿¿¿{"start":{"line":22,"column":2},"end":{"line":22,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Identifier
1113¿Identifier¿¿1734¿set¿¿¿{"start":{"line":22,"column":6},"end":{"line":22,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Identifier
1114¿Literal¿string¿1734¿¿'nginxPort'¿¿{"start":{"line":22,"column":10},"end":{"line":22,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Literal
1115¿Identifier¿¿1734¿v95¿¿¿¿¿Identifier
1116¿ExpressionStatement¿¿1734¿¿¿¿{"start":{"line":22,"column":2},"end":{"line":22,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿ExpressionStatement
1117¿Identifier¿¿1734¿v96¿¿¿¿¿Identifier
1118¿VariableDeclarator¿¿1734¿v97¿¿¿{"start":{"line":23,"column":2},"end":{"line":23,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿VariableDeclarator
1119¿CallExpression¿¿1734¿¿¿¿{"start":{"line":23,"column":2},"end":{"line":23,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿CallExpression
1120¿MemberExpression¿¿1734¿¿¿¿{"start":{"line":23,"column":2},"end":{"line":23,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿MemberExpression
1121¿Identifier¿¿1734¿app¿¿¿{"start":{"line":23,"column":2},"end":{"line":23,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Identifier
1122¿Identifier¿¿1734¿set¿¿¿{"start":{"line":23,"column":6},"end":{"line":23,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Identifier
1123¿Literal¿string¿1734¿¿'nginxRoot'¿¿{"start":{"line":23,"column":10},"end":{"line":23,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Literal
1124¿Identifier¿¿1734¿nginxRoot¿¿¿{"start":{"line":23,"column":23},"end":{"line":23,"column":32},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Identifier
1125¿ExpressionStatement¿¿1734¿¿¿¿{"start":{"line":23,"column":2},"end":{"line":23,"column":34},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿ExpressionStatement
1126¿Identifier¿¿1734¿v97¿¿¿¿¿Identifier
1127¿VariableDeclarator¿¿1734¿v98¿¿¿{"start":{"line":25,"column":2},"end":{"line":25,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿VariableDeclarator
1128¿CallExpression¿¿1734¿¿¿¿{"start":{"line":25,"column":2},"end":{"line":25,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿CallExpression
1129¿MemberExpression¿¿1734¿¿¿¿{"start":{"line":25,"column":2},"end":{"line":25,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿MemberExpression
1130¿Identifier¿¿1734¿app¿¿¿{"start":{"line":25,"column":2},"end":{"line":25,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Identifier
1131¿Identifier¿¿1734¿set¿¿¿{"start":{"line":25,"column":6},"end":{"line":25,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Identifier
1132¿Literal¿string¿1734¿¿'baseDir'¿¿{"start":{"line":25,"column":10},"end":{"line":25,"column":19},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Literal
1133¿Identifier¿¿1734¿baseDir¿¿¿{"start":{"line":25,"column":21},"end":{"line":25,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Identifier
1134¿ExpressionStatement¿¿1734¿¿¿¿{"start":{"line":25,"column":2},"end":{"line":25,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿ExpressionStatement
1135¿Identifier¿¿1734¿v98¿¿¿¿¿Identifier
1136¿VariableDeclarator¿¿1734¿_reloadNginx¿¿¿{"start":{"line":27,"column":2},"end":{"line":42,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿VariableDeclarator
1137¿FunctionExpression¿¿1734¿anon¿¿¿{"start":{"line":27,"column":2},"end":{"line":42,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿FunctionExpression
1138¿Identifier¿¿0¿next¿¿¿{"start":{"line":27,"column":24},"end":{"line":27,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿Identifier
1139¿VariableDeclarator¿¿1736¿v99¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿VariableDeclarator
1140¿CallExpression¿¿1736¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-4v9w-pvwr-38h3/src/server.js"}¿¿CallExpression
