Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
736¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":127,"column":4},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Program
763¿Literal¿number¿1325¿¿1¿¿{"start":{"line":7,"column":33},"end":{"line":7,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Literal
764¿VariableDeclarator¿¿1325¿v96¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿VariableDeclarator
765¿BinaryExpression¿===¿1325¿¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿BinaryExpression
766¿Identifier¿¿1325¿v94¿¿¿¿¿Identifier
767¿Identifier¿¿1325¿v95¿¿¿¿¿Identifier
768¿ReturnStatement¿¿1325¿¿¿¿¿¿ReturnStatement
769¿Identifier¿¿1325¿v96¿¿¿¿¿Identifier
770¿BlockStatement¿¿1325¿¿¿¿¿¿BlockStatement
771¿VariableDeclarator¿¿1321¿arrayMerge¿¿¿{"start":{"line":9,"column":6},"end":{"line":62,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿VariableDeclarator
772¿ArrowFunctionExpression¿¿1321¿¿¿¿{"start":{"line":9,"column":19},"end":{"line":62,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿ArrowFunctionExpression
773¿Identifier¿¿0¿original¿¿¿{"start":{"line":9,"column":20},"end":{"line":9,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Identifier
774¿Identifier¿¿0¿patch¿¿¿{"start":{"line":9,"column":30},"end":{"line":9,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Identifier
775¿Identifier¿¿0¿removeMode¿¿¿{"start":{"line":9,"column":37},"end":{"line":9,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Identifier
776¿VariableDeclarator¿¿1327¿orig_length¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿VariableDeclarator
777¿MemberExpression¿¿1327¿¿¿¿{"start":{"line":10,"column":20},"end":{"line":10,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿MemberExpression
778¿Identifier¿¿1327¿original¿¿¿{"start":{"line":10,"column":20},"end":{"line":10,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Identifier
779¿Identifier¿¿1327¿length¿¿¿{"start":{"line":10,"column":29},"end":{"line":10,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Identifier
780¿VariableDeclarator¿¿1327¿patch_length¿¿¿{"start":{"line":11,"column":8},"end":{"line":11,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿VariableDeclarator
781¿MemberExpression¿¿1327¿¿¿¿{"start":{"line":11,"column":23},"end":{"line":11,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿MemberExpression
782¿Identifier¿¿1327¿patch¿¿¿{"start":{"line":11,"column":23},"end":{"line":11,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Identifier
783¿Identifier¿¿1327¿length¿¿¿{"start":{"line":11,"column":29},"end":{"line":11,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Identifier
784¿VariableDeclarator¿¿1327¿i¿¿¿{"start":{"line":12,"column":6},"end":{"line":12,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿VariableDeclarator
785¿VariableDeclarator¿¿1327¿isArr¿¿¿{"start":{"line":12,"column":9},"end":{"line":12,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿VariableDeclarator
786¿VariableDeclarator¿¿1327¿v97¿¿¿{"start":{"line":14,"column":5},"end":{"line":14,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿VariableDeclarator
787¿BinaryExpression¿<¿1327¿¿¿¿{"start":{"line":14,"column":5},"end":{"line":14,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿BinaryExpression
788¿Identifier¿¿1327¿patch_length¿¿¿{"start":{"line":14,"column":5},"end":{"line":14,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Identifier
789¿Identifier¿¿1327¿orig_length¿¿¿{"start":{"line":14,"column":20},"end":{"line":14,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Identifier
790¿IfStatement¿¿1327¿¿¿¿{"start":{"line":14,"column":2},"end":{"line":16,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿IfStatement
791¿Identifier¿¿1327¿v97¿¿¿¿¿Identifier
792¿VariableDeclarator¿¿1327¿v98¿¿¿{"start":{"line":15,"column":10},"end":{"line":15,"column":79},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿VariableDeclarator
793¿NewExpression¿¿1327¿¿¿¿{"start":{"line":15,"column":10},"end":{"line":15,"column":79},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿NewExpression
794¿Identifier¿¿1327¿Error¿¿¿{"start":{"line":15,"column":14},"end":{"line":15,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Identifier
795¿Literal¿string¿1327¿¿'Cannot remove object array elements, only make them null'¿¿{"start":{"line":15,"column":20},"end":{"line":15,"column":78},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Literal
796¿ThrowStatement¿¿1327¿¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":80},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿ThrowStatement
797¿Identifier¿¿1327¿v98¿¿¿¿¿Identifier
798¿BlockStatement¿¿1327¿¿¿¿{"start":{"line":14,"column":33},"end":{"line":16,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿BlockStatement
799¿AssignmentExpression¿=¿1327¿¿¿¿{"start":{"line":19,"column":6},"end":{"line":19,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿AssignmentExpression
800¿Identifier¿¿1327¿i¿¿¿{"start":{"line":19,"column":6},"end":{"line":19,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Identifier
801¿Literal¿number¿1327¿¿0¿¿{"start":{"line":19,"column":10},"end":{"line":19,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Literal
802¿VariableDeclarator¿¿1327¿v99¿¿¿{"start":{"line":19,"column":13},"end":{"line":19,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿VariableDeclarator
803¿BinaryExpression¿<¿1327¿¿¿¿{"start":{"line":19,"column":13},"end":{"line":19,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿BinaryExpression
804¿Identifier¿¿1327¿i¿¿¿{"start":{"line":19,"column":13},"end":{"line":19,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Identifier
805¿Identifier¿¿1327¿orig_length¿¿¿{"start":{"line":19,"column":17},"end":{"line":19,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Identifier
806¿WhileStatement¿¿1327¿¿¿¿{"start":{"line":19,"column":2},"end":{"line":54,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿WhileStatement
807¿Identifier¿¿1327¿v99¿¿¿¿¿Identifier
808¿VariableDeclarator¿¿1327¿v101¿¿¿{"start":{"line":22,"column":18},"end":{"line":22,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿VariableDeclarator
809¿MemberExpression¿computed¿1327¿¿¿¿{"start":{"line":22,"column":18},"end":{"line":22,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿MemberExpression
810¿Identifier¿¿1327¿patch¿¿¿{"start":{"line":22,"column":18},"end":{"line":22,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Identifier
811¿Identifier¿¿1327¿i¿¿¿{"start":{"line":22,"column":24},"end":{"line":22,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Identifier
812¿VariableDeclarator¿¿1327¿v102¿¿¿{"start":{"line":22,"column":9},"end":{"line":22,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿VariableDeclarator
813¿CallExpression¿¿1327¿¿¿¿{"start":{"line":22,"column":9},"end":{"line":22,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿CallExpression
814¿Identifier¿¿1327¿isObject¿¿¿{"start":{"line":22,"column":9},"end":{"line":22,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Identifier
815¿Identifier¿¿1327¿v101¿¿¿¿¿Identifier
816¿VariableDeclarator¿¿1327¿v103¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿VariableDeclarator
817¿UnaryExpression¿!¿1327¿¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿UnaryExpression
818¿Identifier¿¿1327¿v102¿¿¿¿¿Identifier
819¿VariableDeclarator¿¿1327¿v104¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿VariableDeclarator
820¿MemberExpression¿computed¿1327¿¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿MemberExpression
821¿Identifier¿¿1327¿patch¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Identifier
822¿Identifier¿¿1327¿i¿¿¿{"start":{"line":25,"column":14},"end":{"line":25,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Identifier
823¿VariableDeclarator¿¿1327¿v105¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿VariableDeclarator
824¿BinaryExpression¿===¿1327¿¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿BinaryExpression
825¿Identifier¿¿1327¿v104¿¿¿¿¿Identifier
826¿Literal¿object¿1327¿¿null¿¿{"start":{"line":25,"column":21},"end":{"line":25,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Literal
827¿VariableDeclarator¿¿1327¿v106¿¿¿{"start":{"line":22,"column":8},"end":{"line":25,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿VariableDeclarator
828¿LogicalExpression¿||¿1327¿¿¿¿{"start":{"line":22,"column":8},"end":{"line":25,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿LogicalExpression
829¿Identifier¿¿1327¿v103¿¿¿¿¿Identifier
830¿Identifier¿¿1327¿v105¿¿¿¿¿Identifier
831¿VariableDeclarator¿¿1327¿v107¿¿¿{"start":{"line":28,"column":21},"end":{"line":28,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿VariableDeclarator
832¿MemberExpression¿computed¿1327¿¿¿¿{"start":{"line":28,"column":21},"end":{"line":28,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿MemberExpression
833¿Identifier¿¿1327¿original¿¿¿{"start":{"line":28,"column":21},"end":{"line":28,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Identifier
834¿Identifier¿¿1327¿i¿¿¿{"start":{"line":28,"column":30},"end":{"line":28,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Identifier
835¿VariableDeclarator¿¿1327¿v108¿¿¿{"start":{"line":28,"column":12},"end":{"line":28,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿VariableDeclarator
836¿CallExpression¿¿1327¿¿¿¿{"start":{"line":28,"column":12},"end":{"line":28,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿CallExpression
837¿Identifier¿¿1327¿isObject¿¿¿{"start":{"line":28,"column":12},"end":{"line":28,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Identifier
838¿Identifier¿¿1327¿v107¿¿¿¿¿Identifier
839¿VariableDeclarator¿¿1327¿v109¿¿¿{"start":{"line":28,"column":11},"end":{"line":28,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿VariableDeclarator
840¿UnaryExpression¿!¿1327¿¿¿¿{"start":{"line":28,"column":11},"end":{"line":28,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿UnaryExpression
841¿Identifier¿¿1327¿v108¿¿¿¿¿Identifier
842¿VariableDeclarator¿¿1327¿v110¿¿¿{"start":{"line":28,"column":37},"end":{"line":28,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿VariableDeclarator
843¿MemberExpression¿computed¿1327¿¿¿¿{"start":{"line":28,"column":37},"end":{"line":28,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿MemberExpression
844¿Identifier¿¿1327¿original¿¿¿{"start":{"line":28,"column":37},"end":{"line":28,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Identifier
845¿Identifier¿¿1327¿i¿¿¿{"start":{"line":28,"column":46},"end":{"line":28,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Identifier
846¿VariableDeclarator¿¿1327¿v111¿¿¿{"start":{"line":28,"column":37},"end":{"line":28,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿VariableDeclarator
847¿BinaryExpression¿===¿1327¿¿¿¿{"start":{"line":28,"column":37},"end":{"line":28,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿BinaryExpression
848¿Identifier¿¿1327¿v110¿¿¿¿¿Identifier
849¿Literal¿object¿1327¿¿null¿¿{"start":{"line":28,"column":53},"end":{"line":28,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Literal
850¿VariableDeclarator¿¿1327¿v112¿¿¿{"start":{"line":28,"column":11},"end":{"line":28,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿VariableDeclarator
851¿LogicalExpression¿||¿1327¿¿¿¿{"start":{"line":28,"column":11},"end":{"line":28,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿LogicalExpression
852¿Identifier¿¿1327¿v109¿¿¿¿¿Identifier
853¿Identifier¿¿1327¿v111¿¿¿¿¿Identifier
854¿VariableDeclarator¿¿1327¿v113¿¿¿{"start":{"line":30,"column":37},"end":{"line":30,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿VariableDeclarator
855¿MemberExpression¿computed¿1327¿¿¿¿{"start":{"line":30,"column":37},"end":{"line":30,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿MemberExpression
856¿Identifier¿¿1327¿patch¿¿¿{"start":{"line":30,"column":37},"end":{"line":30,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Identifier
857¿Identifier¿¿1327¿i¿¿¿{"start":{"line":30,"column":43},"end":{"line":30,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Identifier
858¿VariableDeclarator¿¿1327¿v114¿¿¿{"start":{"line":30,"column":10},"end":{"line":30,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿VariableDeclarator
859¿CallExpression¿¿1327¿¿¿¿{"start":{"line":30,"column":10},"end":{"line":30,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿CallExpression
860¿MemberExpression¿¿1327¿¿¿¿{"start":{"line":30,"column":10},"end":{"line":30,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿MemberExpression
861¿Identifier¿¿1327¿Object¿¿¿{"start":{"line":30,"column":10},"end":{"line":30,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Identifier
862¿Identifier¿¿1327¿getOwnPropertyNames¿¿¿{"start":{"line":30,"column":17},"end":{"line":30,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Identifier
863¿Identifier¿¿1327¿v113¿¿¿¿¿Identifier
864¿VariableDeclarator¿¿1327¿v115¿¿¿{"start":{"line":30,"column":10},"end":{"line":30,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿VariableDeclarator
865¿MemberExpression¿¿1327¿¿¿¿{"start":{"line":30,"column":10},"end":{"line":30,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿MemberExpression
866¿Identifier¿¿1327¿v114¿¿¿¿¿Identifier
867¿Identifier¿¿1327¿length¿¿¿{"start":{"line":30,"column":47},"end":{"line":30,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Identifier
868¿VariableDeclarator¿¿1327¿v116¿¿¿{"start":{"line":28,"column":10},"end":{"line":30,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿VariableDeclarator
869¿LogicalExpression¿&&¿1327¿¿¿¿{"start":{"line":28,"column":10},"end":{"line":30,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿LogicalExpression
870¿Identifier¿¿1327¿v112¿¿¿¿¿Identifier
871¿Identifier¿¿1327¿v115¿¿¿¿¿Identifier
872¿VariableDeclarator¿¿1327¿v117¿¿¿{"start":{"line":22,"column":8},"end":{"line":31,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿VariableDeclarator
873¿LogicalExpression¿||¿1327¿¿¿¿{"start":{"line":22,"column":8},"end":{"line":31,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿LogicalExpression
874¿Identifier¿¿1327¿v106¿¿¿¿¿Identifier
875¿Identifier¿¿1327¿v116¿¿¿¿¿Identifier
876¿VariableDeclarator¿¿1327¿v118¿¿¿{"start":{"line":35,"column":33},"end":{"line":35,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿VariableDeclarator
877¿MemberExpression¿computed¿1327¿¿¿¿{"start":{"line":35,"column":33},"end":{"line":35,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿MemberExpression
878¿Identifier¿¿1327¿patch¿¿¿{"start":{"line":35,"column":33},"end":{"line":35,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Identifier
879¿Identifier¿¿1327¿i¿¿¿{"start":{"line":35,"column":39},"end":{"line":35,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Identifier
880¿VariableDeclarator¿¿1327¿v119¿¿¿{"start":{"line":36,"column":24},"end":{"line":36,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿VariableDeclarator
881¿MemberExpression¿computed¿1327¿¿¿¿{"start":{"line":36,"column":24},"end":{"line":36,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿MemberExpression
882¿Identifier¿¿1327¿original¿¿¿{"start":{"line":36,"column":24},"end":{"line":36,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Identifier
