Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1085¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":170,"column":2},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Program
1098¿Identifier¿¿1859¿v112¿¿¿¿¿Identifier
1099¿Identifier¿¿1859¿promisify¿¿¿{"start":{"line":4,"column":7},"end":{"line":4,"column":16},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Identifier
1100¿VariableDeclarator¿¿1859¿graphviz¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":36},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿VariableDeclarator
1101¿CallExpression¿¿1859¿¿¿¿{"start":{"line":5,"column":17},"end":{"line":5,"column":36},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿CallExpression
1102¿Identifier¿¿1859¿require¿¿¿{"start":{"line":5,"column":17},"end":{"line":5,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Identifier
1103¿Literal¿string¿1859¿¿'graphviz'¿¿{"start":{"line":5,"column":25},"end":{"line":5,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Literal
1104¿VariableDeclarator¿¿1859¿v113¿¿¿{"start":{"line":7,"column":23},"end":{"line":7,"column":47},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿VariableDeclarator
1105¿CallExpression¿¿1859¿¿¿¿{"start":{"line":7,"column":23},"end":{"line":7,"column":47},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿CallExpression
1106¿Identifier¿¿1859¿require¿¿¿{"start":{"line":7,"column":23},"end":{"line":7,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Identifier
1107¿Literal¿string¿1859¿¿'child_process'¿¿{"start":{"line":7,"column":31},"end":{"line":7,"column":46},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Literal
1108¿VariableDeclarator¿¿1859¿v114¿¿¿{"start":{"line":7,"column":23},"end":{"line":7,"column":52},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿VariableDeclarator
1109¿MemberExpression¿¿1859¿¿¿¿{"start":{"line":7,"column":23},"end":{"line":7,"column":52},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿MemberExpression
1110¿Identifier¿¿1859¿v113¿¿¿¿¿Identifier
1111¿Identifier¿¿1859¿exec¿¿¿{"start":{"line":7,"column":48},"end":{"line":7,"column":52},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Identifier
1112¿VariableDeclarator¿¿1859¿exec¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":53},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿VariableDeclarator
1113¿CallExpression¿¿1859¿¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":53},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿CallExpression
1114¿Identifier¿¿1859¿promisify¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Identifier
1115¿Identifier¿¿1859¿v114¿¿¿¿¿Identifier
1116¿VariableDeclarator¿¿1859¿v115¿¿¿{"start":{"line":8,"column":28},"end":{"line":8,"column":41},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿VariableDeclarator
1117¿CallExpression¿¿1859¿¿¿¿{"start":{"line":8,"column":28},"end":{"line":8,"column":41},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿CallExpression
1118¿Identifier¿¿1859¿require¿¿¿{"start":{"line":8,"column":28},"end":{"line":8,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Identifier
1119¿Literal¿string¿1859¿¿'fs'¿¿{"start":{"line":8,"column":36},"end":{"line":8,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Literal
1120¿VariableDeclarator¿¿1859¿v116¿¿¿{"start":{"line":8,"column":28},"end":{"line":8,"column":51},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿VariableDeclarator
1121¿MemberExpression¿¿1859¿¿¿¿{"start":{"line":8,"column":28},"end":{"line":8,"column":51},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿MemberExpression
1122¿Identifier¿¿1859¿v115¿¿¿¿¿Identifier
1123¿Identifier¿¿1859¿writeFile¿¿¿{"start":{"line":8,"column":42},"end":{"line":8,"column":51},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Identifier
1124¿VariableDeclarator¿¿1859¿writeFile¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":52},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿VariableDeclarator
1125¿CallExpression¿¿1859¿¿¿¿{"start":{"line":8,"column":18},"end":{"line":8,"column":52},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿CallExpression
1126¿Identifier¿¿1859¿promisify¿¿¿{"start":{"line":8,"column":18},"end":{"line":8,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Identifier
1127¿Identifier¿¿1859¿v116¿¿¿¿¿Identifier
1128¿VariableDeclarator¿¿1859¿setNodeColor¿¿¿{"start":{"line":15,"column":0},"end":{"line":18,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿VariableDeclarator
1129¿FunctionExpression¿¿1859¿anon¿¿¿{"start":{"line":15,"column":0},"end":{"line":18,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿FunctionExpression
1130¿Identifier¿¿0¿node¿¿¿{"start":{"line":15,"column":22},"end":{"line":15,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Identifier
1131¿Identifier¿¿0¿color¿¿¿{"start":{"line":15,"column":28},"end":{"line":15,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Identifier
1132¿VariableDeclarator¿¿1861¿v117¿¿¿{"start":{"line":16,"column":1},"end":{"line":16,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿VariableDeclarator
1133¿CallExpression¿¿1861¿¿¿¿{"start":{"line":16,"column":1},"end":{"line":16,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿CallExpression
1134¿MemberExpression¿¿1861¿¿¿¿{"start":{"line":16,"column":1},"end":{"line":16,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿MemberExpression
1135¿Identifier¿¿1861¿node¿¿¿{"start":{"line":16,"column":1},"end":{"line":16,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Identifier
1136¿Identifier¿¿1861¿set¿¿¿{"start":{"line":16,"column":6},"end":{"line":16,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Identifier
1137¿Literal¿string¿1861¿¿'color'¿¿{"start":{"line":16,"column":10},"end":{"line":16,"column":17},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Literal
1138¿Identifier¿¿1861¿color¿¿¿{"start":{"line":16,"column":19},"end":{"line":16,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Identifier
1139¿ExpressionStatement¿¿1861¿¿¿¿{"start":{"line":16,"column":1},"end":{"line":16,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿ExpressionStatement
1140¿Identifier¿¿1861¿v117¿¿¿¿¿Identifier
1141¿VariableDeclarator¿¿1861¿v118¿¿¿{"start":{"line":17,"column":1},"end":{"line":17,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿VariableDeclarator
1142¿CallExpression¿¿1861¿¿¿¿{"start":{"line":17,"column":1},"end":{"line":17,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿CallExpression
1143¿MemberExpression¿¿1861¿¿¿¿{"start":{"line":17,"column":1},"end":{"line":17,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿MemberExpression
1144¿Identifier¿¿1861¿node¿¿¿{"start":{"line":17,"column":1},"end":{"line":17,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Identifier
1145¿Identifier¿¿1861¿set¿¿¿{"start":{"line":17,"column":6},"end":{"line":17,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Identifier
1146¿Literal¿string¿1861¿¿'fontcolor'¿¿{"start":{"line":17,"column":10},"end":{"line":17,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Literal
1147¿Identifier¿¿1861¿color¿¿¿{"start":{"line":17,"column":23},"end":{"line":17,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Identifier
1148¿ExpressionStatement¿¿1861¿¿¿¿{"start":{"line":17,"column":1},"end":{"line":17,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿ExpressionStatement
1149¿Identifier¿¿1861¿v118¿¿¿¿¿Identifier
1150¿BlockStatement¿¿1861¿¿¿¿{"start":{"line":15,"column":35},"end":{"line":18,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿BlockStatement
1151¿VariableDeclarator¿¿1859¿checkGraphvizInstalled¿¿¿{"start":{"line":25,"column":0},"end":{"line":38,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿VariableDeclarator
1152¿FunctionExpression¿¿1859¿anon¿¿¿{"start":{"line":25,"column":0},"end":{"line":38,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿FunctionExpression
1153¿Identifier¿¿0¿config¿¿¿{"start":{"line":25,"column":32},"end":{"line":25,"column":38},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Identifier
1154¿VariableDeclarator¿¿1863¿v119¿¿¿{"start":{"line":26,"column":5},"end":{"line":26,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿VariableDeclarator
1155¿MemberExpression¿¿1863¿¿¿¿{"start":{"line":26,"column":5},"end":{"line":26,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿MemberExpression
1156¿Identifier¿¿1863¿config¿¿¿{"start":{"line":26,"column":5},"end":{"line":26,"column":11},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Identifier
1157¿Identifier¿¿1863¿graphVizPath¿¿¿{"start":{"line":26,"column":12},"end":{"line":26,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Identifier
1158¿IfStatement¿¿1863¿¿¿¿{"start":{"line":26,"column":1},"end":{"line":32,"column":2},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿IfStatement
1159¿Identifier¿¿1863¿v119¿¿¿¿¿Identifier
1160¿VariableDeclarator¿¿1863¿v120¿¿¿{"start":{"line":27,"column":24},"end":{"line":27,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿VariableDeclarator
1161¿MemberExpression¿¿1863¿¿¿¿{"start":{"line":27,"column":24},"end":{"line":27,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿MemberExpression
1162¿Identifier¿¿1863¿config¿¿¿{"start":{"line":27,"column":24},"end":{"line":27,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Identifier
1163¿Identifier¿¿1863¿graphVizPath¿¿¿{"start":{"line":27,"column":31},"end":{"line":27,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Identifier
1164¿VariableDeclarator¿¿1863¿cmd¿¿¿{"start":{"line":27,"column":8},"end":{"line":27,"column":55},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿VariableDeclarator
1165¿CallExpression¿¿1863¿¿¿¿{"start":{"line":27,"column":14},"end":{"line":27,"column":55},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿CallExpression
1166¿MemberExpression¿¿1863¿¿¿¿{"start":{"line":27,"column":14},"end":{"line":27,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿MemberExpression
1167¿Identifier¿¿1863¿path¿¿¿{"start":{"line":27,"column":14},"end":{"line":27,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Identifier
1168¿Identifier¿¿1863¿join¿¿¿{"start":{"line":27,"column":19},"end":{"line":27,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Identifier
1169¿Identifier¿¿1863¿v120¿¿¿¿¿Identifier
1170¿Literal¿string¿1863¿¿'gvpr -V'¿¿{"start":{"line":27,"column":45},"end":{"line":27,"column":54},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Literal
1171¿VariableDeclarator¿¿1863¿v121¿¿¿{"start":{"line":28,"column":9},"end":{"line":28,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿VariableDeclarator
1172¿CallExpression¿¿1863¿¿¿¿{"start":{"line":28,"column":9},"end":{"line":28,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿CallExpression
1173¿Identifier¿¿1863¿exec¿¿¿{"start":{"line":28,"column":9},"end":{"line":28,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Identifier
1174¿Identifier¿¿1863¿cmd¿¿¿{"start":{"line":28,"column":14},"end":{"line":28,"column":17},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Identifier
1175¿VariableDeclarator¿¿1863¿v124¿¿¿{"start":{"line":29,"column":10},"end":{"line":31,"column":4},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿VariableDeclarator
1176¿ArrowFunctionExpression¿¿1863¿¿¿¿{"start":{"line":29,"column":10},"end":{"line":31,"column":4},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿ArrowFunctionExpression
1177¿VariableDeclarator¿¿1865¿v122¿¿¿{"start":{"line":30,"column":20},"end":{"line":30,"column":46},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿VariableDeclarator
1178¿BinaryExpression¿+¿1865¿¿¿¿{"start":{"line":30,"column":20},"end":{"line":30,"column":46},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿BinaryExpression
1179¿Literal¿string¿1865¿¿'Could not execute '¿¿{"start":{"line":30,"column":20},"end":{"line":30,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Literal
1180¿Identifier¿¿1865¿cmd¿¿¿{"start":{"line":30,"column":43},"end":{"line":30,"column":46},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Identifier
1181¿VariableDeclarator¿¿1865¿v123¿¿¿{"start":{"line":30,"column":10},"end":{"line":30,"column":47},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿VariableDeclarator
1182¿NewExpression¿¿1865¿¿¿¿{"start":{"line":30,"column":10},"end":{"line":30,"column":47},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿NewExpression
1183¿Identifier¿¿1865¿Error¿¿¿{"start":{"line":30,"column":14},"end":{"line":30,"column":19},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Identifier
1184¿Identifier¿¿1865¿v122¿¿¿¿¿Identifier
1185¿ThrowStatement¿¿1865¿¿¿¿{"start":{"line":30,"column":4},"end":{"line":30,"column":48},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿ThrowStatement
1186¿Identifier¿¿1865¿v123¿¿¿¿¿Identifier
1187¿BlockStatement¿¿1865¿¿¿¿{"start":{"line":29,"column":16},"end":{"line":31,"column":4},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿BlockStatement
1188¿VariableDeclarator¿¿1863¿v125¿¿¿{"start":{"line":28,"column":9},"end":{"line":31,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿VariableDeclarator
1189¿CallExpression¿¿1863¿¿¿¿{"start":{"line":28,"column":9},"end":{"line":31,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿CallExpression
1190¿MemberExpression¿¿1863¿¿¿¿{"start":{"line":28,"column":9},"end":{"line":29,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿MemberExpression
1191¿Identifier¿¿1863¿v121¿¿¿¿¿Identifier
1192¿Identifier¿¿1863¿catch¿¿¿{"start":{"line":29,"column":4},"end":{"line":29,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Identifier
1193¿Identifier¿¿1863¿v124¿¿¿¿¿Identifier
1194¿ReturnStatement¿¿1863¿¿¿¿{"start":{"line":28,"column":2},"end":{"line":31,"column":6},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿ReturnStatement
1195¿Identifier¿¿1863¿v125¿¿¿¿¿Identifier
1196¿BlockStatement¿¿1863¿¿¿¿{"start":{"line":26,"column":26},"end":{"line":32,"column":2},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿BlockStatement
1197¿VariableDeclarator¿¿1863¿v126¿¿¿{"start":{"line":34,"column":8},"end":{"line":34,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿VariableDeclarator
1198¿CallExpression¿¿1863¿¿¿¿{"start":{"line":34,"column":8},"end":{"line":34,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿CallExpression
1199¿Identifier¿¿1863¿exec¿¿¿{"start":{"line":34,"column":8},"end":{"line":34,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Identifier
1200¿Literal¿string¿1863¿¿'gvpr -V'¿¿{"start":{"line":34,"column":13},"end":{"line":34,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Literal
1201¿VariableDeclarator¿¿1863¿v129¿¿¿{"start":{"line":35,"column":9},"end":{"line":37,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿VariableDeclarator
1202¿ArrowFunctionExpression¿¿1863¿¿¿¿{"start":{"line":35,"column":9},"end":{"line":37,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿ArrowFunctionExpression
1203¿Identifier¿¿0¿error¿¿¿{"start":{"line":35,"column":10},"end":{"line":35,"column":15},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Identifier
1204¿VariableDeclarator¿¿1868¿v127¿¿¿{"start":{"line":36,"column":19},"end":{"line":36,"column":96},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿VariableDeclarator
1205¿BinaryExpression¿+¿1868¿¿¿¿{"start":{"line":36,"column":19},"end":{"line":36,"column":96},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿BinaryExpression
1206¿Literal¿string¿1868¿¿'Graphviz could not be found. Ensure that 'gvpr' is in your $PATH.\n'¿¿{"start":{"line":36,"column":19},"end":{"line":36,"column":88},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Literal
1207¿Identifier¿¿1868¿error¿¿¿{"start":{"line":36,"column":91},"end":{"line":36,"column":96},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Identifier
1208¿VariableDeclarator¿¿1868¿v128¿¿¿{"start":{"line":36,"column":9},"end":{"line":36,"column":97},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿VariableDeclarator
1209¿NewExpression¿¿1868¿¿¿¿{"start":{"line":36,"column":9},"end":{"line":36,"column":97},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿NewExpression
1210¿Identifier¿¿1868¿Error¿¿¿{"start":{"line":36,"column":13},"end":{"line":36,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿Identifier
1211¿Identifier¿¿1868¿v127¿¿¿¿¿Identifier
1212¿ThrowStatement¿¿1868¿¿¿¿{"start":{"line":36,"column":3},"end":{"line":36,"column":98},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿ThrowStatement
1213¿Identifier¿¿1868¿v128¿¿¿¿¿Identifier
1214¿BlockStatement¿¿1868¿¿¿¿{"start":{"line":35,"column":20},"end":{"line":37,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿BlockStatement
1215¿VariableDeclarator¿¿1863¿v130¿¿¿{"start":{"line":34,"column":8},"end":{"line":37,"column":4},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-753c-phhg-cj29/src/graph.js"}¿¿VariableDeclarator
