Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
4210¿Program¿¿-1¿¿¿¿{"start":{"line":17,"column":0},"end":{"line":489,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Program
4228¿VariableDeclarator¿¿7324¿path¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿VariableDeclarator
4229¿CallExpression¿¿7324¿¿¿¿{"start":{"line":22,"column":15},"end":{"line":22,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿CallExpression
4230¿Identifier¿¿7324¿require¿¿¿{"start":{"line":22,"column":15},"end":{"line":22,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Identifier
4231¿Literal¿string¿7324¿¿'path'¿¿{"start":{"line":22,"column":23},"end":{"line":22,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Literal
4232¿VariableDeclarator¿¿7324¿v474¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿VariableDeclarator
4233¿CallExpression¿¿7324¿¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿CallExpression
4234¿Identifier¿¿7324¿require¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":11},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Identifier
4235¿Literal¿string¿7324¿¿'./tools.js'¿¿{"start":{"line":24,"column":12},"end":{"line":24,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Literal
4236¿VariableDeclarator¿¿7324¿v475¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿VariableDeclarator
4237¿CallExpression¿¿7324¿¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿CallExpression
4238¿Identifier¿¿7324¿v474¿¿¿¿¿Identifier
4239¿ExpressionStatement¿¿7324¿¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿ExpressionStatement
4240¿Identifier¿¿7324¿v475¿¿¿¿¿Identifier
4241¿VariableDeclarator¿¿7324¿v476¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿VariableDeclarator
4242¿CallExpression¿¿7324¿¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿CallExpression
4243¿Identifier¿¿7324¿require¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":11},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Identifier
4244¿Literal¿string¿7324¿¿'./configuration.js'¿¿{"start":{"line":25,"column":12},"end":{"line":25,"column":32},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Literal
4245¿VariableDeclarator¿¿7324¿v477¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿VariableDeclarator
4246¿CallExpression¿¿7324¿¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿CallExpression
4247¿Identifier¿¿7324¿v476¿¿¿¿¿Identifier
4248¿ExpressionStatement¿¿7324¿¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":36},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿ExpressionStatement
4249¿Identifier¿¿7324¿v477¿¿¿¿¿Identifier
4250¿VariableDeclarator¿¿7324¿jConf¿¿¿{"start":{"line":27,"column":8},"end":{"line":27,"column":38},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿VariableDeclarator
4251¿CallExpression¿¿7324¿¿¿¿{"start":{"line":27,"column":16},"end":{"line":27,"column":38},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿CallExpression
4252¿Identifier¿¿7324¿getConfigurationJson¿¿¿{"start":{"line":27,"column":16},"end":{"line":27,"column":36},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Identifier
4253¿VariableDeclarator¿¿7324¿runningFBPName¿¿¿{"start":{"line":28,"column":8},"end":{"line":28,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿VariableDeclarator
4254¿VariableDeclarator¿¿7324¿v487¿¿¿{"start":{"line":31,"column":20},"end":{"line":36,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿VariableDeclarator
4255¿FunctionExpression¿¿7324¿anon¿¿¿{"start":{"line":31,"column":20},"end":{"line":36,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿FunctionExpression
4256¿Identifier¿¿0¿req¿¿¿{"start":{"line":31,"column":29},"end":{"line":31,"column":32},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Identifier
4257¿Identifier¿¿0¿res¿¿¿{"start":{"line":31,"column":34},"end":{"line":31,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Identifier
4258¿VariableDeclarator¿¿7326¿v478¿¿¿{"start":{"line":32,"column":25},"end":{"line":32,"column":42},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿VariableDeclarator
4259¿CallExpression¿¿7326¿¿¿¿{"start":{"line":32,"column":25},"end":{"line":32,"column":42},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿CallExpression
4260¿Identifier¿¿7326¿current_user¿¿¿{"start":{"line":32,"column":25},"end":{"line":32,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Identifier
4261¿Identifier¿¿7326¿req¿¿¿{"start":{"line":32,"column":38},"end":{"line":32,"column":41},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Identifier
4262¿VariableDeclarator¿¿7326¿v479¿¿¿{"start":{"line":32,"column":17},"end":{"line":32,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿VariableDeclarator
4263¿CallExpression¿¿7326¿¿¿¿{"start":{"line":32,"column":17},"end":{"line":32,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿CallExpression
4264¿Identifier¿¿7326¿tmp_dir¿¿¿{"start":{"line":32,"column":17},"end":{"line":32,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Identifier
4265¿Identifier¿¿7326¿v478¿¿¿¿¿Identifier
4266¿VariableDeclarator¿¿7326¿v485¿¿¿{"start":{"line":32,"column":45},"end":{"line":35,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿VariableDeclarator
4267¿FunctionExpression¿¿7326¿anon¿¿¿{"start":{"line":32,"column":45},"end":{"line":35,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿FunctionExpression
4268¿VariableDeclarator¿¿7328¿v480¿¿¿{"start":{"line":33,"column":57},"end":{"line":33,"column":74},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿VariableDeclarator
4269¿CallExpression¿¿7328¿¿¿¿{"start":{"line":33,"column":57},"end":{"line":33,"column":74},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿CallExpression
4270¿Identifier¿¿7328¿current_user¿¿¿{"start":{"line":33,"column":57},"end":{"line":33,"column":69},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Identifier
4271¿Identifier¿¿7328¿req¿¿¿{"start":{"line":33,"column":70},"end":{"line":33,"column":73},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Identifier
4272¿VariableDeclarator¿¿7328¿v481¿¿¿{"start":{"line":33,"column":49},"end":{"line":33,"column":75},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿VariableDeclarator
4273¿CallExpression¿¿7328¿¿¿¿{"start":{"line":33,"column":49},"end":{"line":33,"column":75},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿CallExpression
4274¿Identifier¿¿7328¿tmp_dir¿¿¿{"start":{"line":33,"column":49},"end":{"line":33,"column":56},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Identifier
4275¿Identifier¿¿7328¿v480¿¿¿¿¿Identifier
4276¿VariableDeclarator¿¿7328¿v482¿¿¿{"start":{"line":33,"column":24},"end":{"line":33,"column":75},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿VariableDeclarator
4277¿BinaryExpression¿+¿7328¿¿¿¿{"start":{"line":33,"column":24},"end":{"line":33,"column":75},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿BinaryExpression
4278¿Literal¿string¿7328¿¿'Accessed tmp dir -> '¿¿{"start":{"line":33,"column":24},"end":{"line":33,"column":46},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Literal
4279¿Identifier¿¿7328¿v481¿¿¿¿¿Identifier
4280¿VariableDeclarator¿¿7328¿v483¿¿¿{"start":{"line":33,"column":12},"end":{"line":33,"column":76},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿VariableDeclarator
4281¿CallExpression¿¿7328¿¿¿¿{"start":{"line":33,"column":12},"end":{"line":33,"column":76},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿CallExpression
4282¿MemberExpression¿¿7328¿¿¿¿{"start":{"line":33,"column":12},"end":{"line":33,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿MemberExpression
4283¿Identifier¿¿7328¿console¿¿¿{"start":{"line":33,"column":12},"end":{"line":33,"column":19},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Identifier
4284¿Identifier¿¿7328¿log¿¿¿{"start":{"line":33,"column":20},"end":{"line":33,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Identifier
4285¿Identifier¿¿7328¿v482¿¿¿¿¿Identifier
4286¿ExpressionStatement¿¿7328¿¿¿¿{"start":{"line":33,"column":12},"end":{"line":33,"column":77},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿ExpressionStatement
4287¿Identifier¿¿7328¿v483¿¿¿¿¿Identifier
4288¿VariableDeclarator¿¿7328¿v484¿¿¿{"start":{"line":34,"column":12},"end":{"line":34,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿VariableDeclarator
4289¿CallExpression¿¿7328¿¿¿¿{"start":{"line":34,"column":12},"end":{"line":34,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿CallExpression
4290¿MemberExpression¿¿7328¿¿¿¿{"start":{"line":34,"column":12},"end":{"line":34,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿MemberExpression
4291¿Identifier¿¿7328¿res¿¿¿{"start":{"line":34,"column":12},"end":{"line":34,"column":15},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Identifier
4292¿Identifier¿¿7328¿render¿¿¿{"start":{"line":34,"column":16},"end":{"line":34,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Identifier
4293¿Literal¿string¿7328¿¿'index'¿¿{"start":{"line":34,"column":23},"end":{"line":34,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Literal
4294¿ExpressionStatement¿¿7328¿¿¿¿{"start":{"line":34,"column":12},"end":{"line":34,"column":32},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿ExpressionStatement
4295¿Identifier¿¿7328¿v484¿¿¿¿¿Identifier
4296¿BlockStatement¿¿7328¿¿¿¿{"start":{"line":32,"column":56},"end":{"line":35,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿BlockStatement
4297¿VariableDeclarator¿¿7326¿v486¿¿¿{"start":{"line":32,"column":8},"end":{"line":35,"column":10},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿VariableDeclarator
4298¿CallExpression¿¿7326¿¿¿¿{"start":{"line":32,"column":8},"end":{"line":35,"column":10},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿CallExpression
4299¿MemberExpression¿¿7326¿¿¿¿{"start":{"line":32,"column":8},"end":{"line":32,"column":16},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿MemberExpression
4300¿Identifier¿¿7326¿fs¿¿¿{"start":{"line":32,"column":8},"end":{"line":32,"column":10},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Identifier
4301¿Identifier¿¿7326¿mkdir¿¿¿{"start":{"line":32,"column":11},"end":{"line":32,"column":16},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Identifier
4302¿Identifier¿¿7326¿v479¿¿¿¿¿Identifier
4303¿Identifier¿¿7326¿v485¿¿¿¿¿Identifier
4304¿ExpressionStatement¿¿7326¿¿¿¿{"start":{"line":32,"column":8},"end":{"line":35,"column":11},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿ExpressionStatement
4305¿Identifier¿¿7326¿v486¿¿¿¿¿Identifier
4306¿BlockStatement¿¿7326¿¿¿¿{"start":{"line":31,"column":39},"end":{"line":36,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿BlockStatement
4307¿VariableDeclarator¿¿7324¿v488¿¿¿{"start":{"line":31,"column":4},"end":{"line":36,"column":6},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿VariableDeclarator
4308¿CallExpression¿¿7324¿¿¿¿{"start":{"line":31,"column":4},"end":{"line":36,"column":6},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿CallExpression
4309¿MemberExpression¿¿7324¿¿¿¿{"start":{"line":31,"column":4},"end":{"line":31,"column":14},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿MemberExpression
4310¿Identifier¿¿7324¿router¿¿¿{"start":{"line":31,"column":4},"end":{"line":31,"column":10},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Identifier
4311¿Identifier¿¿7324¿get¿¿¿{"start":{"line":31,"column":11},"end":{"line":31,"column":14},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Identifier
4312¿Literal¿string¿7324¿¿'/'¿¿{"start":{"line":31,"column":15},"end":{"line":31,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Literal
4313¿Identifier¿¿7324¿v487¿¿¿¿¿Identifier
4314¿ExpressionStatement¿¿7324¿¿¿¿{"start":{"line":31,"column":4},"end":{"line":36,"column":7},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿ExpressionStatement
4315¿Identifier¿¿7324¿v488¿¿¿¿¿Identifier
4316¿VariableDeclarator¿¿7324¿v500¿¿¿{"start":{"line":39,"column":28},"end":{"line":53,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿VariableDeclarator
4317¿FunctionExpression¿¿7324¿anon¿¿¿{"start":{"line":39,"column":28},"end":{"line":53,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿FunctionExpression
4318¿Identifier¿¿0¿req¿¿¿{"start":{"line":39,"column":37},"end":{"line":39,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Identifier
4319¿Identifier¿¿0¿res¿¿¿{"start":{"line":39,"column":42},"end":{"line":39,"column":45},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Identifier
4320¿VariableDeclarator¿¿7330¿_p¿¿¿{"start":{"line":40,"column":12},"end":{"line":40,"column":14},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿VariableDeclarator
4321¿VariableDeclarator¿¿7330¿v489¿¿¿{"start":{"line":41,"column":12},"end":{"line":41,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿VariableDeclarator
4322¿MemberExpression¿¿7330¿¿¿¿{"start":{"line":41,"column":12},"end":{"line":41,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿MemberExpression
4323¿Identifier¿¿7330¿req¿¿¿{"start":{"line":41,"column":12},"end":{"line":41,"column":15},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Identifier
4324¿Identifier¿¿7330¿query¿¿¿{"start":{"line":41,"column":16},"end":{"line":41,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Identifier
4325¿VariableDeclarator¿¿7330¿v490¿¿¿{"start":{"line":41,"column":12},"end":{"line":41,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿VariableDeclarator
4326¿MemberExpression¿¿7330¿¿¿¿{"start":{"line":41,"column":12},"end":{"line":41,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿MemberExpression
4327¿Identifier¿¿7330¿v489¿¿¿¿¿Identifier
4328¿Identifier¿¿7330¿id¿¿¿{"start":{"line":41,"column":22},"end":{"line":41,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Identifier
4329¿VariableDeclarator¿¿7330¿v491¿¿¿{"start":{"line":41,"column":12},"end":{"line":41,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿VariableDeclarator
4330¿BinaryExpression¿==¿7330¿¿¿¿{"start":{"line":41,"column":12},"end":{"line":41,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿BinaryExpression
4331¿Identifier¿¿7330¿v490¿¿¿¿¿Identifier
4332¿Literal¿number¿7330¿¿1¿¿{"start":{"line":41,"column":28},"end":{"line":41,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Literal
4333¿IfStatement¿¿7330¿¿¿¿{"start":{"line":41,"column":8},"end":{"line":52,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿IfStatement
4334¿Identifier¿¿7330¿v491¿¿¿¿¿Identifier
4335¿VariableDeclarator¿¿7330¿v492¿¿¿{"start":{"line":42,"column":26},"end":{"line":42,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿VariableDeclarator
4336¿CallExpression¿¿7330¿¿¿¿{"start":{"line":42,"column":26},"end":{"line":42,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿CallExpression
4337¿Identifier¿¿7330¿current_user¿¿¿{"start":{"line":42,"column":26},"end":{"line":42,"column":38},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Identifier
4338¿Identifier¿¿7330¿req¿¿¿{"start":{"line":42,"column":39},"end":{"line":42,"column":42},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Identifier
4339¿ExpressionStatement¿¿7330¿¿¿¿{"start":{"line":42,"column":12},"end":{"line":42,"column":45},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿ExpressionStatement
4340¿AssignmentExpression¿=¿7330¿¿¿¿{"start":{"line":42,"column":12},"end":{"line":42,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿AssignmentExpression
4341¿Identifier¿¿7330¿_p¿¿¿{"start":{"line":42,"column":12},"end":{"line":42,"column":14},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Identifier
4342¿CallExpression¿¿7330¿¿¿¿{"start":{"line":42,"column":17},"end":{"line":42,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿CallExpression
4343¿Identifier¿¿7330¿home_dir¿¿¿{"start":{"line":42,"column":17},"end":{"line":42,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Identifier
4344¿Identifier¿¿7330¿v492¿¿¿¿¿Identifier
4345¿VariableDeclarator¿¿7330¿v493¿¿¿{"start":{"line":43,"column":12},"end":{"line":43,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿VariableDeclarator
4346¿CallExpression¿¿7330¿¿¿¿{"start":{"line":43,"column":12},"end":{"line":43,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿CallExpression
4347¿Identifier¿¿7330¿processReq¿¿¿{"start":{"line":43,"column":12},"end":{"line":43,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Identifier
4348¿Identifier¿¿7330¿_p¿¿¿{"start":{"line":43,"column":23},"end":{"line":43,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Identifier
4349¿Identifier¿¿7330¿res¿¿¿{"start":{"line":43,"column":27},"end":{"line":43,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Identifier
4350¿ExpressionStatement¿¿7330¿¿¿¿{"start":{"line":43,"column":12},"end":{"line":43,"column":32},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿ExpressionStatement
4351¿Identifier¿¿7330¿v493¿¿¿¿¿Identifier
4352¿BlockStatement¿¿7330¿¿¿¿{"start":{"line":41,"column":31},"end":{"line":45,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿BlockStatement
4353¿VariableDeclarator¿¿7330¿v494¿¿¿{"start":{"line":46,"column":16},"end":{"line":46,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿VariableDeclarator
4354¿MemberExpression¿¿7330¿¿¿¿{"start":{"line":46,"column":16},"end":{"line":46,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿MemberExpression
4355¿Identifier¿¿7330¿req¿¿¿{"start":{"line":46,"column":16},"end":{"line":46,"column":19},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Identifier
4356¿Identifier¿¿7330¿query¿¿¿{"start":{"line":46,"column":20},"end":{"line":46,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Identifier
4357¿VariableDeclarator¿¿7330¿v495¿¿¿{"start":{"line":46,"column":16},"end":{"line":46,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿VariableDeclarator
4358¿MemberExpression¿¿7330¿¿¿¿{"start":{"line":46,"column":16},"end":{"line":46,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿MemberExpression
4359¿Identifier¿¿7330¿v494¿¿¿¿¿Identifier
4360¿Identifier¿¿7330¿id¿¿¿{"start":{"line":46,"column":26},"end":{"line":46,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿Identifier
4361¿IfStatement¿¿7330¿¿¿¿{"start":{"line":46,"column":12},"end":{"line":51,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/958/src/routes.js"}¿¿IfStatement
