Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
15966¿Program¿¿-1¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":3000,"column":2},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Program
16041¿VariableDeclarator¿¿28300¿v1728¿¿¿{"start":{"line":21,"column":7},"end":{"line":21,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿VariableDeclarator
16042¿UnaryExpression¿typeof¿28300¿¿¿¿{"start":{"line":21,"column":7},"end":{"line":21,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿UnaryExpression
16043¿Identifier¿¿28300¿setImmediate¿¿¿{"start":{"line":21,"column":14},"end":{"line":21,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Identifier
16044¿VariableDeclarator¿¿28300¿v1729¿¿¿{"start":{"line":21,"column":7},"end":{"line":21,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿VariableDeclarator
16045¿BinaryExpression¿===¿28300¿¿¿¿{"start":{"line":21,"column":7},"end":{"line":21,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿BinaryExpression
16046¿Identifier¿¿28300¿v1728¿¿¿¿¿Identifier
16047¿Literal¿string¿28300¿¿'function'¿¿{"start":{"line":21,"column":31},"end":{"line":21,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Literal
16048¿IfStatement¿¿28300¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":27,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿IfStatement
16049¿Identifier¿¿28300¿v1729¿¿¿¿¿Identifier
16050¿ExpressionStatement¿¿28300¿¿¿¿{"start":{"line":22,"column":6},"end":{"line":22,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿ExpressionStatement
16051¿AssignmentExpression¿=¿28300¿¿¿¿{"start":{"line":22,"column":6},"end":{"line":22,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿AssignmentExpression
16052¿MemberExpression¿¿28300¿¿¿¿{"start":{"line":22,"column":6},"end":{"line":22,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿MemberExpression
16053¿Identifier¿¿28300¿util¿¿¿{"start":{"line":22,"column":6},"end":{"line":22,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Identifier
16054¿Identifier¿¿28300¿setImmediate¿¿¿{"start":{"line":22,"column":11},"end":{"line":22,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Identifier
16055¿Identifier¿¿28300¿setImmediate¿¿¿{"start":{"line":22,"column":26},"end":{"line":22,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Identifier
16056¿BlockStatement¿¿28300¿¿¿¿{"start":{"line":21,"column":43},"end":{"line":23,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿BlockStatement
16057¿VariableDeclarator¿¿28300¿v1730¿¿¿{"start":{"line":26,"column":6},"end":{"line":26,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿VariableDeclarator
16058¿MemberExpression¿¿28300¿¿¿¿{"start":{"line":26,"column":26},"end":{"line":26,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿MemberExpression
16059¿Identifier¿¿28300¿util¿¿¿{"start":{"line":26,"column":26},"end":{"line":26,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Identifier
16060¿Identifier¿¿28300¿nextTick¿¿¿{"start":{"line":26,"column":31},"end":{"line":26,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Identifier
16061¿ExpressionStatement¿¿28300¿¿¿¿{"start":{"line":26,"column":6},"end":{"line":26,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿ExpressionStatement
16062¿AssignmentExpression¿=¿28300¿¿¿¿{"start":{"line":26,"column":6},"end":{"line":26,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿AssignmentExpression
16063¿MemberExpression¿¿28300¿¿¿¿{"start":{"line":26,"column":6},"end":{"line":26,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿MemberExpression
16064¿Identifier¿¿28300¿util¿¿¿{"start":{"line":26,"column":6},"end":{"line":26,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Identifier
16065¿Identifier¿¿28300¿setImmediate¿¿¿{"start":{"line":26,"column":11},"end":{"line":26,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Identifier
16066¿Identifier¿¿28300¿v1730¿¿¿¿¿Identifier
16067¿BlockStatement¿¿28300¿¿¿¿{"start":{"line":23,"column":11},"end":{"line":27,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿BlockStatement
16068¿ReturnStatement¿¿28300¿¿¿¿{"start":{"line":28,"column":4},"end":{"line":28,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿ReturnStatement
16069¿BlockStatement¿¿28300¿¿¿¿{"start":{"line":19,"column":77},"end":{"line":29,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿BlockStatement
16070¿VariableDeclarator¿¿28300¿v1731¿¿¿{"start":{"line":32,"column":5},"end":{"line":32,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿VariableDeclarator
16071¿UnaryExpression¿typeof¿28300¿¿¿¿{"start":{"line":32,"column":5},"end":{"line":32,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿UnaryExpression
16072¿Identifier¿¿28300¿setImmediate¿¿¿{"start":{"line":32,"column":12},"end":{"line":32,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Identifier
16073¿VariableDeclarator¿¿28300¿v1732¿¿¿{"start":{"line":32,"column":5},"end":{"line":32,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿VariableDeclarator
16074¿BinaryExpression¿===¿28300¿¿¿¿{"start":{"line":32,"column":5},"end":{"line":32,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿BinaryExpression
16075¿Identifier¿¿28300¿v1731¿¿¿¿¿Identifier
16076¿Literal¿string¿28300¿¿'function'¿¿{"start":{"line":32,"column":29},"end":{"line":32,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Literal
16077¿IfStatement¿¿28300¿¿¿¿{"start":{"line":32,"column":2},"end":{"line":38,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿IfStatement
16078¿Identifier¿¿28300¿v1732¿¿¿¿¿Identifier
16079¿VariableDeclarator¿¿28300¿v1734¿¿¿{"start":{"line":33,"column":4},"end":{"line":33,"column":87},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿VariableDeclarator
16080¿FunctionExpression¿¿28300¿anon¿¿¿{"start":{"line":33,"column":24},"end":{"line":33,"column":87},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿FunctionExpression
16081¿VariableDeclarator¿¿28304¿v1733¿¿¿{"start":{"line":33,"column":44},"end":{"line":33,"column":84},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿VariableDeclarator
16082¿CallExpression¿¿28304¿¿¿¿{"start":{"line":33,"column":44},"end":{"line":33,"column":84},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿CallExpression
16083¿MemberExpression¿¿28304¿¿¿¿{"start":{"line":33,"column":44},"end":{"line":33,"column":62},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿MemberExpression
16084¿Identifier¿¿28304¿setImmediate¿¿¿{"start":{"line":33,"column":44},"end":{"line":33,"column":56},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Identifier
16085¿Identifier¿¿28304¿apply¿¿¿{"start":{"line":33,"column":57},"end":{"line":33,"column":62},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Identifier
16086¿Identifier¿¿28304¿undefined¿¿¿{"start":{"line":33,"column":63},"end":{"line":33,"column":72},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Identifier
16087¿Identifier¿¿28304¿arguments¿¿¿{"start":{"line":33,"column":74},"end":{"line":33,"column":83},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Identifier
16088¿ReturnStatement¿¿28304¿¿¿¿{"start":{"line":33,"column":37},"end":{"line":33,"column":85},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿ReturnStatement
16089¿Identifier¿¿28304¿v1733¿¿¿¿¿Identifier
16090¿BlockStatement¿¿28304¿¿¿¿{"start":{"line":33,"column":35},"end":{"line":33,"column":87},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿BlockStatement
16091¿ExpressionStatement¿¿28300¿¿¿¿{"start":{"line":33,"column":4},"end":{"line":33,"column":88},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿ExpressionStatement
16092¿AssignmentExpression¿=¿28300¿¿¿¿{"start":{"line":33,"column":4},"end":{"line":33,"column":87},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿AssignmentExpression
16093¿MemberExpression¿¿28300¿¿¿¿{"start":{"line":33,"column":4},"end":{"line":33,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿MemberExpression
16094¿Identifier¿¿28300¿util¿¿¿{"start":{"line":33,"column":4},"end":{"line":33,"column":8},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Identifier
16095¿Identifier¿¿28300¿setImmediate¿¿¿{"start":{"line":33,"column":9},"end":{"line":33,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Identifier
16096¿Identifier¿¿28300¿v1734¿¿¿¿¿Identifier
16097¿VariableDeclarator¿¿28300¿v1736¿¿¿{"start":{"line":34,"column":4},"end":{"line":36,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿VariableDeclarator
16098¿FunctionExpression¿¿28300¿anon¿¿¿{"start":{"line":34,"column":20},"end":{"line":36,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿FunctionExpression
16099¿Identifier¿¿0¿callback¿¿¿{"start":{"line":34,"column":29},"end":{"line":34,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Identifier
16100¿VariableDeclarator¿¿28306¿v1735¿¿¿{"start":{"line":35,"column":13},"end":{"line":35,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿VariableDeclarator
16101¿CallExpression¿¿28306¿¿¿¿{"start":{"line":35,"column":13},"end":{"line":35,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿CallExpression
16102¿Identifier¿¿28306¿setImmediate¿¿¿{"start":{"line":35,"column":13},"end":{"line":35,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Identifier
16103¿Identifier¿¿28306¿callback¿¿¿{"start":{"line":35,"column":26},"end":{"line":35,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿Identifier
16104¿ReturnStatement¿¿28306¿¿¿¿{"start":{"line":35,"column":6},"end":{"line":35,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/node-forge_0.9.0/src/util.js"}¿¿ReturnStatement
16105¿Identifier¿¿28306¿v1735¿¿¿¿¿Identifier
