Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
4025¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":550,"column":4},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿Program
4039¿Identifier¿¿7052¿define¿¿¿{"start":{"line":2,"column":38},"end":{"line":2,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿Identifier
4040¿Identifier¿¿7052¿amd¿¿¿{"start":{"line":2,"column":45},"end":{"line":2,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿Identifier
4041¿VariableDeclarator¿¿7052¿v383¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿VariableDeclarator
4042¿LogicalExpression¿&&¿7052¿¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿LogicalExpression
4043¿Identifier¿¿7052¿v381¿¿¿¿¿Identifier
4044¿Identifier¿¿7052¿v382¿¿¿¿¿Identifier
4045¿IfStatement¿¿7052¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":8,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿IfStatement
4046¿Identifier¿¿7052¿v383¿¿¿¿¿Identifier
4047¿VariableDeclarator¿¿7052¿v384¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿VariableDeclarator
4048¿ArrayExpression¿¿7052¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿ArrayExpression
4049¿VariableDeclarator¿¿7052¿v385¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿VariableDeclarator
4050¿CallExpression¿¿7052¿¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿CallExpression
4051¿Identifier¿¿7052¿define¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿Identifier
4052¿Identifier¿¿7052¿v384¿¿¿¿¿Identifier
4053¿Identifier¿¿7052¿factory¿¿¿{"start":{"line":3,"column":15},"end":{"line":3,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿Identifier
4054¿ExpressionStatement¿¿7052¿¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿ExpressionStatement
4055¿Identifier¿¿7052¿v385¿¿¿¿¿Identifier
4056¿BlockStatement¿¿7052¿¿¿¿{"start":{"line":2,"column":50},"end":{"line":4,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿BlockStatement
4057¿VariableDeclarator¿¿7052¿v386¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿VariableDeclarator
4058¿UnaryExpression¿typeof¿7052¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿UnaryExpression
4059¿Identifier¿¿7052¿module¿¿¿{"start":{"line":4,"column":20},"end":{"line":4,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿Identifier
4060¿VariableDeclarator¿¿7052¿v387¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿VariableDeclarator
4061¿BinaryExpression¿===¿7052¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿BinaryExpression
4062¿Identifier¿¿7052¿v386¿¿¿¿¿Identifier
4063¿Literal¿string¿7052¿¿'object'¿¿{"start":{"line":4,"column":31},"end":{"line":4,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿Literal
4064¿VariableDeclarator¿¿7052¿v388¿¿¿{"start":{"line":4,"column":43},"end":{"line":4,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿VariableDeclarator
4065¿MemberExpression¿¿7052¿¿¿¿{"start":{"line":4,"column":43},"end":{"line":4,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿MemberExpression
4066¿Identifier¿¿7052¿module¿¿¿{"start":{"line":4,"column":43},"end":{"line":4,"column":49},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿Identifier
4067¿Identifier¿¿7052¿exports¿¿¿{"start":{"line":4,"column":50},"end":{"line":4,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿Identifier
4068¿VariableDeclarator¿¿7052¿v389¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿VariableDeclarator
4069¿LogicalExpression¿&&¿7052¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿LogicalExpression
4070¿Identifier¿¿7052¿v387¿¿¿¿¿Identifier
4071¿Identifier¿¿7052¿v388¿¿¿¿¿Identifier
4072¿IfStatement¿¿7052¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":8,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿IfStatement
4073¿Identifier¿¿7052¿v389¿¿¿¿¿Identifier
4074¿VariableDeclarator¿¿7052¿v390¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿VariableDeclarator
4075¿CallExpression¿¿7052¿¿¿¿{"start":{"line":5,"column":21},"end":{"line":5,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿CallExpression
4076¿Identifier¿¿7052¿factory¿¿¿{"start":{"line":5,"column":21},"end":{"line":5,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿Identifier
4077¿ExpressionStatement¿¿7052¿¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿ExpressionStatement
4078¿AssignmentExpression¿=¿7052¿¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿AssignmentExpression
4079¿MemberExpression¿¿7052¿¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿MemberExpression
4080¿Identifier¿¿7052¿module¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿Identifier
4081¿Identifier¿¿7052¿exports¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿Identifier
4082¿Identifier¿¿7052¿v390¿¿¿¿¿Identifier
4083¿BlockStatement¿¿7052¿¿¿¿{"start":{"line":4,"column":59},"end":{"line":6,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿BlockStatement
4084¿VariableDeclarator¿¿7052¿v391¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿VariableDeclarator
4085¿CallExpression¿¿7052¿¿¿¿{"start":{"line":7,"column":25},"end":{"line":7,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿CallExpression
4086¿Identifier¿¿7052¿factory¿¿¿{"start":{"line":7,"column":25},"end":{"line":7,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿Identifier
4087¿ExpressionStatement¿¿7052¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿ExpressionStatement
4088¿AssignmentExpression¿=¿7052¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿AssignmentExpression
4089¿MemberExpression¿¿7052¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿MemberExpression
4090¿Identifier¿¿7052¿root¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":8},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿Identifier
4091¿Identifier¿¿7052¿returnExports¿¿¿{"start":{"line":7,"column":9},"end":{"line":7,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿Identifier
4092¿Identifier¿¿7052¿v391¿¿¿¿¿Identifier
4093¿BlockStatement¿¿7052¿¿¿¿{"start":{"line":6,"column":9},"end":{"line":8,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿BlockStatement
4094¿BlockStatement¿¿7052¿¿¿¿¿¿BlockStatement
4095¿BlockStatement¿¿7052¿¿¿¿{"start":{"line":1,"column":26},"end":{"line":10,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿BlockStatement
4096¿VariableDeclarator¿¿7050¿v393¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿VariableDeclarator
4097¿UnaryExpression¿typeof¿7050¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿UnaryExpression
4098¿Identifier¿¿7050¿self¿¿¿{"start":{"line":10,"column":9},"end":{"line":10,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿Identifier
4099¿VariableDeclarator¿¿7050¿v394¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿VariableDeclarator
4100¿BinaryExpression¿!==¿7050¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿BinaryExpression
4101¿Identifier¿¿7050¿v393¿¿¿¿¿Identifier
4102¿Literal¿string¿7050¿¿'undefined'¿¿{"start":{"line":10,"column":18},"end":{"line":10,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿Literal
4103¿VariableDeclarator¿¿7050¿v395¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿VariableDeclarator
4104¿IfStatement¿¿7050¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿IfStatement
4105¿Identifier¿¿7050¿v394¿¿¿¿¿Identifier
4106¿ExpressionStatement¿¿7050¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿ExpressionStatement
4107¿AssignmentExpression¿=¿7050¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿AssignmentExpression
4108¿Identifier¿¿7050¿v395¿¿¿¿¿Identifier
4109¿Identifier¿¿7050¿self¿¿¿{"start":{"line":10,"column":32},"end":{"line":10,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿Identifier
4110¿BlockStatement¿¿7050¿¿¿¿¿¿BlockStatement
4111¿ExpressionStatement¿¿7050¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿ExpressionStatement
4112¿AssignmentExpression¿=¿7050¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿AssignmentExpression
4113¿Identifier¿¿7050¿v395¿¿¿¿¿Identifier
4114¿ThisExpression¿¿7050¿¿¿¿{"start":{"line":10,"column":39},"end":{"line":10,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿ThisExpression
4115¿BlockStatement¿¿7050¿¿¿¿¿¿BlockStatement
4116¿VariableDeclarator¿¿7050¿v757¿¿¿{"start":{"line":10,"column":45},"end":{"line":550,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿VariableDeclarator
4117¿FunctionExpression¿¿7050¿anon¿¿¿{"start":{"line":10,"column":45},"end":{"line":550,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿FunctionExpression
4118¿VariableDeclarator¿¿7057¿root¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿VariableDeclarator
4119¿ThisExpression¿¿7057¿¿¿¿{"start":{"line":11,"column":13},"end":{"line":11,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿ThisExpression
4120¿VariableDeclarator¿¿7057¿$savedJsonPointer¿¿¿{"start":{"line":12,"column":6},"end":{"line":12,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿VariableDeclarator
4121¿MemberExpression¿¿7057¿¿¿¿{"start":{"line":12,"column":26},"end":{"line":12,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿MemberExpression
4122¿ThisExpression¿¿7057¿¿¿¿{"start":{"line":12,"column":26},"end":{"line":12,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿ThisExpression
4123¿Identifier¿¿7057¿JsonPointer¿¿¿{"start":{"line":12,"column":31},"end":{"line":12,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿Identifier
4124¿VariableDeclarator¿¿7057¿replace¿¿¿{"start":{"line":14,"column":2},"end":{"line":30,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿VariableDeclarator
4125¿FunctionExpression¿¿7057¿anon¿¿¿{"start":{"line":14,"column":2},"end":{"line":30,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿FunctionExpression
4126¿Identifier¿¿0¿str¿¿¿{"start":{"line":14,"column":19},"end":{"line":14,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿Identifier
4127¿Identifier¿¿0¿find¿¿¿{"start":{"line":14,"column":24},"end":{"line":14,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿Identifier
4128¿Identifier¿¿0¿repl¿¿¿{"start":{"line":14,"column":30},"end":{"line":14,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿Identifier
4129¿VariableDeclarator¿¿7059¿orig¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿VariableDeclarator
4130¿CallExpression¿¿7059¿¿¿¿{"start":{"line":16,"column":15},"end":{"line":16,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿CallExpression
4131¿MemberExpression¿¿7059¿¿¿¿{"start":{"line":16,"column":15},"end":{"line":16,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿MemberExpression
4132¿Identifier¿¿7059¿str¿¿¿{"start":{"line":16,"column":15},"end":{"line":16,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿Identifier
4133¿Identifier¿¿7059¿toString¿¿¿{"start":{"line":16,"column":19},"end":{"line":16,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿Identifier
4134¿VariableDeclarator¿¿7059¿res¿¿¿{"start":{"line":17,"column":8},"end":{"line":17,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿VariableDeclarator
4135¿Literal¿string¿7059¿¿''¿¿{"start":{"line":17,"column":14},"end":{"line":17,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿Literal
4136¿VariableDeclarator¿¿7059¿rem¿¿¿{"start":{"line":18,"column":8},"end":{"line":18,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿VariableDeclarator
4137¿Identifier¿¿7059¿orig¿¿¿{"start":{"line":18,"column":14},"end":{"line":18,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿Identifier
4138¿VariableDeclarator¿¿7059¿beg¿¿¿{"start":{"line":19,"column":8},"end":{"line":19,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿VariableDeclarator
4139¿Literal¿number¿7059¿¿0¿¿{"start":{"line":19,"column":14},"end":{"line":19,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿Literal
4140¿VariableDeclarator¿¿7059¿v396¿¿¿{"start":{"line":20,"column":14},"end":{"line":20,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿VariableDeclarator
4141¿UnaryExpression¿-¿7059¿¿¿¿{"start":{"line":20,"column":14},"end":{"line":20,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿UnaryExpression
4142¿Literal¿number¿7059¿¿1¿¿{"start":{"line":20,"column":15},"end":{"line":20,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿Literal
4143¿VariableDeclarator¿¿7059¿end¿¿¿{"start":{"line":20,"column":8},"end":{"line":20,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿VariableDeclarator
4144¿Identifier¿¿7059¿v396¿¿¿¿¿Identifier
4145¿VariableDeclarator¿¿7059¿v397¿¿¿{"start":{"line":21,"column":39},"end":{"line":21,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿VariableDeclarator
4146¿UnaryExpression¿-¿7059¿¿¿¿{"start":{"line":21,"column":39},"end":{"line":21,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿UnaryExpression
4147¿Literal¿number¿7059¿¿1¿¿{"start":{"line":21,"column":40},"end":{"line":21,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿Literal
4148¿VariableDeclarator¿¿7059¿v398¿¿¿{"start":{"line":21,"column":11},"end":{"line":21,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿VariableDeclarator
4149¿BinaryExpression¿>¿7059¿¿¿¿{"start":{"line":21,"column":11},"end":{"line":21,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿BinaryExpression
4150¿AssignmentExpression¿=¿7059¿¿¿¿{"start":{"line":21,"column":12},"end":{"line":21,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿AssignmentExpression
4151¿Identifier¿¿7059¿end¿¿¿{"start":{"line":21,"column":12},"end":{"line":21,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿Identifier
4152¿CallExpression¿¿7059¿¿¿¿{"start":{"line":21,"column":18},"end":{"line":21,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿CallExpression
4153¿MemberExpression¿¿7059¿¿¿¿{"start":{"line":21,"column":18},"end":{"line":21,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿MemberExpression
4154¿Identifier¿¿7059¿rem¿¿¿{"start":{"line":21,"column":18},"end":{"line":21,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿Identifier
4155¿Identifier¿¿7059¿indexOf¿¿¿{"start":{"line":21,"column":22},"end":{"line":21,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿Identifier
4156¿Identifier¿¿7059¿find¿¿¿{"start":{"line":21,"column":30},"end":{"line":21,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿Identifier
4157¿Identifier¿¿7059¿v397¿¿¿¿¿Identifier
4158¿WhileStatement¿¿7059¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":25,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿WhileStatement
4159¿Identifier¿¿7059¿v398¿¿¿¿¿Identifier
4160¿VariableDeclarator¿¿7059¿v399¿¿¿{"start":{"line":22,"column":33},"end":{"line":22,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿VariableDeclarator
4161¿BinaryExpression¿+¿7059¿¿¿¿{"start":{"line":22,"column":33},"end":{"line":22,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿BinaryExpression
4162¿Identifier¿¿7059¿beg¿¿¿{"start":{"line":22,"column":33},"end":{"line":22,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿Identifier
4163¿Identifier¿¿7059¿end¿¿¿{"start":{"line":22,"column":39},"end":{"line":22,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿Identifier
4164¿VariableDeclarator¿¿7059¿v400¿¿¿{"start":{"line":22,"column":13},"end":{"line":22,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿VariableDeclarator
4165¿CallExpression¿¿7059¿¿¿¿{"start":{"line":22,"column":13},"end":{"line":22,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿CallExpression
4166¿MemberExpression¿¿7059¿¿¿¿{"start":{"line":22,"column":13},"end":{"line":22,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/json-ptr_1.1.0/src/index.js"}¿¿MemberExpression
