Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
842¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":291,"column":2},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Program
855¿Literal¿string¿1505¿¿'undefined'¿¿{"start":{"line":48,"column":21},"end":{"line":48,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Literal
856¿VariableDeclarator¿¿1505¿v78¿¿¿{"start":{"line":48,"column":36},"end":{"line":48,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿VariableDeclarator
857¿BinaryExpression¿===¿1505¿¿¿¿{"start":{"line":48,"column":36},"end":{"line":48,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿BinaryExpression
858¿Identifier¿¿1505¿obj¿¿¿{"start":{"line":48,"column":36},"end":{"line":48,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Identifier
859¿Literal¿object¿1505¿¿null¿¿{"start":{"line":48,"column":44},"end":{"line":48,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Literal
860¿VariableDeclarator¿¿1505¿v79¿¿¿{"start":{"line":48,"column":6},"end":{"line":48,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿VariableDeclarator
861¿LogicalExpression¿||¿1505¿¿¿¿{"start":{"line":48,"column":6},"end":{"line":48,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿LogicalExpression
862¿Identifier¿¿1505¿v77¿¿¿¿¿Identifier
863¿Identifier¿¿1505¿v78¿¿¿¿¿Identifier
864¿IfStatement¿¿1505¿¿¿¿{"start":{"line":48,"column":2},"end":{"line":50,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿IfStatement
865¿Identifier¿¿1505¿v79¿¿¿¿¿Identifier
866¿ReturnStatement¿¿1505¿¿¿¿{"start":{"line":49,"column":4},"end":{"line":49,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿ReturnStatement
867¿Literal¿boolean¿1505¿¿false¿¿{"start":{"line":49,"column":11},"end":{"line":49,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Literal
868¿BlockStatement¿¿1505¿¿¿¿{"start":{"line":48,"column":50},"end":{"line":50,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿BlockStatement
869¿VariableDeclarator¿¿1505¿v80¿¿¿{"start":{"line":53,"column":17},"end":{"line":53,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿VariableDeclarator
870¿CallExpression¿¿1505¿¿¿¿{"start":{"line":53,"column":17},"end":{"line":53,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿CallExpression
871¿Identifier¿¿1505¿Object¿¿¿{"start":{"line":53,"column":17},"end":{"line":53,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Identifier
872¿Identifier¿¿1505¿obj¿¿¿{"start":{"line":53,"column":24},"end":{"line":53,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Identifier
873¿VariableDeclarator¿¿1505¿v81¿¿¿{"start":{"line":53,"column":9},"end":{"line":53,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿VariableDeclarator
874¿BinaryExpression¿in¿1505¿¿¿¿{"start":{"line":53,"column":9},"end":{"line":53,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿BinaryExpression
875¿Identifier¿¿1505¿name¿¿¿{"start":{"line":53,"column":9},"end":{"line":53,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Identifier
876¿Identifier¿¿1505¿v80¿¿¿¿¿Identifier
877¿ReturnStatement¿¿1505¿¿¿¿{"start":{"line":53,"column":2},"end":{"line":53,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿ReturnStatement
878¿Identifier¿¿1505¿v81¿¿¿¿¿Identifier
879¿BlockStatement¿¿1505¿¿¿¿{"start":{"line":47,"column":32},"end":{"line":54,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿BlockStatement
880¿VariableDeclarator¿¿1503¿parsePath¿¿¿{"start":{"line":75,"column":0},"end":{"line":90,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿VariableDeclarator
881¿FunctionExpression¿¿1503¿anon¿¿¿{"start":{"line":75,"column":0},"end":{"line":90,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿FunctionExpression
882¿Identifier¿¿0¿path¿¿¿{"start":{"line":75,"column":19},"end":{"line":75,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Identifier
883¿VariableDeclarator¿¿1508¿str¿¿¿{"start":{"line":76,"column":6},"end":{"line":76,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿VariableDeclarator
884¿CallExpression¿¿1508¿¿¿¿{"start":{"line":76,"column":12},"end":{"line":76,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿CallExpression
885¿MemberExpression¿¿1508¿¿¿¿{"start":{"line":76,"column":12},"end":{"line":76,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿MemberExpression
886¿Identifier¿¿1508¿path¿¿¿{"start":{"line":76,"column":12},"end":{"line":76,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Identifier
887¿Identifier¿¿1508¿replace¿¿¿{"start":{"line":76,"column":17},"end":{"line":76,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Identifier
888¿Literal¿object¿1508¿¿/([^\\])\[/g¿¿{"start":{"line":76,"column":25},"end":{"line":76,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Literal
889¿Literal¿string¿1508¿¿'$1.['¿¿{"start":{"line":76,"column":39},"end":{"line":76,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Literal
890¿VariableDeclarator¿¿1508¿parts¿¿¿{"start":{"line":77,"column":6},"end":{"line":77,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿VariableDeclarator
891¿CallExpression¿¿1508¿¿¿¿{"start":{"line":77,"column":14},"end":{"line":77,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿CallExpression
892¿MemberExpression¿¿1508¿¿¿¿{"start":{"line":77,"column":14},"end":{"line":77,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿MemberExpression
893¿Identifier¿¿1508¿str¿¿¿{"start":{"line":77,"column":14},"end":{"line":77,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Identifier
894¿Identifier¿¿1508¿match¿¿¿{"start":{"line":77,"column":18},"end":{"line":77,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Identifier
895¿Literal¿object¿1508¿¿/(\\\.|[^.]+?)+/g¿¿{"start":{"line":77,"column":24},"end":{"line":77,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Literal
896¿VariableDeclarator¿¿1508¿v85¿¿¿{"start":{"line":78,"column":19},"end":{"line":89,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿VariableDeclarator
897¿FunctionExpression¿¿1508¿mapMatches¿¿¿{"start":{"line":78,"column":19},"end":{"line":89,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿FunctionExpression
898¿Identifier¿¿0¿value¿¿¿{"start":{"line":78,"column":39},"end":{"line":78,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Identifier
899¿VariableDeclarator¿¿1510¿regexp¿¿¿{"start":{"line":79,"column":8},"end":{"line":79,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿VariableDeclarator
900¿Literal¿object¿1510¿¿/^\[(\d+)\]$/¿¿{"start":{"line":79,"column":17},"end":{"line":79,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Literal
901¿VariableDeclarator¿¿1510¿mArr¿¿¿{"start":{"line":80,"column":8},"end":{"line":80,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿VariableDeclarator
902¿CallExpression¿¿1510¿¿¿¿{"start":{"line":80,"column":15},"end":{"line":80,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿CallExpression
903¿MemberExpression¿¿1510¿¿¿¿{"start":{"line":80,"column":15},"end":{"line":80,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿MemberExpression
904¿Identifier¿¿1510¿regexp¿¿¿{"start":{"line":80,"column":15},"end":{"line":80,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Identifier
905¿Identifier¿¿1510¿exec¿¿¿{"start":{"line":80,"column":22},"end":{"line":80,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Identifier
906¿Identifier¿¿1510¿value¿¿¿{"start":{"line":80,"column":27},"end":{"line":80,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Identifier
907¿VariableDeclarator¿¿1510¿parsed¿¿¿{"start":{"line":81,"column":8},"end":{"line":81,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿VariableDeclarator
908¿Literal¿object¿1510¿¿null¿¿{"start":{"line":81,"column":17},"end":{"line":81,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Literal
909¿IfStatement¿¿1510¿¿¿¿{"start":{"line":82,"column":4},"end":{"line":86,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿IfStatement
910¿Identifier¿¿1510¿mArr¿¿¿{"start":{"line":82,"column":8},"end":{"line":82,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Identifier
911¿VariableDeclarator¿¿1510¿v82¿¿¿{"start":{"line":83,"column":31},"end":{"line":83,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿VariableDeclarator
912¿MemberExpression¿computed¿1510¿¿¿¿{"start":{"line":83,"column":31},"end":{"line":83,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿MemberExpression
913¿Identifier¿¿1510¿mArr¿¿¿{"start":{"line":83,"column":31},"end":{"line":83,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Identifier
914¿Literal¿number¿1510¿¿1¿¿{"start":{"line":83,"column":36},"end":{"line":83,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Literal
915¿VariableDeclarator¿¿1510¿v83¿¿¿{"start":{"line":83,"column":20},"end":{"line":83,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿VariableDeclarator
916¿CallExpression¿¿1510¿¿¿¿{"start":{"line":83,"column":20},"end":{"line":83,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿CallExpression
917¿Identifier¿¿1510¿parseFloat¿¿¿{"start":{"line":83,"column":20},"end":{"line":83,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Identifier
918¿Identifier¿¿1510¿v82¿¿¿¿¿Identifier
919¿ExpressionStatement¿¿1510¿¿¿¿{"start":{"line":83,"column":6},"end":{"line":83,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿ExpressionStatement
920¿AssignmentExpression¿=¿1510¿¿¿¿{"start":{"line":83,"column":6},"end":{"line":83,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿AssignmentExpression
921¿MemberExpression¿¿1510¿¿¿¿{"start":{"line":83,"column":6},"end":{"line":83,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿MemberExpression
922¿Identifier¿¿1510¿parsed¿¿¿{"start":{"line":83,"column":6},"end":{"line":83,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Identifier
923¿Identifier¿¿1510¿i¿¿¿{"start":{"line":83,"column":17},"end":{"line":83,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Identifier
924¿Identifier¿¿1510¿v83¿¿¿¿¿Identifier
925¿ExpressionStatement¿¿1510¿¿¿¿{"start":{"line":83,"column":6},"end":{"line":83,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿ExpressionStatement
926¿AssignmentExpression¿=¿1510¿¿¿¿{"start":{"line":83,"column":6},"end":{"line":83,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿AssignmentExpression
927¿Identifier¿¿1510¿parsed¿¿¿{"start":{"line":83,"column":6},"end":{"line":83,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Identifier
928¿ObjectExpression¿¿1510¿¿¿¿¿¿ObjectExpression
929¿ExpressionStatement¿¿1510¿¿¿¿{"start":{"line":83,"column":6},"end":{"line":83,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿ExpressionStatement
930¿AssignmentExpression¿=¿1510¿¿¿¿{"start":{"line":83,"column":6},"end":{"line":83,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿AssignmentExpression
931¿Identifier¿¿1510¿parsed¿¿¿{"start":{"line":83,"column":6},"end":{"line":83,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Identifier
932¿ObjectExpression¿¿1510¿¿¿¿¿¿ObjectExpression
933¿BlockStatement¿¿1510¿¿¿¿{"start":{"line":82,"column":14},"end":{"line":84,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿BlockStatement
934¿VariableDeclarator¿¿1510¿v84¿¿¿{"start":{"line":85,"column":20},"end":{"line":85,"column":55},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿VariableDeclarator
935¿CallExpression¿¿1510¿¿¿¿{"start":{"line":85,"column":20},"end":{"line":85,"column":55},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿CallExpression
936¿MemberExpression¿¿1510¿¿¿¿{"start":{"line":85,"column":20},"end":{"line":85,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿MemberExpression
937¿Identifier¿¿1510¿value¿¿¿{"start":{"line":85,"column":20},"end":{"line":85,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Identifier
938¿Identifier¿¿1510¿replace¿¿¿{"start":{"line":85,"column":26},"end":{"line":85,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Identifier
939¿Literal¿object¿1510¿¿/\\([.\[\]])/g¿¿{"start":{"line":85,"column":34},"end":{"line":85,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Literal
940¿Literal¿string¿1510¿¿'$1'¿¿{"start":{"line":85,"column":50},"end":{"line":85,"column":54},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Literal
941¿ExpressionStatement¿¿1510¿¿¿¿{"start":{"line":85,"column":6},"end":{"line":85,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿ExpressionStatement
942¿AssignmentExpression¿=¿1510¿¿¿¿{"start":{"line":85,"column":6},"end":{"line":85,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿AssignmentExpression
943¿MemberExpression¿¿1510¿¿¿¿{"start":{"line":85,"column":6},"end":{"line":85,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿MemberExpression
944¿Identifier¿¿1510¿parsed¿¿¿{"start":{"line":85,"column":6},"end":{"line":85,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Identifier
945¿Identifier¿¿1510¿p¿¿¿{"start":{"line":85,"column":17},"end":{"line":85,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Identifier
946¿Identifier¿¿1510¿v84¿¿¿¿¿Identifier
947¿ExpressionStatement¿¿1510¿¿¿¿{"start":{"line":85,"column":6},"end":{"line":85,"column":58},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿ExpressionStatement
948¿AssignmentExpression¿=¿1510¿¿¿¿{"start":{"line":85,"column":6},"end":{"line":85,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿AssignmentExpression
949¿Identifier¿¿1510¿parsed¿¿¿{"start":{"line":85,"column":6},"end":{"line":85,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Identifier
950¿ObjectExpression¿¿1510¿¿¿¿¿¿ObjectExpression
951¿ExpressionStatement¿¿1510¿¿¿¿{"start":{"line":85,"column":6},"end":{"line":85,"column":58},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿ExpressionStatement
952¿AssignmentExpression¿=¿1510¿¿¿¿{"start":{"line":85,"column":6},"end":{"line":85,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿AssignmentExpression
953¿Identifier¿¿1510¿parsed¿¿¿{"start":{"line":85,"column":6},"end":{"line":85,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Identifier
954¿ObjectExpression¿¿1510¿¿¿¿¿¿ObjectExpression
955¿BlockStatement¿¿1510¿¿¿¿{"start":{"line":84,"column":11},"end":{"line":86,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿BlockStatement
956¿ReturnStatement¿¿1510¿¿¿¿{"start":{"line":88,"column":4},"end":{"line":88,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿ReturnStatement
957¿Identifier¿¿1510¿parsed¿¿¿{"start":{"line":88,"column":11},"end":{"line":88,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Identifier
958¿BlockStatement¿¿1510¿¿¿¿{"start":{"line":78,"column":46},"end":{"line":89,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿BlockStatement
959¿VariableDeclarator¿¿1508¿v86¿¿¿{"start":{"line":78,"column":9},"end":{"line":89,"column":4},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿VariableDeclarator
960¿CallExpression¿¿1508¿¿¿¿{"start":{"line":78,"column":9},"end":{"line":89,"column":4},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿CallExpression
961¿MemberExpression¿¿1508¿¿¿¿{"start":{"line":78,"column":9},"end":{"line":78,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿MemberExpression
962¿Identifier¿¿1508¿parts¿¿¿{"start":{"line":78,"column":9},"end":{"line":78,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Identifier
963¿Identifier¿¿1508¿map¿¿¿{"start":{"line":78,"column":15},"end":{"line":78,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Identifier
964¿Identifier¿¿1508¿v85¿¿¿¿¿Identifier
965¿ReturnStatement¿¿1508¿¿¿¿{"start":{"line":78,"column":2},"end":{"line":89,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿ReturnStatement
966¿Identifier¿¿1508¿v86¿¿¿¿¿Identifier
967¿BlockStatement¿¿1508¿¿¿¿{"start":{"line":75,"column":25},"end":{"line":90,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿BlockStatement
968¿VariableDeclarator¿¿1503¿internalGetPathValue¿¿¿{"start":{"line":107,"column":0},"end":{"line":128,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿VariableDeclarator
969¿FunctionExpression¿¿1503¿anon¿¿¿{"start":{"line":107,"column":0},"end":{"line":128,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿FunctionExpression
970¿Identifier¿¿0¿obj¿¿¿{"start":{"line":107,"column":30},"end":{"line":107,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Identifier
971¿Identifier¿¿0¿parsed¿¿¿{"start":{"line":107,"column":35},"end":{"line":107,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Identifier
972¿Identifier¿¿0¿pathDepth¿¿¿{"start":{"line":107,"column":43},"end":{"line":107,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Identifier
973¿VariableDeclarator¿¿1513¿temporaryValue¿¿¿{"start":{"line":108,"column":6},"end":{"line":108,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿VariableDeclarator
974¿Identifier¿¿1513¿obj¿¿¿{"start":{"line":108,"column":23},"end":{"line":108,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Identifier
975¿VariableDeclarator¿¿1513¿res¿¿¿{"start":{"line":109,"column":6},"end":{"line":109,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿VariableDeclarator
976¿Literal¿object¿1513¿¿null¿¿{"start":{"line":109,"column":12},"end":{"line":109,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Literal
977¿VariableDeclarator¿¿1513¿v87¿¿¿{"start":{"line":110,"column":15},"end":{"line":110,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿VariableDeclarator
978¿UnaryExpression¿typeof¿1513¿¿¿¿{"start":{"line":110,"column":15},"end":{"line":110,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿UnaryExpression
979¿Identifier¿¿1513¿pathDepth¿¿¿{"start":{"line":110,"column":22},"end":{"line":110,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Identifier
980¿VariableDeclarator¿¿1513¿v88¿¿¿{"start":{"line":110,"column":15},"end":{"line":110,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿VariableDeclarator
981¿BinaryExpression¿===¿1513¿¿¿¿{"start":{"line":110,"column":15},"end":{"line":110,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿BinaryExpression
982¿Identifier¿¿1513¿v87¿¿¿¿¿Identifier
