Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
761¿Program¿¿-1¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":127,"column":2},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Program
772¿Identifier¿¿1313¿require¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":20},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Identifier
773¿Literal¿string¿1313¿¿'../config.js'¿¿{"start":{"line":5,"column":21},"end":{"line":5,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Literal
774¿VariableDeclarator¿¿1313¿fs¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿VariableDeclarator
775¿CallExpression¿¿1313¿¿¿¿{"start":{"line":6,"column":9},"end":{"line":6,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿CallExpression
776¿Identifier¿¿1313¿require¿¿¿{"start":{"line":6,"column":9},"end":{"line":6,"column":16},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Identifier
777¿Literal¿string¿1313¿¿'fs'¿¿{"start":{"line":6,"column":17},"end":{"line":6,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Literal
778¿VariableDeclarator¿¿1313¿package¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":38},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿VariableDeclarator
779¿CallExpression¿¿1313¿¿¿¿{"start":{"line":7,"column":14},"end":{"line":7,"column":38},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿CallExpression
780¿Identifier¿¿1313¿require¿¿¿{"start":{"line":7,"column":14},"end":{"line":7,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Identifier
781¿Literal¿string¿1313¿¿'../package.js'¿¿{"start":{"line":7,"column":22},"end":{"line":7,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Literal
782¿VariableDeclarator¿¿1313¿conf¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿VariableDeclarator
783¿CallExpression¿¿1313¿¿¿¿{"start":{"line":9,"column":11},"end":{"line":9,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿CallExpression
784¿MemberExpression¿¿1313¿¿¿¿{"start":{"line":9,"column":11},"end":{"line":9,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿MemberExpression
785¿Identifier¿¿1313¿config¿¿¿{"start":{"line":9,"column":11},"end":{"line":9,"column":17},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Identifier
786¿Identifier¿¿1313¿loadConfig¿¿¿{"start":{"line":9,"column":18},"end":{"line":9,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Identifier
787¿VariableDeclarator¿exported¿1313¿v126¿¿¿{"start":{"line":11,"column":0},"end":{"line":102,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿VariableDeclarator
788¿FunctionExpression¿¿1313¿anon¿¿¿{"start":{"line":11,"column":15},"end":{"line":102,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿FunctionExpression
789¿Identifier¿¿0¿options¿¿¿{"start":{"line":11,"column":24},"end":{"line":11,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Identifier
790¿Identifier¿¿0¿cb¿¿¿{"start":{"line":11,"column":32},"end":{"line":11,"column":34},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Identifier
791¿VariableDeclarator¿¿1315¿widgetName¿¿¿{"start":{"line":12,"column":5},"end":{"line":12,"column":36},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿VariableDeclarator
792¿MemberExpression¿¿1315¿¿¿¿{"start":{"line":12,"column":18},"end":{"line":12,"column":36},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿MemberExpression
793¿Identifier¿¿1315¿options¿¿¿{"start":{"line":12,"column":18},"end":{"line":12,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Identifier
794¿Identifier¿¿1315¿widgetName¿¿¿{"start":{"line":12,"column":26},"end":{"line":12,"column":36},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Identifier
795¿VariableDeclarator¿¿1315¿env¿¿¿{"start":{"line":13,"column":5},"end":{"line":13,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿VariableDeclarator
796¿MemberExpression¿¿1315¿¿¿¿{"start":{"line":13,"column":11},"end":{"line":13,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿MemberExpression
797¿Identifier¿¿1315¿options¿¿¿{"start":{"line":13,"column":11},"end":{"line":13,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Identifier
798¿Identifier¿¿1315¿env¿¿¿{"start":{"line":13,"column":19},"end":{"line":13,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Identifier
799¿VariableDeclarator¿¿1315¿comment¿¿¿{"start":{"line":14,"column":5},"end":{"line":14,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿VariableDeclarator
800¿MemberExpression¿¿1315¿¿¿¿{"start":{"line":14,"column":15},"end":{"line":14,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿MemberExpression
801¿Identifier¿¿1315¿options¿¿¿{"start":{"line":14,"column":15},"end":{"line":14,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Identifier
802¿Identifier¿¿1315¿comment¿¿¿{"start":{"line":14,"column":23},"end":{"line":14,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Identifier
803¿VariableDeclarator¿¿1315¿branch¿¿¿{"start":{"line":15,"column":5},"end":{"line":15,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿VariableDeclarator
804¿MemberExpression¿¿1315¿¿¿¿{"start":{"line":15,"column":14},"end":{"line":15,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿MemberExpression
805¿Identifier¿¿1315¿options¿¿¿{"start":{"line":15,"column":14},"end":{"line":15,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Identifier
806¿Identifier¿¿1315¿branch¿¿¿{"start":{"line":15,"column":22},"end":{"line":15,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Identifier
807¿VariableDeclarator¿¿1315¿v71¿¿¿{"start":{"line":17,"column":5},"end":{"line":17,"column":10},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿VariableDeclarator
808¿UnaryExpression¿!¿1315¿¿¿¿{"start":{"line":17,"column":5},"end":{"line":17,"column":10},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿UnaryExpression
809¿Identifier¿¿1315¿conf¿¿¿{"start":{"line":17,"column":6},"end":{"line":17,"column":10},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Identifier
810¿IfStatement¿¿1315¿¿¿¿{"start":{"line":17,"column":1},"end":{"line":20,"column":2},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿IfStatement
811¿Identifier¿¿1315¿v71¿¿¿¿¿Identifier
812¿VariableDeclarator¿¿1315¿v72¿¿¿{"start":{"line":18,"column":2},"end":{"line":18,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿VariableDeclarator
813¿CallExpression¿¿1315¿¿¿¿{"start":{"line":18,"column":2},"end":{"line":18,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿CallExpression
814¿MemberExpression¿¿1315¿¿¿¿{"start":{"line":18,"column":2},"end":{"line":18,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿MemberExpression
815¿Identifier¿¿1315¿console¿¿¿{"start":{"line":18,"column":2},"end":{"line":18,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Identifier
816¿Identifier¿¿1315¿log¿¿¿{"start":{"line":18,"column":10},"end":{"line":18,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Identifier
817¿Literal¿string¿1315¿¿'you must first login'¿¿{"start":{"line":18,"column":14},"end":{"line":18,"column":36},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Literal
818¿ExpressionStatement¿¿1315¿¿¿¿{"start":{"line":18,"column":2},"end":{"line":18,"column":38},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿ExpressionStatement
819¿Identifier¿¿1315¿v72¿¿¿¿¿Identifier
820¿ReturnStatement¿¿1315¿¿¿¿{"start":{"line":19,"column":2},"end":{"line":19,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿ReturnStatement
821¿BlockStatement¿¿1315¿¿¿¿{"start":{"line":17,"column":12},"end":{"line":20,"column":2},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿BlockStatement
822¿VariableDeclarator¿¿1315¿user¿¿¿{"start":{"line":21,"column":5},"end":{"line":21,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿VariableDeclarator
823¿MemberExpression¿¿1315¿¿¿¿{"start":{"line":21,"column":12},"end":{"line":21,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿MemberExpression
824¿Identifier¿¿1315¿conf¿¿¿{"start":{"line":21,"column":12},"end":{"line":21,"column":16},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Identifier
825¿Identifier¿¿1315¿user¿¿¿{"start":{"line":21,"column":17},"end":{"line":21,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Identifier
826¿VariableDeclarator¿¿1315¿v73¿¿¿{"start":{"line":22,"column":5},"end":{"line":22,"column":10},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿VariableDeclarator
827¿UnaryExpression¿!¿1315¿¿¿¿{"start":{"line":22,"column":5},"end":{"line":22,"column":10},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿UnaryExpression
828¿Identifier¿¿1315¿user¿¿¿{"start":{"line":22,"column":6},"end":{"line":22,"column":10},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Identifier
829¿IfStatement¿¿1315¿¿¿¿{"start":{"line":22,"column":1},"end":{"line":25,"column":2},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿IfStatement
830¿Identifier¿¿1315¿v73¿¿¿¿¿Identifier
831¿VariableDeclarator¿¿1315¿v74¿¿¿{"start":{"line":23,"column":2},"end":{"line":23,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿VariableDeclarator
832¿CallExpression¿¿1315¿¿¿¿{"start":{"line":23,"column":2},"end":{"line":23,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿CallExpression
833¿MemberExpression¿¿1315¿¿¿¿{"start":{"line":23,"column":2},"end":{"line":23,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿MemberExpression
834¿Identifier¿¿1315¿console¿¿¿{"start":{"line":23,"column":2},"end":{"line":23,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Identifier
835¿Identifier¿¿1315¿log¿¿¿{"start":{"line":23,"column":10},"end":{"line":23,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Identifier
836¿Literal¿string¿1315¿¿'you must first login'¿¿{"start":{"line":23,"column":14},"end":{"line":23,"column":36},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Literal
837¿ExpressionStatement¿¿1315¿¿¿¿{"start":{"line":23,"column":2},"end":{"line":23,"column":38},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿ExpressionStatement
838¿Identifier¿¿1315¿v74¿¿¿¿¿Identifier
839¿ReturnStatement¿¿1315¿¿¿¿{"start":{"line":24,"column":2},"end":{"line":24,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿ReturnStatement
840¿BlockStatement¿¿1315¿¿¿¿{"start":{"line":22,"column":12},"end":{"line":25,"column":2},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿BlockStatement
841¿VariableDeclarator¿¿1315¿v75¿¿¿{"start":{"line":26,"column":5},"end":{"line":26,"column":16},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿VariableDeclarator
842¿UnaryExpression¿!¿1315¿¿¿¿{"start":{"line":26,"column":5},"end":{"line":26,"column":16},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿UnaryExpression
843¿Identifier¿¿1315¿widgetName¿¿¿{"start":{"line":26,"column":6},"end":{"line":26,"column":16},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Identifier
844¿IfStatement¿¿1315¿¿¿¿{"start":{"line":26,"column":1},"end":{"line":29,"column":2},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿IfStatement
845¿Identifier¿¿1315¿v75¿¿¿¿¿Identifier
846¿VariableDeclarator¿¿1315¿v76¿¿¿{"start":{"line":27,"column":2},"end":{"line":27,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿VariableDeclarator
847¿CallExpression¿¿1315¿¿¿¿{"start":{"line":27,"column":2},"end":{"line":27,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿CallExpression
848¿MemberExpression¿¿1315¿¿¿¿{"start":{"line":27,"column":2},"end":{"line":27,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿MemberExpression
849¿Identifier¿¿1315¿console¿¿¿{"start":{"line":27,"column":2},"end":{"line":27,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Identifier
850¿Identifier¿¿1315¿log¿¿¿{"start":{"line":27,"column":10},"end":{"line":27,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Identifier
851¿Literal¿string¿1315¿¿'you must specify the widget'¿¿{"start":{"line":27,"column":14},"end":{"line":27,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Literal
852¿ExpressionStatement¿¿1315¿¿¿¿{"start":{"line":27,"column":2},"end":{"line":27,"column":45},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿ExpressionStatement
853¿Identifier¿¿1315¿v76¿¿¿¿¿Identifier
854¿ReturnStatement¿¿1315¿¿¿¿{"start":{"line":28,"column":2},"end":{"line":28,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿ReturnStatement
855¿BlockStatement¿¿1315¿¿¿¿{"start":{"line":26,"column":18},"end":{"line":29,"column":2},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿BlockStatement
856¿VariableDeclarator¿¿1315¿v77¿¿¿{"start":{"line":30,"column":5},"end":{"line":30,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿VariableDeclarator
857¿UnaryExpression¿!¿1315¿¿¿¿{"start":{"line":30,"column":5},"end":{"line":30,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿UnaryExpression
858¿Identifier¿¿1315¿env¿¿¿{"start":{"line":30,"column":6},"end":{"line":30,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Identifier
859¿IfStatement¿¿1315¿¿¿¿{"start":{"line":30,"column":1},"end":{"line":33,"column":2},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿IfStatement
860¿Identifier¿¿1315¿v77¿¿¿¿¿Identifier
861¿VariableDeclarator¿¿1315¿v78¿¿¿{"start":{"line":31,"column":2},"end":{"line":31,"column":62},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿VariableDeclarator
862¿CallExpression¿¿1315¿¿¿¿{"start":{"line":31,"column":2},"end":{"line":31,"column":62},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿CallExpression
863¿MemberExpression¿¿1315¿¿¿¿{"start":{"line":31,"column":2},"end":{"line":31,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿MemberExpression
864¿Identifier¿¿1315¿console¿¿¿{"start":{"line":31,"column":2},"end":{"line":31,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Identifier
865¿Identifier¿¿1315¿log¿¿¿{"start":{"line":31,"column":10},"end":{"line":31,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Identifier
866¿Literal¿string¿1315¿¿'you must specify the env {alpha|beta|product}'¿¿{"start":{"line":31,"column":14},"end":{"line":31,"column":61},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Literal
867¿ExpressionStatement¿¿1315¿¿¿¿{"start":{"line":31,"column":2},"end":{"line":31,"column":63},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿ExpressionStatement
868¿Identifier¿¿1315¿v78¿¿¿¿¿Identifier
869¿ReturnStatement¿¿1315¿¿¿¿{"start":{"line":32,"column":2},"end":{"line":32,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿ReturnStatement
870¿BlockStatement¿¿1315¿¿¿¿{"start":{"line":30,"column":11},"end":{"line":33,"column":2},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿BlockStatement
871¿VariableDeclarator¿¿1315¿v79¿¿¿{"start":{"line":34,"column":5},"end":{"line":34,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿VariableDeclarator
872¿UnaryExpression¿!¿1315¿¿¿¿{"start":{"line":34,"column":5},"end":{"line":34,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿UnaryExpression
873¿Identifier¿¿1315¿comment¿¿¿{"start":{"line":34,"column":6},"end":{"line":34,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Identifier
874¿IfStatement¿¿1315¿¿¿¿{"start":{"line":34,"column":1},"end":{"line":37,"column":2},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿IfStatement
875¿Identifier¿¿1315¿v79¿¿¿¿¿Identifier
876¿VariableDeclarator¿¿1315¿v80¿¿¿{"start":{"line":35,"column":2},"end":{"line":35,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿VariableDeclarator
877¿CallExpression¿¿1315¿¿¿¿{"start":{"line":35,"column":2},"end":{"line":35,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿CallExpression
878¿MemberExpression¿¿1315¿¿¿¿{"start":{"line":35,"column":2},"end":{"line":35,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿MemberExpression
879¿Identifier¿¿1315¿console¿¿¿{"start":{"line":35,"column":2},"end":{"line":35,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Identifier
880¿Identifier¿¿1315¿log¿¿¿{"start":{"line":35,"column":10},"end":{"line":35,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Identifier
881¿Literal¿string¿1315¿¿'you must enter the comment'¿¿{"start":{"line":35,"column":14},"end":{"line":35,"column":42},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Literal
882¿ExpressionStatement¿¿1315¿¿¿¿{"start":{"line":35,"column":2},"end":{"line":35,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿ExpressionStatement
883¿Identifier¿¿1315¿v80¿¿¿¿¿Identifier
884¿ReturnStatement¿¿1315¿¿¿¿{"start":{"line":36,"column":2},"end":{"line":36,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿ReturnStatement
885¿BlockStatement¿¿1315¿¿¿¿{"start":{"line":34,"column":15},"end":{"line":37,"column":2},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿BlockStatement
886¿VariableDeclarator¿¿1315¿v81¿¿¿{"start":{"line":38,"column":5},"end":{"line":38,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿VariableDeclarator
887¿UnaryExpression¿!¿1315¿¿¿¿{"start":{"line":38,"column":5},"end":{"line":38,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿UnaryExpression
888¿Identifier¿¿1315¿branch¿¿¿{"start":{"line":38,"column":6},"end":{"line":38,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Identifier
889¿IfStatement¿¿1315¿¿¿¿{"start":{"line":38,"column":1},"end":{"line":41,"column":2},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿IfStatement
890¿Identifier¿¿1315¿v81¿¿¿¿¿Identifier
891¿VariableDeclarator¿¿1315¿v82¿¿¿{"start":{"line":39,"column":2},"end":{"line":39,"column":42},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿VariableDeclarator
892¿CallExpression¿¿1315¿¿¿¿{"start":{"line":39,"column":2},"end":{"line":39,"column":42},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿CallExpression
893¿MemberExpression¿¿1315¿¿¿¿{"start":{"line":39,"column":2},"end":{"line":39,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿MemberExpression
894¿Identifier¿¿1315¿console¿¿¿{"start":{"line":39,"column":2},"end":{"line":39,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Identifier
895¿Identifier¿¿1315¿log¿¿¿{"start":{"line":39,"column":10},"end":{"line":39,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Identifier
896¿Literal¿string¿1315¿¿'you must specify a branch'¿¿{"start":{"line":39,"column":14},"end":{"line":39,"column":41},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿Literal
897¿ExpressionStatement¿¿1315¿¿¿¿{"start":{"line":39,"column":2},"end":{"line":39,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿ExpressionStatement
898¿Identifier¿¿1315¿v82¿¿¿¿¿Identifier
899¿ReturnStatement¿¿1315¿¿¿¿{"start":{"line":40,"column":2},"end":{"line":40,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿ReturnStatement
900¿BlockStatement¿¿1315¿¿¿¿{"start":{"line":38,"column":14},"end":{"line":41,"column":2},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿BlockStatement
901¿VariableDeclarator¿¿1315¿v83¿¿¿{"start":{"line":42,"column":1},"end":{"line":42,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿VariableDeclarator
902¿CallExpression¿¿1315¿¿¿¿{"start":{"line":42,"column":1},"end":{"line":42,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/wizard-sync.js"}¿¿CallExpression
