Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
576¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":79,"column":59},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Program
625¿Identifier¿¿1007¿i¿¿¿{"start":{"line":11,"column":24},"end":{"line":11,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Identifier
626¿SwitchStatement¿¿1007¿¿¿¿{"start":{"line":12,"column":1},"end":{"line":27,"column":2},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿SwitchStatement
627¿Identifier¿¿1007¿arg¿¿¿{"start":{"line":12,"column":9},"end":{"line":12,"column":12},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Identifier
628¿SwitchCase¿¿1007¿¿¿¿{"start":{"line":13,"column":2},"end":{"line":13,"column":15},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿SwitchCase
629¿Literal¿string¿1007¿¿'-port'¿¿{"start":{"line":13,"column":7},"end":{"line":13,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Literal
630¿SwitchCase¿¿1007¿¿¿¿{"start":{"line":14,"column":2},"end":{"line":16,"column":9},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿SwitchCase
631¿Literal¿string¿1007¿¿'-p'¿¿{"start":{"line":14,"column":7},"end":{"line":14,"column":11},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Literal
632¿VariableDeclarator¿¿1007¿v58¿¿¿{"start":{"line":15,"column":10},"end":{"line":15,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿VariableDeclarator
633¿MemberExpression¿¿1007¿¿¿¿{"start":{"line":15,"column":10},"end":{"line":15,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿MemberExpression
634¿Identifier¿¿1007¿process¿¿¿{"start":{"line":15,"column":10},"end":{"line":15,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Identifier
635¿Identifier¿¿1007¿argv¿¿¿{"start":{"line":15,"column":18},"end":{"line":15,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Identifier
636¿VariableDeclarator¿¿1007¿v59¿¿¿{"start":{"line":15,"column":23},"end":{"line":15,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿VariableDeclarator
637¿BinaryExpression¿+¿1007¿¿¿¿{"start":{"line":15,"column":23},"end":{"line":15,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿BinaryExpression
638¿Identifier¿¿1007¿i¿¿¿{"start":{"line":15,"column":23},"end":{"line":15,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Identifier
639¿Literal¿number¿1007¿¿1¿¿{"start":{"line":15,"column":25},"end":{"line":15,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Literal
640¿ExpressionStatement¿¿1007¿¿¿¿{"start":{"line":15,"column":3},"end":{"line":15,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿ExpressionStatement
641¿AssignmentExpression¿=¿1007¿¿¿¿{"start":{"line":15,"column":3},"end":{"line":15,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿AssignmentExpression
642¿Identifier¿¿1007¿port¿¿¿{"start":{"line":15,"column":3},"end":{"line":15,"column":7},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Identifier
643¿MemberExpression¿computed¿1007¿¿¿¿{"start":{"line":15,"column":10},"end":{"line":15,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿MemberExpression
644¿Identifier¿¿1007¿v58¿¿¿¿¿Identifier
645¿Identifier¿¿1007¿v59¿¿¿¿¿Identifier
646¿BreakStatement¿¿1007¿¿¿¿{"start":{"line":16,"column":3},"end":{"line":16,"column":9},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿BreakStatement
647¿SwitchCase¿¿1007¿¿¿¿{"start":{"line":17,"column":2},"end":{"line":17,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿SwitchCase
648¿Literal¿string¿1007¿¿'-dir'¿¿{"start":{"line":17,"column":7},"end":{"line":17,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Literal
649¿SwitchCase¿¿1007¿¿¿¿{"start":{"line":18,"column":2},"end":{"line":20,"column":9},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿SwitchCase
650¿Literal¿string¿1007¿¿'-d'¿¿{"start":{"line":18,"column":7},"end":{"line":18,"column":11},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Literal
651¿VariableDeclarator¿¿1007¿v60¿¿¿{"start":{"line":19,"column":9},"end":{"line":19,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿VariableDeclarator
652¿MemberExpression¿¿1007¿¿¿¿{"start":{"line":19,"column":9},"end":{"line":19,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿MemberExpression
653¿Identifier¿¿1007¿process¿¿¿{"start":{"line":19,"column":9},"end":{"line":19,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Identifier
654¿Identifier¿¿1007¿argv¿¿¿{"start":{"line":19,"column":17},"end":{"line":19,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Identifier
655¿VariableDeclarator¿¿1007¿v61¿¿¿{"start":{"line":19,"column":22},"end":{"line":19,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿VariableDeclarator
656¿BinaryExpression¿+¿1007¿¿¿¿{"start":{"line":19,"column":22},"end":{"line":19,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿BinaryExpression
657¿Identifier¿¿1007¿i¿¿¿{"start":{"line":19,"column":22},"end":{"line":19,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Identifier
658¿Literal¿number¿1007¿¿1¿¿{"start":{"line":19,"column":24},"end":{"line":19,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Literal
659¿ExpressionStatement¿¿1007¿¿¿¿{"start":{"line":19,"column":3},"end":{"line":19,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿ExpressionStatement
660¿AssignmentExpression¿=¿1007¿¿¿¿{"start":{"line":19,"column":3},"end":{"line":19,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿AssignmentExpression
661¿Identifier¿¿1007¿cwd¿¿¿{"start":{"line":19,"column":3},"end":{"line":19,"column":6},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Identifier
662¿MemberExpression¿computed¿1007¿¿¿¿{"start":{"line":19,"column":9},"end":{"line":19,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿MemberExpression
663¿Identifier¿¿1007¿v60¿¿¿¿¿Identifier
664¿Identifier¿¿1007¿v61¿¿¿¿¿Identifier
665¿BreakStatement¿¿1007¿¿¿¿{"start":{"line":20,"column":3},"end":{"line":20,"column":9},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿BreakStatement
666¿SwitchCase¿¿1007¿¿¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿SwitchCase
667¿Literal¿string¿1007¿¿'-log'¿¿{"start":{"line":21,"column":7},"end":{"line":21,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Literal
668¿SwitchCase¿¿1007¿¿¿¿{"start":{"line":22,"column":2},"end":{"line":24,"column":9},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿SwitchCase
669¿Literal¿string¿1007¿¿'-l'¿¿{"start":{"line":22,"column":7},"end":{"line":22,"column":11},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Literal
670¿ExpressionStatement¿¿1007¿¿¿¿{"start":{"line":23,"column":3},"end":{"line":23,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿ExpressionStatement
671¿AssignmentExpression¿=¿1007¿¿¿¿{"start":{"line":23,"column":3},"end":{"line":23,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿AssignmentExpression
672¿Identifier¿¿1007¿logging¿¿¿{"start":{"line":23,"column":3},"end":{"line":23,"column":10},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Identifier
673¿Literal¿boolean¿1007¿¿true¿¿{"start":{"line":23,"column":13},"end":{"line":23,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Literal
674¿BreakStatement¿¿1007¿¿¿¿{"start":{"line":24,"column":3},"end":{"line":24,"column":9},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿BreakStatement
675¿SwitchCase¿¿1007¿¿¿¿{"start":{"line":25,"column":2},"end":{"line":26,"column":9},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿SwitchCase
676¿BreakStatement¿¿1007¿¿¿¿{"start":{"line":26,"column":3},"end":{"line":26,"column":9},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿BreakStatement
677¿VariableDeclarator¿¿1007¿v56¿¿¿{"start":{"line":10,"column":40},"end":{"line":10,"column":43},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿VariableDeclarator
678¿UpdateExpression¿¿1007¿¿¿¿{"start":{"line":10,"column":40},"end":{"line":10,"column":43},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿UpdateExpression
679¿Identifier¿¿1007¿i¿¿¿{"start":{"line":10,"column":40},"end":{"line":10,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Identifier
680¿ExpressionStatement¿¿1007¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":28,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿ExpressionStatement
681¿AssignmentExpression¿=¿1007¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":28,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿AssignmentExpression
682¿Identifier¿¿1007¿v55¿¿¿{"start":{"line":10,"column":0},"end":{"line":28,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Identifier
683¿BinaryExpression¿<¿1007¿¿¿¿{"start":{"line":10,"column":15},"end":{"line":10,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿BinaryExpression
684¿Identifier¿¿1007¿i¿¿¿{"start":{"line":10,"column":15},"end":{"line":10,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Identifier
685¿Identifier¿¿1007¿v54¿¿¿¿¿Identifier
686¿BlockStatement¿¿1007¿¿¿¿¿¿BlockStatement
687¿VariableDeclarator¿¿1007¿v100¿¿¿{"start":{"line":30,"column":18},"end":{"line":77,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿VariableDeclarator
688¿FunctionExpression¿¿1007¿anon¿¿¿{"start":{"line":30,"column":18},"end":{"line":77,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿FunctionExpression
689¿Identifier¿¿0¿request¿¿¿{"start":{"line":30,"column":27},"end":{"line":30,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Identifier
690¿Identifier¿¿0¿response¿¿¿{"start":{"line":30,"column":36},"end":{"line":30,"column":44},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Identifier
691¿VariableDeclarator¿¿1018¿v62¿¿¿{"start":{"line":32,"column":22},"end":{"line":32,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿VariableDeclarator
692¿MemberExpression¿¿1018¿¿¿¿{"start":{"line":32,"column":22},"end":{"line":32,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿MemberExpression
693¿Identifier¿¿1018¿request¿¿¿{"start":{"line":32,"column":22},"end":{"line":32,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Identifier
694¿Identifier¿¿1018¿url¿¿¿{"start":{"line":32,"column":30},"end":{"line":32,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Identifier
695¿VariableDeclarator¿¿1018¿v63¿¿¿{"start":{"line":32,"column":12},"end":{"line":32,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿VariableDeclarator
696¿CallExpression¿¿1018¿¿¿¿{"start":{"line":32,"column":12},"end":{"line":32,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿CallExpression
697¿MemberExpression¿¿1018¿¿¿¿{"start":{"line":32,"column":12},"end":{"line":32,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿MemberExpression
698¿Identifier¿¿1018¿url¿¿¿{"start":{"line":32,"column":12},"end":{"line":32,"column":15},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Identifier
699¿Identifier¿¿1018¿parse¿¿¿{"start":{"line":32,"column":16},"end":{"line":32,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Identifier
700¿Identifier¿¿1018¿v62¿¿¿¿¿Identifier
701¿VariableDeclarator¿¿1018¿uri¿¿¿{"start":{"line":32,"column":6},"end":{"line":32,"column":43},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿VariableDeclarator
702¿MemberExpression¿¿1018¿¿¿¿{"start":{"line":32,"column":12},"end":{"line":32,"column":43},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿MemberExpression
703¿Identifier¿¿1018¿v63¿¿¿¿¿Identifier
704¿Identifier¿¿1018¿pathname¿¿¿{"start":{"line":32,"column":35},"end":{"line":32,"column":43},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Identifier
705¿VariableDeclarator¿¿1018¿filename¿¿¿{"start":{"line":33,"column":6},"end":{"line":33,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿VariableDeclarator
706¿CallExpression¿¿1018¿¿¿¿{"start":{"line":33,"column":17},"end":{"line":33,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿CallExpression
707¿MemberExpression¿¿1018¿¿¿¿{"start":{"line":33,"column":17},"end":{"line":33,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿MemberExpression
708¿Identifier¿¿1018¿path¿¿¿{"start":{"line":33,"column":17},"end":{"line":33,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Identifier
709¿Identifier¿¿1018¿join¿¿¿{"start":{"line":33,"column":22},"end":{"line":33,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Identifier
710¿Identifier¿¿1018¿cwd¿¿¿{"start":{"line":33,"column":27},"end":{"line":33,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Identifier
711¿Identifier¿¿1018¿uri¿¿¿{"start":{"line":33,"column":32},"end":{"line":33,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿Identifier
712¿IfStatement¿¿1018¿¿¿¿{"start":{"line":35,"column":4},"end":{"line":36,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/goserv_1.0.0/src/goserv.js"}¿¿IfStatement
