Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
707¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":114,"column":26},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Program
732¿FunctionExpression¿¿1250¿anon¿¿¿{"start":{"line":7,"column":1},"end":{"line":12,"column":2},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿FunctionExpression
733¿Identifier¿¿0¿value¿¿¿{"start":{"line":7,"column":21},"end":{"line":7,"column":26},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Identifier
734¿Identifier¿¿0¿message¿¿¿{"start":{"line":7,"column":28},"end":{"line":7,"column":35},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Identifier
735¿VariableDeclarator¿¿1252¿v65¿¿¿{"start":{"line":9,"column":5},"end":{"line":9,"column":17},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿VariableDeclarator
736¿UnaryExpression¿typeof¿1252¿¿¿¿{"start":{"line":9,"column":5},"end":{"line":9,"column":17},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿UnaryExpression
737¿Identifier¿¿1252¿value¿¿¿{"start":{"line":9,"column":12},"end":{"line":9,"column":17},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Identifier
738¿VariableDeclarator¿¿1252¿v66¿¿¿{"start":{"line":9,"column":5},"end":{"line":9,"column":32},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿VariableDeclarator
739¿BinaryExpression¿==¿1252¿¿¿¿{"start":{"line":9,"column":5},"end":{"line":9,"column":32},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿BinaryExpression
740¿Identifier¿¿1252¿v65¿¿¿¿¿Identifier
741¿Literal¿string¿1252¿¿'undefined'¿¿{"start":{"line":9,"column":21},"end":{"line":9,"column":32},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Literal
742¿VariableDeclarator¿¿1252¿v67¿¿¿{"start":{"line":9,"column":36},"end":{"line":9,"column":42},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿VariableDeclarator
743¿UnaryExpression¿!¿1252¿¿¿¿{"start":{"line":9,"column":36},"end":{"line":9,"column":42},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿UnaryExpression
744¿Identifier¿¿1252¿value¿¿¿{"start":{"line":9,"column":37},"end":{"line":9,"column":42},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Identifier
745¿VariableDeclarator¿¿1252¿v68¿¿¿{"start":{"line":9,"column":5},"end":{"line":9,"column":42},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿VariableDeclarator
746¿LogicalExpression¿||¿1252¿¿¿¿{"start":{"line":9,"column":5},"end":{"line":9,"column":42},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿LogicalExpression
747¿Identifier¿¿1252¿v66¿¿¿¿¿Identifier
748¿Identifier¿¿1252¿v67¿¿¿¿¿Identifier
749¿IfStatement¿¿1252¿¿¿¿{"start":{"line":9,"column":2},"end":{"line":11,"column":3},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿IfStatement
750¿Identifier¿¿1252¿v68¿¿¿¿¿Identifier
751¿VariableDeclarator¿¿1252¿v69¿¿¿{"start":{"line":10,"column":9},"end":{"line":10,"column":27},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿VariableDeclarator
752¿NewExpression¿¿1252¿¿¿¿{"start":{"line":10,"column":9},"end":{"line":10,"column":27},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿NewExpression
753¿Identifier¿¿1252¿Error¿¿¿{"start":{"line":10,"column":13},"end":{"line":10,"column":18},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Identifier
754¿Identifier¿¿1252¿message¿¿¿{"start":{"line":10,"column":19},"end":{"line":10,"column":26},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Identifier
755¿ThrowStatement¿¿1252¿¿¿¿{"start":{"line":10,"column":3},"end":{"line":10,"column":27},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿ThrowStatement
756¿Identifier¿¿1252¿v69¿¿¿¿¿Identifier
757¿BlockStatement¿¿1252¿¿¿¿{"start":{"line":9,"column":43},"end":{"line":11,"column":3},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿BlockStatement
758¿BlockStatement¿¿1252¿¿¿¿{"start":{"line":8,"column":1},"end":{"line":12,"column":2},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿BlockStatement
759¿VariableDeclarator¿¿1250¿v96¿¿¿{"start":{"line":14,"column":1},"end":{"line":61,"column":2},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿VariableDeclarator
760¿FunctionExpression¿¿1250¿anon¿¿¿{"start":{"line":14,"column":25},"end":{"line":61,"column":2},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿FunctionExpression
761¿Identifier¿¿0¿key¿¿¿{"start":{"line":14,"column":35},"end":{"line":14,"column":38},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Identifier
762¿Identifier¿¿0¿properties¿¿¿{"start":{"line":14,"column":40},"end":{"line":14,"column":50},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Identifier
763¿Identifier¿¿0¿baseObject¿¿¿{"start":{"line":14,"column":52},"end":{"line":14,"column":62},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Identifier
764¿Identifier¿¿0¿eval_dict¿¿¿{"start":{"line":14,"column":64},"end":{"line":14,"column":73},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Identifier
765¿VariableDeclarator¿¿1255¿get_eval_string¿¿¿{"start":{"line":16,"column":2},"end":{"line":19,"column":3},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿VariableDeclarator
766¿FunctionExpression¿¿1255¿anon¿¿¿{"start":{"line":16,"column":2},"end":{"line":19,"column":3},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿FunctionExpression
767¿Identifier¿¿0¿path¿¿¿{"start":{"line":16,"column":27},"end":{"line":16,"column":31},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Identifier
768¿VariableDeclarator¿¿1257¿v70¿¿¿{"start":{"line":17,"column":19},"end":{"line":17,"column":52},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿VariableDeclarator
769¿CallExpression¿¿1257¿¿¿¿{"start":{"line":17,"column":19},"end":{"line":17,"column":52},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿CallExpression
770¿MemberExpression¿¿1257¿¿¿¿{"start":{"line":17,"column":19},"end":{"line":17,"column":29},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿MemberExpression
771¿Identifier¿¿1257¿path¿¿¿{"start":{"line":17,"column":19},"end":{"line":17,"column":23},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Identifier
772¿Identifier¿¿1257¿match¿¿¿{"start":{"line":17,"column":24},"end":{"line":17,"column":29},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Identifier
773¿Literal¿object¿1257¿¿/\*([a-zA-Z_0-9]+)\*/¿¿{"start":{"line":17,"column":30},"end":{"line":17,"column":51},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Literal
774¿VariableDeclarator¿¿1257¿eval_prop¿¿¿{"start":{"line":17,"column":7},"end":{"line":17,"column":55},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿VariableDeclarator
775¿MemberExpression¿computed¿1257¿¿¿¿{"start":{"line":17,"column":19},"end":{"line":17,"column":55},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿MemberExpression
776¿Identifier¿¿1257¿v70¿¿¿¿¿Identifier
777¿Literal¿number¿1257¿¿1¿¿{"start":{"line":17,"column":53},"end":{"line":17,"column":54},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Literal
778¿VariableDeclarator¿¿1257¿v71¿¿¿{"start":{"line":18,"column":10},"end":{"line":18,"column":33},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿VariableDeclarator
779¿BinaryExpression¿+¿1257¿¿¿¿{"start":{"line":18,"column":10},"end":{"line":18,"column":33},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿BinaryExpression
780¿Literal¿string¿1257¿¿'eval_dict[''¿¿{"start":{"line":18,"column":10},"end":{"line":18,"column":23},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Literal
781¿Identifier¿¿1257¿eval_prop¿¿¿{"start":{"line":18,"column":24},"end":{"line":18,"column":33},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Identifier
782¿VariableDeclarator¿¿1257¿v72¿¿¿{"start":{"line":18,"column":10},"end":{"line":18,"column":38},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿VariableDeclarator
783¿BinaryExpression¿+¿1257¿¿¿¿{"start":{"line":18,"column":10},"end":{"line":18,"column":38},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿BinaryExpression
784¿Identifier¿¿1257¿v71¿¿¿¿¿Identifier
785¿Literal¿string¿1257¿¿'']'¿¿{"start":{"line":18,"column":34},"end":{"line":18,"column":38},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Literal
786¿VariableDeclarator¿¿1257¿v73¿¿¿{"start":{"line":18,"column":41},"end":{"line":18,"column":78},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿VariableDeclarator
787¿CallExpression¿¿1257¿¿¿¿{"start":{"line":18,"column":41},"end":{"line":18,"column":78},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿CallExpression
788¿MemberExpression¿¿1257¿¿¿¿{"start":{"line":18,"column":41},"end":{"line":18,"column":53},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿MemberExpression
789¿Identifier¿¿1257¿path¿¿¿{"start":{"line":18,"column":41},"end":{"line":18,"column":45},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Identifier
790¿Identifier¿¿1257¿replace¿¿¿{"start":{"line":18,"column":46},"end":{"line":18,"column":53},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Identifier
791¿Literal¿object¿1257¿¿/\*[a-zA-Z_0-9]+\*/¿¿{"start":{"line":18,"column":54},"end":{"line":18,"column":73},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Literal
792¿Literal¿string¿1257¿¿''¿¿{"start":{"line":18,"column":75},"end":{"line":18,"column":77},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Literal
793¿VariableDeclarator¿¿1257¿v74¿¿¿{"start":{"line":18,"column":10},"end":{"line":18,"column":78},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿VariableDeclarator
794¿BinaryExpression¿+¿1257¿¿¿¿{"start":{"line":18,"column":10},"end":{"line":18,"column":78},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿BinaryExpression
795¿Identifier¿¿1257¿v72¿¿¿¿¿Identifier
796¿Identifier¿¿1257¿v73¿¿¿¿¿Identifier
797¿ReturnStatement¿¿1257¿¿¿¿{"start":{"line":18,"column":3},"end":{"line":18,"column":79},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿ReturnStatement
798¿Identifier¿¿1257¿v74¿¿¿¿¿Identifier
799¿BlockStatement¿¿1257¿¿¿¿{"start":{"line":16,"column":33},"end":{"line":19,"column":3},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿BlockStatement
800¿VariableDeclarator¿¿1255¿propertyBase¿¿¿{"start":{"line":21,"column":6},"end":{"line":21,"column":28},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿VariableDeclarator
801¿ObjectExpression¿¿1255¿¿¿¿¿¿ObjectExpression
802¿IfStatement¿¿1255¿¿¿¿{"start":{"line":22,"column":2},"end":{"line":28,"column":6},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿IfStatement
803¿Identifier¿¿1255¿properties¿¿¿{"start":{"line":22,"column":5},"end":{"line":22,"column":15},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Identifier
804¿VariableDeclarator¿¿1255¿v75¿¿¿{"start":{"line":23,"column":23},"end":{"line":23,"column":38},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿VariableDeclarator
805¿MemberExpression¿computed¿1255¿¿¿¿{"start":{"line":23,"column":23},"end":{"line":23,"column":38},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿MemberExpression
806¿Identifier¿¿1255¿baseObject¿¿¿{"start":{"line":23,"column":23},"end":{"line":23,"column":33},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Identifier
807¿Identifier¿¿1255¿key¿¿¿{"start":{"line":23,"column":34},"end":{"line":23,"column":37},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Identifier
808¿VariableDeclarator¿¿1255¿v76¿¿¿{"start":{"line":23,"column":42},"end":{"line":23,"column":44},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿VariableDeclarator
809¿ObjectExpression¿¿1255¿¿¿¿{"start":{"line":23,"column":42},"end":{"line":23,"column":44},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿ObjectExpression
810¿ExpressionStatement¿¿1255¿¿¿¿{"start":{"line":23,"column":5},"end":{"line":23,"column":45},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿ExpressionStatement
811¿AssignmentExpression¿=¿1255¿¿¿¿{"start":{"line":23,"column":5},"end":{"line":23,"column":44},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿AssignmentExpression
812¿MemberExpression¿computed¿1255¿¿¿¿{"start":{"line":23,"column":5},"end":{"line":23,"column":20},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿MemberExpression
813¿Identifier¿¿1255¿baseObject¿¿¿{"start":{"line":23,"column":5},"end":{"line":23,"column":15},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Identifier
814¿Identifier¿¿1255¿key¿¿¿{"start":{"line":23,"column":16},"end":{"line":23,"column":19},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Identifier
815¿LogicalExpression¿||¿1255¿¿¿¿{"start":{"line":23,"column":23},"end":{"line":23,"column":44},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿LogicalExpression
816¿Identifier¿¿1255¿v75¿¿¿¿¿Identifier
817¿Identifier¿¿1255¿v76¿¿¿¿¿Identifier
818¿ExpressionStatement¿¿1255¿¿¿¿{"start":{"line":24,"column":5},"end":{"line":24,"column":44},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿ExpressionStatement
819¿AssignmentExpression¿=¿1255¿¿¿¿{"start":{"line":24,"column":5},"end":{"line":24,"column":43},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿AssignmentExpression
820¿Identifier¿¿1255¿propertyBase¿¿¿{"start":{"line":24,"column":5},"end":{"line":24,"column":17},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Identifier
821¿MemberExpression¿computed¿1255¿¿¿¿{"start":{"line":24,"column":28},"end":{"line":24,"column":43},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿MemberExpression
822¿Identifier¿¿1255¿baseObject¿¿¿{"start":{"line":24,"column":28},"end":{"line":24,"column":38},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Identifier
823¿Identifier¿¿1255¿key¿¿¿{"start":{"line":24,"column":39},"end":{"line":24,"column":42},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Identifier
824¿BlockStatement¿¿1255¿¿¿¿{"start":{"line":22,"column":16},"end":{"line":25,"column":6},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿BlockStatement
825¿ExpressionStatement¿¿1255¿¿¿¿{"start":{"line":26,"column":6},"end":{"line":26,"column":32},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿ExpressionStatement
826¿AssignmentExpression¿=¿1255¿¿¿¿{"start":{"line":26,"column":6},"end":{"line":26,"column":31},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿AssignmentExpression
827¿Identifier¿¿1255¿propertyBase¿¿¿{"start":{"line":26,"column":6},"end":{"line":26,"column":18},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Identifier
828¿Identifier¿¿1255¿baseObject¿¿¿{"start":{"line":26,"column":21},"end":{"line":26,"column":31},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Identifier
829¿ExpressionStatement¿¿1255¿¿¿¿{"start":{"line":27,"column":6},"end":{"line":27,"column":23},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿ExpressionStatement
830¿AssignmentExpression¿=¿1255¿¿¿¿{"start":{"line":27,"column":6},"end":{"line":27,"column":22},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿AssignmentExpression
831¿Identifier¿¿1255¿properties¿¿¿{"start":{"line":27,"column":6},"end":{"line":27,"column":16},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Identifier
832¿Identifier¿¿1255¿key¿¿¿{"start":{"line":27,"column":19},"end":{"line":27,"column":22},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿Identifier
833¿BlockStatement¿¿1255¿¿¿¿{"start":{"line":25,"column":10},"end":{"line":28,"column":6},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿BlockStatement
834¿ExpressionStatement¿¿1255¿¿¿¿{"start":{"line":29,"column":2},"end":{"line":29,"column":48},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-j665-rvj7-2jv9/src/mosc.js"}¿¿ExpressionStatement
