Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
792¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":106,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Program
803¿Identifier¿¿0¿request¿¿¿{"start":{"line":3,"column":43},"end":{"line":3,"column":50},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
804¿Identifier¿¿0¿response¿¿¿{"start":{"line":3,"column":52},"end":{"line":3,"column":60},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
805¿Identifier¿¿0¿callback¿¿¿{"start":{"line":3,"column":61},"end":{"line":3,"column":69},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
806¿VariableDeclarator¿¿1369¿v60¿¿¿{"start":{"line":5,"column":2},"end":{"line":5,"column":44},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿VariableDeclarator
807¿CallExpression¿¿1369¿¿¿¿{"start":{"line":5,"column":2},"end":{"line":5,"column":44},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿CallExpression
808¿MemberExpression¿¿1369¿¿¿¿{"start":{"line":5,"column":2},"end":{"line":5,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿MemberExpression
809¿Identifier¿¿1369¿require¿¿¿{"start":{"line":5,"column":2},"end":{"line":5,"column":9},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
810¿Identifier¿¿1369¿resolve¿¿¿{"start":{"line":5,"column":10},"end":{"line":5,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
811¿Literal¿string¿1369¿¿'api-proxy/lib/static.js'¿¿{"start":{"line":5,"column":18},"end":{"line":5,"column":43},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Literal
812¿VariableDeclarator¿¿1369¿root¿¿¿{"start":{"line":4,"column":5},"end":{"line":7,"column":2},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿VariableDeclarator
813¿CallExpression¿¿1369¿¿¿¿{"start":{"line":4,"column":12},"end":{"line":7,"column":2},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿CallExpression
814¿MemberExpression¿¿1369¿¿¿¿{"start":{"line":4,"column":12},"end":{"line":4,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿MemberExpression
815¿Identifier¿¿1369¿Path¿¿¿{"start":{"line":4,"column":12},"end":{"line":4,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
816¿Identifier¿¿1369¿resolve¿¿¿{"start":{"line":4,"column":17},"end":{"line":4,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
817¿Identifier¿¿1369¿v60¿¿¿¿¿Identifier
818¿Literal¿string¿1369¿¿'../../www'¿¿{"start":{"line":6,"column":2},"end":{"line":6,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Literal
819¿VariableDeclarator¿¿1369¿v61¿¿¿{"start":{"line":9,"column":11},"end":{"line":9,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿VariableDeclarator
820¿MemberExpression¿¿1369¿¿¿¿{"start":{"line":9,"column":11},"end":{"line":9,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿MemberExpression
821¿Identifier¿¿1369¿request¿¿¿{"start":{"line":9,"column":11},"end":{"line":9,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
822¿Identifier¿¿1369¿url¿¿¿{"start":{"line":9,"column":19},"end":{"line":9,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
823¿VariableDeclarator¿¿1369¿url¿¿¿{"start":{"line":9,"column":5},"end":{"line":9,"column":48},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿VariableDeclarator
824¿CallExpression¿¿1369¿¿¿¿{"start":{"line":9,"column":11},"end":{"line":9,"column":48},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿CallExpression
825¿MemberExpression¿¿1369¿¿¿¿{"start":{"line":9,"column":11},"end":{"line":9,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿MemberExpression
826¿Identifier¿¿1369¿v61¿¿¿¿¿Identifier
827¿Identifier¿¿1369¿replace¿¿¿{"start":{"line":9,"column":23},"end":{"line":9,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
828¿Literal¿object¿1369¿¿/[?#][\s\S]*/¿¿{"start":{"line":9,"column":31},"end":{"line":9,"column":44},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Literal
829¿Literal¿string¿1369¿¿''¿¿{"start":{"line":9,"column":45},"end":{"line":9,"column":47},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Literal
830¿VariableDeclarator¿¿1369¿filepath¿¿¿{"start":{"line":10,"column":5},"end":{"line":10,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿VariableDeclarator
831¿CallExpression¿¿1369¿¿¿¿{"start":{"line":10,"column":16},"end":{"line":10,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿CallExpression
832¿MemberExpression¿¿1369¿¿¿¿{"start":{"line":10,"column":16},"end":{"line":10,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿MemberExpression
833¿Identifier¿¿1369¿Path¿¿¿{"start":{"line":10,"column":16},"end":{"line":10,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
834¿Identifier¿¿1369¿join¿¿¿{"start":{"line":10,"column":21},"end":{"line":10,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
835¿Identifier¿¿1369¿root¿¿¿{"start":{"line":10,"column":26},"end":{"line":10,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
836¿Identifier¿¿1369¿url¿¿¿{"start":{"line":10,"column":31},"end":{"line":10,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
837¿VariableDeclarator¿¿1369¿v69¿¿¿{"start":{"line":14,"column":18},"end":{"line":24,"column":2},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿VariableDeclarator
838¿FunctionExpression¿¿1369¿anon¿¿¿{"start":{"line":14,"column":18},"end":{"line":24,"column":2},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿FunctionExpression
839¿Identifier¿¿0¿error¿¿¿{"start":{"line":14,"column":27},"end":{"line":14,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
840¿Identifier¿¿0¿stats¿¿¿{"start":{"line":14,"column":33},"end":{"line":14,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
841¿VariableDeclarator¿¿1371¿v62¿¿¿{"start":{"line":15,"column":17},"end":{"line":15,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿VariableDeclarator
842¿CallExpression¿¿1371¿¿¿¿{"start":{"line":15,"column":17},"end":{"line":15,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿CallExpression
843¿MemberExpression¿¿1371¿¿¿¿{"start":{"line":15,"column":17},"end":{"line":15,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿MemberExpression
844¿Identifier¿¿1371¿stats¿¿¿{"start":{"line":15,"column":17},"end":{"line":15,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
845¿Identifier¿¿1371¿isDirectory¿¿¿{"start":{"line":15,"column":23},"end":{"line":15,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
846¿VariableDeclarator¿¿1371¿v63¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿VariableDeclarator
847¿LogicalExpression¿&&¿1371¿¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿LogicalExpression
848¿Identifier¿¿1371¿stats¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
849¿Identifier¿¿1371¿v62¿¿¿¿¿Identifier
850¿IfStatement¿¿1371¿¿¿¿{"start":{"line":15,"column":5},"end":{"line":17,"column":6},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿IfStatement
851¿Identifier¿¿1371¿v63¿¿¿¿¿Identifier
852¿VariableDeclarator¿¿1371¿v64¿¿¿{"start":{"line":16,"column":13},"end":{"line":16,"column":48},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿VariableDeclarator
853¿CallExpression¿¿1371¿¿¿¿{"start":{"line":16,"column":13},"end":{"line":16,"column":48},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿CallExpression
854¿Identifier¿¿1371¿writeDir¿¿¿{"start":{"line":16,"column":13},"end":{"line":16,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
855¿Identifier¿¿1371¿request¿¿¿{"start":{"line":16,"column":22},"end":{"line":16,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
856¿Identifier¿¿1371¿response¿¿¿{"start":{"line":16,"column":30},"end":{"line":16,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
857¿Identifier¿¿1371¿filepath¿¿¿{"start":{"line":16,"column":39},"end":{"line":16,"column":47},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
858¿ReturnStatement¿¿1371¿¿¿¿{"start":{"line":16,"column":6},"end":{"line":16,"column":49},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿ReturnStatement
859¿Identifier¿¿1371¿v64¿¿¿¿¿Identifier
860¿BlockStatement¿¿1371¿¿¿¿{"start":{"line":15,"column":37},"end":{"line":17,"column":6},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿BlockStatement
861¿VariableDeclarator¿¿1371¿v65¿¿¿{"start":{"line":18,"column":17},"end":{"line":18,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿VariableDeclarator
862¿UnaryExpression¿!¿1371¿¿¿¿{"start":{"line":18,"column":17},"end":{"line":18,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿UnaryExpression
863¿Identifier¿¿1371¿error¿¿¿{"start":{"line":18,"column":18},"end":{"line":18,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
864¿VariableDeclarator¿¿1371¿v66¿¿¿{"start":{"line":18,"column":8},"end":{"line":18,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿VariableDeclarator
865¿LogicalExpression¿&&¿1371¿¿¿¿{"start":{"line":18,"column":8},"end":{"line":18,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿LogicalExpression
866¿Identifier¿¿1371¿stats¿¿¿{"start":{"line":18,"column":8},"end":{"line":18,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
867¿Identifier¿¿1371¿v65¿¿¿¿¿Identifier
868¿IfStatement¿¿1371¿¿¿¿{"start":{"line":18,"column":5},"end":{"line":23,"column":6},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿IfStatement
869¿Identifier¿¿1371¿v66¿¿¿¿¿Identifier
870¿VariableDeclarator¿¿1371¿v67¿¿¿{"start":{"line":19,"column":6},"end":{"line":19,"column":42},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿VariableDeclarator
871¿CallExpression¿¿1371¿¿¿¿{"start":{"line":19,"column":6},"end":{"line":19,"column":42},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿CallExpression
872¿Identifier¿¿1371¿writeFile¿¿¿{"start":{"line":19,"column":6},"end":{"line":19,"column":15},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
873¿Identifier¿¿1371¿request¿¿¿{"start":{"line":19,"column":16},"end":{"line":19,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
874¿Identifier¿¿1371¿response¿¿¿{"start":{"line":19,"column":24},"end":{"line":19,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
875¿Identifier¿¿1371¿filepath¿¿¿{"start":{"line":19,"column":33},"end":{"line":19,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
876¿ExpressionStatement¿¿1371¿¿¿¿{"start":{"line":19,"column":6},"end":{"line":19,"column":43},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿ExpressionStatement
877¿Identifier¿¿1371¿v67¿¿¿¿¿Identifier
878¿BlockStatement¿¿1371¿¿¿¿{"start":{"line":18,"column":24},"end":{"line":20,"column":6},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿BlockStatement
879¿VariableDeclarator¿¿1371¿v68¿¿¿{"start":{"line":21,"column":6},"end":{"line":21,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿VariableDeclarator
880¿CallExpression¿¿1371¿¿¿¿{"start":{"line":21,"column":6},"end":{"line":21,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿CallExpression
881¿Identifier¿¿1371¿callback¿¿¿{"start":{"line":21,"column":6},"end":{"line":21,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
882¿Identifier¿¿1371¿request¿¿¿{"start":{"line":21,"column":15},"end":{"line":21,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
883¿Identifier¿¿1371¿response¿¿¿{"start":{"line":21,"column":23},"end":{"line":21,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
884¿ExpressionStatement¿¿1371¿¿¿¿{"start":{"line":21,"column":6},"end":{"line":21,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿ExpressionStatement
885¿Identifier¿¿1371¿v68¿¿¿¿¿Identifier
886¿BlockStatement¿¿1371¿¿¿¿{"start":{"line":20,"column":10},"end":{"line":23,"column":6},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿BlockStatement
887¿BlockStatement¿¿1371¿¿¿¿{"start":{"line":14,"column":39},"end":{"line":24,"column":2},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿BlockStatement
888¿VariableDeclarator¿¿1369¿v70¿¿¿{"start":{"line":14,"column":1},"end":{"line":24,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿VariableDeclarator
889¿CallExpression¿¿1369¿¿¿¿{"start":{"line":14,"column":1},"end":{"line":24,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿CallExpression
890¿MemberExpression¿¿1369¿¿¿¿{"start":{"line":14,"column":1},"end":{"line":14,"column":8},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿MemberExpression
891¿Identifier¿¿1369¿FS¿¿¿{"start":{"line":14,"column":1},"end":{"line":14,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
892¿Identifier¿¿1369¿stat¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":8},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
893¿Identifier¿¿1369¿filepath¿¿¿{"start":{"line":14,"column":9},"end":{"line":14,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
894¿Identifier¿¿1369¿v69¿¿¿¿¿Identifier
895¿ExpressionStatement¿¿1369¿¿¿¿{"start":{"line":14,"column":1},"end":{"line":24,"column":4},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿ExpressionStatement
896¿Identifier¿¿1369¿v70¿¿¿¿¿Identifier
897¿BlockStatement¿¿1369¿¿¿¿{"start":{"line":3,"column":71},"end":{"line":25,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿BlockStatement
898¿ExpressionStatement¿¿1367¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":25,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿ExpressionStatement
899¿AssignmentExpression¿=¿1367¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":25,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿AssignmentExpression
900¿MemberExpression¿¿1367¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿MemberExpression
901¿Identifier¿¿1367¿exports¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":7},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
902¿Identifier¿¿1367¿writeStatic¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
903¿Identifier¿¿1367¿writeStatic¿¿¿¿¿Identifier
904¿VariableDeclarator¿¿1367¿writeContent¿¿¿{"start":{"line":29,"column":0},"end":{"line":36,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿VariableDeclarator
905¿FunctionExpression¿¿1367¿anon¿¿¿{"start":{"line":29,"column":0},"end":{"line":36,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿FunctionExpression
906¿Identifier¿¿0¿request¿¿¿{"start":{"line":29,"column":22},"end":{"line":29,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
907¿Identifier¿¿0¿response¿¿¿{"start":{"line":29,"column":30},"end":{"line":29,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
908¿Identifier¿¿0¿url¿¿¿{"start":{"line":29,"column":39},"end":{"line":29,"column":42},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
909¿Identifier¿¿0¿text¿¿¿{"start":{"line":29,"column":43},"end":{"line":29,"column":47},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
910¿VariableDeclarator¿¿1375¿contentType¿¿¿{"start":{"line":30,"column":5},"end":{"line":30,"column":45},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿VariableDeclarator
911¿CallExpression¿¿1375¿¿¿¿{"start":{"line":30,"column":19},"end":{"line":30,"column":45},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿CallExpression
912¿Identifier¿¿1375¿guessContentType¿¿¿{"start":{"line":30,"column":19},"end":{"line":30,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
913¿Identifier¿¿1375¿filepath¿¿¿{"start":{"line":30,"column":36},"end":{"line":30,"column":44},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
914¿VariableDeclarator¿¿1375¿v71¿¿¿{"start":{"line":31,"column":25},"end":{"line":31,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿VariableDeclarator
915¿NewExpression¿¿1375¿¿¿¿{"start":{"line":31,"column":25},"end":{"line":31,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿NewExpression
916¿Identifier¿¿1375¿Date¿¿¿{"start":{"line":31,"column":29},"end":{"line":31,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
917¿VariableDeclarator¿¿1375¿v72¿¿¿{"start":{"line":31,"column":24},"end":{"line":31,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿VariableDeclarator
918¿UnaryExpression¿+¿1375¿¿¿¿{"start":{"line":31,"column":24},"end":{"line":31,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿UnaryExpression
919¿Identifier¿¿1375¿v71¿¿¿¿¿Identifier
920¿VariableDeclarator¿¿1375¿v73¿¿¿{"start":{"line":31,"column":36},"end":{"line":31,"column":43},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿VariableDeclarator
921¿BinaryExpression¿*¿1375¿¿¿¿{"start":{"line":31,"column":36},"end":{"line":31,"column":43},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿BinaryExpression
922¿Literal¿number¿1375¿¿1000¿¿{"start":{"line":31,"column":36},"end":{"line":31,"column":40},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Literal
923¿Literal¿number¿1375¿¿1¿¿{"start":{"line":31,"column":42},"end":{"line":31,"column":43},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Literal
924¿VariableDeclarator¿¿1375¿v74¿¿¿{"start":{"line":31,"column":24},"end":{"line":31,"column":43},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿VariableDeclarator
925¿BinaryExpression¿+¿1375¿¿¿¿{"start":{"line":31,"column":24},"end":{"line":31,"column":43},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿BinaryExpression
926¿Identifier¿¿1375¿v72¿¿¿¿¿Identifier
927¿Identifier¿¿1375¿v73¿¿¿¿¿Identifier
928¿VariableDeclarator¿¿1375¿expires¿¿¿{"start":{"line":31,"column":5},"end":{"line":31,"column":44},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿VariableDeclarator
929¿NewExpression¿¿1375¿¿¿¿{"start":{"line":31,"column":15},"end":{"line":31,"column":44},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿NewExpression
930¿Identifier¿¿1375¿Date¿¿¿{"start":{"line":31,"column":19},"end":{"line":31,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/api-proxy_0.0.2/src/static.js"}¿¿Identifier
931¿Identifier¿¿1375¿v74¿¿¿¿¿Identifier
