Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
821¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":124,"column":2},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Program
832¿VariableDeclarator¿¿1449¿Net¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿VariableDeclarator
833¿CallExpression¿¿1449¿¿¿¿{"start":{"line":6,"column":12},"end":{"line":6,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿CallExpression
834¿Identifier¿¿1449¿require¿¿¿{"start":{"line":6,"column":12},"end":{"line":6,"column":19},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
835¿Literal¿string¿1449¿¿'net'¿¿{"start":{"line":6,"column":20},"end":{"line":6,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Literal
836¿VariableDeclarator¿¿1449¿Os¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿VariableDeclarator
837¿CallExpression¿¿1449¿¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿CallExpression
838¿Identifier¿¿1449¿require¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
839¿Literal¿string¿1449¿¿'os'¿¿{"start":{"line":7,"column":19},"end":{"line":7,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Literal
840¿VariableDeclarator¿¿1449¿internals¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":20},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿VariableDeclarator
841¿ObjectExpression¿¿1449¿¿¿¿¿¿ObjectExpression
842¿VariableDeclarator¿¿1449¿v81¿¿¿{"start":{"line":13,"column":30},"end":{"line":13,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿VariableDeclarator
843¿CallExpression¿¿1449¿¿¿¿{"start":{"line":13,"column":30},"end":{"line":13,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿CallExpression
844¿MemberExpression¿¿1449¿¿¿¿{"start":{"line":13,"column":30},"end":{"line":13,"column":41},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿MemberExpression
845¿Identifier¿¿1449¿Os¿¿¿{"start":{"line":13,"column":30},"end":{"line":13,"column":32},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
846¿Identifier¿¿1449¿platform¿¿¿{"start":{"line":13,"column":33},"end":{"line":13,"column":41},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
847¿VariableDeclarator¿¿1449¿v82¿¿¿{"start":{"line":13,"column":0},"end":{"line":13,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿VariableDeclarator
848¿CallExpression¿¿1449¿¿¿¿{"start":{"line":13,"column":18},"end":{"line":13,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿CallExpression
849¿MemberExpression¿¿1449¿¿¿¿{"start":{"line":13,"column":18},"end":{"line":13,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿MemberExpression
850¿Literal¿object¿1449¿¿/^win/¿¿{"start":{"line":13,"column":18},"end":{"line":13,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Literal
851¿Identifier¿¿1449¿test¿¿¿{"start":{"line":13,"column":25},"end":{"line":13,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
852¿Identifier¿¿1449¿v81¿¿¿¿¿Identifier
853¿ExpressionStatement¿¿1449¿¿¿¿{"start":{"line":13,"column":0},"end":{"line":13,"column":45},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿ExpressionStatement
854¿AssignmentExpression¿=¿1449¿¿¿¿{"start":{"line":13,"column":0},"end":{"line":13,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿AssignmentExpression
855¿MemberExpression¿¿1449¿¿¿¿{"start":{"line":13,"column":0},"end":{"line":13,"column":15},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿MemberExpression
856¿Identifier¿¿1449¿internals¿¿¿{"start":{"line":13,"column":0},"end":{"line":13,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
857¿Identifier¿¿1449¿isWin¿¿¿{"start":{"line":13,"column":10},"end":{"line":13,"column":15},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
858¿Identifier¿¿1449¿v82¿¿¿¿¿Identifier
859¿VariableDeclarator¿¿1449¿v83¿¿¿{"start":{"line":16,"column":40},"end":{"line":16,"column":42},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿VariableDeclarator
860¿ObjectExpression¿¿1449¿¿¿¿¿¿ObjectExpression
861¿ExpressionStatement¿¿1449¿¿¿¿{"start":{"line":16,"column":0},"end":{"line":16,"column":42},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿ExpressionStatement
862¿AssignmentExpression¿=¿1449¿¿¿¿{"start":{"line":16,"column":0},"end":{"line":16,"column":42},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿AssignmentExpression
863¿MemberExpression¿¿1449¿¿¿¿{"start":{"line":16,"column":0},"end":{"line":16,"column":42},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿MemberExpression
864¿Identifier¿¿1449¿internals¿¿¿{"start":{"line":16,"column":17},"end":{"line":16,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
865¿Identifier¿¿1449¿Traceroute¿¿¿{"start":{"line":16,"column":27},"end":{"line":16,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
866¿Identifier¿¿1449¿v83¿¿¿¿¿Identifier
867¿ExpressionStatement¿¿1449¿¿¿¿{"start":{"line":16,"column":0},"end":{"line":16,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿ExpressionStatement
868¿AssignmentExpression¿=¿1449¿¿¿¿{"start":{"line":16,"column":0},"end":{"line":16,"column":42},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿AssignmentExpression
869¿MemberExpression¿¿1449¿¿¿¿{"start":{"line":16,"column":0},"end":{"line":16,"column":14},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿MemberExpression
870¿Identifier¿¿1449¿module¿¿¿{"start":{"line":16,"column":0},"end":{"line":16,"column":6},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
871¿Identifier¿¿1449¿exports¿¿¿{"start":{"line":16,"column":7},"end":{"line":16,"column":14},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
872¿MemberExpression¿¿1449¿¿¿¿{"start":{"line":16,"column":17},"end":{"line":16,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿MemberExpression
873¿Identifier¿¿1449¿internals¿¿¿{"start":{"line":16,"column":17},"end":{"line":16,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
874¿Identifier¿¿1449¿Traceroute¿¿¿{"start":{"line":16,"column":27},"end":{"line":16,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
875¿VariableDeclarator¿¿1449¿v84¿¿¿{"start":{"line":19,"column":0},"end":{"line":19,"column":20},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿VariableDeclarator
876¿MemberExpression¿¿1449¿¿¿¿{"start":{"line":19,"column":0},"end":{"line":19,"column":20},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿MemberExpression
877¿Identifier¿¿1449¿internals¿¿¿{"start":{"line":19,"column":0},"end":{"line":19,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
878¿Identifier¿¿1449¿Traceroute¿¿¿{"start":{"line":19,"column":10},"end":{"line":19,"column":20},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
879¿VariableDeclarator¿¿1449¿v99¿¿¿{"start":{"line":19,"column":0},"end":{"line":39,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿VariableDeclarator
880¿FunctionExpression¿¿1449¿anon¿¿¿{"start":{"line":19,"column":29},"end":{"line":39,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿FunctionExpression
881¿Identifier¿¿0¿host¿¿¿{"start":{"line":19,"column":39},"end":{"line":19,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
882¿Identifier¿¿0¿callback¿¿¿{"start":{"line":19,"column":45},"end":{"line":19,"column":53},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
883¿VariableDeclarator¿¿1451¿v85¿¿¿{"start":{"line":22,"column":15},"end":{"line":22,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿VariableDeclarator
884¿CallExpression¿¿1451¿¿¿¿{"start":{"line":22,"column":15},"end":{"line":22,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿CallExpression
885¿MemberExpression¿¿1451¿¿¿¿{"start":{"line":22,"column":15},"end":{"line":22,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿MemberExpression
886¿Identifier¿¿1451¿host¿¿¿{"start":{"line":22,"column":15},"end":{"line":22,"column":19},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
887¿Identifier¿¿1451¿toUpperCase¿¿¿{"start":{"line":22,"column":20},"end":{"line":22,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
888¿VariableDeclarator¿¿1451¿v97¿¿¿{"start":{"line":22,"column":35},"end":{"line":38,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿VariableDeclarator
889¿ArrowFunctionExpression¿¿1451¿¿¿¿{"start":{"line":22,"column":35},"end":{"line":38,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿ArrowFunctionExpression
890¿Identifier¿¿0¿err¿¿¿{"start":{"line":22,"column":36},"end":{"line":22,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
891¿VariableDeclarator¿¿1453¿v86¿¿¿{"start":{"line":24,"column":19},"end":{"line":24,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿VariableDeclarator
892¿CallExpression¿¿1453¿¿¿¿{"start":{"line":24,"column":19},"end":{"line":24,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿CallExpression
893¿MemberExpression¿¿1453¿¿¿¿{"start":{"line":24,"column":19},"end":{"line":24,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿MemberExpression
894¿Identifier¿¿1453¿Net¿¿¿{"start":{"line":24,"column":19},"end":{"line":24,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
895¿Identifier¿¿1453¿isIP¿¿¿{"start":{"line":24,"column":23},"end":{"line":24,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
896¿Identifier¿¿1453¿host¿¿¿{"start":{"line":24,"column":28},"end":{"line":24,"column":32},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
897¿VariableDeclarator¿¿1453¿v87¿¿¿{"start":{"line":24,"column":19},"end":{"line":24,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿VariableDeclarator
898¿BinaryExpression¿===¿1453¿¿¿¿{"start":{"line":24,"column":19},"end":{"line":24,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿BinaryExpression
899¿Identifier¿¿1453¿v86¿¿¿¿¿Identifier
900¿Literal¿number¿1453¿¿0¿¿{"start":{"line":24,"column":38},"end":{"line":24,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Literal
901¿VariableDeclarator¿¿1453¿v88¿¿¿{"start":{"line":24,"column":12},"end":{"line":24,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿VariableDeclarator
902¿LogicalExpression¿&&¿1453¿¿¿¿{"start":{"line":24,"column":12},"end":{"line":24,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿LogicalExpression
903¿Identifier¿¿1453¿err¿¿¿{"start":{"line":24,"column":12},"end":{"line":24,"column":15},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
904¿Identifier¿¿1453¿v87¿¿¿¿¿Identifier
905¿IfStatement¿¿1453¿¿¿¿{"start":{"line":24,"column":8},"end":{"line":26,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿IfStatement
906¿Identifier¿¿1453¿v88¿¿¿¿¿Identifier
907¿VariableDeclarator¿¿1453¿v89¿¿¿{"start":{"line":25,"column":28},"end":{"line":25,"column":53},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿VariableDeclarator
908¿NewExpression¿¿1453¿¿¿¿{"start":{"line":25,"column":28},"end":{"line":25,"column":53},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿NewExpression
909¿Identifier¿¿1453¿Error¿¿¿{"start":{"line":25,"column":32},"end":{"line":25,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
910¿Literal¿string¿1453¿¿'Invalid host'¿¿{"start":{"line":25,"column":38},"end":{"line":25,"column":52},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Literal
911¿VariableDeclarator¿¿1453¿v90¿¿¿{"start":{"line":25,"column":19},"end":{"line":25,"column":54},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿VariableDeclarator
912¿CallExpression¿¿1453¿¿¿¿{"start":{"line":25,"column":19},"end":{"line":25,"column":54},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿CallExpression
913¿Identifier¿¿1453¿callback¿¿¿{"start":{"line":25,"column":19},"end":{"line":25,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
914¿Identifier¿¿1453¿v89¿¿¿¿¿Identifier
915¿ReturnStatement¿¿1453¿¿¿¿{"start":{"line":25,"column":12},"end":{"line":25,"column":55},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿ReturnStatement
916¿Identifier¿¿1453¿v90¿¿¿¿¿Identifier
917¿BlockStatement¿¿1453¿¿¿¿{"start":{"line":24,"column":41},"end":{"line":26,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿BlockStatement
918¿VariableDeclarator¿¿1453¿v91¿¿¿{"start":{"line":28,"column":25},"end":{"line":28,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿VariableDeclarator
919¿MemberExpression¿¿1453¿¿¿¿{"start":{"line":28,"column":25},"end":{"line":28,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿MemberExpression
920¿Identifier¿¿1453¿internals¿¿¿{"start":{"line":28,"column":25},"end":{"line":28,"column":34},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
921¿Identifier¿¿1453¿isWin¿¿¿{"start":{"line":28,"column":35},"end":{"line":28,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
922¿VariableDeclarator¿¿1453¿v92¿¿¿{"start":{"line":28,"column":25},"end":{"line":28,"column":80},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿VariableDeclarator
923¿IfStatement¿¿1453¿¿¿¿{"start":{"line":28,"column":25},"end":{"line":28,"column":80},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿IfStatement
924¿Identifier¿¿1453¿v91¿¿¿¿¿Identifier
925¿ExpressionStatement¿¿1453¿¿¿¿{"start":{"line":28,"column":25},"end":{"line":28,"column":80},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿ExpressionStatement
926¿AssignmentExpression¿=¿1453¿¿¿¿{"start":{"line":28,"column":25},"end":{"line":28,"column":80},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿AssignmentExpression
927¿Identifier¿¿1453¿v92¿¿¿¿¿Identifier
928¿Literal¿string¿1453¿¿'tracert -d '¿¿{"start":{"line":28,"column":43},"end":{"line":28,"column":56},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Literal
929¿BlockStatement¿¿1453¿¿¿¿¿¿BlockStatement
930¿ExpressionStatement¿¿1453¿¿¿¿{"start":{"line":28,"column":25},"end":{"line":28,"column":80},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿ExpressionStatement
931¿AssignmentExpression¿=¿1453¿¿¿¿{"start":{"line":28,"column":25},"end":{"line":28,"column":80},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿AssignmentExpression
932¿Identifier¿¿1453¿v92¿¿¿¿¿Identifier
933¿Literal¿string¿1453¿¿'traceroute -q 1 -n '¿¿{"start":{"line":28,"column":59},"end":{"line":28,"column":80},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Literal
934¿BlockStatement¿¿1453¿¿¿¿¿¿BlockStatement
935¿VariableDeclarator¿¿1453¿command¿¿¿{"start":{"line":28,"column":14},"end":{"line":28,"column":88},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿VariableDeclarator
936¿BinaryExpression¿+¿1453¿¿¿¿{"start":{"line":28,"column":24},"end":{"line":28,"column":88},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿BinaryExpression
937¿Identifier¿¿1453¿v92¿¿¿¿¿Identifier
938¿Identifier¿¿1453¿host¿¿¿{"start":{"line":28,"column":84},"end":{"line":28,"column":88},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
939¿VariableDeclarator¿¿1453¿v95¿¿¿{"start":{"line":29,"column":28},"end":{"line":37,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿VariableDeclarator
940¿ArrowFunctionExpression¿¿1453¿¿¿¿{"start":{"line":29,"column":28},"end":{"line":37,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿ArrowFunctionExpression
941¿Identifier¿¿0¿err¿¿¿{"start":{"line":29,"column":29},"end":{"line":29,"column":32},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
942¿Identifier¿¿0¿stdout¿¿¿{"start":{"line":29,"column":34},"end":{"line":29,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
943¿Identifier¿¿0¿stderr¿¿¿{"start":{"line":29,"column":42},"end":{"line":29,"column":48},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
944¿IfStatement¿¿1457¿¿¿¿{"start":{"line":31,"column":12},"end":{"line":33,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿IfStatement
945¿Identifier¿¿1457¿err¿¿¿{"start":{"line":31,"column":16},"end":{"line":31,"column":19},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
946¿VariableDeclarator¿¿1457¿v93¿¿¿{"start":{"line":32,"column":23},"end":{"line":32,"column":36},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿VariableDeclarator
947¿CallExpression¿¿1457¿¿¿¿{"start":{"line":32,"column":23},"end":{"line":32,"column":36},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿CallExpression
948¿Identifier¿¿1457¿callback¿¿¿{"start":{"line":32,"column":23},"end":{"line":32,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
949¿Identifier¿¿1457¿err¿¿¿{"start":{"line":32,"column":32},"end":{"line":32,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
950¿ReturnStatement¿¿1457¿¿¿¿{"start":{"line":32,"column":16},"end":{"line":32,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿ReturnStatement
951¿Identifier¿¿1457¿v93¿¿¿¿¿Identifier
952¿BlockStatement¿¿1457¿¿¿¿{"start":{"line":31,"column":21},"end":{"line":33,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿BlockStatement
953¿VariableDeclarator¿¿1457¿results¿¿¿{"start":{"line":35,"column":18},"end":{"line":35,"column":57},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿VariableDeclarator
954¿CallExpression¿¿1457¿¿¿¿{"start":{"line":35,"column":28},"end":{"line":35,"column":57},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿CallExpression
955¿MemberExpression¿¿1457¿¿¿¿{"start":{"line":35,"column":28},"end":{"line":35,"column":49},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿MemberExpression
956¿Identifier¿¿1457¿internals¿¿¿{"start":{"line":35,"column":28},"end":{"line":35,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
957¿Identifier¿¿1457¿parseOutput¿¿¿{"start":{"line":35,"column":38},"end":{"line":35,"column":49},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
958¿Identifier¿¿1457¿stdout¿¿¿{"start":{"line":35,"column":50},"end":{"line":35,"column":56},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
959¿VariableDeclarator¿¿1457¿v94¿¿¿{"start":{"line":36,"column":19},"end":{"line":36,"column":42},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿VariableDeclarator
960¿CallExpression¿¿1457¿¿¿¿{"start":{"line":36,"column":19},"end":{"line":36,"column":42},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿CallExpression
961¿Identifier¿¿1457¿callback¿¿¿{"start":{"line":36,"column":19},"end":{"line":36,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
962¿Literal¿object¿1457¿¿null¿¿{"start":{"line":36,"column":28},"end":{"line":36,"column":32},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Literal
963¿Identifier¿¿1457¿results¿¿¿{"start":{"line":36,"column":34},"end":{"line":36,"column":41},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿Identifier
964¿ReturnStatement¿¿1457¿¿¿¿{"start":{"line":36,"column":12},"end":{"line":36,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿ReturnStatement
965¿Identifier¿¿1457¿v94¿¿¿¿¿Identifier
966¿BlockStatement¿¿1457¿¿¿¿{"start":{"line":29,"column":53},"end":{"line":37,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿BlockStatement
967¿VariableDeclarator¿¿1453¿v96¿¿¿{"start":{"line":29,"column":8},"end":{"line":37,"column":10},"fname":"/datasets/vulcan-dataset/CWE-78/1465/src/traceroute.js"}¿¿VariableDeclarator
