Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1604¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":168,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Program
1636¿Identifier¿¿2821¿colorTheme¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1637¿Identifier¿¿2821¿info¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":12},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1638¿Literal¿string¿2821¿¿'white'¿¿{"start":{"line":7,"column":14},"end":{"line":7,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Literal
1639¿ExpressionStatement¿¿2821¿¿¿¿{"start":{"line":5,"column":8},"end":{"line":16,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿ExpressionStatement
1640¿AssignmentExpression¿=¿2821¿¿¿¿{"start":{"line":5,"column":8},"end":{"line":16,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿AssignmentExpression
1641¿MemberExpression¿¿2821¿¿¿¿{"start":{"line":5,"column":8},"end":{"line":16,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿MemberExpression
1642¿Identifier¿¿2821¿colorTheme¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1643¿Identifier¿¿2821¿input¿¿¿{"start":{"line":8,"column":8},"end":{"line":8,"column":13},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1644¿Literal¿string¿2821¿¿'magenta'¿¿{"start":{"line":8,"column":15},"end":{"line":8,"column":24},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Literal
1645¿ExpressionStatement¿¿2821¿¿¿¿{"start":{"line":5,"column":8},"end":{"line":16,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿ExpressionStatement
1646¿AssignmentExpression¿=¿2821¿¿¿¿{"start":{"line":5,"column":8},"end":{"line":16,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿AssignmentExpression
1647¿MemberExpression¿¿2821¿¿¿¿{"start":{"line":5,"column":8},"end":{"line":16,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿MemberExpression
1648¿Identifier¿¿2821¿colorTheme¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1649¿Identifier¿¿2821¿verbose¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":15},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1650¿Identifier¿¿2821¿v145¿¿¿¿¿Identifier
1651¿ExpressionStatement¿¿2821¿¿¿¿{"start":{"line":5,"column":8},"end":{"line":16,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿ExpressionStatement
1652¿AssignmentExpression¿=¿2821¿¿¿¿{"start":{"line":5,"column":8},"end":{"line":16,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿AssignmentExpression
1653¿MemberExpression¿¿2821¿¿¿¿{"start":{"line":5,"column":8},"end":{"line":16,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿MemberExpression
1654¿Identifier¿¿2821¿colorTheme¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1655¿Identifier¿¿2821¿prompt¿¿¿{"start":{"line":10,"column":8},"end":{"line":10,"column":14},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1656¿Identifier¿¿2821¿v146¿¿¿¿¿Identifier
1657¿ExpressionStatement¿¿2821¿¿¿¿{"start":{"line":5,"column":8},"end":{"line":16,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿ExpressionStatement
1658¿AssignmentExpression¿=¿2821¿¿¿¿{"start":{"line":5,"column":8},"end":{"line":16,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿AssignmentExpression
1659¿MemberExpression¿¿2821¿¿¿¿{"start":{"line":5,"column":8},"end":{"line":16,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿MemberExpression
1660¿Identifier¿¿2821¿colorTheme¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1661¿Identifier¿¿2821¿data¿¿¿{"start":{"line":11,"column":8},"end":{"line":11,"column":12},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1662¿Literal¿string¿2821¿¿'grey'¿¿{"start":{"line":11,"column":14},"end":{"line":11,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Literal
1663¿ExpressionStatement¿¿2821¿¿¿¿{"start":{"line":5,"column":8},"end":{"line":16,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿ExpressionStatement
1664¿AssignmentExpression¿=¿2821¿¿¿¿{"start":{"line":5,"column":8},"end":{"line":16,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿AssignmentExpression
1665¿MemberExpression¿¿2821¿¿¿¿{"start":{"line":5,"column":8},"end":{"line":16,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿MemberExpression
1666¿Identifier¿¿2821¿colorTheme¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1667¿Identifier¿¿2821¿help¿¿¿{"start":{"line":12,"column":8},"end":{"line":12,"column":12},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1668¿Literal¿string¿2821¿¿'blue'¿¿{"start":{"line":12,"column":14},"end":{"line":12,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Literal
1669¿ExpressionStatement¿¿2821¿¿¿¿{"start":{"line":5,"column":8},"end":{"line":16,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿ExpressionStatement
1670¿AssignmentExpression¿=¿2821¿¿¿¿{"start":{"line":5,"column":8},"end":{"line":16,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿AssignmentExpression
1671¿MemberExpression¿¿2821¿¿¿¿{"start":{"line":5,"column":8},"end":{"line":16,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿MemberExpression
1672¿Identifier¿¿2821¿colorTheme¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1673¿Identifier¿¿2821¿warn¿¿¿{"start":{"line":13,"column":8},"end":{"line":13,"column":12},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1674¿Literal¿string¿2821¿¿'yellow'¿¿{"start":{"line":13,"column":14},"end":{"line":13,"column":22},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Literal
1675¿ExpressionStatement¿¿2821¿¿¿¿{"start":{"line":5,"column":8},"end":{"line":16,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿ExpressionStatement
1676¿AssignmentExpression¿=¿2821¿¿¿¿{"start":{"line":5,"column":8},"end":{"line":16,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿AssignmentExpression
1677¿MemberExpression¿¿2821¿¿¿¿{"start":{"line":5,"column":8},"end":{"line":16,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿MemberExpression
1678¿Identifier¿¿2821¿colorTheme¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1679¿Identifier¿¿2821¿debug¿¿¿{"start":{"line":14,"column":8},"end":{"line":14,"column":13},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1680¿Literal¿string¿2821¿¿'red'¿¿{"start":{"line":14,"column":15},"end":{"line":14,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Literal
1681¿ExpressionStatement¿¿2821¿¿¿¿{"start":{"line":5,"column":8},"end":{"line":16,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿ExpressionStatement
1682¿AssignmentExpression¿=¿2821¿¿¿¿{"start":{"line":5,"column":8},"end":{"line":16,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿AssignmentExpression
1683¿MemberExpression¿¿2821¿¿¿¿{"start":{"line":5,"column":8},"end":{"line":16,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿MemberExpression
1684¿Identifier¿¿2821¿colorTheme¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1685¿Identifier¿¿2821¿error¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":13},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1686¿Identifier¿¿2821¿v147¿¿¿¿¿Identifier
1687¿VariableDeclarator¿¿2821¿v172¿¿¿{"start":{"line":18,"column":4},"end":{"line":36,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿VariableDeclarator
1688¿FunctionExpression¿¿2821¿anon¿¿¿{"start":{"line":18,"column":25},"end":{"line":36,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿FunctionExpression
1689¿Identifier¿¿0¿colorTheme¿¿¿{"start":{"line":18,"column":34},"end":{"line":18,"column":44},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1690¿VariableDeclarator¿¿2823¿i¿¿¿{"start":{"line":19,"column":14},"end":{"line":19,"column":15},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿VariableDeclarator
1691¿ForInStatement¿¿2823¿¿¿¿{"start":{"line":19,"column":6},"end":{"line":35,"column":7},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿ForInStatement
1692¿Identifier¿¿2823¿i¿¿¿{"start":{"line":19,"column":14},"end":{"line":19,"column":15},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1693¿Identifier¿¿2823¿colorTheme¿¿¿{"start":{"line":19,"column":19},"end":{"line":19,"column":29},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1694¿VariableDeclarator¿¿2823¿theme¿¿¿{"start":{"line":21,"column":12},"end":{"line":21,"column":22},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿VariableDeclarator
1695¿Literal¿string¿2823¿¿''¿¿{"start":{"line":21,"column":20},"end":{"line":21,"column":22},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Literal
1696¿VariableDeclarator¿¿2823¿v148¿¿¿{"start":{"line":22,"column":18},"end":{"line":22,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿VariableDeclarator
1697¿MemberExpression¿computed¿2823¿¿¿¿{"start":{"line":22,"column":18},"end":{"line":22,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿MemberExpression
1698¿Identifier¿¿2823¿colorTheme¿¿¿{"start":{"line":22,"column":18},"end":{"line":22,"column":28},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1699¿Identifier¿¿2823¿i¿¿¿{"start":{"line":22,"column":29},"end":{"line":22,"column":30},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1700¿VariableDeclarator¿¿2823¿v149¿¿¿{"start":{"line":22,"column":11},"end":{"line":22,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿VariableDeclarator
1701¿UnaryExpression¿typeof¿2823¿¿¿¿{"start":{"line":22,"column":11},"end":{"line":22,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿UnaryExpression
1702¿Identifier¿¿2823¿v148¿¿¿¿¿Identifier
1703¿VariableDeclarator¿¿2823¿v150¿¿¿{"start":{"line":22,"column":11},"end":{"line":22,"column":44},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿VariableDeclarator
1704¿BinaryExpression¿===¿2823¿¿¿¿{"start":{"line":22,"column":11},"end":{"line":22,"column":44},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿BinaryExpression
1705¿Identifier¿¿2823¿v149¿¿¿¿¿Identifier
1706¿Literal¿string¿2823¿¿'string'¿¿{"start":{"line":22,"column":36},"end":{"line":22,"column":44},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Literal
1707¿IfStatement¿¿2823¿¿¿¿{"start":{"line":22,"column":8},"end":{"line":34,"column":9},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿IfStatement
1708¿Identifier¿¿2823¿v150¿¿¿¿¿Identifier
1709¿VariableDeclarator¿¿2823¿v151¿¿¿{"start":{"line":23,"column":22},"end":{"line":23,"column":35},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿VariableDeclarator
1710¿MemberExpression¿computed¿2823¿¿¿¿{"start":{"line":23,"column":22},"end":{"line":23,"column":35},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿MemberExpression
1711¿Identifier¿¿2823¿colorTheme¿¿¿{"start":{"line":23,"column":22},"end":{"line":23,"column":32},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1712¿Identifier¿¿2823¿i¿¿¿{"start":{"line":23,"column":33},"end":{"line":23,"column":34},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1713¿VariableDeclarator¿¿2823¿v152¿¿¿{"start":{"line":23,"column":18},"end":{"line":23,"column":35},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿VariableDeclarator
1714¿BinaryExpression¿+¿2823¿¿¿¿{"start":{"line":23,"column":18},"end":{"line":23,"column":35},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿BinaryExpression
1715¿Literal¿string¿2823¿¿'''¿¿{"start":{"line":23,"column":18},"end":{"line":23,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Literal
1716¿Identifier¿¿2823¿v151¿¿¿¿¿Identifier
1717¿ExpressionStatement¿¿2823¿¿¿¿{"start":{"line":23,"column":10},"end":{"line":23,"column":42},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿ExpressionStatement
1718¿AssignmentExpression¿=¿2823¿¿¿¿{"start":{"line":23,"column":10},"end":{"line":23,"column":41},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿AssignmentExpression
1719¿Identifier¿¿2823¿theme¿¿¿{"start":{"line":23,"column":10},"end":{"line":23,"column":15},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1720¿BinaryExpression¿+¿2823¿¿¿¿{"start":{"line":23,"column":18},"end":{"line":23,"column":41},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿BinaryExpression
1721¿Identifier¿¿2823¿v152¿¿¿¿¿Identifier
1722¿Literal¿string¿2823¿¿'''¿¿{"start":{"line":23,"column":38},"end":{"line":23,"column":41},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Literal
1723¿VariableDeclarator¿¿2823¿v153¿¿¿{"start":{"line":24,"column":15},"end":{"line":24,"column":38},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿VariableDeclarator
1724¿BinaryExpression¿+¿2823¿¿¿¿{"start":{"line":24,"column":15},"end":{"line":24,"column":38},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿BinaryExpression
1725¿Literal¿string¿2823¿¿'colors.setTheme({'¿¿{"start":{"line":24,"column":15},"end":{"line":24,"column":34},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Literal
1726¿Identifier¿¿2823¿i¿¿¿{"start":{"line":24,"column":37},"end":{"line":24,"column":38},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1727¿VariableDeclarator¿¿2823¿v154¿¿¿{"start":{"line":24,"column":15},"end":{"line":24,"column":44},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿VariableDeclarator
1728¿BinaryExpression¿+¿2823¿¿¿¿{"start":{"line":24,"column":15},"end":{"line":24,"column":44},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿BinaryExpression
1729¿Identifier¿¿2823¿v153¿¿¿¿¿Identifier
1730¿Literal¿string¿2823¿¿':'¿¿{"start":{"line":24,"column":41},"end":{"line":24,"column":44},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Literal
1731¿VariableDeclarator¿¿2823¿v155¿¿¿{"start":{"line":24,"column":15},"end":{"line":24,"column":52},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿VariableDeclarator
1732¿BinaryExpression¿+¿2823¿¿¿¿{"start":{"line":24,"column":15},"end":{"line":24,"column":52},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿BinaryExpression
1733¿Identifier¿¿2823¿v154¿¿¿¿¿Identifier
1734¿Identifier¿¿2823¿theme¿¿¿{"start":{"line":24,"column":47},"end":{"line":24,"column":52},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1735¿VariableDeclarator¿¿2823¿v156¿¿¿{"start":{"line":24,"column":15},"end":{"line":24,"column":60},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿VariableDeclarator
1736¿BinaryExpression¿+¿2823¿¿¿¿{"start":{"line":24,"column":15},"end":{"line":24,"column":60},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿BinaryExpression
1737¿Identifier¿¿2823¿v155¿¿¿¿¿Identifier
1738¿Literal¿string¿2823¿¿'});'¿¿{"start":{"line":24,"column":55},"end":{"line":24,"column":60},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Literal
1739¿VariableDeclarator¿¿2823¿v157¿¿¿{"start":{"line":24,"column":10},"end":{"line":24,"column":61},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿VariableDeclarator
1740¿CallExpression¿¿2823¿¿¿¿{"start":{"line":24,"column":10},"end":{"line":24,"column":61},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿CallExpression
