Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
965¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":104,"column":20},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Program
1013¿Identifier¿¿1678¿b¿¿¿{"start":{"line":6,"column":54},"end":{"line":6,"column":55},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1014¿VariableDeclarator¿¿1678¿v99¿¿¿{"start":{"line":6,"column":34},"end":{"line":6,"column":55},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1015¿BinaryExpression¿===¿1678¿¿¿¿{"start":{"line":6,"column":34},"end":{"line":6,"column":55},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿BinaryExpression
1016¿Literal¿string¿1678¿¿'number'¿¿{"start":{"line":6,"column":34},"end":{"line":6,"column":42},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Literal
1017¿Identifier¿¿1678¿v98¿¿¿¿¿Identifier
1018¿VariableDeclarator¿¿1678¿v100¿¿¿{"start":{"line":6,"column":9},"end":{"line":6,"column":55},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1019¿LogicalExpression¿||¿1678¿¿¿¿{"start":{"line":6,"column":9},"end":{"line":6,"column":55},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿LogicalExpression
1020¿Identifier¿¿1678¿v97¿¿¿¿¿Identifier
1021¿Identifier¿¿1678¿v99¿¿¿¿¿Identifier
1022¿ReturnStatement¿¿1678¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":6,"column":55},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿ReturnStatement
1023¿Identifier¿¿1678¿v100¿¿¿¿¿Identifier
1024¿BlockStatement¿¿1678¿¿¿¿{"start":{"line":5,"column":21},"end":{"line":7,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿BlockStatement
1025¿VariableDeclarator¿exported¿1674¿get¿¿¿{"start":{"line":9,"column":0},"end":{"line":16,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1026¿FunctionExpression¿¿1674¿anon¿¿¿{"start":{"line":9,"column":0},"end":{"line":16,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿FunctionExpression
1027¿Identifier¿¿0¿obj¿¿¿{"start":{"line":9,"column":14},"end":{"line":9,"column":17},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1028¿Identifier¿¿0¿path¿¿¿{"start":{"line":9,"column":19},"end":{"line":9,"column":23},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1029¿Identifier¿¿0¿dft¿¿¿{"start":{"line":9,"column":25},"end":{"line":9,"column":28},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1030¿VariableDeclarator¿¿1680¿v101¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1031¿CallExpression¿¿1680¿¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿CallExpression
1032¿Identifier¿¿1680¿isObject¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":14},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1033¿Identifier¿¿1680¿obj¿¿¿{"start":{"line":10,"column":15},"end":{"line":10,"column":18},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1034¿Literal¿boolean¿1680¿¿true¿¿{"start":{"line":10,"column":20},"end":{"line":10,"column":24},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Literal
1035¿VariableDeclarator¿¿1680¿v102¿¿¿{"start":{"line":10,"column":5},"end":{"line":10,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1036¿UnaryExpression¿!¿1680¿¿¿¿{"start":{"line":10,"column":5},"end":{"line":10,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿UnaryExpression
1037¿Identifier¿¿1680¿v101¿¿¿¿¿Identifier
1038¿IfStatement¿¿1680¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":37},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿IfStatement
1039¿Identifier¿¿1680¿v102¿¿¿¿¿Identifier
1040¿ReturnStatement¿¿1680¿¿¿¿{"start":{"line":10,"column":27},"end":{"line":10,"column":37},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿ReturnStatement
1041¿Identifier¿¿1680¿dft¿¿¿{"start":{"line":10,"column":34},"end":{"line":10,"column":37},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1042¿BlockStatement¿¿1680¿¿¿¿¿¿BlockStatement
1043¿VariableDeclarator¿¿1680¿v103¿¿¿{"start":{"line":11,"column":5},"end":{"line":11,"column":18},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1044¿CallExpression¿¿1680¿¿¿¿{"start":{"line":11,"column":5},"end":{"line":11,"column":18},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿CallExpression
1045¿Identifier¿¿1680¿isBasic¿¿¿{"start":{"line":11,"column":5},"end":{"line":11,"column":12},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1046¿Identifier¿¿1680¿path¿¿¿{"start":{"line":11,"column":13},"end":{"line":11,"column":17},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1047¿IfStatement¿¿1680¿¿¿¿{"start":{"line":11,"column":2},"end":{"line":11,"column":36},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿IfStatement
1048¿Identifier¿¿1680¿v103¿¿¿¿¿Identifier
1049¿VariableDeclarator¿¿1680¿v104¿¿¿{"start":{"line":11,"column":27},"end":{"line":11,"column":36},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1050¿MemberExpression¿computed¿1680¿¿¿¿{"start":{"line":11,"column":27},"end":{"line":11,"column":36},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿MemberExpression
1051¿Identifier¿¿1680¿obj¿¿¿{"start":{"line":11,"column":27},"end":{"line":11,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1052¿Identifier¿¿1680¿path¿¿¿{"start":{"line":11,"column":31},"end":{"line":11,"column":35},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1053¿ReturnStatement¿¿1680¿¿¿¿{"start":{"line":11,"column":20},"end":{"line":11,"column":36},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿ReturnStatement
1054¿Identifier¿¿1680¿v104¿¿¿¿¿Identifier
1055¿BlockStatement¿¿1680¿¿¿¿¿¿BlockStatement
1056¿VariableDeclarator¿¿1680¿i¿¿¿{"start":{"line":12,"column":10},"end":{"line":12,"column":15},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1057¿Literal¿number¿1680¿¿0¿¿{"start":{"line":12,"column":14},"end":{"line":12,"column":15},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Literal
1058¿VariableDeclarator¿¿1680¿v105¿¿¿{"start":{"line":12,"column":21},"end":{"line":12,"column":32},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1059¿MemberExpression¿¿1680¿¿¿¿{"start":{"line":12,"column":21},"end":{"line":12,"column":32},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿MemberExpression
1060¿Identifier¿¿1680¿path¿¿¿{"start":{"line":12,"column":21},"end":{"line":12,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1061¿Identifier¿¿1680¿length¿¿¿{"start":{"line":12,"column":26},"end":{"line":12,"column":32},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1062¿VariableDeclarator¿¿1680¿v106¿¿¿{"start":{"line":12,"column":17},"end":{"line":12,"column":32},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1063¿BinaryExpression¿<¿1680¿¿¿¿{"start":{"line":12,"column":17},"end":{"line":12,"column":32},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿BinaryExpression
1064¿Identifier¿¿1680¿i¿¿¿{"start":{"line":12,"column":17},"end":{"line":12,"column":18},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1065¿Identifier¿¿1680¿v105¿¿¿¿¿Identifier
1066¿WhileStatement¿¿1680¿¿¿¿{"start":{"line":12,"column":2},"end":{"line":14,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿WhileStatement
1067¿Identifier¿¿1680¿v106¿¿¿¿¿Identifier
1068¿VariableDeclarator¿¿1680¿v108¿¿¿{"start":{"line":13,"column":26},"end":{"line":13,"column":33},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1069¿MemberExpression¿computed¿1680¿¿¿¿{"start":{"line":13,"column":26},"end":{"line":13,"column":33},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿MemberExpression
1070¿Identifier¿¿1680¿path¿¿¿{"start":{"line":13,"column":26},"end":{"line":13,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1071¿Identifier¿¿1680¿i¿¿¿{"start":{"line":13,"column":31},"end":{"line":13,"column":32},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1072¿VariableDeclarator¿¿1680¿v109¿¿¿{"start":{"line":13,"column":7},"end":{"line":13,"column":35},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1073¿BinaryExpression¿==¿1680¿¿¿¿{"start":{"line":13,"column":7},"end":{"line":13,"column":35},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿BinaryExpression
1074¿Literal¿object¿1680¿¿null¿¿{"start":{"line":13,"column":7},"end":{"line":13,"column":11},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Literal
1075¿AssignmentExpression¿=¿1680¿¿¿¿{"start":{"line":13,"column":16},"end":{"line":13,"column":34},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿AssignmentExpression
1076¿Identifier¿¿1680¿obj¿¿¿{"start":{"line":13,"column":16},"end":{"line":13,"column":19},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1077¿MemberExpression¿computed¿1680¿¿¿¿{"start":{"line":13,"column":22},"end":{"line":13,"column":34},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿MemberExpression
1078¿Identifier¿¿1680¿obj¿¿¿{"start":{"line":13,"column":22},"end":{"line":13,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1079¿Identifier¿¿1680¿v108¿¿¿¿¿Identifier
1080¿IfStatement¿¿1680¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":47},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿IfStatement
1081¿Identifier¿¿1680¿v109¿¿¿¿¿Identifier
1082¿ReturnStatement¿¿1680¿¿¿¿{"start":{"line":13,"column":37},"end":{"line":13,"column":47},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿ReturnStatement
1083¿Identifier¿¿1680¿dft¿¿¿{"start":{"line":13,"column":44},"end":{"line":13,"column":47},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1084¿BlockStatement¿¿1680¿¿¿¿¿¿BlockStatement
1085¿VariableDeclarator¿¿1680¿v107¿¿¿{"start":{"line":12,"column":34},"end":{"line":12,"column":37},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1086¿UpdateExpression¿¿1680¿¿¿¿{"start":{"line":12,"column":34},"end":{"line":12,"column":37},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿UpdateExpression
1087¿Identifier¿¿1680¿i¿¿¿{"start":{"line":12,"column":34},"end":{"line":12,"column":35},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1088¿ExpressionStatement¿¿1680¿¿¿¿{"start":{"line":12,"column":2},"end":{"line":14,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿ExpressionStatement
1089¿AssignmentExpression¿=¿1680¿¿¿¿{"start":{"line":12,"column":2},"end":{"line":14,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿AssignmentExpression
1090¿Identifier¿¿1680¿v106¿¿¿{"start":{"line":12,"column":2},"end":{"line":14,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1091¿BinaryExpression¿<¿1680¿¿¿¿{"start":{"line":12,"column":17},"end":{"line":12,"column":32},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿BinaryExpression
1092¿Identifier¿¿1680¿i¿¿¿{"start":{"line":12,"column":17},"end":{"line":12,"column":18},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1093¿Identifier¿¿1680¿v105¿¿¿¿¿Identifier
1094¿BlockStatement¿¿1680¿¿¿¿¿¿BlockStatement
1095¿ReturnStatement¿¿1680¿¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":12},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿ReturnStatement
1096¿Identifier¿¿1680¿obj¿¿¿{"start":{"line":15,"column":9},"end":{"line":15,"column":12},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1097¿BlockStatement¿¿1680¿¿¿¿{"start":{"line":9,"column":30},"end":{"line":16,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿BlockStatement
1098¿VariableDeclarator¿¿1674¿isNonNegativeInteger¿¿¿{"start":{"line":18,"column":0},"end":{"line":20,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1099¿FunctionExpression¿¿1674¿anon¿¿¿{"start":{"line":18,"column":0},"end":{"line":20,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿FunctionExpression
1100¿Identifier¿¿0¿i¿¿¿{"start":{"line":18,"column":31},"end":{"line":18,"column":32},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
