Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1079¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":73,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Program
1118¿Identifier¿¿1841¿step¿¿¿{"start":{"line":4,"column":42},"end":{"line":4,"column":46},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1119¿Identifier¿¿1841¿v112¿¿¿¿¿Identifier
1120¿ExpressionStatement¿¿1841¿¿¿¿{"start":{"line":4,"column":42},"end":{"line":4,"column":70},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿ExpressionStatement
1121¿Identifier¿¿1841¿v113¿¿¿¿¿Identifier
1122¿BlockStatement¿¿1841¿¿¿¿{"start":{"line":4,"column":40},"end":{"line":4,"column":72},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿BlockStatement
1123¿CatchClause¿¿1841¿¿¿¿{"start":{"line":4,"column":73},"end":{"line":4,"column":97},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿CatchClause
1124¿VariableDeclarator¿¿1841¿v114¿¿¿{"start":{"line":4,"column":85},"end":{"line":4,"column":94},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1125¿CallExpression¿¿1841¿¿¿¿{"start":{"line":4,"column":85},"end":{"line":4,"column":94},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿CallExpression
1126¿Identifier¿¿1841¿reject¿¿¿{"start":{"line":4,"column":85},"end":{"line":4,"column":91},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1127¿Identifier¿¿1841¿e¿¿¿{"start":{"line":4,"column":92},"end":{"line":4,"column":93},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1128¿ExpressionStatement¿¿1841¿¿¿¿{"start":{"line":4,"column":85},"end":{"line":4,"column":95},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿ExpressionStatement
1129¿Identifier¿¿1841¿v114¿¿¿¿¿Identifier
1130¿BlockStatement¿¿1841¿¿¿¿{"start":{"line":4,"column":83},"end":{"line":4,"column":97},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿BlockStatement
1131¿Identifier¿¿1841¿e¿¿¿{"start":{"line":4,"column":80},"end":{"line":4,"column":81},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1132¿BlockStatement¿¿1841¿¿¿¿{"start":{"line":4,"column":34},"end":{"line":4,"column":99},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿BlockStatement
1133¿VariableDeclarator¿¿1839¿rejected¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":102},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1134¿FunctionExpression¿¿1839¿anon¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":102},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿FunctionExpression
1135¿Identifier¿¿0¿value¿¿¿{"start":{"line":5,"column":26},"end":{"line":5,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1136¿TryStatement¿¿1844¿¿¿¿{"start":{"line":5,"column":35},"end":{"line":5,"column":100},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿TryStatement
1137¿VariableDeclarator¿¿1844¿v115¿¿¿{"start":{"line":5,"column":46},"end":{"line":5,"column":71},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1138¿CallExpression¿¿1844¿¿¿¿{"start":{"line":5,"column":46},"end":{"line":5,"column":71},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿CallExpression
1139¿MemberExpression¿computed¿1844¿¿¿¿{"start":{"line":5,"column":46},"end":{"line":5,"column":64},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿MemberExpression
1140¿Identifier¿¿1844¿generator¿¿¿{"start":{"line":5,"column":46},"end":{"line":5,"column":55},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1141¿Literal¿string¿1844¿¿'throw'¿¿{"start":{"line":5,"column":56},"end":{"line":5,"column":63},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Literal
1142¿Identifier¿¿1844¿value¿¿¿{"start":{"line":5,"column":65},"end":{"line":5,"column":70},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1143¿VariableDeclarator¿¿1844¿v116¿¿¿{"start":{"line":5,"column":41},"end":{"line":5,"column":72},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1144¿CallExpression¿¿1844¿¿¿¿{"start":{"line":5,"column":41},"end":{"line":5,"column":72},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿CallExpression
1145¿Identifier¿¿1844¿step¿¿¿{"start":{"line":5,"column":41},"end":{"line":5,"column":45},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1146¿Identifier¿¿1844¿v115¿¿¿¿¿Identifier
1147¿ExpressionStatement¿¿1844¿¿¿¿{"start":{"line":5,"column":41},"end":{"line":5,"column":73},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿ExpressionStatement
1148¿Identifier¿¿1844¿v116¿¿¿¿¿Identifier
1149¿BlockStatement¿¿1844¿¿¿¿{"start":{"line":5,"column":39},"end":{"line":5,"column":75},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿BlockStatement
1150¿CatchClause¿¿1844¿¿¿¿{"start":{"line":5,"column":76},"end":{"line":5,"column":100},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿CatchClause
1151¿VariableDeclarator¿¿1844¿v117¿¿¿{"start":{"line":5,"column":88},"end":{"line":5,"column":97},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1152¿CallExpression¿¿1844¿¿¿¿{"start":{"line":5,"column":88},"end":{"line":5,"column":97},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿CallExpression
1153¿Identifier¿¿1844¿reject¿¿¿{"start":{"line":5,"column":88},"end":{"line":5,"column":94},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1154¿Identifier¿¿1844¿e¿¿¿{"start":{"line":5,"column":95},"end":{"line":5,"column":96},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1155¿ExpressionStatement¿¿1844¿¿¿¿{"start":{"line":5,"column":88},"end":{"line":5,"column":98},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿ExpressionStatement
1156¿Identifier¿¿1844¿v117¿¿¿¿¿Identifier
1157¿BlockStatement¿¿1844¿¿¿¿{"start":{"line":5,"column":86},"end":{"line":5,"column":100},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿BlockStatement
1158¿Identifier¿¿1844¿e¿¿¿{"start":{"line":5,"column":83},"end":{"line":5,"column":84},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1159¿BlockStatement¿¿1844¿¿¿¿{"start":{"line":5,"column":33},"end":{"line":5,"column":102},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿BlockStatement
1160¿VariableDeclarator¿¿1839¿step¿¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":151},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1161¿FunctionExpression¿¿1839¿anon¿¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":151},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿FunctionExpression
1162¿Identifier¿¿0¿result¿¿¿{"start":{"line":6,"column":22},"end":{"line":6,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1163¿VariableDeclarator¿¿1847¿v118¿¿¿{"start":{"line":6,"column":32},"end":{"line":6,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1164¿MemberExpression¿¿1847¿¿¿¿{"start":{"line":6,"column":32},"end":{"line":6,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿MemberExpression
1165¿Identifier¿¿1847¿result¿¿¿{"start":{"line":6,"column":32},"end":{"line":6,"column":38},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1166¿Identifier¿¿1847¿done¿¿¿{"start":{"line":6,"column":39},"end":{"line":6,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1167¿VariableDeclarator¿¿1847¿v119¿¿¿{"start":{"line":6,"column":54},"end":{"line":6,"column":66},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1168¿MemberExpression¿¿1847¿¿¿¿{"start":{"line":6,"column":54},"end":{"line":6,"column":66},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿MemberExpression
1169¿Identifier¿¿1847¿result¿¿¿{"start":{"line":6,"column":54},"end":{"line":6,"column":60},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1170¿Identifier¿¿1847¿value¿¿¿{"start":{"line":6,"column":61},"end":{"line":6,"column":66},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1171¿VariableDeclarator¿¿1847¿v120¿¿¿{"start":{"line":6,"column":46},"end":{"line":6,"column":67},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1172¿CallExpression¿¿1847¿¿¿¿{"start":{"line":6,"column":46},"end":{"line":6,"column":67},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿CallExpression
1173¿Identifier¿¿1847¿resolve¿¿¿{"start":{"line":6,"column":46},"end":{"line":6,"column":53},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1174¿Identifier¿¿1847¿v119¿¿¿¿¿Identifier
1175¿VariableDeclarator¿¿1847¿v123¿¿¿{"start":{"line":6,"column":76},"end":{"line":6,"column":121},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1176¿FunctionExpression¿¿1847¿anon¿¿¿{"start":{"line":6,"column":76},"end":{"line":6,"column":121},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿FunctionExpression
1177¿Identifier¿¿0¿resolve¿¿¿{"start":{"line":6,"column":86},"end":{"line":6,"column":93},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1178¿VariableDeclarator¿¿1849¿v121¿¿¿{"start":{"line":6,"column":105},"end":{"line":6,"column":117},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1179¿MemberExpression¿¿1849¿¿¿¿{"start":{"line":6,"column":105},"end":{"line":6,"column":117},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿MemberExpression
1180¿Identifier¿¿1849¿result¿¿¿{"start":{"line":6,"column":105},"end":{"line":6,"column":111},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1181¿Identifier¿¿1849¿value¿¿¿{"start":{"line":6,"column":112},"end":{"line":6,"column":117},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1182¿VariableDeclarator¿¿1849¿v122¿¿¿{"start":{"line":6,"column":97},"end":{"line":6,"column":118},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1183¿CallExpression¿¿1849¿¿¿¿{"start":{"line":6,"column":97},"end":{"line":6,"column":118},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿CallExpression
1184¿Identifier¿¿1849¿resolve¿¿¿{"start":{"line":6,"column":97},"end":{"line":6,"column":104},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1185¿Identifier¿¿1849¿v121¿¿¿¿¿Identifier
1186¿ExpressionStatement¿¿1849¿¿¿¿{"start":{"line":6,"column":97},"end":{"line":6,"column":119},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿ExpressionStatement
1187¿Identifier¿¿1849¿v122¿¿¿¿¿Identifier
1188¿BlockStatement¿¿1849¿¿¿¿{"start":{"line":6,"column":95},"end":{"line":6,"column":121},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿BlockStatement
1189¿VariableDeclarator¿¿1847¿v124¿¿¿{"start":{"line":6,"column":70},"end":{"line":6,"column":122},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1190¿NewExpression¿¿1847¿¿¿¿{"start":{"line":6,"column":70},"end":{"line":6,"column":122},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿NewExpression
1191¿Identifier¿¿1847¿P¿¿¿{"start":{"line":6,"column":74},"end":{"line":6,"column":75},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1192¿Identifier¿¿1847¿v123¿¿¿¿¿Identifier
1193¿VariableDeclarator¿¿1847¿v125¿¿¿{"start":{"line":6,"column":70},"end":{"line":6,"column":148},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1194¿CallExpression¿¿1847¿¿¿¿{"start":{"line":6,"column":70},"end":{"line":6,"column":148},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿CallExpression
1195¿MemberExpression¿¿1847¿¿¿¿{"start":{"line":6,"column":70},"end":{"line":6,"column":127},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿MemberExpression
1196¿Identifier¿¿1847¿v124¿¿¿¿¿Identifier
1197¿Identifier¿¿1847¿then¿¿¿{"start":{"line":6,"column":123},"end":{"line":6,"column":127},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1198¿Identifier¿¿1847¿fulfilled¿¿¿{"start":{"line":6,"column":128},"end":{"line":6,"column":137},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1199¿Identifier¿¿1847¿rejected¿¿¿{"start":{"line":6,"column":139},"end":{"line":6,"column":147},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1200¿VariableDeclarator¿¿1847¿v126¿¿¿{"start":{"line":6,"column":32},"end":{"line":6,"column":148},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1201¿IfStatement¿¿1847¿¿¿¿{"start":{"line":6,"column":32},"end":{"line":6,"column":148},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿IfStatement
1202¿Identifier¿¿1847¿v118¿¿¿¿¿Identifier
1203¿ExpressionStatement¿¿1847¿¿¿¿{"start":{"line":6,"column":32},"end":{"line":6,"column":148},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿ExpressionStatement
1204¿AssignmentExpression¿=¿1847¿¿¿¿{"start":{"line":6,"column":32},"end":{"line":6,"column":148},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿AssignmentExpression
1205¿Identifier¿¿1847¿v126¿¿¿¿¿Identifier
