Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
5187¿Program¿¿-1¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":785,"column":24},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Program
5211¿FunctionExpression¿¿9071¿anon¿¿¿{"start":{"line":21,"column":0},"end":{"line":25,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿FunctionExpression
5212¿Identifier¿¿0¿assertion¿¿¿{"start":{"line":21,"column":16},"end":{"line":21,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Identifier
5213¿Identifier¿¿0¿err_msg¿¿¿{"start":{"line":21,"column":27},"end":{"line":21,"column":34},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Identifier
5214¿VariableDeclarator¿¿9073¿v541¿¿¿{"start":{"line":22,"column":6},"end":{"line":22,"column":16},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿VariableDeclarator
5215¿UnaryExpression¿!¿9073¿¿¿¿{"start":{"line":22,"column":6},"end":{"line":22,"column":16},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿UnaryExpression
5216¿Identifier¿¿9073¿assertion¿¿¿{"start":{"line":22,"column":7},"end":{"line":22,"column":16},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Identifier
5217¿IfStatement¿¿9073¿¿¿¿{"start":{"line":22,"column":2},"end":{"line":24,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿IfStatement
5218¿Identifier¿¿9073¿v541¿¿¿¿¿Identifier
5219¿VariableDeclarator¿¿9073¿v542¿¿¿{"start":{"line":23,"column":10},"end":{"line":23,"column":28},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿VariableDeclarator
5220¿NewExpression¿¿9073¿¿¿¿{"start":{"line":23,"column":10},"end":{"line":23,"column":28},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿NewExpression
5221¿Identifier¿¿9073¿Error¿¿¿{"start":{"line":23,"column":14},"end":{"line":23,"column":19},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Identifier
5222¿Identifier¿¿9073¿err_msg¿¿¿{"start":{"line":23,"column":20},"end":{"line":23,"column":27},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Identifier
5223¿ThrowStatement¿¿9073¿¿¿¿{"start":{"line":23,"column":4},"end":{"line":23,"column":28},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿ThrowStatement
5224¿Identifier¿¿9073¿v542¿¿¿¿¿Identifier
5225¿BlockStatement¿¿9073¿¿¿¿{"start":{"line":22,"column":18},"end":{"line":24,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿BlockStatement
5226¿BlockStatement¿¿9073¿¿¿¿{"start":{"line":21,"column":36},"end":{"line":25,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿BlockStatement
5227¿VariableDeclarator¿¿9071¿isPort¿¿¿{"start":{"line":39,"column":0},"end":{"line":41,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿VariableDeclarator
5228¿FunctionExpression¿¿9071¿anon¿¿¿{"start":{"line":39,"column":0},"end":{"line":41,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿FunctionExpression
5229¿Identifier¿¿0¿x¿¿¿{"start":{"line":39,"column":16},"end":{"line":39,"column":17},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Identifier
5230¿VariableDeclarator¿¿9076¿v543¿¿¿{"start":{"line":40,"column":9},"end":{"line":40,"column":28},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿VariableDeclarator
5231¿CallExpression¿¿9076¿¿¿¿{"start":{"line":40,"column":9},"end":{"line":40,"column":28},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿CallExpression
5232¿MemberExpression¿¿9076¿¿¿¿{"start":{"line":40,"column":9},"end":{"line":40,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿MemberExpression
5233¿Identifier¿¿9076¿Number¿¿¿{"start":{"line":40,"column":9},"end":{"line":40,"column":15},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Identifier
5234¿Identifier¿¿9076¿isInteger¿¿¿{"start":{"line":40,"column":16},"end":{"line":40,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Identifier
5235¿Identifier¿¿9076¿x¿¿¿{"start":{"line":40,"column":26},"end":{"line":40,"column":27},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Identifier
5236¿VariableDeclarator¿¿9076¿v544¿¿¿{"start":{"line":40,"column":32},"end":{"line":40,"column":38},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿VariableDeclarator
5237¿BinaryExpression¿>=¿9076¿¿¿¿{"start":{"line":40,"column":32},"end":{"line":40,"column":38},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿BinaryExpression
5238¿Identifier¿¿9076¿x¿¿¿{"start":{"line":40,"column":32},"end":{"line":40,"column":33},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Identifier
5239¿Literal¿number¿9076¿¿0¿¿{"start":{"line":40,"column":37},"end":{"line":40,"column":38},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Literal
5240¿VariableDeclarator¿¿9076¿v545¿¿¿{"start":{"line":40,"column":9},"end":{"line":40,"column":38},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿VariableDeclarator
5241¿LogicalExpression¿&&¿9076¿¿¿¿{"start":{"line":40,"column":9},"end":{"line":40,"column":38},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿LogicalExpression
5242¿Identifier¿¿9076¿v543¿¿¿¿¿Identifier
5243¿Identifier¿¿9076¿v544¿¿¿¿¿Identifier
5244¿VariableDeclarator¿¿9076¿v546¿¿¿{"start":{"line":40,"column":42},"end":{"line":40,"column":52},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿VariableDeclarator
5245¿BinaryExpression¿<=¿9076¿¿¿¿{"start":{"line":40,"column":42},"end":{"line":40,"column":52},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿BinaryExpression
5246¿Identifier¿¿9076¿x¿¿¿{"start":{"line":40,"column":42},"end":{"line":40,"column":43},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Identifier
5247¿Literal¿number¿9076¿¿65535¿¿{"start":{"line":40,"column":47},"end":{"line":40,"column":52},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Literal
5248¿VariableDeclarator¿¿9076¿v547¿¿¿{"start":{"line":40,"column":9},"end":{"line":40,"column":52},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿VariableDeclarator
5249¿LogicalExpression¿&&¿9076¿¿¿¿{"start":{"line":40,"column":9},"end":{"line":40,"column":52},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿LogicalExpression
5250¿Identifier¿¿9076¿v545¿¿¿¿¿Identifier
5251¿Identifier¿¿9076¿v546¿¿¿¿¿Identifier
5252¿ReturnStatement¿¿9076¿¿¿¿{"start":{"line":40,"column":2},"end":{"line":40,"column":52},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿ReturnStatement
5253¿Identifier¿¿9076¿v547¿¿¿¿¿Identifier
5254¿BlockStatement¿¿9076¿¿¿¿{"start":{"line":39,"column":19},"end":{"line":41,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿BlockStatement
5255¿VariableDeclarator¿¿9071¿isWindowsNamedPipe¿¿¿{"start":{"line":50,"column":0},"end":{"line":52,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿VariableDeclarator
5256¿FunctionExpression¿¿9071¿anon¿¿¿{"start":{"line":50,"column":0},"end":{"line":52,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿FunctionExpression
5257¿Identifier¿¿0¿x¿¿¿{"start":{"line":50,"column":28},"end":{"line":50,"column":29},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Identifier
5258¿VariableDeclarator¿¿9078¿v548¿¿¿{"start":{"line":51,"column":9},"end":{"line":51,"column":18},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿VariableDeclarator
5259¿CallExpression¿¿9078¿¿¿¿{"start":{"line":51,"column":9},"end":{"line":51,"column":18},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿CallExpression
5260¿Identifier¿¿9078¿String¿¿¿{"start":{"line":51,"column":9},"end":{"line":51,"column":15},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Identifier
5261¿Identifier¿¿9078¿x¿¿¿{"start":{"line":51,"column":16},"end":{"line":51,"column":17},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Identifier
5262¿VariableDeclarator¿¿9078¿v549¿¿¿{"start":{"line":51,"column":9},"end":{"line":51,"column":44},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿VariableDeclarator
5263¿CallExpression¿¿9078¿¿¿¿{"start":{"line":51,"column":9},"end":{"line":51,"column":44},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿CallExpression
5264¿MemberExpression¿¿9078¿¿¿¿{"start":{"line":51,"column":9},"end":{"line":51,"column":27},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿MemberExpression
5265¿Identifier¿¿9078¿v548¿¿¿¿¿Identifier
5266¿Identifier¿¿9078¿includes¿¿¿{"start":{"line":51,"column":19},"end":{"line":51,"column":27},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Identifier
5267¿Literal¿string¿9078¿¿'\\\\.\\pipe\\'¿¿{"start":{"line":51,"column":28},"end":{"line":51,"column":43},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Literal
5268¿ReturnStatement¿¿9078¿¿¿¿{"start":{"line":51,"column":2},"end":{"line":51,"column":44},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿ReturnStatement
5269¿Identifier¿¿9078¿v549¿¿¿¿¿Identifier
5270¿BlockStatement¿¿9078¿¿¿¿{"start":{"line":50,"column":31},"end":{"line":52,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿BlockStatement
5271¿VariableDeclarator¿¿9071¿v550¿¿¿{"start":{"line":55,"column":7},"end":{"line":55,"column":21},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿VariableDeclarator
5272¿FunctionExpression¿¿9071¿anon¿¿¿{"start":{"line":55,"column":7},"end":{"line":55,"column":21},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿FunctionExpression
5273¿BlockStatement¿¿9080¿¿¿¿{"start":{"line":55,"column":18},"end":{"line":55,"column":21},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿BlockStatement
5274¿VariableDeclarator¿¿9071¿v553¿¿¿{"start":{"line":56,"column":7},"end":{"line":58,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿VariableDeclarator
5275¿FunctionExpression¿¿9071¿anon¿¿¿{"start":{"line":56,"column":7},"end":{"line":58,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿FunctionExpression
5276¿Identifier¿¿0¿x¿¿¿{"start":{"line":56,"column":16},"end":{"line":56,"column":17},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Identifier
5277¿VariableDeclarator¿¿9082¿v551¿¿¿{"start":{"line":57,"column":11},"end":{"line":57,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿VariableDeclarator
5278¿CallExpression¿¿9082¿¿¿¿{"start":{"line":57,"column":11},"end":{"line":57,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿CallExpression
5279¿MemberExpression¿¿9082¿¿¿¿{"start":{"line":57,"column":11},"end":{"line":57,"column":27},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿MemberExpression
5280¿Identifier¿¿9082¿Number¿¿¿{"start":{"line":57,"column":11},"end":{"line":57,"column":17},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Identifier
5281¿Identifier¿¿9082¿isInteger¿¿¿{"start":{"line":57,"column":18},"end":{"line":57,"column":27},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Identifier
5282¿Identifier¿¿9082¿x¿¿¿{"start":{"line":57,"column":28},"end":{"line":57,"column":29},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Identifier
5283¿VariableDeclarator¿¿9082¿v552¿¿¿{"start":{"line":57,"column":4},"end":{"line":57,"column":53},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿VariableDeclarator
5284¿CallExpression¿¿9082¿¿¿¿{"start":{"line":57,"column":4},"end":{"line":57,"column":53},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿CallExpression
5285¿Identifier¿¿9082¿assert¿¿¿{"start":{"line":57,"column":4},"end":{"line":57,"column":10},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Identifier
5286¿Identifier¿¿9082¿v551¿¿¿¿¿Identifier
5287¿Literal¿string¿9082¿¿'must be an integer'¿¿{"start":{"line":57,"column":32},"end":{"line":57,"column":52},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Literal
5288¿ExpressionStatement¿¿9082¿¿¿¿{"start":{"line":57,"column":4},"end":{"line":57,"column":53},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿ExpressionStatement
5289¿Identifier¿¿9082¿v552¿¿¿¿¿Identifier
5290¿BlockStatement¿¿9082¿¿¿¿{"start":{"line":56,"column":19},"end":{"line":58,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿BlockStatement
5291¿VariableDeclarator¿¿9071¿v558¿¿¿{"start":{"line":59,"column":7},"end":{"line":61,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿VariableDeclarator
5292¿FunctionExpression¿¿9071¿anon¿¿¿{"start":{"line":59,"column":7},"end":{"line":61,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿FunctionExpression
5293¿Identifier¿¿0¿x¿¿¿{"start":{"line":59,"column":16},"end":{"line":59,"column":17},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Identifier
5294¿VariableDeclarator¿¿9084¿v554¿¿¿{"start":{"line":60,"column":11},"end":{"line":60,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿VariableDeclarator
5295¿CallExpression¿¿9084¿¿¿¿{"start":{"line":60,"column":11},"end":{"line":60,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿CallExpression
5296¿MemberExpression¿¿9084¿¿¿¿{"start":{"line":60,"column":11},"end":{"line":60,"column":27},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿MemberExpression
5297¿Identifier¿¿9084¿Number¿¿¿{"start":{"line":60,"column":11},"end":{"line":60,"column":17},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Identifier
5298¿Identifier¿¿9084¿isInteger¿¿¿{"start":{"line":60,"column":18},"end":{"line":60,"column":27},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Identifier
5299¿Identifier¿¿9084¿x¿¿¿{"start":{"line":60,"column":28},"end":{"line":60,"column":29},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Identifier
5300¿VariableDeclarator¿¿9084¿v555¿¿¿{"start":{"line":60,"column":34},"end":{"line":60,"column":40},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿VariableDeclarator
5301¿BinaryExpression¿>=¿9084¿¿¿¿{"start":{"line":60,"column":34},"end":{"line":60,"column":40},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿BinaryExpression
5302¿Identifier¿¿9084¿x¿¿¿{"start":{"line":60,"column":34},"end":{"line":60,"column":35},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Identifier
5303¿Literal¿number¿9084¿¿0¿¿{"start":{"line":60,"column":39},"end":{"line":60,"column":40},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Literal
5304¿VariableDeclarator¿¿9084¿v556¿¿¿{"start":{"line":60,"column":11},"end":{"line":60,"column":40},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿VariableDeclarator
5305¿LogicalExpression¿&&¿9084¿¿¿¿{"start":{"line":60,"column":11},"end":{"line":60,"column":40},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿LogicalExpression
5306¿Identifier¿¿9084¿v554¿¿¿¿¿Identifier
5307¿Identifier¿¿9084¿v555¿¿¿¿¿Identifier
5308¿VariableDeclarator¿¿9084¿v557¿¿¿{"start":{"line":60,"column":4},"end":{"line":60,"column":71},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿VariableDeclarator
5309¿CallExpression¿¿9084¿¿¿¿{"start":{"line":60,"column":4},"end":{"line":60,"column":71},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿CallExpression
5310¿Identifier¿¿9084¿assert¿¿¿{"start":{"line":60,"column":4},"end":{"line":60,"column":10},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Identifier
5311¿Identifier¿¿9084¿v556¿¿¿¿¿Identifier
5312¿Literal¿string¿9084¿¿'must be a positive integer'¿¿{"start":{"line":60,"column":42},"end":{"line":60,"column":70},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js"}¿¿Literal
