Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
6192¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":949,"column":2},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Program
6214¿FunctionExpression¿¿10999¿anon¿¿¿{"start":{"line":18,"column":16},"end":{"line":84,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿FunctionExpression
6215¿Identifier¿¿0¿obj¿¿¿{"start":{"line":18,"column":26},"end":{"line":18,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Identifier
6216¿Identifier¿¿0¿seen¿¿¿{"start":{"line":18,"column":31},"end":{"line":18,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Identifier
6217¿VariableDeclarator¿¿11001¿v653¿¿¿{"start":{"line":20,"column":8},"end":{"line":20,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿VariableDeclarator
6218¿UnaryExpression¿typeof¿11001¿¿¿¿{"start":{"line":20,"column":8},"end":{"line":20,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿UnaryExpression
6219¿Identifier¿¿11001¿obj¿¿¿{"start":{"line":20,"column":15},"end":{"line":20,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Identifier
6220¿VariableDeclarator¿¿11001¿v654¿¿¿{"start":{"line":20,"column":8},"end":{"line":20,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿VariableDeclarator
6221¿BinaryExpression¿!==¿11001¿¿¿¿{"start":{"line":20,"column":8},"end":{"line":20,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿BinaryExpression
6222¿Identifier¿¿11001¿v653¿¿¿¿¿Identifier
6223¿Literal¿string¿11001¿¿'object'¿¿{"start":{"line":20,"column":23},"end":{"line":20,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Literal
6224¿VariableDeclarator¿¿11001¿v655¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿VariableDeclarator
6225¿BinaryExpression¿===¿11001¿¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿BinaryExpression
6226¿Identifier¿¿11001¿obj¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Identifier
6227¿Literal¿object¿11001¿¿null¿¿{"start":{"line":21,"column":16},"end":{"line":21,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Literal
6228¿VariableDeclarator¿¿11001¿v656¿¿¿{"start":{"line":20,"column":8},"end":{"line":21,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿VariableDeclarator
6229¿LogicalExpression¿||¿11001¿¿¿¿{"start":{"line":20,"column":8},"end":{"line":21,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿LogicalExpression
6230¿Identifier¿¿11001¿v654¿¿¿¿¿Identifier
6231¿Identifier¿¿11001¿v655¿¿¿¿¿Identifier
6232¿IfStatement¿¿11001¿¿¿¿{"start":{"line":20,"column":4},"end":{"line":24,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿IfStatement
6233¿Identifier¿¿11001¿v656¿¿¿¿¿Identifier
6234¿ReturnStatement¿¿11001¿¿¿¿{"start":{"line":23,"column":8},"end":{"line":23,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿ReturnStatement
6235¿Identifier¿¿11001¿obj¿¿¿{"start":{"line":23,"column":15},"end":{"line":23,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Identifier
6236¿BlockStatement¿¿11001¿¿¿¿{"start":{"line":21,"column":22},"end":{"line":24,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿BlockStatement
6237¿VariableDeclarator¿¿11001¿v657¿¿¿{"start":{"line":26,"column":19},"end":{"line":26,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿VariableDeclarator
6238¿NewExpression¿¿11001¿¿¿¿{"start":{"line":26,"column":19},"end":{"line":26,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿NewExpression
6239¿Identifier¿¿11001¿Map¿¿¿{"start":{"line":26,"column":23},"end":{"line":26,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Identifier
6240¿ExpressionStatement¿¿11001¿¿¿¿{"start":{"line":26,"column":4},"end":{"line":26,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿ExpressionStatement
6241¿AssignmentExpression¿=¿11001¿¿¿¿{"start":{"line":26,"column":4},"end":{"line":26,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿AssignmentExpression
6242¿Identifier¿¿11001¿seen¿¿¿{"start":{"line":26,"column":4},"end":{"line":26,"column":8},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Identifier
6243¿LogicalExpression¿||¿11001¿¿¿¿{"start":{"line":26,"column":11},"end":{"line":26,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿LogicalExpression
6244¿Identifier¿¿11001¿seen¿¿¿{"start":{"line":26,"column":11},"end":{"line":26,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Identifier
6245¿Identifier¿¿11001¿v657¿¿¿¿¿Identifier
6246¿VariableDeclarator¿¿11001¿lookup¿¿¿{"start":{"line":28,"column":10},"end":{"line":28,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿VariableDeclarator
6247¿CallExpression¿¿11001¿¿¿¿{"start":{"line":28,"column":19},"end":{"line":28,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿CallExpression
6248¿MemberExpression¿¿11001¿¿¿¿{"start":{"line":28,"column":19},"end":{"line":28,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿MemberExpression
6249¿Identifier¿¿11001¿seen¿¿¿{"start":{"line":28,"column":19},"end":{"line":28,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Identifier
6250¿Identifier¿¿11001¿get¿¿¿{"start":{"line":28,"column":24},"end":{"line":28,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Identifier
6251¿Identifier¿¿11001¿obj¿¿¿{"start":{"line":28,"column":28},"end":{"line":28,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Identifier
6252¿IfStatement¿¿11001¿¿¿¿{"start":{"line":29,"column":4},"end":{"line":31,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿IfStatement
6253¿Identifier¿¿11001¿lookup¿¿¿{"start":{"line":29,"column":8},"end":{"line":29,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Identifier
6254¿ReturnStatement¿¿11001¿¿¿¿{"start":{"line":30,"column":8},"end":{"line":30,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿ReturnStatement
6255¿Identifier¿¿11001¿lookup¿¿¿{"start":{"line":30,"column":15},"end":{"line":30,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Identifier
6256¿BlockStatement¿¿11001¿¿¿¿{"start":{"line":29,"column":16},"end":{"line":31,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿BlockStatement
6257¿VariableDeclarator¿¿11001¿newObj¿¿¿{"start":{"line":33,"column":8},"end":{"line":33,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿VariableDeclarator
6258¿VariableDeclarator¿¿11001¿cloneDeep¿¿¿{"start":{"line":34,"column":8},"end":{"line":34,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿VariableDeclarator
6259¿Literal¿boolean¿11001¿¿false¿¿{"start":{"line":34,"column":20},"end":{"line":34,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Literal
6260¿VariableDeclarator¿¿11001¿v658¿¿¿{"start":{"line":36,"column":9},"end":{"line":36,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿VariableDeclarator
6261¿CallExpression¿¿11001¿¿¿¿{"start":{"line":36,"column":9},"end":{"line":36,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿CallExpression
6262¿MemberExpression¿¿11001¿¿¿¿{"start":{"line":36,"column":9},"end":{"line":36,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿MemberExpression
6263¿Identifier¿¿11001¿Array¿¿¿{"start":{"line":36,"column":9},"end":{"line":36,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Identifier
6264¿Identifier¿¿11001¿isArray¿¿¿{"start":{"line":36,"column":15},"end":{"line":36,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Identifier
6265¿Identifier¿¿11001¿obj¿¿¿{"start":{"line":36,"column":23},"end":{"line":36,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Identifier
6266¿VariableDeclarator¿¿11001¿v659¿¿¿{"start":{"line":36,"column":8},"end":{"line":36,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿VariableDeclarator
6267¿UnaryExpression¿!¿11001¿¿¿¿{"start":{"line":36,"column":8},"end":{"line":36,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿UnaryExpression
6268¿Identifier¿¿11001¿v658¿¿¿¿¿Identifier
6269¿IfStatement¿¿11001¿¿¿¿{"start":{"line":36,"column":4},"end":{"line":62,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿IfStatement
6270¿Identifier¿¿11001¿v659¿¿¿¿¿Identifier
6271¿VariableDeclarator¿¿11001¿v660¿¿¿{"start":{"line":37,"column":12},"end":{"line":37,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿VariableDeclarator
6272¿CallExpression¿¿11001¿¿¿¿{"start":{"line":37,"column":12},"end":{"line":37,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿CallExpression
6273¿MemberExpression¿¿11001¿¿¿¿{"start":{"line":37,"column":12},"end":{"line":37,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿MemberExpression
6274¿Identifier¿¿11001¿Buffer¿¿¿{"start":{"line":37,"column":12},"end":{"line":37,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Identifier
6275¿Identifier¿¿11001¿isBuffer¿¿¿{"start":{"line":37,"column":19},"end":{"line":37,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Identifier
6276¿Identifier¿¿11001¿obj¿¿¿{"start":{"line":37,"column":28},"end":{"line":37,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Identifier
6277¿IfStatement¿¿11001¿¿¿¿{"start":{"line":37,"column":8},"end":{"line":57,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿IfStatement
6278¿Identifier¿¿11001¿v660¿¿¿¿¿Identifier
6279¿ExpressionStatement¿¿11001¿¿¿¿{"start":{"line":38,"column":12},"end":{"line":38,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿ExpressionStatement
6280¿AssignmentExpression¿=¿11001¿¿¿¿{"start":{"line":38,"column":12},"end":{"line":38,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿AssignmentExpression
6281¿Identifier¿¿11001¿newObj¿¿¿{"start":{"line":38,"column":12},"end":{"line":38,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Identifier
6282¿NewExpression¿¿11001¿¿¿¿{"start":{"line":38,"column":21},"end":{"line":38,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿NewExpression
6283¿Identifier¿¿11001¿Buffer¿¿¿{"start":{"line":38,"column":25},"end":{"line":38,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Identifier
6284¿Identifier¿¿11001¿obj¿¿¿{"start":{"line":38,"column":32},"end":{"line":38,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Identifier
6285¿BlockStatement¿¿11001¿¿¿¿{"start":{"line":37,"column":34},"end":{"line":39,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿BlockStatement
6286¿VariableDeclarator¿¿11001¿v661¿¿¿{"start":{"line":40,"column":17},"end":{"line":40,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿VariableDeclarator
6287¿BinaryExpression¿instanceof¿11001¿¿¿¿{"start":{"line":40,"column":17},"end":{"line":40,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿BinaryExpression
6288¿Identifier¿¿11001¿obj¿¿¿{"start":{"line":40,"column":17},"end":{"line":40,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Identifier
6289¿Identifier¿¿11001¿Date¿¿¿{"start":{"line":40,"column":32},"end":{"line":40,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Identifier
6290¿IfStatement¿¿11001¿¿¿¿{"start":{"line":40,"column":13},"end":{"line":57,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿IfStatement
6291¿Identifier¿¿11001¿v661¿¿¿¿¿Identifier
6292¿VariableDeclarator¿¿11001¿v662¿¿¿{"start":{"line":41,"column":30},"end":{"line":41,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿VariableDeclarator
6293¿CallExpression¿¿11001¿¿¿¿{"start":{"line":41,"column":30},"end":{"line":41,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿CallExpression
6294¿MemberExpression¿¿11001¿¿¿¿{"start":{"line":41,"column":30},"end":{"line":41,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿MemberExpression
6295¿Identifier¿¿11001¿obj¿¿¿{"start":{"line":41,"column":30},"end":{"line":41,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Identifier
6296¿Identifier¿¿11001¿getTime¿¿¿{"start":{"line":41,"column":34},"end":{"line":41,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Identifier
6297¿ExpressionStatement¿¿11001¿¿¿¿{"start":{"line":41,"column":12},"end":{"line":41,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿ExpressionStatement
6298¿AssignmentExpression¿=¿11001¿¿¿¿{"start":{"line":41,"column":12},"end":{"line":41,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿AssignmentExpression
6299¿Identifier¿¿11001¿newObj¿¿¿{"start":{"line":41,"column":12},"end":{"line":41,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Identifier
6300¿NewExpression¿¿11001¿¿¿¿{"start":{"line":41,"column":21},"end":{"line":41,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿NewExpression
6301¿Identifier¿¿11001¿Date¿¿¿{"start":{"line":41,"column":25},"end":{"line":41,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Identifier
6302¿Identifier¿¿11001¿v662¿¿¿¿¿Identifier
6303¿BlockStatement¿¿11001¿¿¿¿{"start":{"line":40,"column":38},"end":{"line":42,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿BlockStatement
6304¿VariableDeclarator¿¿11001¿v663¿¿¿{"start":{"line":43,"column":17},"end":{"line":43,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿VariableDeclarator
6305¿BinaryExpression¿instanceof¿11001¿¿¿¿{"start":{"line":43,"column":17},"end":{"line":43,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿BinaryExpression
6306¿Identifier¿¿11001¿obj¿¿¿{"start":{"line":43,"column":17},"end":{"line":43,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Identifier
6307¿Identifier¿¿11001¿RegExp¿¿¿{"start":{"line":43,"column":32},"end":{"line":43,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Identifier
6308¿IfStatement¿¿11001¿¿¿¿{"start":{"line":43,"column":13},"end":{"line":57,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿IfStatement
6309¿Identifier¿¿11001¿v663¿¿¿¿¿Identifier
6310¿ExpressionStatement¿¿11001¿¿¿¿{"start":{"line":44,"column":12},"end":{"line":44,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿ExpressionStatement
6311¿AssignmentExpression¿=¿11001¿¿¿¿{"start":{"line":44,"column":12},"end":{"line":44,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿AssignmentExpression
6312¿Identifier¿¿11001¿newObj¿¿¿{"start":{"line":44,"column":12},"end":{"line":44,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Identifier
6313¿NewExpression¿¿11001¿¿¿¿{"start":{"line":44,"column":21},"end":{"line":44,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿NewExpression
6314¿Identifier¿¿11001¿RegExp¿¿¿{"start":{"line":44,"column":25},"end":{"line":44,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Identifier
6315¿Identifier¿¿11001¿obj¿¿¿{"start":{"line":44,"column":32},"end":{"line":44,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Identifier
6316¿BlockStatement¿¿11001¿¿¿¿{"start":{"line":43,"column":40},"end":{"line":45,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿BlockStatement
6317¿VariableDeclarator¿¿11001¿proto¿¿¿{"start":{"line":47,"column":18},"end":{"line":47,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿VariableDeclarator
6318¿CallExpression¿¿11001¿¿¿¿{"start":{"line":47,"column":26},"end":{"line":47,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿CallExpression
6319¿MemberExpression¿¿11001¿¿¿¿{"start":{"line":47,"column":26},"end":{"line":47,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿MemberExpression
6320¿Identifier¿¿11001¿Object¿¿¿{"start":{"line":47,"column":26},"end":{"line":47,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Identifier
6321¿Identifier¿¿11001¿getPrototypeOf¿¿¿{"start":{"line":47,"column":33},"end":{"line":47,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Identifier
6322¿Identifier¿¿11001¿obj¿¿¿{"start":{"line":47,"column":48},"end":{"line":47,"column":51},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Identifier
6323¿VariableDeclarator¿¿11001¿v664¿¿¿{"start":{"line":49,"column":16},"end":{"line":49,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿VariableDeclarator
6324¿MemberExpression¿¿11001¿¿¿¿{"start":{"line":49,"column":16},"end":{"line":49,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿MemberExpression
6325¿Identifier¿¿11001¿proto¿¿¿{"start":{"line":49,"column":16},"end":{"line":49,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Identifier
6326¿Identifier¿¿11001¿isImmutable¿¿¿{"start":{"line":49,"column":22},"end":{"line":49,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Identifier
6327¿VariableDeclarator¿¿11001¿v665¿¿¿{"start":{"line":48,"column":16},"end":{"line":49,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿VariableDeclarator
6328¿LogicalExpression¿&&¿11001¿¿¿¿{"start":{"line":48,"column":16},"end":{"line":49,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿LogicalExpression
6329¿Identifier¿¿11001¿proto¿¿¿{"start":{"line":48,"column":16},"end":{"line":48,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/hoek_5.0.0/src/index.js"}¿¿Identifier
6330¿Identifier¿¿11001¿v664¿¿¿¿¿Identifier
