Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
3216¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":597,"column":2},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿Program
3236¿ArrayExpression¿¿5524¿¿¿¿{"start":{"line":7,"column":17},"end":{"line":7,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿ArrayExpression
3237¿VariableDeclarator¿¿5524¿_name¿¿¿{"start":{"line":8,"column":8},"end":{"line":8,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿VariableDeclarator
3238¿Literal¿string¿5524¿¿'AlfredWfNodeJs'¿¿{"start":{"line":8,"column":16},"end":{"line":8,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿Literal
3239¿VariableDeclarator¿¿5524¿handlers¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿VariableDeclarator
3240¿ObjectExpression¿¿5524¿¿¿¿¿¿ObjectExpression
3241¿VariableDeclarator¿¿5524¿clearItems¿¿¿{"start":{"line":10,"column":8},"end":{"line":13,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿VariableDeclarator
3242¿FunctionExpression¿¿5524¿anon¿¿¿{"start":{"line":10,"column":21},"end":{"line":13,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿FunctionExpression
3243¿ExpressionStatement¿¿5526¿¿¿¿{"start":{"line":11,"column":8},"end":{"line":11,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿ExpressionStatement
3244¿AssignmentExpression¿=¿5526¿¿¿¿{"start":{"line":11,"column":8},"end":{"line":11,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿AssignmentExpression
3245¿Identifier¿¿5526¿_items¿¿¿{"start":{"line":11,"column":8},"end":{"line":11,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿Identifier
3246¿ArrayExpression¿¿5526¿¿¿¿{"start":{"line":11,"column":17},"end":{"line":11,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿ArrayExpression
3247¿VariableDeclarator¿¿5526¿v263¿¿¿{"start":{"line":12,"column":8},"end":{"line":12,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿VariableDeclarator
3248¿CallExpression¿¿5526¿¿¿¿{"start":{"line":12,"column":8},"end":{"line":12,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿CallExpression
3249¿Identifier¿¿5526¿clearItemsData¿¿¿{"start":{"line":12,"column":8},"end":{"line":12,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿Identifier
3250¿ExpressionStatement¿¿5526¿¿¿¿{"start":{"line":12,"column":8},"end":{"line":12,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿ExpressionStatement
3251¿Identifier¿¿5526¿v263¿¿¿¿¿Identifier
3252¿BlockStatement¿¿5526¿¿¿¿{"start":{"line":10,"column":32},"end":{"line":13,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿BlockStatement
3253¿VariableDeclarator¿¿5524¿addItem¿¿¿{"start":{"line":15,"column":8},"end":{"line":23,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿VariableDeclarator
3254¿FunctionExpression¿¿5524¿anon¿¿¿{"start":{"line":15,"column":18},"end":{"line":23,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿FunctionExpression
3255¿Identifier¿¿0¿item¿¿¿{"start":{"line":15,"column":27},"end":{"line":15,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿Identifier
3256¿VariableDeclarator¿¿5528¿v264¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿VariableDeclarator
3257¿CallExpression¿¿5528¿¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿CallExpression
3258¿Identifier¿¿5528¿saveItemData¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿Identifier
3259¿Identifier¿¿5528¿item¿¿¿{"start":{"line":16,"column":21},"end":{"line":16,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿Identifier
3260¿ExpressionStatement¿¿5528¿¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿ExpressionStatement
3261¿Identifier¿¿5528¿v264¿¿¿¿¿Identifier
3262¿VariableDeclarator¿¿5528¿v265¿¿¿{"start":{"line":18,"column":12},"end":{"line":18,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿VariableDeclarator
3263¿MemberExpression¿¿5528¿¿¿¿{"start":{"line":18,"column":12},"end":{"line":18,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿MemberExpression
3264¿Identifier¿¿5528¿item¿¿¿{"start":{"line":18,"column":12},"end":{"line":18,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿Identifier
3265¿Identifier¿¿5528¿hasSubItems¿¿¿{"start":{"line":18,"column":17},"end":{"line":18,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿Identifier
3266¿IfStatement¿¿5528¿¿¿¿{"start":{"line":18,"column":8},"end":{"line":20,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿IfStatement
3267¿Identifier¿¿5528¿v265¿¿¿¿¿Identifier
3268¿VariableDeclarator¿¿5528¿v266¿¿¿{"start":{"line":19,"column":32},"end":{"line":19,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿VariableDeclarator
3269¿MemberExpression¿¿5528¿¿¿¿{"start":{"line":19,"column":32},"end":{"line":19,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿MemberExpression
3270¿Identifier¿¿5528¿item¿¿¿{"start":{"line":19,"column":32},"end":{"line":19,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿Identifier
3271¿Identifier¿¿5528¿title¿¿¿{"start":{"line":19,"column":37},"end":{"line":19,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿Identifier
3272¿VariableDeclarator¿¿5528¿v267¿¿¿{"start":{"line":19,"column":45},"end":{"line":19,"column":71},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿VariableDeclarator
3273¿MemberExpression¿¿5528¿¿¿¿{"start":{"line":19,"column":45},"end":{"line":19,"column":71},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿MemberExpression
3274¿Identifier¿¿5528¿Utils¿¿¿{"start":{"line":19,"column":45},"end":{"line":19,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿Identifier
3275¿Identifier¿¿5528¿SUB_ACTION_SEPARATOR¿¿¿{"start":{"line":19,"column":51},"end":{"line":19,"column":71},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿Identifier
3276¿ExpressionStatement¿¿5528¿¿¿¿{"start":{"line":19,"column":12},"end":{"line":19,"column":72},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿ExpressionStatement
3277¿AssignmentExpression¿=¿5528¿¿¿¿{"start":{"line":19,"column":12},"end":{"line":19,"column":71},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿AssignmentExpression
3278¿MemberExpression¿¿5528¿¿¿¿{"start":{"line":19,"column":12},"end":{"line":19,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿MemberExpression
3279¿Identifier¿¿5528¿item¿¿¿{"start":{"line":19,"column":12},"end":{"line":19,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿Identifier
3280¿Identifier¿¿5528¿autocomplete¿¿¿{"start":{"line":19,"column":17},"end":{"line":19,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿Identifier
3281¿BinaryExpression¿+¿5528¿¿¿¿{"start":{"line":19,"column":32},"end":{"line":19,"column":71},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿BinaryExpression
3282¿Identifier¿¿5528¿v266¿¿¿¿¿Identifier
3283¿Identifier¿¿5528¿v267¿¿¿¿¿Identifier
3284¿BlockStatement¿¿5528¿¿¿¿{"start":{"line":18,"column":30},"end":{"line":20,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿BlockStatement
3285¿VariableDeclarator¿¿5528¿v268¿¿¿{"start":{"line":22,"column":20},"end":{"line":22,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿VariableDeclarator
3286¿CallExpression¿¿5528¿¿¿¿{"start":{"line":22,"column":20},"end":{"line":22,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿CallExpression
3287¿MemberExpression¿¿5528¿¿¿¿{"start":{"line":22,"column":20},"end":{"line":22,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿MemberExpression
3288¿Identifier¿¿5528¿item¿¿¿{"start":{"line":22,"column":20},"end":{"line":22,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿Identifier
3289¿Identifier¿¿5528¿feedback¿¿¿{"start":{"line":22,"column":25},"end":{"line":22,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿Identifier
3290¿VariableDeclarator¿¿5528¿v269¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿VariableDeclarator
3291¿CallExpression¿¿5528¿¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿CallExpression
3292¿MemberExpression¿¿5528¿¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿MemberExpression
3293¿Identifier¿¿5528¿_items¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿Identifier
3294¿Identifier¿¿5528¿push¿¿¿{"start":{"line":22,"column":15},"end":{"line":22,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿Identifier
3295¿Identifier¿¿5528¿v268¿¿¿¿¿Identifier
3296¿ExpressionStatement¿¿5528¿¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿ExpressionStatement
3297¿Identifier¿¿5528¿v269¿¿¿¿¿Identifier
3298¿BlockStatement¿¿5528¿¿¿¿{"start":{"line":15,"column":33},"end":{"line":23,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿BlockStatement
3299¿VariableDeclarator¿¿5524¿feedback¿¿¿{"start":{"line":25,"column":8},"end":{"line":47,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿VariableDeclarator
3300¿FunctionExpression¿¿5524¿anon¿¿¿{"start":{"line":25,"column":19},"end":{"line":47,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿FunctionExpression
3301¿VariableDeclarator¿¿5531¿usage¿¿¿{"start":{"line":27,"column":12},"end":{"line":27,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿VariableDeclarator
3302¿CallExpression¿¿5531¿¿¿¿{"start":{"line":27,"column":20},"end":{"line":27,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿CallExpression
3303¿MemberExpression¿¿5531¿¿¿¿{"start":{"line":27,"column":20},"end":{"line":27,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿MemberExpression
3304¿Identifier¿¿5531¿Storage¿¿¿{"start":{"line":27,"column":20},"end":{"line":27,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿Identifier
3305¿Identifier¿¿5531¿get¿¿¿{"start":{"line":27,"column":28},"end":{"line":27,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿Identifier
3306¿Literal¿string¿5531¿¿'usage'¿¿{"start":{"line":27,"column":32},"end":{"line":27,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿Literal
3307¿VariableDeclarator¿¿5531¿v270¿¿¿{"start":{"line":28,"column":25},"end":{"line":28,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿VariableDeclarator
3308¿ObjectExpression¿¿5531¿¿¿¿{"start":{"line":28,"column":25},"end":{"line":28,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿ObjectExpression
3309¿ExpressionStatement¿¿5531¿¿¿¿{"start":{"line":28,"column":8},"end":{"line":28,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿ExpressionStatement
3310¿AssignmentExpression¿=¿5531¿¿¿¿{"start":{"line":28,"column":8},"end":{"line":28,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿AssignmentExpression
3311¿Identifier¿¿5531¿usage¿¿¿{"start":{"line":28,"column":8},"end":{"line":28,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿Identifier
3312¿LogicalExpression¿||¿5531¿¿¿¿{"start":{"line":28,"column":16},"end":{"line":28,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿LogicalExpression
3313¿Identifier¿¿5531¿usage¿¿¿{"start":{"line":28,"column":16},"end":{"line":28,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿Identifier
3314¿Identifier¿¿5531¿v270¿¿¿¿¿Identifier
3315¿VariableDeclarator¿¿5531¿v275¿¿¿{"start":{"line":30,"column":23},"end":{"line":33,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿VariableDeclarator
3316¿FunctionExpression¿¿5531¿anon¿¿¿{"start":{"line":30,"column":23},"end":{"line":33,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿FunctionExpression
3317¿Identifier¿¿0¿item¿¿¿{"start":{"line":30,"column":32},"end":{"line":30,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿Identifier
3318¿VariableDeclarator¿¿5533¿title¿¿¿{"start":{"line":31,"column":16},"end":{"line":31,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿VariableDeclarator
3319¿MemberExpression¿¿5533¿¿¿¿{"start":{"line":31,"column":24},"end":{"line":31,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿MemberExpression
3320¿Identifier¿¿5533¿item¿¿¿{"start":{"line":31,"column":24},"end":{"line":31,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿Identifier
3321¿Identifier¿¿5533¿title¿¿¿{"start":{"line":31,"column":29},"end":{"line":31,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿Identifier
3322¿VariableDeclarator¿¿5533¿v271¿¿¿{"start":{"line":32,"column":25},"end":{"line":32,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿VariableDeclarator
3323¿MemberExpression¿computed¿5533¿¿¿¿{"start":{"line":32,"column":25},"end":{"line":32,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿MemberExpression
3324¿Identifier¿¿5533¿usage¿¿¿{"start":{"line":32,"column":25},"end":{"line":32,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿Identifier
3325¿Identifier¿¿5533¿title¿¿¿{"start":{"line":32,"column":31},"end":{"line":32,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿Identifier
3326¿VariableDeclarator¿¿5533¿v272¿¿¿{"start":{"line":32,"column":45},"end":{"line":32,"column":57},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿VariableDeclarator
3327¿MemberExpression¿computed¿5533¿¿¿¿{"start":{"line":32,"column":45},"end":{"line":32,"column":57},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿MemberExpression
3328¿Identifier¿¿5533¿usage¿¿¿{"start":{"line":32,"column":45},"end":{"line":32,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿Identifier
3329¿Identifier¿¿5533¿title¿¿¿{"start":{"line":32,"column":51},"end":{"line":32,"column":56},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿Identifier
3330¿VariableDeclarator¿¿5533¿v273¿¿¿{"start":{"line":32,"column":41},"end":{"line":32,"column":57},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿VariableDeclarator
3331¿BinaryExpression¿-¿5533¿¿¿¿{"start":{"line":32,"column":41},"end":{"line":32,"column":57},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿BinaryExpression
3332¿Literal¿number¿5533¿¿0¿¿{"start":{"line":32,"column":41},"end":{"line":32,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿Literal
3333¿Identifier¿¿5533¿v272¿¿¿¿¿Identifier
3334¿VariableDeclarator¿¿5533¿v274¿¿¿{"start":{"line":32,"column":25},"end":{"line":32,"column":62},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿VariableDeclarator
3335¿IfStatement¿¿5533¿¿¿¿{"start":{"line":32,"column":25},"end":{"line":32,"column":62},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿IfStatement
3336¿Identifier¿¿5533¿v271¿¿¿¿¿Identifier
3337¿ExpressionStatement¿¿5533¿¿¿¿{"start":{"line":32,"column":25},"end":{"line":32,"column":62},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿ExpressionStatement
3338¿AssignmentExpression¿=¿5533¿¿¿¿{"start":{"line":32,"column":25},"end":{"line":32,"column":62},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿AssignmentExpression
3339¿Identifier¿¿5533¿v274¿¿¿¿¿Identifier
3340¿Identifier¿¿5533¿v273¿¿¿¿¿Identifier
3341¿BlockStatement¿¿5533¿¿¿¿¿¿BlockStatement
