Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
684¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":98,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Program
749¿CallExpression¿¿1204¿¿¿¿{"start":{"line":14,"column":25},"end":{"line":14,"column":55},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿CallExpression
750¿Identifier¿¿1204¿require¿¿¿{"start":{"line":14,"column":25},"end":{"line":14,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Identifier
751¿Literal¿string¿1204¿¿'lodash/object/forIn'¿¿{"start":{"line":14,"column":33},"end":{"line":14,"column":54},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Literal
752¿VariableDeclarator¿¿1204¿_lodashObjectForIn2¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":68},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿VariableDeclarator
753¿CallExpression¿¿1204¿¿¿¿{"start":{"line":16,"column":26},"end":{"line":16,"column":68},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿CallExpression
754¿Identifier¿¿1204¿_interopRequireDefault¿¿¿{"start":{"line":16,"column":26},"end":{"line":16,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Identifier
755¿Identifier¿¿1204¿_lodashObjectForIn¿¿¿{"start":{"line":16,"column":49},"end":{"line":16,"column":67},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Identifier
756¿VariableDeclarator¿¿1204¿_lodashLangCloneDeep¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":59},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿VariableDeclarator
757¿CallExpression¿¿1204¿¿¿¿{"start":{"line":18,"column":27},"end":{"line":18,"column":59},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿CallExpression
758¿Identifier¿¿1204¿require¿¿¿{"start":{"line":18,"column":27},"end":{"line":18,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Identifier
759¿Literal¿string¿1204¿¿'lodash/lang/cloneDeep'¿¿{"start":{"line":18,"column":35},"end":{"line":18,"column":58},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Literal
760¿VariableDeclarator¿¿1204¿_lodashLangCloneDeep2¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":72},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿VariableDeclarator
761¿CallExpression¿¿1204¿¿¿¿{"start":{"line":20,"column":28},"end":{"line":20,"column":72},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿CallExpression
762¿Identifier¿¿1204¿_interopRequireDefault¿¿¿{"start":{"line":20,"column":28},"end":{"line":20,"column":50},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Identifier
763¿Identifier¿¿1204¿_lodashLangCloneDeep¿¿¿{"start":{"line":20,"column":51},"end":{"line":20,"column":71},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Identifier
764¿VariableDeclarator¿¿1204¿_lodashLangIsObject¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿VariableDeclarator
765¿CallExpression¿¿1204¿¿¿¿{"start":{"line":22,"column":26},"end":{"line":22,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿CallExpression
766¿Identifier¿¿1204¿require¿¿¿{"start":{"line":22,"column":26},"end":{"line":22,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Identifier
767¿Literal¿string¿1204¿¿'lodash/lang/isObject'¿¿{"start":{"line":22,"column":34},"end":{"line":22,"column":56},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Literal
768¿VariableDeclarator¿¿1204¿_lodashLangIsObject2¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":70},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿VariableDeclarator
769¿CallExpression¿¿1204¿¿¿¿{"start":{"line":24,"column":27},"end":{"line":24,"column":70},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿CallExpression
770¿Identifier¿¿1204¿_interopRequireDefault¿¿¿{"start":{"line":24,"column":27},"end":{"line":24,"column":49},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Identifier
771¿Identifier¿¿1204¿_lodashLangIsObject¿¿¿{"start":{"line":24,"column":50},"end":{"line":24,"column":69},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Identifier
772¿VariableDeclarator¿¿1204¿_lodashLangIsUndefined¿¿¿{"start":{"line":26,"column":4},"end":{"line":26,"column":63},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿VariableDeclarator
773¿CallExpression¿¿1204¿¿¿¿{"start":{"line":26,"column":29},"end":{"line":26,"column":63},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿CallExpression
774¿Identifier¿¿1204¿require¿¿¿{"start":{"line":26,"column":29},"end":{"line":26,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Identifier
775¿Literal¿string¿1204¿¿'lodash/lang/isUndefined'¿¿{"start":{"line":26,"column":37},"end":{"line":26,"column":62},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Literal
776¿VariableDeclarator¿¿1204¿_lodashLangIsUndefined2¿¿¿{"start":{"line":28,"column":4},"end":{"line":28,"column":76},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿VariableDeclarator
777¿CallExpression¿¿1204¿¿¿¿{"start":{"line":28,"column":30},"end":{"line":28,"column":76},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿CallExpression
778¿Identifier¿¿1204¿_interopRequireDefault¿¿¿{"start":{"line":28,"column":30},"end":{"line":28,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Identifier
779¿Identifier¿¿1204¿_lodashLangIsUndefined¿¿¿{"start":{"line":28,"column":53},"end":{"line":28,"column":75},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Identifier
780¿VariableDeclarator¿¿1204¿mixer¿¿¿{"start":{"line":42,"column":0},"end":{"line":96,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿VariableDeclarator
781¿FunctionExpression¿¿1204¿anon¿¿¿{"start":{"line":42,"column":0},"end":{"line":96,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿FunctionExpression
782¿VariableDeclarator¿¿1209¿opts¿¿¿{"start":{"line":43,"column":6},"end":{"line":43,"column":84},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿VariableDeclarator
783¿VariableDeclarator¿¿1209¿v77¿¿¿{"start":{"line":43,"column":13},"end":{"line":43,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿VariableDeclarator
784¿MemberExpression¿¿1209¿¿¿¿{"start":{"line":43,"column":13},"end":{"line":43,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿MemberExpression
785¿Identifier¿¿1209¿arguments¿¿¿{"start":{"line":43,"column":13},"end":{"line":43,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Identifier
786¿Identifier¿¿1209¿length¿¿¿{"start":{"line":43,"column":23},"end":{"line":43,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Identifier
787¿VariableDeclarator¿¿1209¿v78¿¿¿{"start":{"line":43,"column":13},"end":{"line":43,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿VariableDeclarator
788¿BinaryExpression¿<=¿1209¿¿¿¿{"start":{"line":43,"column":13},"end":{"line":43,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿BinaryExpression
789¿Identifier¿¿1209¿v77¿¿¿¿¿Identifier
790¿Literal¿number¿1209¿¿0¿¿{"start":{"line":43,"column":33},"end":{"line":43,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Literal
791¿VariableDeclarator¿¿1209¿v79¿¿¿{"start":{"line":43,"column":38},"end":{"line":43,"column":50},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿VariableDeclarator
792¿MemberExpression¿computed¿1209¿¿¿¿{"start":{"line":43,"column":38},"end":{"line":43,"column":50},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿MemberExpression
793¿Identifier¿¿1209¿arguments¿¿¿{"start":{"line":43,"column":38},"end":{"line":43,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Identifier
794¿Literal¿number¿1209¿¿0¿¿{"start":{"line":43,"column":48},"end":{"line":43,"column":49},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Literal
795¿VariableDeclarator¿¿1209¿v80¿¿¿{"start":{"line":43,"column":38},"end":{"line":43,"column":64},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿VariableDeclarator
796¿BinaryExpression¿===¿1209¿¿¿¿{"start":{"line":43,"column":38},"end":{"line":43,"column":64},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿BinaryExpression
797¿Identifier¿¿1209¿v79¿¿¿¿¿Identifier
798¿Identifier¿¿1209¿undefined¿¿¿{"start":{"line":43,"column":55},"end":{"line":43,"column":64},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Identifier
799¿VariableDeclarator¿¿1209¿v81¿¿¿{"start":{"line":43,"column":13},"end":{"line":43,"column":64},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿VariableDeclarator
800¿LogicalExpression¿||¿1209¿¿¿¿{"start":{"line":43,"column":13},"end":{"line":43,"column":64},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿LogicalExpression
801¿Identifier¿¿1209¿v78¿¿¿¿¿Identifier
802¿Identifier¿¿1209¿v80¿¿¿¿¿Identifier
803¿VariableDeclarator¿¿1209¿v82¿¿¿{"start":{"line":43,"column":67},"end":{"line":43,"column":69},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿VariableDeclarator
804¿ObjectExpression¿¿1209¿¿¿¿{"start":{"line":43,"column":67},"end":{"line":43,"column":69},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿ObjectExpression
805¿VariableDeclarator¿¿1209¿v83¿¿¿{"start":{"line":43,"column":72},"end":{"line":43,"column":84},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿VariableDeclarator
806¿MemberExpression¿computed¿1209¿¿¿¿{"start":{"line":43,"column":72},"end":{"line":43,"column":84},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿MemberExpression
807¿Identifier¿¿1209¿arguments¿¿¿{"start":{"line":43,"column":72},"end":{"line":43,"column":81},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Identifier
808¿Literal¿number¿1209¿¿0¿¿{"start":{"line":43,"column":82},"end":{"line":43,"column":83},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Literal
809¿IfStatement¿¿1209¿¿¿¿{"start":{"line":43,"column":13},"end":{"line":43,"column":84},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿IfStatement
810¿Identifier¿¿1209¿v81¿¿¿¿¿Identifier
811¿ExpressionStatement¿¿1209¿¿¿¿{"start":{"line":43,"column":13},"end":{"line":43,"column":84},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿ExpressionStatement
812¿AssignmentExpression¿=¿1209¿¿¿¿{"start":{"line":43,"column":13},"end":{"line":43,"column":84},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿AssignmentExpression
813¿Identifier¿¿1209¿opts¿¿¿{"start":{"line":43,"column":13},"end":{"line":43,"column":84},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Identifier
814¿Identifier¿¿1209¿v82¿¿¿¿¿Identifier
815¿BlockStatement¿¿1209¿¿¿¿¿¿BlockStatement
816¿ExpressionStatement¿¿1209¿¿¿¿{"start":{"line":43,"column":13},"end":{"line":43,"column":84},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿ExpressionStatement
817¿AssignmentExpression¿=¿1209¿¿¿¿{"start":{"line":43,"column":13},"end":{"line":43,"column":84},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿AssignmentExpression
818¿Identifier¿¿1209¿opts¿¿¿{"start":{"line":43,"column":13},"end":{"line":43,"column":84},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿Identifier
819¿Identifier¿¿1209¿v83¿¿¿¿¿Identifier
820¿BlockStatement¿¿1209¿¿¿¿¿¿BlockStatement
821¿VariableDeclarator¿¿1209¿v84¿¿¿{"start":{"line":46,"column":6},"end":{"line":46,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/supermixer_1.0.3/src/mixer.js"}¿¿VariableDeclarator
