Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
795¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":92,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿Program
830¿MemberExpression¿¿1359¿¿¿¿{"start":{"line":9,"column":2},"end":{"line":9,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿MemberExpression
831¿ThisExpression¿¿1359¿¿¿¿{"start":{"line":9,"column":2},"end":{"line":9,"column":6},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿ThisExpression
832¿Identifier¿¿1359¿charset¿¿¿{"start":{"line":9,"column":7},"end":{"line":9,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿Identifier
833¿Literal¿string¿1359¿¿'utf-8'¿¿{"start":{"line":9,"column":17},"end":{"line":9,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿Literal
834¿VariableDeclarator¿¿1359¿v70¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿VariableDeclarator
835¿CallExpression¿¿1359¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿CallExpression
836¿MemberExpression¿¿1359¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":11},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿MemberExpression
837¿ThisExpression¿¿1359¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":6},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿ThisExpression
838¿Identifier¿¿1359¿init¿¿¿{"start":{"line":10,"column":7},"end":{"line":10,"column":11},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿Identifier
839¿ExpressionStatement¿¿1359¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿ExpressionStatement
840¿Identifier¿¿1359¿v70¿¿¿¿¿Identifier
841¿BlockStatement¿¿1359¿¿¿¿{"start":{"line":6,"column":24},"end":{"line":11,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿BlockStatement
842¿VariableDeclarator¿¿1357¿v73¿¿¿{"start":{"line":14,"column":8},"end":{"line":17,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿VariableDeclarator
843¿FunctionExpression¿¿1357¿anon¿¿¿{"start":{"line":14,"column":8},"end":{"line":17,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿FunctionExpression
844¿VariableDeclarator¿¿1361¿v71¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿VariableDeclarator
845¿CallExpression¿¿1361¿¿¿¿{"start":{"line":15,"column":20},"end":{"line":15,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿CallExpression
846¿MemberExpression¿¿1361¿¿¿¿{"start":{"line":15,"column":20},"end":{"line":15,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿MemberExpression
847¿ThisExpression¿¿1361¿¿¿¿{"start":{"line":15,"column":20},"end":{"line":15,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿ThisExpression
848¿Identifier¿¿1361¿getFilePath¿¿¿{"start":{"line":15,"column":25},"end":{"line":15,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿Identifier
849¿ExpressionStatement¿¿1361¿¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿ExpressionStatement
850¿AssignmentExpression¿=¿1361¿¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿AssignmentExpression
851¿MemberExpression¿¿1361¿¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿MemberExpression
852¿ThisExpression¿¿1361¿¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":8},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿ThisExpression
853¿Identifier¿¿1361¿filePath¿¿¿{"start":{"line":15,"column":9},"end":{"line":15,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿Identifier
854¿Identifier¿¿1361¿v71¿¿¿¿¿Identifier
855¿VariableDeclarator¿¿1361¿v72¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿VariableDeclarator
856¿CallExpression¿¿1361¿¿¿¿{"start":{"line":16,"column":16},"end":{"line":16,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿CallExpression
857¿MemberExpression¿¿1361¿¿¿¿{"start":{"line":16,"column":16},"end":{"line":16,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿MemberExpression
858¿ThisExpression¿¿1361¿¿¿¿{"start":{"line":16,"column":16},"end":{"line":16,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿ThisExpression
859¿Identifier¿¿1361¿getMime¿¿¿{"start":{"line":16,"column":21},"end":{"line":16,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿Identifier
860¿ExpressionStatement¿¿1361¿¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿ExpressionStatement
861¿AssignmentExpression¿=¿1361¿¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿AssignmentExpression
862¿MemberExpression¿¿1361¿¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿MemberExpression
863¿ThisExpression¿¿1361¿¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":8},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿ThisExpression
864¿Identifier¿¿1361¿mime¿¿¿{"start":{"line":16,"column":9},"end":{"line":16,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿Identifier
865¿Identifier¿¿1361¿v72¿¿¿¿¿Identifier
866¿BlockStatement¿¿1361¿¿¿¿{"start":{"line":14,"column":20},"end":{"line":17,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿BlockStatement
867¿VariableDeclarator¿¿1357¿v76¿¿¿{"start":{"line":18,"column":11},"end":{"line":20,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿VariableDeclarator
868¿FunctionExpression¿¿1357¿anon¿¿¿{"start":{"line":18,"column":11},"end":{"line":20,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿FunctionExpression
869¿VariableDeclarator¿¿1363¿v74¿¿¿{"start":{"line":19,"column":23},"end":{"line":19,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿VariableDeclarator
870¿MemberExpression¿¿1363¿¿¿¿{"start":{"line":19,"column":23},"end":{"line":19,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿MemberExpression
871¿ThisExpression¿¿1363¿¿¿¿{"start":{"line":19,"column":23},"end":{"line":19,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿ThisExpression
872¿Identifier¿¿1363¿filePath¿¿¿{"start":{"line":19,"column":28},"end":{"line":19,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿Identifier
873¿VariableDeclarator¿¿1363¿v75¿¿¿{"start":{"line":19,"column":11},"end":{"line":19,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿VariableDeclarator
874¿CallExpression¿¿1363¿¿¿¿{"start":{"line":19,"column":11},"end":{"line":19,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿CallExpression
875¿MemberExpression¿¿1363¿¿¿¿{"start":{"line":19,"column":11},"end":{"line":19,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿MemberExpression
876¿Identifier¿¿1363¿mime¿¿¿{"start":{"line":19,"column":11},"end":{"line":19,"column":15},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿Identifier
877¿Identifier¿¿1363¿lookup¿¿¿{"start":{"line":19,"column":16},"end":{"line":19,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿Identifier
878¿Identifier¿¿1363¿v74¿¿¿¿¿Identifier
879¿ReturnStatement¿¿1363¿¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿ReturnStatement
880¿Identifier¿¿1363¿v75¿¿¿¿¿Identifier
881¿BlockStatement¿¿1363¿¿¿¿{"start":{"line":18,"column":23},"end":{"line":20,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿BlockStatement
882¿VariableDeclarator¿¿1357¿v86¿¿¿{"start":{"line":21,"column":15},"end":{"line":29,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿VariableDeclarator
883¿FunctionExpression¿¿1357¿anon¿¿¿{"start":{"line":21,"column":15},"end":{"line":29,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿FunctionExpression
884¿VariableDeclarator¿¿1365¿v77¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿VariableDeclarator
885¿MemberExpression¿¿1365¿¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿MemberExpression
886¿ThisExpression¿¿1365¿¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":12},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿ThisExpression
887¿Identifier¿¿1365¿filePath¿¿¿{"start":{"line":22,"column":13},"end":{"line":22,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿Identifier
888¿IfStatement¿¿1365¿¿¿¿{"start":{"line":22,"column":4},"end":{"line":24,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿IfStatement
889¿Identifier¿¿1365¿v77¿¿¿¿¿Identifier
890¿VariableDeclarator¿¿1365¿v78¿¿¿{"start":{"line":23,"column":13},"end":{"line":23,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿VariableDeclarator
891¿MemberExpression¿¿1365¿¿¿¿{"start":{"line":23,"column":13},"end":{"line":23,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿MemberExpression
892¿ThisExpression¿¿1365¿¿¿¿{"start":{"line":23,"column":13},"end":{"line":23,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿ThisExpression
893¿Identifier¿¿1365¿filePath¿¿¿{"start":{"line":23,"column":18},"end":{"line":23,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿Identifier
894¿ReturnStatement¿¿1365¿¿¿¿{"start":{"line":23,"column":6},"end":{"line":23,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿ReturnStatement
895¿Identifier¿¿1365¿v78¿¿¿¿¿Identifier
896¿BlockStatement¿¿1365¿¿¿¿{"start":{"line":22,"column":23},"end":{"line":24,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿BlockStatement
897¿VariableDeclarator¿¿1365¿v79¿¿¿{"start":{"line":25,"column":14},"end":{"line":25,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿VariableDeclarator
898¿MemberExpression¿¿1365¿¿¿¿{"start":{"line":25,"column":14},"end":{"line":25,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿MemberExpression
899¿ThisExpression¿¿1365¿¿¿¿{"start":{"line":25,"column":14},"end":{"line":25,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿ThisExpression
900¿Identifier¿¿1365¿req¿¿¿{"start":{"line":25,"column":19},"end":{"line":25,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿Identifier
901¿VariableDeclarator¿¿1365¿url¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿VariableDeclarator
902¿MemberExpression¿¿1365¿¿¿¿{"start":{"line":25,"column":14},"end":{"line":25,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿MemberExpression
903¿Identifier¿¿1365¿v79¿¿¿¿¿Identifier
904¿Identifier¿¿1365¿url¿¿¿{"start":{"line":25,"column":23},"end":{"line":25,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿Identifier
905¿VariableDeclarator¿¿1365¿v80¿¿¿{"start":{"line":26,"column":14},"end":{"line":26,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿VariableDeclarator
906¿MemberExpression¿¿1365¿¿¿¿{"start":{"line":26,"column":14},"end":{"line":26,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿MemberExpression
907¿Identifier¿¿1365¿process¿¿¿{"start":{"line":26,"column":14},"end":{"line":26,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿Identifier
908¿Identifier¿¿1365¿argv¿¿¿{"start":{"line":26,"column":22},"end":{"line":26,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿Identifier
909¿VariableDeclarator¿¿1365¿len¿¿¿{"start":{"line":26,"column":8},"end":{"line":26,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿VariableDeclarator
910¿MemberExpression¿¿1365¿¿¿¿{"start":{"line":26,"column":14},"end":{"line":26,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿MemberExpression
911¿Identifier¿¿1365¿v80¿¿¿¿¿Identifier
912¿Identifier¿¿1365¿length¿¿¿{"start":{"line":26,"column":27},"end":{"line":26,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿Identifier
913¿VariableDeclarator¿¿1365¿v81¿¿¿{"start":{"line":27,"column":30},"end":{"line":27,"column":42},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿VariableDeclarator
914¿MemberExpression¿¿1365¿¿¿¿{"start":{"line":27,"column":30},"end":{"line":27,"column":42},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿MemberExpression
915¿Identifier¿¿1365¿process¿¿¿{"start":{"line":27,"column":30},"end":{"line":27,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿Identifier
916¿Identifier¿¿1365¿argv¿¿¿{"start":{"line":27,"column":38},"end":{"line":27,"column":42},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿Identifier
917¿VariableDeclarator¿¿1365¿v82¿¿¿{"start":{"line":27,"column":43},"end":{"line":27,"column":50},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿VariableDeclarator
918¿BinaryExpression¿-¿1365¿¿¿¿{"start":{"line":27,"column":43},"end":{"line":27,"column":50},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿BinaryExpression
919¿Identifier¿¿1365¿len¿¿¿{"start":{"line":27,"column":43},"end":{"line":27,"column":46},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿Identifier
920¿Literal¿number¿1365¿¿1¿¿{"start":{"line":27,"column":49},"end":{"line":27,"column":50},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿Literal
921¿VariableDeclarator¿¿1365¿v83¿¿¿{"start":{"line":27,"column":30},"end":{"line":27,"column":51},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿VariableDeclarator
922¿MemberExpression¿computed¿1365¿¿¿¿{"start":{"line":27,"column":30},"end":{"line":27,"column":51},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿MemberExpression
923¿Identifier¿¿1365¿v81¿¿¿¿¿Identifier
924¿Identifier¿¿1365¿v82¿¿¿¿¿Identifier
925¿VariableDeclarator¿¿1365¿v84¿¿¿{"start":{"line":27,"column":4},"end":{"line":27,"column":57},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿VariableDeclarator
926¿CallExpression¿¿1365¿¿¿¿{"start":{"line":27,"column":20},"end":{"line":27,"column":57},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿CallExpression
927¿MemberExpression¿¿1365¿¿¿¿{"start":{"line":27,"column":20},"end":{"line":27,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿MemberExpression
928¿Identifier¿¿1365¿path¿¿¿{"start":{"line":27,"column":20},"end":{"line":27,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿Identifier
929¿Identifier¿¿1365¿join¿¿¿{"start":{"line":27,"column":25},"end":{"line":27,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿Identifier
930¿Identifier¿¿1365¿v83¿¿¿¿¿Identifier
931¿Identifier¿¿1365¿url¿¿¿{"start":{"line":27,"column":53},"end":{"line":27,"column":56},"fname":"/datasets/secbench-dataset/CWE-22/file-static-server_1.0.2/src/file.js"}¿¿Identifier
