Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
781¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":104,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Program
848¿Literal¿string¿1371¿¿'Content-Type'¿¿{"start":{"line":14,"column":27},"end":{"line":14,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Literal
849¿Literal¿string¿1371¿¿'text/html;charset:utf-8'¿¿{"start":{"line":14,"column":43},"end":{"line":14,"column":68},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Literal
850¿VariableDeclarator¿¿1371¿v88¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":70},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿VariableDeclarator
851¿CallExpression¿¿1371¿¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":70},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿CallExpression
852¿MemberExpression¿¿1371¿¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿MemberExpression
853¿Identifier¿¿1371¿response¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":10},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Identifier
854¿Identifier¿¿1371¿writeHead¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Identifier
855¿Literal¿number¿1371¿¿500¿¿{"start":{"line":14,"column":21},"end":{"line":14,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Literal
856¿Identifier¿¿1371¿v87¿¿¿¿¿Identifier
857¿ExpressionStatement¿¿1371¿¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":71},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿ExpressionStatement
858¿Identifier¿¿1371¿v88¿¿¿¿¿Identifier
859¿VariableDeclarator¿¿1371¿v89¿¿¿{"start":{"line":15,"column":103},"end":{"line":15,"column":139},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿VariableDeclarator
860¿LogicalExpression¿||¿1371¿¿¿¿{"start":{"line":15,"column":103},"end":{"line":15,"column":139},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿LogicalExpression
861¿Identifier¿¿1371¿text¿¿¿{"start":{"line":15,"column":103},"end":{"line":15,"column":107},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Identifier
862¿Literal¿string¿1371¿¿'Can\'t find domain config!'¿¿{"start":{"line":15,"column":111},"end":{"line":15,"column":139},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Literal
863¿VariableDeclarator¿¿1371¿v90¿¿¿{"start":{"line":15,"column":17},"end":{"line":15,"column":140},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿VariableDeclarator
864¿BinaryExpression¿+¿1371¿¿¿¿{"start":{"line":15,"column":17},"end":{"line":15,"column":140},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿BinaryExpression
865¿Literal¿string¿1371¿¿'<h2>Server Error</h2><p>Error in api or template config about this domain</p><p>'¿¿{"start":{"line":15,"column":17},"end":{"line":15,"column":99},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Literal
866¿Identifier¿¿1371¿v89¿¿¿¿¿Identifier
867¿VariableDeclarator¿¿1371¿v91¿¿¿{"start":{"line":15,"column":17},"end":{"line":15,"column":149},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿VariableDeclarator
868¿BinaryExpression¿+¿1371¿¿¿¿{"start":{"line":15,"column":17},"end":{"line":15,"column":149},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿BinaryExpression
869¿Identifier¿¿1371¿v90¿¿¿¿¿Identifier
870¿Literal¿string¿1371¿¿'</p>'¿¿{"start":{"line":15,"column":143},"end":{"line":15,"column":149},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Literal
871¿VariableDeclarator¿¿1371¿v92¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":150},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿VariableDeclarator
872¿CallExpression¿¿1371¿¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":150},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿CallExpression
873¿MemberExpression¿¿1371¿¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿MemberExpression
874¿Identifier¿¿1371¿response¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":10},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Identifier
875¿Identifier¿¿1371¿write¿¿¿{"start":{"line":15,"column":11},"end":{"line":15,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Identifier
876¿Identifier¿¿1371¿v91¿¿¿¿¿Identifier
877¿ExpressionStatement¿¿1371¿¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":151},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿ExpressionStatement
878¿Identifier¿¿1371¿v92¿¿¿¿¿Identifier
879¿VariableDeclarator¿¿1371¿v93¿¿¿{"start":{"line":16,"column":2},"end":{"line":16,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿VariableDeclarator
880¿CallExpression¿¿1371¿¿¿¿{"start":{"line":16,"column":2},"end":{"line":16,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿CallExpression
881¿MemberExpression¿¿1371¿¿¿¿{"start":{"line":16,"column":2},"end":{"line":16,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿MemberExpression
882¿Identifier¿¿1371¿response¿¿¿{"start":{"line":16,"column":2},"end":{"line":16,"column":10},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Identifier
883¿Identifier¿¿1371¿end¿¿¿{"start":{"line":16,"column":11},"end":{"line":16,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Identifier
884¿ExpressionStatement¿¿1371¿¿¿¿{"start":{"line":16,"column":2},"end":{"line":16,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿ExpressionStatement
885¿Identifier¿¿1371¿v93¿¿¿¿¿Identifier
886¿BlockStatement¿¿1371¿¿¿¿{"start":{"line":13,"column":31},"end":{"line":17,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿BlockStatement
887¿VariableDeclarator¿exported¿1367¿start¿¿¿{"start":{"line":19,"column":0},"end":{"line":102,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿VariableDeclarator
888¿FunctionExpression¿¿1367¿anon¿¿¿{"start":{"line":19,"column":0},"end":{"line":102,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿FunctionExpression
889¿Identifier¿¿0¿config¿¿¿{"start":{"line":19,"column":15},"end":{"line":19,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Identifier
890¿VariableDeclarator¿¿1373¿v94¿¿¿{"start":{"line":20,"column":13},"end":{"line":20,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿VariableDeclarator
891¿MemberExpression¿¿1373¿¿¿¿{"start":{"line":20,"column":13},"end":{"line":20,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿MemberExpression
892¿Identifier¿¿1373¿conf¿¿¿{"start":{"line":20,"column":13},"end":{"line":20,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Identifier
893¿Identifier¿¿1373¿constant¿¿¿{"start":{"line":20,"column":18},"end":{"line":20,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Identifier
894¿VariableDeclarator¿¿1373¿host¿¿¿{"start":{"line":20,"column":6},"end":{"line":20,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿VariableDeclarator
895¿MemberExpression¿¿1373¿¿¿¿{"start":{"line":20,"column":13},"end":{"line":20,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿MemberExpression
896¿Identifier¿¿1373¿v94¿¿¿¿¿Identifier
897¿Identifier¿¿1373¿host¿¿¿{"start":{"line":20,"column":27},"end":{"line":20,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Identifier
898¿IfStatement¿¿1373¿¿¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿IfStatement
899¿Identifier¿¿1373¿config¿¿¿{"start":{"line":21,"column":5},"end":{"line":21,"column":11},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Identifier
900¿ExpressionStatement¿¿1373¿¿¿¿{"start":{"line":21,"column":13},"end":{"line":21,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿ExpressionStatement
901¿AssignmentExpression¿=¿1373¿¿¿¿{"start":{"line":21,"column":13},"end":{"line":21,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿AssignmentExpression
902¿MemberExpression¿¿1373¿¿¿¿{"start":{"line":21,"column":13},"end":{"line":21,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿MemberExpression
903¿Identifier¿¿1373¿conf¿¿¿{"start":{"line":21,"column":13},"end":{"line":21,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Identifier
904¿Identifier¿¿1373¿serv¿¿¿{"start":{"line":21,"column":18},"end":{"line":21,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Identifier
905¿Identifier¿¿1373¿config¿¿¿{"start":{"line":21,"column":25},"end":{"line":21,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Identifier
906¿BlockStatement¿¿1373¿¿¿¿¿¿BlockStatement
907¿VariableDeclarator¿¿1373¿onRequest¿¿¿{"start":{"line":22,"column":2},"end":{"line":98,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿VariableDeclarator
908¿FunctionExpression¿¿1373¿anon¿¿¿{"start":{"line":22,"column":2},"end":{"line":98,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿FunctionExpression
909¿Identifier¿¿0¿request¿¿¿{"start":{"line":22,"column":21},"end":{"line":22,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Identifier
910¿Identifier¿¿0¿response¿¿¿{"start":{"line":22,"column":30},"end":{"line":22,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Identifier
911¿VariableDeclarator¿¿1376¿frontUrl¿¿¿{"start":{"line":23,"column":8},"end":{"line":23,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿VariableDeclarator
912¿Literal¿string¿1376¿¿''¿¿{"start":{"line":23,"column":19},"end":{"line":23,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿Literal
913¿VariableDeclarator¿¿1376¿v95¿¿¿{"start":{"line":24,"column":7},"end":{"line":24,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿VariableDeclarator
914¿MemberExpression¿¿1376¿¿¿¿{"start":{"line":24,"column":7},"end":{"line":24,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/web-node-server_0.1.0/src/nodeserver.js"}¿¿MemberExpression
