Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
977¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":115,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Program
1001¿VariableDeclarator¿¿1698¿v130¿¿¿{"start":{"line":7,"column":15},"end":{"line":7,"column":52},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿VariableDeclarator
1002¿CallExpression¿¿1698¿¿¿¿{"start":{"line":7,"column":15},"end":{"line":7,"column":52},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿CallExpression
1003¿MemberExpression¿¿1698¿¿¿¿{"start":{"line":7,"column":15},"end":{"line":7,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿MemberExpression
1004¿Identifier¿¿1698¿v129¿¿¿¿¿Identifier
1005¿Identifier¿¿1698¿toString¿¿¿{"start":{"line":7,"column":34},"end":{"line":7,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Identifier
1006¿Literal¿string¿1698¿¿'base64'¿¿{"start":{"line":7,"column":43},"end":{"line":7,"column":51},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Literal
1007¿ReturnStatement¿¿1698¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":53},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿ReturnStatement
1008¿Identifier¿¿1698¿v130¿¿¿¿¿Identifier
1009¿BlockStatement¿¿1698¿¿¿¿{"start":{"line":6,"column":36},"end":{"line":8,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿BlockStatement
1010¿VariableDeclarator¿exported¿1696¿Remote¿¿¿{"start":{"line":10,"column":4},"end":{"line":113,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿VariableDeclarator
1011¿FunctionExpression¿¿1696¿anon¿¿¿{"start":{"line":10,"column":13},"end":{"line":113,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿FunctionExpression
1012¿Identifier¿¿0¿config¿¿¿{"start":{"line":10,"column":22},"end":{"line":10,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Identifier
1013¿VariableDeclarator¿¿1700¿v131¿¿¿{"start":{"line":12,"column":9},"end":{"line":12,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿VariableDeclarator
1014¿MemberExpression¿¿1700¿¿¿¿{"start":{"line":12,"column":9},"end":{"line":12,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿MemberExpression
1015¿Identifier¿¿1700¿config¿¿¿{"start":{"line":12,"column":9},"end":{"line":12,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Identifier
1016¿Identifier¿¿1700¿ip¿¿¿{"start":{"line":12,"column":16},"end":{"line":12,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Identifier
1017¿VariableDeclarator¿¿1700¿v132¿¿¿{"start":{"line":12,"column":8},"end":{"line":12,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿VariableDeclarator
1018¿UnaryExpression¿!¿1700¿¿¿¿{"start":{"line":12,"column":8},"end":{"line":12,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿UnaryExpression
1019¿Identifier¿¿1700¿v131¿¿¿¿¿Identifier
1020¿IfStatement¿¿1700¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":65},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿IfStatement
1021¿Identifier¿¿1700¿v132¿¿¿¿¿Identifier
1022¿VariableDeclarator¿¿1700¿v133¿¿¿{"start":{"line":12,"column":26},"end":{"line":12,"column":64},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿VariableDeclarator
1023¿NewExpression¿¿1700¿¿¿¿{"start":{"line":12,"column":26},"end":{"line":12,"column":64},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿NewExpression
1024¿Identifier¿¿1700¿Error¿¿¿{"start":{"line":12,"column":30},"end":{"line":12,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Identifier
1025¿Literal¿string¿1700¿¿'TV IP address is required'¿¿{"start":{"line":12,"column":36},"end":{"line":12,"column":63},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Literal
1026¿ThrowStatement¿¿1700¿¿¿¿{"start":{"line":12,"column":20},"end":{"line":12,"column":65},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿ThrowStatement
1027¿Identifier¿¿1700¿v133¿¿¿¿¿Identifier
1028¿BlockStatement¿¿1700¿¿¿¿¿¿BlockStatement
1029¿VariableDeclarator¿¿1700¿v134¿¿¿{"start":{"line":14,"column":18},"end":{"line":14,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿VariableDeclarator
1030¿MemberExpression¿¿1700¿¿¿¿{"start":{"line":14,"column":18},"end":{"line":14,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿MemberExpression
1031¿Identifier¿¿1700¿config¿¿¿{"start":{"line":14,"column":18},"end":{"line":14,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Identifier
1032¿Identifier¿¿1700¿host¿¿¿{"start":{"line":14,"column":25},"end":{"line":14,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Identifier
1033¿VariableDeclarator¿¿1700¿v135¿¿¿{"start":{"line":14,"column":33},"end":{"line":18,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿VariableDeclarator
1034¿ObjectExpression¿¿1700¿¿¿¿{"start":{"line":14,"column":33},"end":{"line":18,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿ObjectExpression
1035¿Property¿¿1700¿¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Property
1036¿Identifier¿¿1700¿ip¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":10},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Identifier
1037¿Literal¿string¿1700¿¿'127.0.0.1'¿¿{"start":{"line":15,"column":12},"end":{"line":15,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Literal
1038¿Property¿¿1700¿¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Property
1039¿Identifier¿¿1700¿mac¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Identifier
1040¿Literal¿string¿1700¿¿'00:00:00:00'¿¿{"start":{"line":16,"column":13},"end":{"line":16,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Literal
1041¿Property¿¿1700¿¿¿¿{"start":{"line":17,"column":8},"end":{"line":17,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Property
1042¿Identifier¿¿1700¿name¿¿¿{"start":{"line":17,"column":8},"end":{"line":17,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Identifier
1043¿Literal¿string¿1700¿¿'NodeJS Samsung Remote'¿¿{"start":{"line":17,"column":14},"end":{"line":17,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Literal
1044¿ExpressionStatement¿¿1700¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":18,"column":6},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿ExpressionStatement
1045¿AssignmentExpression¿=¿1700¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":18,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿AssignmentExpression
1046¿MemberExpression¿¿1700¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿MemberExpression
1047¿Identifier¿¿1700¿config¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":10},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Identifier
1048¿Identifier¿¿1700¿host¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Identifier
1049¿LogicalExpression¿||¿1700¿¿¿¿{"start":{"line":14,"column":18},"end":{"line":18,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿LogicalExpression
1050¿Identifier¿¿1700¿v134¿¿¿¿¿Identifier
1051¿Identifier¿¿1700¿v135¿¿¿¿¿Identifier
1052¿VariableDeclarator¿¿1700¿v136¿¿¿{"start":{"line":20,"column":23},"end":{"line":20,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿VariableDeclarator
1053¿MemberExpression¿¿1700¿¿¿¿{"start":{"line":20,"column":23},"end":{"line":20,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿MemberExpression
1054¿Identifier¿¿1700¿config¿¿¿{"start":{"line":20,"column":23},"end":{"line":20,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Identifier
1055¿Identifier¿¿1700¿appString¿¿¿{"start":{"line":20,"column":30},"end":{"line":20,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Identifier
1056¿ExpressionStatement¿¿1700¿¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":66},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿ExpressionStatement
1057¿AssignmentExpression¿=¿1700¿¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":65},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿AssignmentExpression
1058¿MemberExpression¿¿1700¿¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿MemberExpression
1059¿Identifier¿¿1700¿config¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":10},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Identifier
1060¿Identifier¿¿1700¿appString¿¿¿{"start":{"line":20,"column":11},"end":{"line":20,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Identifier
1061¿LogicalExpression¿||¿1700¿¿¿¿{"start":{"line":20,"column":23},"end":{"line":20,"column":65},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿LogicalExpression
1062¿Identifier¿¿1700¿v136¿¿¿¿¿Identifier
1063¿Literal¿string¿1700¿¿'iphone..iapp.samsung'¿¿{"start":{"line":20,"column":43},"end":{"line":20,"column":65},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Literal
1064¿VariableDeclarator¿¿1700¿v137¿¿¿{"start":{"line":21,"column":25},"end":{"line":21,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿VariableDeclarator
1065¿MemberExpression¿¿1700¿¿¿¿{"start":{"line":21,"column":25},"end":{"line":21,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿MemberExpression
1066¿Identifier¿¿1700¿config¿¿¿{"start":{"line":21,"column":25},"end":{"line":21,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Identifier
1067¿Identifier¿¿1700¿tvAppString¿¿¿{"start":{"line":21,"column":32},"end":{"line":21,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Identifier
1068¿ExpressionStatement¿¿1700¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":79},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿ExpressionStatement
1069¿AssignmentExpression¿=¿1700¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":78},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿AssignmentExpression
1070¿MemberExpression¿¿1700¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿MemberExpression
1071¿Identifier¿¿1700¿config¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":10},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Identifier
1072¿Identifier¿¿1700¿tvAppString¿¿¿{"start":{"line":21,"column":11},"end":{"line":21,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Identifier
1073¿LogicalExpression¿||¿1700¿¿¿¿{"start":{"line":21,"column":25},"end":{"line":21,"column":78},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿LogicalExpression
1074¿Identifier¿¿1700¿v137¿¿¿¿¿Identifier
1075¿Literal¿string¿1700¿¿'iphone.UN60D6000.iapp.samsung'¿¿{"start":{"line":21,"column":47},"end":{"line":21,"column":78},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Literal
1076¿VariableDeclarator¿¿1700¿v138¿¿¿{"start":{"line":22,"column":18},"end":{"line":22,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿VariableDeclarator
1077¿MemberExpression¿¿1700¿¿¿¿{"start":{"line":22,"column":18},"end":{"line":22,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿MemberExpression
1078¿Identifier¿¿1700¿config¿¿¿{"start":{"line":22,"column":18},"end":{"line":22,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Identifier
1079¿Identifier¿¿1700¿port¿¿¿{"start":{"line":22,"column":25},"end":{"line":22,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Identifier
1080¿ExpressionStatement¿¿1700¿¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿ExpressionStatement
1081¿AssignmentExpression¿=¿1700¿¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿AssignmentExpression
1082¿MemberExpression¿¿1700¿¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿MemberExpression
1083¿Identifier¿¿1700¿config¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":10},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Identifier
1084¿Identifier¿¿1700¿port¿¿¿{"start":{"line":22,"column":11},"end":{"line":22,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Identifier
1085¿LogicalExpression¿||¿1700¿¿¿¿{"start":{"line":22,"column":18},"end":{"line":22,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿LogicalExpression
1086¿Identifier¿¿1700¿v138¿¿¿¿¿Identifier
1087¿Literal¿number¿1700¿¿55000¿¿{"start":{"line":22,"column":33},"end":{"line":22,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Literal
1088¿VariableDeclarator¿¿1700¿v139¿¿¿{"start":{"line":23,"column":21},"end":{"line":23,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿VariableDeclarator
1089¿MemberExpression¿¿1700¿¿¿¿{"start":{"line":23,"column":21},"end":{"line":23,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿MemberExpression
1090¿Identifier¿¿1700¿config¿¿¿{"start":{"line":23,"column":21},"end":{"line":23,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Identifier
1091¿Identifier¿¿1700¿timeout¿¿¿{"start":{"line":23,"column":28},"end":{"line":23,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Identifier
1092¿ExpressionStatement¿¿1700¿¿¿¿{"start":{"line":23,"column":4},"end":{"line":23,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿ExpressionStatement
1093¿AssignmentExpression¿=¿1700¿¿¿¿{"start":{"line":23,"column":4},"end":{"line":23,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿AssignmentExpression
1094¿MemberExpression¿¿1700¿¿¿¿{"start":{"line":23,"column":4},"end":{"line":23,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿MemberExpression
1095¿Identifier¿¿1700¿config¿¿¿{"start":{"line":23,"column":4},"end":{"line":23,"column":10},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Identifier
1096¿Identifier¿¿1700¿timeout¿¿¿{"start":{"line":23,"column":11},"end":{"line":23,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Identifier
1097¿LogicalExpression¿||¿1700¿¿¿¿{"start":{"line":23,"column":21},"end":{"line":23,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿LogicalExpression
1098¿Identifier¿¿1700¿v139¿¿¿¿¿Identifier
1099¿Literal¿number¿1700¿¿5000¿¿{"start":{"line":23,"column":39},"end":{"line":23,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Literal
1100¿VariableDeclarator¿¿1700¿_socketChunkOne¿¿¿{"start":{"line":25,"column":8},"end":{"line":48,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿VariableDeclarator
1101¿FunctionExpression¿¿1700¿anon¿¿¿{"start":{"line":25,"column":26},"end":{"line":48,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿FunctionExpression
1102¿VariableDeclarator¿¿1703¿v140¿¿¿{"start":{"line":26,"column":41},"end":{"line":26,"column":52},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿VariableDeclarator
1103¿MemberExpression¿¿1703¿¿¿¿{"start":{"line":26,"column":41},"end":{"line":26,"column":52},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿MemberExpression
1104¿Identifier¿¿1703¿config¿¿¿{"start":{"line":26,"column":41},"end":{"line":26,"column":47},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Identifier
1105¿Identifier¿¿1703¿host¿¿¿{"start":{"line":26,"column":48},"end":{"line":26,"column":52},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿Identifier
1106¿VariableDeclarator¿¿1703¿v141¿¿¿{"start":{"line":26,"column":41},"end":{"line":26,"column":55},"fname":"/datasets/secbench-dataset/CWE-78/samsung-remote_1.2.5/src/samsung-remote.js"}¿¿VariableDeclarator
