Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1100¿Program¿¿-1¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":110,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Program
1143¿CallExpression¿¿1949¿¿¿¿{"start":{"line":11,"column":11},"end":{"line":11,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿CallExpression
1144¿Identifier¿¿1949¿require¿¿¿{"start":{"line":11,"column":11},"end":{"line":11,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Identifier
1145¿Literal¿string¿1949¿¿'mime'¿¿{"start":{"line":11,"column":19},"end":{"line":11,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Literal
1146¿VariableDeclarator¿¿1949¿http¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿VariableDeclarator
1147¿CallExpression¿¿1949¿¿¿¿{"start":{"line":12,"column":11},"end":{"line":12,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿CallExpression
1148¿Identifier¿¿1949¿require¿¿¿{"start":{"line":12,"column":11},"end":{"line":12,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Identifier
1149¿Literal¿string¿1949¿¿'http'¿¿{"start":{"line":12,"column":19},"end":{"line":12,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Literal
1150¿VariableDeclarator¿¿1949¿colors¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿VariableDeclarator
1151¿CallExpression¿¿1949¿¿¿¿{"start":{"line":13,"column":13},"end":{"line":13,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿CallExpression
1152¿Identifier¿¿1949¿require¿¿¿{"start":{"line":13,"column":13},"end":{"line":13,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Identifier
1153¿Literal¿string¿1949¿¿'colors'¿¿{"start":{"line":13,"column":21},"end":{"line":13,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Literal
1154¿VariableDeclarator¿¿1949¿sid¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":11},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿VariableDeclarator
1155¿Literal¿number¿1949¿¿0¿¿{"start":{"line":14,"column":10},"end":{"line":14,"column":11},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Literal
1156¿VariableDeclarator¿¿1949¿SSI_REG¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":64},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿VariableDeclarator
1157¿Literal¿object¿1949¿¿/<!--#include virtual=\s*['']([^'']+)['']\s*-->/gi¿¿{"start":{"line":15,"column":14},"end":{"line":15,"column":64},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Literal
1158¿VariableDeclarator¿¿1949¿STATIC_REG¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":77},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿VariableDeclarator
1159¿Literal¿object¿1949¿¿/([''])((http:)?\/\/.+?\.(?:css|js|png|gif|jpg)[^\1]*?)\1/gi¿¿{"start":{"line":16,"column":17},"end":{"line":16,"column":77},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Literal
1160¿VariableDeclarator¿¿1949¿v106¿¿¿{"start":{"line":18,"column":16},"end":{"line":18,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿VariableDeclarator
1161¿ArrayExpression¿¿1949¿¿¿¿{"start":{"line":18,"column":16},"end":{"line":18,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿ArrayExpression
1162¿Literal¿string¿1949¿¿'html'¿¿{"start":{"line":18,"column":17},"end":{"line":18,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Literal
1163¿Literal¿string¿1949¿¿'htm'¿¿{"start":{"line":18,"column":24},"end":{"line":18,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Literal
1164¿Literal¿string¿1949¿¿'shtml'¿¿{"start":{"line":18,"column":30},"end":{"line":18,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Literal
1165¿VariableDeclarator¿¿1949¿v107¿¿¿{"start":{"line":17,"column":12},"end":{"line":19,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿VariableDeclarator
1166¿ObjectExpression¿¿1949¿¿¿¿{"start":{"line":17,"column":12},"end":{"line":19,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿ObjectExpression
1167¿Property¿¿1949¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Property
1168¿Literal¿string¿1949¿¿'text/html'¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":15},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Literal
1169¿Identifier¿¿1949¿v106¿¿¿¿¿Identifier
1170¿VariableDeclarator¿¿1949¿v108¿¿¿{"start":{"line":17,"column":0},"end":{"line":19,"column":2},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿VariableDeclarator
1171¿CallExpression¿¿1949¿¿¿¿{"start":{"line":17,"column":0},"end":{"line":19,"column":2},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿CallExpression
1172¿MemberExpression¿¿1949¿¿¿¿{"start":{"line":17,"column":0},"end":{"line":17,"column":11},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿MemberExpression
1173¿Identifier¿¿1949¿mime¿¿¿{"start":{"line":17,"column":0},"end":{"line":17,"column":4},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Identifier
1174¿Identifier¿¿1949¿define¿¿¿{"start":{"line":17,"column":5},"end":{"line":17,"column":11},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Identifier
1175¿Identifier¿¿1949¿v107¿¿¿¿¿Identifier
1176¿ExpressionStatement¿¿1949¿¿¿¿{"start":{"line":17,"column":0},"end":{"line":19,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿ExpressionStatement
1177¿Identifier¿¿1949¿v108¿¿¿¿¿Identifier
1178¿VariableDeclarator¿¿1949¿v109¿¿¿{"start":{"line":20,"column":32},"end":{"line":20,"column":61},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿VariableDeclarator
1179¿CallExpression¿¿1949¿¿¿¿{"start":{"line":20,"column":32},"end":{"line":20,"column":61},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿CallExpression
1180¿Identifier¿¿1949¿join¿¿¿{"start":{"line":20,"column":32},"end":{"line":20,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Identifier
1181¿Identifier¿¿1949¿__dirname¿¿¿{"start":{"line":20,"column":37},"end":{"line":20,"column":46},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Identifier
1182¿Literal¿string¿1949¿¿'favicon.ico'¿¿{"start":{"line":20,"column":47},"end":{"line":20,"column":60},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Literal
1183¿VariableDeclarator¿¿1949¿icoBuffer¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":62},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿VariableDeclarator
1184¿CallExpression¿¿1949¿¿¿¿{"start":{"line":20,"column":16},"end":{"line":20,"column":62},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿CallExpression
1185¿MemberExpression¿¿1949¿¿¿¿{"start":{"line":20,"column":16},"end":{"line":20,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿MemberExpression
1186¿Identifier¿¿1949¿fs¿¿¿{"start":{"line":20,"column":16},"end":{"line":20,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Identifier
1187¿Identifier¿¿1949¿readFileSync¿¿¿{"start":{"line":20,"column":19},"end":{"line":20,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Identifier
1188¿Identifier¿¿1949¿v109¿¿¿¿¿Identifier
1189¿VariableDeclarator¿¿1949¿v137¿¿¿{"start":{"line":21,"column":18},"end":{"line":66,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿VariableDeclarator
1190¿FunctionExpression¿¿1949¿anon¿¿¿{"start":{"line":21,"column":18},"end":{"line":66,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿FunctionExpression
1191¿Identifier¿¿0¿req¿¿¿{"start":{"line":21,"column":27},"end":{"line":21,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Identifier
1192¿Identifier¿¿0¿res¿¿¿{"start":{"line":21,"column":31},"end":{"line":21,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Identifier
1193¿VariableDeclarator¿¿1951¿headers¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿VariableDeclarator
1194¿MemberExpression¿¿1951¿¿¿¿{"start":{"line":22,"column":18},"end":{"line":22,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿MemberExpression
1195¿Identifier¿¿1951¿req¿¿¿{"start":{"line":22,"column":18},"end":{"line":22,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Identifier
1196¿Identifier¿¿1951¿headers¿¿¿{"start":{"line":22,"column":22},"end":{"line":22,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Identifier
1197¿VariableDeclarator¿¿1951¿url¿¿¿{"start":{"line":23,"column":8},"end":{"line":23,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿VariableDeclarator
1198¿MemberExpression¿¿1951¿¿¿¿{"start":{"line":23,"column":14},"end":{"line":23,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿MemberExpression
1199¿Identifier¿¿1951¿req¿¿¿{"start":{"line":23,"column":14},"end":{"line":23,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Identifier
1200¿Identifier¿¿1951¿url¿¿¿{"start":{"line":23,"column":18},"end":{"line":23,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Identifier
1201¿VariableDeclarator¿¿1951¿method¿¿¿{"start":{"line":24,"column":8},"end":{"line":24,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿VariableDeclarator
1202¿MemberExpression¿¿1951¿¿¿¿{"start":{"line":24,"column":17},"end":{"line":24,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿MemberExpression
1203¿Identifier¿¿1951¿req¿¿¿{"start":{"line":24,"column":17},"end":{"line":24,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Identifier
1204¿Identifier¿¿1951¿method¿¿¿{"start":{"line":24,"column":21},"end":{"line":24,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Identifier
1205¿VariableDeclarator¿¿1951¿indexHtml¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿VariableDeclarator
1206¿VariableDeclarator¿¿1951¿data¿¿¿{"start":{"line":26,"column":8},"end":{"line":26,"column":12},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿VariableDeclarator
1207¿VariableDeclarator¿¿1951¿v110¿¿¿{"start":{"line":27,"column":7},"end":{"line":27,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿VariableDeclarator
1208¿BinaryExpression¿===¿1951¿¿¿¿{"start":{"line":27,"column":7},"end":{"line":27,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿BinaryExpression
1209¿Identifier¿¿1951¿url¿¿¿{"start":{"line":27,"column":7},"end":{"line":27,"column":10},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Identifier
1210¿Literal¿string¿1951¿¿'/'¿¿{"start":{"line":27,"column":15},"end":{"line":27,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Literal
1211¿IfStatement¿¿1951¿¿¿¿{"start":{"line":27,"column":4},"end":{"line":40,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿IfStatement
1212¿Identifier¿¿1951¿v110¿¿¿¿¿Identifier
1213¿VariableDeclarator¿¿1951¿v111¿¿¿{"start":{"line":28,"column":25},"end":{"line":28,"column":47},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿VariableDeclarator
1214¿CallExpression¿¿1951¿¿¿¿{"start":{"line":28,"column":25},"end":{"line":28,"column":47},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿CallExpression
1215¿Identifier¿¿1951¿join¿¿¿{"start":{"line":28,"column":25},"end":{"line":28,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Identifier
1216¿Identifier¿¿1951¿cwd¿¿¿{"start":{"line":28,"column":30},"end":{"line":28,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Identifier
1217¿Literal¿string¿1951¿¿'index.html'¿¿{"start":{"line":28,"column":34},"end":{"line":28,"column":46},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Literal
1218¿VariableDeclarator¿¿1951¿v112¿¿¿{"start":{"line":28,"column":11},"end":{"line":28,"column":48},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿VariableDeclarator
1219¿CallExpression¿¿1951¿¿¿¿{"start":{"line":28,"column":11},"end":{"line":28,"column":48},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿CallExpression
1220¿MemberExpression¿¿1951¿¿¿¿{"start":{"line":28,"column":11},"end":{"line":28,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿MemberExpression
1221¿Identifier¿¿1951¿fs¿¿¿{"start":{"line":28,"column":11},"end":{"line":28,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Identifier
1222¿Identifier¿¿1951¿existsSync¿¿¿{"start":{"line":28,"column":14},"end":{"line":28,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Identifier
1223¿Identifier¿¿1951¿v111¿¿¿¿¿Identifier
1224¿IfStatement¿¿1951¿¿¿¿{"start":{"line":28,"column":8},"end":{"line":32,"column":9},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿IfStatement
1225¿Identifier¿¿1951¿v112¿¿¿¿¿Identifier
1226¿ExpressionStatement¿¿1951¿¿¿¿{"start":{"line":29,"column":12},"end":{"line":29,"column":47},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿ExpressionStatement
1227¿AssignmentExpression¿=¿1951¿¿¿¿{"start":{"line":29,"column":12},"end":{"line":29,"column":46},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿AssignmentExpression
1228¿Identifier¿¿1951¿indexHtml¿¿¿{"start":{"line":29,"column":12},"end":{"line":29,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Identifier
1229¿CallExpression¿¿1951¿¿¿¿{"start":{"line":29,"column":24},"end":{"line":29,"column":46},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿CallExpression
1230¿Identifier¿¿1951¿join¿¿¿{"start":{"line":29,"column":24},"end":{"line":29,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Identifier
1231¿Identifier¿¿1951¿cwd¿¿¿{"start":{"line":29,"column":29},"end":{"line":29,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Identifier
1232¿Literal¿string¿1951¿¿'index.html'¿¿{"start":{"line":29,"column":33},"end":{"line":29,"column":45},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿Literal
1233¿BlockStatement¿¿1951¿¿¿¿{"start":{"line":28,"column":49},"end":{"line":30,"column":9},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿BlockStatement
1234¿VariableDeclarator¿¿1951¿v113¿¿¿{"start":{"line":30,"column":31},"end":{"line":30,"column":54},"fname":"/datasets/secbench-dataset/CWE-22/fsk-server_0.2.1/src/index.js"}¿¿VariableDeclarator
