Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1139¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":151,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Program
1171¿VariableDeclarator¿¿1983¿v117¿¿¿{"start":{"line":10,"column":8},"end":{"line":10,"column":52},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿VariableDeclarator
1172¿BinaryExpression¿+¿1983¿¿¿¿{"start":{"line":10,"column":8},"end":{"line":10,"column":52},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿BinaryExpression
1173¿Identifier¿¿1983¿v116¿¿¿¿¿Identifier
1174¿Literal¿string¿1983¿¿'/admin/api/user/login'¿¿{"start":{"line":10,"column":29},"end":{"line":10,"column":52},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Literal
1175¿VariableDeclarator¿¿1983¿v118¿¿¿{"start":{"line":12,"column":24},"end":{"line":15,"column":4},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿VariableDeclarator
1176¿ObjectExpression¿¿1983¿¿¿¿{"start":{"line":12,"column":24},"end":{"line":15,"column":4},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿ObjectExpression
1177¿Property¿¿1983¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":16},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Property
1178¿Literal¿string¿1983¿¿'name'¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":10},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Literal
1179¿Identifier¿¿1983¿name¿¿¿{"start":{"line":13,"column":12},"end":{"line":13,"column":16},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Identifier
1180¿Property¿¿1983¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Property
1181¿Literal¿string¿1983¿¿'password'¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":14},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Literal
1182¿Identifier¿¿1983¿password¿¿¿{"start":{"line":14,"column":16},"end":{"line":14,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Identifier
1183¿VariableDeclarator¿¿1983¿v119¿¿¿{"start":{"line":12,"column":9},"end":{"line":15,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿VariableDeclarator
1184¿CallExpression¿¿1983¿¿¿¿{"start":{"line":12,"column":9},"end":{"line":15,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿CallExpression
1185¿MemberExpression¿¿1983¿¿¿¿{"start":{"line":12,"column":9},"end":{"line":12,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿MemberExpression
1186¿Identifier¿¿1983¿JSON¿¿¿{"start":{"line":12,"column":9},"end":{"line":12,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Identifier
1187¿Identifier¿¿1983¿stringify¿¿¿{"start":{"line":12,"column":14},"end":{"line":12,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Identifier
1188¿Identifier¿¿1983¿v118¿¿¿¿¿Identifier
1189¿VariableDeclarator¿¿1983¿v120¿¿¿{"start":{"line":16,"column":12},"end":{"line":18,"column":4},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿VariableDeclarator
1190¿ObjectExpression¿¿1983¿¿¿¿¿¿ObjectExpression
1191¿ExpressionStatement¿¿1983¿¿¿¿{"start":{"line":16,"column":12},"end":{"line":18,"column":4},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿ExpressionStatement
1192¿AssignmentExpression¿=¿1983¿¿¿¿{"start":{"line":16,"column":12},"end":{"line":18,"column":4},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿AssignmentExpression
1193¿MemberExpression¿computed¿1983¿¿¿¿{"start":{"line":16,"column":12},"end":{"line":18,"column":4},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿MemberExpression
1194¿Identifier¿¿1983¿v120¿¿¿¿¿Identifier
1195¿Literal¿string¿1983¿¿'Content-type'¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Literal
1196¿Literal¿string¿1983¿¿'application/json'¿¿{"start":{"line":17,"column":20},"end":{"line":17,"column":38},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Literal
1197¿VariableDeclarator¿¿1983¿v121¿¿¿{"start":{"line":9,"column":9},"end":{"line":20,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿VariableDeclarator
1198¿ObjectExpression¿¿1983¿¿¿¿{"start":{"line":9,"column":9},"end":{"line":20,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿ObjectExpression
1199¿Property¿¿1983¿¿¿¿{"start":{"line":10,"column":3},"end":{"line":10,"column":52},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Property
1200¿Identifier¿¿1983¿url¿¿¿{"start":{"line":10,"column":3},"end":{"line":10,"column":6},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Identifier
1201¿Identifier¿¿1983¿v117¿¿¿¿¿Identifier
1202¿Property¿¿1983¿¿¿¿{"start":{"line":11,"column":3},"end":{"line":11,"column":17},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Property
1203¿Identifier¿¿1983¿method¿¿¿{"start":{"line":11,"column":3},"end":{"line":11,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Identifier
1204¿Literal¿string¿1983¿¿'POST'¿¿{"start":{"line":11,"column":11},"end":{"line":11,"column":17},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Literal
1205¿Property¿¿1983¿¿¿¿{"start":{"line":12,"column":3},"end":{"line":15,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Property
1206¿Identifier¿¿1983¿body¿¿¿{"start":{"line":12,"column":3},"end":{"line":12,"column":7},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Identifier
1207¿Identifier¿¿1983¿v119¿¿¿¿¿Identifier
1208¿Property¿¿1983¿¿¿¿{"start":{"line":16,"column":3},"end":{"line":18,"column":4},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Property
1209¿Identifier¿¿1983¿headers¿¿¿{"start":{"line":16,"column":3},"end":{"line":16,"column":10},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Identifier
1210¿Identifier¿¿1983¿v120¿¿¿¿¿Identifier
1211¿VariableDeclarator¿¿1983¿v129¿¿¿{"start":{"line":20,"column":5},"end":{"line":26,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿VariableDeclarator
1212¿FunctionExpression¿¿1983¿anon¿¿¿{"start":{"line":20,"column":5},"end":{"line":26,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿FunctionExpression
1213¿Identifier¿¿0¿error¿¿¿{"start":{"line":20,"column":14},"end":{"line":20,"column":19},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Identifier
1214¿Identifier¿¿0¿response¿¿¿{"start":{"line":20,"column":21},"end":{"line":20,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Identifier
1215¿Identifier¿¿0¿body¿¿¿{"start":{"line":20,"column":31},"end":{"line":20,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Identifier
1216¿VariableDeclarator¿¿1985¿v122¿¿¿{"start":{"line":21,"column":7},"end":{"line":21,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿VariableDeclarator
1217¿UnaryExpression¿!¿1985¿¿¿¿{"start":{"line":21,"column":7},"end":{"line":21,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿UnaryExpression
1218¿Identifier¿¿1985¿error¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Identifier
1219¿VariableDeclarator¿¿1985¿v123¿¿¿{"start":{"line":21,"column":17},"end":{"line":21,"column":36},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿VariableDeclarator
1220¿MemberExpression¿¿1985¿¿¿¿{"start":{"line":21,"column":17},"end":{"line":21,"column":36},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿MemberExpression
1221¿Identifier¿¿1985¿response¿¿¿{"start":{"line":21,"column":17},"end":{"line":21,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Identifier
1222¿Identifier¿¿1985¿statusCode¿¿¿{"start":{"line":21,"column":26},"end":{"line":21,"column":36},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Identifier
1223¿VariableDeclarator¿¿1985¿v124¿¿¿{"start":{"line":21,"column":17},"end":{"line":21,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿VariableDeclarator
1224¿BinaryExpression¿==¿1985¿¿¿¿{"start":{"line":21,"column":17},"end":{"line":21,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿BinaryExpression
1225¿Identifier¿¿1985¿v123¿¿¿¿¿Identifier
1226¿Literal¿number¿1985¿¿200¿¿{"start":{"line":21,"column":40},"end":{"line":21,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Literal
1227¿VariableDeclarator¿¿1985¿v125¿¿¿{"start":{"line":21,"column":7},"end":{"line":21,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿VariableDeclarator
1228¿LogicalExpression¿&&¿1985¿¿¿¿{"start":{"line":21,"column":7},"end":{"line":21,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿LogicalExpression
1229¿Identifier¿¿1985¿v122¿¿¿¿¿Identifier
1230¿Identifier¿¿1985¿v124¿¿¿¿¿Identifier
1231¿IfStatement¿¿1985¿¿¿¿{"start":{"line":21,"column":3},"end":{"line":25,"column":4},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿IfStatement
1232¿Identifier¿¿1985¿v125¿¿¿¿¿Identifier
1233¿VariableDeclarator¿¿1985¿v126¿¿¿{"start":{"line":22,"column":7},"end":{"line":22,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿VariableDeclarator
1234¿CallExpression¿¿1985¿¿¿¿{"start":{"line":22,"column":7},"end":{"line":22,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿CallExpression
1235¿MemberExpression¿¿1985¿¿¿¿{"start":{"line":22,"column":7},"end":{"line":22,"column":17},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿MemberExpression
1236¿Identifier¿¿1985¿JSON¿¿¿{"start":{"line":22,"column":7},"end":{"line":22,"column":11},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Identifier
1237¿Identifier¿¿1985¿parse¿¿¿{"start":{"line":22,"column":12},"end":{"line":22,"column":17},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Identifier
1238¿Identifier¿¿1985¿body¿¿¿{"start":{"line":22,"column":18},"end":{"line":22,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Identifier
1239¿VariableDeclarator¿¿1985¿v127¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿VariableDeclarator
1240¿CallExpression¿¿1985¿¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿CallExpression
1241¿Identifier¿¿1985¿cb¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":6},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Identifier
1242¿Identifier¿¿1985¿v126¿¿¿¿¿Identifier
1243¿ExpressionStatement¿¿1985¿¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿ExpressionStatement
1244¿Identifier¿¿1985¿v127¿¿¿¿¿Identifier
1245¿BlockStatement¿¿1985¿¿¿¿{"start":{"line":21,"column":45},"end":{"line":23,"column":4},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿BlockStatement
1246¿VariableDeclarator¿¿1985¿v128¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":8},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿VariableDeclarator
1247¿CallExpression¿¿1985¿¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":8},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿CallExpression
1248¿Identifier¿¿1985¿cb¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":6},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Identifier
1249¿ExpressionStatement¿¿1985¿¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿ExpressionStatement
1250¿Identifier¿¿1985¿v128¿¿¿¿¿Identifier
1251¿BlockStatement¿¿1985¿¿¿¿{"start":{"line":23,"column":10},"end":{"line":25,"column":4},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿BlockStatement
1252¿BlockStatement¿¿1985¿¿¿¿{"start":{"line":20,"column":37},"end":{"line":26,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿BlockStatement
1253¿VariableDeclarator¿¿1983¿v130¿¿¿{"start":{"line":9,"column":1},"end":{"line":28,"column":2},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿VariableDeclarator
1254¿CallExpression¿¿1983¿¿¿¿{"start":{"line":9,"column":1},"end":{"line":28,"column":2},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿CallExpression
1255¿Identifier¿¿1983¿request¿¿¿{"start":{"line":9,"column":1},"end":{"line":9,"column":8},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Identifier
1256¿Identifier¿¿1983¿v121¿¿¿¿¿Identifier
1257¿Identifier¿¿1983¿v129¿¿¿¿¿Identifier
1258¿ExpressionStatement¿¿1983¿¿¿¿{"start":{"line":9,"column":1},"end":{"line":28,"column":2},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿ExpressionStatement
1259¿Identifier¿¿1983¿v130¿¿¿¿¿Identifier
1260¿BlockStatement¿¿1983¿¿¿¿{"start":{"line":7,"column":51},"end":{"line":29,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿BlockStatement
1261¿ExpressionStatement¿¿1979¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":29,"column":2},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿ExpressionStatement
1262¿AssignmentExpression¿=¿1979¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":29,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿AssignmentExpression
1263¿MemberExpression¿¿1979¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":19},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿MemberExpression
1264¿Identifier¿¿1979¿v115¿¿¿¿¿Identifier
1265¿Identifier¿¿1979¿login¿¿¿{"start":{"line":7,"column":14},"end":{"line":7,"column":19},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Identifier
1266¿Identifier¿¿1979¿v131¿¿¿¿¿Identifier
1267¿VariableDeclarator¿¿1979¿v132¿¿¿{"start":{"line":31,"column":0},"end":{"line":31,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿VariableDeclarator
1268¿MemberExpression¿¿1979¿¿¿¿{"start":{"line":31,"column":0},"end":{"line":31,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿MemberExpression
1269¿Identifier¿¿1979¿API¿¿¿{"start":{"line":31,"column":0},"end":{"line":31,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Identifier
1270¿Identifier¿¿1979¿prototype¿¿¿{"start":{"line":31,"column":4},"end":{"line":31,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Identifier
1271¿VariableDeclarator¿¿1979¿v149¿¿¿{"start":{"line":31,"column":0},"end":{"line":55,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿VariableDeclarator
1272¿FunctionExpression¿¿1979¿anon¿¿¿{"start":{"line":31,"column":23},"end":{"line":55,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿FunctionExpression
1273¿Identifier¿¿0¿user¿¿¿{"start":{"line":31,"column":32},"end":{"line":31,"column":36},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Identifier
1274¿Identifier¿¿0¿widget¿¿¿{"start":{"line":31,"column":38},"end":{"line":31,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Identifier
1275¿Identifier¿¿0¿comment¿¿¿{"start":{"line":31,"column":46},"end":{"line":31,"column":53},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Identifier
1276¿Identifier¿¿0¿cb¿¿¿{"start":{"line":31,"column":55},"end":{"line":31,"column":57},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Identifier
1277¿VariableDeclarator¿¿1988¿domain¿¿¿{"start":{"line":32,"column":5},"end":{"line":32,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿VariableDeclarator
1278¿MemberExpression¿¿1988¿¿¿¿{"start":{"line":32,"column":14},"end":{"line":32,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿MemberExpression
1279¿ThisExpression¿¿1988¿¿¿¿{"start":{"line":32,"column":14},"end":{"line":32,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿ThisExpression
1280¿Identifier¿¿1988¿domain¿¿¿{"start":{"line":32,"column":19},"end":{"line":32,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Identifier
1281¿VariableDeclarator¿¿1988¿v133¿¿¿{"start":{"line":33,"column":34},"end":{"line":33,"column":41},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿VariableDeclarator
1282¿MemberExpression¿¿1988¿¿¿¿{"start":{"line":33,"column":34},"end":{"line":33,"column":41},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿MemberExpression
1283¿Identifier¿¿1988¿user¿¿¿{"start":{"line":33,"column":34},"end":{"line":33,"column":38},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Identifier
1284¿Identifier¿¿1988¿id¿¿¿{"start":{"line":33,"column":39},"end":{"line":33,"column":41},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Identifier
1285¿VariableDeclarator¿¿1988¿v134¿¿¿{"start":{"line":33,"column":27},"end":{"line":33,"column":41},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿VariableDeclarator
1286¿BinaryExpression¿+¿1988¿¿¿¿{"start":{"line":33,"column":27},"end":{"line":33,"column":41},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿BinaryExpression
1287¿Literal¿string¿1988¿¿'u='¿¿{"start":{"line":33,"column":27},"end":{"line":33,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿Literal
1288¿Identifier¿¿1988¿v133¿¿¿¿¿Identifier
1289¿VariableDeclarator¿¿1988¿cookie¿¿¿{"start":{"line":33,"column":5},"end":{"line":33,"column":42},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿VariableDeclarator
1290¿CallExpression¿¿1988¿¿¿¿{"start":{"line":33,"column":12},"end":{"line":33,"column":42},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿CallExpression
1291¿MemberExpression¿¿1988¿¿¿¿{"start":{"line":33,"column":12},"end":{"line":33,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/977/src/api.js"}¿¿MemberExpression
