Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
637¿Program¿¿-1¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":153,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Program
692¿FunctionExpression¿¿1123¿anon¿¿¿{"start":{"line":40,"column":2},"end":{"line":94,"column":3},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿FunctionExpression
693¿Identifier¿¿0¿expression¿¿¿{"start":{"line":40,"column":31},"end":{"line":40,"column":41},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Identifier
694¿Identifier¿¿0¿functionIdentifier¿¿¿{"start":{"line":40,"column":43},"end":{"line":40,"column":61},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Identifier
695¿Identifier¿¿0¿call¿¿¿{"start":{"line":40,"column":63},"end":{"line":40,"column":67},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Identifier
696¿VariableDeclarator¿¿1126¿v61¿¿¿{"start":{"line":41,"column":8},"end":{"line":41,"column":15},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿VariableDeclarator
697¿UpdateExpression¿¿1126¿¿¿¿{"start":{"line":41,"column":8},"end":{"line":41,"column":15},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿UpdateExpression
698¿Identifier¿¿1126¿stack¿¿¿{"start":{"line":41,"column":8},"end":{"line":41,"column":13},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Identifier
699¿VariableDeclarator¿¿1126¿v62¿¿¿{"start":{"line":41,"column":8},"end":{"line":41,"column":27},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿VariableDeclarator
700¿BinaryExpression¿>¿1126¿¿¿¿{"start":{"line":41,"column":8},"end":{"line":41,"column":27},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿BinaryExpression
701¿Identifier¿¿1126¿v61¿¿¿¿¿Identifier
702¿Identifier¿¿1126¿MAX_STACK¿¿¿{"start":{"line":41,"column":18},"end":{"line":41,"column":27},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Identifier
703¿IfStatement¿¿1126¿¿¿¿{"start":{"line":41,"column":4},"end":{"line":44,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿IfStatement
704¿Identifier¿¿1126¿v62¿¿¿¿¿Identifier
705¿ExpressionStatement¿¿1126¿¿¿¿{"start":{"line":42,"column":6},"end":{"line":42,"column":15},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿ExpressionStatement
706¿AssignmentExpression¿=¿1126¿¿¿¿{"start":{"line":42,"column":6},"end":{"line":42,"column":15},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿AssignmentExpression
707¿Identifier¿¿1126¿stack¿¿¿{"start":{"line":42,"column":6},"end":{"line":42,"column":11},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Identifier
708¿Literal¿number¿1126¿¿0¿¿{"start":{"line":42,"column":14},"end":{"line":42,"column":15},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Literal
709¿VariableDeclarator¿¿1126¿v63¿¿¿{"start":{"line":43,"column":22},"end":{"line":43,"column":55},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿VariableDeclarator
710¿BinaryExpression¿+¿1126¿¿¿¿{"start":{"line":43,"column":22},"end":{"line":43,"column":55},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿BinaryExpression
711¿Literal¿string¿1126¿¿'Call stack overflow for '¿¿{"start":{"line":43,"column":22},"end":{"line":43,"column":48},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Literal
712¿Identifier¿¿1126¿call¿¿¿{"start":{"line":43,"column":51},"end":{"line":43,"column":55},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Identifier
713¿VariableDeclarator¿¿1126¿v64¿¿¿{"start":{"line":43,"column":12},"end":{"line":43,"column":56},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿VariableDeclarator
714¿NewExpression¿¿1126¿¿¿¿{"start":{"line":43,"column":12},"end":{"line":43,"column":56},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿NewExpression
715¿Identifier¿¿1126¿Error¿¿¿{"start":{"line":43,"column":16},"end":{"line":43,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Identifier
716¿Identifier¿¿1126¿v63¿¿¿¿¿Identifier
717¿ThrowStatement¿¿1126¿¿¿¿{"start":{"line":43,"column":6},"end":{"line":43,"column":56},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿ThrowStatement
718¿Identifier¿¿1126¿v64¿¿¿¿¿Identifier
719¿BlockStatement¿¿1126¿¿¿¿{"start":{"line":41,"column":29},"end":{"line":44,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿BlockStatement
720¿VariableDeclarator¿¿1126¿v65¿¿¿{"start":{"line":46,"column":8},"end":{"line":46,"column":25},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿VariableDeclarator
721¿BinaryExpression¿===¿1126¿¿¿¿{"start":{"line":46,"column":8},"end":{"line":46,"column":25},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿BinaryExpression
722¿Identifier¿¿1126¿expression¿¿¿{"start":{"line":46,"column":8},"end":{"line":46,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Identifier
723¿Literal¿string¿1126¿¿''¿¿{"start":{"line":46,"column":23},"end":{"line":46,"column":25},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Literal
724¿IfStatement¿¿1126¿¿¿¿{"start":{"line":46,"column":4},"end":{"line":48,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿IfStatement
725¿Identifier¿¿1126¿v65¿¿¿¿¿Identifier
726¿VariableDeclarator¿¿1126¿v66¿¿¿{"start":{"line":47,"column":22},"end":{"line":47,"column":50},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿VariableDeclarator
727¿BinaryExpression¿+¿1126¿¿¿¿{"start":{"line":47,"column":22},"end":{"line":47,"column":50},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿BinaryExpression
728¿Identifier¿¿1126¿functionIdentifier¿¿¿{"start":{"line":47,"column":22},"end":{"line":47,"column":40},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Identifier
729¿Literal¿string¿1126¿¿'(): ''¿¿{"start":{"line":47,"column":43},"end":{"line":47,"column":50},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Literal
730¿VariableDeclarator¿¿1126¿v67¿¿¿{"start":{"line":47,"column":22},"end":{"line":47,"column":57},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿VariableDeclarator
731¿BinaryExpression¿+¿1126¿¿¿¿{"start":{"line":47,"column":22},"end":{"line":47,"column":57},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿BinaryExpression
732¿Identifier¿¿1126¿v66¿¿¿¿¿Identifier
733¿Identifier¿¿1126¿call¿¿¿{"start":{"line":47,"column":53},"end":{"line":47,"column":57},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Identifier
734¿VariableDeclarator¿¿1126¿v68¿¿¿{"start":{"line":47,"column":22},"end":{"line":47,"column":100},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿VariableDeclarator
735¿BinaryExpression¿+¿1126¿¿¿¿{"start":{"line":47,"column":22},"end":{"line":47,"column":100},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿BinaryExpression
736¿Identifier¿¿1126¿v67¿¿¿¿¿Identifier
737¿Literal¿string¿1126¿¿'' must contain a non-whitespace string'¿¿{"start":{"line":47,"column":60},"end":{"line":47,"column":100},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Literal
738¿VariableDeclarator¿¿1126¿v69¿¿¿{"start":{"line":47,"column":12},"end":{"line":47,"column":101},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿VariableDeclarator
739¿NewExpression¿¿1126¿¿¿¿{"start":{"line":47,"column":12},"end":{"line":47,"column":101},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿NewExpression
740¿Identifier¿¿1126¿Error¿¿¿{"start":{"line":47,"column":16},"end":{"line":47,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Identifier
741¿Identifier¿¿1126¿v68¿¿¿¿¿Identifier
742¿ThrowStatement¿¿1126¿¿¿¿{"start":{"line":47,"column":6},"end":{"line":47,"column":101},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿ThrowStatement
743¿Identifier¿¿1126¿v69¿¿¿¿¿Identifier
744¿BlockStatement¿¿1126¿¿¿¿{"start":{"line":46,"column":27},"end":{"line":48,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿BlockStatement
745¿ExpressionStatement¿¿1126¿¿¿¿{"start":{"line":50,"column":4},"end":{"line":50,"column":59},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿ExpressionStatement
746¿AssignmentExpression¿=¿1126¿¿¿¿{"start":{"line":50,"column":4},"end":{"line":50,"column":59},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿AssignmentExpression
747¿Identifier¿¿1126¿expression¿¿¿{"start":{"line":50,"column":4},"end":{"line":50,"column":14},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Identifier
748¿CallExpression¿¿1126¿¿¿¿{"start":{"line":50,"column":17},"end":{"line":50,"column":59},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿CallExpression
749¿Identifier¿¿1126¿evaluateNestedExpression¿¿¿{"start":{"line":50,"column":17},"end":{"line":50,"column":41},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Identifier
750¿Identifier¿¿1126¿expression¿¿¿{"start":{"line":50,"column":42},"end":{"line":50,"column":52},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Identifier
751¿Identifier¿¿1126¿call¿¿¿{"start":{"line":50,"column":54},"end":{"line":50,"column":58},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Identifier
752¿VariableDeclarator¿¿1126¿units¿¿¿{"start":{"line":52,"column":8},"end":{"line":52,"column":48},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿VariableDeclarator
753¿CallExpression¿¿1126¿¿¿¿{"start":{"line":52,"column":16},"end":{"line":52,"column":48},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿CallExpression
754¿Identifier¿¿1126¿getUnitsInExpression¿¿¿{"start":{"line":52,"column":16},"end":{"line":52,"column":36},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Identifier
755¿Identifier¿¿1126¿expression¿¿¿{"start":{"line":52,"column":37},"end":{"line":52,"column":47},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Identifier
756¿VariableDeclarator¿¿1126¿v70¿¿¿{"start":{"line":55,"column":8},"end":{"line":55,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿VariableDeclarator
757¿MemberExpression¿¿1126¿¿¿¿{"start":{"line":55,"column":8},"end":{"line":55,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿MemberExpression
758¿Identifier¿¿1126¿units¿¿¿{"start":{"line":55,"column":8},"end":{"line":55,"column":13},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Identifier
759¿Identifier¿¿1126¿length¿¿¿{"start":{"line":55,"column":14},"end":{"line":55,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Identifier
760¿VariableDeclarator¿¿1126¿v71¿¿¿{"start":{"line":55,"column":8},"end":{"line":55,"column":24},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿VariableDeclarator
761¿BinaryExpression¿>¿1126¿¿¿¿{"start":{"line":55,"column":8},"end":{"line":55,"column":24},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿BinaryExpression
762¿Identifier¿¿1126¿v70¿¿¿¿¿Identifier
763¿Literal¿number¿1126¿¿1¿¿{"start":{"line":55,"column":23},"end":{"line":55,"column":24},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Literal
764¿IfStatement¿¿1126¿¿¿¿{"start":{"line":55,"column":4},"end":{"line":57,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿IfStatement
765¿Identifier¿¿1126¿v71¿¿¿¿¿Identifier
766¿VariableDeclarator¿¿1126¿v72¿¿¿{"start":{"line":56,"column":13},"end":{"line":56,"column":37},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿VariableDeclarator
767¿BinaryExpression¿+¿1126¿¿¿¿{"start":{"line":56,"column":13},"end":{"line":56,"column":37},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿BinaryExpression
768¿Identifier¿¿1126¿functionIdentifier¿¿¿{"start":{"line":56,"column":13},"end":{"line":56,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Identifier
769¿Literal¿string¿1126¿¿'('¿¿{"start":{"line":56,"column":34},"end":{"line":56,"column":37},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿Literal
770¿VariableDeclarator¿¿1126¿v73¿¿¿{"start":{"line":56,"column":13},"end":{"line":56,"column":50},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿VariableDeclarator
771¿BinaryExpression¿+¿1126¿¿¿¿{"start":{"line":56,"column":13},"end":{"line":56,"column":50},"fname":"/datasets/secbench-dataset/CWE-94/reduce-css-calc_1.2.0/src/index.js"}¿¿BinaryExpression
772¿Identifier¿¿1126¿v72¿¿¿¿¿Identifier
