Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
682¿Program¿¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":129,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Program
724¿ThisExpression¿¿¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿ThisExpression
725¿ExpressionStatement¿¿¿¿¿{"start":{"line":16,"column":2},"end":{"line":16,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿ExpressionStatement
726¿Identifier¿¿v58¿¿¿¿¿Identifier
727¿BlockStatement¿¿¿¿¿{"start":{"line":14,"column":26},"end":{"line":17,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿BlockStatement
728¿VariableDeclarator¿¿v86¿¿¿¿¿VariableDeclarator
729¿FunctionExpression¿¿anon¿¿¿{"start":{"line":31,"column":9},"end":{"line":67,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿FunctionExpression
730¿Identifier¿¿object¿¿¿{"start":{"line":31,"column":10},"end":{"line":31,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
731¿VariableDeclarator¿¿v59¿¿¿¿¿VariableDeclarator
732¿CallExpression¿¿¿¿¿{"start":{"line":32,"column":8},"end":{"line":32,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿CallExpression
733¿MemberExpression¿¿¿¿¿{"start":{"line":32,"column":8},"end":{"line":32,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿MemberExpression
734¿Identifier¿¿Array¿¿¿{"start":{"line":32,"column":8},"end":{"line":32,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
735¿Identifier¿¿isArray¿¿¿{"start":{"line":32,"column":14},"end":{"line":32,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
736¿Identifier¿¿object¿¿¿{"start":{"line":32,"column":22},"end":{"line":32,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
737¿IfStatement¿¿¿¿¿{"start":{"line":32,"column":4},"end":{"line":34,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿IfStatement
738¿Identifier¿¿v59¿¿¿¿¿Identifier
739¿VariableDeclarator¿¿v61¿¿¿¿¿VariableDeclarator
740¿ArrowFunctionExpression¿¿¿¿¿{"start":{"line":33,"column":24},"end":{"line":33,"column":55},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿ArrowFunctionExpression
741¿Identifier¿¿object¿¿¿{"start":{"line":33,"column":25},"end":{"line":33,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
742¿VariableDeclarator¿¿v60¿¿¿¿¿VariableDeclarator
743¿CallExpression¿¿¿¿¿{"start":{"line":33,"column":36},"end":{"line":33,"column":55},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿CallExpression
744¿MemberExpression¿¿¿¿¿{"start":{"line":33,"column":36},"end":{"line":33,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿MemberExpression
745¿ThisExpression¿¿¿¿¿{"start":{"line":33,"column":36},"end":{"line":33,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿ThisExpression
746¿Identifier¿¿expand¿¿¿{"start":{"line":33,"column":41},"end":{"line":33,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
747¿Identifier¿¿object¿¿¿{"start":{"line":33,"column":48},"end":{"line":33,"column":54},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
748¿ReturnStatement¿¿¿¿¿¿¿ReturnStatement
749¿Identifier¿¿v60¿¿¿¿¿Identifier
750¿BlockStatement¿¿¿¿¿¿¿BlockStatement
751¿VariableDeclarator¿¿v62¿¿¿¿¿VariableDeclarator
752¿CallExpression¿¿¿¿¿{"start":{"line":33,"column":13},"end":{"line":33,"column":56},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿CallExpression
753¿MemberExpression¿¿¿¿¿{"start":{"line":33,"column":13},"end":{"line":33,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿MemberExpression
754¿Identifier¿¿object¿¿¿{"start":{"line":33,"column":13},"end":{"line":33,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
755¿Identifier¿¿map¿¿¿{"start":{"line":33,"column":20},"end":{"line":33,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
756¿Identifier¿¿v61¿¿¿¿¿Identifier
757¿ReturnStatement¿¿¿¿¿{"start":{"line":33,"column":6},"end":{"line":33,"column":56},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿ReturnStatement
758¿Identifier¿¿v62¿¿¿¿¿Identifier
759¿BlockStatement¿¿¿¿¿{"start":{"line":32,"column":31},"end":{"line":34,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿BlockStatement
760¿VariableDeclarator¿¿separator¿¿¿{"start":{"line":35,"column":10},"end":{"line":35,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿VariableDeclarator
761¿MemberExpression¿¿¿¿¿{"start":{"line":35,"column":22},"end":{"line":35,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿MemberExpression
762¿ThisExpression¿¿¿¿¿{"start":{"line":35,"column":22},"end":{"line":35,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿ThisExpression
763¿Identifier¿¿separator¿¿¿{"start":{"line":35,"column":27},"end":{"line":35,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
764¿VariableDeclarator¿¿result¿¿¿{"start":{"line":36,"column":10},"end":{"line":36,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿VariableDeclarator
765¿ObjectExpression¿¿¿¿¿¿¿ObjectExpression
766¿VariableDeclarator¿¿key¿¿¿{"start":{"line":37,"column":13},"end":{"line":37,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿VariableDeclarator
767¿VariableDeclarator¿¿v63¿¿¿¿¿VariableDeclarator
768¿CallExpression¿¿¿¿¿{"start":{"line":37,"column":20},"end":{"line":37,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿CallExpression
769¿MemberExpression¿¿¿¿¿{"start":{"line":37,"column":20},"end":{"line":37,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿MemberExpression
770¿Identifier¿¿Object¿¿¿{"start":{"line":37,"column":20},"end":{"line":37,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
771¿Identifier¿¿keys¿¿¿{"start":{"line":37,"column":27},"end":{"line":37,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
772¿Identifier¿¿object¿¿¿{"start":{"line":37,"column":32},"end":{"line":37,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
773¿ForOfStatement¿¿¿¿¿{"start":{"line":37,"column":4},"end":{"line":65,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿ForOfStatement
774¿Identifier¿¿key¿¿¿{"start":{"line":37,"column":13},"end":{"line":37,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
775¿Identifier¿¿v63¿¿¿¿¿Identifier
776¿VariableDeclarator¿¿val¿¿¿{"start":{"line":38,"column":10},"end":{"line":38,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿VariableDeclarator
777¿MemberExpression¿computed¿¿¿¿{"start":{"line":38,"column":16},"end":{"line":38,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿MemberExpression
778¿Identifier¿¿object¿¿¿{"start":{"line":38,"column":16},"end":{"line":38,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
779¿Identifier¿¿key¿¿¿{"start":{"line":38,"column":23},"end":{"line":38,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
780¿VariableDeclarator¿¿v64¿¿¿¿¿VariableDeclarator
781¿CallExpression¿¿¿¿¿{"start":{"line":39,"column":31},"end":{"line":39,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿CallExpression
782¿MemberExpression¿¿¿¿¿{"start":{"line":39,"column":31},"end":{"line":39,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿MemberExpression
783¿Identifier¿¿key¿¿¿{"start":{"line":39,"column":31},"end":{"line":39,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
784¿Identifier¿¿indexOf¿¿¿{"start":{"line":39,"column":35},"end":{"line":39,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
785¿Identifier¿¿separator¿¿¿{"start":{"line":39,"column":43},"end":{"line":39,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
786¿VariableDeclarator¿¿v65¿¿¿¿¿VariableDeclarator
787¿UnaryExpression¿~¿¿¿¿{"start":{"line":39,"column":30},"end":{"line":39,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿UnaryExpression
788¿Identifier¿¿v64¿¿¿¿¿Identifier
789¿VariableDeclarator¿¿v66¿¿¿¿¿VariableDeclarator
790¿UnaryExpression¿!¿¿¿¿{"start":{"line":39,"column":29},"end":{"line":39,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿UnaryExpression
791¿Identifier¿¿v65¿¿¿¿¿Identifier
792¿VariableDeclarator¿¿v67¿¿¿¿¿VariableDeclarator
793¿UnaryExpression¿!¿¿¿¿{"start":{"line":39,"column":28},"end":{"line":39,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿UnaryExpression
794¿Identifier¿¿v66¿¿¿¿¿Identifier
795¿VariableDeclarator¿¿needsSeparate¿¿¿{"start":{"line":39,"column":12},"end":{"line":39,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿VariableDeclarator
796¿Identifier¿¿v67¿¿¿¿¿Identifier
797¿IfStatement¿¿¿¿¿{"start":{"line":40,"column":6},"end":{"line":49,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿IfStatement
798¿Identifier¿¿needsSeparate¿¿¿{"start":{"line":40,"column":10},"end":{"line":40,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
799¿VariableDeclarator¿¿subKeys¿¿¿{"start":{"line":41,"column":14},"end":{"line":41,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿VariableDeclarator
800¿CallExpression¿¿¿¿¿{"start":{"line":41,"column":24},"end":{"line":41,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿CallExpression
801¿MemberExpression¿¿¿¿¿{"start":{"line":41,"column":24},"end":{"line":41,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿MemberExpression
802¿Identifier¿¿key¿¿¿{"start":{"line":41,"column":24},"end":{"line":41,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
803¿Identifier¿¿split¿¿¿{"start":{"line":41,"column":28},"end":{"line":41,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
804¿Identifier¿¿separator¿¿¿{"start":{"line":41,"column":34},"end":{"line":41,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
805¿VariableDeclarator¿¿subObj¿¿¿{"start":{"line":42,"column":14},"end":{"line":42,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿VariableDeclarator
806¿ObjectExpression¿¿¿¿¿¿¿ObjectExpression
807¿VariableDeclarator¿¿thisKey¿¿¿{"start":{"line":43,"column":14},"end":{"line":43,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿VariableDeclarator
808¿CallExpression¿¿¿¿¿{"start":{"line":43,"column":24},"end":{"line":43,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿CallExpression
809¿MemberExpression¿¿¿¿¿{"start":{"line":43,"column":24},"end":{"line":43,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿MemberExpression
810¿Identifier¿¿subKeys¿¿¿{"start":{"line":43,"column":24},"end":{"line":43,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
811¿Identifier¿¿shift¿¿¿{"start":{"line":43,"column":32},"end":{"line":43,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
812¿VariableDeclarator¿¿v68¿¿¿¿¿VariableDeclarator
813¿CallExpression¿¿¿¿¿{"start":{"line":44,"column":15},"end":{"line":44,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿CallExpression
814¿MemberExpression¿¿¿¿¿{"start":{"line":44,"column":15},"end":{"line":44,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿MemberExpression
815¿Identifier¿¿subKeys¿¿¿{"start":{"line":44,"column":15},"end":{"line":44,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
816¿Identifier¿¿join¿¿¿{"start":{"line":44,"column":23},"end":{"line":44,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
817¿Literal¿string¿¿'.'¿¿{"start":{"line":44,"column":28},"end":{"line":44,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Literal
818¿ExpressionStatement¿¿¿¿¿{"start":{"line":44,"column":8},"end":{"line":44,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿ExpressionStatement
819¿AssignmentExpression¿=¿¿¿¿{"start":{"line":44,"column":8},"end":{"line":44,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿AssignmentExpression
820¿MemberExpression¿computed¿¿¿¿{"start":{"line":44,"column":8},"end":{"line":44,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿MemberExpression
821¿Identifier¿¿subObj¿¿¿{"start":{"line":44,"column":8},"end":{"line":44,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
822¿Identifier¿¿v68¿¿¿¿¿Identifier
823¿Identifier¿¿val¿¿¿{"start":{"line":44,"column":36},"end":{"line":44,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
824¿VariableDeclarator¿¿subExpandedObj¿¿¿{"start":{"line":45,"column":14},"end":{"line":45,"column":50},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿VariableDeclarator
825¿CallExpression¿¿¿¿¿{"start":{"line":45,"column":31},"end":{"line":45,"column":50},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿CallExpression
826¿MemberExpression¿¿¿¿¿{"start":{"line":45,"column":31},"end":{"line":45,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿MemberExpression
827¿ThisExpression¿¿¿¿¿{"start":{"line":45,"column":31},"end":{"line":45,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿ThisExpression
828¿Identifier¿¿expand¿¿¿{"start":{"line":45,"column":36},"end":{"line":45,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
829¿Identifier¿¿subObj¿¿¿{"start":{"line":45,"column":43},"end":{"line":45,"column":49},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
830¿VariableDeclarator¿¿thisVal¿¿¿{"start":{"line":46,"column":14},"end":{"line":46,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿VariableDeclarator
831¿MemberExpression¿computed¿¿¿¿{"start":{"line":46,"column":24},"end":{"line":46,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿MemberExpression
832¿Identifier¿¿result¿¿¿{"start":{"line":46,"column":24},"end":{"line":46,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
833¿Identifier¿¿thisKey¿¿¿{"start":{"line":46,"column":31},"end":{"line":46,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
834¿ExpressionStatement¿¿¿¿¿{"start":{"line":47,"column":8},"end":{"line":47,"column":50},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿ExpressionStatement
835¿AssignmentExpression¿=¿¿¿¿{"start":{"line":47,"column":8},"end":{"line":47,"column":50},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿AssignmentExpression
836¿Identifier¿¿val¿¿¿{"start":{"line":47,"column":8},"end":{"line":47,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
837¿CallExpression¿¿¿¿¿{"start":{"line":47,"column":14},"end":{"line":47,"column":50},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿CallExpression
838¿MemberExpression¿¿¿¿¿{"start":{"line":47,"column":14},"end":{"line":47,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿MemberExpression
