Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
18915¿Program¿¿-1¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":2319,"column":4},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Program
18948¿VariableDeclarator¿¿33407¿v1893¿¿¿{"start":{"line":11,"column":34},"end":{"line":11,"column":44},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿VariableDeclarator
18949¿MemberExpression¿¿33407¿¿¿¿{"start":{"line":11,"column":34},"end":{"line":11,"column":44},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿MemberExpression
18950¿Identifier¿¿33407¿define¿¿¿{"start":{"line":11,"column":34},"end":{"line":11,"column":40},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Identifier
18951¿Identifier¿¿33407¿amd¿¿¿{"start":{"line":11,"column":41},"end":{"line":11,"column":44},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Identifier
18952¿VariableDeclarator¿¿33407¿v1894¿¿¿{"start":{"line":11,"column":2},"end":{"line":11,"column":44},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿VariableDeclarator
18953¿LogicalExpression¿&&¿33407¿¿¿¿{"start":{"line":11,"column":2},"end":{"line":11,"column":44},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿LogicalExpression
18954¿Identifier¿¿33407¿v1892¿¿¿¿¿Identifier
18955¿Identifier¿¿33407¿v1893¿¿¿¿¿Identifier
18956¿VariableDeclarator¿¿33407¿v1895¿¿¿{"start":{"line":11,"column":47},"end":{"line":11,"column":62},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿VariableDeclarator
18957¿CallExpression¿¿33407¿¿¿¿{"start":{"line":11,"column":47},"end":{"line":11,"column":62},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿CallExpression
18958¿Identifier¿¿33407¿define¿¿¿{"start":{"line":11,"column":47},"end":{"line":11,"column":53},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Identifier
18959¿Identifier¿¿33407¿factory¿¿¿{"start":{"line":11,"column":54},"end":{"line":11,"column":61},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Identifier
18960¿VariableDeclarator¿¿33407¿v1896¿¿¿{"start":{"line":12,"column":28},"end":{"line":12,"column":56},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿VariableDeclarator
18961¿CallExpression¿¿33407¿¿¿¿{"start":{"line":12,"column":47},"end":{"line":12,"column":56},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿CallExpression
18962¿Identifier¿¿33407¿factory¿¿¿{"start":{"line":12,"column":47},"end":{"line":12,"column":54},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Identifier
18963¿VariableDeclarator¿¿33407¿v1897¿¿¿{"start":{"line":11,"column":2},"end":{"line":12,"column":57},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿VariableDeclarator
18964¿IfStatement¿¿33407¿¿¿¿{"start":{"line":11,"column":2},"end":{"line":12,"column":57},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿IfStatement
18965¿Identifier¿¿33407¿v1894¿¿¿¿¿Identifier
18966¿ExpressionStatement¿¿33407¿¿¿¿{"start":{"line":11,"column":2},"end":{"line":12,"column":57},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿ExpressionStatement
18967¿AssignmentExpression¿=¿33407¿¿¿¿{"start":{"line":11,"column":2},"end":{"line":12,"column":57},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿AssignmentExpression
18968¿Identifier¿¿33407¿v1897¿¿¿¿¿Identifier
18969¿Identifier¿¿33407¿v1895¿¿¿¿¿Identifier
18970¿BlockStatement¿¿33407¿¿¿¿¿¿BlockStatement
18971¿ExpressionStatement¿¿33407¿¿¿¿{"start":{"line":11,"column":2},"end":{"line":12,"column":57},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿ExpressionStatement
18972¿AssignmentExpression¿=¿33407¿¿¿¿{"start":{"line":11,"column":2},"end":{"line":12,"column":57},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿AssignmentExpression
18973¿Identifier¿¿33407¿v1897¿¿¿¿¿Identifier
18974¿SequenceExpression¿¿33407¿¿¿¿{"start":{"line":12,"column":3},"end":{"line":12,"column":56},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿SequenceExpression
18975¿AssignmentExpression¿=¿33407¿¿¿¿{"start":{"line":12,"column":3},"end":{"line":12,"column":26},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿AssignmentExpression
18976¿Identifier¿¿33407¿global¿¿¿{"start":{"line":12,"column":3},"end":{"line":12,"column":9},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Identifier
18977¿LogicalExpression¿||¿33407¿¿¿¿{"start":{"line":12,"column":12},"end":{"line":12,"column":26},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿LogicalExpression
18978¿Identifier¿¿33407¿global¿¿¿{"start":{"line":12,"column":12},"end":{"line":12,"column":18},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Identifier
18979¿Identifier¿¿33407¿self¿¿¿{"start":{"line":12,"column":22},"end":{"line":12,"column":26},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Identifier
18980¿AssignmentExpression¿=¿33407¿¿¿¿{"start":{"line":12,"column":28},"end":{"line":12,"column":56},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿AssignmentExpression
18981¿MemberExpression¿¿33407¿¿¿¿{"start":{"line":12,"column":28},"end":{"line":12,"column":44},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿MemberExpression
18982¿Identifier¿¿33407¿global¿¿¿{"start":{"line":12,"column":28},"end":{"line":12,"column":34},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Identifier
18983¿Identifier¿¿33407¿Chartkick¿¿¿{"start":{"line":12,"column":35},"end":{"line":12,"column":44},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Identifier
18984¿Identifier¿¿33407¿v1896¿¿¿¿¿Identifier
18985¿BlockStatement¿¿33407¿¿¿¿¿¿BlockStatement
18986¿VariableDeclarator¿¿33407¿v1898¿¿¿{"start":{"line":10,"column":2},"end":{"line":12,"column":57},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿VariableDeclarator
18987¿IfStatement¿¿33407¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":12,"column":57},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿IfStatement
18988¿Identifier¿¿33407¿v1889¿¿¿¿¿Identifier
18989¿ExpressionStatement¿¿33407¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":12,"column":57},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿ExpressionStatement
18990¿AssignmentExpression¿=¿33407¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":12,"column":57},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿AssignmentExpression
18991¿MemberExpression¿¿33407¿¿¿¿{"start":{"line":10,"column":65},"end":{"line":10,"column":79},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿MemberExpression
18992¿Identifier¿¿33407¿module¿¿¿{"start":{"line":10,"column":65},"end":{"line":10,"column":71},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Identifier
18993¿Identifier¿¿33407¿exports¿¿¿{"start":{"line":10,"column":72},"end":{"line":10,"column":79},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Identifier
18994¿Identifier¿¿33407¿v1890¿¿¿¿¿Identifier
18995¿ExpressionStatement¿¿33407¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":12,"column":57},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿ExpressionStatement
18996¿AssignmentExpression¿=¿33407¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":12,"column":57},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿AssignmentExpression
18997¿Identifier¿¿33407¿v1898¿¿¿{"start":{"line":10,"column":2},"end":{"line":12,"column":57},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Identifier
18998¿MemberExpression¿¿33407¿¿¿¿{"start":{"line":10,"column":65},"end":{"line":10,"column":79},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿MemberExpression
18999¿Identifier¿¿33407¿module¿¿¿{"start":{"line":10,"column":65},"end":{"line":10,"column":71},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Identifier
19000¿Identifier¿¿33407¿exports¿¿¿{"start":{"line":10,"column":72},"end":{"line":10,"column":79},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Identifier
19001¿BlockStatement¿¿33407¿¿¿¿¿¿BlockStatement
19002¿ExpressionStatement¿¿33407¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":12,"column":57},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿ExpressionStatement
19003¿AssignmentExpression¿=¿33407¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":12,"column":57},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿AssignmentExpression
19004¿Identifier¿¿33407¿v1898¿¿¿¿¿Identifier
19005¿Identifier¿¿33407¿v1897¿¿¿¿¿Identifier
19006¿BlockStatement¿¿33407¿¿¿¿¿¿BlockStatement
19007¿ExpressionStatement¿¿33407¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":12,"column":58},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿ExpressionStatement
19008¿Identifier¿¿33407¿v1898¿¿¿¿¿Identifier
19009¿BlockStatement¿¿33407¿¿¿¿{"start":{"line":9,"column":28},"end":{"line":13,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿BlockStatement
19010¿VariableDeclarator¿¿33405¿v3767¿¿¿{"start":{"line":13,"column":8},"end":{"line":2319,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿VariableDeclarator
19011¿FunctionExpression¿¿33405¿anon¿¿¿{"start":{"line":13,"column":8},"end":{"line":2319,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿FunctionExpression
19012¿ExpressionStatement¿¿33411¿¿¿¿{"start":{"line":13,"column":22},"end":{"line":13,"column":35},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿ExpressionStatement
19013¿Literal¿string¿33411¿¿'use strict'¿¿{"start":{"line":13,"column":22},"end":{"line":13,"column":34},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Literal
19014¿VariableDeclarator¿¿33411¿isArray¿¿¿{"start":{"line":15,"column":2},"end":{"line":17,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿VariableDeclarator
19015¿FunctionExpression¿¿33411¿anon¿¿¿{"start":{"line":15,"column":2},"end":{"line":17,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿FunctionExpression
19016¿Identifier¿¿0¿variable¿¿¿{"start":{"line":15,"column":19},"end":{"line":15,"column":27},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Identifier
19017¿VariableDeclarator¿¿33413¿v1900¿¿¿{"start":{"line":16,"column":11},"end":{"line":16,"column":27},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿VariableDeclarator
19018¿MemberExpression¿¿33413¿¿¿¿{"start":{"line":16,"column":11},"end":{"line":16,"column":27},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿MemberExpression
19019¿Identifier¿¿33413¿Object¿¿¿{"start":{"line":16,"column":11},"end":{"line":16,"column":17},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Identifier
19020¿Identifier¿¿33413¿prototype¿¿¿{"start":{"line":16,"column":18},"end":{"line":16,"column":27},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Identifier
19021¿VariableDeclarator¿¿33413¿v1901¿¿¿{"start":{"line":16,"column":11},"end":{"line":16,"column":36},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿VariableDeclarator
19022¿MemberExpression¿¿33413¿¿¿¿{"start":{"line":16,"column":11},"end":{"line":16,"column":36},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿MemberExpression
19023¿Identifier¿¿33413¿v1900¿¿¿¿¿Identifier
19024¿Identifier¿¿33413¿toString¿¿¿{"start":{"line":16,"column":28},"end":{"line":16,"column":36},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Identifier
19025¿VariableDeclarator¿¿33413¿v1902¿¿¿{"start":{"line":16,"column":11},"end":{"line":16,"column":51},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿VariableDeclarator
19026¿CallExpression¿¿33413¿¿¿¿{"start":{"line":16,"column":11},"end":{"line":16,"column":51},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿CallExpression
19027¿MemberExpression¿¿33413¿¿¿¿{"start":{"line":16,"column":11},"end":{"line":16,"column":41},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿MemberExpression
19028¿Identifier¿¿33413¿v1901¿¿¿¿¿Identifier
19029¿Identifier¿¿33413¿call¿¿¿{"start":{"line":16,"column":37},"end":{"line":16,"column":41},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Identifier
19030¿Identifier¿¿33413¿variable¿¿¿{"start":{"line":16,"column":42},"end":{"line":16,"column":50},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Identifier
19031¿VariableDeclarator¿¿33413¿v1903¿¿¿{"start":{"line":16,"column":11},"end":{"line":16,"column":72},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿VariableDeclarator
19032¿BinaryExpression¿===¿33413¿¿¿¿{"start":{"line":16,"column":11},"end":{"line":16,"column":72},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿BinaryExpression
19033¿Identifier¿¿33413¿v1902¿¿¿¿¿Identifier
19034¿Literal¿string¿33413¿¿'[object Array]'¿¿{"start":{"line":16,"column":56},"end":{"line":16,"column":72},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Literal
19035¿ReturnStatement¿¿33413¿¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":73},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿ReturnStatement
19036¿Identifier¿¿33413¿v1903¿¿¿¿¿Identifier
19037¿BlockStatement¿¿33413¿¿¿¿{"start":{"line":15,"column":29},"end":{"line":17,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿BlockStatement
19038¿VariableDeclarator¿¿33411¿isFunction¿¿¿{"start":{"line":19,"column":2},"end":{"line":21,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿VariableDeclarator
19039¿FunctionExpression¿¿33411¿anon¿¿¿{"start":{"line":19,"column":2},"end":{"line":21,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿FunctionExpression
19040¿Identifier¿¿0¿variable¿¿¿{"start":{"line":19,"column":22},"end":{"line":19,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Identifier
19041¿VariableDeclarator¿¿33415¿v1904¿¿¿{"start":{"line":20,"column":11},"end":{"line":20,"column":39},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿VariableDeclarator
19042¿BinaryExpression¿instanceof¿33415¿¿¿¿{"start":{"line":20,"column":11},"end":{"line":20,"column":39},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿BinaryExpression
19043¿Identifier¿¿33415¿variable¿¿¿{"start":{"line":20,"column":11},"end":{"line":20,"column":19},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Identifier
19044¿Identifier¿¿33415¿Function¿¿¿{"start":{"line":20,"column":31},"end":{"line":20,"column":39},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Identifier
19045¿ReturnStatement¿¿33415¿¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":40},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿ReturnStatement
19046¿Identifier¿¿33415¿v1904¿¿¿¿¿Identifier
19047¿BlockStatement¿¿33415¿¿¿¿{"start":{"line":19,"column":32},"end":{"line":21,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿BlockStatement
19048¿VariableDeclarator¿¿33411¿isPlainObject¿¿¿{"start":{"line":23,"column":2},"end":{"line":25,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿VariableDeclarator
19049¿FunctionExpression¿¿33411¿anon¿¿¿{"start":{"line":23,"column":2},"end":{"line":25,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿FunctionExpression
19050¿Identifier¿¿0¿variable¿¿¿{"start":{"line":23,"column":25},"end":{"line":23,"column":33},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Identifier
19051¿VariableDeclarator¿¿33417¿v1905¿¿¿{"start":{"line":24,"column":11},"end":{"line":24,"column":27},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿VariableDeclarator
19052¿MemberExpression¿¿33417¿¿¿¿{"start":{"line":24,"column":11},"end":{"line":24,"column":27},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿MemberExpression
19053¿Identifier¿¿33417¿Object¿¿¿{"start":{"line":24,"column":11},"end":{"line":24,"column":17},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Identifier
19054¿Identifier¿¿33417¿prototype¿¿¿{"start":{"line":24,"column":18},"end":{"line":24,"column":27},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Identifier
19055¿VariableDeclarator¿¿33417¿v1906¿¿¿{"start":{"line":24,"column":11},"end":{"line":24,"column":36},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿VariableDeclarator
19056¿MemberExpression¿¿33417¿¿¿¿{"start":{"line":24,"column":11},"end":{"line":24,"column":36},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿MemberExpression
19057¿Identifier¿¿33417¿v1905¿¿¿¿¿Identifier
19058¿Identifier¿¿33417¿toString¿¿¿{"start":{"line":24,"column":28},"end":{"line":24,"column":36},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Identifier
19059¿VariableDeclarator¿¿33417¿v1907¿¿¿{"start":{"line":24,"column":11},"end":{"line":24,"column":51},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿VariableDeclarator
19060¿CallExpression¿¿33417¿¿¿¿{"start":{"line":24,"column":11},"end":{"line":24,"column":51},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿CallExpression
19061¿MemberExpression¿¿33417¿¿¿¿{"start":{"line":24,"column":11},"end":{"line":24,"column":41},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿MemberExpression
19062¿Identifier¿¿33417¿v1906¿¿¿¿¿Identifier
19063¿Identifier¿¿33417¿call¿¿¿{"start":{"line":24,"column":37},"end":{"line":24,"column":41},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Identifier
19064¿Identifier¿¿33417¿variable¿¿¿{"start":{"line":24,"column":42},"end":{"line":24,"column":50},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿Identifier
19065¿VariableDeclarator¿¿33417¿v1908¿¿¿{"start":{"line":24,"column":11},"end":{"line":24,"column":73},"fname":"/datasets/vulcan-dataset/CWE-471/1312/src/chartkick.js"}¿¿VariableDeclarator
