Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1067¿Program¿¿-1¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":231,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Program
1079¿CallExpression¿¿1850¿¿¿¿{"start":{"line":11,"column":15},"end":{"line":11,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿CallExpression
1080¿Identifier¿¿1850¿require¿¿¿{"start":{"line":11,"column":15},"end":{"line":11,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1081¿Literal¿string¿1850¿¿'stack-trace'¿¿{"start":{"line":11,"column":23},"end":{"line":11,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Literal
1082¿VariableDeclarator¿¿1850¿v80¿¿¿{"start":{"line":12,"column":13},"end":{"line":12,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿VariableDeclarator
1083¿CallExpression¿¿1850¿¿¿¿{"start":{"line":12,"column":13},"end":{"line":12,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿CallExpression
1084¿Identifier¿¿1850¿require¿¿¿{"start":{"line":12,"column":13},"end":{"line":12,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1085¿Literal¿string¿1850¿¿'child_process'¿¿{"start":{"line":12,"column":21},"end":{"line":12,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Literal
1086¿VariableDeclarator¿¿1850¿proc¿¿¿{"start":{"line":12,"column":6},"end":{"line":12,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿VariableDeclarator
1087¿MemberExpression¿¿1850¿¿¿¿{"start":{"line":12,"column":13},"end":{"line":12,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿MemberExpression
1088¿Identifier¿¿1850¿v80¿¿¿¿¿Identifier
1089¿Identifier¿¿1850¿exec¿¿¿{"start":{"line":12,"column":38},"end":{"line":12,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1090¿VariableDeclarator¿¿1850¿v81¿¿¿{"start":{"line":13,"column":16},"end":{"line":13,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿VariableDeclarator
1091¿CallExpression¿¿1850¿¿¿¿{"start":{"line":13,"column":16},"end":{"line":13,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿CallExpression
1092¿Identifier¿¿1850¿require¿¿¿{"start":{"line":13,"column":16},"end":{"line":13,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1093¿Literal¿string¿1850¿¿'events'¿¿{"start":{"line":13,"column":24},"end":{"line":13,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Literal
1094¿VariableDeclarator¿¿1850¿emitter¿¿¿{"start":{"line":13,"column":6},"end":{"line":13,"column":46},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿VariableDeclarator
1095¿MemberExpression¿¿1850¿¿¿¿{"start":{"line":13,"column":16},"end":{"line":13,"column":46},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿MemberExpression
1096¿Identifier¿¿1850¿v81¿¿¿¿¿Identifier
1097¿Identifier¿¿1850¿EventEmitter¿¿¿{"start":{"line":13,"column":34},"end":{"line":13,"column":46},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1098¿VariableDeclarator¿¿1850¿network¿¿¿{"start":{"line":15,"column":6},"end":{"line":15,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿VariableDeclarator
1099¿CallExpression¿¿1850¿¿¿¿{"start":{"line":15,"column":16},"end":{"line":15,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿CallExpression
1100¿Identifier¿¿1850¿require¿¿¿{"start":{"line":15,"column":16},"end":{"line":15,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1101¿Literal¿string¿1850¿¿'./networking.js'¿¿{"start":{"line":15,"column":24},"end":{"line":15,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Literal
1102¿VariableDeclarator¿¿1850¿reporting¿¿¿{"start":{"line":16,"column":6},"end":{"line":16,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿VariableDeclarator
1103¿CallExpression¿¿1850¿¿¿¿{"start":{"line":16,"column":18},"end":{"line":16,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿CallExpression
1104¿Identifier¿¿1850¿require¿¿¿{"start":{"line":16,"column":18},"end":{"line":16,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1105¿Literal¿string¿1850¿¿'./reporting.js'¿¿{"start":{"line":16,"column":26},"end":{"line":16,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Literal
1106¿VariableDeclarator¿¿1850¿validation¿¿¿{"start":{"line":17,"column":6},"end":{"line":17,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿VariableDeclarator
1107¿CallExpression¿¿1850¿¿¿¿{"start":{"line":17,"column":19},"end":{"line":17,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿CallExpression
1108¿Identifier¿¿1850¿require¿¿¿{"start":{"line":17,"column":19},"end":{"line":17,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1109¿Literal¿string¿1850¿¿'./validation.js'¿¿{"start":{"line":17,"column":27},"end":{"line":17,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Literal
1110¿VariableDeclarator¿¿1850¿tools¿¿¿{"start":{"line":20,"column":0},"end":{"line":228,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿VariableDeclarator
1111¿FunctionExpression¿¿1850¿tools¿¿¿{"start":{"line":20,"column":0},"end":{"line":228,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿FunctionExpression
1112¿BlockStatement¿¿1852¿¿¿¿¿¿BlockStatement
1113¿VariableDeclarator¿¿1850¿merge¿¿¿{"start":{"line":20,"column":0},"end":{"line":228,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿VariableDeclarator
1114¿FunctionExpression¿¿1850¿merge¿¿¿{"start":{"line":31,"column":7},"end":{"line":33,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿FunctionExpression
1115¿Identifier¿¿0¿defaults¿¿¿{"start":{"line":31,"column":8},"end":{"line":31,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1116¿Identifier¿¿0¿obj¿¿¿{"start":{"line":31,"column":18},"end":{"line":31,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1117¿VariableDeclarator¿¿1854¿v82¿¿¿{"start":{"line":32,"column":11},"end":{"line":32,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿VariableDeclarator
1118¿CallExpression¿¿1854¿¿¿¿{"start":{"line":32,"column":11},"end":{"line":32,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿CallExpression
1119¿Identifier¿¿1854¿merge¿¿¿{"start":{"line":32,"column":11},"end":{"line":32,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1120¿Identifier¿¿1854¿defaults¿¿¿{"start":{"line":32,"column":17},"end":{"line":32,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1121¿Identifier¿¿1854¿obj¿¿¿{"start":{"line":32,"column":27},"end":{"line":32,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1122¿ReturnStatement¿¿1854¿¿¿¿{"start":{"line":32,"column":4},"end":{"line":32,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿ReturnStatement
1123¿Identifier¿¿1854¿v82¿¿¿¿¿Identifier
1124¿BlockStatement¿¿1854¿¿¿¿{"start":{"line":31,"column":23},"end":{"line":33,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿BlockStatement
1125¿ExpressionStatement¿¿1850¿¿¿¿{"start":{"line":20,"column":0},"end":{"line":228,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿ExpressionStatement
1126¿AssignmentExpression¿=¿1850¿¿¿¿{"start":{"line":20,"column":0},"end":{"line":228,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿AssignmentExpression
1127¿MemberExpression¿¿1850¿¿¿¿{"start":{"line":20,"column":0},"end":{"line":228,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿MemberExpression
1128¿Identifier¿¿1850¿tools¿¿¿{"start":{"line":20,"column":6},"end":{"line":20,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1129¿Identifier¿¿1850¿merge¿¿¿{"start":{"line":31,"column":2},"end":{"line":31,"column":7},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1130¿Identifier¿¿1850¿merge¿¿¿{"start":{"line":31,"column":2},"end":{"line":31,"column":7},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1131¿VariableDeclarator¿¿1850¿chunk¿¿¿{"start":{"line":20,"column":0},"end":{"line":228,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿VariableDeclarator
1132¿FunctionExpression¿¿1850¿chunk¿¿¿{"start":{"line":45,"column":7},"end":{"line":55,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿FunctionExpression
1133¿Identifier¿¿0¿obj¿¿¿{"start":{"line":45,"column":8},"end":{"line":45,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1134¿Identifier¿¿0¿offset¿¿¿{"start":{"line":45,"column":13},"end":{"line":45,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1135¿VariableDeclarator¿¿1856¿idx¿¿¿{"start":{"line":46,"column":8},"end":{"line":46,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿VariableDeclarator
1136¿Literal¿number¿1856¿¿0¿¿{"start":{"line":46,"column":14},"end":{"line":46,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Literal
1137¿VariableDeclarator¿¿1856¿alength¿¿¿{"start":{"line":47,"column":10},"end":{"line":47,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿VariableDeclarator
1138¿MemberExpression¿¿1856¿¿¿¿{"start":{"line":47,"column":20},"end":{"line":47,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿MemberExpression
1139¿Identifier¿¿1856¿obj¿¿¿{"start":{"line":47,"column":20},"end":{"line":47,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1140¿Identifier¿¿1856¿length¿¿¿{"start":{"line":47,"column":24},"end":{"line":47,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1141¿VariableDeclarator¿¿1856¿tarray¿¿¿{"start":{"line":48,"column":10},"end":{"line":48,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿VariableDeclarator
1142¿ArrayExpression¿¿1856¿¿¿¿{"start":{"line":48,"column":19},"end":{"line":48,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿ArrayExpression
1143¿AssignmentExpression¿=¿1856¿¿¿¿{"start":{"line":50,"column":9},"end":{"line":50,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿AssignmentExpression
1144¿Identifier¿¿1856¿idx¿¿¿{"start":{"line":50,"column":9},"end":{"line":50,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1145¿Literal¿number¿1856¿¿0¿¿{"start":{"line":50,"column":15},"end":{"line":50,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Literal
1146¿VariableDeclarator¿¿1856¿v83¿¿¿{"start":{"line":50,"column":18},"end":{"line":50,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿VariableDeclarator
1147¿BinaryExpression¿<¿1856¿¿¿¿{"start":{"line":50,"column":18},"end":{"line":50,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿BinaryExpression
1148¿Identifier¿¿1856¿idx¿¿¿{"start":{"line":50,"column":18},"end":{"line":50,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1149¿Identifier¿¿1856¿alength¿¿¿{"start":{"line":50,"column":24},"end":{"line":50,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1150¿WhileStatement¿¿1856¿¿¿¿{"start":{"line":50,"column":4},"end":{"line":52,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿WhileStatement
1151¿Identifier¿¿1856¿v83¿¿¿¿¿Identifier
1152¿VariableDeclarator¿¿1856¿v84¿¿¿{"start":{"line":51,"column":33},"end":{"line":51,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿VariableDeclarator
1153¿BinaryExpression¿+¿1856¿¿¿¿{"start":{"line":51,"column":33},"end":{"line":51,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿BinaryExpression
1154¿Identifier¿¿1856¿idx¿¿¿{"start":{"line":51,"column":33},"end":{"line":51,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1155¿Identifier¿¿1856¿offset¿¿¿{"start":{"line":51,"column":39},"end":{"line":51,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1156¿VariableDeclarator¿¿1856¿v85¿¿¿{"start":{"line":51,"column":18},"end":{"line":51,"column":46},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿VariableDeclarator
1157¿CallExpression¿¿1856¿¿¿¿{"start":{"line":51,"column":18},"end":{"line":51,"column":46},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿CallExpression
1158¿MemberExpression¿¿1856¿¿¿¿{"start":{"line":51,"column":18},"end":{"line":51,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿MemberExpression
1159¿Identifier¿¿1856¿obj¿¿¿{"start":{"line":51,"column":18},"end":{"line":51,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1160¿Identifier¿¿1856¿slice¿¿¿{"start":{"line":51,"column":22},"end":{"line":51,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1161¿Identifier¿¿1856¿idx¿¿¿{"start":{"line":51,"column":28},"end":{"line":51,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1162¿Identifier¿¿1856¿v84¿¿¿¿¿Identifier
1163¿VariableDeclarator¿¿1856¿v86¿¿¿{"start":{"line":51,"column":18},"end":{"line":51,"column":56},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿VariableDeclarator
1164¿CallExpression¿¿1856¿¿¿¿{"start":{"line":51,"column":18},"end":{"line":51,"column":56},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿CallExpression
1165¿MemberExpression¿¿1856¿¿¿¿{"start":{"line":51,"column":18},"end":{"line":51,"column":51},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿MemberExpression
1166¿Identifier¿¿1856¿v85¿¿¿¿¿Identifier
1167¿Identifier¿¿1856¿join¿¿¿{"start":{"line":51,"column":47},"end":{"line":51,"column":51},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1168¿Literal¿string¿1856¿¿' '¿¿{"start":{"line":51,"column":52},"end":{"line":51,"column":55},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Literal
1169¿VariableDeclarator¿¿1856¿v87¿¿¿{"start":{"line":51,"column":6},"end":{"line":51,"column":57},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿VariableDeclarator
1170¿CallExpression¿¿1856¿¿¿¿{"start":{"line":51,"column":6},"end":{"line":51,"column":57},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿CallExpression
1171¿MemberExpression¿¿1856¿¿¿¿{"start":{"line":51,"column":6},"end":{"line":51,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿MemberExpression
1172¿Identifier¿¿1856¿tarray¿¿¿{"start":{"line":51,"column":6},"end":{"line":51,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1173¿Identifier¿¿1856¿push¿¿¿{"start":{"line":51,"column":13},"end":{"line":51,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1174¿Identifier¿¿1856¿v86¿¿¿¿¿Identifier
1175¿ExpressionStatement¿¿1856¿¿¿¿{"start":{"line":51,"column":6},"end":{"line":51,"column":58},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿ExpressionStatement
1176¿Identifier¿¿1856¿v87¿¿¿¿¿Identifier
1177¿ExpressionStatement¿¿1856¿¿¿¿{"start":{"line":50,"column":4},"end":{"line":52,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿ExpressionStatement
1178¿AssignmentExpression¿=¿1856¿¿¿¿{"start":{"line":50,"column":4},"end":{"line":52,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿AssignmentExpression
1179¿Identifier¿¿1856¿v83¿¿¿{"start":{"line":50,"column":4},"end":{"line":52,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1180¿BinaryExpression¿<¿1856¿¿¿¿{"start":{"line":50,"column":18},"end":{"line":50,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿BinaryExpression
1181¿Identifier¿¿1856¿idx¿¿¿{"start":{"line":50,"column":18},"end":{"line":50,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1182¿Identifier¿¿1856¿alength¿¿¿{"start":{"line":50,"column":24},"end":{"line":50,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1183¿BlockStatement¿¿1856¿¿¿¿{"start":{"line":50,"column":48},"end":{"line":52,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿BlockStatement
1184¿ReturnStatement¿¿1856¿¿¿¿{"start":{"line":54,"column":4},"end":{"line":54,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿ReturnStatement
1185¿Identifier¿¿1856¿tarray¿¿¿{"start":{"line":54,"column":11},"end":{"line":54,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1186¿BlockStatement¿¿1856¿¿¿¿{"start":{"line":45,"column":21},"end":{"line":55,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿BlockStatement
1187¿ExpressionStatement¿¿1850¿¿¿¿{"start":{"line":20,"column":0},"end":{"line":228,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿ExpressionStatement
1188¿AssignmentExpression¿=¿1850¿¿¿¿{"start":{"line":20,"column":0},"end":{"line":228,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿AssignmentExpression
1189¿MemberExpression¿¿1850¿¿¿¿{"start":{"line":20,"column":0},"end":{"line":228,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿MemberExpression
1190¿Identifier¿¿1850¿tools¿¿¿{"start":{"line":20,"column":6},"end":{"line":20,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1191¿Identifier¿¿1850¿chunk¿¿¿{"start":{"line":45,"column":2},"end":{"line":45,"column":7},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1192¿Identifier¿¿1850¿chunk¿¿¿{"start":{"line":45,"column":2},"end":{"line":45,"column":7},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1193¿VariableDeclarator¿¿1850¿flatten¿¿¿{"start":{"line":20,"column":0},"end":{"line":228,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿VariableDeclarator
1194¿FunctionExpression¿¿1850¿flatten¿¿¿{"start":{"line":67,"column":9},"end":{"line":82,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿FunctionExpression
1195¿Identifier¿¿0¿arr¿¿¿{"start":{"line":67,"column":10},"end":{"line":67,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1196¿Identifier¿¿0¿obj¿¿¿{"start":{"line":67,"column":15},"end":{"line":67,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿Identifier
1197¿VariableDeclarator¿¿1859¿value¿¿¿{"start":{"line":68,"column":8},"end":{"line":68,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿VariableDeclarator
1198¿VariableDeclarator¿¿1859¿result¿¿¿{"start":{"line":69,"column":10},"end":{"line":69,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿VariableDeclarator
1199¿ArrayExpression¿¿1859¿¿¿¿{"start":{"line":69,"column":19},"end":{"line":69,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿ArrayExpression
1200¿VariableDeclarator¿¿1859¿i¿¿¿{"start":{"line":71,"column":13},"end":{"line":71,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/libnmap_0.4.11/src/tools.js"}¿¿VariableDeclarator
