Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1858¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":245,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Program
1869¿Literal¿string¿3233¿¿'AddBankAccount'¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Literal
1870¿Literal¿string¿3233¿¿'AddPaymentCard'¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Literal
1871¿Literal¿string¿3233¿¿'CheckComplianceStatus'¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Literal
1872¿Literal¿string¿3233¿¿'CreateAccount'¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Literal
1873¿Literal¿string¿3233¿¿'GetUserAgreement'¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Literal
1874¿Literal¿string¿3233¿¿'GetVerifiedStatus'¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Literal
1875¿Literal¿string¿3233¿¿'SetFundingSourceConfirmed'¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Literal
1876¿Literal¿string¿3233¿¿'UpdateComplianceStatus'¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Literal
1877¿VariableDeclarator¿¿3233¿adaptivePaymentsMethods¿¿¿{"start":{"line":15,"column":4},"end":{"line":23,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿VariableDeclarator
1878¿ArrayExpression¿¿3233¿¿¿¿{"start":{"line":15,"column":30},"end":{"line":23,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿ArrayExpression
1879¿Literal¿string¿3233¿¿'CancelPreapproval'¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Literal
1880¿Literal¿string¿3233¿¿'ConvertCurrency'¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Literal
1881¿Literal¿string¿3233¿¿'ExecutePayment'¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Literal
1882¿Literal¿string¿3233¿¿'GetFundingPlans'¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Literal
1883¿Literal¿string¿3233¿¿'GetShippingAddresses'¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Literal
1884¿Literal¿string¿3233¿¿'PreapprovalDetails'¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Literal
1885¿Literal¿string¿3233¿¿'SetPaymentOptions'¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Literal
1886¿VariableDeclarator¿¿3233¿merge¿¿¿{"start":{"line":25,"column":0},"end":{"line":38,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿VariableDeclarator
1887¿FunctionExpression¿¿3233¿anon¿¿¿{"start":{"line":25,"column":0},"end":{"line":38,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿FunctionExpression
1888¿Identifier¿¿0¿a¿¿¿{"start":{"line":25,"column":15},"end":{"line":25,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Identifier
1889¿Identifier¿¿0¿b¿¿¿{"start":{"line":25,"column":18},"end":{"line":25,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Identifier
1890¿VariableDeclarator¿¿3235¿p¿¿¿{"start":{"line":26,"column":13},"end":{"line":26,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿VariableDeclarator
1891¿ForInStatement¿¿3235¿¿¿¿{"start":{"line":26,"column":4},"end":{"line":36,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿ForInStatement
1892¿Identifier¿¿3235¿p¿¿¿{"start":{"line":26,"column":13},"end":{"line":26,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Identifier
1893¿Identifier¿¿3235¿b¿¿¿{"start":{"line":26,"column":18},"end":{"line":26,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Identifier
1894¿TryStatement¿¿3235¿¿¿¿{"start":{"line":27,"column":8},"end":{"line":35,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿TryStatement
1895¿VariableDeclarator¿¿3235¿v170¿¿¿{"start":{"line":28,"column":16},"end":{"line":28,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿VariableDeclarator
1896¿MemberExpression¿computed¿3235¿¿¿¿{"start":{"line":28,"column":16},"end":{"line":28,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿MemberExpression
1897¿Identifier¿¿3235¿b¿¿¿{"start":{"line":28,"column":16},"end":{"line":28,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Identifier
1898¿Identifier¿¿3235¿p¿¿¿{"start":{"line":28,"column":18},"end":{"line":28,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Identifier
1899¿VariableDeclarator¿¿3235¿v171¿¿¿{"start":{"line":28,"column":16},"end":{"line":28,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿VariableDeclarator
1900¿MemberExpression¿¿3235¿¿¿¿{"start":{"line":28,"column":16},"end":{"line":28,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿MemberExpression
1901¿Identifier¿¿3235¿v170¿¿¿¿¿Identifier
1902¿Identifier¿¿3235¿constructor¿¿¿{"start":{"line":28,"column":21},"end":{"line":28,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Identifier
1903¿VariableDeclarator¿¿3235¿v172¿¿¿{"start":{"line":28,"column":16},"end":{"line":28,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿VariableDeclarator
1904¿BinaryExpression¿===¿3235¿¿¿¿{"start":{"line":28,"column":16},"end":{"line":28,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿BinaryExpression
1905¿Identifier¿¿3235¿v171¿¿¿¿¿Identifier
1906¿Identifier¿¿3235¿Object¿¿¿{"start":{"line":28,"column":37},"end":{"line":28,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Identifier
1907¿IfStatement¿¿3235¿¿¿¿{"start":{"line":28,"column":12},"end":{"line":32,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿IfStatement
1908¿Identifier¿¿3235¿v172¿¿¿¿¿Identifier
1909¿VariableDeclarator¿¿3235¿v173¿¿¿{"start":{"line":29,"column":29},"end":{"line":29,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿VariableDeclarator
1910¿MemberExpression¿computed¿3235¿¿¿¿{"start":{"line":29,"column":29},"end":{"line":29,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿MemberExpression
1911¿Identifier¿¿3235¿a¿¿¿{"start":{"line":29,"column":29},"end":{"line":29,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Identifier
1912¿Identifier¿¿3235¿p¿¿¿{"start":{"line":29,"column":31},"end":{"line":29,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Identifier
1913¿VariableDeclarator¿¿3235¿v174¿¿¿{"start":{"line":29,"column":35},"end":{"line":29,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿VariableDeclarator
1914¿MemberExpression¿computed¿3235¿¿¿¿{"start":{"line":29,"column":35},"end":{"line":29,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿MemberExpression
1915¿Identifier¿¿3235¿b¿¿¿{"start":{"line":29,"column":35},"end":{"line":29,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Identifier
1916¿Identifier¿¿3235¿p¿¿¿{"start":{"line":29,"column":37},"end":{"line":29,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Identifier
1917¿VariableDeclarator¿¿3235¿v175¿¿¿{"start":{"line":29,"column":16},"end":{"line":29,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿VariableDeclarator
1918¿CallExpression¿¿3235¿¿¿¿{"start":{"line":29,"column":23},"end":{"line":29,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿CallExpression
1919¿Identifier¿¿3235¿merge¿¿¿{"start":{"line":29,"column":23},"end":{"line":29,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Identifier
1920¿Identifier¿¿3235¿v173¿¿¿¿¿Identifier
1921¿Identifier¿¿3235¿v174¿¿¿¿¿Identifier
1922¿ExpressionStatement¿¿3235¿¿¿¿{"start":{"line":29,"column":16},"end":{"line":29,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿ExpressionStatement
1923¿AssignmentExpression¿=¿3235¿¿¿¿{"start":{"line":29,"column":16},"end":{"line":29,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿AssignmentExpression
1924¿MemberExpression¿computed¿3235¿¿¿¿{"start":{"line":29,"column":16},"end":{"line":29,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿MemberExpression
1925¿Identifier¿¿3235¿a¿¿¿{"start":{"line":29,"column":16},"end":{"line":29,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Identifier
1926¿Identifier¿¿3235¿p¿¿¿{"start":{"line":29,"column":18},"end":{"line":29,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Identifier
1927¿Identifier¿¿3235¿v175¿¿¿¿¿Identifier
1928¿BlockStatement¿¿3235¿¿¿¿{"start":{"line":28,"column":45},"end":{"line":30,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿BlockStatement
1929¿VariableDeclarator¿¿3235¿v176¿¿¿{"start":{"line":31,"column":16},"end":{"line":31,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿VariableDeclarator
1930¿MemberExpression¿computed¿3235¿¿¿¿{"start":{"line":31,"column":23},"end":{"line":31,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿MemberExpression
1931¿Identifier¿¿3235¿b¿¿¿{"start":{"line":31,"column":23},"end":{"line":31,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Identifier
1932¿Identifier¿¿3235¿p¿¿¿{"start":{"line":31,"column":25},"end":{"line":31,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Identifier
1933¿ExpressionStatement¿¿3235¿¿¿¿{"start":{"line":31,"column":16},"end":{"line":31,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿ExpressionStatement
1934¿AssignmentExpression¿=¿3235¿¿¿¿{"start":{"line":31,"column":16},"end":{"line":31,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿AssignmentExpression
1935¿MemberExpression¿computed¿3235¿¿¿¿{"start":{"line":31,"column":16},"end":{"line":31,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿MemberExpression
1936¿Identifier¿¿3235¿a¿¿¿{"start":{"line":31,"column":16},"end":{"line":31,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Identifier
1937¿Identifier¿¿3235¿p¿¿¿{"start":{"line":31,"column":18},"end":{"line":31,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Identifier
1938¿Identifier¿¿3235¿v176¿¿¿¿¿Identifier
1939¿BlockStatement¿¿3235¿¿¿¿{"start":{"line":30,"column":19},"end":{"line":32,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿BlockStatement
1940¿BlockStatement¿¿3235¿¿¿¿{"start":{"line":27,"column":12},"end":{"line":33,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿BlockStatement
1941¿CatchClause¿¿3235¿¿¿¿{"start":{"line":33,"column":10},"end":{"line":35,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿CatchClause
1942¿VariableDeclarator¿¿3235¿v177¿¿¿{"start":{"line":34,"column":12},"end":{"line":34,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿VariableDeclarator
1943¿MemberExpression¿computed¿3235¿¿¿¿{"start":{"line":34,"column":19},"end":{"line":34,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿MemberExpression
1944¿Identifier¿¿3235¿b¿¿¿{"start":{"line":34,"column":19},"end":{"line":34,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Identifier
1945¿Identifier¿¿3235¿p¿¿¿{"start":{"line":34,"column":21},"end":{"line":34,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Identifier
1946¿ExpressionStatement¿¿3235¿¿¿¿{"start":{"line":34,"column":12},"end":{"line":34,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿ExpressionStatement
1947¿AssignmentExpression¿=¿3235¿¿¿¿{"start":{"line":34,"column":12},"end":{"line":34,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿AssignmentExpression
1948¿MemberExpression¿computed¿3235¿¿¿¿{"start":{"line":34,"column":12},"end":{"line":34,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿MemberExpression
1949¿Identifier¿¿3235¿a¿¿¿{"start":{"line":34,"column":12},"end":{"line":34,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Identifier
1950¿Identifier¿¿3235¿p¿¿¿{"start":{"line":34,"column":14},"end":{"line":34,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Identifier
1951¿Identifier¿¿3235¿v177¿¿¿¿¿Identifier
1952¿BlockStatement¿¿3235¿¿¿¿{"start":{"line":33,"column":20},"end":{"line":35,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿BlockStatement
1953¿Identifier¿¿3235¿e¿¿¿{"start":{"line":33,"column":17},"end":{"line":33,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Identifier
1954¿BlockStatement¿¿3235¿¿¿¿{"start":{"line":26,"column":21},"end":{"line":36,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿BlockStatement
1955¿ReturnStatement¿¿3235¿¿¿¿{"start":{"line":37,"column":4},"end":{"line":37,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿ReturnStatement
1956¿Identifier¿¿3235¿a¿¿¿{"start":{"line":37,"column":11},"end":{"line":37,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Identifier
1957¿BlockStatement¿¿3235¿¿¿¿{"start":{"line":25,"column":21},"end":{"line":38,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿BlockStatement
1958¿VariableDeclarator¿¿3233¿defaultPayload¿¿¿{"start":{"line":40,"column":0},"end":{"line":47,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿VariableDeclarator
1959¿FunctionExpression¿¿3233¿anon¿¿¿{"start":{"line":40,"column":0},"end":{"line":47,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿FunctionExpression
1960¿VariableDeclarator¿¿3240¿v178¿¿¿{"start":{"line":42,"column":25},"end":{"line":45,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿VariableDeclarator
1961¿ObjectExpression¿¿3240¿¿¿¿¿¿ObjectExpression
1962¿ExpressionStatement¿¿3240¿¿¿¿{"start":{"line":42,"column":25},"end":{"line":45,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿ExpressionStatement
1963¿AssignmentExpression¿=¿3240¿¿¿¿{"start":{"line":42,"column":25},"end":{"line":45,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿AssignmentExpression
1964¿MemberExpression¿¿3240¿¿¿¿{"start":{"line":42,"column":25},"end":{"line":45,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿MemberExpression
1965¿Identifier¿¿3240¿v178¿¿¿¿¿Identifier
1966¿Identifier¿¿3240¿errorLanguage¿¿¿{"start":{"line":43,"column":12},"end":{"line":43,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Identifier
1967¿Literal¿string¿3240¿¿'en_US'¿¿{"start":{"line":43,"column":28},"end":{"line":43,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Literal
1968¿ExpressionStatement¿¿3240¿¿¿¿{"start":{"line":42,"column":25},"end":{"line":45,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿ExpressionStatement
1969¿AssignmentExpression¿=¿3240¿¿¿¿{"start":{"line":42,"column":25},"end":{"line":45,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿AssignmentExpression
1970¿MemberExpression¿¿3240¿¿¿¿{"start":{"line":42,"column":25},"end":{"line":45,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿MemberExpression
1971¿Identifier¿¿3240¿v178¿¿¿¿¿Identifier
1972¿Identifier¿¿3240¿detailLevel¿¿¿{"start":{"line":44,"column":12},"end":{"line":44,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Identifier
1973¿Literal¿string¿3240¿¿'ReturnAll'¿¿{"start":{"line":44,"column":28},"end":{"line":44,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Literal
1974¿VariableDeclarator¿¿3240¿v179¿¿¿{"start":{"line":41,"column":11},"end":{"line":46,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿VariableDeclarator
1975¿ObjectExpression¿¿3240¿¿¿¿¿¿ObjectExpression
1976¿ExpressionStatement¿¿3240¿¿¿¿{"start":{"line":41,"column":11},"end":{"line":46,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿ExpressionStatement
1977¿AssignmentExpression¿=¿3240¿¿¿¿{"start":{"line":41,"column":11},"end":{"line":46,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿AssignmentExpression
1978¿MemberExpression¿¿3240¿¿¿¿{"start":{"line":41,"column":11},"end":{"line":46,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿MemberExpression
1979¿Identifier¿¿3240¿v179¿¿¿¿¿Identifier
1980¿Identifier¿¿3240¿requestEnvelope¿¿¿{"start":{"line":42,"column":8},"end":{"line":42,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿Identifier
1981¿Identifier¿¿3240¿v178¿¿¿¿¿Identifier
1982¿ReturnStatement¿¿3240¿¿¿¿{"start":{"line":41,"column":4},"end":{"line":46,"column":6},"fname":"/datasets/secbench-dataset/CWE-471/paypal-adaptive_0.4.1/src/paypal-adaptive.js"}¿¿ReturnStatement
1983¿Identifier¿¿3240¿v179¿¿¿¿¿Identifier
