Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1044¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":126,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Program
1060¿Identifier¿¿1813¿parse¿¿¿{"start":{"line":2,"column":27},"end":{"line":2,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Identifier
1061¿VariableDeclarator¿¿1813¿http¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿VariableDeclarator
1062¿CallExpression¿¿1813¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿CallExpression
1063¿Identifier¿¿1813¿require¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Identifier
1064¿Literal¿string¿1813¿¿'http'¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Literal
1065¿VariableDeclarator¿¿1813¿path¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿VariableDeclarator
1066¿CallExpression¿¿1813¿¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿CallExpression
1067¿Identifier¿¿1813¿require¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Identifier
1068¿Literal¿string¿1813¿¿'path'¿¿{"start":{"line":4,"column":19},"end":{"line":4,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Literal
1069¿VariableDeclarator¿¿1813¿fs¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿VariableDeclarator
1070¿CallExpression¿¿1813¿¿¿¿{"start":{"line":5,"column":9},"end":{"line":5,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿CallExpression
1071¿Identifier¿¿1813¿require¿¿¿{"start":{"line":5,"column":9},"end":{"line":5,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Identifier
1072¿Literal¿string¿1813¿¿'fs'¿¿{"start":{"line":5,"column":17},"end":{"line":5,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Literal
1073¿VariableDeclarator¿¿1813¿htmlls¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿VariableDeclarator
1074¿CallExpression¿¿1813¿¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿CallExpression
1075¿Identifier¿¿1813¿require¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Identifier
1076¿Literal¿string¿1813¿¿'html-ls'¿¿{"start":{"line":7,"column":21},"end":{"line":7,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Literal
1077¿VariableDeclarator¿¿1813¿filed¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿VariableDeclarator
1078¿CallExpression¿¿1813¿¿¿¿{"start":{"line":8,"column":12},"end":{"line":8,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿CallExpression
1079¿Identifier¿¿1813¿require¿¿¿{"start":{"line":8,"column":12},"end":{"line":8,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Identifier
1080¿Literal¿string¿1813¿¿'filed'¿¿{"start":{"line":8,"column":20},"end":{"line":8,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Literal
1081¿VariableDeclarator¿¿1813¿xtend¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿VariableDeclarator
1082¿CallExpression¿¿1813¿¿¿¿{"start":{"line":9,"column":12},"end":{"line":9,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿CallExpression
1083¿Identifier¿¿1813¿require¿¿¿{"start":{"line":9,"column":12},"end":{"line":9,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Identifier
1084¿Literal¿string¿1813¿¿'xtend'¿¿{"start":{"line":9,"column":20},"end":{"line":9,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Literal
1085¿VariableDeclarator¿¿1813¿defaults¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿VariableDeclarator
1086¿CallExpression¿¿1813¿¿¿¿{"start":{"line":11,"column":15},"end":{"line":11,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿CallExpression
1087¿Identifier¿¿1813¿require¿¿¿{"start":{"line":11,"column":15},"end":{"line":11,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Identifier
1088¿Literal¿string¿1813¿¿'./lib/config'¿¿{"start":{"line":11,"column":23},"end":{"line":11,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Literal
1089¿ExpressionStatement¿¿1813¿¿¿¿{"start":{"line":13,"column":0},"end":{"line":13,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿ExpressionStatement
1090¿AssignmentExpression¿=¿1813¿¿¿¿{"start":{"line":13,"column":0},"end":{"line":13,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿AssignmentExpression
1091¿MemberExpression¿¿1813¿¿¿¿{"start":{"line":13,"column":0},"end":{"line":13,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿MemberExpression
1092¿Identifier¿¿1813¿module¿¿¿{"start":{"line":13,"column":0},"end":{"line":13,"column":6},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Identifier
1093¿Identifier¿¿1813¿exports¿¿¿{"start":{"line":13,"column":7},"end":{"line":13,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Identifier
1094¿Identifier¿¿1813¿createGlance¿¿¿{"start":{"line":13,"column":17},"end":{"line":13,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Identifier
1095¿VariableDeclarator¿¿1813¿Glance¿¿¿{"start":{"line":15,"column":0},"end":{"line":27,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿VariableDeclarator
1096¿FunctionExpression¿¿1813¿anon¿¿¿{"start":{"line":15,"column":0},"end":{"line":27,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿FunctionExpression
1097¿Identifier¿¿0¿options¿¿¿{"start":{"line":15,"column":16},"end":{"line":15,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Identifier
1098¿VariableDeclarator¿¿1815¿v101¿¿¿{"start":{"line":16,"column":2},"end":{"line":16,"column":15},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿VariableDeclarator
1099¿CallExpression¿¿1815¿¿¿¿{"start":{"line":16,"column":2},"end":{"line":16,"column":15},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿CallExpression
1100¿MemberExpression¿¿1815¿¿¿¿{"start":{"line":16,"column":2},"end":{"line":16,"column":9},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿MemberExpression
1101¿Identifier¿¿1815¿EE¿¿¿{"start":{"line":16,"column":2},"end":{"line":16,"column":4},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Identifier
1102¿Identifier¿¿1815¿call¿¿¿{"start":{"line":16,"column":5},"end":{"line":16,"column":9},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Identifier
1103¿ThisExpression¿¿1815¿¿¿¿{"start":{"line":16,"column":10},"end":{"line":16,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿ThisExpression
1104¿ExpressionStatement¿¿1815¿¿¿¿{"start":{"line":16,"column":2},"end":{"line":16,"column":15},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿ExpressionStatement
1105¿Identifier¿¿1815¿v101¿¿¿¿¿Identifier
1106¿VariableDeclarator¿¿1815¿v102¿¿¿{"start":{"line":18,"column":39},"end":{"line":18,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿VariableDeclarator
1107¿ObjectExpression¿¿1815¿¿¿¿{"start":{"line":18,"column":39},"end":{"line":18,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿ObjectExpression
1108¿VariableDeclarator¿¿1815¿v103¿¿¿{"start":{"line":18,"column":28},"end":{"line":18,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿VariableDeclarator
1109¿LogicalExpression¿||¿1815¿¿¿¿{"start":{"line":18,"column":28},"end":{"line":18,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿LogicalExpression
1110¿Identifier¿¿1815¿options¿¿¿{"start":{"line":18,"column":28},"end":{"line":18,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Identifier
1111¿Identifier¿¿1815¿v102¿¿¿¿¿Identifier
1112¿ExpressionStatement¿¿1815¿¿¿¿{"start":{"line":18,"column":2},"end":{"line":18,"column":42},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿ExpressionStatement
1113¿AssignmentExpression¿=¿1815¿¿¿¿{"start":{"line":18,"column":2},"end":{"line":18,"column":42},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿AssignmentExpression
1114¿Identifier¿¿1815¿options¿¿¿{"start":{"line":18,"column":2},"end":{"line":18,"column":9},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Identifier
1115¿CallExpression¿¿1815¿¿¿¿{"start":{"line":18,"column":12},"end":{"line":18,"column":42},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿CallExpression
1116¿Identifier¿¿1815¿xtend¿¿¿{"start":{"line":18,"column":12},"end":{"line":18,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Identifier
1117¿Identifier¿¿1815¿defaults¿¿¿{"start":{"line":18,"column":18},"end":{"line":18,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Identifier
1118¿Identifier¿¿1815¿v103¿¿¿¿¿Identifier
1119¿VariableDeclarator¿¿1815¿v104¿¿¿{"start":{"line":20,"column":2},"end":{"line":20,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿VariableDeclarator
1120¿MemberExpression¿¿1815¿¿¿¿{"start":{"line":20,"column":14},"end":{"line":20,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿MemberExpression
1121¿Identifier¿¿1815¿options¿¿¿{"start":{"line":20,"column":14},"end":{"line":20,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Identifier
1122¿Identifier¿¿1815¿port¿¿¿{"start":{"line":20,"column":22},"end":{"line":20,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Identifier
1123¿ExpressionStatement¿¿1815¿¿¿¿{"start":{"line":20,"column":2},"end":{"line":20,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿ExpressionStatement
1124¿AssignmentExpression¿=¿1815¿¿¿¿{"start":{"line":20,"column":2},"end":{"line":20,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿AssignmentExpression
1125¿MemberExpression¿¿1815¿¿¿¿{"start":{"line":20,"column":2},"end":{"line":20,"column":11},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿MemberExpression
1126¿ThisExpression¿¿1815¿¿¿¿{"start":{"line":20,"column":2},"end":{"line":20,"column":6},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿ThisExpression
1127¿Identifier¿¿1815¿port¿¿¿{"start":{"line":20,"column":7},"end":{"line":20,"column":11},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Identifier
1128¿Identifier¿¿1815¿v104¿¿¿¿¿Identifier
1129¿VariableDeclarator¿¿1815¿v105¿¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿VariableDeclarator
1130¿MemberExpression¿¿1815¿¿¿¿{"start":{"line":21,"column":19},"end":{"line":21,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿MemberExpression
1131¿Identifier¿¿1815¿options¿¿¿{"start":{"line":21,"column":19},"end":{"line":21,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Identifier
1132¿Identifier¿¿1815¿hideindex¿¿¿{"start":{"line":21,"column":27},"end":{"line":21,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Identifier
1133¿ExpressionStatement¿¿1815¿¿¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿ExpressionStatement
1134¿AssignmentExpression¿=¿1815¿¿¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿AssignmentExpression
1135¿MemberExpression¿¿1815¿¿¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿MemberExpression
1136¿ThisExpression¿¿1815¿¿¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":6},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿ThisExpression
1137¿Identifier¿¿1815¿hideindex¿¿¿{"start":{"line":21,"column":7},"end":{"line":21,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Identifier
1138¿Identifier¿¿1815¿v105¿¿¿¿¿Identifier
1139¿VariableDeclarator¿¿1815¿v106¿¿¿{"start":{"line":22,"column":2},"end":{"line":22,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿VariableDeclarator
1140¿MemberExpression¿¿1815¿¿¿¿{"start":{"line":22,"column":17},"end":{"line":22,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿MemberExpression
1141¿Identifier¿¿1815¿options¿¿¿{"start":{"line":22,"column":17},"end":{"line":22,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Identifier
1142¿Identifier¿¿1815¿indices¿¿¿{"start":{"line":22,"column":25},"end":{"line":22,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Identifier
1143¿ExpressionStatement¿¿1815¿¿¿¿{"start":{"line":22,"column":2},"end":{"line":22,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿ExpressionStatement
1144¿AssignmentExpression¿=¿1815¿¿¿¿{"start":{"line":22,"column":2},"end":{"line":22,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿AssignmentExpression
1145¿MemberExpression¿¿1815¿¿¿¿{"start":{"line":22,"column":2},"end":{"line":22,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿MemberExpression
1146¿ThisExpression¿¿1815¿¿¿¿{"start":{"line":22,"column":2},"end":{"line":22,"column":6},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿ThisExpression
1147¿Identifier¿¿1815¿indices¿¿¿{"start":{"line":22,"column":7},"end":{"line":22,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Identifier
1148¿Identifier¿¿1815¿v106¿¿¿¿¿Identifier
1149¿VariableDeclarator¿¿1815¿v107¿¿¿{"start":{"line":23,"column":28},"end":{"line":23,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿VariableDeclarator
1150¿MemberExpression¿¿1815¿¿¿¿{"start":{"line":23,"column":28},"end":{"line":23,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿MemberExpression
1151¿Identifier¿¿1815¿options¿¿¿{"start":{"line":23,"column":28},"end":{"line":23,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Identifier
1152¿Identifier¿¿1815¿dir¿¿¿{"start":{"line":23,"column":36},"end":{"line":23,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Identifier
1153¿VariableDeclarator¿¿1815¿v108¿¿¿{"start":{"line":23,"column":2},"end":{"line":23,"column":40},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿VariableDeclarator
1154¿CallExpression¿¿1815¿¿¿¿{"start":{"line":23,"column":13},"end":{"line":23,"column":40},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿CallExpression
1155¿MemberExpression¿¿1815¿¿¿¿{"start":{"line":23,"column":13},"end":{"line":23,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿MemberExpression
1156¿Identifier¿¿1815¿path¿¿¿{"start":{"line":23,"column":13},"end":{"line":23,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Identifier
1157¿Identifier¿¿1815¿normalize¿¿¿{"start":{"line":23,"column":18},"end":{"line":23,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Identifier
1158¿Identifier¿¿1815¿v107¿¿¿¿¿Identifier
1159¿ExpressionStatement¿¿1815¿¿¿¿{"start":{"line":23,"column":2},"end":{"line":23,"column":40},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿ExpressionStatement
1160¿AssignmentExpression¿=¿1815¿¿¿¿{"start":{"line":23,"column":2},"end":{"line":23,"column":40},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿AssignmentExpression
1161¿MemberExpression¿¿1815¿¿¿¿{"start":{"line":23,"column":2},"end":{"line":23,"column":10},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿MemberExpression
1162¿ThisExpression¿¿1815¿¿¿¿{"start":{"line":23,"column":2},"end":{"line":23,"column":6},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿ThisExpression
1163¿Identifier¿¿1815¿dir¿¿¿{"start":{"line":23,"column":7},"end":{"line":23,"column":10},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Identifier
1164¿Identifier¿¿1815¿v108¿¿¿¿¿Identifier
1165¿VariableDeclarator¿¿1815¿v109¿¿¿{"start":{"line":24,"column":2},"end":{"line":24,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿VariableDeclarator
1166¿MemberExpression¿¿1815¿¿¿¿{"start":{"line":24,"column":15},"end":{"line":24,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿MemberExpression
1167¿Identifier¿¿1815¿options¿¿¿{"start":{"line":24,"column":15},"end":{"line":24,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Identifier
1168¿Identifier¿¿1815¿nodot¿¿¿{"start":{"line":24,"column":23},"end":{"line":24,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Identifier
1169¿ExpressionStatement¿¿1815¿¿¿¿{"start":{"line":24,"column":2},"end":{"line":24,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿ExpressionStatement
1170¿AssignmentExpression¿=¿1815¿¿¿¿{"start":{"line":24,"column":2},"end":{"line":24,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿AssignmentExpression
1171¿MemberExpression¿¿1815¿¿¿¿{"start":{"line":24,"column":2},"end":{"line":24,"column":12},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿MemberExpression
1172¿ThisExpression¿¿1815¿¿¿¿{"start":{"line":24,"column":2},"end":{"line":24,"column":6},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿ThisExpression
1173¿Identifier¿¿1815¿nodot¿¿¿{"start":{"line":24,"column":7},"end":{"line":24,"column":12},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Identifier
1174¿Identifier¿¿1815¿v109¿¿¿¿¿Identifier
1175¿ReturnStatement¿¿1815¿¿¿¿{"start":{"line":26,"column":2},"end":{"line":26,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿ReturnStatement
1176¿ThisExpression¿¿1815¿¿¿¿{"start":{"line":26,"column":9},"end":{"line":26,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿ThisExpression
1177¿BlockStatement¿¿1815¿¿¿¿{"start":{"line":15,"column":25},"end":{"line":27,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿BlockStatement
1178¿VariableDeclarator¿¿1813¿v110¿¿¿{"start":{"line":29,"column":33},"end":{"line":29,"column":45},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿VariableDeclarator
1179¿MemberExpression¿¿1813¿¿¿¿{"start":{"line":29,"column":33},"end":{"line":29,"column":45},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿MemberExpression
1180¿Identifier¿¿1813¿EE¿¿¿{"start":{"line":29,"column":33},"end":{"line":29,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Identifier
1181¿Identifier¿¿1813¿prototype¿¿¿{"start":{"line":29,"column":36},"end":{"line":29,"column":45},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Identifier
1182¿VariableDeclarator¿¿1813¿v111¿¿¿{"start":{"line":29,"column":0},"end":{"line":29,"column":46},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿VariableDeclarator
