Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
656¿Program¿¿-1¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":84,"column":27},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Program
667¿Identifier¿¿1118¿require¿¿¿{"start":{"line":5,"column":14},"end":{"line":5,"column":21},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Identifier
668¿Literal¿string¿1118¿¿'cli-table'¿¿{"start":{"line":5,"column":22},"end":{"line":5,"column":33},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Literal
669¿VariableDeclarator¿¿1118¿pkgInfo¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":42},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿VariableDeclarator
670¿CallExpression¿¿1118¿¿¿¿{"start":{"line":6,"column":16},"end":{"line":6,"column":42},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿CallExpression
671¿Identifier¿¿1118¿require¿¿¿{"start":{"line":6,"column":16},"end":{"line":6,"column":23},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Identifier
672¿Literal¿string¿1118¿¿'../package.json'¿¿{"start":{"line":6,"column":24},"end":{"line":6,"column":41},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Literal
673¿VariableDeclarator¿¿1118¿CLI_ICON_FAIL¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":25},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿VariableDeclarator
674¿Literal¿string¿1118¿¿'✘'¿¿{"start":{"line":8,"column":22},"end":{"line":8,"column":25},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Literal
675¿VariableDeclarator¿¿1118¿CLI_ICON_PASS¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":25},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿VariableDeclarator
676¿Literal¿string¿1118¿¿'✓'¿¿{"start":{"line":9,"column":22},"end":{"line":9,"column":25},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Literal
677¿VariableDeclarator¿¿1118¿CLI_ICON_WARN¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":26},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿VariableDeclarator
678¿Literal¿string¿1118¿¿'♺ '¿¿{"start":{"line":10,"column":22},"end":{"line":10,"column":26},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Literal
679¿VariableDeclarator¿¿1118¿CLI_ICON_NOTE¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":27},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿VariableDeclarator
680¿Literal¿string¿1118¿¿'✏︎ '¿¿{"start":{"line":11,"column":22},"end":{"line":11,"column":27},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Literal
681¿VariableDeclarator¿¿1118¿v55¿¿¿{"start":{"line":14,"column":11},"end":{"line":16,"column":3},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿VariableDeclarator
682¿ArrowFunctionExpression¿¿1118¿¿¿¿{"start":{"line":14,"column":11},"end":{"line":16,"column":3},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿ArrowFunctionExpression
683¿VariableDeclarator¿¿1120¿v54¿¿¿{"start":{"line":15,"column":11},"end":{"line":15,"column":26},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿VariableDeclarator
684¿MemberExpression¿¿1120¿¿¿¿{"start":{"line":15,"column":11},"end":{"line":15,"column":26},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿MemberExpression
685¿Identifier¿¿1120¿pkgInfo¿¿¿{"start":{"line":15,"column":11},"end":{"line":15,"column":18},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Identifier
686¿Identifier¿¿1120¿version¿¿¿{"start":{"line":15,"column":19},"end":{"line":15,"column":26},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Identifier
687¿ReturnStatement¿¿1120¿¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":27},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿ReturnStatement
688¿Identifier¿¿1120¿v54¿¿¿¿¿Identifier
689¿BlockStatement¿¿1120¿¿¿¿{"start":{"line":14,"column":17},"end":{"line":16,"column":3},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿BlockStatement
690¿VariableDeclarator¿¿1118¿v57¿¿¿{"start":{"line":17,"column":8},"end":{"line":19,"column":3},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿VariableDeclarator
691¿ArrowFunctionExpression¿¿1118¿¿¿¿{"start":{"line":17,"column":8},"end":{"line":19,"column":3},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿ArrowFunctionExpression
692¿VariableDeclarator¿¿1122¿v56¿¿¿{"start":{"line":18,"column":11},"end":{"line":18,"column":23},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿VariableDeclarator
693¿MemberExpression¿¿1122¿¿¿¿{"start":{"line":18,"column":11},"end":{"line":18,"column":23},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿MemberExpression
694¿Identifier¿¿1122¿pkgInfo¿¿¿{"start":{"line":18,"column":11},"end":{"line":18,"column":18},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Identifier
695¿Identifier¿¿1122¿name¿¿¿{"start":{"line":18,"column":19},"end":{"line":18,"column":23},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Identifier
696¿ReturnStatement¿¿1122¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":24},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿ReturnStatement
697¿Identifier¿¿1122¿v56¿¿¿¿¿Identifier
698¿BlockStatement¿¿1122¿¿¿¿{"start":{"line":17,"column":14},"end":{"line":19,"column":3},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿BlockStatement
699¿VariableDeclarator¿¿1118¿v59¿¿¿{"start":{"line":20,"column":7},"end":{"line":23,"column":3},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿VariableDeclarator
700¿ArrowFunctionExpression¿¿1118¿¿¿¿{"start":{"line":20,"column":7},"end":{"line":23,"column":3},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿ArrowFunctionExpression
701¿RestElement¿¿0¿¿¿¿{"start":{"line":20,"column":8},"end":{"line":20,"column":17},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿RestElement
702¿Identifier¿¿0¿params¿¿¿{"start":{"line":20,"column":11},"end":{"line":20,"column":17},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Identifier
703¿VariableDeclarator¿¿1124¿v58¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":26},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿VariableDeclarator
704¿CallExpression¿¿1124¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":26},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿CallExpression
705¿MemberExpression¿¿1124¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":15},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿MemberExpression
706¿Identifier¿¿1124¿console¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":11},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Identifier
707¿Identifier¿¿1124¿log¿¿¿{"start":{"line":21,"column":12},"end":{"line":21,"column":15},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Identifier
708¿SpreadElement¿¿1124¿¿¿¿{"start":{"line":21,"column":16},"end":{"line":21,"column":25},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿SpreadElement
709¿ExpressionStatement¿¿1124¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":27},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿ExpressionStatement
710¿Identifier¿¿1124¿v58¿¿¿¿¿Identifier
711¿ReturnStatement¿¿1124¿¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":18},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿ReturnStatement
712¿Identifier¿¿1124¿params¿¿¿{"start":{"line":22,"column":11},"end":{"line":22,"column":17},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Identifier
713¿BlockStatement¿¿1124¿¿¿¿{"start":{"line":20,"column":22},"end":{"line":23,"column":3},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿BlockStatement
714¿VariableDeclarator¿¿1118¿v63¿¿¿{"start":{"line":24,"column":8},"end":{"line":27,"column":3},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿VariableDeclarator
715¿ArrowFunctionExpression¿¿1118¿¿¿¿{"start":{"line":24,"column":8},"end":{"line":27,"column":3},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿ArrowFunctionExpression
716¿RestElement¿¿0¿¿¿¿{"start":{"line":24,"column":9},"end":{"line":24,"column":18},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿RestElement
717¿Identifier¿¿0¿params¿¿¿{"start":{"line":24,"column":12},"end":{"line":24,"column":18},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Identifier
718¿VariableDeclarator¿¿1126¿v60¿¿¿{"start":{"line":25,"column":16},"end":{"line":25,"column":26},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿VariableDeclarator
719¿MemberExpression¿¿1126¿¿¿¿{"start":{"line":25,"column":16},"end":{"line":25,"column":26},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿MemberExpression
720¿Identifier¿¿1126¿chalk¿¿¿{"start":{"line":25,"column":16},"end":{"line":25,"column":21},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Identifier
721¿Identifier¿¿1126¿cyan¿¿¿{"start":{"line":25,"column":22},"end":{"line":25,"column":26},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Identifier
722¿VariableDeclarator¿¿1126¿v61¿¿¿{"start":{"line":25,"column":16},"end":{"line":25,"column":57},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿VariableDeclarator
723¿CallExpression¿¿1126¿¿¿¿{"start":{"line":25,"column":16},"end":{"line":25,"column":57},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿CallExpression
724¿MemberExpression¿¿1126¿¿¿¿{"start":{"line":25,"column":16},"end":{"line":25,"column":31},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿MemberExpression
725¿Identifier¿¿1126¿v60¿¿¿¿¿Identifier
726¿Identifier¿¿1126¿bold¿¿¿{"start":{"line":25,"column":27},"end":{"line":25,"column":31},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Identifier
727¿Identifier¿¿1126¿CLI_ICON_NOTE¿¿¿{"start":{"line":25,"column":32},"end":{"line":25,"column":45},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Identifier
728¿SpreadElement¿¿1126¿¿¿¿{"start":{"line":25,"column":47},"end":{"line":25,"column":56},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿SpreadElement
729¿VariableDeclarator¿¿1126¿v62¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":58},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿VariableDeclarator
730¿CallExpression¿¿1126¿¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":58},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿CallExpression
731¿MemberExpression¿¿1126¿¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":15},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿MemberExpression
732¿Identifier¿¿1126¿console¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":11},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Identifier
733¿Identifier¿¿1126¿log¿¿¿{"start":{"line":25,"column":12},"end":{"line":25,"column":15},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Identifier
734¿Identifier¿¿1126¿v61¿¿¿¿¿Identifier
735¿ExpressionStatement¿¿1126¿¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":59},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿ExpressionStatement
736¿Identifier¿¿1126¿v62¿¿¿¿¿Identifier
737¿ReturnStatement¿¿1126¿¿¿¿{"start":{"line":26,"column":4},"end":{"line":26,"column":18},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿ReturnStatement
738¿Identifier¿¿1126¿params¿¿¿{"start":{"line":26,"column":11},"end":{"line":26,"column":17},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Identifier
739¿BlockStatement¿¿1126¿¿¿¿{"start":{"line":24,"column":23},"end":{"line":27,"column":3},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿BlockStatement
740¿VariableDeclarator¿¿1118¿v65¿¿¿{"start":{"line":28,"column":8},"end":{"line":32,"column":3},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿VariableDeclarator
741¿ArrowFunctionExpression¿¿1118¿¿¿¿{"start":{"line":28,"column":8},"end":{"line":32,"column":3},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿ArrowFunctionExpression
742¿Identifier¿¿0¿msg¿¿¿{"start":{"line":28,"column":9},"end":{"line":28,"column":12},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Identifier
743¿RestElement¿¿0¿¿¿¿{"start":{"line":28,"column":14},"end":{"line":28,"column":23},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿RestElement
744¿Identifier¿¿0¿params¿¿¿{"start":{"line":28,"column":17},"end":{"line":28,"column":23},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Identifier
745¿VariableDeclarator¿¿1128¿v64¿¿¿{"start":{"line":30,"column":4},"end":{"line":30,"column":31},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿VariableDeclarator
746¿CallExpression¿¿1128¿¿¿¿{"start":{"line":30,"column":4},"end":{"line":30,"column":31},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿CallExpression
747¿MemberExpression¿¿1128¿¿¿¿{"start":{"line":30,"column":4},"end":{"line":30,"column":15},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿MemberExpression
748¿Identifier¿¿1128¿console¿¿¿{"start":{"line":30,"column":4},"end":{"line":30,"column":11},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Identifier
749¿Identifier¿¿1128¿log¿¿¿{"start":{"line":30,"column":12},"end":{"line":30,"column":15},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Identifier
750¿Identifier¿¿1128¿msg¿¿¿{"start":{"line":30,"column":16},"end":{"line":30,"column":19},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Identifier
751¿SpreadElement¿¿1128¿¿¿¿{"start":{"line":30,"column":21},"end":{"line":30,"column":30},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿SpreadElement
752¿ExpressionStatement¿¿1128¿¿¿¿{"start":{"line":30,"column":4},"end":{"line":30,"column":32},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿ExpressionStatement
753¿Identifier¿¿1128¿v64¿¿¿¿¿Identifier
754¿ReturnStatement¿¿1128¿¿¿¿{"start":{"line":31,"column":4},"end":{"line":31,"column":18},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿ReturnStatement
755¿Identifier¿¿1128¿params¿¿¿{"start":{"line":31,"column":11},"end":{"line":31,"column":17},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Identifier
756¿BlockStatement¿¿1128¿¿¿¿{"start":{"line":28,"column":28},"end":{"line":32,"column":3},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿BlockStatement
757¿VariableDeclarator¿¿1118¿v69¿¿¿{"start":{"line":33,"column":11},"end":{"line":36,"column":3},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿VariableDeclarator
758¿ArrowFunctionExpression¿¿1118¿¿¿¿{"start":{"line":33,"column":11},"end":{"line":36,"column":3},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿ArrowFunctionExpression
759¿RestElement¿¿0¿¿¿¿{"start":{"line":33,"column":12},"end":{"line":33,"column":21},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿RestElement
760¿Identifier¿¿0¿params¿¿¿{"start":{"line":33,"column":15},"end":{"line":33,"column":21},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Identifier
761¿VariableDeclarator¿¿1130¿v66¿¿¿{"start":{"line":34,"column":16},"end":{"line":34,"column":27},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿VariableDeclarator
762¿MemberExpression¿¿1130¿¿¿¿{"start":{"line":34,"column":16},"end":{"line":34,"column":27},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿MemberExpression
763¿Identifier¿¿1130¿chalk¿¿¿{"start":{"line":34,"column":16},"end":{"line":34,"column":21},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Identifier
764¿Identifier¿¿1130¿green¿¿¿{"start":{"line":34,"column":22},"end":{"line":34,"column":27},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Identifier
765¿VariableDeclarator¿¿1130¿v67¿¿¿{"start":{"line":34,"column":16},"end":{"line":34,"column":58},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿VariableDeclarator
766¿CallExpression¿¿1130¿¿¿¿{"start":{"line":34,"column":16},"end":{"line":34,"column":58},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿CallExpression
767¿MemberExpression¿¿1130¿¿¿¿{"start":{"line":34,"column":16},"end":{"line":34,"column":32},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿MemberExpression
768¿Identifier¿¿1130¿v66¿¿¿¿¿Identifier
769¿Identifier¿¿1130¿bold¿¿¿{"start":{"line":34,"column":28},"end":{"line":34,"column":32},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Identifier
770¿Identifier¿¿1130¿CLI_ICON_PASS¿¿¿{"start":{"line":34,"column":33},"end":{"line":34,"column":46},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Identifier
771¿SpreadElement¿¿1130¿¿¿¿{"start":{"line":34,"column":48},"end":{"line":34,"column":57},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿SpreadElement
772¿VariableDeclarator¿¿1130¿v68¿¿¿{"start":{"line":34,"column":4},"end":{"line":34,"column":59},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿VariableDeclarator
773¿CallExpression¿¿1130¿¿¿¿{"start":{"line":34,"column":4},"end":{"line":34,"column":59},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿CallExpression
774¿MemberExpression¿¿1130¿¿¿¿{"start":{"line":34,"column":4},"end":{"line":34,"column":15},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿MemberExpression
775¿Identifier¿¿1130¿console¿¿¿{"start":{"line":34,"column":4},"end":{"line":34,"column":11},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Identifier
776¿Identifier¿¿1130¿log¿¿¿{"start":{"line":34,"column":12},"end":{"line":34,"column":15},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Identifier
777¿Identifier¿¿1130¿v67¿¿¿¿¿Identifier
778¿ExpressionStatement¿¿1130¿¿¿¿{"start":{"line":34,"column":4},"end":{"line":34,"column":60},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿ExpressionStatement
779¿Identifier¿¿1130¿v68¿¿¿¿¿Identifier
780¿ReturnStatement¿¿1130¿¿¿¿{"start":{"line":35,"column":4},"end":{"line":35,"column":18},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿ReturnStatement
