Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
801¿Program¿¿-1¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":111,"column":142},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Program
849¿VariableDeclarator¿¿1417¿v87¿¿¿{"start":{"line":12,"column":9},"end":{"line":12,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿VariableDeclarator
850¿MemberExpression¿¿1417¿¿¿¿{"start":{"line":12,"column":9},"end":{"line":12,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿MemberExpression
851¿Identifier¿¿1417¿process¿¿¿{"start":{"line":12,"column":9},"end":{"line":12,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Identifier
852¿Identifier¿¿1417¿argv¿¿¿{"start":{"line":12,"column":17},"end":{"line":12,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Identifier
853¿VariableDeclarator¿¿1417¿v88¿¿¿{"start":{"line":12,"column":9},"end":{"line":12,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿VariableDeclarator
854¿MemberExpression¿computed¿1417¿¿¿¿{"start":{"line":12,"column":9},"end":{"line":12,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿MemberExpression
855¿Identifier¿¿1417¿v87¿¿¿¿¿Identifier
856¿Literal¿number¿1417¿¿3¿¿{"start":{"line":12,"column":22},"end":{"line":12,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Literal
857¿VariableDeclarator¿¿1417¿tp¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿VariableDeclarator
858¿LogicalExpression¿||¿1417¿¿¿¿{"start":{"line":12,"column":9},"end":{"line":12,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿LogicalExpression
859¿Identifier¿¿1417¿v88¿¿¿¿¿Identifier
860¿Literal¿string¿1417¿¿'ftp'¿¿{"start":{"line":12,"column":28},"end":{"line":12,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Literal
861¿VariableDeclarator¿¿1417¿v89¿¿¿{"start":{"line":13,"column":9},"end":{"line":13,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿VariableDeclarator
862¿MemberExpression¿¿1417¿¿¿¿{"start":{"line":13,"column":9},"end":{"line":13,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿MemberExpression
863¿Identifier¿¿1417¿process¿¿¿{"start":{"line":13,"column":9},"end":{"line":13,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Identifier
864¿Identifier¿¿1417¿argv¿¿¿{"start":{"line":13,"column":17},"end":{"line":13,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Identifier
865¿VariableDeclarator¿¿1417¿v90¿¿¿{"start":{"line":13,"column":9},"end":{"line":13,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿VariableDeclarator
866¿MemberExpression¿computed¿1417¿¿¿¿{"start":{"line":13,"column":9},"end":{"line":13,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿MemberExpression
867¿Identifier¿¿1417¿v89¿¿¿¿¿Identifier
868¿Literal¿number¿1417¿¿4¿¿{"start":{"line":13,"column":22},"end":{"line":13,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Literal
869¿VariableDeclarator¿¿1417¿v91¿¿¿{"start":{"line":13,"column":28},"end":{"line":13,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿VariableDeclarator
870¿CallExpression¿¿1417¿¿¿¿{"start":{"line":13,"column":28},"end":{"line":13,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿CallExpression
871¿MemberExpression¿¿1417¿¿¿¿{"start":{"line":13,"column":28},"end":{"line":13,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿MemberExpression
872¿Identifier¿¿1417¿process¿¿¿{"start":{"line":13,"column":28},"end":{"line":13,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Identifier
873¿Identifier¿¿1417¿cwd¿¿¿{"start":{"line":13,"column":36},"end":{"line":13,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Identifier
874¿VariableDeclarator¿¿1417¿wp¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿VariableDeclarator
875¿LogicalExpression¿||¿1417¿¿¿¿{"start":{"line":13,"column":9},"end":{"line":13,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿LogicalExpression
876¿Identifier¿¿1417¿v90¿¿¿¿¿Identifier
877¿Identifier¿¿1417¿v91¿¿¿¿¿Identifier
878¿VariableDeclarator¿¿1417¿v92¿¿¿{"start":{"line":15,"column":12},"end":{"line":15,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿VariableDeclarator
879¿MemberExpression¿¿1417¿¿¿¿{"start":{"line":15,"column":12},"end":{"line":15,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿MemberExpression
880¿Identifier¿¿1417¿process¿¿¿{"start":{"line":15,"column":12},"end":{"line":15,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Identifier
881¿Identifier¿¿1417¿argv¿¿¿{"start":{"line":15,"column":20},"end":{"line":15,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Identifier
882¿VariableDeclarator¿¿1417¿v93¿¿¿{"start":{"line":15,"column":12},"end":{"line":15,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿VariableDeclarator
883¿MemberExpression¿computed¿1417¿¿¿¿{"start":{"line":15,"column":12},"end":{"line":15,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿MemberExpression
884¿Identifier¿¿1417¿v92¿¿¿¿¿Identifier
885¿Literal¿number¿1417¿¿2¿¿{"start":{"line":15,"column":25},"end":{"line":15,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Literal
886¿VariableDeclarator¿¿1417¿v94¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿VariableDeclarator
887¿BinaryExpression¿==¿1417¿¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿BinaryExpression
888¿Literal¿string¿1417¿¿'-v'¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":8},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Literal
889¿Identifier¿¿1417¿v93¿¿¿¿¿Identifier
890¿VariableDeclarator¿¿1417¿v95¿¿¿{"start":{"line":15,"column":46},"end":{"line":15,"column":58},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿VariableDeclarator
891¿MemberExpression¿¿1417¿¿¿¿{"start":{"line":15,"column":46},"end":{"line":15,"column":58},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿MemberExpression
892¿Identifier¿¿1417¿process¿¿¿{"start":{"line":15,"column":46},"end":{"line":15,"column":53},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Identifier
893¿Identifier¿¿1417¿argv¿¿¿{"start":{"line":15,"column":54},"end":{"line":15,"column":58},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Identifier
894¿VariableDeclarator¿¿1417¿v96¿¿¿{"start":{"line":15,"column":46},"end":{"line":15,"column":61},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿VariableDeclarator
895¿MemberExpression¿computed¿1417¿¿¿¿{"start":{"line":15,"column":46},"end":{"line":15,"column":61},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿MemberExpression
896¿Identifier¿¿1417¿v95¿¿¿¿¿Identifier
897¿Literal¿number¿1417¿¿2¿¿{"start":{"line":15,"column":59},"end":{"line":15,"column":60},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Literal
898¿VariableDeclarator¿¿1417¿v97¿¿¿{"start":{"line":15,"column":31},"end":{"line":15,"column":61},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿VariableDeclarator
899¿BinaryExpression¿==¿1417¿¿¿¿{"start":{"line":15,"column":31},"end":{"line":15,"column":61},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿BinaryExpression
900¿Literal¿string¿1417¿¿'--version'¿¿{"start":{"line":15,"column":31},"end":{"line":15,"column":42},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Literal
901¿Identifier¿¿1417¿v96¿¿¿¿¿Identifier
902¿VariableDeclarator¿¿1417¿v98¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":61},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿VariableDeclarator
903¿LogicalExpression¿||¿1417¿¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":61},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿LogicalExpression
904¿Identifier¿¿1417¿v94¿¿¿¿¿Identifier
905¿Identifier¿¿1417¿v97¿¿¿¿¿Identifier
906¿IfStatement¿¿1417¿¿¿¿{"start":{"line":15,"column":0},"end":{"line":18,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿IfStatement
907¿Identifier¿¿1417¿v98¿¿¿¿¿Identifier
908¿VariableDeclarator¿¿1417¿v99¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿VariableDeclarator
909¿CallExpression¿¿1417¿¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿CallExpression
910¿MemberExpression¿¿1417¿¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":15},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿MemberExpression
911¿Identifier¿¿1417¿console¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":11},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Identifier
912¿Identifier¿¿1417¿log¿¿¿{"start":{"line":16,"column":12},"end":{"line":16,"column":15},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Identifier
913¿Literal¿string¿1417¿¿'v0.0.6'¿¿{"start":{"line":16,"column":16},"end":{"line":16,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Literal
914¿ExpressionStatement¿¿1417¿¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿ExpressionStatement
915¿Identifier¿¿1417¿v99¿¿¿¿¿Identifier
916¿ReturnStatement¿¿1417¿¿¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":11},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿ReturnStatement
917¿BlockStatement¿¿1417¿¿¿¿{"start":{"line":15,"column":63},"end":{"line":18,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿BlockStatement
918¿VariableDeclarator¿¿1417¿hftp¿¿¿{"start":{"line":36,"column":4},"end":{"line":98,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿VariableDeclarator
919¿FunctionExpression¿¿1417¿anon¿¿¿{"start":{"line":36,"column":11},"end":{"line":98,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿FunctionExpression
920¿Identifier¿¿0¿request¿¿¿{"start":{"line":36,"column":20},"end":{"line":36,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Identifier
921¿Identifier¿¿0¿response¿¿¿{"start":{"line":36,"column":29},"end":{"line":36,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Identifier
922¿VariableDeclarator¿¿1420¿v100¿¿¿{"start":{"line":38,"column":2},"end":{"line":38,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿VariableDeclarator
923¿CallExpression¿¿1420¿¿¿¿{"start":{"line":38,"column":2},"end":{"line":38,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿CallExpression
924¿MemberExpression¿¿1420¿¿¿¿{"start":{"line":38,"column":2},"end":{"line":38,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿MemberExpression
925¿Identifier¿¿1420¿request¿¿¿{"start":{"line":38,"column":2},"end":{"line":38,"column":9},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Identifier
926¿Identifier¿¿1420¿setEncoding¿¿¿{"start":{"line":38,"column":10},"end":{"line":38,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Identifier
927¿Literal¿string¿1420¿¿'utf8'¿¿{"start":{"line":38,"column":22},"end":{"line":38,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Literal
928¿ExpressionStatement¿¿1420¿¿¿¿{"start":{"line":38,"column":2},"end":{"line":38,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿ExpressionStatement
929¿Identifier¿¿1420¿v100¿¿¿¿¿Identifier
930¿VariableDeclarator¿¿1420¿v101¿¿¿{"start":{"line":40,"column":35},"end":{"line":40,"column":46},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿VariableDeclarator
931¿MemberExpression¿¿1420¿¿¿¿{"start":{"line":40,"column":35},"end":{"line":40,"column":46},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿MemberExpression
932¿Identifier¿¿1420¿request¿¿¿{"start":{"line":40,"column":35},"end":{"line":40,"column":42},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Identifier
933¿Identifier¿¿1420¿url¿¿¿{"start":{"line":40,"column":43},"end":{"line":40,"column":46},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Identifier
934¿VariableDeclarator¿¿1420¿v102¿¿¿{"start":{"line":40,"column":25},"end":{"line":40,"column":47},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿VariableDeclarator
935¿CallExpression¿¿1420¿¿¿¿{"start":{"line":40,"column":25},"end":{"line":40,"column":47},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿CallExpression
936¿MemberExpression¿¿1420¿¿¿¿{"start":{"line":40,"column":25},"end":{"line":40,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿MemberExpression
937¿Identifier¿¿1420¿url¿¿¿{"start":{"line":40,"column":25},"end":{"line":40,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Identifier
938¿Identifier¿¿1420¿parse¿¿¿{"start":{"line":40,"column":29},"end":{"line":40,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿Identifier
939¿Identifier¿¿1420¿v101¿¿¿¿¿Identifier
940¿VariableDeclarator¿¿1420¿v103¿¿¿{"start":{"line":40,"column":25},"end":{"line":40,"column":56},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿VariableDeclarator
941¿MemberExpression¿¿1420¿¿¿¿{"start":{"line":40,"column":25},"end":{"line":40,"column":56},"fname":"/datasets/secbench-dataset/CWE-22/hftp_0.0.6/src/static_server.js"}¿¿MemberExpression
942¿Identifier¿¿1420¿v102¿¿¿¿¿Identifier
