Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
4880¿Program¿¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":811,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Program
4901¿Identifier¿¿value¿¿¿{"start":{"line":24,"column":18},"end":{"line":24,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
4902¿VariableDeclarator¿¿v486¿¿¿¿¿VariableDeclarator
4903¿UnaryExpression¿typeof¿¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿UnaryExpression
4904¿Identifier¿¿value¿¿¿{"start":{"line":25,"column":15},"end":{"line":25,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
4905¿VariableDeclarator¿¿v487¿¿¿¿¿VariableDeclarator
4906¿BinaryExpression¿!==¿¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿BinaryExpression
4907¿Identifier¿¿v486¿¿¿¿¿Identifier
4908¿Literal¿string¿¿'object'¿¿{"start":{"line":25,"column":25},"end":{"line":25,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Literal
4909¿VariableDeclarator¿¿v488¿¿¿¿¿VariableDeclarator
4910¿BinaryExpression¿instanceof¿¿¿¿{"start":{"line":25,"column":38},"end":{"line":25,"column":59},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿BinaryExpression
4911¿Identifier¿¿value¿¿¿{"start":{"line":25,"column":38},"end":{"line":25,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
4912¿Identifier¿¿Date¿¿¿{"start":{"line":25,"column":55},"end":{"line":25,"column":59},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
4913¿VariableDeclarator¿¿v489¿¿¿¿¿VariableDeclarator
4914¿LogicalExpression¿||¿¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":60},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿LogicalExpression
4915¿Identifier¿¿v487¿¿¿¿¿Identifier
4916¿Identifier¿¿v488¿¿¿¿¿Identifier
4917¿VariableDeclarator¿¿v490¿¿¿¿¿VariableDeclarator
4918¿UnaryExpression¿!¿¿¿¿{"start":{"line":25,"column":64},"end":{"line":25,"column":70},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿UnaryExpression
4919¿Identifier¿¿value¿¿¿{"start":{"line":25,"column":65},"end":{"line":25,"column":70},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
4920¿VariableDeclarator¿¿v491¿¿¿¿¿VariableDeclarator
4921¿LogicalExpression¿||¿¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":70},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿LogicalExpression
4922¿Identifier¿¿v489¿¿¿¿¿Identifier
4923¿Identifier¿¿v490¿¿¿¿¿Identifier
4924¿VariableDeclarator¿¿v492¿¿¿¿¿VariableDeclarator
4925¿UnaryExpression¿typeof¿¿¿¿{"start":{"line":25,"column":74},"end":{"line":25,"column":86},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿UnaryExpression
4926¿Identifier¿¿value¿¿¿{"start":{"line":25,"column":81},"end":{"line":25,"column":86},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
4927¿VariableDeclarator¿¿v493¿¿¿¿¿VariableDeclarator
4928¿BinaryExpression¿===¿¿¿¿{"start":{"line":25,"column":74},"end":{"line":25,"column":101},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿BinaryExpression
4929¿Identifier¿¿v492¿¿¿¿¿Identifier
4930¿Literal¿string¿¿'function'¿¿{"start":{"line":25,"column":91},"end":{"line":25,"column":101},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Literal
4931¿VariableDeclarator¿¿v494¿¿¿¿¿VariableDeclarator
4932¿LogicalExpression¿||¿¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":101},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿LogicalExpression
4933¿Identifier¿¿v491¿¿¿¿¿Identifier
4934¿Identifier¿¿v493¿¿¿¿¿Identifier
4935¿ReturnStatement¿¿¿¿¿{"start":{"line":25,"column":1},"end":{"line":25,"column":102},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿ReturnStatement
4936¿Identifier¿¿v494¿¿¿¿¿Identifier
4937¿BlockStatement¿¿¿¿¿{"start":{"line":24,"column":25},"end":{"line":26,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿BlockStatement
4938¿ExpressionStatement¿¿¿¿¿{"start":{"line":27,"column":0},"end":{"line":27,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿ExpressionStatement
4939¿AssignmentExpression¿=¿¿¿¿{"start":{"line":27,"column":0},"end":{"line":27,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿AssignmentExpression
4940¿MemberExpression¿¿¿¿¿{"start":{"line":27,"column":0},"end":{"line":27,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿MemberExpression
4941¿Identifier¿¿exports¿¿¿{"start":{"line":27,"column":0},"end":{"line":27,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
4942¿Identifier¿¿isScalar¿¿¿{"start":{"line":27,"column":8},"end":{"line":27,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
4943¿Identifier¿¿isScalar¿¿¿{"start":{"line":27,"column":19},"end":{"line":27,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
4944¿VariableDeclarator¿exported¿isTerminal¿¿¿¿¿VariableDeclarator
4945¿FunctionExpression¿¿anon¿¿¿{"start":{"line":39,"column":0},"end":{"line":47,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿FunctionExpression
4946¿Identifier¿¿value¿¿¿{"start":{"line":39,"column":20},"end":{"line":39,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
4947¿VariableDeclarator¿¿v495¿¿¿¿¿VariableDeclarator
4948¿UnaryExpression¿typeof¿¿¿¿{"start":{"line":40,"column":5},"end":{"line":40,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿UnaryExpression
4949¿Identifier¿¿value¿¿¿{"start":{"line":40,"column":12},"end":{"line":40,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
4950¿VariableDeclarator¿¿v496¿¿¿¿¿VariableDeclarator
4951¿BinaryExpression¿!==¿¿¿¿{"start":{"line":40,"column":5},"end":{"line":40,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿BinaryExpression
4952¿Identifier¿¿v495¿¿¿¿¿Identifier
4953¿Literal¿string¿¿'object'¿¿{"start":{"line":40,"column":22},"end":{"line":40,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Literal
4954¿IfStatement¿¿¿¿¿{"start":{"line":40,"column":1},"end":{"line":40,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿IfStatement
4955¿Identifier¿¿v496¿¿¿¿¿Identifier
4956¿ReturnStatement¿¿¿¿¿{"start":{"line":40,"column":32},"end":{"line":40,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿ReturnStatement
4957¿Literal¿boolean¿¿true¿¿{"start":{"line":40,"column":39},"end":{"line":40,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Literal
4958¿BlockStatement¿¿¿¿¿¿¿BlockStatement
4959¿VariableDeclarator¿¿v497¿¿¿¿¿VariableDeclarator
4960¿BinaryExpression¿===¿¿¿¿{"start":{"line":42,"column":5},"end":{"line":42,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿BinaryExpression
4961¿Identifier¿¿value¿¿¿{"start":{"line":42,"column":5},"end":{"line":42,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
4962¿Literal¿object¿¿null¿¿{"start":{"line":42,"column":15},"end":{"line":42,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Literal
4963¿IfStatement¿¿¿¿¿{"start":{"line":42,"column":1},"end":{"line":42,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿IfStatement
4964¿Identifier¿¿v497¿¿¿¿¿Identifier
4965¿ReturnStatement¿¿¿¿¿{"start":{"line":42,"column":21},"end":{"line":42,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿ReturnStatement
4966¿Literal¿boolean¿¿true¿¿{"start":{"line":42,"column":28},"end":{"line":42,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Literal
4967¿BlockStatement¿¿¿¿¿¿¿BlockStatement
4968¿VariableDeclarator¿¿v498¿¿¿¿¿VariableDeclarator
4969¿CallExpression¿¿¿¿¿{"start":{"line":43,"column":5},"end":{"line":43,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿CallExpression
4970¿MemberExpression¿¿¿¿¿{"start":{"line":43,"column":5},"end":{"line":43,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿MemberExpression
4971¿Identifier¿¿Array¿¿¿{"start":{"line":43,"column":5},"end":{"line":43,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
4972¿Identifier¿¿isArray¿¿¿{"start":{"line":43,"column":11},"end":{"line":43,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
4973¿Identifier¿¿value¿¿¿{"start":{"line":43,"column":19},"end":{"line":43,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
4974¿IfStatement¿¿¿¿¿{"start":{"line":43,"column":1},"end":{"line":43,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿IfStatement
4975¿Identifier¿¿v498¿¿¿¿¿Identifier
4976¿ReturnStatement¿¿¿¿¿{"start":{"line":43,"column":27},"end":{"line":43,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿ReturnStatement
4977¿Literal¿boolean¿¿false¿¿{"start":{"line":43,"column":34},"end":{"line":43,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Literal
4978¿BlockStatement¿¿¿¿¿¿¿BlockStatement
4979¿VariableDeclarator¿¿proto¿¿¿{"start":{"line":45,"column":5},"end":{"line":45,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿VariableDeclarator
4980¿CallExpression¿¿¿¿¿{"start":{"line":45,"column":13},"end":{"line":45,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿CallExpression
4981¿MemberExpression¿¿¿¿¿{"start":{"line":45,"column":13},"end":{"line":45,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿MemberExpression
4982¿Identifier¿¿Object¿¿¿{"start":{"line":45,"column":13},"end":{"line":45,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
4983¿Identifier¿¿getPrototypeOf¿¿¿{"start":{"line":45,"column":20},"end":{"line":45,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
4984¿Identifier¿¿value¿¿¿{"start":{"line":45,"column":35},"end":{"line":45,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
4985¿VariableDeclarator¿¿v499¿¿¿¿¿VariableDeclarator
4986¿MemberExpression¿¿¿¿¿{"start":{"line":46,"column":18},"end":{"line":46,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿MemberExpression
4987¿Identifier¿¿Object¿¿¿{"start":{"line":46,"column":18},"end":{"line":46,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
4988¿Identifier¿¿prototype¿¿¿{"start":{"line":46,"column":25},"end":{"line":46,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
4989¿VariableDeclarator¿¿v500¿¿¿¿¿VariableDeclarator
4990¿BinaryExpression¿!==¿¿¿¿{"start":{"line":46,"column":8},"end":{"line":46,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿BinaryExpression
4991¿Identifier¿¿proto¿¿¿{"start":{"line":46,"column":8},"end":{"line":46,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
4992¿Identifier¿¿v499¿¿¿¿¿Identifier
4993¿VariableDeclarator¿¿v501¿¿¿¿¿VariableDeclarator
4994¿BinaryExpression¿!==¿¿¿¿{"start":{"line":46,"column":38},"end":{"line":46,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿BinaryExpression
4995¿Identifier¿¿proto¿¿¿{"start":{"line":46,"column":38},"end":{"line":46,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
4996¿Literal¿object¿¿null¿¿{"start":{"line":46,"column":48},"end":{"line":46,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Literal
4997¿VariableDeclarator¿¿v502¿¿¿¿¿VariableDeclarator
4998¿LogicalExpression¿&&¿¿¿¿{"start":{"line":46,"column":8},"end":{"line":46,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿LogicalExpression
4999¿Identifier¿¿v500¿¿¿¿¿Identifier
5000¿Identifier¿¿v501¿¿¿¿¿Identifier
5001¿ReturnStatement¿¿¿¿¿{"start":{"line":46,"column":1},"end":{"line":46,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿ReturnStatement
5002¿Identifier¿¿v502¿¿¿¿¿Identifier
5003¿BlockStatement¿¿¿¿¿{"start":{"line":39,"column":27},"end":{"line":47,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿BlockStatement
5004¿ExpressionStatement¿¿¿¿¿{"start":{"line":48,"column":0},"end":{"line":48,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿ExpressionStatement
5005¿AssignmentExpression¿=¿¿¿¿{"start":{"line":48,"column":0},"end":{"line":48,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿AssignmentExpression
5006¿MemberExpression¿¿¿¿¿{"start":{"line":48,"column":0},"end":{"line":48,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿MemberExpression
5007¿Identifier¿¿exports¿¿¿{"start":{"line":48,"column":0},"end":{"line":48,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
5008¿Identifier¿¿isTerminal¿¿¿{"start":{"line":48,"column":8},"end":{"line":48,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
5009¿Identifier¿¿isTerminal¿¿¿{"start":{"line":48,"column":21},"end":{"line":48,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
5010¿VariableDeclarator¿exported¿deepEquals¿¿¿¿¿VariableDeclarator
5011¿FunctionExpression¿¿anon¿¿¿{"start":{"line":59,"column":0},"end":{"line":82,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿FunctionExpression
5012¿Identifier¿¿a¿¿¿{"start":{"line":59,"column":20},"end":{"line":59,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
5013¿Identifier¿¿b¿¿¿{"start":{"line":59,"column":23},"end":{"line":59,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
5014¿VariableDeclarator¿¿i¿¿¿{"start":{"line":60,"column":5},"end":{"line":60,"column":6},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿VariableDeclarator
5015¿VariableDeclarator¿¿key¿¿¿{"start":{"line":60,"column":8},"end":{"line":60,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿VariableDeclarator
5016¿VariableDeclarator¿¿v503¿¿¿¿¿VariableDeclarator
5017¿CallExpression¿¿¿¿¿{"start":{"line":61,"column":5},"end":{"line":61,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿CallExpression
5018¿Identifier¿¿isScalar¿¿¿{"start":{"line":61,"column":5},"end":{"line":61,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
5019¿Identifier¿¿a¿¿¿{"start":{"line":61,"column":14},"end":{"line":61,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
5020¿VariableDeclarator¿¿v504¿¿¿¿¿VariableDeclarator
5021¿CallExpression¿¿¿¿¿{"start":{"line":61,"column":20},"end":{"line":61,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿CallExpression
5022¿Identifier¿¿isScalar¿¿¿{"start":{"line":61,"column":20},"end":{"line":61,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
5023¿Identifier¿¿b¿¿¿{"start":{"line":61,"column":29},"end":{"line":61,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
5024¿VariableDeclarator¿¿v505¿¿¿¿¿VariableDeclarator
5025¿LogicalExpression¿&&¿¿¿¿{"start":{"line":61,"column":5},"end":{"line":61,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿LogicalExpression
5026¿Identifier¿¿v503¿¿¿¿¿Identifier
5027¿Identifier¿¿v504¿¿¿¿¿Identifier
5028¿IfStatement¿¿¿¿¿{"start":{"line":61,"column":1},"end":{"line":63,"column":2},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿IfStatement
5029¿Identifier¿¿v505¿¿¿¿¿Identifier
5030¿VariableDeclarator¿¿v506¿¿¿¿¿VariableDeclarator
5031¿CallExpression¿¿¿¿¿{"start":{"line":62,"column":9},"end":{"line":62,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿CallExpression
5032¿Identifier¿¿scalarEquals¿¿¿{"start":{"line":62,"column":9},"end":{"line":62,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
5033¿Identifier¿¿a¿¿¿{"start":{"line":62,"column":22},"end":{"line":62,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
5034¿Identifier¿¿b¿¿¿{"start":{"line":62,"column":25},"end":{"line":62,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
5035¿ReturnStatement¿¿¿¿¿{"start":{"line":62,"column":2},"end":{"line":62,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿ReturnStatement
5036¿Identifier¿¿v506¿¿¿¿¿Identifier
5037¿BlockStatement¿¿¿¿¿{"start":{"line":61,"column":33},"end":{"line":63,"column":2},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿BlockStatement
5038¿VariableDeclarator¿¿v507¿¿¿¿¿VariableDeclarator
5039¿BinaryExpression¿===¿¿¿¿{"start":{"line":64,"column":5},"end":{"line":64,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿BinaryExpression
5040¿Identifier¿¿a¿¿¿{"start":{"line":64,"column":5},"end":{"line":64,"column":6},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
5041¿Literal¿object¿¿null¿¿{"start":{"line":64,"column":11},"end":{"line":64,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Literal
5042¿VariableDeclarator¿¿v508¿¿¿¿¿VariableDeclarator
5043¿BinaryExpression¿===¿¿¿¿{"start":{"line":64,"column":19},"end":{"line":64,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿BinaryExpression
5044¿Identifier¿¿b¿¿¿{"start":{"line":64,"column":19},"end":{"line":64,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
5045¿Literal¿object¿¿null¿¿{"start":{"line":64,"column":25},"end":{"line":64,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Literal
5046¿VariableDeclarator¿¿v509¿¿¿¿¿VariableDeclarator
5047¿LogicalExpression¿||¿¿¿¿{"start":{"line":64,"column":5},"end":{"line":64,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿LogicalExpression
5048¿Identifier¿¿v507¿¿¿¿¿Identifier
5049¿Identifier¿¿v508¿¿¿¿¿Identifier
5050¿VariableDeclarator¿¿v510¿¿¿¿¿VariableDeclarator
5051¿BinaryExpression¿===¿¿¿¿{"start":{"line":64,"column":33},"end":{"line":64,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿BinaryExpression
5052¿Identifier¿¿a¿¿¿{"start":{"line":64,"column":33},"end":{"line":64,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/objtools_3.0.0/src/index.js"}¿¿Identifier
