Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2727¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":365,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Program
2768¿MemberExpression¿¿4856¿¿¿¿{"start":{"line":8,"column":20},"end":{"line":8,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿MemberExpression
2769¿Identifier¿¿4856¿helpers_1¿¿¿{"start":{"line":8,"column":20},"end":{"line":8,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2770¿Identifier¿¿4856¿_deepClone¿¿¿{"start":{"line":8,"column":30},"end":{"line":8,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2771¿ExpressionStatement¿¿4856¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿ExpressionStatement
2772¿AssignmentExpression¿=¿4856¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿AssignmentExpression
2773¿MemberExpression¿¿4856¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿MemberExpression
2774¿Identifier¿¿4856¿exports¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2775¿Identifier¿¿4856¿deepClone¿¿¿{"start":{"line":8,"column":8},"end":{"line":8,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2776¿Identifier¿¿4856¿v259¿¿¿¿¿Identifier
2777¿VariableDeclarator¿¿4856¿v262¿¿¿{"start":{"line":17,"column":9},"end":{"line":20,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿VariableDeclarator
2778¿FunctionExpression¿¿4856¿anon¿¿¿{"start":{"line":17,"column":9},"end":{"line":20,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿FunctionExpression
2779¿Identifier¿¿0¿obj¿¿¿{"start":{"line":17,"column":19},"end":{"line":17,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2780¿Identifier¿¿0¿key¿¿¿{"start":{"line":17,"column":24},"end":{"line":17,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2781¿Identifier¿¿0¿document¿¿¿{"start":{"line":17,"column":29},"end":{"line":17,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2782¿VariableDeclarator¿¿4860¿v260¿¿¿{"start":{"line":18,"column":8},"end":{"line":18,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿VariableDeclarator
2783¿MemberExpression¿¿4860¿¿¿¿{"start":{"line":18,"column":19},"end":{"line":18,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿MemberExpression
2784¿ThisExpression¿¿4860¿¿¿¿{"start":{"line":18,"column":19},"end":{"line":18,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿ThisExpression
2785¿Identifier¿¿4860¿value¿¿¿{"start":{"line":18,"column":24},"end":{"line":18,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2786¿ExpressionStatement¿¿4860¿¿¿¿{"start":{"line":18,"column":8},"end":{"line":18,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿ExpressionStatement
2787¿AssignmentExpression¿=¿4860¿¿¿¿{"start":{"line":18,"column":8},"end":{"line":18,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿AssignmentExpression
2788¿MemberExpression¿computed¿4860¿¿¿¿{"start":{"line":18,"column":8},"end":{"line":18,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿MemberExpression
2789¿Identifier¿¿4860¿obj¿¿¿{"start":{"line":18,"column":8},"end":{"line":18,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2790¿Identifier¿¿4860¿key¿¿¿{"start":{"line":18,"column":12},"end":{"line":18,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2791¿Identifier¿¿4860¿v260¿¿¿¿¿Identifier
2792¿VariableDeclarator¿¿4860¿v261¿¿¿{"start":{"line":19,"column":15},"end":{"line":19,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿VariableDeclarator
2793¿ObjectExpression¿¿4860¿¿¿¿¿¿ObjectExpression
2794¿ExpressionStatement¿¿4860¿¿¿¿{"start":{"line":19,"column":15},"end":{"line":19,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿ExpressionStatement
2795¿AssignmentExpression¿=¿4860¿¿¿¿{"start":{"line":19,"column":15},"end":{"line":19,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿AssignmentExpression
2796¿MemberExpression¿¿4860¿¿¿¿{"start":{"line":19,"column":15},"end":{"line":19,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿MemberExpression
2797¿Identifier¿¿4860¿v261¿¿¿¿¿Identifier
2798¿Identifier¿¿4860¿newDocument¿¿¿{"start":{"line":19,"column":17},"end":{"line":19,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2799¿Identifier¿¿4860¿document¿¿¿{"start":{"line":19,"column":30},"end":{"line":19,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2800¿ReturnStatement¿¿4860¿¿¿¿{"start":{"line":19,"column":8},"end":{"line":19,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿ReturnStatement
2801¿Identifier¿¿4860¿v261¿¿¿¿¿Identifier
2802¿BlockStatement¿¿4860¿¿¿¿{"start":{"line":17,"column":39},"end":{"line":20,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿BlockStatement
2803¿VariableDeclarator¿¿4856¿v266¿¿¿{"start":{"line":21,"column":12},"end":{"line":25,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿VariableDeclarator
2804¿FunctionExpression¿¿4856¿anon¿¿¿{"start":{"line":21,"column":12},"end":{"line":25,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿FunctionExpression
2805¿Identifier¿¿0¿obj¿¿¿{"start":{"line":21,"column":22},"end":{"line":21,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2806¿Identifier¿¿0¿key¿¿¿{"start":{"line":21,"column":27},"end":{"line":21,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2807¿Identifier¿¿0¿document¿¿¿{"start":{"line":21,"column":32},"end":{"line":21,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2808¿VariableDeclarator¿¿4862¿removed¿¿¿{"start":{"line":22,"column":12},"end":{"line":22,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿VariableDeclarator
2809¿MemberExpression¿computed¿4862¿¿¿¿{"start":{"line":22,"column":22},"end":{"line":22,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿MemberExpression
2810¿Identifier¿¿4862¿obj¿¿¿{"start":{"line":22,"column":22},"end":{"line":22,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2811¿Identifier¿¿4862¿key¿¿¿{"start":{"line":22,"column":26},"end":{"line":22,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2812¿VariableDeclarator¿¿4862¿v263¿¿¿{"start":{"line":23,"column":15},"end":{"line":23,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿VariableDeclarator
2813¿MemberExpression¿computed¿4862¿¿¿¿{"start":{"line":23,"column":15},"end":{"line":23,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿MemberExpression
2814¿Identifier¿¿4862¿obj¿¿¿{"start":{"line":23,"column":15},"end":{"line":23,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2815¿Identifier¿¿4862¿key¿¿¿{"start":{"line":23,"column":19},"end":{"line":23,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2816¿VariableDeclarator¿¿4862¿v264¿¿¿{"start":{"line":23,"column":8},"end":{"line":23,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿VariableDeclarator
2817¿UnaryExpression¿delete¿4862¿¿¿¿{"start":{"line":23,"column":8},"end":{"line":23,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿UnaryExpression
2818¿Identifier¿¿4862¿v263¿¿¿¿¿Identifier
2819¿ExpressionStatement¿¿4862¿¿¿¿{"start":{"line":23,"column":8},"end":{"line":23,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿ExpressionStatement
2820¿Identifier¿¿4862¿v264¿¿¿¿¿Identifier
2821¿VariableDeclarator¿¿4862¿v265¿¿¿{"start":{"line":24,"column":15},"end":{"line":24,"column":58},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿VariableDeclarator
2822¿ObjectExpression¿¿4862¿¿¿¿¿¿ObjectExpression
2823¿ExpressionStatement¿¿4862¿¿¿¿{"start":{"line":24,"column":15},"end":{"line":24,"column":58},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿ExpressionStatement
2824¿AssignmentExpression¿=¿4862¿¿¿¿{"start":{"line":24,"column":15},"end":{"line":24,"column":58},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿AssignmentExpression
2825¿MemberExpression¿¿4862¿¿¿¿{"start":{"line":24,"column":15},"end":{"line":24,"column":58},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿MemberExpression
2826¿Identifier¿¿4862¿v265¿¿¿¿¿Identifier
2827¿Identifier¿¿4862¿newDocument¿¿¿{"start":{"line":24,"column":17},"end":{"line":24,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2828¿Identifier¿¿4862¿document¿¿¿{"start":{"line":24,"column":30},"end":{"line":24,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2829¿ExpressionStatement¿¿4862¿¿¿¿{"start":{"line":24,"column":15},"end":{"line":24,"column":58},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿ExpressionStatement
2830¿AssignmentExpression¿=¿4862¿¿¿¿{"start":{"line":24,"column":15},"end":{"line":24,"column":58},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿AssignmentExpression
2831¿MemberExpression¿¿4862¿¿¿¿{"start":{"line":24,"column":15},"end":{"line":24,"column":58},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿MemberExpression
2832¿Identifier¿¿4862¿v265¿¿¿¿¿Identifier
2833¿Identifier¿¿4862¿removed¿¿¿{"start":{"line":24,"column":40},"end":{"line":24,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2834¿Identifier¿¿4862¿removed¿¿¿{"start":{"line":24,"column":49},"end":{"line":24,"column":56},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2835¿ReturnStatement¿¿4862¿¿¿¿{"start":{"line":24,"column":8},"end":{"line":24,"column":59},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿ReturnStatement
2836¿Identifier¿¿4862¿v265¿¿¿¿¿Identifier
2837¿BlockStatement¿¿4862¿¿¿¿{"start":{"line":21,"column":42},"end":{"line":25,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿BlockStatement
2838¿VariableDeclarator¿¿4856¿v269¿¿¿{"start":{"line":26,"column":13},"end":{"line":30,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿VariableDeclarator
2839¿FunctionExpression¿¿4856¿anon¿¿¿{"start":{"line":26,"column":13},"end":{"line":30,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿FunctionExpression
2840¿Identifier¿¿0¿obj¿¿¿{"start":{"line":26,"column":23},"end":{"line":26,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2841¿Identifier¿¿0¿key¿¿¿{"start":{"line":26,"column":28},"end":{"line":26,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2842¿Identifier¿¿0¿document¿¿¿{"start":{"line":26,"column":33},"end":{"line":26,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2843¿VariableDeclarator¿¿4864¿removed¿¿¿{"start":{"line":27,"column":12},"end":{"line":27,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿VariableDeclarator
2844¿MemberExpression¿computed¿4864¿¿¿¿{"start":{"line":27,"column":22},"end":{"line":27,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿MemberExpression
2845¿Identifier¿¿4864¿obj¿¿¿{"start":{"line":27,"column":22},"end":{"line":27,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2846¿Identifier¿¿4864¿key¿¿¿{"start":{"line":27,"column":26},"end":{"line":27,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2847¿VariableDeclarator¿¿4864¿v267¿¿¿{"start":{"line":28,"column":8},"end":{"line":28,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿VariableDeclarator
2848¿MemberExpression¿¿4864¿¿¿¿{"start":{"line":28,"column":19},"end":{"line":28,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿MemberExpression
2849¿ThisExpression¿¿4864¿¿¿¿{"start":{"line":28,"column":19},"end":{"line":28,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿ThisExpression
2850¿Identifier¿¿4864¿value¿¿¿{"start":{"line":28,"column":24},"end":{"line":28,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2851¿ExpressionStatement¿¿4864¿¿¿¿{"start":{"line":28,"column":8},"end":{"line":28,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿ExpressionStatement
2852¿AssignmentExpression¿=¿4864¿¿¿¿{"start":{"line":28,"column":8},"end":{"line":28,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿AssignmentExpression
2853¿MemberExpression¿computed¿4864¿¿¿¿{"start":{"line":28,"column":8},"end":{"line":28,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿MemberExpression
2854¿Identifier¿¿4864¿obj¿¿¿{"start":{"line":28,"column":8},"end":{"line":28,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2855¿Identifier¿¿4864¿key¿¿¿{"start":{"line":28,"column":12},"end":{"line":28,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿Identifier
2856¿Identifier¿¿4864¿v267¿¿¿¿¿Identifier
2857¿VariableDeclarator¿¿4864¿v268¿¿¿{"start":{"line":29,"column":15},"end":{"line":29,"column":58},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿VariableDeclarator
2858¿ObjectExpression¿¿4864¿¿¿¿¿¿ObjectExpression
2859¿ExpressionStatement¿¿4864¿¿¿¿{"start":{"line":29,"column":15},"end":{"line":29,"column":58},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿ExpressionStatement
2860¿AssignmentExpression¿=¿4864¿¿¿¿{"start":{"line":29,"column":15},"end":{"line":29,"column":58},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿AssignmentExpression
2861¿MemberExpression¿¿4864¿¿¿¿{"start":{"line":29,"column":15},"end":{"line":29,"column":58},"fname":"/datasets/secbench-dataset/CWE-471/fast-json-patch_2.0.4/src/core.js"}¿¿MemberExpression
2862¿Identifier¿¿4864¿v268¿¿¿¿¿Identifier
