Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1107¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":132,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Program
1132¿Identifier¿¿1962¿now¿¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1133¿Identifier¿¿1962¿now¿¿¿{"start":{"line":6,"column":14},"end":{"line":6,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1134¿ExpressionStatement¿¿1962¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿ExpressionStatement
1135¿AssignmentExpression¿=¿1962¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿AssignmentExpression
1136¿MemberExpression¿¿1962¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿MemberExpression
1137¿Identifier¿¿1962¿exports¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1138¿Identifier¿¿1962¿getTranslate¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1139¿Identifier¿¿1962¿getTranslate¿¿¿{"start":{"line":7,"column":23},"end":{"line":7,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1140¿ExpressionStatement¿¿1962¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿ExpressionStatement
1141¿AssignmentExpression¿=¿1962¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿AssignmentExpression
1142¿MemberExpression¿¿1962¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿MemberExpression
1143¿Identifier¿¿1962¿exports¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1144¿Identifier¿¿1962¿isObject¿¿¿{"start":{"line":8,"column":8},"end":{"line":8,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1145¿Identifier¿¿1962¿isObject¿¿¿{"start":{"line":8,"column":19},"end":{"line":8,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1146¿ExpressionStatement¿¿1962¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":9,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿ExpressionStatement
1147¿AssignmentExpression¿=¿1962¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":9,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿AssignmentExpression
1148¿MemberExpression¿¿1962¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":9,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿MemberExpression
1149¿Identifier¿¿1962¿exports¿¿¿{"start":{"line":9,"column":0},"end":{"line":9,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1150¿Identifier¿¿1962¿extend¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1151¿Identifier¿¿1962¿extend¿¿¿{"start":{"line":9,"column":17},"end":{"line":9,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1152¿ExpressionStatement¿¿1962¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿ExpressionStatement
1153¿AssignmentExpression¿=¿1962¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿AssignmentExpression
1154¿MemberExpression¿¿1962¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿MemberExpression
1155¿Identifier¿¿1962¿exports¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1156¿Identifier¿¿1962¿bindModuleMethods¿¿¿{"start":{"line":10,"column":8},"end":{"line":10,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1157¿Identifier¿¿1962¿bindModuleMethods¿¿¿{"start":{"line":10,"column":28},"end":{"line":10,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1158¿VariableDeclarator¿¿1962¿_ssrWindow¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿VariableDeclarator
1159¿CallExpression¿¿1962¿¿¿¿{"start":{"line":12,"column":17},"end":{"line":12,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿CallExpression
1160¿Identifier¿¿1962¿require¿¿¿{"start":{"line":12,"column":17},"end":{"line":12,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1161¿Literal¿string¿1962¿¿'ssr-window'¿¿{"start":{"line":12,"column":25},"end":{"line":12,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Literal
1162¿VariableDeclarator¿exported¿1962¿deleteProps¿¿¿{"start":{"line":14,"column":0},"end":{"line":27,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿VariableDeclarator
1163¿FunctionExpression¿¿1962¿anon¿¿¿{"start":{"line":14,"column":0},"end":{"line":27,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿FunctionExpression
1164¿Identifier¿¿0¿obj¿¿¿{"start":{"line":14,"column":21},"end":{"line":14,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1165¿VariableDeclarator¿¿1964¿object¿¿¿{"start":{"line":15,"column":6},"end":{"line":15,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿VariableDeclarator
1166¿Identifier¿¿1964¿obj¿¿¿{"start":{"line":15,"column":15},"end":{"line":15,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1167¿VariableDeclarator¿¿1964¿v115¿¿¿{"start":{"line":16,"column":2},"end":{"line":16,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿VariableDeclarator
1168¿CallExpression¿¿1964¿¿¿¿{"start":{"line":16,"column":2},"end":{"line":16,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿CallExpression
1169¿MemberExpression¿¿1964¿¿¿¿{"start":{"line":16,"column":2},"end":{"line":16,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿MemberExpression
1170¿Identifier¿¿1964¿Object¿¿¿{"start":{"line":16,"column":2},"end":{"line":16,"column":8},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1171¿Identifier¿¿1964¿keys¿¿¿{"start":{"line":16,"column":9},"end":{"line":16,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1172¿Identifier¿¿1964¿object¿¿¿{"start":{"line":16,"column":14},"end":{"line":16,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1173¿VariableDeclarator¿¿1964¿v118¿¿¿{"start":{"line":16,"column":30},"end":{"line":26,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿VariableDeclarator
1174¿FunctionExpression¿¿1964¿anon¿¿¿{"start":{"line":16,"column":30},"end":{"line":26,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿FunctionExpression
1175¿Identifier¿¿0¿key¿¿¿{"start":{"line":16,"column":40},"end":{"line":16,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1176¿TryStatement¿¿1966¿¿¿¿{"start":{"line":17,"column":4},"end":{"line":20,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿TryStatement
1177¿ExpressionStatement¿¿1966¿¿¿¿{"start":{"line":18,"column":6},"end":{"line":18,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿ExpressionStatement
1178¿AssignmentExpression¿=¿1966¿¿¿¿{"start":{"line":18,"column":6},"end":{"line":18,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿AssignmentExpression
1179¿MemberExpression¿computed¿1966¿¿¿¿{"start":{"line":18,"column":6},"end":{"line":18,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿MemberExpression
1180¿Identifier¿¿1966¿object¿¿¿{"start":{"line":18,"column":6},"end":{"line":18,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1181¿Identifier¿¿1966¿key¿¿¿{"start":{"line":18,"column":13},"end":{"line":18,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1182¿Literal¿object¿1966¿¿null¿¿{"start":{"line":18,"column":20},"end":{"line":18,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Literal
1183¿BlockStatement¿¿1966¿¿¿¿{"start":{"line":17,"column":8},"end":{"line":19,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿BlockStatement
1184¿CatchClause¿¿1966¿¿¿¿{"start":{"line":19,"column":6},"end":{"line":20,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿CatchClause
1185¿BlockStatement¿¿1966¿¿¿¿{"start":{"line":19,"column":16},"end":{"line":20,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿BlockStatement
1186¿Identifier¿¿1966¿e¿¿¿{"start":{"line":19,"column":13},"end":{"line":19,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1187¿TryStatement¿¿1966¿¿¿¿{"start":{"line":22,"column":4},"end":{"line":25,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿TryStatement
1188¿VariableDeclarator¿¿1966¿v116¿¿¿{"start":{"line":23,"column":13},"end":{"line":23,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿VariableDeclarator
1189¿MemberExpression¿computed¿1966¿¿¿¿{"start":{"line":23,"column":13},"end":{"line":23,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿MemberExpression
1190¿Identifier¿¿1966¿object¿¿¿{"start":{"line":23,"column":13},"end":{"line":23,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1191¿Identifier¿¿1966¿key¿¿¿{"start":{"line":23,"column":20},"end":{"line":23,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1192¿VariableDeclarator¿¿1966¿v117¿¿¿{"start":{"line":23,"column":6},"end":{"line":23,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿VariableDeclarator
1193¿UnaryExpression¿delete¿1966¿¿¿¿{"start":{"line":23,"column":6},"end":{"line":23,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿UnaryExpression
1194¿Identifier¿¿1966¿v116¿¿¿¿¿Identifier
1195¿ExpressionStatement¿¿1966¿¿¿¿{"start":{"line":23,"column":6},"end":{"line":23,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿ExpressionStatement
1196¿Identifier¿¿1966¿v117¿¿¿¿¿Identifier
1197¿BlockStatement¿¿1966¿¿¿¿{"start":{"line":22,"column":8},"end":{"line":24,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿BlockStatement
1198¿CatchClause¿¿1966¿¿¿¿{"start":{"line":24,"column":6},"end":{"line":25,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿CatchClause
1199¿BlockStatement¿¿1966¿¿¿¿{"start":{"line":24,"column":16},"end":{"line":25,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿BlockStatement
1200¿Identifier¿¿1966¿e¿¿¿{"start":{"line":24,"column":13},"end":{"line":24,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1201¿BlockStatement¿¿1966¿¿¿¿{"start":{"line":16,"column":45},"end":{"line":26,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿BlockStatement
1202¿VariableDeclarator¿¿1964¿v119¿¿¿{"start":{"line":16,"column":2},"end":{"line":26,"column":4},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿VariableDeclarator
1203¿CallExpression¿¿1964¿¿¿¿{"start":{"line":16,"column":2},"end":{"line":26,"column":4},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿CallExpression
1204¿MemberExpression¿¿1964¿¿¿¿{"start":{"line":16,"column":2},"end":{"line":16,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿MemberExpression
1205¿Identifier¿¿1964¿v115¿¿¿¿¿Identifier
1206¿Identifier¿¿1964¿forEach¿¿¿{"start":{"line":16,"column":22},"end":{"line":16,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1207¿Identifier¿¿1964¿v118¿¿¿¿¿Identifier
1208¿ExpressionStatement¿¿1964¿¿¿¿{"start":{"line":16,"column":2},"end":{"line":26,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿ExpressionStatement
1209¿Identifier¿¿1964¿v119¿¿¿¿¿Identifier
1210¿BlockStatement¿¿1964¿¿¿¿{"start":{"line":14,"column":26},"end":{"line":27,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿BlockStatement
1211¿VariableDeclarator¿exported¿1962¿nextTick¿¿¿{"start":{"line":29,"column":0},"end":{"line":35,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿VariableDeclarator
1212¿FunctionExpression¿¿1962¿anon¿¿¿{"start":{"line":29,"column":0},"end":{"line":35,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿FunctionExpression
1213¿Identifier¿¿0¿callback¿¿¿{"start":{"line":29,"column":18},"end":{"line":29,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1214¿Identifier¿¿0¿delay¿¿¿{"start":{"line":29,"column":28},"end":{"line":29,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1215¿VariableDeclarator¿¿1970¿v120¿¿¿{"start":{"line":30,"column":16},"end":{"line":30,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿VariableDeclarator
1216¿UnaryExpression¿void¿1970¿¿¿¿{"start":{"line":30,"column":16},"end":{"line":30,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿UnaryExpression
1217¿Literal¿number¿1970¿¿0¿¿{"start":{"line":30,"column":21},"end":{"line":30,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Literal
1218¿VariableDeclarator¿¿1970¿v121¿¿¿{"start":{"line":30,"column":6},"end":{"line":30,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿VariableDeclarator
1219¿BinaryExpression¿===¿1970¿¿¿¿{"start":{"line":30,"column":6},"end":{"line":30,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿BinaryExpression
1220¿Identifier¿¿1970¿delay¿¿¿{"start":{"line":30,"column":6},"end":{"line":30,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1221¿Identifier¿¿1970¿v120¿¿¿¿¿Identifier
1222¿IfStatement¿¿1970¿¿¿¿{"start":{"line":30,"column":2},"end":{"line":32,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿IfStatement
1223¿Identifier¿¿1970¿v121¿¿¿¿¿Identifier
1224¿ExpressionStatement¿¿1970¿¿¿¿{"start":{"line":31,"column":4},"end":{"line":31,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿ExpressionStatement
1225¿AssignmentExpression¿=¿1970¿¿¿¿{"start":{"line":31,"column":4},"end":{"line":31,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿AssignmentExpression
1226¿Identifier¿¿1970¿delay¿¿¿{"start":{"line":31,"column":4},"end":{"line":31,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1227¿Literal¿number¿1970¿¿0¿¿{"start":{"line":31,"column":12},"end":{"line":31,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Literal
1228¿BlockStatement¿¿1970¿¿¿¿{"start":{"line":30,"column":24},"end":{"line":32,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿BlockStatement
1229¿VariableDeclarator¿¿1970¿v122¿¿¿{"start":{"line":34,"column":9},"end":{"line":34,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿VariableDeclarator
1230¿CallExpression¿¿1970¿¿¿¿{"start":{"line":34,"column":9},"end":{"line":34,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿CallExpression
1231¿Identifier¿¿1970¿setTimeout¿¿¿{"start":{"line":34,"column":9},"end":{"line":34,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1232¿Identifier¿¿1970¿callback¿¿¿{"start":{"line":34,"column":20},"end":{"line":34,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1233¿Identifier¿¿1970¿delay¿¿¿{"start":{"line":34,"column":30},"end":{"line":34,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿Identifier
1234¿ReturnStatement¿¿1970¿¿¿¿{"start":{"line":34,"column":2},"end":{"line":34,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿ReturnStatement
1235¿Identifier¿¿1970¿v122¿¿¿¿¿Identifier
1236¿BlockStatement¿¿1970¿¿¿¿{"start":{"line":29,"column":35},"end":{"line":35,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿BlockStatement
1237¿VariableDeclarator¿exported¿1962¿now¿¿¿{"start":{"line":37,"column":0},"end":{"line":39,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿VariableDeclarator
1238¿FunctionExpression¿¿1962¿anon¿¿¿{"start":{"line":37,"column":0},"end":{"line":39,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿FunctionExpression
1239¿VariableDeclarator¿¿1973¿v123¿¿¿{"start":{"line":38,"column":9},"end":{"line":38,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿VariableDeclarator
1240¿CallExpression¿¿1973¿¿¿¿{"start":{"line":38,"column":9},"end":{"line":38,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/swiper_6.5.0/src/utils.js"}¿¿CallExpression
