Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
875¿Program¿¿-1¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":174,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Program
889¿AssignmentExpression¿=¿1497¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿AssignmentExpression
890¿Identifier¿¿1497¿callback¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Identifier
891¿LogicalExpression¿||¿1497¿¿¿¿{"start":{"line":18,"column":15},"end":{"line":18,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿LogicalExpression
892¿Identifier¿¿1497¿callback¿¿¿{"start":{"line":18,"column":15},"end":{"line":18,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Identifier
893¿Identifier¿¿1497¿v63¿¿¿¿¿Identifier
894¿VariableDeclarator¿¿1497¿v64¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿VariableDeclarator
895¿UnaryExpression¿typeof¿1497¿¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿UnaryExpression
896¿Identifier¿¿1497¿options¿¿¿{"start":{"line":21,"column":15},"end":{"line":21,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Identifier
897¿VariableDeclarator¿¿1497¿v65¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿VariableDeclarator
898¿BinaryExpression¿==¿1497¿¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿BinaryExpression
899¿Identifier¿¿1497¿v64¿¿¿¿¿Identifier
900¿Literal¿string¿1497¿¿'function'¿¿{"start":{"line":21,"column":26},"end":{"line":21,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Literal
901¿IfStatement¿¿1497¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":24,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿IfStatement
902¿Identifier¿¿1497¿v65¿¿¿¿¿Identifier
903¿ExpressionStatement¿¿1497¿¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿ExpressionStatement
904¿AssignmentExpression¿=¿1497¿¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿AssignmentExpression
905¿Identifier¿¿1497¿callback¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Identifier
906¿Identifier¿¿1497¿options¿¿¿{"start":{"line":22,"column":19},"end":{"line":22,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Identifier
907¿ExpressionStatement¿¿1497¿¿¿¿{"start":{"line":23,"column":8},"end":{"line":23,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿ExpressionStatement
908¿AssignmentExpression¿=¿1497¿¿¿¿{"start":{"line":23,"column":8},"end":{"line":23,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿AssignmentExpression
909¿Identifier¿¿1497¿options¿¿¿{"start":{"line":23,"column":8},"end":{"line":23,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Identifier
910¿Literal¿object¿1497¿¿null¿¿{"start":{"line":23,"column":18},"end":{"line":23,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Literal
911¿BlockStatement¿¿1497¿¿¿¿{"start":{"line":21,"column":38},"end":{"line":24,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿BlockStatement
912¿VariableDeclarator¿¿1497¿v66¿¿¿{"start":{"line":26,"column":8},"end":{"line":26,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿VariableDeclarator
913¿UnaryExpression¿!¿1497¿¿¿¿{"start":{"line":26,"column":8},"end":{"line":26,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿UnaryExpression
914¿Identifier¿¿1497¿options¿¿¿{"start":{"line":26,"column":9},"end":{"line":26,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Identifier
915¿IfStatement¿¿1497¿¿¿¿{"start":{"line":26,"column":4},"end":{"line":30,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿IfStatement
916¿Identifier¿¿1497¿v66¿¿¿¿¿Identifier
917¿VariableDeclarator¿¿1497¿opts¿¿¿{"start":{"line":28,"column":12},"end":{"line":28,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿VariableDeclarator
918¿NewExpression¿¿1497¿¿¿¿{"start":{"line":28,"column":19},"end":{"line":28,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿NewExpression
919¿Identifier¿¿1497¿optionsBuilder¿¿¿{"start":{"line":28,"column":23},"end":{"line":28,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Identifier
920¿VariableDeclarator¿¿1497¿v67¿¿¿{"start":{"line":29,"column":18},"end":{"line":29,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿VariableDeclarator
921¿CallExpression¿¿1497¿¿¿¿{"start":{"line":29,"column":18},"end":{"line":29,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿CallExpression
922¿MemberExpression¿¿1497¿¿¿¿{"start":{"line":29,"column":18},"end":{"line":29,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿MemberExpression
923¿Identifier¿¿1497¿opts¿¿¿{"start":{"line":29,"column":18},"end":{"line":29,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Identifier
924¿Identifier¿¿1497¿follow_redirects¿¿¿{"start":{"line":29,"column":23},"end":{"line":29,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Identifier
925¿VariableDeclarator¿¿1497¿v68¿¿¿{"start":{"line":29,"column":18},"end":{"line":29,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿VariableDeclarator
926¿CallExpression¿¿1497¿¿¿¿{"start":{"line":29,"column":18},"end":{"line":29,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿CallExpression
927¿MemberExpression¿¿1497¿¿¿¿{"start":{"line":29,"column":18},"end":{"line":29,"column":48},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿MemberExpression
928¿Identifier¿¿1497¿v67¿¿¿¿¿Identifier
929¿Identifier¿¿1497¿silent¿¿¿{"start":{"line":29,"column":42},"end":{"line":29,"column":48},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Identifier
930¿VariableDeclarator¿¿1497¿v69¿¿¿{"start":{"line":29,"column":18},"end":{"line":29,"column":64},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿VariableDeclarator
931¿CallExpression¿¿1497¿¿¿¿{"start":{"line":29,"column":18},"end":{"line":29,"column":64},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿CallExpression
932¿MemberExpression¿¿1497¿¿¿¿{"start":{"line":29,"column":18},"end":{"line":29,"column":61},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿MemberExpression
933¿Identifier¿¿1497¿v68¿¿¿¿¿Identifier
934¿Identifier¿¿1497¿max_redirs¿¿¿{"start":{"line":29,"column":51},"end":{"line":29,"column":61},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Identifier
935¿Literal¿number¿1497¿¿5¿¿{"start":{"line":29,"column":62},"end":{"line":29,"column":63},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Literal
936¿ExpressionStatement¿¿1497¿¿¿¿{"start":{"line":29,"column":8},"end":{"line":29,"column":84},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿ExpressionStatement
937¿AssignmentExpression¿=¿1497¿¿¿¿{"start":{"line":29,"column":8},"end":{"line":29,"column":83},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿AssignmentExpression
938¿Identifier¿¿1497¿options¿¿¿{"start":{"line":29,"column":8},"end":{"line":29,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Identifier
939¿CallExpression¿¿1497¿¿¿¿{"start":{"line":29,"column":18},"end":{"line":29,"column":83},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿CallExpression
940¿MemberExpression¿¿1497¿¿¿¿{"start":{"line":29,"column":18},"end":{"line":29,"column":80},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿MemberExpression
941¿Identifier¿¿1497¿v69¿¿¿¿¿Identifier
942¿Identifier¿¿1497¿connect_timeout¿¿¿{"start":{"line":29,"column":65},"end":{"line":29,"column":80},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Identifier
943¿Literal¿number¿1497¿¿5¿¿{"start":{"line":29,"column":81},"end":{"line":29,"column":82},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Literal
944¿BlockStatement¿¿1497¿¿¿¿{"start":{"line":26,"column":18},"end":{"line":30,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿BlockStatement
945¿VariableDeclarator¿¿1497¿v70¿¿¿{"start":{"line":32,"column":21},"end":{"line":32,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿VariableDeclarator
946¿BinaryExpression¿+¿1497¿¿¿¿{"start":{"line":32,"column":21},"end":{"line":32,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿BinaryExpression
947¿Literal¿string¿1497¿¿'curl ''¿¿{"start":{"line":32,"column":21},"end":{"line":32,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Literal
948¿Identifier¿¿1497¿url¿¿¿{"start":{"line":32,"column":32},"end":{"line":32,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Identifier
949¿VariableDeclarator¿¿1497¿curlString¿¿¿{"start":{"line":32,"column":8},"end":{"line":32,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿VariableDeclarator
950¿BinaryExpression¿+¿1497¿¿¿¿{"start":{"line":32,"column":21},"end":{"line":32,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿BinaryExpression
951¿Identifier¿¿1497¿v70¿¿¿¿¿Identifier
952¿Literal¿string¿1497¿¿'' '¿¿{"start":{"line":32,"column":38},"end":{"line":32,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Literal
953¿ExpressionStatement¿¿1497¿¿¿¿{"start":{"line":34,"column":4},"end":{"line":34,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿ExpressionStatement
954¿AssignmentExpression¿+=¿1497¿¿¿¿{"start":{"line":34,"column":4},"end":{"line":34,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿AssignmentExpression
955¿Identifier¿¿1497¿curlString¿¿¿{"start":{"line":34,"column":4},"end":{"line":34,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Identifier
956¿CallExpression¿¿1497¿¿¿¿{"start":{"line":34,"column":18},"end":{"line":34,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿CallExpression
957¿MemberExpression¿¿1497¿¿¿¿{"start":{"line":34,"column":18},"end":{"line":34,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿MemberExpression
958¿Identifier¿¿1497¿options¿¿¿{"start":{"line":34,"column":18},"end":{"line":34,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Identifier
959¿Identifier¿¿1497¿stringify¿¿¿{"start":{"line":34,"column":26},"end":{"line":34,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Identifier
960¿TryStatement¿¿1497¿¿¿¿{"start":{"line":36,"column":4},"end":{"line":42,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿TryStatement
961¿VariableDeclarator¿¿1497¿v72¿¿¿{"start":{"line":37,"column":28},"end":{"line":39,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿VariableDeclarator
962¿FunctionExpression¿¿1497¿anon¿¿¿{"start":{"line":37,"column":28},"end":{"line":39,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿FunctionExpression
963¿Identifier¿¿0¿err¿¿¿{"start":{"line":37,"column":37},"end":{"line":37,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Identifier
964¿Identifier¿¿0¿stdout¿¿¿{"start":{"line":37,"column":42},"end":{"line":37,"column":48},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Identifier
965¿Identifier¿¿0¿stderr¿¿¿{"start":{"line":37,"column":50},"end":{"line":37,"column":56},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Identifier
966¿VariableDeclarator¿¿1503¿v71¿¿¿{"start":{"line":38,"column":12},"end":{"line":38,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿VariableDeclarator
967¿CallExpression¿¿1503¿¿¿¿{"start":{"line":38,"column":12},"end":{"line":38,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿CallExpression
968¿Identifier¿¿1503¿callback¿¿¿{"start":{"line":38,"column":12},"end":{"line":38,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Identifier
969¿Identifier¿¿1503¿err¿¿¿{"start":{"line":38,"column":21},"end":{"line":38,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Identifier
970¿Identifier¿¿1503¿stdout¿¿¿{"start":{"line":38,"column":26},"end":{"line":38,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Identifier
971¿Identifier¿¿1503¿stderr¿¿¿{"start":{"line":38,"column":34},"end":{"line":38,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Identifier
972¿ExpressionStatement¿¿1503¿¿¿¿{"start":{"line":38,"column":12},"end":{"line":38,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿ExpressionStatement
973¿Identifier¿¿1503¿v71¿¿¿¿¿Identifier
974¿BlockStatement¿¿1503¿¿¿¿{"start":{"line":37,"column":58},"end":{"line":39,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿BlockStatement
975¿VariableDeclarator¿¿1497¿v73¿¿¿{"start":{"line":37,"column":8},"end":{"line":39,"column":10},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿VariableDeclarator
976¿CallExpression¿¿1497¿¿¿¿{"start":{"line":37,"column":8},"end":{"line":39,"column":10},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿CallExpression
977¿MemberExpression¿¿1497¿¿¿¿{"start":{"line":37,"column":8},"end":{"line":37,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿MemberExpression
978¿Identifier¿¿1497¿cp¿¿¿{"start":{"line":37,"column":8},"end":{"line":37,"column":10},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Identifier
979¿Identifier¿¿1497¿exec¿¿¿{"start":{"line":37,"column":11},"end":{"line":37,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Identifier
980¿Identifier¿¿1497¿curlString¿¿¿{"start":{"line":37,"column":16},"end":{"line":37,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Identifier
981¿Identifier¿¿1497¿v72¿¿¿¿¿Identifier
982¿ExpressionStatement¿¿1497¿¿¿¿{"start":{"line":37,"column":8},"end":{"line":39,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿ExpressionStatement
983¿Identifier¿¿1497¿v73¿¿¿¿¿Identifier
984¿BlockStatement¿¿1497¿¿¿¿{"start":{"line":36,"column":8},"end":{"line":40,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿BlockStatement
985¿CatchClause¿¿1497¿¿¿¿{"start":{"line":40,"column":6},"end":{"line":42,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿CatchClause
986¿VariableDeclarator¿¿1497¿v74¿¿¿{"start":{"line":41,"column":8},"end":{"line":41,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿VariableDeclarator
987¿CallExpression¿¿1497¿¿¿¿{"start":{"line":41,"column":8},"end":{"line":41,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿CallExpression
988¿Identifier¿¿1497¿callback¿¿¿{"start":{"line":41,"column":8},"end":{"line":41,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Identifier
989¿Identifier¿¿1497¿err¿¿¿{"start":{"line":41,"column":17},"end":{"line":41,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Identifier
990¿Literal¿object¿1497¿¿null¿¿{"start":{"line":41,"column":22},"end":{"line":41,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Literal
991¿Literal¿object¿1497¿¿null¿¿{"start":{"line":41,"column":28},"end":{"line":41,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Literal
992¿ExpressionStatement¿¿1497¿¿¿¿{"start":{"line":41,"column":8},"end":{"line":41,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿ExpressionStatement
993¿Identifier¿¿1497¿v74¿¿¿¿¿Identifier
994¿BlockStatement¿¿1497¿¿¿¿{"start":{"line":40,"column":18},"end":{"line":42,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿BlockStatement
995¿Identifier¿¿1497¿err¿¿¿{"start":{"line":40,"column":13},"end":{"line":40,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Identifier
996¿BlockStatement¿¿1497¿¿¿¿{"start":{"line":15,"column":44},"end":{"line":43,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿BlockStatement
997¿VariableDeclarator¿¿1495¿optionsBuilder¿¿¿{"start":{"line":45,"column":4},"end":{"line":167,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿VariableDeclarator
998¿FunctionExpression¿¿1495¿anon¿¿¿{"start":{"line":45,"column":21},"end":{"line":167,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿FunctionExpression
999¿VariableDeclarator¿¿1506¿_string¿¿¿{"start":{"line":46,"column":8},"end":{"line":46,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿VariableDeclarator
1000¿Literal¿string¿1506¿¿''¿¿{"start":{"line":46,"column":23},"end":{"line":46,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Literal
1001¿VariableDeclarator¿¿1506¿_verboseOpt¿¿¿{"start":{"line":47,"column":8},"end":{"line":47,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿VariableDeclarator
1002¿Literal¿string¿1506¿¿'-v'¿¿{"start":{"line":47,"column":23},"end":{"line":47,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Literal
1003¿VariableDeclarator¿¿1506¿_redirectOpt¿¿¿{"start":{"line":48,"column":8},"end":{"line":48,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿VariableDeclarator
1004¿Literal¿string¿1506¿¿'-L'¿¿{"start":{"line":48,"column":23},"end":{"line":48,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Literal
1005¿VariableDeclarator¿¿1506¿_silentOpt¿¿¿{"start":{"line":49,"column":8},"end":{"line":49,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿VariableDeclarator
1006¿Literal¿string¿1506¿¿'-S'¿¿{"start":{"line":49,"column":23},"end":{"line":49,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Literal
1007¿VariableDeclarator¿¿1506¿_insecureOpt¿¿¿{"start":{"line":50,"column":8},"end":{"line":50,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿VariableDeclarator
1008¿Literal¿string¿1506¿¿'-k'¿¿{"start":{"line":50,"column":23},"end":{"line":50,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Literal
1009¿VariableDeclarator¿¿1506¿_postOpt¿¿¿{"start":{"line":51,"column":8},"end":{"line":51,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿VariableDeclarator
1010¿Literal¿string¿1506¿¿'--data'¿¿{"start":{"line":51,"column":23},"end":{"line":51,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Literal
1011¿VariableDeclarator¿¿1506¿_postUrlEncodeOpt¿¿¿{"start":{"line":52,"column":8},"end":{"line":52,"column":46},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿VariableDeclarator
1012¿Literal¿string¿1506¿¿'--data-urlencode'¿¿{"start":{"line":52,"column":28},"end":{"line":52,"column":46},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿Literal
1013¿VariableDeclarator¿¿1506¿_maxRedirsOpt¿¿¿{"start":{"line":53,"column":8},"end":{"line":53,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/curljs_0.1.2/src/index.js"}¿¿VariableDeclarator
