Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
3501¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":561,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Program
3599¿Literal¿number¿6181¿¿0¿¿{"start":{"line":26,"column":10},"end":{"line":26,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Literal
3600¿VariableDeclarator¿¿6181¿v383¿¿¿{"start":{"line":26,"column":6},"end":{"line":26,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿VariableDeclarator
3601¿BinaryExpression¿===¿6181¿¿¿¿{"start":{"line":26,"column":6},"end":{"line":26,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿BinaryExpression
3602¿Identifier¿¿6181¿v382¿¿¿¿¿Identifier
3603¿Literal¿string¿6181¿¿'-'¿¿{"start":{"line":26,"column":17},"end":{"line":26,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Literal
3604¿VariableDeclarator¿¿6181¿v384¿¿¿{"start":{"line":26,"column":24},"end":{"line":26,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿VariableDeclarator
3605¿CallExpression¿¿6181¿¿¿¿{"start":{"line":26,"column":24},"end":{"line":26,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿CallExpression
3606¿MemberExpression¿¿6181¿¿¿¿{"start":{"line":26,"column":24},"end":{"line":26,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿MemberExpression
3607¿Identifier¿¿6181¿Array¿¿¿{"start":{"line":26,"column":24},"end":{"line":26,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Identifier
3608¿Identifier¿¿6181¿isArray¿¿¿{"start":{"line":26,"column":30},"end":{"line":26,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Identifier
3609¿Identifier¿¿6181¿val¿¿¿{"start":{"line":26,"column":38},"end":{"line":26,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Identifier
3610¿VariableDeclarator¿¿6181¿v385¿¿¿{"start":{"line":26,"column":6},"end":{"line":26,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿VariableDeclarator
3611¿LogicalExpression¿&&¿6181¿¿¿¿{"start":{"line":26,"column":6},"end":{"line":26,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿LogicalExpression
3612¿Identifier¿¿6181¿v383¿¿¿¿¿Identifier
3613¿Identifier¿¿6181¿v384¿¿¿¿¿Identifier
3614¿VariableDeclarator¿¿6181¿v386¿¿¿{"start":{"line":26,"column":46},"end":{"line":26,"column":64},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿VariableDeclarator
3615¿CallExpression¿¿6181¿¿¿¿{"start":{"line":26,"column":46},"end":{"line":26,"column":64},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿CallExpression
3616¿MemberExpression¿¿6181¿¿¿¿{"start":{"line":26,"column":46},"end":{"line":26,"column":59},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿MemberExpression
3617¿Literal¿object¿6181¿¿/^-\d+$/¿¿{"start":{"line":26,"column":46},"end":{"line":26,"column":54},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Literal
3618¿Identifier¿¿6181¿test¿¿¿{"start":{"line":26,"column":55},"end":{"line":26,"column":59},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Identifier
3619¿Identifier¿¿6181¿key¿¿¿{"start":{"line":26,"column":60},"end":{"line":26,"column":63},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Identifier
3620¿VariableDeclarator¿¿6181¿v387¿¿¿{"start":{"line":26,"column":6},"end":{"line":26,"column":64},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿VariableDeclarator
3621¿LogicalExpression¿&&¿6181¿¿¿¿{"start":{"line":26,"column":6},"end":{"line":26,"column":64},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿LogicalExpression
3622¿Identifier¿¿6181¿v385¿¿¿¿¿Identifier
3623¿Identifier¿¿6181¿v386¿¿¿¿¿Identifier
3624¿IfStatement¿¿6181¿¿¿¿{"start":{"line":26,"column":2},"end":{"line":28,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿IfStatement
3625¿Identifier¿¿6181¿v387¿¿¿¿¿Identifier
3626¿VariableDeclarator¿¿6181¿v388¿¿¿{"start":{"line":27,"column":11},"end":{"line":27,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿VariableDeclarator
3627¿MemberExpression¿¿6181¿¿¿¿{"start":{"line":27,"column":11},"end":{"line":27,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿MemberExpression
3628¿Identifier¿¿6181¿val¿¿¿{"start":{"line":27,"column":11},"end":{"line":27,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Identifier
3629¿Identifier¿¿6181¿length¿¿¿{"start":{"line":27,"column":15},"end":{"line":27,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Identifier
3630¿VariableDeclarator¿¿6181¿v389¿¿¿{"start":{"line":27,"column":24},"end":{"line":27,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿VariableDeclarator
3631¿CallExpression¿¿6181¿¿¿¿{"start":{"line":27,"column":24},"end":{"line":27,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿CallExpression
3632¿Identifier¿¿6181¿parseInt¿¿¿{"start":{"line":27,"column":24},"end":{"line":27,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Identifier
3633¿Identifier¿¿6181¿key¿¿¿{"start":{"line":27,"column":33},"end":{"line":27,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Identifier
3634¿Literal¿number¿6181¿¿10¿¿{"start":{"line":27,"column":38},"end":{"line":27,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿Literal
3635¿VariableDeclarator¿¿6181¿v390¿¿¿{"start":{"line":27,"column":11},"end":{"line":27,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿VariableDeclarator
3636¿BinaryExpression¿+¿6181¿¿¿¿{"start":{"line":27,"column":11},"end":{"line":27,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿BinaryExpression
3637¿Identifier¿¿6181¿v388¿¿¿¿¿Identifier
3638¿Identifier¿¿6181¿v389¿¿¿¿¿Identifier
3639¿ReturnStatement¿¿6181¿¿¿¿{"start":{"line":27,"column":4},"end":{"line":27,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿ReturnStatement
3640¿Identifier¿¿6181¿v390¿¿¿¿¿Identifier
3641¿BlockStatement¿¿6181¿¿¿¿{"start":{"line":26,"column":66},"end":{"line":28,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿BlockStatement
3642¿ReturnStatement¿¿6181¿¿¿¿{"start":{"line":29,"column":2},"end":{"line":29,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/dot-object_2.1.2/src/index.js"}¿¿ReturnStatement
