Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1052¿Program¿¿-1¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":160,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Program
1076¿CallExpression¿¿1809¿¿¿¿{"start":{"line":12,"column":13},"end":{"line":12,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿CallExpression
1077¿Identifier¿¿1809¿require¿¿¿{"start":{"line":12,"column":13},"end":{"line":12,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Identifier
1078¿Literal¿string¿1809¿¿'glob'¿¿{"start":{"line":12,"column":21},"end":{"line":12,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Literal
1079¿VariableDeclarator¿¿1809¿which¿¿¿{"start":{"line":13,"column":6},"end":{"line":13,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿VariableDeclarator
1080¿CallExpression¿¿1809¿¿¿¿{"start":{"line":13,"column":14},"end":{"line":13,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿CallExpression
1081¿Identifier¿¿1809¿require¿¿¿{"start":{"line":13,"column":14},"end":{"line":13,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Identifier
1082¿Literal¿string¿1809¿¿'which'¿¿{"start":{"line":13,"column":22},"end":{"line":13,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Literal
1083¿VariableDeclarator¿exported¿1809¿hasNativeZip¿¿¿{"start":{"line":15,"column":0},"end":{"line":17,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿VariableDeclarator
1084¿FunctionExpression¿¿1809¿anon¿¿¿{"start":{"line":15,"column":0},"end":{"line":17,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿FunctionExpression
1085¿VariableDeclarator¿¿1811¿v83¿¿¿{"start":{"line":16,"column":35},"end":{"line":16,"column":52},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿VariableDeclarator
1086¿ObjectExpression¿¿1811¿¿¿¿{"start":{"line":16,"column":35},"end":{"line":16,"column":52},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿ObjectExpression
1087¿Property¿¿1811¿¿¿¿{"start":{"line":16,"column":37},"end":{"line":16,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Property
1088¿Identifier¿¿1811¿nothrow¿¿¿{"start":{"line":16,"column":37},"end":{"line":16,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Identifier
1089¿Literal¿boolean¿1811¿¿true¿¿{"start":{"line":16,"column":46},"end":{"line":16,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Literal
1090¿VariableDeclarator¿¿1811¿v84¿¿¿{"start":{"line":16,"column":17},"end":{"line":16,"column":53},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿VariableDeclarator
1091¿CallExpression¿¿1811¿¿¿¿{"start":{"line":16,"column":17},"end":{"line":16,"column":53},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿CallExpression
1092¿MemberExpression¿¿1811¿¿¿¿{"start":{"line":16,"column":17},"end":{"line":16,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿MemberExpression
1093¿Identifier¿¿1811¿which¿¿¿{"start":{"line":16,"column":17},"end":{"line":16,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Identifier
1094¿Identifier¿¿1811¿sync¿¿¿{"start":{"line":16,"column":23},"end":{"line":16,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Identifier
1095¿Literal¿string¿1811¿¿'zip'¿¿{"start":{"line":16,"column":28},"end":{"line":16,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Literal
1096¿Identifier¿¿1811¿v83¿¿¿¿¿Identifier
1097¿VariableDeclarator¿¿1811¿v85¿¿¿{"start":{"line":16,"column":9},"end":{"line":16,"column":54},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿VariableDeclarator
1098¿CallExpression¿¿1811¿¿¿¿{"start":{"line":16,"column":9},"end":{"line":16,"column":54},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿CallExpression
1099¿Identifier¿¿1811¿Boolean¿¿¿{"start":{"line":16,"column":9},"end":{"line":16,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Identifier
1100¿Identifier¿¿1811¿v84¿¿¿¿¿Identifier
1101¿ReturnStatement¿¿1811¿¿¿¿{"start":{"line":16,"column":2},"end":{"line":16,"column":55},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿ReturnStatement
1102¿Identifier¿¿1811¿v85¿¿¿¿¿Identifier
1103¿BlockStatement¿¿1811¿¿¿¿{"start":{"line":15,"column":24},"end":{"line":17,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿BlockStatement
1104¿VariableDeclarator¿¿1809¿nativeZip¿¿¿{"start":{"line":19,"column":6},"end":{"line":46,"column":4},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿VariableDeclarator
1105¿ArrowFunctionExpression¿¿1809¿¿¿¿{"start":{"line":19,"column":18},"end":{"line":46,"column":4},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿ArrowFunctionExpression
1106¿Identifier¿¿0¿options¿¿¿{"start":{"line":19,"column":18},"end":{"line":19,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Identifier
1107¿VariableDeclarator¿¿1813¿v104¿¿¿{"start":{"line":20,"column":14},"end":{"line":46,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿VariableDeclarator
1108¿ArrowFunctionExpression¿¿1813¿¿¿¿{"start":{"line":20,"column":14},"end":{"line":46,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿ArrowFunctionExpression
1109¿Identifier¿¿0¿resolve¿¿¿{"start":{"line":20,"column":15},"end":{"line":20,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Identifier
1110¿Identifier¿¿0¿reject¿¿¿{"start":{"line":20,"column":24},"end":{"line":20,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Identifier
1111¿VariableDeclarator¿¿1815¿sources¿¿¿{"start":{"line":21,"column":10},"end":{"line":23,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿VariableDeclarator
1112¿VariableDeclarator¿¿1815¿v86¿¿¿{"start":{"line":21,"column":34},"end":{"line":21,"column":48},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿VariableDeclarator
1113¿MemberExpression¿¿1815¿¿¿¿{"start":{"line":21,"column":34},"end":{"line":21,"column":48},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿MemberExpression
1114¿Identifier¿¿1815¿options¿¿¿{"start":{"line":21,"column":34},"end":{"line":21,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Identifier
1115¿Identifier¿¿1815¿source¿¿¿{"start":{"line":21,"column":42},"end":{"line":21,"column":48},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Identifier
1116¿VariableDeclarator¿¿1815¿v87¿¿¿{"start":{"line":21,"column":20},"end":{"line":21,"column":49},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿VariableDeclarator
1117¿CallExpression¿¿1815¿¿¿¿{"start":{"line":21,"column":20},"end":{"line":21,"column":49},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿CallExpression
1118¿MemberExpression¿¿1815¿¿¿¿{"start":{"line":21,"column":20},"end":{"line":21,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿MemberExpression
1119¿Identifier¿¿1815¿Array¿¿¿{"start":{"line":21,"column":20},"end":{"line":21,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Identifier
1120¿Identifier¿¿1815¿isArray¿¿¿{"start":{"line":21,"column":26},"end":{"line":21,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Identifier
1121¿Identifier¿¿1815¿v86¿¿¿¿¿Identifier
1122¿VariableDeclarator¿¿1815¿v88¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿VariableDeclarator
1123¿MemberExpression¿¿1815¿¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿MemberExpression
1124¿Identifier¿¿1815¿options¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Identifier
1125¿Identifier¿¿1815¿source¿¿¿{"start":{"line":22,"column":16},"end":{"line":22,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Identifier
1126¿VariableDeclarator¿¿1815¿v89¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿VariableDeclarator
1127¿CallExpression¿¿1815¿¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿CallExpression
1128¿MemberExpression¿¿1815¿¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿MemberExpression
1129¿Identifier¿¿1815¿v88¿¿¿¿¿Identifier
1130¿Identifier¿¿1815¿join¿¿¿{"start":{"line":22,"column":23},"end":{"line":22,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Identifier
1131¿Literal¿string¿1815¿¿' '¿¿{"start":{"line":22,"column":28},"end":{"line":22,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Literal
1132¿VariableDeclarator¿¿1815¿v90¿¿¿{"start":{"line":23,"column":8},"end":{"line":23,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿VariableDeclarator
1133¿MemberExpression¿¿1815¿¿¿¿{"start":{"line":23,"column":8},"end":{"line":23,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿MemberExpression
1134¿Identifier¿¿1815¿options¿¿¿{"start":{"line":23,"column":8},"end":{"line":23,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Identifier
1135¿Identifier¿¿1815¿source¿¿¿{"start":{"line":23,"column":16},"end":{"line":23,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Identifier
1136¿IfStatement¿¿1815¿¿¿¿{"start":{"line":21,"column":20},"end":{"line":23,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿IfStatement
1137¿Identifier¿¿1815¿v87¿¿¿¿¿Identifier
1138¿ExpressionStatement¿¿1815¿¿¿¿{"start":{"line":21,"column":20},"end":{"line":23,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿ExpressionStatement
1139¿AssignmentExpression¿=¿1815¿¿¿¿{"start":{"line":21,"column":20},"end":{"line":23,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿AssignmentExpression
1140¿Identifier¿¿1815¿sources¿¿¿{"start":{"line":21,"column":20},"end":{"line":23,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Identifier
1141¿Identifier¿¿1815¿v89¿¿¿¿¿Identifier
1142¿BlockStatement¿¿1815¿¿¿¿¿¿BlockStatement
1143¿ExpressionStatement¿¿1815¿¿¿¿{"start":{"line":21,"column":20},"end":{"line":23,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿ExpressionStatement
1144¿AssignmentExpression¿=¿1815¿¿¿¿{"start":{"line":21,"column":20},"end":{"line":23,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿AssignmentExpression
1145¿Identifier¿¿1815¿sources¿¿¿{"start":{"line":21,"column":20},"end":{"line":23,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Identifier
1146¿Identifier¿¿1815¿v90¿¿¿¿¿Identifier
1147¿BlockStatement¿¿1815¿¿¿¿¿¿BlockStatement
1148¿VariableDeclarator¿¿1815¿v91¿¿¿{"start":{"line":25,"column":6},"end":{"line":25,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿VariableDeclarator
1149¿MemberExpression¿¿1815¿¿¿¿{"start":{"line":25,"column":6},"end":{"line":25,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿MemberExpression
1150¿Identifier¿¿1815¿options¿¿¿{"start":{"line":25,"column":6},"end":{"line":25,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Identifier
1151¿Identifier¿¿1815¿destination¿¿¿{"start":{"line":25,"column":14},"end":{"line":25,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Identifier
1152¿VariableDeclarator¿¿1815¿command¿¿¿{"start":{"line":24,"column":10},"end":{"line":26,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿VariableDeclarator
1153¿TemplateLiteral¿¿1815¿¿¿¿{"start":{"line":24,"column":20},"end":{"line":26,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿TemplateLiteral
1154¿Identifier¿¿1815¿v91¿¿¿¿¿Identifier
1155¿Identifier¿¿1815¿sources¿¿¿{"start":{"line":26,"column":8},"end":{"line":26,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Identifier
1156¿VariableDeclarator¿¿1815¿v92¿¿¿{"start":{"line":29,"column":11},"end":{"line":29,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿VariableDeclarator
1157¿MemberExpression¿¿1815¿¿¿¿{"start":{"line":29,"column":11},"end":{"line":29,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿MemberExpression
1158¿Identifier¿¿1815¿options¿¿¿{"start":{"line":29,"column":11},"end":{"line":29,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Identifier
1159¿Identifier¿¿1815¿cwd¿¿¿{"start":{"line":29,"column":19},"end":{"line":29,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Identifier
1160¿VariableDeclarator¿¿1815¿v93¿¿¿{"start":{"line":27,"column":40},"end":{"line":30,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿VariableDeclarator
1161¿ObjectExpression¿¿1815¿¿¿¿{"start":{"line":27,"column":40},"end":{"line":30,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿ObjectExpression
1162¿Property¿¿1815¿¿¿¿{"start":{"line":28,"column":6},"end":{"line":28,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Property
1163¿Identifier¿¿1815¿stdio¿¿¿{"start":{"line":28,"column":6},"end":{"line":28,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Identifier
1164¿Literal¿string¿1815¿¿'inherit'¿¿{"start":{"line":28,"column":13},"end":{"line":28,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Literal
1165¿Property¿¿1815¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Property
1166¿Identifier¿¿1815¿cwd¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Identifier
1167¿Identifier¿¿1815¿v92¿¿¿¿¿Identifier
1168¿VariableDeclarator¿¿1815¿zipProcess¿¿¿{"start":{"line":27,"column":10},"end":{"line":30,"column":6},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿VariableDeclarator
1169¿CallExpression¿¿1815¿¿¿¿{"start":{"line":27,"column":23},"end":{"line":30,"column":6},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿CallExpression
1170¿MemberExpression¿¿1815¿¿¿¿{"start":{"line":27,"column":23},"end":{"line":27,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿MemberExpression
1171¿Identifier¿¿1815¿cp¿¿¿{"start":{"line":27,"column":23},"end":{"line":27,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Identifier
1172¿Identifier¿¿1815¿exec¿¿¿{"start":{"line":27,"column":26},"end":{"line":27,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Identifier
1173¿Identifier¿¿1815¿command¿¿¿{"start":{"line":27,"column":31},"end":{"line":27,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Identifier
1174¿Identifier¿¿1815¿v93¿¿¿¿¿Identifier
1175¿VariableDeclarator¿¿1815¿v94¿¿¿{"start":{"line":31,"column":4},"end":{"line":31,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿VariableDeclarator
1176¿CallExpression¿¿1815¿¿¿¿{"start":{"line":31,"column":4},"end":{"line":31,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿CallExpression
1177¿MemberExpression¿¿1815¿¿¿¿{"start":{"line":31,"column":4},"end":{"line":31,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿MemberExpression
1178¿Identifier¿¿1815¿zipProcess¿¿¿{"start":{"line":31,"column":4},"end":{"line":31,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Identifier
1179¿Identifier¿¿1815¿on¿¿¿{"start":{"line":31,"column":15},"end":{"line":31,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Identifier
1180¿Literal¿string¿1815¿¿'error'¿¿{"start":{"line":31,"column":18},"end":{"line":31,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Literal
1181¿Identifier¿¿1815¿reject¿¿¿{"start":{"line":31,"column":27},"end":{"line":31,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Identifier
1182¿ExpressionStatement¿¿1815¿¿¿¿{"start":{"line":31,"column":4},"end":{"line":31,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿ExpressionStatement
1183¿Identifier¿¿1815¿v94¿¿¿¿¿Identifier
1184¿VariableDeclarator¿¿1815¿v102¿¿¿{"start":{"line":32,"column":27},"end":{"line":45,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿VariableDeclarator
1185¿ArrowFunctionExpression¿¿1815¿¿¿¿{"start":{"line":32,"column":27},"end":{"line":45,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿ArrowFunctionExpression
1186¿Identifier¿¿0¿exitCode¿¿¿{"start":{"line":32,"column":27},"end":{"line":32,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/bestzip_2.1.6/src/bestzip.js"}¿¿Identifier
