Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
635¿Program¿¿-1¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":90,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Program
655¿Identifier¿¿1098¿v58¿¿¿¿¿Identifier
656¿VariableDeclarator¿¿1098¿v59¿¿¿{"start":{"line":11,"column":9},"end":{"line":11,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿VariableDeclarator
657¿CallExpression¿¿1098¿¿¿¿{"start":{"line":11,"column":9},"end":{"line":11,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿CallExpression
658¿Identifier¿¿1098¿require¿¿¿{"start":{"line":11,"column":9},"end":{"line":11,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
659¿Literal¿string¿1098¿¿'underscore.string'¿¿{"start":{"line":11,"column":18},"end":{"line":11,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Literal
660¿VariableDeclarator¿¿1098¿v60¿¿¿{"start":{"line":11,"column":9},"end":{"line":11,"column":49},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿VariableDeclarator
661¿CallExpression¿¿1098¿¿¿¿{"start":{"line":11,"column":9},"end":{"line":11,"column":49},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿CallExpression
662¿MemberExpression¿¿1098¿¿¿¿{"start":{"line":11,"column":9},"end":{"line":11,"column":47},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿MemberExpression
663¿Identifier¿¿1098¿v59¿¿¿¿¿Identifier
664¿Identifier¿¿1098¿exports¿¿¿{"start":{"line":11,"column":40},"end":{"line":11,"column":47},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
665¿VariableDeclarator¿¿1098¿v61¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":51},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿VariableDeclarator
666¿CallExpression¿¿1098¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":51},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿CallExpression
667¿MemberExpression¿¿1098¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":7},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿MemberExpression
668¿Identifier¿¿1098¿_¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
669¿Identifier¿¿1098¿mixin¿¿¿{"start":{"line":11,"column":2},"end":{"line":11,"column":7},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
670¿Identifier¿¿1098¿v60¿¿¿¿¿Identifier
671¿ExpressionStatement¿¿1098¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":52},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿ExpressionStatement
672¿Identifier¿¿1098¿v61¿¿¿¿¿Identifier
673¿VariableDeclarator¿¿1098¿deferredChildProcess¿¿¿{"start":{"line":13,"column":4},"end":{"line":79,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿VariableDeclarator
674¿FunctionExpression¿¿1098¿anon¿¿¿{"start":{"line":13,"column":27},"end":{"line":79,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿FunctionExpression
675¿Identifier¿¿0¿type¿¿¿{"start":{"line":13,"column":37},"end":{"line":13,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
676¿Identifier¿¿0¿command¿¿¿{"start":{"line":13,"column":43},"end":{"line":13,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
677¿Identifier¿¿0¿args¿¿¿{"start":{"line":13,"column":52},"end":{"line":13,"column":56},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
678¿Identifier¿¿0¿options¿¿¿{"start":{"line":13,"column":58},"end":{"line":13,"column":65},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
679¿VariableDeclarator¿¿1100¿v62¿¿¿{"start":{"line":14,"column":23},"end":{"line":14,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿VariableDeclarator
680¿ObjectExpression¿¿1100¿¿¿¿{"start":{"line":14,"column":23},"end":{"line":14,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿ObjectExpression
681¿ExpressionStatement¿¿1100¿¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿ExpressionStatement
682¿AssignmentExpression¿=¿1100¿¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿AssignmentExpression
683¿Identifier¿¿1100¿options¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
684¿LogicalExpression¿||¿1100¿¿¿¿{"start":{"line":14,"column":12},"end":{"line":14,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿LogicalExpression
685¿Identifier¿¿1100¿options¿¿¿{"start":{"line":14,"column":12},"end":{"line":14,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
686¿Identifier¿¿1100¿v62¿¿¿¿¿Identifier
687¿VariableDeclarator¿¿1100¿v63¿¿¿{"start":{"line":15,"column":17},"end":{"line":15,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿VariableDeclarator
688¿ArrayExpression¿¿1100¿¿¿¿{"start":{"line":15,"column":17},"end":{"line":15,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿ArrayExpression
689¿ExpressionStatement¿¿1100¿¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿ExpressionStatement
690¿AssignmentExpression¿=¿1100¿¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿AssignmentExpression
691¿Identifier¿¿1100¿args¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":6},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
692¿LogicalExpression¿||¿1100¿¿¿¿{"start":{"line":15,"column":9},"end":{"line":15,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿LogicalExpression
693¿Identifier¿¿1100¿args¿¿¿{"start":{"line":15,"column":9},"end":{"line":15,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
694¿Identifier¿¿1100¿v63¿¿¿¿¿Identifier
695¿VariableDeclarator¿¿1100¿v64¿¿¿{"start":{"line":18,"column":7},"end":{"line":18,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿VariableDeclarator
696¿BinaryExpression¿===¿1100¿¿¿¿{"start":{"line":18,"column":7},"end":{"line":18,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿BinaryExpression
697¿Identifier¿¿1100¿type¿¿¿{"start":{"line":18,"column":7},"end":{"line":18,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
698¿Literal¿string¿1100¿¿'exec'¿¿{"start":{"line":18,"column":16},"end":{"line":18,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Literal
699¿IfStatement¿¿1100¿¿¿¿{"start":{"line":18,"column":2},"end":{"line":20,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿IfStatement
700¿Identifier¿¿1100¿v64¿¿¿¿¿Identifier
701¿ExpressionStatement¿¿1100¿¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿ExpressionStatement
702¿AssignmentExpression¿=¿1100¿¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿AssignmentExpression
703¿Identifier¿¿1100¿options¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
704¿Identifier¿¿1100¿args¿¿¿{"start":{"line":19,"column":14},"end":{"line":19,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
705¿BlockStatement¿¿1100¿¿¿¿{"start":{"line":18,"column":25},"end":{"line":20,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿BlockStatement
706¿VariableDeclarator¿¿1100¿dfd¿¿¿{"start":{"line":22,"column":6},"end":{"line":22,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿VariableDeclarator
707¿CallExpression¿¿1100¿¿¿¿{"start":{"line":22,"column":12},"end":{"line":22,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿CallExpression
708¿MemberExpression¿¿1100¿¿¿¿{"start":{"line":22,"column":12},"end":{"line":22,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿MemberExpression
709¿Identifier¿¿1100¿_¿¿¿{"start":{"line":22,"column":12},"end":{"line":22,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
710¿Identifier¿¿1100¿Deferred¿¿¿{"start":{"line":22,"column":14},"end":{"line":22,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
711¿VariableDeclarator¿¿1100¿trim¿¿¿{"start":{"line":23,"column":6},"end":{"line":23,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿VariableDeclarator
712¿MemberExpression¿¿1100¿¿¿¿{"start":{"line":23,"column":13},"end":{"line":23,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿MemberExpression
713¿Identifier¿¿1100¿_¿¿¿{"start":{"line":23,"column":13},"end":{"line":23,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
714¿Identifier¿¿1100¿rtrim¿¿¿{"start":{"line":23,"column":15},"end":{"line":23,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
715¿VariableDeclarator¿¿1100¿v65¿¿¿{"start":{"line":25,"column":7},"end":{"line":25,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿VariableDeclarator
716¿MemberExpression¿¿1100¿¿¿¿{"start":{"line":25,"column":7},"end":{"line":25,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿MemberExpression
717¿Identifier¿¿1100¿options¿¿¿{"start":{"line":25,"column":7},"end":{"line":25,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
718¿Identifier¿¿1100¿trim¿¿¿{"start":{"line":25,"column":15},"end":{"line":25,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
719¿VariableDeclarator¿¿1100¿v66¿¿¿{"start":{"line":25,"column":7},"end":{"line":25,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿VariableDeclarator
720¿BinaryExpression¿===¿1100¿¿¿¿{"start":{"line":25,"column":7},"end":{"line":25,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿BinaryExpression
721¿Identifier¿¿1100¿v65¿¿¿¿¿Identifier
722¿Literal¿boolean¿1100¿¿false¿¿{"start":{"line":25,"column":24},"end":{"line":25,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Literal
723¿IfStatement¿¿1100¿¿¿¿{"start":{"line":25,"column":2},"end":{"line":27,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿IfStatement
724¿Identifier¿¿1100¿v66¿¿¿¿¿Identifier
725¿VariableDeclarator¿¿1100¿trim¿¿¿{"start":{"line":26,"column":8},"end":{"line":26,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿VariableDeclarator
726¿FunctionExpression¿¿1100¿anon¿¿¿{"start":{"line":26,"column":15},"end":{"line":26,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿FunctionExpression
727¿Identifier¿¿0¿a¿¿¿{"start":{"line":26,"column":24},"end":{"line":26,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
728¿ReturnStatement¿¿1103¿¿¿¿{"start":{"line":26,"column":28},"end":{"line":26,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿ReturnStatement
729¿Identifier¿¿1103¿a¿¿¿{"start":{"line":26,"column":35},"end":{"line":26,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
730¿BlockStatement¿¿1103¿¿¿¿{"start":{"line":26,"column":26},"end":{"line":26,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿BlockStatement
731¿BlockStatement¿¿1100¿¿¿¿{"start":{"line":25,"column":32},"end":{"line":27,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿BlockStatement
732¿VariableDeclarator¿¿1100¿hollaback¿¿¿{"start":{"line":29,"column":6},"end":{"line":35,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿VariableDeclarator
733¿FunctionExpression¿¿1100¿anon¿¿¿{"start":{"line":29,"column":18},"end":{"line":35,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿FunctionExpression
734¿Identifier¿¿0¿error¿¿¿{"start":{"line":29,"column":28},"end":{"line":29,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
735¿Identifier¿¿0¿stdout¿¿¿{"start":{"line":29,"column":35},"end":{"line":29,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
736¿Identifier¿¿0¿stderr¿¿¿{"start":{"line":29,"column":43},"end":{"line":29,"column":49},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
737¿VariableDeclarator¿¿1106¿v67¿¿¿{"start":{"line":30,"column":9},"end":{"line":30,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿VariableDeclarator
738¿BinaryExpression¿!==¿1106¿¿¿¿{"start":{"line":30,"column":9},"end":{"line":30,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿BinaryExpression
739¿Identifier¿¿1106¿error¿¿¿{"start":{"line":30,"column":9},"end":{"line":30,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
740¿Literal¿object¿1106¿¿null¿¿{"start":{"line":30,"column":19},"end":{"line":30,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Literal
741¿IfStatement¿¿1106¿¿¿¿{"start":{"line":30,"column":4},"end":{"line":34,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿IfStatement
742¿Identifier¿¿1106¿v67¿¿¿¿¿Identifier
743¿VariableDeclarator¿¿1106¿v68¿¿¿{"start":{"line":31,"column":6},"end":{"line":31,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿VariableDeclarator
744¿CallExpression¿¿1106¿¿¿¿{"start":{"line":31,"column":6},"end":{"line":31,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿CallExpression
745¿MemberExpression¿¿1106¿¿¿¿{"start":{"line":31,"column":6},"end":{"line":31,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿MemberExpression
746¿Identifier¿¿1106¿dfd¿¿¿{"start":{"line":31,"column":6},"end":{"line":31,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
747¿Identifier¿¿1106¿reject¿¿¿{"start":{"line":31,"column":10},"end":{"line":31,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
748¿Identifier¿¿1106¿error¿¿¿{"start":{"line":31,"column":18},"end":{"line":31,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
749¿Identifier¿¿1106¿stdout¿¿¿{"start":{"line":31,"column":25},"end":{"line":31,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
750¿Identifier¿¿1106¿stderr¿¿¿{"start":{"line":31,"column":33},"end":{"line":31,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
751¿Identifier¿¿1106¿command¿¿¿{"start":{"line":31,"column":41},"end":{"line":31,"column":48},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
752¿ExpressionStatement¿¿1106¿¿¿¿{"start":{"line":31,"column":6},"end":{"line":31,"column":51},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿ExpressionStatement
753¿Identifier¿¿1106¿v68¿¿¿¿¿Identifier
754¿BlockStatement¿¿1106¿¿¿¿{"start":{"line":30,"column":26},"end":{"line":32,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿BlockStatement
755¿VariableDeclarator¿¿1106¿v69¿¿¿{"start":{"line":33,"column":19},"end":{"line":33,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿VariableDeclarator
756¿CallExpression¿¿1106¿¿¿¿{"start":{"line":33,"column":19},"end":{"line":33,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿CallExpression
757¿Identifier¿¿1106¿trim¿¿¿{"start":{"line":33,"column":19},"end":{"line":33,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
758¿Identifier¿¿1106¿stdout¿¿¿{"start":{"line":33,"column":25},"end":{"line":33,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
759¿VariableDeclarator¿¿1106¿v70¿¿¿{"start":{"line":33,"column":35},"end":{"line":33,"column":49},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿VariableDeclarator
760¿CallExpression¿¿1106¿¿¿¿{"start":{"line":33,"column":35},"end":{"line":33,"column":49},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿CallExpression
761¿Identifier¿¿1106¿trim¿¿¿{"start":{"line":33,"column":35},"end":{"line":33,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
762¿Identifier¿¿1106¿stderr¿¿¿{"start":{"line":33,"column":41},"end":{"line":33,"column":47},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿Identifier
763¿VariableDeclarator¿¿1106¿v71¿¿¿{"start":{"line":33,"column":6},"end":{"line":33,"column":60},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿VariableDeclarator
764¿CallExpression¿¿1106¿¿¿¿{"start":{"line":33,"column":6},"end":{"line":33,"column":60},"fname":"/datasets/secbench-dataset/CWE-78/deferred-exec_0.3.1/src/deferred-exec.js"}¿¿CallExpression
