Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
756¿Program¿¿-1¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":85,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Program
771¿CallExpression¿¿1307¿¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿CallExpression
772¿Identifier¿¿1307¿require¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
773¿Literal¿string¿1307¿¿'path'¿¿{"start":{"line":5,"column":19},"end":{"line":5,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Literal
774¿VariableDeclarator¿¿1307¿utils¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿VariableDeclarator
775¿CallExpression¿¿1307¿¿¿¿{"start":{"line":6,"column":12},"end":{"line":6,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿CallExpression
776¿Identifier¿¿1307¿require¿¿¿{"start":{"line":6,"column":12},"end":{"line":6,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
777¿Literal¿string¿1307¿¿'./utils'¿¿{"start":{"line":6,"column":20},"end":{"line":6,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Literal
778¿VariableDeclarator¿exported¿1307¿HttpServer¿¿¿{"start":{"line":8,"column":0},"end":{"line":74,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿VariableDeclarator
779¿FunctionExpression¿¿1307¿anon¿¿¿{"start":{"line":8,"column":0},"end":{"line":74,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿FunctionExpression
780¿Identifier¿¿0¿option¿¿¿{"start":{"line":8,"column":20},"end":{"line":8,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
781¿VariableDeclarator¿¿1309¿v104¿¿¿{"start":{"line":9,"column":35},"end":{"line":48,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿VariableDeclarator
782¿FunctionExpression¿¿1309¿anon¿¿¿{"start":{"line":9,"column":35},"end":{"line":48,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿FunctionExpression
783¿Identifier¿¿0¿req¿¿¿{"start":{"line":9,"column":45},"end":{"line":9,"column":48},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
784¿Identifier¿¿0¿res¿¿¿{"start":{"line":9,"column":50},"end":{"line":9,"column":53},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
785¿VariableDeclarator¿¿1311¿v71¿¿¿{"start":{"line":10,"column":45},"end":{"line":10,"column":52},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿VariableDeclarator
786¿MemberExpression¿¿1311¿¿¿¿{"start":{"line":10,"column":45},"end":{"line":10,"column":52},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿MemberExpression
787¿Identifier¿¿1311¿req¿¿¿{"start":{"line":10,"column":45},"end":{"line":10,"column":48},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
788¿Identifier¿¿1311¿url¿¿¿{"start":{"line":10,"column":49},"end":{"line":10,"column":52},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
789¿VariableDeclarator¿¿1311¿targetPath¿¿¿{"start":{"line":10,"column":12},"end":{"line":10,"column":53},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿VariableDeclarator
790¿CallExpression¿¿1311¿¿¿¿{"start":{"line":10,"column":25},"end":{"line":10,"column":53},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿CallExpression
791¿MemberExpression¿¿1311¿¿¿¿{"start":{"line":10,"column":25},"end":{"line":10,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿MemberExpression
792¿Identifier¿¿1311¿path¿¿¿{"start":{"line":10,"column":25},"end":{"line":10,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
793¿Identifier¿¿1311¿join¿¿¿{"start":{"line":10,"column":30},"end":{"line":10,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
794¿Identifier¿¿1311¿rootPath¿¿¿{"start":{"line":10,"column":35},"end":{"line":10,"column":43},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
795¿Identifier¿¿1311¿v71¿¿¿¿¿Identifier
796¿VariableDeclarator¿¿1311¿v72¿¿¿{"start":{"line":11,"column":12},"end":{"line":11,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿VariableDeclarator
797¿CallExpression¿¿1311¿¿¿¿{"start":{"line":11,"column":12},"end":{"line":11,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿CallExpression
798¿MemberExpression¿¿1311¿¿¿¿{"start":{"line":11,"column":12},"end":{"line":11,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿MemberExpression
799¿Identifier¿¿1311¿fs¿¿¿{"start":{"line":11,"column":12},"end":{"line":11,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
800¿Identifier¿¿1311¿existsSync¿¿¿{"start":{"line":11,"column":15},"end":{"line":11,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
801¿Identifier¿¿1311¿targetPath¿¿¿{"start":{"line":11,"column":26},"end":{"line":11,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
802¿IfStatement¿¿1311¿¿¿¿{"start":{"line":11,"column":8},"end":{"line":41,"column":9},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿IfStatement
803¿Identifier¿¿1311¿v72¿¿¿¿¿Identifier
804¿VariableDeclarator¿¿1311¿targetType¿¿¿{"start":{"line":12,"column":16},"end":{"line":12,"column":53},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿VariableDeclarator
805¿CallExpression¿¿1311¿¿¿¿{"start":{"line":12,"column":29},"end":{"line":12,"column":53},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿CallExpression
806¿MemberExpression¿¿1311¿¿¿¿{"start":{"line":12,"column":29},"end":{"line":12,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿MemberExpression
807¿Identifier¿¿1311¿fs¿¿¿{"start":{"line":12,"column":29},"end":{"line":12,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
808¿Identifier¿¿1311¿lstatSync¿¿¿{"start":{"line":12,"column":32},"end":{"line":12,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
809¿Identifier¿¿1311¿targetPath¿¿¿{"start":{"line":12,"column":42},"end":{"line":12,"column":52},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
810¿VariableDeclarator¿¿1311¿v73¿¿¿{"start":{"line":13,"column":16},"end":{"line":13,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿VariableDeclarator
811¿CallExpression¿¿1311¿¿¿¿{"start":{"line":13,"column":16},"end":{"line":13,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿CallExpression
812¿MemberExpression¿¿1311¿¿¿¿{"start":{"line":13,"column":16},"end":{"line":13,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿MemberExpression
813¿Identifier¿¿1311¿targetType¿¿¿{"start":{"line":13,"column":16},"end":{"line":13,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
814¿Identifier¿¿1311¿isFile¿¿¿{"start":{"line":13,"column":27},"end":{"line":13,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
815¿IfStatement¿¿1311¿¿¿¿{"start":{"line":13,"column":12},"end":{"line":37,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿IfStatement
816¿Identifier¿¿1311¿v73¿¿¿¿¿Identifier
817¿VariableDeclarator¿¿1311¿v74¿¿¿{"start":{"line":14,"column":24},"end":{"line":14,"column":51},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿VariableDeclarator
818¿CallExpression¿¿1311¿¿¿¿{"start":{"line":14,"column":24},"end":{"line":14,"column":51},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿CallExpression
819¿MemberExpression¿¿1311¿¿¿¿{"start":{"line":14,"column":24},"end":{"line":14,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿MemberExpression
820¿Identifier¿¿1311¿fs¿¿¿{"start":{"line":14,"column":24},"end":{"line":14,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
821¿Identifier¿¿1311¿readFileSync¿¿¿{"start":{"line":14,"column":27},"end":{"line":14,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
822¿Identifier¿¿1311¿targetPath¿¿¿{"start":{"line":14,"column":40},"end":{"line":14,"column":50},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
823¿VariableDeclarator¿¿1311¿v75¿¿¿{"start":{"line":14,"column":16},"end":{"line":14,"column":52},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿VariableDeclarator
824¿CallExpression¿¿1311¿¿¿¿{"start":{"line":14,"column":16},"end":{"line":14,"column":52},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿CallExpression
825¿MemberExpression¿¿1311¿¿¿¿{"start":{"line":14,"column":16},"end":{"line":14,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿MemberExpression
826¿Identifier¿¿1311¿res¿¿¿{"start":{"line":14,"column":16},"end":{"line":14,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
827¿Identifier¿¿1311¿end¿¿¿{"start":{"line":14,"column":20},"end":{"line":14,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
828¿Identifier¿¿1311¿v74¿¿¿¿¿Identifier
829¿ExpressionStatement¿¿1311¿¿¿¿{"start":{"line":14,"column":16},"end":{"line":14,"column":52},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿ExpressionStatement
830¿Identifier¿¿1311¿v75¿¿¿¿¿Identifier
831¿BlockStatement¿¿1311¿¿¿¿{"start":{"line":13,"column":37},"end":{"line":15,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿BlockStatement
832¿VariableDeclarator¿¿1311¿v76¿¿¿{"start":{"line":15,"column":23},"end":{"line":15,"column":47},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿VariableDeclarator
833¿CallExpression¿¿1311¿¿¿¿{"start":{"line":15,"column":23},"end":{"line":15,"column":47},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿CallExpression
834¿MemberExpression¿¿1311¿¿¿¿{"start":{"line":15,"column":23},"end":{"line":15,"column":45},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿MemberExpression
835¿Identifier¿¿1311¿targetType¿¿¿{"start":{"line":15,"column":23},"end":{"line":15,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
836¿Identifier¿¿1311¿isDirectory¿¿¿{"start":{"line":15,"column":34},"end":{"line":15,"column":45},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
837¿IfStatement¿¿1311¿¿¿¿{"start":{"line":15,"column":19},"end":{"line":37,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿IfStatement
838¿Identifier¿¿1311¿v76¿¿¿¿¿Identifier
839¿VariableDeclarator¿¿1311¿v92¿¿¿{"start":{"line":16,"column":39},"end":{"line":34,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿VariableDeclarator
840¿FunctionExpression¿¿1311¿anon¿¿¿{"start":{"line":16,"column":39},"end":{"line":34,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿FunctionExpression
841¿Identifier¿¿0¿error¿¿¿{"start":{"line":16,"column":49},"end":{"line":16,"column":54},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
842¿Identifier¿¿0¿list¿¿¿{"start":{"line":16,"column":56},"end":{"line":16,"column":60},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
843¿IfStatement¿¿1313¿¿¿¿{"start":{"line":17,"column":20},"end":{"line":20,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿IfStatement
844¿Identifier¿¿1313¿error¿¿¿{"start":{"line":17,"column":24},"end":{"line":17,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
845¿VariableDeclarator¿¿1313¿v77¿¿¿{"start":{"line":18,"column":24},"end":{"line":18,"column":42},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿VariableDeclarator
846¿CallExpression¿¿1313¿¿¿¿{"start":{"line":18,"column":24},"end":{"line":18,"column":42},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿CallExpression
847¿MemberExpression¿¿1313¿¿¿¿{"start":{"line":18,"column":24},"end":{"line":18,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿MemberExpression
848¿Identifier¿¿1313¿console¿¿¿{"start":{"line":18,"column":24},"end":{"line":18,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
849¿Identifier¿¿1313¿log¿¿¿{"start":{"line":18,"column":32},"end":{"line":18,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
850¿Identifier¿¿1313¿error¿¿¿{"start":{"line":18,"column":36},"end":{"line":18,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
851¿ExpressionStatement¿¿1313¿¿¿¿{"start":{"line":18,"column":24},"end":{"line":18,"column":43},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿ExpressionStatement
852¿Identifier¿¿1313¿v77¿¿¿¿¿Identifier
853¿VariableDeclarator¿¿1313¿v78¿¿¿{"start":{"line":19,"column":32},"end":{"line":19,"column":48},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿VariableDeclarator
854¿CallExpression¿¿1313¿¿¿¿{"start":{"line":19,"column":32},"end":{"line":19,"column":48},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿CallExpression
855¿MemberExpression¿¿1313¿¿¿¿{"start":{"line":19,"column":32},"end":{"line":19,"column":46},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿MemberExpression
856¿Identifier¿¿1313¿error¿¿¿{"start":{"line":19,"column":32},"end":{"line":19,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
857¿Identifier¿¿1313¿toString¿¿¿{"start":{"line":19,"column":38},"end":{"line":19,"column":46},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
858¿VariableDeclarator¿¿1313¿v79¿¿¿{"start":{"line":19,"column":24},"end":{"line":19,"column":49},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿VariableDeclarator
859¿CallExpression¿¿1313¿¿¿¿{"start":{"line":19,"column":24},"end":{"line":19,"column":49},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿CallExpression
860¿MemberExpression¿¿1313¿¿¿¿{"start":{"line":19,"column":24},"end":{"line":19,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿MemberExpression
861¿Identifier¿¿1313¿res¿¿¿{"start":{"line":19,"column":24},"end":{"line":19,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
862¿Identifier¿¿1313¿end¿¿¿{"start":{"line":19,"column":28},"end":{"line":19,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
863¿Identifier¿¿1313¿v78¿¿¿¿¿Identifier
864¿ExpressionStatement¿¿1313¿¿¿¿{"start":{"line":19,"column":24},"end":{"line":19,"column":49},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿ExpressionStatement
865¿Identifier¿¿1313¿v79¿¿¿¿¿Identifier
866¿BlockStatement¿¿1313¿¿¿¿{"start":{"line":17,"column":31},"end":{"line":20,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿BlockStatement
867¿VariableDeclarator¿¿1313¿dirs¿¿¿{"start":{"line":21,"column":24},"end":{"line":21,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿VariableDeclarator
868¿ArrayExpression¿¿1313¿¿¿¿{"start":{"line":21,"column":31},"end":{"line":21,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿ArrayExpression
869¿VariableDeclarator¿¿1313¿files¿¿¿{"start":{"line":22,"column":24},"end":{"line":22,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿VariableDeclarator
870¿ArrayExpression¿¿1313¿¿¿¿{"start":{"line":22,"column":32},"end":{"line":22,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿ArrayExpression
871¿VariableDeclarator¿¿1313¿v85¿¿¿{"start":{"line":23,"column":33},"end":{"line":30,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿VariableDeclarator
872¿FunctionExpression¿¿1313¿anon¿¿¿{"start":{"line":23,"column":33},"end":{"line":30,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿FunctionExpression
873¿Identifier¿¿0¿val¿¿¿{"start":{"line":23,"column":43},"end":{"line":23,"column":46},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
874¿VariableDeclarator¿¿1316¿v80¿¿¿{"start":{"line":24,"column":48},"end":{"line":24,"column":74},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿VariableDeclarator
875¿CallExpression¿¿1316¿¿¿¿{"start":{"line":24,"column":48},"end":{"line":24,"column":74},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿CallExpression
876¿MemberExpression¿¿1316¿¿¿¿{"start":{"line":24,"column":48},"end":{"line":24,"column":57},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿MemberExpression
877¿Identifier¿¿1316¿path¿¿¿{"start":{"line":24,"column":48},"end":{"line":24,"column":52},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
878¿Identifier¿¿1316¿join¿¿¿{"start":{"line":24,"column":53},"end":{"line":24,"column":57},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
879¿Identifier¿¿1316¿targetPath¿¿¿{"start":{"line":24,"column":58},"end":{"line":24,"column":68},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
880¿Identifier¿¿1316¿val¿¿¿{"start":{"line":24,"column":70},"end":{"line":24,"column":73},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
881¿VariableDeclarator¿¿1316¿file¿¿¿{"start":{"line":24,"column":28},"end":{"line":24,"column":75},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿VariableDeclarator
882¿CallExpression¿¿1316¿¿¿¿{"start":{"line":24,"column":35},"end":{"line":24,"column":75},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿CallExpression
883¿MemberExpression¿¿1316¿¿¿¿{"start":{"line":24,"column":35},"end":{"line":24,"column":47},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿MemberExpression
884¿Identifier¿¿1316¿fs¿¿¿{"start":{"line":24,"column":35},"end":{"line":24,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
885¿Identifier¿¿1316¿lstatSync¿¿¿{"start":{"line":24,"column":38},"end":{"line":24,"column":47},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
886¿Identifier¿¿1316¿v80¿¿¿¿¿Identifier
887¿VariableDeclarator¿¿1316¿v81¿¿¿{"start":{"line":25,"column":28},"end":{"line":25,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿VariableDeclarator
888¿CallExpression¿¿1316¿¿¿¿{"start":{"line":25,"column":28},"end":{"line":25,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿CallExpression
889¿MemberExpression¿¿1316¿¿¿¿{"start":{"line":25,"column":28},"end":{"line":25,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿MemberExpression
890¿Identifier¿¿1316¿file¿¿¿{"start":{"line":25,"column":28},"end":{"line":25,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
891¿Identifier¿¿1316¿isFile¿¿¿{"start":{"line":25,"column":33},"end":{"line":25,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿Identifier
892¿IfStatement¿¿1316¿¿¿¿{"start":{"line":25,"column":24},"end":{"line":29,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿IfStatement
893¿Identifier¿¿1316¿v81¿¿¿¿¿Identifier
894¿VariableDeclarator¿¿1316¿v82¿¿¿{"start":{"line":26,"column":28},"end":{"line":26,"column":43},"fname":"/datasets/secbench-dataset/CWE-22/m-server_1.4.0/src/index.js"}¿¿VariableDeclarator
