Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2361¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":271,"column":66},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿Program
2384¿VariableDeclarator¿¿4144¿v245¿¿¿{"start":{"line":1,"column":70},"end":{"line":1,"column":88},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿VariableDeclarator
2385¿CallExpression¿¿4144¿¿¿¿{"start":{"line":1,"column":85},"end":{"line":1,"column":88},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿CallExpression
2386¿Identifier¿¿4144¿f¿¿¿{"start":{"line":1,"column":85},"end":{"line":1,"column":86},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿Identifier
2387¿VariableDeclarator¿¿4144¿v246¿¿¿{"start":{"line":1,"column":89},"end":{"line":1,"column":102},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿VariableDeclarator
2388¿UnaryExpression¿typeof¿4144¿¿¿¿{"start":{"line":1,"column":89},"end":{"line":1,"column":102},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿UnaryExpression
2389¿Identifier¿¿4144¿define¿¿¿{"start":{"line":1,"column":96},"end":{"line":1,"column":102},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿Identifier
2390¿VariableDeclarator¿¿4144¿v247¿¿¿{"start":{"line":1,"column":89},"end":{"line":1,"column":115},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿VariableDeclarator
2391¿BinaryExpression¿===¿4144¿¿¿¿{"start":{"line":1,"column":89},"end":{"line":1,"column":115},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿BinaryExpression
2392¿Identifier¿¿4144¿v246¿¿¿¿¿Identifier
2393¿Literal¿string¿4144¿¿'function'¿¿{"start":{"line":1,"column":105},"end":{"line":1,"column":115},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿Literal
2394¿VariableDeclarator¿¿4144¿v248¿¿¿{"start":{"line":1,"column":117},"end":{"line":1,"column":127},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿VariableDeclarator
2395¿MemberExpression¿¿4144¿¿¿¿{"start":{"line":1,"column":117},"end":{"line":1,"column":127},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿MemberExpression
2396¿Identifier¿¿4144¿define¿¿¿{"start":{"line":1,"column":117},"end":{"line":1,"column":123},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿Identifier
2397¿Identifier¿¿4144¿amd¿¿¿{"start":{"line":1,"column":124},"end":{"line":1,"column":127},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿Identifier
2398¿VariableDeclarator¿¿4144¿v249¿¿¿{"start":{"line":1,"column":89},"end":{"line":1,"column":127},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿VariableDeclarator
2399¿LogicalExpression¿&&¿4144¿¿¿¿{"start":{"line":1,"column":89},"end":{"line":1,"column":127},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿LogicalExpression
2400¿Identifier¿¿4144¿v247¿¿¿¿¿Identifier
2401¿Identifier¿¿4144¿v248¿¿¿¿¿Identifier
2402¿VariableDeclarator¿¿4144¿v250¿¿¿{"start":{"line":1,"column":128},"end":{"line":1,"column":137},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿VariableDeclarator
2403¿CallExpression¿¿4144¿¿¿¿{"start":{"line":1,"column":128},"end":{"line":1,"column":137},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿CallExpression
2404¿Identifier¿¿4144¿define¿¿¿{"start":{"line":1,"column":128},"end":{"line":1,"column":134},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿Identifier
2405¿Identifier¿¿4144¿f¿¿¿{"start":{"line":1,"column":135},"end":{"line":1,"column":136},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿Identifier
2406¿VariableDeclarator¿¿4144¿v251¿¿¿{"start":{"line":1,"column":149},"end":{"line":1,"column":170},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿VariableDeclarator
2407¿CallExpression¿¿4144¿¿¿¿{"start":{"line":1,"column":167},"end":{"line":1,"column":170},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿CallExpression
2408¿Identifier¿¿4144¿f¿¿¿{"start":{"line":1,"column":167},"end":{"line":1,"column":168},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿Identifier
2409¿VariableDeclarator¿¿4144¿v252¿¿¿{"start":{"line":1,"column":89},"end":{"line":1,"column":171},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿VariableDeclarator
2410¿IfStatement¿¿4144¿¿¿¿{"start":{"line":1,"column":89},"end":{"line":1,"column":171},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿IfStatement
2411¿Identifier¿¿4144¿v249¿¿¿¿¿Identifier
2412¿ExpressionStatement¿¿4144¿¿¿¿{"start":{"line":1,"column":89},"end":{"line":1,"column":171},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿ExpressionStatement
2413¿AssignmentExpression¿=¿4144¿¿¿¿{"start":{"line":1,"column":89},"end":{"line":1,"column":171},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿AssignmentExpression
2414¿Identifier¿¿4144¿v252¿¿¿¿¿Identifier
2415¿Identifier¿¿4144¿v250¿¿¿¿¿Identifier
2416¿BlockStatement¿¿4144¿¿¿¿¿¿BlockStatement
2417¿ExpressionStatement¿¿4144¿¿¿¿{"start":{"line":1,"column":89},"end":{"line":1,"column":171},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿ExpressionStatement
2418¿AssignmentExpression¿=¿4144¿¿¿¿{"start":{"line":1,"column":89},"end":{"line":1,"column":171},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿AssignmentExpression
2419¿Identifier¿¿4144¿v252¿¿¿¿¿Identifier
2420¿SequenceExpression¿¿4144¿¿¿¿{"start":{"line":1,"column":139},"end":{"line":1,"column":170},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿SequenceExpression
2421¿AssignmentExpression¿=¿4144¿¿¿¿{"start":{"line":1,"column":139},"end":{"line":1,"column":148},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿AssignmentExpression
2422¿Identifier¿¿4144¿g¿¿¿{"start":{"line":1,"column":139},"end":{"line":1,"column":140},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿Identifier
2423¿LogicalExpression¿||¿4144¿¿¿¿{"start":{"line":1,"column":141},"end":{"line":1,"column":148},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿LogicalExpression
2424¿Identifier¿¿4144¿g¿¿¿{"start":{"line":1,"column":141},"end":{"line":1,"column":142},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿Identifier
2425¿Identifier¿¿4144¿self¿¿¿{"start":{"line":1,"column":144},"end":{"line":1,"column":148},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿Identifier
2426¿AssignmentExpression¿=¿4144¿¿¿¿{"start":{"line":1,"column":149},"end":{"line":1,"column":170},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿AssignmentExpression
2427¿MemberExpression¿computed¿4144¿¿¿¿{"start":{"line":1,"column":149},"end":{"line":1,"column":166},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿MemberExpression
2428¿Identifier¿¿4144¿g¿¿¿{"start":{"line":1,"column":149},"end":{"line":1,"column":150},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿Identifier
2429¿Literal¿string¿4144¿¿'smart-extend'¿¿{"start":{"line":1,"column":151},"end":{"line":1,"column":165},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿Literal
2430¿Identifier¿¿4144¿v251¿¿¿¿¿Identifier
2431¿BlockStatement¿¿4144¿¿¿¿¿¿BlockStatement
2432¿VariableDeclarator¿¿4144¿v253¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":171},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿VariableDeclarator
2433¿IfStatement¿¿4144¿¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":171},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿IfStatement
2434¿Identifier¿¿4144¿v244¿¿¿¿¿Identifier
2435¿ExpressionStatement¿¿4144¿¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":171},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿ExpressionStatement
2436¿AssignmentExpression¿=¿4144¿¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":171},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿AssignmentExpression
2437¿MemberExpression¿¿4144¿¿¿¿{"start":{"line":1,"column":70},"end":{"line":1,"column":84},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿MemberExpression
2438¿Identifier¿¿4144¿module¿¿¿{"start":{"line":1,"column":70},"end":{"line":1,"column":76},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿Identifier
2439¿Identifier¿¿4144¿exports¿¿¿{"start":{"line":1,"column":77},"end":{"line":1,"column":84},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿Identifier
2440¿Identifier¿¿4144¿v245¿¿¿¿¿Identifier
2441¿ExpressionStatement¿¿4144¿¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":171},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿ExpressionStatement
2442¿AssignmentExpression¿=¿4144¿¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":171},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿AssignmentExpression
2443¿Identifier¿¿4144¿v253¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":171},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿Identifier
2444¿MemberExpression¿¿4144¿¿¿¿{"start":{"line":1,"column":70},"end":{"line":1,"column":84},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿MemberExpression
2445¿Identifier¿¿4144¿module¿¿¿{"start":{"line":1,"column":70},"end":{"line":1,"column":76},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿Identifier
2446¿Identifier¿¿4144¿exports¿¿¿{"start":{"line":1,"column":77},"end":{"line":1,"column":84},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿Identifier
2447¿BlockStatement¿¿4144¿¿¿¿¿¿BlockStatement
2448¿ExpressionStatement¿¿4144¿¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":171},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿ExpressionStatement
2449¿AssignmentExpression¿=¿4144¿¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":171},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿AssignmentExpression
2450¿Identifier¿¿4144¿v253¿¿¿¿¿Identifier
2451¿Identifier¿¿4144¿v252¿¿¿¿¿Identifier
2452¿BlockStatement¿¿4144¿¿¿¿¿¿BlockStatement
2453¿ExpressionStatement¿¿4144¿¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":172},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿ExpressionStatement
2454¿Identifier¿¿4144¿v253¿¿¿¿¿Identifier
2455¿BlockStatement¿¿4144¿¿¿¿{"start":{"line":1,"column":14},"end":{"line":1,"column":173},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿BlockStatement
2456¿VariableDeclarator¿¿4142¿v477¿¿¿{"start":{"line":1,"column":179},"end":{"line":271,"column":63},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿VariableDeclarator
2457¿FunctionExpression¿¿4142¿anon¿¿¿{"start":{"line":1,"column":179},"end":{"line":271,"column":63},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿FunctionExpression
2458¿ExpressionStatement¿¿4148¿¿¿¿{"start":{"line":1,"column":190},"end":{"line":1,"column":203},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿ExpressionStatement
2459¿Literal¿string¿4148¿¿'use strict'¿¿{"start":{"line":1,"column":190},"end":{"line":1,"column":202},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿Literal
2460¿VariableDeclarator¿¿4148¿_typeof¿¿¿{"start":{"line":1,"column":203},"end":{"line":13,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿VariableDeclarator
2461¿FunctionExpression¿¿4148¿anon¿¿¿{"start":{"line":1,"column":203},"end":{"line":13,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿FunctionExpression
2462¿Identifier¿¿0¿obj¿¿¿{"start":{"line":1,"column":220},"end":{"line":1,"column":223},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿Identifier
2463¿VariableDeclarator¿¿4150¿v255¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":19},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿VariableDeclarator
2464¿UnaryExpression¿typeof¿4150¿¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":19},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿UnaryExpression
2465¿Identifier¿¿4150¿Symbol¿¿¿{"start":{"line":2,"column":13},"end":{"line":2,"column":19},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿Identifier
2466¿VariableDeclarator¿¿4150¿v256¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":34},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿VariableDeclarator
2467¿BinaryExpression¿===¿4150¿¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":34},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿BinaryExpression
2468¿Identifier¿¿4150¿v255¿¿¿¿¿Identifier
2469¿Literal¿string¿4150¿¿'function'¿¿{"start":{"line":2,"column":24},"end":{"line":2,"column":34},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿Literal
2470¿VariableDeclarator¿¿4150¿v257¿¿¿{"start":{"line":2,"column":45},"end":{"line":2,"column":60},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿VariableDeclarator
2471¿MemberExpression¿¿4150¿¿¿¿{"start":{"line":2,"column":45},"end":{"line":2,"column":60},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿MemberExpression
2472¿Identifier¿¿4150¿Symbol¿¿¿{"start":{"line":2,"column":45},"end":{"line":2,"column":51},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿Identifier
2473¿Identifier¿¿4150¿iterator¿¿¿{"start":{"line":2,"column":52},"end":{"line":2,"column":60},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿Identifier
2474¿VariableDeclarator¿¿4150¿v258¿¿¿{"start":{"line":2,"column":38},"end":{"line":2,"column":60},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿VariableDeclarator
2475¿UnaryExpression¿typeof¿4150¿¿¿¿{"start":{"line":2,"column":38},"end":{"line":2,"column":60},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿UnaryExpression
2476¿Identifier¿¿4150¿v257¿¿¿¿¿Identifier
2477¿VariableDeclarator¿¿4150¿v259¿¿¿{"start":{"line":2,"column":38},"end":{"line":2,"column":73},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿VariableDeclarator
2478¿BinaryExpression¿===¿4150¿¿¿¿{"start":{"line":2,"column":38},"end":{"line":2,"column":73},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿BinaryExpression
2479¿Identifier¿¿4150¿v258¿¿¿¿¿Identifier
2480¿Literal¿string¿4150¿¿'symbol'¿¿{"start":{"line":2,"column":65},"end":{"line":2,"column":73},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿Literal
2481¿VariableDeclarator¿¿4150¿v260¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":73},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿VariableDeclarator
2482¿LogicalExpression¿&&¿4150¿¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":73},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿LogicalExpression
2483¿Identifier¿¿4150¿v256¿¿¿¿¿Identifier
2484¿Identifier¿¿4150¿v259¿¿¿¿¿Identifier
2485¿IfStatement¿¿4150¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":10,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿IfStatement
2486¿Identifier¿¿4150¿v260¿¿¿¿¿Identifier
2487¿VariableDeclarator¿¿4150¿v262¿¿¿{"start":{"line":3,"column":4},"end":{"line":5,"column":5},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿VariableDeclarator
2488¿FunctionExpression¿¿4150¿anon¿¿¿{"start":{"line":3,"column":14},"end":{"line":5,"column":5},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿FunctionExpression
2489¿Identifier¿¿0¿obj¿¿¿{"start":{"line":3,"column":24},"end":{"line":3,"column":27},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿Identifier
2490¿VariableDeclarator¿¿4152¿v261¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":23},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿VariableDeclarator
2491¿UnaryExpression¿typeof¿4152¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":23},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿UnaryExpression
2492¿Identifier¿¿4152¿obj¿¿¿{"start":{"line":4,"column":20},"end":{"line":4,"column":23},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿Identifier
2493¿ReturnStatement¿¿4152¿¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":24},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿ReturnStatement
2494¿Identifier¿¿4152¿v261¿¿¿¿¿Identifier
2495¿BlockStatement¿¿4152¿¿¿¿{"start":{"line":3,"column":29},"end":{"line":5,"column":5},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿BlockStatement
2496¿ExpressionStatement¿¿4150¿¿¿¿{"start":{"line":3,"column":4},"end":{"line":5,"column":6},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿ExpressionStatement
2497¿AssignmentExpression¿=¿4150¿¿¿¿{"start":{"line":3,"column":4},"end":{"line":5,"column":5},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿AssignmentExpression
2498¿Identifier¿¿4150¿_typeof¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":11},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿Identifier
2499¿Identifier¿¿4150¿v262¿¿¿¿¿Identifier
2500¿BlockStatement¿¿4150¿¿¿¿{"start":{"line":2,"column":75},"end":{"line":6,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿BlockStatement
2501¿VariableDeclarator¿¿4150¿v274¿¿¿{"start":{"line":7,"column":4},"end":{"line":9,"column":5},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿VariableDeclarator
2502¿FunctionExpression¿¿4150¿anon¿¿¿{"start":{"line":7,"column":14},"end":{"line":9,"column":5},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿FunctionExpression
2503¿Identifier¿¿0¿obj¿¿¿{"start":{"line":7,"column":24},"end":{"line":7,"column":27},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿Identifier
2504¿VariableDeclarator¿¿4154¿v263¿¿¿{"start":{"line":8,"column":20},"end":{"line":8,"column":33},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿VariableDeclarator
2505¿UnaryExpression¿typeof¿4154¿¿¿¿{"start":{"line":8,"column":20},"end":{"line":8,"column":33},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿UnaryExpression
2506¿Identifier¿¿4154¿Symbol¿¿¿{"start":{"line":8,"column":27},"end":{"line":8,"column":33},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿Identifier
2507¿VariableDeclarator¿¿4154¿v264¿¿¿{"start":{"line":8,"column":20},"end":{"line":8,"column":48},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿VariableDeclarator
2508¿BinaryExpression¿===¿4154¿¿¿¿{"start":{"line":8,"column":20},"end":{"line":8,"column":48},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿BinaryExpression
2509¿Identifier¿¿4154¿v263¿¿¿¿¿Identifier
2510¿Literal¿string¿4154¿¿'function'¿¿{"start":{"line":8,"column":38},"end":{"line":8,"column":48},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿Literal
2511¿VariableDeclarator¿¿4154¿v265¿¿¿{"start":{"line":8,"column":13},"end":{"line":8,"column":48},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿VariableDeclarator
2512¿LogicalExpression¿&&¿4154¿¿¿¿{"start":{"line":8,"column":13},"end":{"line":8,"column":48},"fname":"/datasets/vulcan-dataset/CWE-471/801/src/smart-extend.js"}¿¿LogicalExpression
