Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
868¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":95,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Program
920¿ExpressionStatement¿¿1515¿¿¿¿{"start":{"line":17,"column":0},"end":{"line":17,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿ExpressionStatement
921¿AssignmentExpression¿=¿1515¿¿¿¿{"start":{"line":17,"column":0},"end":{"line":17,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿AssignmentExpression
922¿Identifier¿¿1515¿mdExts¿¿¿{"start":{"line":17,"column":0},"end":{"line":17,"column":6},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Identifier
923¿ArrayExpression¿¿1515¿¿¿¿{"start":{"line":17,"column":9},"end":{"line":17,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿ArrayExpression
924¿Literal¿string¿1515¿¿'.md'¿¿{"start":{"line":17,"column":10},"end":{"line":17,"column":15},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Literal
925¿Literal¿string¿1515¿¿'.markdown'¿¿{"start":{"line":17,"column":17},"end":{"line":17,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Literal
926¿VariableDeclarator¿¿1515¿v75¿¿¿{"start":{"line":20,"column":8},"end":{"line":20,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿VariableDeclarator
927¿MemberExpression¿¿1515¿¿¿¿{"start":{"line":20,"column":8},"end":{"line":20,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿MemberExpression
928¿Identifier¿¿1515¿pkg¿¿¿{"start":{"line":20,"column":8},"end":{"line":20,"column":11},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Identifier
929¿Identifier¿¿1515¿name¿¿¿{"start":{"line":20,"column":12},"end":{"line":20,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Identifier
930¿VariableDeclarator¿¿1515¿v76¿¿¿{"start":{"line":21,"column":11},"end":{"line":21,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿VariableDeclarator
931¿MemberExpression¿¿1515¿¿¿¿{"start":{"line":21,"column":11},"end":{"line":21,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿MemberExpression
932¿Identifier¿¿1515¿pkg¿¿¿{"start":{"line":21,"column":11},"end":{"line":21,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Identifier
933¿Identifier¿¿1515¿version¿¿¿{"start":{"line":21,"column":15},"end":{"line":21,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Identifier
934¿VariableDeclarator¿¿1515¿v82¿¿¿{"start":{"line":22,"column":15},"end":{"line":27,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿VariableDeclarator
935¿FunctionExpression¿¿1515¿anon¿¿¿{"start":{"line":22,"column":15},"end":{"line":27,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿FunctionExpression
936¿Identifier¿¿0¿options¿¿¿{"start":{"line":22,"column":24},"end":{"line":22,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Identifier
937¿VariableDeclarator¿¿1517¿v77¿¿¿{"start":{"line":23,"column":19},"end":{"line":23,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿VariableDeclarator
938¿MemberExpression¿¿1517¿¿¿¿{"start":{"line":23,"column":19},"end":{"line":23,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿MemberExpression
939¿Identifier¿¿1517¿options¿¿¿{"start":{"line":23,"column":19},"end":{"line":23,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Identifier
940¿Identifier¿¿1517¿template¿¿¿{"start":{"line":23,"column":27},"end":{"line":23,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Identifier
941¿VariableDeclarator¿¿1517¿v78¿¿¿{"start":{"line":23,"column":8},"end":{"line":23,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿VariableDeclarator
942¿LogicalExpression¿&&¿1517¿¿¿¿{"start":{"line":23,"column":8},"end":{"line":23,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿LogicalExpression
943¿Identifier¿¿1517¿options¿¿¿{"start":{"line":23,"column":8},"end":{"line":23,"column":15},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Identifier
944¿Identifier¿¿1517¿v77¿¿¿¿¿Identifier
945¿IfStatement¿¿1517¿¿¿¿{"start":{"line":23,"column":4},"end":{"line":25,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿IfStatement
946¿Identifier¿¿1517¿v78¿¿¿¿¿Identifier
947¿VariableDeclarator¿¿1517¿v79¿¿¿{"start":{"line":24,"column":24},"end":{"line":24,"column":40},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿VariableDeclarator
948¿MemberExpression¿¿1517¿¿¿¿{"start":{"line":24,"column":24},"end":{"line":24,"column":40},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿MemberExpression
949¿Identifier¿¿1517¿options¿¿¿{"start":{"line":24,"column":24},"end":{"line":24,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Identifier
950¿Identifier¿¿1517¿template¿¿¿{"start":{"line":24,"column":32},"end":{"line":24,"column":40},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Identifier
951¿VariableDeclarator¿¿1517¿v80¿¿¿{"start":{"line":24,"column":6},"end":{"line":24,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿VariableDeclarator
952¿CallExpression¿¿1517¿¿¿¿{"start":{"line":24,"column":6},"end":{"line":24,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿CallExpression
953¿MemberExpression¿¿1517¿¿¿¿{"start":{"line":24,"column":6},"end":{"line":24,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿MemberExpression
954¿ThisExpression¿¿1517¿¿¿¿{"start":{"line":24,"column":6},"end":{"line":24,"column":10},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿ThisExpression
955¿Identifier¿¿1517¿loadTemplate¿¿¿{"start":{"line":24,"column":11},"end":{"line":24,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Identifier
956¿Identifier¿¿1517¿v79¿¿¿¿¿Identifier
957¿ExpressionStatement¿¿1517¿¿¿¿{"start":{"line":24,"column":6},"end":{"line":24,"column":42},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿ExpressionStatement
958¿Identifier¿¿1517¿v80¿¿¿¿¿Identifier
959¿BlockStatement¿¿1517¿¿¿¿{"start":{"line":23,"column":37},"end":{"line":25,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿BlockStatement
960¿VariableDeclarator¿¿1517¿v81¿¿¿{"start":{"line":26,"column":11},"end":{"line":26,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿VariableDeclarator
961¿CallExpression¿¿1517¿¿¿¿{"start":{"line":26,"column":11},"end":{"line":26,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿CallExpression
962¿MemberExpression¿¿1517¿¿¿¿{"start":{"line":26,"column":11},"end":{"line":26,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿MemberExpression
963¿Identifier¿¿1517¿srv¿¿¿{"start":{"line":26,"column":11},"end":{"line":26,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Identifier
964¿Identifier¿¿1517¿apply¿¿¿{"start":{"line":26,"column":15},"end":{"line":26,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Identifier
965¿ThisExpression¿¿1517¿¿¿¿{"start":{"line":26,"column":21},"end":{"line":26,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿ThisExpression
966¿Identifier¿¿1517¿arguments¿¿¿{"start":{"line":26,"column":27},"end":{"line":26,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Identifier
967¿ReturnStatement¿¿1517¿¿¿¿{"start":{"line":26,"column":4},"end":{"line":26,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿ReturnStatement
968¿Identifier¿¿1517¿v81¿¿¿¿¿Identifier
969¿BlockStatement¿¿1517¿¿¿¿{"start":{"line":22,"column":33},"end":{"line":27,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿BlockStatement
970¿VariableDeclarator¿¿1515¿v119¿¿¿{"start":{"line":28,"column":14},"end":{"line":48,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿VariableDeclarator
971¿FunctionExpression¿¿1515¿anon¿¿¿{"start":{"line":28,"column":14},"end":{"line":48,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿FunctionExpression
972¿Identifier¿¿0¿req¿¿¿{"start":{"line":28,"column":23},"end":{"line":28,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Identifier
973¿Identifier¿¿0¿res¿¿¿{"start":{"line":28,"column":28},"end":{"line":28,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Identifier
974¿VariableDeclarator¿¿1520¿reqObj¿¿¿{"start":{"line":29,"column":8},"end":{"line":29,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿VariableDeclarator
975¿VariableDeclarator¿¿1520¿v83¿¿¿{"start":{"line":33,"column":11},"end":{"line":33,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿VariableDeclarator
976¿CallExpression¿¿1520¿¿¿¿{"start":{"line":33,"column":11},"end":{"line":33,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿CallExpression
977¿MemberExpression¿¿1520¿¿¿¿{"start":{"line":33,"column":11},"end":{"line":33,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿MemberExpression
978¿Identifier¿¿1520¿_¿¿¿{"start":{"line":33,"column":11},"end":{"line":33,"column":12},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Identifier
979¿Identifier¿¿1520¿random¿¿¿{"start":{"line":33,"column":13},"end":{"line":33,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Identifier
980¿Literal¿number¿1520¿¿0¿¿{"start":{"line":33,"column":20},"end":{"line":33,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Literal
981¿Literal¿number¿1520¿¿10000000¿¿{"start":{"line":33,"column":23},"end":{"line":33,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Literal
982¿VariableDeclarator¿¿1520¿v84¿¿¿{"start":{"line":34,"column":17},"end":{"line":34,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿VariableDeclarator
983¿NewExpression¿¿1520¿¿¿¿{"start":{"line":34,"column":17},"end":{"line":34,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿NewExpression
984¿Identifier¿¿1520¿Date¿¿¿{"start":{"line":34,"column":21},"end":{"line":34,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Identifier
985¿VariableDeclarator¿¿1520¿v85¿¿¿{"start":{"line":35,"column":21},"end":{"line":35,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿VariableDeclarator
986¿MemberExpression¿¿1520¿¿¿¿{"start":{"line":35,"column":21},"end":{"line":35,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿MemberExpression
987¿Identifier¿¿1520¿req¿¿¿{"start":{"line":35,"column":21},"end":{"line":35,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Identifier
988¿Identifier¿¿1520¿url¿¿¿{"start":{"line":35,"column":25},"end":{"line":35,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Identifier
989¿VariableDeclarator¿¿1520¿v86¿¿¿{"start":{"line":35,"column":11},"end":{"line":35,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿VariableDeclarator
990¿CallExpression¿¿1520¿¿¿¿{"start":{"line":35,"column":11},"end":{"line":35,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿CallExpression
991¿MemberExpression¿¿1520¿¿¿¿{"start":{"line":35,"column":11},"end":{"line":35,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿MemberExpression
992¿Identifier¿¿1520¿url¿¿¿{"start":{"line":35,"column":11},"end":{"line":35,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Identifier
993¿Identifier¿¿1520¿parse¿¿¿{"start":{"line":35,"column":15},"end":{"line":35,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Identifier
994¿Identifier¿¿1520¿v85¿¿¿¿¿Identifier
995¿VariableDeclarator¿¿1520¿v87¿¿¿{"start":{"line":35,"column":11},"end":{"line":35,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿VariableDeclarator
996¿MemberExpression¿¿1520¿¿¿¿{"start":{"line":35,"column":11},"end":{"line":35,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿MemberExpression
997¿Identifier¿¿1520¿v86¿¿¿¿¿Identifier
998¿Identifier¿¿1520¿pathname¿¿¿{"start":{"line":35,"column":30},"end":{"line":35,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿Identifier
999¿VariableDeclarator¿¿1520¿v88¿¿¿{"start":{"line":35,"column":11},"end":{"line":35,"column":57},"fname":"/datasets/secbench-dataset/CWE-22/gfm-srv_1.1.2/src/server.js"}¿¿VariableDeclarator
