Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1922¿Program¿¿-1¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":290,"column":2},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Program
1933¿Identifier¿¿3410¿require¿¿¿{"start":{"line":8,"column":9},"end":{"line":8,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Identifier
1934¿Literal¿string¿3410¿¿'fs'¿¿{"start":{"line":8,"column":17},"end":{"line":8,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Literal
1935¿VariableDeclarator¿¿3410¿path¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿VariableDeclarator
1936¿CallExpression¿¿3410¿¿¿¿{"start":{"line":9,"column":11},"end":{"line":9,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿CallExpression
1937¿Identifier¿¿3410¿require¿¿¿{"start":{"line":9,"column":11},"end":{"line":9,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Identifier
1938¿Literal¿string¿3410¿¿'path'¿¿{"start":{"line":9,"column":19},"end":{"line":9,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Literal
1939¿VariableDeclarator¿¿3410¿v176¿¿¿{"start":{"line":10,"column":13},"end":{"line":10,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿VariableDeclarator
1940¿MemberExpression¿¿3410¿¿¿¿{"start":{"line":10,"column":13},"end":{"line":10,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿MemberExpression
1941¿Identifier¿¿3410¿fs¿¿¿{"start":{"line":10,"column":13},"end":{"line":10,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Identifier
1942¿Identifier¿¿3410¿existsSync¿¿¿{"start":{"line":10,"column":16},"end":{"line":10,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Identifier
1943¿VariableDeclarator¿¿3410¿v177¿¿¿{"start":{"line":10,"column":30},"end":{"line":10,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿VariableDeclarator
1944¿MemberExpression¿¿3410¿¿¿¿{"start":{"line":10,"column":30},"end":{"line":10,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿MemberExpression
1945¿Identifier¿¿3410¿path¿¿¿{"start":{"line":10,"column":30},"end":{"line":10,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Identifier
1946¿Identifier¿¿3410¿existsSync¿¿¿{"start":{"line":10,"column":35},"end":{"line":10,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Identifier
1947¿VariableDeclarator¿¿3410¿exists¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿VariableDeclarator
1948¿LogicalExpression¿||¿3410¿¿¿¿{"start":{"line":10,"column":13},"end":{"line":10,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿LogicalExpression
1949¿Identifier¿¿3410¿v176¿¿¿¿¿Identifier
1950¿Identifier¿¿3410¿v177¿¿¿¿¿Identifier
1951¿VariableDeclarator¿¿3410¿os¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿VariableDeclarator
1952¿CallExpression¿¿3410¿¿¿¿{"start":{"line":11,"column":9},"end":{"line":11,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿CallExpression
1953¿Identifier¿¿3410¿require¿¿¿{"start":{"line":11,"column":9},"end":{"line":11,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Identifier
1954¿Literal¿string¿3410¿¿'os'¿¿{"start":{"line":11,"column":17},"end":{"line":11,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Literal
1955¿VariableDeclarator¿¿3410¿quote¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿VariableDeclarator
1956¿MemberExpression¿¿3410¿¿¿¿{"start":{"line":12,"column":12},"end":{"line":12,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿MemberExpression
1957¿Identifier¿¿3410¿JSON¿¿¿{"start":{"line":12,"column":12},"end":{"line":12,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Identifier
1958¿Identifier¿¿3410¿stringify¿¿¿{"start":{"line":12,"column":17},"end":{"line":12,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Identifier
1959¿VariableDeclarator¿¿3410¿cmd¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":7},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿VariableDeclarator
1960¿VariableDeclarator¿¿3410¿which¿¿¿{"start":{"line":15,"column":0},"end":{"line":23,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿VariableDeclarator
1961¿FunctionExpression¿¿3410¿anon¿¿¿{"start":{"line":15,"column":0},"end":{"line":23,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿FunctionExpression
1962¿Identifier¿¿0¿name¿¿¿{"start":{"line":15,"column":15},"end":{"line":15,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Identifier
1963¿VariableDeclarator¿¿3412¿v178¿¿¿{"start":{"line":16,"column":14},"end":{"line":16,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿VariableDeclarator
1964¿MemberExpression¿¿3412¿¿¿¿{"start":{"line":16,"column":14},"end":{"line":16,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿MemberExpression
1965¿Identifier¿¿3412¿process¿¿¿{"start":{"line":16,"column":14},"end":{"line":16,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Identifier
1966¿Identifier¿¿3412¿env¿¿¿{"start":{"line":16,"column":22},"end":{"line":16,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Identifier
1967¿VariableDeclarator¿¿3412¿v179¿¿¿{"start":{"line":16,"column":14},"end":{"line":16,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿VariableDeclarator
1968¿MemberExpression¿¿3412¿¿¿¿{"start":{"line":16,"column":14},"end":{"line":16,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿MemberExpression
1969¿Identifier¿¿3412¿v178¿¿¿¿¿Identifier
1970¿Identifier¿¿3412¿PATH¿¿¿{"start":{"line":16,"column":26},"end":{"line":16,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Identifier
1971¿VariableDeclarator¿¿3412¿paths¿¿¿{"start":{"line":16,"column":6},"end":{"line":16,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿VariableDeclarator
1972¿CallExpression¿¿3412¿¿¿¿{"start":{"line":16,"column":14},"end":{"line":16,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿CallExpression
1973¿MemberExpression¿¿3412¿¿¿¿{"start":{"line":16,"column":14},"end":{"line":16,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿MemberExpression
1974¿Identifier¿¿3412¿v179¿¿¿¿¿Identifier
1975¿Identifier¿¿3412¿split¿¿¿{"start":{"line":16,"column":31},"end":{"line":16,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Identifier
1976¿Literal¿string¿3412¿¿':'¿¿{"start":{"line":16,"column":37},"end":{"line":16,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Literal
1977¿VariableDeclarator¿¿3412¿loc¿¿¿{"start":{"line":17,"column":6},"end":{"line":17,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿VariableDeclarator
1978¿VariableDeclarator¿¿3412¿i¿¿¿{"start":{"line":19,"column":11},"end":{"line":19,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿VariableDeclarator
1979¿Literal¿number¿3412¿¿0¿¿{"start":{"line":19,"column":15},"end":{"line":19,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Literal
1980¿VariableDeclarator¿¿3412¿len¿¿¿{"start":{"line":19,"column":18},"end":{"line":19,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿VariableDeclarator
1981¿MemberExpression¿¿3412¿¿¿¿{"start":{"line":19,"column":24},"end":{"line":19,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿MemberExpression
1982¿Identifier¿¿3412¿paths¿¿¿{"start":{"line":19,"column":24},"end":{"line":19,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Identifier
1983¿Identifier¿¿3412¿length¿¿¿{"start":{"line":19,"column":30},"end":{"line":19,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Identifier
1984¿VariableDeclarator¿¿3412¿v180¿¿¿{"start":{"line":19,"column":38},"end":{"line":19,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿VariableDeclarator
1985¿BinaryExpression¿<¿3412¿¿¿¿{"start":{"line":19,"column":38},"end":{"line":19,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿BinaryExpression
1986¿Identifier¿¿3412¿i¿¿¿{"start":{"line":19,"column":38},"end":{"line":19,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Identifier
1987¿Identifier¿¿3412¿len¿¿¿{"start":{"line":19,"column":42},"end":{"line":19,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Identifier
1988¿WhileStatement¿¿3412¿¿¿¿{"start":{"line":19,"column":2},"end":{"line":22,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿WhileStatement
1989¿Identifier¿¿3412¿v180¿¿¿¿¿Identifier
1990¿VariableDeclarator¿¿3412¿v182¿¿¿{"start":{"line":20,"column":20},"end":{"line":20,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿VariableDeclarator
1991¿MemberExpression¿computed¿3412¿¿¿¿{"start":{"line":20,"column":20},"end":{"line":20,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿MemberExpression
1992¿Identifier¿¿3412¿paths¿¿¿{"start":{"line":20,"column":20},"end":{"line":20,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Identifier
1993¿Identifier¿¿3412¿i¿¿¿{"start":{"line":20,"column":26},"end":{"line":20,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Identifier
1994¿ExpressionStatement¿¿3412¿¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿ExpressionStatement
1995¿AssignmentExpression¿=¿3412¿¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿AssignmentExpression
1996¿Identifier¿¿3412¿loc¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":7},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Identifier
1997¿CallExpression¿¿3412¿¿¿¿{"start":{"line":20,"column":10},"end":{"line":20,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿CallExpression
1998¿MemberExpression¿¿3412¿¿¿¿{"start":{"line":20,"column":10},"end":{"line":20,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿MemberExpression
1999¿Identifier¿¿3412¿path¿¿¿{"start":{"line":20,"column":10},"end":{"line":20,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Identifier
2000¿Identifier¿¿3412¿join¿¿¿{"start":{"line":20,"column":15},"end":{"line":20,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Identifier
2001¿Identifier¿¿3412¿v182¿¿¿¿¿Identifier
2002¿Identifier¿¿3412¿name¿¿¿{"start":{"line":20,"column":30},"end":{"line":20,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Identifier
2003¿VariableDeclarator¿¿3412¿v183¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿VariableDeclarator
2004¿CallExpression¿¿3412¿¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿CallExpression
2005¿Identifier¿¿3412¿exists¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Identifier
2006¿Identifier¿¿3412¿loc¿¿¿{"start":{"line":21,"column":15},"end":{"line":21,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Identifier
2007¿IfStatement¿¿3412¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿IfStatement
2008¿Identifier¿¿3412¿v183¿¿¿¿¿Identifier
2009¿ReturnStatement¿¿3412¿¿¿¿{"start":{"line":21,"column":21},"end":{"line":21,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿ReturnStatement
2010¿Identifier¿¿3412¿loc¿¿¿{"start":{"line":21,"column":28},"end":{"line":21,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Identifier
2011¿BlockStatement¿¿3412¿¿¿¿¿¿BlockStatement
2012¿VariableDeclarator¿¿3412¿v181¿¿¿{"start":{"line":19,"column":47},"end":{"line":19,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿VariableDeclarator
2013¿UpdateExpression¿¿3412¿¿¿¿{"start":{"line":19,"column":47},"end":{"line":19,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿UpdateExpression
2014¿Identifier¿¿3412¿i¿¿¿{"start":{"line":19,"column":49},"end":{"line":19,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Identifier
2015¿ExpressionStatement¿¿3412¿¿¿¿{"start":{"line":19,"column":2},"end":{"line":22,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿ExpressionStatement
2016¿AssignmentExpression¿=¿3412¿¿¿¿{"start":{"line":19,"column":2},"end":{"line":22,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿AssignmentExpression
2017¿Identifier¿¿3412¿v180¿¿¿{"start":{"line":19,"column":2},"end":{"line":22,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Identifier
2018¿BinaryExpression¿<¿3412¿¿¿¿{"start":{"line":19,"column":38},"end":{"line":19,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿BinaryExpression
2019¿Identifier¿¿3412¿i¿¿¿{"start":{"line":19,"column":38},"end":{"line":19,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Identifier
2020¿Identifier¿¿3412¿len¿¿¿{"start":{"line":19,"column":42},"end":{"line":19,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Identifier
2021¿BlockStatement¿¿3412¿¿¿¿¿¿BlockStatement
2022¿BlockStatement¿¿3412¿¿¿¿{"start":{"line":15,"column":21},"end":{"line":23,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿BlockStatement
2023¿VariableDeclarator¿¿3410¿v184¿¿¿{"start":{"line":25,"column":7},"end":{"line":25,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿VariableDeclarator
2024¿CallExpression¿¿3410¿¿¿¿{"start":{"line":25,"column":7},"end":{"line":25,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿CallExpression
2025¿MemberExpression¿¿3410¿¿¿¿{"start":{"line":25,"column":7},"end":{"line":25,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿MemberExpression
2026¿Identifier¿¿3410¿os¿¿¿{"start":{"line":25,"column":7},"end":{"line":25,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Identifier
2027¿Identifier¿¿3410¿type¿¿¿{"start":{"line":25,"column":10},"end":{"line":25,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Identifier
2028¿SwitchStatement¿¿3410¿¿¿¿{"start":{"line":25,"column":0},"end":{"line":118,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿SwitchStatement
2029¿Identifier¿¿3410¿v184¿¿¿¿¿Identifier
2030¿SwitchCase¿¿3410¿¿¿¿{"start":{"line":26,"column":2},"end":{"line":65,"column":10},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿SwitchCase
2031¿Literal¿string¿3410¿¿'Darwin'¿¿{"start":{"line":26,"column":7},"end":{"line":26,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Literal
2032¿VariableDeclarator¿¿3410¿v185¿¿¿{"start":{"line":27,"column":8},"end":{"line":27,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿VariableDeclarator
2033¿CallExpression¿¿3410¿¿¿¿{"start":{"line":27,"column":8},"end":{"line":27,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿CallExpression
2034¿Identifier¿¿3410¿which¿¿¿{"start":{"line":27,"column":8},"end":{"line":27,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Identifier
2035¿Literal¿string¿3410¿¿'terminal-notifier'¿¿{"start":{"line":27,"column":14},"end":{"line":27,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Literal
2036¿IfStatement¿¿3410¿¿¿¿{"start":{"line":27,"column":4},"end":{"line":64,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿IfStatement
2037¿Identifier¿¿3410¿v185¿¿¿¿¿Identifier
2038¿VariableDeclarator¿¿3410¿v186¿¿¿{"start":{"line":39,"column":21},"end":{"line":39,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿VariableDeclarator
2039¿ArrayExpression¿¿3410¿¿¿¿{"start":{"line":39,"column":21},"end":{"line":39,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿ArrayExpression
2040¿VariableDeclarator¿¿3410¿v187¿¿¿{"start":{"line":37,"column":20},"end":{"line":40,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿VariableDeclarator
2041¿ObjectExpression¿¿3410¿¿¿¿¿¿ObjectExpression
2042¿ExpressionStatement¿¿3410¿¿¿¿{"start":{"line":37,"column":20},"end":{"line":40,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿ExpressionStatement
2043¿AssignmentExpression¿=¿3410¿¿¿¿{"start":{"line":37,"column":20},"end":{"line":40,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿AssignmentExpression
2044¿MemberExpression¿¿3410¿¿¿¿{"start":{"line":37,"column":20},"end":{"line":40,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿MemberExpression
2045¿Identifier¿¿3410¿v187¿¿¿¿¿Identifier
2046¿Identifier¿¿3410¿cmd¿¿¿{"start":{"line":38,"column":14},"end":{"line":38,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Identifier
2047¿Literal¿string¿3410¿¿'-execute'¿¿{"start":{"line":38,"column":19},"end":{"line":38,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Literal
2048¿ExpressionStatement¿¿3410¿¿¿¿{"start":{"line":37,"column":20},"end":{"line":40,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿ExpressionStatement
2049¿AssignmentExpression¿=¿3410¿¿¿¿{"start":{"line":37,"column":20},"end":{"line":40,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿AssignmentExpression
2050¿MemberExpression¿¿3410¿¿¿¿{"start":{"line":37,"column":20},"end":{"line":40,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿MemberExpression
2051¿Identifier¿¿3410¿v187¿¿¿¿¿Identifier
2052¿Identifier¿¿3410¿range¿¿¿{"start":{"line":39,"column":14},"end":{"line":39,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Identifier
2053¿Identifier¿¿3410¿v186¿¿¿¿¿Identifier
2054¿ExpressionStatement¿¿3410¿¿¿¿{"start":{"line":28,"column":6},"end":{"line":41,"column":7},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿ExpressionStatement
2055¿AssignmentExpression¿=¿3410¿¿¿¿{"start":{"line":28,"column":6},"end":{"line":41,"column":7},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿AssignmentExpression
2056¿MemberExpression¿¿3410¿¿¿¿{"start":{"line":28,"column":6},"end":{"line":41,"column":7},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿MemberExpression
2057¿Identifier¿¿3410¿cmd¿¿¿{"start":{"line":28,"column":6},"end":{"line":28,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Identifier
2058¿Identifier¿¿3410¿type¿¿¿{"start":{"line":29,"column":10},"end":{"line":29,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Identifier
2059¿Literal¿string¿3410¿¿'Darwin-NotificationCenter'¿¿{"start":{"line":29,"column":16},"end":{"line":29,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿Literal
2060¿ExpressionStatement¿¿3410¿¿¿¿{"start":{"line":28,"column":6},"end":{"line":41,"column":7},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿ExpressionStatement
2061¿AssignmentExpression¿=¿3410¿¿¿¿{"start":{"line":28,"column":6},"end":{"line":41,"column":7},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿AssignmentExpression
2062¿MemberExpression¿¿3410¿¿¿¿{"start":{"line":28,"column":6},"end":{"line":41,"column":7},"fname":"/datasets/secbench-dataset/CWE-78/growl_1.9.0/src/growl.js"}¿¿MemberExpression
