Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1158¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":185,"column":2},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Program
1169¿Identifier¿¿2043¿require¿¿¿{"start":{"line":2,"column":13},"end":{"line":2,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1170¿Literal¿string¿2043¿¿'aspectratio'¿¿{"start":{"line":2,"column":21},"end":{"line":2,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Literal
1171¿VariableDeclarator¿¿2043¿v127¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿VariableDeclarator
1172¿CallExpression¿¿2043¿¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿CallExpression
1173¿Identifier¿¿2043¿require¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1174¿Literal¿string¿2043¿¿'path'¿¿{"start":{"line":3,"column":22},"end":{"line":3,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Literal
1175¿VariableDeclarator¿¿2043¿dirname¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿VariableDeclarator
1176¿MemberExpression¿¿2043¿¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿MemberExpression
1177¿Identifier¿¿2043¿v127¿¿¿¿¿Identifier
1178¿Identifier¿¿2043¿dirname¿¿¿{"start":{"line":3,"column":30},"end":{"line":3,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1179¿VariableDeclarator¿¿2043¿v128¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿VariableDeclarator
1180¿CallExpression¿¿2043¿¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿CallExpression
1181¿Identifier¿¿2043¿require¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1182¿Literal¿string¿2043¿¿'path'¿¿{"start":{"line":4,"column":23},"end":{"line":4,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Literal
1183¿VariableDeclarator¿¿2043¿basename¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿VariableDeclarator
1184¿MemberExpression¿¿2043¿¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿MemberExpression
1185¿Identifier¿¿2043¿v128¿¿¿¿¿Identifier
1186¿Identifier¿¿2043¿basename¿¿¿{"start":{"line":4,"column":31},"end":{"line":4,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1187¿VariableDeclarator¿¿2043¿v129¿¿¿{"start":{"line":5,"column":14},"end":{"line":5,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿VariableDeclarator
1188¿CallExpression¿¿2043¿¿¿¿{"start":{"line":5,"column":14},"end":{"line":5,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿CallExpression
1189¿Identifier¿¿2043¿require¿¿¿{"start":{"line":5,"column":14},"end":{"line":5,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1190¿Literal¿string¿2043¿¿'path'¿¿{"start":{"line":5,"column":22},"end":{"line":5,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Literal
1191¿VariableDeclarator¿¿2043¿extname¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿VariableDeclarator
1192¿MemberExpression¿¿2043¿¿¿¿{"start":{"line":5,"column":14},"end":{"line":5,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿MemberExpression
1193¿Identifier¿¿2043¿v129¿¿¿¿¿Identifier
1194¿Identifier¿¿2043¿extname¿¿¿{"start":{"line":5,"column":30},"end":{"line":5,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1195¿VariableDeclarator¿¿2043¿v130¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿VariableDeclarator
1196¿CallExpression¿¿2043¿¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿CallExpression
1197¿Identifier¿¿2043¿require¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1198¿Literal¿string¿2043¿¿'path'¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Literal
1199¿VariableDeclarator¿¿2043¿join¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿VariableDeclarator
1200¿MemberExpression¿¿2043¿¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿MemberExpression
1201¿Identifier¿¿2043¿v130¿¿¿¿¿Identifier
1202¿Identifier¿¿2043¿join¿¿¿{"start":{"line":6,"column":27},"end":{"line":6,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1203¿VariableDeclarator¿¿2043¿v131¿¿¿{"start":{"line":7,"column":14},"end":{"line":7,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿VariableDeclarator
1204¿CallExpression¿¿2043¿¿¿¿{"start":{"line":7,"column":14},"end":{"line":7,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿CallExpression
1205¿Identifier¿¿2043¿require¿¿¿{"start":{"line":7,"column":14},"end":{"line":7,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1206¿Literal¿string¿2043¿¿'util'¿¿{"start":{"line":7,"column":22},"end":{"line":7,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Literal
1207¿VariableDeclarator¿¿2043¿sprintf¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿VariableDeclarator
1208¿MemberExpression¿¿2043¿¿¿¿{"start":{"line":7,"column":14},"end":{"line":7,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿MemberExpression
1209¿Identifier¿¿2043¿v131¿¿¿¿¿Identifier
1210¿Identifier¿¿2043¿format¿¿¿{"start":{"line":7,"column":30},"end":{"line":7,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1211¿VariableDeclarator¿exported¿2043¿v141¿¿¿{"start":{"line":9,"column":0},"end":{"line":17,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿VariableDeclarator
1212¿FunctionExpression¿¿2043¿anon¿¿¿{"start":{"line":9,"column":17},"end":{"line":17,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿FunctionExpression
1213¿Identifier¿¿0¿image¿¿¿{"start":{"line":9,"column":26},"end":{"line":9,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1214¿Identifier¿¿0¿output¿¿¿{"start":{"line":9,"column":33},"end":{"line":9,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1215¿Identifier¿¿0¿cb¿¿¿{"start":{"line":9,"column":41},"end":{"line":9,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1216¿VariableDeclarator¿¿2045¿v132¿¿¿{"start":{"line":10,"column":12},"end":{"line":10,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿VariableDeclarator
1217¿MemberExpression¿¿2045¿¿¿¿{"start":{"line":10,"column":12},"end":{"line":10,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿MemberExpression
1218¿Identifier¿¿2045¿module¿¿¿{"start":{"line":10,"column":12},"end":{"line":10,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1219¿Identifier¿¿2045¿exports¿¿¿{"start":{"line":10,"column":19},"end":{"line":10,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1220¿VariableDeclarator¿¿2045¿cmd¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿VariableDeclarator
1221¿CallExpression¿¿2045¿¿¿¿{"start":{"line":10,"column":12},"end":{"line":10,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿CallExpression
1222¿MemberExpression¿¿2045¿¿¿¿{"start":{"line":10,"column":12},"end":{"line":10,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿MemberExpression
1223¿Identifier¿¿2045¿v132¿¿¿¿¿Identifier
1224¿Identifier¿¿2045¿cmd¿¿¿{"start":{"line":10,"column":27},"end":{"line":10,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1225¿Identifier¿¿2045¿image¿¿¿{"start":{"line":10,"column":31},"end":{"line":10,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1226¿Identifier¿¿2045¿output¿¿¿{"start":{"line":10,"column":38},"end":{"line":10,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1227¿VariableDeclarator¿¿2045¿v133¿¿¿{"start":{"line":11,"column":12},"end":{"line":11,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿VariableDeclarator
1228¿ObjectExpression¿¿2045¿¿¿¿{"start":{"line":11,"column":12},"end":{"line":11,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿ObjectExpression
1229¿Property¿¿2045¿¿¿¿{"start":{"line":11,"column":13},"end":{"line":11,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Property
1230¿Identifier¿¿2045¿timeout¿¿¿{"start":{"line":11,"column":13},"end":{"line":11,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1231¿Literal¿number¿2045¿¿30000¿¿{"start":{"line":11,"column":22},"end":{"line":11,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Literal
1232¿VariableDeclarator¿¿2045¿v139¿¿¿{"start":{"line":11,"column":30},"end":{"line":16,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿VariableDeclarator
1233¿FunctionExpression¿¿2045¿anon¿¿¿{"start":{"line":11,"column":30},"end":{"line":16,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿FunctionExpression
1234¿Identifier¿¿0¿e¿¿¿{"start":{"line":11,"column":39},"end":{"line":11,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1235¿Identifier¿¿0¿stdout¿¿¿{"start":{"line":11,"column":42},"end":{"line":11,"column":48},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1236¿Identifier¿¿0¿stderr¿¿¿{"start":{"line":11,"column":50},"end":{"line":11,"column":56},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1237¿IfStatement¿¿2047¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿IfStatement
1238¿Identifier¿¿2047¿e¿¿¿{"start":{"line":12,"column":8},"end":{"line":12,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1239¿VariableDeclarator¿¿2047¿v134¿¿¿{"start":{"line":12,"column":20},"end":{"line":12,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿VariableDeclarator
1240¿CallExpression¿¿2047¿¿¿¿{"start":{"line":12,"column":20},"end":{"line":12,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿CallExpression
1241¿Identifier¿¿2047¿cb¿¿¿{"start":{"line":12,"column":20},"end":{"line":12,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1242¿Identifier¿¿2047¿e¿¿¿{"start":{"line":12,"column":23},"end":{"line":12,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1243¿ReturnStatement¿¿2047¿¿¿¿{"start":{"line":12,"column":13},"end":{"line":12,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿ReturnStatement
1244¿Identifier¿¿2047¿v134¿¿¿¿¿Identifier
1245¿BlockStatement¿¿2047¿¿¿¿{"start":{"line":12,"column":11},"end":{"line":12,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿BlockStatement
1246¿IfStatement¿¿2047¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":49},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿IfStatement
1247¿Identifier¿¿2047¿stderr¿¿¿{"start":{"line":13,"column":8},"end":{"line":13,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1248¿VariableDeclarator¿¿2047¿v135¿¿¿{"start":{"line":13,"column":28},"end":{"line":13,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿VariableDeclarator
1249¿NewExpression¿¿2047¿¿¿¿{"start":{"line":13,"column":28},"end":{"line":13,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿NewExpression
1250¿Identifier¿¿2047¿Error¿¿¿{"start":{"line":13,"column":32},"end":{"line":13,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1251¿Identifier¿¿2047¿stderr¿¿¿{"start":{"line":13,"column":38},"end":{"line":13,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1252¿VariableDeclarator¿¿2047¿v136¿¿¿{"start":{"line":13,"column":25},"end":{"line":13,"column":46},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿VariableDeclarator
1253¿CallExpression¿¿2047¿¿¿¿{"start":{"line":13,"column":25},"end":{"line":13,"column":46},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿CallExpression
1254¿Identifier¿¿2047¿cb¿¿¿{"start":{"line":13,"column":25},"end":{"line":13,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1255¿Identifier¿¿2047¿v135¿¿¿¿¿Identifier
1256¿ReturnStatement¿¿2047¿¿¿¿{"start":{"line":13,"column":18},"end":{"line":13,"column":47},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿ReturnStatement
1257¿Identifier¿¿2047¿v136¿¿¿¿¿Identifier
1258¿BlockStatement¿¿2047¿¿¿¿{"start":{"line":13,"column":16},"end":{"line":13,"column":49},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿BlockStatement
1259¿VariableDeclarator¿¿2047¿v137¿¿¿{"start":{"line":15,"column":20},"end":{"line":15,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿VariableDeclarator
1260¿MemberExpression¿¿2047¿¿¿¿{"start":{"line":15,"column":20},"end":{"line":15,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿MemberExpression
1261¿Identifier¿¿2047¿output¿¿¿{"start":{"line":15,"column":20},"end":{"line":15,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1262¿Identifier¿¿2047¿versions¿¿¿{"start":{"line":15,"column":27},"end":{"line":15,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1263¿VariableDeclarator¿¿2047¿v138¿¿¿{"start":{"line":15,"column":11},"end":{"line":15,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿VariableDeclarator
1264¿CallExpression¿¿2047¿¿¿¿{"start":{"line":15,"column":11},"end":{"line":15,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿CallExpression
1265¿Identifier¿¿2047¿cb¿¿¿{"start":{"line":15,"column":11},"end":{"line":15,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1266¿Literal¿object¿2047¿¿null¿¿{"start":{"line":15,"column":14},"end":{"line":15,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Literal
1267¿Identifier¿¿2047¿v137¿¿¿¿¿Identifier
1268¿ReturnStatement¿¿2047¿¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿ReturnStatement
1269¿Identifier¿¿2047¿v138¿¿¿¿¿Identifier
1270¿BlockStatement¿¿2047¿¿¿¿{"start":{"line":11,"column":58},"end":{"line":16,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿BlockStatement
1271¿VariableDeclarator¿¿2045¿v140¿¿¿{"start":{"line":11,"column":2},"end":{"line":16,"column":4},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿VariableDeclarator
1272¿CallExpression¿¿2045¿¿¿¿{"start":{"line":11,"column":2},"end":{"line":16,"column":4},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿CallExpression
1273¿Identifier¿¿2045¿exec¿¿¿{"start":{"line":11,"column":2},"end":{"line":11,"column":6},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1274¿Identifier¿¿2045¿cmd¿¿¿{"start":{"line":11,"column":7},"end":{"line":11,"column":10},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1275¿Identifier¿¿2045¿v133¿¿¿¿¿Identifier
1276¿Identifier¿¿2045¿v139¿¿¿¿¿Identifier
1277¿ExpressionStatement¿¿2045¿¿¿¿{"start":{"line":11,"column":2},"end":{"line":16,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿ExpressionStatement
1278¿Identifier¿¿2045¿v140¿¿¿¿¿Identifier
1279¿BlockStatement¿¿2045¿¿¿¿{"start":{"line":9,"column":45},"end":{"line":17,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿BlockStatement
1280¿ExpressionStatement¿¿2043¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":17,"column":2},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿ExpressionStatement
1281¿AssignmentExpression¿=¿2043¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":17,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿AssignmentExpression
1282¿MemberExpression¿¿2043¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":9,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿MemberExpression
1283¿Identifier¿¿2043¿module¿¿¿{"start":{"line":9,"column":0},"end":{"line":9,"column":6},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1284¿Identifier¿¿2043¿exports¿¿¿{"start":{"line":9,"column":7},"end":{"line":9,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1285¿Identifier¿¿2043¿v141¿¿¿¿¿Identifier
1286¿VariableDeclarator¿¿2043¿v142¿¿¿{"start":{"line":30,"column":0},"end":{"line":30,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿VariableDeclarator
1287¿MemberExpression¿¿2043¿¿¿¿{"start":{"line":30,"column":0},"end":{"line":30,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿MemberExpression
1288¿Identifier¿¿2043¿module¿¿¿{"start":{"line":30,"column":0},"end":{"line":30,"column":6},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1289¿Identifier¿¿2043¿exports¿¿¿{"start":{"line":30,"column":7},"end":{"line":30,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1290¿VariableDeclarator¿exported¿2043¿v165¿¿¿{"start":{"line":30,"column":0},"end":{"line":47,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿VariableDeclarator
1291¿FunctionExpression¿¿2043¿anon¿¿¿{"start":{"line":30,"column":22},"end":{"line":47,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿FunctionExpression
1292¿Identifier¿¿0¿image¿¿¿{"start":{"line":30,"column":31},"end":{"line":30,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1293¿Identifier¿¿0¿ratio¿¿¿{"start":{"line":30,"column":38},"end":{"line":30,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1294¿VariableDeclarator¿¿2051¿v143¿¿¿{"start":{"line":31,"column":6},"end":{"line":31,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿VariableDeclarator
1295¿UnaryExpression¿!¿2051¿¿¿¿{"start":{"line":31,"column":6},"end":{"line":31,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿UnaryExpression
1296¿Identifier¿¿2051¿ratio¿¿¿{"start":{"line":31,"column":7},"end":{"line":31,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿Identifier
1297¿IfStatement¿¿2051¿¿¿¿{"start":{"line":31,"column":2},"end":{"line":33,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/im-resize_2.3.2/src/index.js"}¿¿IfStatement
1298¿Identifier¿¿2051¿v143¿¿¿¿¿Identifier
