Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
871¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":130,"column":2},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Program
895¿Identifier¿¿1505¿reference¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Identifier
896¿Identifier¿¿1505¿resolve¿¿¿{"start":{"line":14,"column":21},"end":{"line":14,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Identifier
897¿ReturnStatement¿¿1505¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿ReturnStatement
898¿Identifier¿¿1505¿v84¿¿¿¿¿Identifier
899¿BlockStatement¿¿1505¿¿¿¿{"start":{"line":11,"column":37},"end":{"line":15,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿BlockStatement
900¿VariableDeclarator¿¿1503¿v86¿¿¿{"start":{"line":1,"column":17},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿VariableDeclarator
901¿ObjectExpression¿¿1503¿¿¿¿¿¿ObjectExpression
902¿ExpressionStatement¿¿1503¿¿¿¿{"start":{"line":1,"column":17},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿ExpressionStatement
903¿AssignmentExpression¿=¿1503¿¿¿¿{"start":{"line":1,"column":17},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿AssignmentExpression
904¿MemberExpression¿¿1503¿¿¿¿{"start":{"line":1,"column":17},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿MemberExpression
905¿Identifier¿¿1503¿v86¿¿¿¿¿Identifier
906¿Identifier¿¿1503¿set¿¿¿{"start":{"line":11,"column":2},"end":{"line":11,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Identifier
907¿Identifier¿¿1503¿v85¿¿¿¿¿Identifier
908¿ExpressionStatement¿¿1503¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":16,"column":2},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿ExpressionStatement
909¿AssignmentExpression¿=¿1503¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿AssignmentExpression
910¿MemberExpression¿¿1503¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿MemberExpression
911¿Identifier¿¿1503¿module¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":6},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Identifier
912¿Identifier¿¿1503¿exports¿¿¿{"start":{"line":1,"column":7},"end":{"line":1,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Identifier
913¿Identifier¿¿1503¿v86¿¿¿¿¿Identifier
914¿VariableDeclarator¿¿1503¿Reference¿¿¿{"start":{"line":18,"column":0},"end":{"line":22,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿VariableDeclarator
915¿FunctionExpression¿¿1503¿anon¿¿¿{"start":{"line":18,"column":0},"end":{"line":22,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿FunctionExpression
916¿Identifier¿¿0¿pointer¿¿¿{"start":{"line":18,"column":19},"end":{"line":18,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Identifier
917¿Identifier¿¿0¿field¿¿¿{"start":{"line":18,"column":28},"end":{"line":18,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Identifier
918¿Identifier¿¿0¿parent¿¿¿{"start":{"line":18,"column":35},"end":{"line":18,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Identifier
919¿ExpressionStatement¿¿1507¿¿¿¿{"start":{"line":19,"column":2},"end":{"line":19,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿ExpressionStatement
920¿AssignmentExpression¿=¿1507¿¿¿¿{"start":{"line":19,"column":2},"end":{"line":19,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿AssignmentExpression
921¿MemberExpression¿¿1507¿¿¿¿{"start":{"line":19,"column":2},"end":{"line":19,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿MemberExpression
922¿ThisExpression¿¿1507¿¿¿¿{"start":{"line":19,"column":2},"end":{"line":19,"column":6},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿ThisExpression
923¿Identifier¿¿1507¿pointer¿¿¿{"start":{"line":19,"column":7},"end":{"line":19,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Identifier
924¿Identifier¿¿1507¿pointer¿¿¿{"start":{"line":19,"column":17},"end":{"line":19,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Identifier
925¿ExpressionStatement¿¿1507¿¿¿¿{"start":{"line":20,"column":2},"end":{"line":20,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿ExpressionStatement
926¿AssignmentExpression¿=¿1507¿¿¿¿{"start":{"line":20,"column":2},"end":{"line":20,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿AssignmentExpression
927¿MemberExpression¿¿1507¿¿¿¿{"start":{"line":20,"column":2},"end":{"line":20,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿MemberExpression
928¿ThisExpression¿¿1507¿¿¿¿{"start":{"line":20,"column":2},"end":{"line":20,"column":6},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿ThisExpression
929¿Identifier¿¿1507¿field¿¿¿{"start":{"line":20,"column":7},"end":{"line":20,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Identifier
930¿Identifier¿¿1507¿field¿¿¿{"start":{"line":20,"column":15},"end":{"line":20,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Identifier
931¿ExpressionStatement¿¿1507¿¿¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿ExpressionStatement
932¿AssignmentExpression¿=¿1507¿¿¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿AssignmentExpression
933¿MemberExpression¿¿1507¿¿¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿MemberExpression
934¿ThisExpression¿¿1507¿¿¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":6},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿ThisExpression
935¿Identifier¿¿1507¿parent¿¿¿{"start":{"line":21,"column":7},"end":{"line":21,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Identifier
936¿LogicalExpression¿||¿1507¿¿¿¿{"start":{"line":21,"column":16},"end":{"line":21,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿LogicalExpression
937¿Identifier¿¿1507¿parent¿¿¿{"start":{"line":21,"column":16},"end":{"line":21,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Identifier
938¿Literal¿object¿1507¿¿null¿¿{"start":{"line":21,"column":26},"end":{"line":21,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Literal
939¿BlockStatement¿¿1507¿¿¿¿{"start":{"line":18,"column":43},"end":{"line":22,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿BlockStatement
940¿VariableDeclarator¿¿1503¿v87¿¿¿{"start":{"line":24,"column":0},"end":{"line":24,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿VariableDeclarator
941¿MemberExpression¿¿1503¿¿¿¿{"start":{"line":24,"column":0},"end":{"line":24,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿MemberExpression
942¿Identifier¿¿1503¿Reference¿¿¿{"start":{"line":24,"column":0},"end":{"line":24,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Identifier
943¿Identifier¿¿1503¿prototype¿¿¿{"start":{"line":24,"column":10},"end":{"line":24,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Identifier
944¿VariableDeclarator¿¿1503¿v94¿¿¿{"start":{"line":24,"column":0},"end":{"line":31,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿VariableDeclarator
945¿FunctionExpression¿¿1503¿anon¿¿¿{"start":{"line":24,"column":26},"end":{"line":31,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿FunctionExpression
946¿Identifier¿¿0¿value¿¿¿{"start":{"line":24,"column":35},"end":{"line":24,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Identifier
947¿VariableDeclarator¿¿1509¿v88¿¿¿{"start":{"line":25,"column":13},"end":{"line":25,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿VariableDeclarator
948¿MemberExpression¿¿1509¿¿¿¿{"start":{"line":25,"column":13},"end":{"line":25,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿MemberExpression
949¿ThisExpression¿¿1509¿¿¿¿{"start":{"line":25,"column":13},"end":{"line":25,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿ThisExpression
950¿Identifier¿¿1509¿field¿¿¿{"start":{"line":25,"column":18},"end":{"line":25,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Identifier
951¿VariableDeclarator¿¿1509¿v89¿¿¿{"start":{"line":25,"column":6},"end":{"line":25,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿VariableDeclarator
952¿UnaryExpression¿typeof¿1509¿¿¿¿{"start":{"line":25,"column":6},"end":{"line":25,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿UnaryExpression
953¿Identifier¿¿1509¿v88¿¿¿¿¿Identifier
954¿VariableDeclarator¿¿1509¿v90¿¿¿{"start":{"line":25,"column":6},"end":{"line":25,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿VariableDeclarator
955¿BinaryExpression¿===¿1509¿¿¿¿{"start":{"line":25,"column":6},"end":{"line":25,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿BinaryExpression
956¿Identifier¿¿1509¿v89¿¿¿¿¿Identifier
957¿Literal¿string¿1509¿¿'undefined'¿¿{"start":{"line":25,"column":28},"end":{"line":25,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Literal
958¿IfStatement¿¿1509¿¿¿¿{"start":{"line":25,"column":2},"end":{"line":28,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿IfStatement
959¿Identifier¿¿1509¿v90¿¿¿¿¿Identifier
960¿VariableDeclarator¿¿1509¿v91¿¿¿{"start":{"line":26,"column":10},"end":{"line":26,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿VariableDeclarator
961¿NewExpression¿¿1509¿¿¿¿{"start":{"line":26,"column":10},"end":{"line":26,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿NewExpression
962¿Identifier¿¿1509¿Error¿¿¿{"start":{"line":26,"column":14},"end":{"line":26,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Identifier
963¿Literal¿string¿1509¿¿'Cannot set, field is undefined'¿¿{"start":{"line":26,"column":20},"end":{"line":26,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Literal
964¿ThrowStatement¿¿1509¿¿¿¿{"start":{"line":26,"column":4},"end":{"line":26,"column":54},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿ThrowStatement
965¿Identifier¿¿1509¿v91¿¿¿¿¿Identifier
966¿ReturnStatement¿¿1509¿¿¿¿{"start":{"line":27,"column":4},"end":{"line":27,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿ReturnStatement
967¿Literal¿object¿1509¿¿null¿¿{"start":{"line":27,"column":11},"end":{"line":27,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Literal
968¿BlockStatement¿¿1509¿¿¿¿{"start":{"line":25,"column":41},"end":{"line":28,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿BlockStatement
969¿VariableDeclarator¿¿1509¿v92¿¿¿{"start":{"line":29,"column":2},"end":{"line":29,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿VariableDeclarator
970¿MemberExpression¿¿1509¿¿¿¿{"start":{"line":29,"column":2},"end":{"line":29,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿MemberExpression
971¿ThisExpression¿¿1509¿¿¿¿{"start":{"line":29,"column":2},"end":{"line":29,"column":6},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿ThisExpression
972¿Identifier¿¿1509¿pointer¿¿¿{"start":{"line":29,"column":7},"end":{"line":29,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Identifier
973¿VariableDeclarator¿¿1509¿v93¿¿¿{"start":{"line":29,"column":15},"end":{"line":29,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿VariableDeclarator
974¿MemberExpression¿¿1509¿¿¿¿{"start":{"line":29,"column":15},"end":{"line":29,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿MemberExpression
975¿ThisExpression¿¿1509¿¿¿¿{"start":{"line":29,"column":15},"end":{"line":29,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿ThisExpression
976¿Identifier¿¿1509¿field¿¿¿{"start":{"line":29,"column":20},"end":{"line":29,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Identifier
977¿ExpressionStatement¿¿1509¿¿¿¿{"start":{"line":29,"column":2},"end":{"line":29,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿ExpressionStatement
978¿AssignmentExpression¿=¿1509¿¿¿¿{"start":{"line":29,"column":2},"end":{"line":29,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿AssignmentExpression
979¿MemberExpression¿computed¿1509¿¿¿¿{"start":{"line":29,"column":2},"end":{"line":29,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿MemberExpression
980¿Identifier¿¿1509¿v92¿¿¿¿¿Identifier
981¿Identifier¿¿1509¿v93¿¿¿¿¿Identifier
982¿Identifier¿¿1509¿value¿¿¿{"start":{"line":29,"column":29},"end":{"line":29,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Identifier
983¿ReturnStatement¿¿1509¿¿¿¿{"start":{"line":30,"column":2},"end":{"line":30,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿ReturnStatement
984¿ThisExpression¿¿1509¿¿¿¿{"start":{"line":30,"column":9},"end":{"line":30,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿ThisExpression
985¿BlockStatement¿¿1509¿¿¿¿{"start":{"line":24,"column":42},"end":{"line":31,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿BlockStatement
986¿ExpressionStatement¿¿1503¿¿¿¿{"start":{"line":24,"column":0},"end":{"line":31,"column":2},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿ExpressionStatement
987¿AssignmentExpression¿=¿1503¿¿¿¿{"start":{"line":24,"column":0},"end":{"line":31,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿AssignmentExpression
988¿MemberExpression¿¿1503¿¿¿¿{"start":{"line":24,"column":0},"end":{"line":24,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿MemberExpression
989¿Identifier¿¿1503¿v87¿¿¿¿¿Identifier
990¿Identifier¿¿1503¿set¿¿¿{"start":{"line":24,"column":20},"end":{"line":24,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Identifier
991¿Identifier¿¿1503¿v94¿¿¿¿¿Identifier
992¿VariableDeclarator¿¿1503¿v95¿¿¿{"start":{"line":33,"column":0},"end":{"line":33,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿VariableDeclarator
993¿MemberExpression¿¿1503¿¿¿¿{"start":{"line":33,"column":0},"end":{"line":33,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿MemberExpression
994¿Identifier¿¿1503¿Reference¿¿¿{"start":{"line":33,"column":0},"end":{"line":33,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Identifier
995¿Identifier¿¿1503¿prototype¿¿¿{"start":{"line":33,"column":10},"end":{"line":33,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Identifier
996¿VariableDeclarator¿¿1503¿v98¿¿¿{"start":{"line":33,"column":0},"end":{"line":39,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿VariableDeclarator
997¿FunctionExpression¿¿1503¿anon¿¿¿{"start":{"line":33,"column":30},"end":{"line":39,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿FunctionExpression
998¿VariableDeclarator¿¿1512¿reference¿¿¿{"start":{"line":34,"column":6},"end":{"line":34,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿VariableDeclarator
999¿ThisExpression¿¿1512¿¿¿¿{"start":{"line":34,"column":18},"end":{"line":34,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿ThisExpression
1000¿VariableDeclarator¿¿1512¿v96¿¿¿{"start":{"line":35,"column":9},"end":{"line":35,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿VariableDeclarator
1001¿MemberExpression¿¿1512¿¿¿¿{"start":{"line":35,"column":9},"end":{"line":35,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿MemberExpression
1002¿Identifier¿¿1512¿reference¿¿¿{"start":{"line":35,"column":9},"end":{"line":35,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Identifier
1003¿Identifier¿¿1512¿parent¿¿¿{"start":{"line":35,"column":19},"end":{"line":35,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Identifier
1004¿WhileStatement¿¿1512¿¿¿¿{"start":{"line":35,"column":2},"end":{"line":37,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿WhileStatement
1005¿Identifier¿¿1512¿v96¿¿¿¿¿Identifier
1006¿ExpressionStatement¿¿1512¿¿¿¿{"start":{"line":36,"column":4},"end":{"line":36,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿ExpressionStatement
1007¿AssignmentExpression¿=¿1512¿¿¿¿{"start":{"line":36,"column":4},"end":{"line":36,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿AssignmentExpression
1008¿Identifier¿¿1512¿reference¿¿¿{"start":{"line":36,"column":4},"end":{"line":36,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Identifier
1009¿CallExpression¿¿1512¿¿¿¿{"start":{"line":36,"column":16},"end":{"line":36,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿CallExpression
1010¿MemberExpression¿¿1512¿¿¿¿{"start":{"line":36,"column":16},"end":{"line":36,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿MemberExpression
1011¿Identifier¿¿1512¿reference¿¿¿{"start":{"line":36,"column":16},"end":{"line":36,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/deepref_1.1.1/src/index.js"}¿¿Identifier
