Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
729¿Program¿¿-1¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":49,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿Program
767¿BinaryExpression¿==¿1289¿¿¿¿{"start":{"line":2,"column":96},"end":{"line":2,"column":121},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿BinaryExpression
768¿Literal¿string¿1289¿¿'function'¿¿{"start":{"line":2,"column":96},"end":{"line":2,"column":106},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿Literal
769¿Identifier¿¿1289¿v91¿¿¿¿¿Identifier
770¿VariableDeclarator¿¿1289¿v93¿¿¿{"start":{"line":2,"column":123},"end":{"line":2,"column":133},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿VariableDeclarator
771¿MemberExpression¿¿1289¿¿¿¿{"start":{"line":2,"column":123},"end":{"line":2,"column":133},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿MemberExpression
772¿Identifier¿¿1289¿define¿¿¿{"start":{"line":2,"column":123},"end":{"line":2,"column":129},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿Identifier
773¿Identifier¿¿1289¿amd¿¿¿{"start":{"line":2,"column":130},"end":{"line":2,"column":133},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿Identifier
774¿VariableDeclarator¿¿1289¿v94¿¿¿{"start":{"line":2,"column":96},"end":{"line":2,"column":133},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿VariableDeclarator
775¿LogicalExpression¿&&¿1289¿¿¿¿{"start":{"line":2,"column":96},"end":{"line":2,"column":133},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿LogicalExpression
776¿Identifier¿¿1289¿v92¿¿¿¿¿Identifier
777¿Identifier¿¿1289¿v93¿¿¿¿¿Identifier
778¿IfStatement¿¿1289¿¿¿¿{"start":{"line":2,"column":93},"end":{"line":2,"column":279},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿IfStatement
779¿Identifier¿¿1289¿v94¿¿¿¿¿Identifier
780¿VariableDeclarator¿¿1289¿v95¿¿¿{"start":{"line":2,"column":141},"end":{"line":2,"column":143},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿VariableDeclarator
781¿ArrayExpression¿¿1289¿¿¿¿{"start":{"line":2,"column":141},"end":{"line":2,"column":143},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿ArrayExpression
782¿VariableDeclarator¿¿1289¿v96¿¿¿{"start":{"line":2,"column":134},"end":{"line":2,"column":146},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿VariableDeclarator
783¿CallExpression¿¿1289¿¿¿¿{"start":{"line":2,"column":134},"end":{"line":2,"column":146},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿CallExpression
784¿Identifier¿¿1289¿define¿¿¿{"start":{"line":2,"column":134},"end":{"line":2,"column":140},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿Identifier
785¿Identifier¿¿1289¿v95¿¿¿¿¿Identifier
786¿Identifier¿¿1289¿e¿¿¿{"start":{"line":2,"column":144},"end":{"line":2,"column":145},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿Identifier
787¿ExpressionStatement¿¿1289¿¿¿¿{"start":{"line":2,"column":134},"end":{"line":2,"column":147},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿ExpressionStatement
788¿Identifier¿¿1289¿v96¿¿¿¿¿Identifier
789¿BlockStatement¿¿1289¿¿¿¿¿¿BlockStatement
790¿VariableDeclarator¿¿1289¿f¿¿¿{"start":{"line":2,"column":156},"end":{"line":2,"column":157},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿VariableDeclarator
791¿VariableDeclarator¿¿1289¿v97¿¿¿{"start":{"line":2,"column":171},"end":{"line":2,"column":184},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿VariableDeclarator
792¿UnaryExpression¿typeof¿1289¿¿¿¿{"start":{"line":2,"column":171},"end":{"line":2,"column":184},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿UnaryExpression
793¿Identifier¿¿1289¿window¿¿¿{"start":{"line":2,"column":178},"end":{"line":2,"column":184},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿Identifier
794¿VariableDeclarator¿¿1289¿v98¿¿¿{"start":{"line":2,"column":158},"end":{"line":2,"column":184},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿VariableDeclarator
795¿BinaryExpression¿!=¿1289¿¿¿¿{"start":{"line":2,"column":158},"end":{"line":2,"column":184},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿BinaryExpression
796¿Literal¿string¿1289¿¿'undefined'¿¿{"start":{"line":2,"column":158},"end":{"line":2,"column":169},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿Literal
797¿Identifier¿¿1289¿v97¿¿¿¿¿Identifier
798¿VariableDeclarator¿¿1289¿v99¿¿¿{"start":{"line":2,"column":207},"end":{"line":2,"column":220},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿VariableDeclarator
799¿UnaryExpression¿typeof¿1289¿¿¿¿{"start":{"line":2,"column":207},"end":{"line":2,"column":220},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿UnaryExpression
800¿Identifier¿¿1289¿global¿¿¿{"start":{"line":2,"column":214},"end":{"line":2,"column":220},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿Identifier
801¿VariableDeclarator¿¿1289¿v100¿¿¿{"start":{"line":2,"column":194},"end":{"line":2,"column":220},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿VariableDeclarator
802¿BinaryExpression¿!=¿1289¿¿¿¿{"start":{"line":2,"column":194},"end":{"line":2,"column":220},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿BinaryExpression
803¿Literal¿string¿1289¿¿'undefined'¿¿{"start":{"line":2,"column":194},"end":{"line":2,"column":205},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿Literal
804¿Identifier¿¿1289¿v99¿¿¿¿¿Identifier
805¿VariableDeclarator¿¿1289¿v101¿¿¿{"start":{"line":2,"column":243},"end":{"line":2,"column":254},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿VariableDeclarator
806¿UnaryExpression¿typeof¿1289¿¿¿¿{"start":{"line":2,"column":243},"end":{"line":2,"column":254},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿UnaryExpression
807¿Identifier¿¿1289¿self¿¿¿{"start":{"line":2,"column":250},"end":{"line":2,"column":254},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿Identifier
808¿VariableDeclarator¿¿1289¿v102¿¿¿{"start":{"line":2,"column":230},"end":{"line":2,"column":254},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿VariableDeclarator
809¿BinaryExpression¿!=¿1289¿¿¿¿{"start":{"line":2,"column":230},"end":{"line":2,"column":254},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿BinaryExpression
810¿Literal¿string¿1289¿¿'undefined'¿¿{"start":{"line":2,"column":230},"end":{"line":2,"column":241},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿Literal
811¿Identifier¿¿1289¿v101¿¿¿¿¿Identifier
812¿VariableDeclarator¿¿1289¿v103¿¿¿{"start":{"line":2,"column":230},"end":{"line":2,"column":264},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿VariableDeclarator
813¿LogicalExpression¿&&¿1289¿¿¿¿{"start":{"line":2,"column":230},"end":{"line":2,"column":264},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿LogicalExpression
814¿Identifier¿¿1289¿v102¿¿¿¿¿Identifier
815¿AssignmentExpression¿=¿1289¿¿¿¿{"start":{"line":2,"column":257},"end":{"line":2,"column":263},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿AssignmentExpression
816¿Identifier¿¿1289¿f¿¿¿{"start":{"line":2,"column":257},"end":{"line":2,"column":258},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿Identifier
817¿Identifier¿¿1289¿self¿¿¿{"start":{"line":2,"column":259},"end":{"line":2,"column":263},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿Identifier
818¿VariableDeclarator¿¿1289¿v104¿¿¿{"start":{"line":2,"column":194},"end":{"line":2,"column":264},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿VariableDeclarator
819¿IfStatement¿¿1289¿¿¿¿{"start":{"line":2,"column":194},"end":{"line":2,"column":264},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿IfStatement
820¿Identifier¿¿1289¿v100¿¿¿¿¿Identifier
821¿ExpressionStatement¿¿1289¿¿¿¿{"start":{"line":2,"column":194},"end":{"line":2,"column":264},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿ExpressionStatement
822¿AssignmentExpression¿=¿1289¿¿¿¿{"start":{"line":2,"column":194},"end":{"line":2,"column":264},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿AssignmentExpression
823¿Identifier¿¿1289¿f¿¿¿{"start":{"line":2,"column":221},"end":{"line":2,"column":222},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿Identifier
824¿Identifier¿¿1289¿global¿¿¿{"start":{"line":2,"column":223},"end":{"line":2,"column":229},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿Identifier
825¿ExpressionStatement¿¿1289¿¿¿¿{"start":{"line":2,"column":194},"end":{"line":2,"column":264},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿ExpressionStatement
826¿AssignmentExpression¿=¿1289¿¿¿¿{"start":{"line":2,"column":194},"end":{"line":2,"column":264},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿AssignmentExpression
827¿Identifier¿¿1289¿v104¿¿¿{"start":{"line":2,"column":194},"end":{"line":2,"column":264},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿Identifier
828¿Identifier¿¿1289¿f¿¿¿{"start":{"line":2,"column":221},"end":{"line":2,"column":222},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿Identifier
829¿BlockStatement¿¿1289¿¿¿¿¿¿BlockStatement
830¿ExpressionStatement¿¿1289¿¿¿¿{"start":{"line":2,"column":194},"end":{"line":2,"column":264},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿ExpressionStatement
831¿AssignmentExpression¿=¿1289¿¿¿¿{"start":{"line":2,"column":194},"end":{"line":2,"column":264},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿AssignmentExpression
832¿Identifier¿¿1289¿v104¿¿¿¿¿Identifier
833¿Identifier¿¿1289¿v103¿¿¿¿¿Identifier
834¿BlockStatement¿¿1289¿¿¿¿¿¿BlockStatement
835¿VariableDeclarator¿¿1289¿v105¿¿¿{"start":{"line":2,"column":158},"end":{"line":2,"column":264},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿VariableDeclarator
836¿IfStatement¿¿1289¿¿¿¿{"start":{"line":2,"column":158},"end":{"line":2,"column":264},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿IfStatement
837¿Identifier¿¿1289¿v98¿¿¿¿¿Identifier
838¿ExpressionStatement¿¿1289¿¿¿¿{"start":{"line":2,"column":158},"end":{"line":2,"column":264},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿ExpressionStatement
839¿AssignmentExpression¿=¿1289¿¿¿¿{"start":{"line":2,"column":158},"end":{"line":2,"column":264},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿AssignmentExpression
840¿Identifier¿¿1289¿f¿¿¿{"start":{"line":2,"column":185},"end":{"line":2,"column":186},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿Identifier
841¿Identifier¿¿1289¿window¿¿¿{"start":{"line":2,"column":187},"end":{"line":2,"column":193},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿Identifier
842¿ExpressionStatement¿¿1289¿¿¿¿{"start":{"line":2,"column":158},"end":{"line":2,"column":264},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿ExpressionStatement
843¿AssignmentExpression¿=¿1289¿¿¿¿{"start":{"line":2,"column":158},"end":{"line":2,"column":264},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿AssignmentExpression
844¿Identifier¿¿1289¿v105¿¿¿{"start":{"line":2,"column":158},"end":{"line":2,"column":264},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿Identifier
845¿Identifier¿¿1289¿f¿¿¿{"start":{"line":2,"column":185},"end":{"line":2,"column":186},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿Identifier
846¿BlockStatement¿¿1289¿¿¿¿¿¿BlockStatement
847¿ExpressionStatement¿¿1289¿¿¿¿{"start":{"line":2,"column":158},"end":{"line":2,"column":264},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿ExpressionStatement
848¿AssignmentExpression¿=¿1289¿¿¿¿{"start":{"line":2,"column":158},"end":{"line":2,"column":264},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿AssignmentExpression
849¿Identifier¿¿1289¿v105¿¿¿¿¿Identifier
850¿Identifier¿¿1289¿v104¿¿¿¿¿Identifier
851¿BlockStatement¿¿1289¿¿¿¿¿¿BlockStatement
852¿VariableDeclarator¿¿1289¿v106¿¿¿{"start":{"line":2,"column":265},"end":{"line":2,"column":278},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿VariableDeclarator
853¿CallExpression¿¿1289¿¿¿¿{"start":{"line":2,"column":275},"end":{"line":2,"column":278},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿CallExpression
854¿Identifier¿¿1289¿e¿¿¿{"start":{"line":2,"column":275},"end":{"line":2,"column":276},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿Identifier
855¿ExpressionStatement¿¿1289¿¿¿¿{"start":{"line":2,"column":158},"end":{"line":2,"column":278},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿ExpressionStatement
856¿SequenceExpression¿¿1289¿¿¿¿{"start":{"line":2,"column":158},"end":{"line":2,"column":278},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿SequenceExpression
857¿Identifier¿¿1289¿v105¿¿¿¿¿Identifier
858¿AssignmentExpression¿=¿1289¿¿¿¿{"start":{"line":2,"column":265},"end":{"line":2,"column":278},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿AssignmentExpression
859¿MemberExpression¿¿1289¿¿¿¿{"start":{"line":2,"column":265},"end":{"line":2,"column":274},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿MemberExpression
860¿Identifier¿¿1289¿f¿¿¿{"start":{"line":2,"column":265},"end":{"line":2,"column":266},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿Identifier
861¿Identifier¿¿1289¿deepSet¿¿¿{"start":{"line":2,"column":267},"end":{"line":2,"column":274},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿Identifier
862¿Identifier¿¿1289¿v106¿¿¿¿¿Identifier
863¿BlockStatement¿¿1289¿¿¿¿{"start":{"line":2,"column":151},"end":{"line":2,"column":279},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿BlockStatement
864¿BlockStatement¿¿1289¿¿¿¿¿¿BlockStatement
865¿BlockStatement¿¿1289¿¿¿¿{"start":{"line":2,"column":12},"end":{"line":2,"column":280},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿BlockStatement
866¿VariableDeclarator¿¿1287¿v166¿¿¿{"start":{"line":2,"column":281},"end":{"line":49,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿VariableDeclarator
867¿FunctionExpression¿¿1287¿anon¿¿¿{"start":{"line":2,"column":281},"end":{"line":49,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿FunctionExpression
868¿VariableDeclarator¿¿1295¿define¿¿¿{"start":{"line":2,"column":296},"end":{"line":2,"column":302},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿VariableDeclarator
869¿VariableDeclarator¿¿1295¿module¿¿¿{"start":{"line":2,"column":303},"end":{"line":2,"column":309},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿VariableDeclarator
870¿VariableDeclarator¿¿1295¿exports¿¿¿{"start":{"line":2,"column":310},"end":{"line":2,"column":317},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿VariableDeclarator
871¿VariableDeclarator¿¿1295¿v143¿¿¿{"start":{"line":2,"column":326},"end":{"line":2,"column":766},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿VariableDeclarator
872¿FunctionExpression¿¿1295¿e¿¿¿{"start":{"line":2,"column":326},"end":{"line":2,"column":766},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿FunctionExpression
873¿Identifier¿¿0¿t¿¿¿{"start":{"line":2,"column":337},"end":{"line":2,"column":338},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿Identifier
874¿Identifier¿¿0¿n¿¿¿{"start":{"line":2,"column":339},"end":{"line":2,"column":340},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿Identifier
875¿Identifier¿¿0¿r¿¿¿{"start":{"line":2,"column":341},"end":{"line":2,"column":342},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿Identifier
876¿VariableDeclarator¿¿1297¿s¿¿¿{"start":{"line":2,"column":344},"end":{"line":2,"column":680},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿VariableDeclarator
877¿FunctionExpression¿¿1297¿anon¿¿¿{"start":{"line":2,"column":344},"end":{"line":2,"column":680},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿FunctionExpression
878¿Identifier¿¿0¿o¿¿¿{"start":{"line":2,"column":355},"end":{"line":2,"column":356},"fname":"/datasets/secbench-dataset/CWE-471/deep-set_1.0.0/src/index.js"}¿¿Identifier
