Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
950¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":129,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿Program
961¿Identifier¿¿1648¿require¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿Identifier
962¿Literal¿string¿1648¿¿'path'¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿Literal
963¿VariableDeclarator¿¿1648¿fs¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿VariableDeclarator
964¿CallExpression¿¿1648¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿CallExpression
965¿Identifier¿¿1648¿require¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿Identifier
966¿Literal¿string¿1648¿¿'fs'¿¿{"start":{"line":4,"column":17},"end":{"line":4,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿Literal
967¿VariableDeclarator¿exported¿1648¿NodeStaticWebServer¿¿¿{"start":{"line":11,"column":4},"end":{"line":20,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿VariableDeclarator
968¿FunctionExpression¿¿1648¿anon¿¿¿{"start":{"line":11,"column":26},"end":{"line":20,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿FunctionExpression
969¿Identifier¿¿0¿contentPath¿¿¿{"start":{"line":11,"column":35},"end":{"line":11,"column":46},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿Identifier
970¿Identifier¿¿0¿port¿¿¿{"start":{"line":11,"column":48},"end":{"line":11,"column":52},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿Identifier
971¿Identifier¿¿0¿address¿¿¿{"start":{"line":11,"column":54},"end":{"line":11,"column":61},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿Identifier
972¿ExpressionStatement¿¿1650¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿ExpressionStatement
973¿AssignmentExpression¿=¿1650¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿AssignmentExpression
974¿MemberExpression¿¿1650¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿MemberExpression
975¿ThisExpression¿¿1650¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":8},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿ThisExpression
976¿Identifier¿¿1650¿_contentPath¿¿¿{"start":{"line":12,"column":9},"end":{"line":12,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿Identifier
977¿Identifier¿¿1650¿contentPath¿¿¿{"start":{"line":12,"column":24},"end":{"line":12,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿Identifier
978¿ExpressionStatement¿¿1650¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿ExpressionStatement
979¿AssignmentExpression¿=¿1650¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿AssignmentExpression
980¿MemberExpression¿¿1650¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿MemberExpression
981¿ThisExpression¿¿1650¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":8},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿ThisExpression
982¿Identifier¿¿1650¿_port¿¿¿{"start":{"line":13,"column":9},"end":{"line":13,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿Identifier
983¿LogicalExpression¿||¿1650¿¿¿¿{"start":{"line":13,"column":17},"end":{"line":13,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿LogicalExpression
984¿Identifier¿¿1650¿port¿¿¿{"start":{"line":13,"column":17},"end":{"line":13,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿Identifier
985¿Literal¿number¿1650¿¿80¿¿{"start":{"line":13,"column":25},"end":{"line":13,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿Literal
986¿ExpressionStatement¿¿1650¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿ExpressionStatement
987¿AssignmentExpression¿=¿1650¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿AssignmentExpression
988¿MemberExpression¿¿1650¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿MemberExpression
989¿ThisExpression¿¿1650¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":8},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿ThisExpression
990¿Identifier¿¿1650¿_address¿¿¿{"start":{"line":14,"column":9},"end":{"line":14,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿Identifier
991¿Identifier¿¿1650¿address¿¿¿{"start":{"line":14,"column":20},"end":{"line":14,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿Identifier
992¿VariableDeclarator¿¿1650¿self¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿VariableDeclarator
993¿ThisExpression¿¿1650¿¿¿¿{"start":{"line":15,"column":15},"end":{"line":15,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿ThisExpression
994¿VariableDeclarator¿¿1650¿v83¿¿¿{"start":{"line":16,"column":37},"end":{"line":18,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿VariableDeclarator
995¿FunctionExpression¿¿1650¿anon¿¿¿{"start":{"line":16,"column":37},"end":{"line":18,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿FunctionExpression
996¿Identifier¿¿0¿req¿¿¿{"start":{"line":16,"column":46},"end":{"line":16,"column":49},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿Identifier
997¿Identifier¿¿0¿res¿¿¿{"start":{"line":16,"column":51},"end":{"line":16,"column":54},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿Identifier
998¿VariableDeclarator¿¿1652¿v82¿¿¿{"start":{"line":17,"column":8},"end":{"line":17,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿VariableDeclarator
999¿CallExpression¿¿1652¿¿¿¿{"start":{"line":17,"column":8},"end":{"line":17,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿CallExpression
1000¿MemberExpression¿¿1652¿¿¿¿{"start":{"line":17,"column":8},"end":{"line":17,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿MemberExpression
1001¿Identifier¿¿1652¿self¿¿¿{"start":{"line":17,"column":8},"end":{"line":17,"column":12},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿Identifier
1002¿Identifier¿¿1652¿_onCreateServer¿¿¿{"start":{"line":17,"column":13},"end":{"line":17,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿Identifier
1003¿Identifier¿¿1652¿req¿¿¿{"start":{"line":17,"column":29},"end":{"line":17,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿Identifier
1004¿Identifier¿¿1652¿res¿¿¿{"start":{"line":17,"column":34},"end":{"line":17,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿Identifier
1005¿ExpressionStatement¿¿1652¿¿¿¿{"start":{"line":17,"column":8},"end":{"line":17,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿ExpressionStatement
1006¿Identifier¿¿1652¿v82¿¿¿¿¿Identifier
1007¿BlockStatement¿¿1652¿¿¿¿{"start":{"line":16,"column":56},"end":{"line":18,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿BlockStatement
1008¿VariableDeclarator¿¿1650¿v84¿¿¿{"start":{"line":16,"column":19},"end":{"line":18,"column":6},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿VariableDeclarator
1009¿CallExpression¿¿1650¿¿¿¿{"start":{"line":16,"column":19},"end":{"line":18,"column":6},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿CallExpression
1010¿MemberExpression¿¿1650¿¿¿¿{"start":{"line":16,"column":19},"end":{"line":16,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿MemberExpression
1011¿Identifier¿¿1650¿http¿¿¿{"start":{"line":16,"column":19},"end":{"line":16,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿Identifier
1012¿Identifier¿¿1650¿createServer¿¿¿{"start":{"line":16,"column":24},"end":{"line":16,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿Identifier
1013¿Identifier¿¿1650¿v83¿¿¿¿¿Identifier
1014¿VariableDeclarator¿¿1650¿v85¿¿¿{"start":{"line":16,"column":4},"end":{"line":18,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿VariableDeclarator
1015¿CallExpression¿¿1650¿¿¿¿{"start":{"line":16,"column":19},"end":{"line":18,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿CallExpression
1016¿MemberExpression¿¿1650¿¿¿¿{"start":{"line":16,"column":19},"end":{"line":18,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿MemberExpression
1017¿Identifier¿¿1650¿v84¿¿¿¿¿Identifier
1018¿Identifier¿¿1650¿listen¿¿¿{"start":{"line":18,"column":7},"end":{"line":18,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿Identifier
1019¿Identifier¿¿1650¿port¿¿¿{"start":{"line":18,"column":14},"end":{"line":18,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿Identifier
1020¿Identifier¿¿1650¿address¿¿¿{"start":{"line":18,"column":20},"end":{"line":18,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿Identifier
1021¿ExpressionStatement¿¿1650¿¿¿¿{"start":{"line":16,"column":4},"end":{"line":18,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿ExpressionStatement
1022¿AssignmentExpression¿=¿1650¿¿¿¿{"start":{"line":16,"column":4},"end":{"line":18,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿AssignmentExpression
1023¿MemberExpression¿¿1650¿¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿MemberExpression
1024¿ThisExpression¿¿1650¿¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":8},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿ThisExpression
1025¿Identifier¿¿1650¿_server¿¿¿{"start":{"line":16,"column":9},"end":{"line":16,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿Identifier
1026¿Identifier¿¿1650¿v85¿¿¿¿¿Identifier
1027¿VariableDeclarator¿¿1650¿v86¿¿¿{"start":{"line":19,"column":11},"end":{"line":19,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿VariableDeclarator
1028¿MemberExpression¿¿1650¿¿¿¿{"start":{"line":19,"column":11},"end":{"line":19,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿MemberExpression
1029¿ThisExpression¿¿1650¿¿¿¿{"start":{"line":19,"column":11},"end":{"line":19,"column":15},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿ThisExpression
1030¿Identifier¿¿1650¿_server¿¿¿{"start":{"line":19,"column":16},"end":{"line":19,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿Identifier
1031¿ReturnStatement¿¿1650¿¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿ReturnStatement
1032¿Identifier¿¿1650¿v86¿¿¿¿¿Identifier
1033¿BlockStatement¿¿1650¿¿¿¿{"start":{"line":11,"column":63},"end":{"line":20,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿BlockStatement
1034¿VariableDeclarator¿¿1648¿v87¿¿¿{"start":{"line":22,"column":0},"end":{"line":22,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿VariableDeclarator
1035¿MemberExpression¿¿1648¿¿¿¿{"start":{"line":22,"column":0},"end":{"line":22,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿MemberExpression
1036¿Identifier¿¿1648¿NodeStaticWebServer¿¿¿{"start":{"line":22,"column":0},"end":{"line":22,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿Identifier
1037¿Identifier¿¿1648¿prototype¿¿¿{"start":{"line":22,"column":20},"end":{"line":22,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿Identifier
1038¿VariableDeclarator¿¿1648¿v105¿¿¿{"start":{"line":22,"column":0},"end":{"line":41,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿VariableDeclarator
1039¿FunctionExpression¿¿1648¿anon¿¿¿{"start":{"line":22,"column":48},"end":{"line":41,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿FunctionExpression
1040¿Identifier¿¿0¿request¿¿¿{"start":{"line":22,"column":57},"end":{"line":22,"column":64},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿Identifier
1041¿Identifier¿¿0¿response¿¿¿{"start":{"line":22,"column":66},"end":{"line":22,"column":74},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿Identifier
1042¿VariableDeclarator¿¿1654¿v88¿¿¿{"start":{"line":23,"column":15},"end":{"line":23,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿VariableDeclarator
1043¿MemberExpression¿¿1654¿¿¿¿{"start":{"line":23,"column":15},"end":{"line":23,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿MemberExpression
1044¿Identifier¿¿1654¿request¿¿¿{"start":{"line":23,"column":15},"end":{"line":23,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿Identifier
1045¿Identifier¿¿1654¿headers¿¿¿{"start":{"line":23,"column":23},"end":{"line":23,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿Identifier
1046¿VariableDeclarator¿¿1654¿host¿¿¿{"start":{"line":23,"column":8},"end":{"line":23,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿VariableDeclarator
1047¿MemberExpression¿¿1654¿¿¿¿{"start":{"line":23,"column":15},"end":{"line":23,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿MemberExpression
1048¿Identifier¿¿1654¿v88¿¿¿¿¿Identifier
1049¿Identifier¿¿1654¿host¿¿¿{"start":{"line":23,"column":31},"end":{"line":23,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿Identifier
1050¿VariableDeclarator¿¿1654¿self¿¿¿{"start":{"line":24,"column":8},"end":{"line":24,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿VariableDeclarator
1051¿ThisExpression¿¿1654¿¿¿¿{"start":{"line":24,"column":15},"end":{"line":24,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿ThisExpression
1052¿VariableDeclarator¿¿1654¿v89¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿VariableDeclarator
1053¿UnaryExpression¿!¿1654¿¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿UnaryExpression
1054¿Identifier¿¿1654¿host¿¿¿{"start":{"line":25,"column":9},"end":{"line":25,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿Identifier
1055¿IfStatement¿¿1654¿¿¿¿{"start":{"line":25,"column":4},"end":{"line":28,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿IfStatement
1056¿Identifier¿¿1654¿v89¿¿¿¿¿Identifier
1057¿VariableDeclarator¿¿1654¿v90¿¿¿{"start":{"line":26,"column":8},"end":{"line":26,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿VariableDeclarator
1058¿CallExpression¿¿1654¿¿¿¿{"start":{"line":26,"column":8},"end":{"line":26,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿CallExpression
1059¿MemberExpression¿¿1654¿¿¿¿{"start":{"line":26,"column":8},"end":{"line":26,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿MemberExpression
1060¿ThisExpression¿¿1654¿¿¿¿{"start":{"line":26,"column":8},"end":{"line":26,"column":12},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿ThisExpression
1061¿Identifier¿¿1654¿_badHost¿¿¿{"start":{"line":26,"column":13},"end":{"line":26,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿Identifier
1062¿Identifier¿¿1654¿response¿¿¿{"start":{"line":26,"column":22},"end":{"line":26,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿Identifier
1063¿ExpressionStatement¿¿1654¿¿¿¿{"start":{"line":26,"column":8},"end":{"line":26,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿ExpressionStatement
1064¿Identifier¿¿1654¿v90¿¿¿¿¿Identifier
1065¿ReturnStatement¿¿1654¿¿¿¿{"start":{"line":27,"column":8},"end":{"line":27,"column":15},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿ReturnStatement
1066¿BlockStatement¿¿1654¿¿¿¿{"start":{"line":25,"column":15},"end":{"line":28,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿BlockStatement
1067¿VariableDeclarator¿¿1654¿v91¿¿¿{"start":{"line":30,"column":24},"end":{"line":30,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿VariableDeclarator
1068¿MemberExpression¿¿1654¿¿¿¿{"start":{"line":30,"column":24},"end":{"line":30,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿MemberExpression
1069¿Identifier¿¿1654¿request¿¿¿{"start":{"line":30,"column":24},"end":{"line":30,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿Identifier
1070¿Identifier¿¿1654¿url¿¿¿{"start":{"line":30,"column":32},"end":{"line":30,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿Identifier
1071¿VariableDeclarator¿¿1654¿v92¿¿¿{"start":{"line":30,"column":14},"end":{"line":30,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿VariableDeclarator
1072¿CallExpression¿¿1654¿¿¿¿{"start":{"line":30,"column":14},"end":{"line":30,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿CallExpression
1073¿MemberExpression¿¿1654¿¿¿¿{"start":{"line":30,"column":14},"end":{"line":30,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿MemberExpression
1074¿Identifier¿¿1654¿url¿¿¿{"start":{"line":30,"column":14},"end":{"line":30,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/node-static-webserver_0.0.1/src/node-static-webserver.js"}¿¿Identifier
