Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
7302¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":781,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿Program
7336¿VariableDeclarator¿¿12989¿v718¿¿¿{"start":{"line":9,"column":16},"end":{"line":9,"column":102},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿VariableDeclarator
7337¿LogicalExpression¿&&¿12989¿¿¿¿{"start":{"line":9,"column":16},"end":{"line":9,"column":102},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿LogicalExpression
7338¿Identifier¿¿12989¿v717¿¿¿¿¿Identifier
7339¿Identifier¿¿12989¿document¿¿¿{"start":{"line":9,"column":94},"end":{"line":9,"column":102},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿Identifier
7340¿IfStatement¿¿12989¿¿¿¿{"start":{"line":9,"column":12},"end":{"line":15,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿IfStatement
7341¿Identifier¿¿12989¿v718¿¿¿¿¿Identifier
7342¿ExpressionStatement¿¿12989¿¿¿¿{"start":{"line":10,"column":16},"end":{"line":10,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿ExpressionStatement
7343¿AssignmentExpression¿=¿12989¿¿¿¿{"start":{"line":10,"column":16},"end":{"line":10,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿AssignmentExpression
7344¿MemberExpression¿¿12989¿¿¿¿{"start":{"line":10,"column":16},"end":{"line":10,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿MemberExpression
7345¿ThisExpression¿¿12989¿¿¿¿{"start":{"line":10,"column":16},"end":{"line":10,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿ThisExpression
7346¿Identifier¿¿12989¿runtime¿¿¿{"start":{"line":10,"column":21},"end":{"line":10,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿Identifier
7347¿Literal¿string¿12989¿¿'browser'¿¿{"start":{"line":10,"column":31},"end":{"line":10,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿Literal
7348¿ExpressionStatement¿¿12989¿¿¿¿{"start":{"line":11,"column":16},"end":{"line":11,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿ExpressionStatement
7349¿AssignmentExpression¿=¿12989¿¿¿¿{"start":{"line":11,"column":16},"end":{"line":11,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿AssignmentExpression
7350¿MemberExpression¿¿12989¿¿¿¿{"start":{"line":11,"column":16},"end":{"line":11,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿MemberExpression
7351¿Identifier¿¿12989¿config¿¿¿{"start":{"line":11,"column":16},"end":{"line":11,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿Identifier
7352¿Identifier¿¿12989¿global¿¿¿{"start":{"line":11,"column":23},"end":{"line":11,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿Identifier
7353¿Identifier¿¿12989¿window¿¿¿{"start":{"line":11,"column":32},"end":{"line":11,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿Identifier
7354¿BlockStatement¿¿12989¿¿¿¿{"start":{"line":9,"column":104},"end":{"line":12,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿BlockStatement
7355¿ExpressionStatement¿¿12989¿¿¿¿{"start":{"line":13,"column":16},"end":{"line":13,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿ExpressionStatement
7356¿AssignmentExpression¿=¿12989¿¿¿¿{"start":{"line":13,"column":16},"end":{"line":13,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿AssignmentExpression
7357¿MemberExpression¿¿12989¿¿¿¿{"start":{"line":13,"column":16},"end":{"line":13,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿MemberExpression
7358¿ThisExpression¿¿12989¿¿¿¿{"start":{"line":13,"column":16},"end":{"line":13,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿ThisExpression
7359¿Identifier¿¿12989¿runtime¿¿¿{"start":{"line":13,"column":21},"end":{"line":13,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿Identifier
7360¿Literal¿string¿12989¿¿'node'¿¿{"start":{"line":13,"column":31},"end":{"line":13,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿Literal
7361¿ExpressionStatement¿¿12989¿¿¿¿{"start":{"line":14,"column":16},"end":{"line":14,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿ExpressionStatement
7362¿AssignmentExpression¿=¿12989¿¿¿¿{"start":{"line":14,"column":16},"end":{"line":14,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿AssignmentExpression
7363¿MemberExpression¿¿12989¿¿¿¿{"start":{"line":14,"column":16},"end":{"line":14,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿MemberExpression
7364¿Identifier¿¿12989¿config¿¿¿{"start":{"line":14,"column":16},"end":{"line":14,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿Identifier
7365¿Identifier¿¿12989¿global¿¿¿{"start":{"line":14,"column":23},"end":{"line":14,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿Identifier
7366¿Identifier¿¿12989¿global¿¿¿{"start":{"line":14,"column":32},"end":{"line":14,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿Identifier
7367¿BlockStatement¿¿12989¿¿¿¿{"start":{"line":12,"column":19},"end":{"line":15,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿BlockStatement
7368¿ExpressionStatement¿¿12989¿¿¿¿{"start":{"line":16,"column":12},"end":{"line":16,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿ExpressionStatement
7369¿AssignmentExpression¿=¿12989¿¿¿¿{"start":{"line":16,"column":12},"end":{"line":16,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿AssignmentExpression
7370¿MemberExpression¿¿12989¿¿¿¿{"start":{"line":16,"column":12},"end":{"line":16,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿MemberExpression
7371¿Identifier¿¿12989¿config¿¿¿{"start":{"line":16,"column":12},"end":{"line":16,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿Identifier
7372¿Identifier¿¿12989¿proxyName¿¿¿{"start":{"line":16,"column":19},"end":{"line":16,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿Identifier
7373¿Literal¿string¿12989¿¿'proxy'¿¿{"start":{"line":16,"column":31},"end":{"line":16,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿Literal
7374¿VariableDeclarator¿¿12989¿v719¿¿¿{"start":{"line":17,"column":26},"end":{"line":17,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿VariableDeclarator
7375¿MemberExpression¿¿12989¿¿¿¿{"start":{"line":17,"column":26},"end":{"line":17,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿MemberExpression
7376¿ThisExpression¿¿12989¿¿¿¿{"start":{"line":17,"column":26},"end":{"line":17,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿ThisExpression
7377¿Identifier¿¿12989¿runtime¿¿¿{"start":{"line":17,"column":31},"end":{"line":17,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿Identifier
7378¿VariableDeclarator¿¿12989¿v720¿¿¿{"start":{"line":17,"column":26},"end":{"line":17,"column":49},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿VariableDeclarator
7379¿BinaryExpression¿===¿12989¿¿¿¿{"start":{"line":17,"column":26},"end":{"line":17,"column":49},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿BinaryExpression
7380¿Identifier¿¿12989¿v719¿¿¿¿¿Identifier
7381¿Literal¿string¿12989¿¿'node'¿¿{"start":{"line":17,"column":43},"end":{"line":17,"column":49},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿Literal
7382¿VariableDeclarator¿¿12989¿v721¿¿¿{"start":{"line":17,"column":52},"end":{"line":17,"column":65},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿VariableDeclarator
7383¿CallExpression¿¿12989¿¿¿¿{"start":{"line":17,"column":52},"end":{"line":17,"column":65},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿CallExpression
7384¿MemberExpression¿¿12989¿¿¿¿{"start":{"line":17,"column":52},"end":{"line":17,"column":63},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿MemberExpression
7385¿Identifier¿¿12989¿process¿¿¿{"start":{"line":17,"column":52},"end":{"line":17,"column":59},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿Identifier
7386¿Identifier¿¿12989¿cwd¿¿¿{"start":{"line":17,"column":60},"end":{"line":17,"column":63},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿Identifier
7387¿VariableDeclarator¿¿12989¿v722¿¿¿{"start":{"line":17,"column":52},"end":{"line":17,"column":75},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿VariableDeclarator
7388¿BinaryExpression¿+¿12989¿¿¿¿{"start":{"line":17,"column":52},"end":{"line":17,"column":75},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿BinaryExpression
7389¿Identifier¿¿12989¿v721¿¿¿¿¿Identifier
7390¿Literal¿string¿12989¿¿'/src/'¿¿{"start":{"line":17,"column":68},"end":{"line":17,"column":75},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿Literal
7391¿VariableDeclarator¿¿12989¿v723¿¿¿{"start":{"line":17,"column":26},"end":{"line":17,"column":85},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿VariableDeclarator
7392¿IfStatement¿¿12989¿¿¿¿{"start":{"line":17,"column":26},"end":{"line":17,"column":85},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿IfStatement
7393¿Identifier¿¿12989¿v720¿¿¿¿¿Identifier
7394¿ExpressionStatement¿¿12989¿¿¿¿{"start":{"line":17,"column":26},"end":{"line":17,"column":85},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿ExpressionStatement
7395¿AssignmentExpression¿=¿12989¿¿¿¿{"start":{"line":17,"column":26},"end":{"line":17,"column":85},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿AssignmentExpression
7396¿Identifier¿¿12989¿v723¿¿¿¿¿Identifier
7397¿Identifier¿¿12989¿v722¿¿¿¿¿Identifier
7398¿BlockStatement¿¿12989¿¿¿¿¿¿BlockStatement
7399¿ExpressionStatement¿¿12989¿¿¿¿{"start":{"line":17,"column":26},"end":{"line":17,"column":85},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿ExpressionStatement
7400¿AssignmentExpression¿=¿12989¿¿¿¿{"start":{"line":17,"column":26},"end":{"line":17,"column":85},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿AssignmentExpression
7401¿Identifier¿¿12989¿v723¿¿¿¿¿Identifier
7402¿Literal¿string¿12989¿¿'/src/'¿¿{"start":{"line":17,"column":78},"end":{"line":17,"column":85},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿Literal
7403¿BlockStatement¿¿12989¿¿¿¿¿¿BlockStatement
7404¿ExpressionStatement¿¿12989¿¿¿¿{"start":{"line":17,"column":12},"end":{"line":17,"column":86},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿ExpressionStatement
7405¿AssignmentExpression¿=¿12989¿¿¿¿{"start":{"line":17,"column":12},"end":{"line":17,"column":85},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿AssignmentExpression
7406¿MemberExpression¿¿12989¿¿¿¿{"start":{"line":17,"column":12},"end":{"line":17,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿MemberExpression
7407¿Identifier¿¿12989¿config¿¿¿{"start":{"line":17,"column":12},"end":{"line":17,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿Identifier
7408¿Identifier¿¿12989¿path¿¿¿{"start":{"line":17,"column":19},"end":{"line":17,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿Identifier
7409¿Identifier¿¿12989¿v723¿¿¿¿¿Identifier
7410¿VariableDeclarator¿¿12989¿v724¿¿¿{"start":{"line":18,"column":16},"end":{"line":18,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿VariableDeclarator
7411¿UnaryExpression¿typeof¿12989¿¿¿¿{"start":{"line":18,"column":16},"end":{"line":18,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿UnaryExpression
7412¿Identifier¿¿12989¿$oojs_config¿¿¿{"start":{"line":18,"column":23},"end":{"line":18,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿Identifier
7413¿VariableDeclarator¿¿12989¿v725¿¿¿{"start":{"line":18,"column":16},"end":{"line":18,"column":51},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿VariableDeclarator
7414¿BinaryExpression¿!==¿12989¿¿¿¿{"start":{"line":18,"column":16},"end":{"line":18,"column":51},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿BinaryExpression
7415¿Identifier¿¿12989¿v724¿¿¿¿¿Identifier
7416¿Literal¿string¿12989¿¿'undefined'¿¿{"start":{"line":18,"column":40},"end":{"line":18,"column":51},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿Literal
7417¿IfStatement¿¿12989¿¿¿¿{"start":{"line":18,"column":12},"end":{"line":24,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿IfStatement
7418¿Identifier¿¿12989¿v725¿¿¿¿¿Identifier
7419¿VariableDeclarator¿¿12989¿key¿¿¿{"start":{"line":19,"column":25},"end":{"line":19,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿VariableDeclarator
7420¿ForInStatement¿¿12989¿¿¿¿{"start":{"line":19,"column":16},"end":{"line":23,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿ForInStatement
7421¿Identifier¿¿12989¿key¿¿¿{"start":{"line":19,"column":25},"end":{"line":19,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿Identifier
7422¿Identifier¿¿12989¿$oojs_config¿¿¿{"start":{"line":19,"column":32},"end":{"line":19,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿Identifier
7423¿VariableDeclarator¿¿12989¿v726¿¿¿{"start":{"line":20,"column":31},"end":{"line":20,"column":63},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿VariableDeclarator
7424¿CallExpression¿¿12989¿¿¿¿{"start":{"line":20,"column":31},"end":{"line":20,"column":63},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿CallExpression
7425¿MemberExpression¿¿12989¿¿¿¿{"start":{"line":20,"column":31},"end":{"line":20,"column":58},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿MemberExpression
7426¿Identifier¿¿12989¿$oojs_config¿¿¿{"start":{"line":20,"column":31},"end":{"line":20,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿Identifier
7427¿Identifier¿¿12989¿hasOwnProperty¿¿¿{"start":{"line":20,"column":44},"end":{"line":20,"column":58},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿Identifier
7428¿Identifier¿¿12989¿key¿¿¿{"start":{"line":20,"column":59},"end":{"line":20,"column":62},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿Identifier
7429¿VariableDeclarator¿¿12989¿v727¿¿¿{"start":{"line":20,"column":24},"end":{"line":20,"column":63},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿VariableDeclarator
7430¿LogicalExpression¿&&¿12989¿¿¿¿{"start":{"line":20,"column":24},"end":{"line":20,"column":63},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿LogicalExpression
7431¿Identifier¿¿12989¿key¿¿¿{"start":{"line":20,"column":24},"end":{"line":20,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿Identifier
7432¿Identifier¿¿12989¿v726¿¿¿¿¿Identifier
7433¿IfStatement¿¿12989¿¿¿¿{"start":{"line":20,"column":20},"end":{"line":22,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿IfStatement
7434¿Identifier¿¿12989¿v727¿¿¿¿¿Identifier
7435¿VariableDeclarator¿¿12989¿v728¿¿¿{"start":{"line":21,"column":24},"end":{"line":21,"column":55},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿VariableDeclarator
7436¿MemberExpression¿computed¿12989¿¿¿¿{"start":{"line":21,"column":38},"end":{"line":21,"column":55},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿MemberExpression
7437¿Identifier¿¿12989¿$oojs_config¿¿¿{"start":{"line":21,"column":38},"end":{"line":21,"column":50},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿Identifier
7438¿Identifier¿¿12989¿key¿¿¿{"start":{"line":21,"column":51},"end":{"line":21,"column":54},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿Identifier
7439¿ExpressionStatement¿¿12989¿¿¿¿{"start":{"line":21,"column":24},"end":{"line":21,"column":56},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿ExpressionStatement
7440¿AssignmentExpression¿=¿12989¿¿¿¿{"start":{"line":21,"column":24},"end":{"line":21,"column":55},"fname":"/datasets/secbench-dataset/CWE-471/node-oojs_1.4.0/src/oojs.js"}¿¿AssignmentExpression
